"";"artist";"title";"album";"text";"url";"metadata"
"1";"Savas & Sido";"Wasch den Thron";"Wasch den thron";"[Part 1: Sido]
Schön auftragen, polieren
Die Krone lass' ich auch gerade folieren
Die Morgensonne darf sich darin spiegeln
Geschniegelt und gebügelt wie derDanielvon ProSieben
Du kannst gut putzen, deine Lines sind Opfer
Sieh es ein, du bist kein Rapper, du bistMeister Proper
Du hast keinen Thron, nur einen kleinen Hocker
Und ich trinke meinen eignen Wodka
Und Digga, lass mal das Gerede von Karriereende
Putz mal lieber da die Ecken mit de kleenen Hände
Weil ich dich nicht feier', sagst du, „Geh in Rente!“
Doch ich find' Autotune okay, wenn man dich wenigstens verstehen könnte
Egal, ich kauf' 'ne Rolex für den Postboten
Bin jeden Sommer in Italien wie die Ostgoten
Mein Auto fährt 310
Und auf dem Konto hab' ich Kohle für ein weiteres Leben
Wat will man machen, Digga?

[Hook: Kool Savas &Sido]
Kannst du sie sehen?Sie woll'n ganz nach oben
Ihre Schüsse tun nicht weh,alles Platzpatronen
Was du machst, wie du heißt,erzähl's dem Mann im Mond
Du bist mein Klon, also quatsch nicht so undwasch den Thron
Kannst du sie sehen?Sie woll'n ganz nach oben
Ihre Schüsse tun nicht weh,alles Platzpatronen
Was du machst, wie du heißt,erzähl's dem Mann im Mond
Du bist mein Klon, also quatsch nicht so undwasch den—

[Part 2: Kool Savas]
Nimm den Lappen in die Hand, fang an zu putzen, bis die Knie bluten
Ich mach', dass du dein Gesicht verlierst in unter vier Minuten
Falls du kurz vergessen hast, wo du stehst, hier das Update
Denkst, du wärst Jigga, nur deine Beyonce hat ein Hackface
Schau mal, ich begriff meine Schwächen und wurd' kein Fußballstar
Bei dir betrifft es das Rappen, du wirst kein Kool Savas
Kontostand ist höher als die Klicks auf deinem Hit
80/20 für die ander'n, Hammerdeal, du bist gefickt, Splash
Hoodie für'n Fuffi und Latschen, doch bin mit Bentley da
Du machst 'nen Harten in Supreme, doch fährst 'n Rent-a-car
Sterb' ich an 'nem Herzinfarkt, es hätte sich gelohnt
Ein deutscher Rapper könnte rumerzählen, ihn rettete der Tod
Ich wach' auf, Shorts vollgewichst, Ständer bis zum Mond
Denn ich hab' geträumt, es gäb' euch nicht mehr, niemals änder' ich den Kurs
Komm und versuch mich mal zu stürzen, du verbrennst dir deine Pfoten
Nix bringt Essah in Bedrohung, Zukunft glänzend wie mein Thron

[Hook: Kool Savas & Sido]
Kannst du sie sehen? Sie woll'n ganz nach oben
Ihre Schüsse tun nicht weh, alles Platzpatronen
Was du machst, wie du heißt, erzähl's dem Mann im MondDu bist mein Klon, also quatsch nicht so und wasch den Thron
Kannst du sie sehen? Sie woll'n ganz nach oben
Ihre Schüsse tun nicht weh, alles Platzpatronen
Was du machst, wie du heißt, erzähl's dem Mann im MondDu bist mein Klon, also quatsch nicht so und wasch den Thron

";"https://genius.com/Savas-and-sido-wasch-den-thron-lyrics";"Released January 6, 2018
Artwork

    
      ADOPEKID
Primary Artists

    
      Capital Bra, DJ Smoove, Estikay & 5 more
Featuring

    
      Adesse, Basti, Felix Krull & 9 more
Producers

    
      Beatzarre, The Cratez, Djorkaeff & 6 more
Writers

    
      Adesse, Basti, Capital Bra & 21 more
Artwork

    
      ADOPEKID"
"2";"Savas & Sido";"Masafaka (Smoove Remix)";"Wasch den thron";"[Part 1: Sido]Sie reden über Hip-Hop, da bei RTLAber dass sie keine Ahnung haben, merkt man schnellHallaschka glaubt, dass jeder Rapper Schwule hasstUnd immer läuft Bushido bei Berichten übern JugendknastSie reden über Rapper, da im ZDFSie philosophier'n über Newcomer wie Eko FreshFür die ist Peter Fox 'n GangstarapperIhr Opfer lasst Hip-Hop in Ruhe, nehmt die Hände weg daSie reden über uns, da bei ProSiebenDoch sie könn'n sich den Bericht in ihren Po schiebenUnd dieser dumme Daniel Aminati rappt jetztDas ist der Moment, wo man wegzappt[Hook: Sido]Sie reden über Hip-Hop, sie finden uns witzigDoch wir stürmen in die Redaktion und schreien: „Fick dich!“Wenn wir alles kleinhau'n, fragen sie: „Spinnt ihr?“Doch das ist Hip-Hop, Motherfucker, so sind wirAb und zu böse, manchmal auch schmutzigEinfach nur blöd oder unfassbar lustigUnd weil wir das ernst mein'n, fragen sie: „Spinnt ihr?“Aber das ist Hip-Hop, Motherfucker, so sind wir[Part 2: Sido]Sie schreiben über Hip-Hop, da bei NoiseyDer Redakteur sagt Deutschrap enttäuscht ihnOh, du bist 'n Kenner, wie es aussiehtNo, du bist 'n Penner, wie du aussiehstSie lachen über Hip-Hop, da bei welt.deDieser Artikel von Freddy Schwilden ist selten dämlichEr schreibt, dass Gangstarap auf kein’n Fall gefährlich istUnd dann beschwert er sich, weil’s Ärger gibt, wenn Fler ihn trifftEr wär’ gerne ein Rapper, dieser BöhmermannAber auch die größte Katze kann nicht, was der Löwe kannUnd die Kinder lernen Breakdance bei DetlefDas ist der Moment, wo man wegzappt[Hook: Sido]Sie reden über Hip-Hop, sie finden uns witzigDoch wir stürmen in die Redaktion und schreien: „Fick dich!“Wenn wir alles kleinhau’n, fragen sie: „Spinnt ihr?“Doch das ist Hip-Hop, Motherfucker, so sind wirAb und zu böse, manchmal auch schmutzigEinfach nur blöd oder unfassbar lustigUnd weil wir das ernst mein'n, fragen sie: „Spinnt ihr?“Aber das ist Hip-Hop, Motherfucker, so sind wir[Part 3: Kool Savas]Sie reden über Hip-Hop, imitier'n unseren SlangMachen ein'n auf „yo, yo, yo!“, seltsame Moves mit ihren HändenWo standet ihr denn, als dis hier die einzige Perspektive war?Am Anfang noch belächelt, doch auf einmal wuchsen wir zu Stars!Für alle, die denken, Relevanz lässt sich nur durch Erfolg bestimmenHängen an den Wohnzimmerwänden unserer Villen die GoldenenLassen wir AMGs durch die Nobelviertel Berlins ratternLachen wir euch Fuckern ins Face von 'nem MagazincoverUnd wegen ihnen sind unsere Videos meist untersichtigDenn wir blicken runter auf jene, für die wir die Unterschicht sindEcho-Nominierung – wer wird nationaler Rap-Act?Das ist der Moment, wo ihr wegzappt[Hook: Sido]Sie reden über Hip-Hop, sie finden uns witzigDoch wir stürmen in die Redaktion und schreien: „Fick dich!“Wenn wir alles kleinhau’n, fragen sie: „Spinnt ihr?“Doch das ist Hip-Hop, Motherfucker, so sind wirAb und zu böse, manchmal auch schmutzigEinfach nur blöd oder unfassbar lustigUnd weil wir das ernst mein’n, fragen sie: „Spinnt ihr?“Aber das ist Hip-Hop, Motherfucker, so sind wir";"https://genius.com/Savas-and-sido-masafaka-smoove-remix-lyrics";"Released January 6, 2018
Artwork

    
      ADOPEKID
Primary Artists

    
      Capital Bra, DJ Smoove, Estikay & 5 more
Featuring

    
      Adesse, Basti, Felix Krull & 9 more
Producers

    
      Beatzarre, The Cratez, Djorkaeff & 6 more
Writers

    
      Adesse, Basti, Capital Bra & 21 more
Artwork

    
      ADOPEKID"
"3";"Sido";"Der Himmel soll warten (Smoove Remix)";"Wasch den thron";"[Part 1: Sido]Okay, warte kurz, guckt mich an, siehst du das?Ich bin cool, dies und das, ich freu' mir 'nen riesen AstIch mache das hier für die Leute, die das hier lieben, lasstMich einfach in Frieden, wenn ihr Sido hasst, Punkt, ausIch bin ein gemachter Mann, guckt, was ich erreicht hab'Eigentlich könnte man sagen, so wie's is', reicht dasAber es reicht nicht, nein, ich kann nicht bescheiden seinIch will so vieles noch erleben vor dem GreisenheimIch will den Jackpot im Lotto gewinn'nUnd damit alle meine Schäfchen ins Trockene bring'nIch will high und frei sein wie eine Flocke im WindAnsonsten schrei' ich wie ein bockiges Kind und dann wird's wieder ekligIch hab' schon viel erlebt, ich hab' aber noch so viel vorUnd ihr alles guckt mir dabei zu auf eurem MonitorBis sie mir irgendwann das große Licht ausschaltenDoch der Himmel muss es erst mal ohne mich aushalten[Part 2: Sido]Warte mal, stopp, du kannst mich noch nicht gehen lassenNimm dir doch lieber diese Emos, die ihr Leben hassenIch bin noch lange nicht fertig, es fängt doch grade anIch hab' am Sack doch grad mal Haare dran, drei StückIch will mein'n Sohn wachsen seh'n, ich will 'ne TochterUnd dann nach neun Monaten von mir aus, gleich noch malIch will 'n Haus, 'n Affen und 'n PferdLass mich machen, all das werd' ich schaffen und noch mehrIch will Karriere machen, ich will noch weiter hochIch will in China mal ein Hund kosten, einfach soIch will nach Las Vegas, alles, was ich hab', auf RotHaus weg, Pferd weg, Klappe zu, Affe totIch will zur Ruhe kommen, kein Streit, kein StressVorausgesetzt, dass man mir noch 'n bisschen Zeit lässtWenn ich dann fertig bin, hol mich da rausDoch bis dahin kommst du gut ohne mich ausUnd ich sing' Halleluja

";"https://genius.com/Sido-der-himmel-soll-warten-smoove-remix-lyrics";"Released January 6, 2018
Artwork

    
      ADOPEKID
Primary Artists

    
      Capital Bra, DJ Smoove, Estikay & 5 more
Featuring

    
      Adesse, Basti, Felix Krull & 9 more
Producers

    
      Beatzarre, The Cratez, Djorkaeff & 6 more
Writers

    
      Adesse, Basti, Capital Bra & 21 more
Artwork

    
      ADOPEKID"
"4";"Kool Savas";"Wand (Tour-Remix)";"Wasch den thron";"[Part 1]Ich stepp' ans Mic und Bitches werden feuchter als 'ne NasszelleBaller' sie von hinten, es macht ... wie 'ne BasswelleEin Rhyme, du verlierst die Fassung und musst botten, KnilchIch sitze daheim und such' 'ne Zeile, die der Potte hilftJalousien runter, glotze Notting Hill und AviatorHör' nicht auf, bis irgendwann jemand von mir 'ne AV8 machtEuer Album Müll, ich sag' es trocken wie'n WeißweinDenn ihr spittet Texte aus dem Loch unter dem SteißbeinBei euch ist Hopfen und Malz verloren, mein Flow coolWie mein Name, guck, ihr Fotzen seid halb erfror'nUnd während du grad im Solarium liegstKomm' ich und brech' deinen Rücken – Cranio-Sacral-TherapieIhr seid wie Prostituierte, euer Image verfolgt euch lebenslangDu warst im Knast der Beliebteste, wolltest jeden SchwanzSieh dich an, du könntest nicht mal ohne Bong pennenDeine sogenannte Rapkarriere tot – John Lennon[Hook]Ich bin eine Wand, nicht zu überwinden für euchUnd was ihr sagt, prallt so von mir abGuck, ihr redet mit einer WandKein Feedback, kein Wort, kein KommentarGanz egal, was ihr macht, glaub mirIch bin eine Wand, nicht zu überwinden für euchUnd was ihr sagt, prallt so von mir abGuck, ihr redet mit einer WandKein Feedback, kein Wort, nixIch bin eine Wand[Part 2]Ihr seid Sims, redet viel, doch sagt im Grunde nixIch spitt' und erteile diesen jungen Hunden UnterrichtIch hatt' keinen Bock mehr auf Schule, kochte vor WutUnd bring' 'nen Flow jetzt durchgeknallter als das Loch einer HureBello 3 ist da und plötzlich kriegen diese Hater MuffensausenGuck, ich reit' auf 500 Pferden an, made in ZuffenhausenUnd du glaubst, du kannst mich bangen, du Depp?Doch läufst mit Sonnenbrille rum als wärst du Kangaroo JackNahezu unisex, geb' dir den PapageiDeine Bitch ist heut Abend im Puff, verkauft nach der Uni SexDu Trottel bist am Lügen wie StaatsleuteErzählst über Kohle, doch hältst dich grad so über Wasser wie AmphibienfahrzeugeDie Tour beginnt, ich komm' in deine Stadt mit 'n paar BellosUnd zerquetsche jeden Rapper wie 'ne Hand voll MarshmallowsSieh dich an, du probierst es, aber wirst nie besserDeine sogenannte Rapkarriere tot – Heath Ledger[Hook]Ich bin eine Wand, nicht zu überwinden für euchUnd was ihr sagt, prallt so von mir abGuck, ihr redet mit einer WandKein Feedback, kein Wort, kein KommentarGanz egal, was ihr macht, glaub mirIch bin eine Wand, nicht zu überwinden für euchUnd was ihr sagt, prallt so von mir abGuck, ihr redet mit einer WandKein Feedback, kein Wort, nixIch bin eine Wand";"https://genius.com/Kool-savas-wand-tour-remix-lyrics";"Released January 6, 2018
Artwork

    
      ADOPEKID
Primary Artists

    
      Capital Bra, DJ Smoove, Estikay & 5 more
Featuring

    
      Adesse, Basti, Felix Krull & 9 more
Producers

    
      Beatzarre, The Cratez, Djorkaeff & 6 more
Writers

    
      Adesse, Basti, Capital Bra & 21 more
Artwork

    
      ADOPEKID"
"5";"Savas & Sido";"Haste nich gesehen (Smoove Remix)";"Wasch den thron";"[Hook: Savas]Zwei der Besten, die es je tatenZwei der Besten, die je gelebt habenWenn sie sich weigern, uns zu feiern, schrei: „Savas, Sido!“Eh, zwei, die alles schon gesehen habenAlles ist trist, ohne uns fehlt FarbeWenn sie sich weigern, uns zu feiern, schrei: „Savas, Sido!“[Part 1: Savas]Ich seh' Tränen der ErgriffenheitKein Preis könnte das je honorier'n, zwei Sterne kollidier'n und ihr seid live dabeiImmer wenn ich rhym', entstehen Bilder im KopfUngelogen, was für Thronfolger? Chill mal, du VogelTu nicht, als hättest du die letzten zwei Jahrzehnte hinterm Mond gelebtWir hab'n euch das Sprechen quasi beigebracht wie LogopädenWas soll uns beeindrucken?Paar Millionen Klicks auf deinem Video, gut, doch in kürzester Zeit bellt nach dir kein Hund mehrJeder Part, den du noch präsentierst, ist wie ein letzter ToastDenn deine Karriere klopft an die Himmelspforte wie Axl RoseViele sind gekomm'n, alle sind gegang'nSido und Savas, wir hielten stand, sowas haste nicht gesehen, Dicka[Hook: Savas]Zwei der Besten, die es je tatenZwei der Besten, die je gelebt habenWenn sie sich weigern, uns zu feiern, schrei: „Savas, Sido!“Eh, zwei, die alles schon gesehen habenAlles ist trist, ohne uns fehlt FarbeWenn sie sich weigern, uns zu feiern, schrei: „Savas, Sido!“[Part 2: Sido]Ich mach' das nicht für Geld, nein, ich mach' das für mich selbstBruder, ich mach' das hier nur noch, weil es sein mussRote Bremse an der Felge, aber ich bin nicht der HellsteDenn auf mich hatte die Schule kein'n EinflussAlle andern sind zu klein für das Mic, könn'n nicht sein wie wir zweiZeig mir ein'n, der es besser machtDiese Rapper schreiben geistlose, peinliche LinesSo 'ne Scheiße, die man gleich wieder vergessen hatWenn du wüsstest, wie schade das ist, und 'ne Blamage du bistSchon ein krasser LegasthenikerMach ma' Platz, denn jetzt komm'n Savas und ich, ihr seid alle geficktSowas haste nicht gesehen, Dicka[Hook: Savas]Zwei der Besten, die es je tatenZwei der Besten, die je gelebt habenWenn sie sich weigern, uns zu feiern, schrei: „Savas, Sido!“Eh, zwei, die alles schon gesehen habenAlles ist trist, ohne uns fehlt FarbeWenn sie sich weigern, uns zu feiern, schrei: „Savas, Sido!“

";"https://genius.com/Savas-and-sido-haste-nich-gesehen-smoove-remix-lyrics";"Released January 6, 2018
Artwork

    
      ADOPEKID
Primary Artists

    
      Capital Bra, DJ Smoove, Estikay & 5 more
Featuring

    
      Adesse, Basti, Felix Krull & 9 more
Producers

    
      Beatzarre, The Cratez, Djorkaeff & 6 more
Writers

    
      Adesse, Basti, Capital Bra & 21 more
Artwork

    
      ADOPEKID"
"6";"Sido";"Wir sind geboren (Remix)";"Wasch den thron";"[Part 1: Sido]
Wir sind geboren, um frei zu sein, aber das geht nicht
Sagen sie, und dann schließen sie meinen Käfig
Denn dieser Vogel darf nicht fliegen, weil er kein Adler ist
Auch machen, was er will, und denken, was er will, darf er nicht
Was soll das? Lass mich machen, denk nicht, dass ich dumm bin
Ich bin schlau genug, um zu wissen, was ihr sagt ist Unsinn
Und genau das macht euch Angst, ich weiß es, legt mich lieber an die Leine
Ich und meine Jungs machen sonst Dummheiten aus Langeweile
Mein Kopf geht immer mehr kaputt, aber ich nehm's nicht hin
Wir folgen alle einem großem Arsch, so wie das Leben stinkt

[Bridge]
Langsam geht die Luft aus, denn
(Wir leben im Zuchthaus)
Und egal, was es kostet, ich muss raus

[Hook/Sample]
Wir sind geboren, um frei zu sein
Wir sind zwei von Millionen, wir sind nicht allein
Wir sind geboren, um frei zu sein
Wir sind zwei von Millionen, wir sind nicht allein

";"https://genius.com/Sido-wir-sind-geboren-remix-lyrics";"Released January 6, 2018
Artwork

    
      ADOPEKID
Primary Artists

    
      Capital Bra, DJ Smoove, Estikay & 5 more
Featuring

    
      Adesse, Basti, Felix Krull & 9 more
Producers

    
      Beatzarre, The Cratez, Djorkaeff & 6 more
Writers

    
      Adesse, Basti, Capital Bra & 21 more
Artwork

    
      ADOPEKID"
"7";"Kool Savas";"Fake Rap (Remix)";"Wasch den thron";"[Part: Savas]Ein Rätsel: Was trägt enge Hosen, lange Shirts, fake Uhr'n und ist androgyn?Ich helf' dir auf die Sprünge wie ein Trampolin—Ein Rätsel: Was trägt enge Hosen, lange Shirts, fake Uhr'n—Ein Rätsel: Was trägt enge Hosen, lange Shirts, fake Uhr'n und ist androgyn?Ich helf' dir auf die Sprünge wie ein Trampolin – die deutschen RapperTrendsetter, Zonk, sie tun auf anders, dochSagen allesamt am Ende das Gleiche wie sonst, FaktEr kann paar Akkorde spiel'n, oh, wie schönFrüher hieß es Produzenten „Diggin in the Crates“, hart wie Jogi LöwSah Affen im Zoo mit mehr Grips als duDu bist neben der Spur, hockst da, grinst abstrusDie Menschheit geht zu Grunde, ich chill' wie 'ne Katze auf ValiumZu faul, die Haare zu stylen, drum trag' ich Glatze wie CaillouMit einem Bein im Grab, Blutdruck höher als ein ParagliderDass ihr rappt, kann mir keiner weismachen wie MalermeisterPurer Honig, ich sag' dieses Wort nichtDoch wer ein Esel auf 'nem Kinderbauernhof zu Tode vögelt ist ein HurensohnTitel „Wichser des Jahres“, du hast beste ChancenEssah, Rapper komm'n und es wird abserviert wie in persischen Restaurants";"https://genius.com/Kool-savas-fake-rap-remix-lyrics";"Released January 6, 2018
Artwork

    
      ADOPEKID
Primary Artists

    
      Capital Bra, DJ Smoove, Estikay & 5 more
Featuring

    
      Adesse, Basti, Felix Krull & 9 more
Producers

    
      Beatzarre, The Cratez, Djorkaeff & 6 more
Writers

    
      Adesse, Basti, Capital Bra & 21 more
Artwork

    
      ADOPEKID"
"8";"Estikay";"Die Jungs dabei";"Wasch den thron";"[Part 1: Sido]
Meine Jungs sind da in allen Lebenslagen
Da kannste jeden fragen, ob sie mich ma' ohne wen gesehen haben
Jungs, die mich auf Händen durch die Gegend tragen
So 'ne Jungs, die dir ein Loch in deinen Schädel schlagen
Besoffen sein jeden Abend
Weil wir Gott sein'n Segen haben, an der Ecke steh'n und warten
Auf der Jagd wie Leoparden
Ich sprech' von mein'n Jungs, denn deine Jungs gehen blasen
Wo wir sind, bleibt kein Stein auf dem ander'n
Lad uns ein und wir nehm'n dein Heim auseinander
So wie zwei, drei Tausend Punker auf 'nem Panzer
Wer's glaubt, dass wir es zu weit treiben, braucht 'nen Anker
Meine Jungs sind die Besten für mich
Deine Jungs sind wie Schwestern für dich
Und ich kann euch nicht erwähn'n, das wären zu viele Nam'n
Doch ich möchte, dass ihr wisst, wenn ihr ruft, bin ich da für die Jungs

[Hook: Adesse]
Der Eintritt ist heut frei, am Türsteher vorbei
Immer mindestens plus drei, ich hab' die Jungs dabei
Es tut mir leid, Herr Polizei, ich bin wieder viel zu high
Denn ich bin nicht allein, ich hab' die Jungs dabei

[Part 2: Estikay]
Ich bin selten allein, egal, wo du mich triffst
Die Homies sind mit, alle todesbekifft
Ob vom Kiosk an der Ecke oder Sternehotel
Ist scheißegal, für meine Jungs verprass' ich gerne mein Geld
Der Kuchen wird geteilt und zwar in gleich großen Stücken
Mit allen Leuten, die mich seit Tag eins unterstützen
Wir sind unterwegs und machen keine halben Sachen
Haben Scheine in den Taschen und wollen feiern - hol die Flaschen!
Am Türsteher vorbei, wir steh'n auf Liste plus zehn
Wir kommen mit Horde, machen Action ohne Rücksicht zu nehm'n
Und ab und zu wird etwas übertrieben unterm Strich
Doch jeder meiner Brüder würde für mich lügen vor Gericht
Und glaub mir, wenn ich sage, dass es andersrum das Gleiche ist
Durch euch bewahr' ich Gleichgewicht und ja, dafür verneig' ich mich
Ich kann euch nicht erwähn'n, das wären zu viele Nam'n
Doch ich möchte dass ihr wisst, wenn ihr ruft, bin ich da für die Jungs

[Hook: Adesse]
Der Eintritt ist heut frei, am Türsteher vorbei
Immer mindestens plus drei, ich hab' die Jungs dabei
Es tut mir leid, Herr Polizei, ich bin wieder viel zu high
Denn ich bin nicht allein, ich hab' die Jungs dabei

[Part 3: Sido,Adesse&Estikay]
Die Berliner immer ready für 'ne Session
Meine Jungs in Berlin sind die Besten
Ich darf meine Jungs in Hamburg nicht vergessen
Meine Hamburger Jungs machen Action
Das sind die Jungs aus dem Pott,Bak Sana
Meine Jungs aus dem Pott sind hammer
Wenn wir in München sind, brennt die ganze Stadt
Alle meine Jungs in München reißen ab

[Hook: Adesse]
Der Eintritt ist heut frei, am Türsteher vorbei
Immer mindestens plus drei, ich hab' die Jungs dabei
Es tut mir leid, Herr Polizei, ich bin wieder viel zu high
Denn ich bin nicht allein, ich hab' die Jungs dabei";"https://genius.com/Estikay-die-jungs-dabei-lyrics";"Released January 6, 2018
Artwork

    
      ADOPEKID
Primary Artists

    
      Capital Bra, DJ Smoove, Estikay & 5 more
Featuring

    
      Adesse, Basti, Felix Krull & 9 more
Producers

    
      Beatzarre, The Cratez, Djorkaeff & 6 more
Writers

    
      Adesse, Basti, Capital Bra & 21 more
Artwork

    
      ADOPEKID"
"9";"Kool Savas";"Mensch/Maschine (Smoove Remix)";"Wasch den thron";"[Bridge 1: Sample]
""The two most interesting places in the universe are beyond our reach. using Einstein’s equations. We need a higher Theory""

[Part 1: Kool Savas & PA Sports]
Die Menschheit schuf den Computer, der Computer die Matrix
Die Matrix mich, was bedeutet, ich weiß nicht mal, ob ich da bin
Ich betäub' dich mit Rap, der Wahnsinn flüstert mir nachts ins Ohr: „Nimm dir das Leben!“
Warum? Als ultimatives Präsent an diese kindische Szene
Müsst' nix mehr tun und wär' wie Hochzeitsgäste fein raus
Steig aus dem Bett, wasch' mir den Schlaf aus den Augen
Überflute das Land mit den soeben geträumten Versen
Nenn es Treibhauseffekt, spitte wie ein Dolch in dein Herz
Rein (raus) wie Sex und keine ewige Existenz
Diese MCs sind schneller weg als 'n scheiß Snap – Khodahavez
Ich schür' nur Vulkan und koch' ab jetzt hier mit Lava
Es sind die „most hated“, „long awaited“, SA und Parham
Dicker, besser du fragst mal Native Instruments, wer die Maschine ist
Raptechnisches Napalm, ich fick' sie alle wie 'n Bigamist
Sich mir zu widersetzen, lieber nicht
Denn ich spitt', bis sich dein Körper wie Lakritzstangen biegend auf einmal bricht, wenn du widersprichst

[Hook: Kool Savas & PA Sports]
Verses durchzogen mit Kabeln
Kraft einer Lawine, sie fragen
„Mensch oder Maschine?“
Sie-sie suchen den Code zum System
Und erlegen den technischen Riesen
„Mensch oder Maschine?“

[Bridge 2: Sample]
""We can also unlock the secret of the big bang. You see Einstein equations breakdown have the instant of a big bang at the center of a black hole.""

[Hook: Kool Savas & PA Sports]
Verses durchzogen mit Kabeln
Kraft einer Lawine, sie fragen
„Mensch oder Maschine?“
Sie-sie suchen den Code zum System
Und erliegen dem technischen Riesen
„Mensch oder Maschine?“

[Bridge 3: Sample]
""When two universes collide, they can form another universe. If there are other dimensions, can we go between universes?""

[Part 2: PA Sports]
PA, ich unterschreibe dein Todesurteil mit einer Line
Seh' hier zehntausend deutsche Rapper, aber keiner rhymt
Hier redet die Flowgun, Homie, ich durchlöcher' kurz
Wir geben den Ton an, so wie bei 'nem Töpferkurs
Rapper lecken Pimmel nur für Marketing
Tragen zwei Gesichter wie ein Harlekin und wollen das neue Rad erfinden
Savas Abicim war unser Lehrer hier im Labyrinth
Denn wenn der Tag beginnt, wird zu 'ner Nargilem der Bart getrimmt
Ich beförder' Rapper, die batteln wollen, in ihr Grab wie Jinx
Jage blind, jede Bar gepimpt zu einer scharfen Klinge
Kenn' emotionale Sinne nur, wenn meine Gage stimmt
Diese kleinen Pussies sind am zinken wie ein Nasenring
Was soll dir MMA noch bring'
Wenn ich deine Guardians auseinander breche wie Jugoslawien?
Verputze diese Hunde wie in Asien
Denn diese beiden unterrichten Rapper für Gymnasien – Gilbert und Sullivan

[Hook: Kool Savas & PA Sports]
Verses durchzogen mit Kabeln
Kraft einer Lawine, sie fragen
„Mensch oder Maschine?“
Sie-sie suchen den Code zum System
Und erliegen dem technischen Riesen
„Mensch oder Maschine?“

";"https://genius.com/Kool-savas-mensch-maschine-smoove-remix-lyrics";"Released January 6, 2018
Artwork

    
      ADOPEKID
Primary Artists

    
      Capital Bra, DJ Smoove, Estikay & 5 more
Featuring

    
      Adesse, Basti, Felix Krull & 9 more
Producers

    
      Beatzarre, The Cratez, Djorkaeff & 6 more
Writers

    
      Adesse, Basti, Capital Bra & 21 more
Artwork

    
      ADOPEKID"
"10";"Savas & Sido";"Ich und meine Jordans (Remix)";"Wasch den thron";"[Part 1: Sido]Zehn Meter Radius, halt Abstand, du DrecksauDie Schuhe sehen wie geleckt aus, mach kein'n Fleck raufJordans, die 1er, die 3er, die 4er, von Nike, scheiß mal auf FilaScheiß mal auf drei Streifen, ich helf' dir beim EinkleidenRegel Nummer eins: was weiß ist, muss weiß bleibenTrag' nur diese Sachen mit 'nem Swoosh oder JordanEs gibt Leute die für diesen Schuh sogar mordenEntweder er geht sie sich am Ku'damm besorgenOder für mich ist dieser Loser gestorbenIch bind' mir 'ne akkurate Schleife und dann tanz' ichHinten auf der Jacke steht 'ne weiße dreiundzwanzig also:[Hook: Sido & B.S.H.]Tret mir nicht auf meine Jordans, tret mir nicht auf meine JordansTret mir-, tret mir-, tre-tret mir- tre-tret mir nicht auf meine JordansSie sind imprägniert und frisch poliertDirekt importiert aus den USAMeine Jordans, meine Jordans";"https://genius.com/Savas-and-sido-ich-und-meine-jordans-remix-lyrics";"Released January 6, 2018
Artwork

    
      ADOPEKID
Primary Artists

    
      Capital Bra, DJ Smoove, Estikay & 5 more
Featuring

    
      Adesse, Basti, Felix Krull & 9 more
Producers

    
      Beatzarre, The Cratez, Djorkaeff & 6 more
Writers

    
      Adesse, Basti, Capital Bra & 21 more
Artwork

    
      ADOPEKID"
