"","artist","title","album","text","url","metadata"
"1","Sportfreunde Stiller","Wie lange sollen wir noch warten?","Die gute seite","[Strophe 1]
Wie lange sollen wir noch warten bis wieder bessre Zeiten starten?
Wieviel Zeit soll noch vergeh'n bis wir uns wieder seh'n?
Wie lange sollen wir noch warten bis wieder bessre Zeiten starten?
Wieviel Zeit soll noch vergeh'n bis wir uns wieder seh'n?

[Refrain]
Plötzlich weiß ich, plötzlich weiß ich ganz genau, was ich nicht mehr will
Bisher war das, bisher war das nur so ein komisches Gefühl

[Strophe 2]
Wie lange müssen wir nun warten bis wieder bessre Zeiten starten?
Wieviel Zeit muss noch verstreichen bis wir uns die Hände reichen?
Wie lange müssen wir nun warten bis wieder bessre Zeiten starten?
Wieviel Tage müssen denn verfliegen bis wir uns in den Armen liegen?

[Refrain]
Plötzlich weiß ich, plötzlich weiß ich ganz genau, was ich nicht mehr will
Bisher war das, bisher war das nur so ein unbestimmtes Gefühl

[Outro]
Wir werden dann nicht mehr die Gleichen sein
Und irgendwann die Dinge mit ander'n Augen seh'n
Wir werden dann nicht mehr die Gleichen sein
Und irgendwann die Dinge mit ander'n Augen seh'n
Wir werden dann nicht mehr die Gleichen sein
Und irgendwann die Dinge mit ander'n Augen seh'n
Wir werden dann nicht mehr die Gleichen sein
Und irgendwann die Dinge mit ander'n Augen seh'n

","https://genius.com/Sportfreunde-stiller-wie-lange-sollen-wir-noch-warten-lyrics","Released April 2, 2002
Recorded At

    
      Casa Pepe Studio
Producers

    
      Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Bass

    
      Rüdiger Linhof
Drums

    
      Florian Weber
Engineering

    
      Gørdi Gerhardt"
"2","Sportfreunde Stiller","Komm schon","Die gute seite","[Strophe 1]
All die Sachen, die die wilden Rocker machen
All die Dinge, von denen sie oft singen
All die Taten, auf die wir schon so lange warten
Ich sag' dir: Diese Nacht ist wie gemacht dafür!

[Refrain]
Komm schon! Komm schon!
Nimm dir davon eine extra Portion!
Abgemacht, sowas geht in so 'ner Sommernacht

[Strophe 2]
All die Worte, die uns groß erscheinen
All die Träume, die uns vereinen
All die Zeiten, die uns im Gedächtnis bleiben
Ich sag' diese Nacht ist wie gemacht dafür!

[Refrain]
Komm schon! Komm schon!
Nimm dir davon eine extra Portion!
Abgemacht, sowas geht in so 'ner Sommernacht

[Interlude]

[Refrain]
Komm schon! Komm schon!
Nimm dir davon eine extra Portion!
Abgemacht, sowas geht in so 'ner Sommernacht
Komm schon! Komm schon!
Nimm dir davon eine fette Portion!
Das wäre doch gelacht, sowas geht in so 'ner Sommernacht
","https://genius.com/Sportfreunde-stiller-komm-schon-lyrics","Released April 2, 2002
Recorded At

    
      Casa Pepe Studio
Producers

    
      Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Bass

    
      Rüdiger Linhof
Drums

    
      Florian Weber
Engineering

    
      Gørdi Gerhardt"
"3","Sportfreunde Stiller","Ein Kompliment","Die gute seite","[Strophe 1]
Wenn man so will, bist du das Ziel einer langen Reise
Die Perfektion der besten Art und Weise
In stillen Momenten leise
Die Schaumkrone der Woge der Begeisterung
Bergauf mein Antrieb und Schwung

[Refrain]
Ich wollte dir nur mal eben sagen, dass du das Größte für mich bist
Und sichergeh'n, ob du denn dasselbe für mich fühlst
Für mich fühlst

[Strophe 2]
Wenn man so will, bist du meine Chillout-AreaMeine Feiertage in jedem JahrMeine Süßwarenabteilung im Supermarkt
Die Lösung, wenn mal was hakt
So wertvoll, dass man es sich gerne aufspart
Und so schön, dass man nie darauf verzichten mag

[Refrain]
Ich wollte dir nur mal eben sagen, dass du das Größte für mich bist
Und sichergeh'n, ob du denn dasselbe für mich fühlst
Für mich fühlst

[Interlude]

[Refrain]
Ich wollte dir nur mal eben sagen, dass du das Größte für mich bist
Und sichergeh'n, ob du denn dasselbe für mich fühlst

","https://genius.com/Sportfreunde-stiller-ein-kompliment-lyrics","Released April 2, 2002
Recorded At

    
      Casa Pepe Studio
Producers

    
      Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Bass

    
      Rüdiger Linhof
Drums

    
      Florian Weber
Engineering

    
      Gørdi Gerhardt"
"4","Sportfreunde Stiller","Sportbeat","Die gute seite","[Strophe 1]
Liebe Leute, hört auf das hier
Das schmeckt wie gekühltes Fassbier
Unfassbar, dass da was anderes war
Wobei über alte Zeiten wollen wir nicht streiten
Musikpioniere, wir treten durch die Türe
Mit erhobenem Haupte
Die Welt der Klänge und wir behaupten
Solang es ehrlich und gefährlich ist
Zieh'n wir mit

[Refrain]
Es regiert der Beat, denn das Herz schlägt im Takt
Je nachdem, was der Beat zu bieten hat
Bieten wir hier bestimmt mit
Es regiert der Beat, denn das Herz schlägt im Takt
Je nachdem, was der Beat zu bieten hat
Bieten wir hier bestimmt mit

[Strophe 2]
Ein Schritt nach vorn ist nie verkehrt
Öffnet dir die Ohr'n, damit du besser hörst
Bist nicht verbohrt, denn das stört
Wirfst die Beine in die Luft, wie es sich gehört
Dir wird heiß, Achselschweiß
Und der Blick zur Seite liefert den Beweis
Es feiert heute, die ganze Meute

[Refrain]
Es regiert der Beat, denn das Herz schlägt im Takt
Je nachdem, was der Beat zu bieten hat
Bieten wir hier bestimmt mit
Es regiert der Beat, denn das Herz schlägt im Takt
Je nachdem, was der Beat zu bieten hat
Bieten wir hier bestimmt mit

[Interlude]

[Refrain]
Es regiert der Beat, denn das Herz schlägt im Takt
Je nachdem, was der Beat zu bieten hat
Bieten wir hier bestimmt mit
Es regiert der Beat, denn das Herz schlägt im Takt
Je nachdem, was der Beat zu bieten hat
Bieten wir hier bestimmt mit

[Outro]
Es regiert der Beat, denn das Herz schlägt im Takt
Es regiert der Beat
Es regiert der Beat","https://genius.com/Sportfreunde-stiller-sportbeat-lyrics","Released April 2, 2002
Recorded At

    
      Casa Pepe Studio
Producers

    
      Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Bass

    
      Rüdiger Linhof
Drums

    
      Florian Weber
Engineering

    
      Gørdi Gerhardt"
"5","Sportfreunde Stiller","Auf der guten Seite","Die gute seite","[Strophe 1]
Es gibt 'n Haufen geschleckter Typen
Politische Banditen
Und überhöhte Mieten
Die Welt ist voll von dreisten Egoisten
Sinnlosen Fristen, vereisten Skipisten
Wohin man auch sieht, alle jagen nach Profit
Anstatt reinem Sauerstoff, zu viel Kohlenmonoxid

[Pre-Refrain]
Doch ehe dir dein Herz zerbricht
Hier kommt die gute Nachricht

[Refrain]
Du und ich
Und sonst noch 'n paar Leute
Wir sind auf der guten Seite
Du und ich
Und sonst noch 'n paar Leute
Wir sind auf der guten Seite

[Strophe 2]
Wo man geht und steht, Schurken und Ganoven
Leere Versprechungen, überhöhte Rechnungen
Falsche Freunde, scheinfreundliche Feinde
Schlechte Verlierer und Abkassierer
Soweit das Auge reicht
Geschmacklose Frisuren
Pay-TV Kartelle und dubiose Agenturen

[Pre-Refrain]
Doch ehe dir dein Herz zerbricht
Hier kommt die gute Nachricht

[Refrain]
Du und ich
Und sonst noch 'n paar Leute
Wir sind auf der guten Seite
Du und ich
Und sonst noch 'n paar Leute
Wir sind auf der guten Seite

[Interlude]

[Refrain]
Du und ich
Und sonst noch 'n paar andre Leute
Wir sind auf der guten Seite
Du und ich
Und sonst noch 'n paar andre Leute
Wir sind auf der guten Seite","https://genius.com/Sportfreunde-stiller-auf-der-guten-seite-lyrics","Released April 2, 2002
Recorded At

    
      Casa Pepe Studio
Producers

    
      Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Bass

    
      Rüdiger Linhof
Drums

    
      Florian Weber
Engineering

    
      Gørdi Gerhardt"
"6","Sportfreunde Stiller","Independent","Die gute seite","[Strophe 1]
Das Leben ist so wunderschön und ich bin mittendrin
Mein äußeres Erscheinungsbild ist in Marken gehüllt
Die Traumbilder der Werbung pflastern Stadt und Land
Doch die Vermarktung meines Auftritts hab' ich selbst in der Hand

[Refrain]
Und ich frage mich gelegentlich, bin das ich?
Oder bin ich schon so wie die im Fernsehen?
Und ich frage mich gelegentlich, bin das ich?
Oder bin ich nur so, wie sie mich gerne sehen?

[Strophe 2]
In der Zeit der Supermarken avanciere ich zum Star
Und denke heimlich an die Jahre, als ich noch ein Junge war
Meine Softporno-ästhetischen No-Name-Klamotten
Würden heute ohne Frage jeden Anzug toppen

[Refrain]
Und ich frage mich gelegentlich, bin das ich?
Oder bin ich schon so wie die im Fernsehen?
Und ich frage mich gelegentlich, bin das ich?
Oder bin ich nur so, wie sie mich gerne sehen?

[Interlude]

[Refrain]
Und ich frage mich gelegentlich, bin das ich?
Oder bin ich schon so wie die im Fernsehen?
Und ich frage mich gelegentlich, bin das ich?
Oder bin ich nur so, wie sie mich gerne sehen?

[Outro]
Oder bin ich schon so wie die im Fernsehen?
Oder bin ich schon so wie die im Fernsehen?

Boar, Leute, was ist denn das für ein Sound, das ist ja grausamDamit können sie den Durchbruch in die Charts schaffen. Ja","https://genius.com/Sportfreunde-stiller-independent-lyrics","Released April 2, 2002
Recorded At

    
      Casa Pepe Studio
Producers

    
      Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Bass

    
      Rüdiger Linhof
Drums

    
      Florian Weber
Engineering

    
      Gørdi Gerhardt"
"7","Sportfreunde Stiller","International","Die gute seite","[Strophe 1]
Weltweit der große Traum
Sich die große weite Welt anzuschau'n
Weltweit hofft man und liebt nicht nur sein Idol
Sympathie ist nur begrenzt durch Nord- und Südpol
Weltweit das große Ziel
Ein Platz im internationalen Geschäft
Und an der Sonne
Was ich sagen will, ob in der Politik
Der Wirtschaft und im Sport erfüllt das Denken nur seinen Zweck
Denken wir uns die Grenzen weg!

[Refrain]
International, International
Ist somit, sofort, auf einmal nicht nur mehr ein Wort!
International, International
Ist somit, sofort, auf einmal nicht nur mehr ein Wort!

[Strophe 2]
Weltweit sind wir uns fremd
Und kommen wir uns nah
Weltweit geben wir das letzte Hemd
Um nicht allein und uns nah zu sein
Weltweit sprechen wir zwar verschiedene Sprachen
Doch in allen kann man lachen
Leider haben sich weltweit
So manche noch nicht von nationaler Ideologie befreit
Dabei ist unser Leben längst:

[Refrain]
International, International
Ist somit, sofort, auf einmal nicht nur mehr ein Wort!
International, International
Ist somit, sofort, auf einmal nicht nur mehr ein Wort!

[Bridge]
Wie ist das Spiel des Jahres? – International
Kauf'n kann man für Bares? – International
Wahr ist, was wahr ist! – International
Los amigos del deporte son compadres!

[Refrain]
International, International
Ist somit, sofort, auf einmal nicht nur mehr ein Wort!
International, International
Ist somit, sofort, auf einmal nicht nur mehr ein Wort!
","https://genius.com/Sportfreunde-stiller-international-lyrics","Released April 2, 2002
Recorded At

    
      Casa Pepe Studio
Producers

    
      Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Bass

    
      Rüdiger Linhof
Drums

    
      Florian Weber
Engineering

    
      Gørdi Gerhardt"
"8","Sportfreunde Stiller","7 Tage, 7 Nächte","Die gute seite","[Strophe 1]
Ich weiß nicht mehr, wie es kam
Ich drehte mich um und sah sie an
Erstaunlich für mich war, dass sie mich auch wahrnahm
Auf ihre Frage hin, ob ich heut' ihr Taxi bin
Lenkte sie nur kurz ein und sagte danach: „Fahr' mich heim
Oder zu dir“

[Refrain]
Sieben Tage, sieben Nächte bei mir
Es war'n sieben gute und sieben schlechte mit ihr
Sieben Tage, sieben Nächte zusamm'n
Hundertachtundsechzig Stunden lang

[Strophe 2]
Ich bot ihr Brecht und Thomas Mann
Ich bot ihr auch Bukovski an
Und peinlich für mich war, wie ich so dastand
Ich erwähnte meine Theorie über Psychologie
Des einen Freud', des ander'n Leid
Sie wusste überFreudBescheid

[Refrain]
Sieben Tage, sieben Nächte bei mir
Es war'n sieben gute und sieben schlechte mit ihr
Sieben Tage, sieben Nächte zusamm'n
Hundertachtundsechzig Stunden lang

[Interlude]

[Refrain]
Sieben Tage, sieben Nächte bei mir
Es war'n sieben gute und sieben schlechte mit ihr
Sieben Tage, sieben Nächte zusamm'n
Hundertachtundsechzig Stunden lang
Sieben Tage, sieben Nächte bei mir
Es war'n sieben gute und sieben schlechte mit ihr
Sieben Tage, sieben Nächte zusamm'n
Hundertachtundsechzig Stunden lang

[Outro]
Wir ernährten uns von Geschichten, rhetorischen Gerichten
Bedenklich für mich war, wie sie mich laufend ansah
Auf ihre Frage hin, ob ich wirklich glücklich bin
Lenkte ich nur kurz ein und fuhr sie danach Heim

","https://genius.com/Sportfreunde-stiller-7-tage-7-nachte-lyrics","Released April 2, 2002
Recorded At

    
      Casa Pepe Studio
Producers

    
      Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Bass

    
      Rüdiger Linhof
Drums

    
      Florian Weber
Engineering

    
      Gørdi Gerhardt"
"9","Sportfreunde Stiller","Tage wie dieser","Die gute seite","[Strophe 1]
Tage wie diesen hier, gibt es wie Sand am Meer
Nichts läuft wie ich es wollte
Sie geben nicht viel her, außer Frust
Keine Lust auf nichts mehr
Nichts klappt wie es sollte
Zu ner ander'n Zeit war 'ne Reise in die Ewigkeit
Für uns zwei doch 'ne Kleinigkeit
Zu ner ander'n Zeit war uns kein Weg zu weit
Und schon war'n wir zu zweit

[Refrain]
Wenn ich mal schlecht drauf bin
Glaube nicht, dass unser Liebeslied ausklingt
Wenn es uns mal nicht gut geht
Glaube nicht, dass es unser Liebeslied verweht
Wenn ich mal schlecht drauf bin
Glaube nicht, dass unser Liebeslied ausklingt
Wenn's um uns mal nicht gut steht
Glaube nicht, dass unser Liebeslied vergeht

[Strophe 2]
Tage wie heute sind erfunden und gemacht
Für schlechte Leute, bei denen nie gelacht wird
Verwirrt sitz' ich hier, wie blockiert
Bohr mir 'n Loch in Kopf mit Fragen
Die man sich stellt an diesen Tagen
Zu 'ner ander'n Zeit war ne Reise in die Ewigkeit
Für uns zwei doch 'ne Kleinigkeit
Zu 'ner ander'n Zeit war uns kein Weg zu weit
Und schon war'n wir zu zweit

[Refrain]
Wenn ich mal schlecht drauf bin
Glaube nicht, dass unser Liebeslied ausklingt
Wenn es uns mal nicht gut geht
Glaube nicht, dass es unser Liebeslied verweht
Wenn ich mal schlecht drauf bin
Glaube nicht, dass unser Liebeslied ausklingt
Wenn's um uns mal nicht gut steht
Glaube nicht, dass unser Liebeslied vergeht

[Bridge]
Bitte sag mir, soll es das gewesen sein?
Bitte sag mir, wird es wieder so wie früher sein?

[Refrain]
Wenn ich mal schlecht drauf bin
Glaube nicht, dass unser Liebeslied ausklingt
Wenn es uns mal nicht gut geht
Glaube nicht, dass es unser Liebeslied verweht
Wenn ich mal schlecht drauf bin
Glaube nicht, dass unser Liebeslied ausklingt
Wenn's um uns mal nicht gut steht
Glaube nicht, dass unser Liebeslied vergeht

","https://genius.com/Sportfreunde-stiller-tage-wie-dieser-lyrics","Released April 2, 2002
Recorded At

    
      Casa Pepe Studio
Producers

    
      Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Bass

    
      Rüdiger Linhof
Drums

    
      Florian Weber
Engineering

    
      Gørdi Gerhardt"
"10","Sportfreunde Stiller","Der Fortschritt","Die gute seite","[Strophe 1]
Ich bin immer für dich da, egal wo ich auch bin
Binnen weniger Sekunden beam' ich mich zu dir hin
Dann bauen wir uns unser Traumkind
Aus den besten Erbteilen
Lässt sich bestens ein Genie feilen

[Refrain]
Das ist der Fortschritt, hoffentlich komm' ich da mit
Das ist der Fortschritt
Das ist der Fortschritt, hoffentlich komm ich da mit
Das ist der Fortschritt

[Strophe 2]
Ich bin so vernetzt, dass ich gefangen bin
So schnell unterwegs, dass ich den Weg nicht mehr find'
Hab' so viele neue große Brüder
Nur mein echter, der schaut selten rüber

[Refrain]
Das ist der Fortschritt, wer will da noch mit
Das ist der Fortschritt
Das ist der Fortschritt, wer will da noch mit
Das ist der Fortschritt

[Interlude]

[Rerain]
Das ist der Fortschritt, wer will da noch mit
Das ist der Fortschritt
Das ist der Fortschritt, hoffentlich komm ich da mit
Das ist der Fortschritt

","https://genius.com/Sportfreunde-stiller-der-fortschritt-lyrics","Released April 2, 2002
Recorded At

    
      Casa Pepe Studio
Producers

    
      Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Bass

    
      Rüdiger Linhof
Drums

    
      Florian Weber
Engineering

    
      Gørdi Gerhardt"
