"","artist","title","album","text","url","metadata"
"1","Sportfreunde Stiller","Alles Roger!","Mtv unplugged in new york live deluxe version","[Strophe 1]
Habe die Ehre, liebe Sprachbarriere
Oft und gerne kommst du mir in die Quere
Ich hab keine Ahnung, nicht mal 'ne ungefähre
Ende Gelände, so 'ne elende Misere
Eine Doktrine ist keine Medizinerin
Eine Blockade ist keine hippe Berlin-Limonade
Bebop ist kein Schlitten
Die Sugababes sind nicht Atomic Kitten
LOL, z.B., et cetera pp

[Refrain ]Ja, neSicherlich klarAlles RogerAlles wunderbarJa, neNichts ist klarWer ist RogerJa, neSicherlich klarAlles RogerAlles wunderbarJa, neNichts ist klarWer ist Roger

[Strophe 2]
Offenheit ist eine variable Größe
Du gibst dir Klöße mit Soße lieber, als die Blöße
(Was ich? Was ich nicht?)Was ich nicht weiß macht mich heiß

[Refrain ]Ja, neSicherlich klarAlles RogerAlles wunderbarJa, neNichts ist klarWer ist RogerJa, neSicherlich klarAlles RogerAlles wunderbarJa, neNichts ist klarWer ist Roger

[Bridge]
Niveau ist keine Creme
Empathie ist kein Problem
Nachhaltig stellen wir fest
Asinus humanum est

[Refrain 2]
Ja, ne
Sicherlich klar
Alles roger
Alles wunderbar
Ja, ne
Nichts ist klar
Wer ist Roger?
Wer verdammt nochmal

","https://genius.com/Sportfreunde-stiller-alles-roger-lyrics","Released 2009
Featuring

    
      The Subways & Udo Jürgens
Producers

    
      Ralf Weigand & Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Assisted By

    
      Flo Baer
Bass

    
      Rüdiger Linhof"
"2","Sportfreunde Stiller","Ungewöhnlich","Mtv unplugged in new york live deluxe version","[Strophe 1]
Ich versuche mich konstant zu wandeln
Und beständig aktuell interessant zu handeln
Ich verstehe es mich stets adrett zu kleiden
Und mache gute Laune wett mit leiden
Ich zeig' mich interessiert an jedem Themengebiet
Und meine ungeniert ich wüsst', was so geschiet
Ich halte Augen und Ohren offen, hier und da bin ich betroffen

[Pre-Refrain]
Und seit Anbeginn der Tage stellt sich mir die Frage

[Refrain]
Geb' ich mich mit dem Allgemeinen versöhnlich
Oder lebe ich lieber ungewöhnlich
Geb' ich mich mit dem Allgemeinen versöhnlich
Oder lebe ich lieber ungewöhnlich

[Strophe 2]
Ich schneie hier mal rein, lass' mal hier, mal da 'nen Schein
Und merke immer schnell: Schöne Momente sollten länger sein
Ich sage meistens ja, wenn ich was nicht versteh'
Und schlagfertig und clever bin ich erst wenn ich nach Hause geh'
Ich brauche meinen Schlaf, kenn' konvex und auch konkav
Und bei Bekannten meiner Oma galt ich immer als sehr brav
Ich halte mich für mittelklug, entfernt von Diebstahl und Betrug

[Pre-Refrain]
Und seit Anbeginn der Tage stellt sich mir die Frage

[Refrain]
Geb' ich mich mit dem Allgemeinen versöhnlich
Oder lebe ich lieber ungewöhnlich
Geb' ich mich mit dem Allgemeinen versöhnlich
Oder lebe ich lieber ungewöhnlich
Geb' ich mich mit dem Allgemeinen versöhnlich
Oder lebe ich lieber ungewöhnlich
Geb' ich mich mit dem Allgemeinen versöhnlich
Oder lebe ich lieber ungewöhnlich

[Pre-Refrain]
Und seit Anbeginn der Tage stellt sich mir die Frage

[Refrain]
Geb' ich mich mit dem Allgemeinen versöhnlich
Oder lebe ich lieber ungewöhnlich
Geb' ich mich mit dem Allgemeinen versöhnlich
Oder lebe ich lieber ungewöhnlich
Geb' ich mich mit dem Allgemeinen versöhnlich
Oder lebe ich lieber ungewöhnlich
Geb' ich mich mit dem Allgemeinen versöhnlich
Oder lebe ich lieber ungewöhnlich","https://genius.com/Sportfreunde-stiller-ungewohnlich-lyrics","Released 2009
Featuring

    
      The Subways & Udo Jürgens
Producers

    
      Ralf Weigand & Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Assisted By

    
      Flo Baer
Bass

    
      Rüdiger Linhof"
"3","Sportfreunde Stiller","Hallo du (Live)","Mtv unplugged in new york live deluxe version","[Intro: Peter]
„Es folgt ein erstes neues Musikstück, das wir extra geschrieben haben, für diesen Anlass.“
Hallo du
Hallo du
Ich bin neu hier
Und platze vor Neugier
Hallo du (hallo du)
Hallo du (hallo du)
Ich bin neu hier
Und platze vor Neugier

[Strophe 1]
Ich war eben in der Gegend
War am Überlegen: „Was wird's heut noch geben?“
Dann sah ich dich und wusste gleich Bescheid
Es tut mir später Leid, wenn ich jetzt schweig'
Nix spricht gegen Reden
Nur wie fang' ich an und versteht jeder jeden?
Ich werd's nie erfahr'n, mach' ich mich jetzt nicht ran
Auf den Versuch kommt's an
Auch auf die Gefahr hin, du willst nur deine Ruh
Oder bist 'ne blöde Kuh

[Refrain]
Hallo du (hallo du)
Hallo du (hallo du)
Ich komme nicht umhin
Dir zu sagen wer ich bin
Hallo du (hallo du)
Hallo du (hallo du)
Hast du seltsame Marotten
Ich wett' ich kann sie toppen

[Post-Refrain]
Jetzt ne gute Frage
Und ich wär' Herr der Lage
Im optimalen Fall
Gibt's dann den großen Knall

[Strophe 2]
Magst du Tiere?
Schläfst du gern?
Bist du schüchtern?
Kannst du dich wehr'n?
Glaubst du dran, dass ich es kann?
Und schaust mich deshalb jetzt nicht an?
Machst du partout erstmal zu?

[Pre-Refrain]
Hallo du
Hallo du
Jetzt geh' ich wirklich hin
Und sage wer ich bin

[Refrain]
Hallo du (hallo du)
Hallo du (hallo du)
Hör' ich mich sagen
Trau mich nicht fragen
Wohoo
Wohoo
Komm du doch einfach her
Mach's mir doch nicht so schwer
Wohoo
Wohoo
Komm du doch einfach her
Mach's mir doch nicht so schwer
Und sag'
Hallo du!

[Outro: Peter]
„Dankeschön! Heh, das war ganz cool. Also ich mein jetzt von uns so gespielt, für uns persönlich, unser Empfinden. Kann ja jetzt nicht für euch sprechen - aber ich fand's eigentlich sau gut!“
","https://genius.com/Sportfreunde-stiller-hallo-du-live-lyrics","Released 2009
Featuring

    
      The Subways & Udo Jürgens
Producers

    
      Ralf Weigand & Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Assisted By

    
      Flo Baer
Bass

    
      Rüdiger Linhof"
"4","Sportfreunde Stiller","Der Titel vom nächsten Kapitel","Mtv unplugged in new york live deluxe version","[Strophe 1]
Wenn ich mal groß bin werd' ich Kapitän
Und schipper dann über den Atlantik
Mit Mama wollt' ich mich vermählen
Ein erster Anflug von Romantik
Ich musste Hoffnungen begraben
Wollte dies und jenes haben
Und ich hatt' so 'ne Idee
Von gut und nicht okay
Ich lernte schwimmen, Glück und Enttäuschung
Und ich war für vieles viel zu jung
Ich wurde älter und nicht weiser
Ich schrie mir die Stimme heiser
Ich wusste nur, dass es sie gibt
Ich war unglücklich verliebt

[Refrain]
Ich schaute mich immer wieder fragend an
Und was kommt dann? Was kommt dann?
Wie lautet der Titel vom nächsten Kapitel?
Was kommt dann?

[Strophe 2]
Moden, Drogen, Episoden
Mit beiden Füßen über'm Boden
Ein Seiltanz mit der Würde
Mit Übermut über die Hürde
Das schreibt das Leben
Es bietet an und ich bleib dran

[Refrain]
Und was kommt dann? Was kommt dann?
Wie lautet der Titel vom nächsten Kapitel?
Was kommt dann? Was steht an?
Wie lautet der Titel vom nächsten Kapitel?
Was steht an?

[Bridge]
Abschied, Sehnsucht, Liebesschwur
Dem Geheimnis auf der Spur

[Rerain]
Was kommt dann? Was kommt dann?
Wie lautet der Titel vom nächsten Kapitel?
Gibt's da nen Plan? Was steht an?
Wie lautet der Titel vom nächsten Kapitel?
Was steht an?

","https://genius.com/Sportfreunde-stiller-der-titel-vom-nachsten-kapitel-lyrics","Released 2009
Featuring

    
      The Subways & Udo Jürgens
Producers

    
      Ralf Weigand & Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Assisted By

    
      Flo Baer
Bass

    
      Rüdiger Linhof"
"5","Sportfreunde Stiller","Heimatlied","Mtv unplugged in new york live deluxe version","[Strophe 1]
Es kommt mir hier so vor
So ähnlich, wie nach dem perfekten Tor
Wie nach 'ner langen Fahrt zurück
Wie Liebe auf den ersten Blick
Wie nach 'nem heißen Tee, nach einem kalten Wintertag
Wie eine gute Idee, wenn einem lange nichts, lange nichts mehr einfallen mag

[Refrain]
Denn hier, denn hier bist du Mensch, hier darfst du's wirklich sein
Und das Schöne daran ist, dass ich's jeden Tag sehen kann
Und das Schöne daran ist, dass ich's jederzeit bewundern kann
Und das Schöne daran ist, dass es all das täglich für mich gibt
Wer hätte das gedacht? Es ist ein Heimatlied

[Strophe 2]
Es kommt mir hier so vor, wie Meilen entfernt
Von draußen vor der Tür
Plötzlich so leicht, zuvor war alles schwer
Es fließt hier, als wenn ich Smetanas Moldau hör'
Alles klingt zusammen wie bei einer Symphonie
Woanders gibt's das selten, oder nie

[Refrain]
Denn hier, denn hier bist du Mensch, hier darfst du's wirklich sein
Und das Schöne daran ist, dass ich's jeden Tag sehen kann
Und das Schöne daran ist, dass ich's jederzeit bewundern kann
Und das Schöne daran ist, dass es all das täglich für mich gibt
Wer hätte das gedacht? Es ist ein Heimatlied

Jeden Tag
Und das jeden Tag
Das Schöne daran
Ist dass ich's jeden Tag sehen kann
Und das Schöne daran ist, dass ich's jeden Tag sehen kann
Und das Schöne daran ist, dass ich's jederzeit bewundern kann
Und das Schöne daran ist, dass es all das täglich für mich gibt
Wer hätte das gedacht? Es ist ein Heimatlied","https://genius.com/Sportfreunde-stiller-heimatlied-lyrics","Released 2009
Featuring

    
      The Subways & Udo Jürgens
Producers

    
      Ralf Weigand & Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Assisted By

    
      Flo Baer
Bass

    
      Rüdiger Linhof"
"6","Sportfreunde Stiller","Ein Kleiner Schritt","Mtv unplugged in new york live deluxe version","[Strophe 1]
Es ist geradezu erstrebenswert
Dass uns Gutes widerfährt
Sind wir doch an Freundlichkeit unterernährt
Es ist geradezu ein Glücksfall
Sozusagen endsozial
Für die Zukunft optimal

[Refrain]
Willkommen, willkommen in einer neuen Zeit
Ein kleiner Schritt für uns
Ein großer Schritt für die Menschlichkeit
Willkommen, willkommen in einer neuen Zeit
Ein kleiner Schritt für uns
Ein großer Schritt für die Menschlichkeit

[Strophe 2]
Es sollte für jeden die Maxime sein
Lasst die Liebe rein
In euer Lifedesign
Es sollte leicht von der Hand gehen
Damit alle, die am Rand stehen
Wieder neues Land sehen

[Refrain]
Willkommen, willkommen in einer neuen Zeit
Ein kleiner Schritt für uns
Ein großer Schritt für die Menschlichkeit
Willkommen, willkommen in einer neuen Zeit
Ein kleiner Schritt für uns
Ein großer Schritt für die Menschlichkeit
Willkommen, willkommen in einer neuen Zeit
Ein kleiner Schritt für uns
Ein großer Schritt für die Menschlichkeit
Willkommen, willkommen in einer neuen Zeit
Ein kleiner Schritt für uns
Ein großer Schritt für die Menschlichkeit
","https://genius.com/Sportfreunde-stiller-ein-kleiner-schritt-lyrics","Released 2009
Featuring

    
      The Subways & Udo Jürgens
Producers

    
      Ralf Weigand & Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Assisted By

    
      Flo Baer
Bass

    
      Rüdiger Linhof"
"7","Sportfreunde Stiller","¡Vamos! (Live)","Mtv unplugged in new york live deluxe version","[Intro]
Ba ba ba ba ba
Ba ba ba ba ba ba
Ba ba ba ba ba
Ba ba ba ba ba ba
Ba ba ba ba ba
Ba ba ba ba ba ba

[Strophe 1]
All die Sachen, die die wilden Rocker machen
All die Dinge, von denen sie oft singen
All die Taten, auf die wir schon so lange warten
Ich sag' dir, diese Nacht ist wie gemacht dafür

[Refrain]
¡Vamos!
¡Vamos!
¡Tómate ya, la porción para dos!
¿Por qué no en esta noche de verano?

[Post-Refrain]
Ba ba ba ba ba
Ba ba ba ba ba ba
Ba ba ba ba ba
Ba ba ba ba ba ba
Ba ba ba ba ba
Ba ba ba ba ba ba

[Strophe 2]
All die Worte, die uns groß erschein'n
All die Träume, die uns vereinen
All die Zeiten, die uns im Gedächtnis bleiben
Ich sag' dir, diese Nacht ist wie gemacht dafür

[Refrain]
¡Vamos!
¡Vamos!
¡Tómate ya, la porción para dos!
¿Por qué no en esta noche de verano?
[Refrain]
¡Vamos!
¡Vamos!
¡Tómate ya, la porción para dos!
¿Por qué no en esta noche de verano?

[Interlude]
¿Por qué no?
¿Por qué no?
¿Por qué no?
¿Por qué no?
¿Por qué no
En esta noche de verano?

[Refrain]
¡Vamos! (¿Por qué no?)
¡Vamos! (¿Por qué no?)
¡Tómate ya, la porción para dos!
¿Por qué no en esta noche de verano?
¡Vamos! (¿Por qué no?)
¡Vamos! (¿Por qué no?)
¡Tómate ya, la porción para dos!
¿Por qué no en esta noche de verano?


","https://genius.com/Sportfreunde-stiller-vamos-live-lyrics","Released 2009
Featuring

    
      The Subways & Udo Jürgens
Producers

    
      Ralf Weigand & Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Assisted By

    
      Flo Baer
Bass

    
      Rüdiger Linhof"
"8","Sportfreunde Stiller","’54, ’74, ’90, 2010","Mtv unplugged in new york live deluxe version","[Refrain](Eins und zwei und drei und)Vierundfünfzig, vierundsiebzig, neunzig,zweitausendzehn
Ja, so stimmen wir alle einMit dem Herz in der Hand und der Leidenschaft im BeinWerden wir Weltmeister sein

[Strophe 1]Wir haben nicht die höchste SpielkulturSind nicht gerade filigranDoch wir haben Träume und VisionenUnd in der Hinterhand 'nen MasterplanFür unseren langen Weg aus der KriseUnd aus der DepressionLautet die DeviseNichts wie rauf auf den Fußball

[Refrain](Eins und zwei und drei und)Vierundfünfzig, vierundsiebzig, neunzig,zweitausendzehn
Ja, so stimmen wir alle einMit dem Herz in der Hand und der Leidenschaft im BeinWerden wir Weltmeister sein

[Strophe 2]
Die ganze Welt greift nach dem goldenen Pokal
Am Kap der guten Hoffnung probieren wir's nochmal
Wir als Gast in Südafrika
Wird unser Traum dann endlich wahr?

[Refrain](Eins und zwei und drei und)Vierundfünfzig, vierundsiebzig, neunzig,zweitausendzehn
Ja, so stimmen wir alle einMit dem Herz in der Hand und der Leidenschaft im BeinWerden wir Weltmeister sein

[Bridge]Beim ersten Mal war's ein WunderBeim zweiten Mal war's GlückBeim dritten Mal der verdiente LohnUnd das nächste Mal wird's 'ne Sensation

[Refrain](Eins und zwei und drei und)Vierundfünfzig, vierundsiebzig, neunzig, zweitausendzehn
Ja, so stimmen wir alle einMit dem Herz in der Hand und der Leidenschaft im BeinWerden wir Weltmeister sein
(Eins und zwei und drei und)Vierundfünfzig, vierundsiebzig, neunzig, zweitausendzehn
Ja, so stimmen wir alle einMit dem Herz in der Hand und der Leidenschaft im BeinWerden wir Weltmeister sein","https://genius.com/Sportfreunde-stiller-54-74-90-2010-lyrics","Released 2009
Featuring

    
      The Subways & Udo Jürgens
Producers

    
      Ralf Weigand & Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Assisted By

    
      Flo Baer
Bass

    
      Rüdiger Linhof"
"9","Sportfreunde Stiller","Mag Tischtennis!","Mtv unplugged in new york live deluxe version","[Strophe 1]
Mit freudigem Bedauern stellten sie fest
Wie einer von ihnen das Spielfeld verlässt
Wie ein kleiner Mann von nun an draußen stand
In regennasser Kleidung und 'nem Ball in der Hand
Er wär' so gerne einer von ihnen gewesen
Wäre er doch nicht der Weisheit seiner Eltern aufgesessen
Das Spiel sei so blöde wie öde
Und seine Anhänger im Kopf nur bierleer
Sieh doch her wie unser Nachbar
Mit dreißig noch rumrennt
Mit Emblemen von den Löwen
Vom Kopf bis unters Hemd
Mir hat's ganz gut gefallen
Doch so durfte ich nicht werden
Sie sprachen hier und da mal
Wie zur Warnung vom Enterben

[Refrain]
Mag doch einfach Tischtennis, mein Kind
Schau wie gut Chinesen darin sind
Mag doch einfach Tischtennis, mein Kind
Schau wie gut Chinesen darin sind
Schau wie gut Chinesen darin sind

[Strophe 2]
Sie wollten nicht autoritär erscheinen
Sie wollten doch einfach nur fair zu mir sein
Sie boten mir etliche Alternativen
Gut für meinen Rücken, den schiefen
Dieses Problem sollte mich nicht länger wurmen
Ich könne auch gerne ins Sonderturnen
Oder mit meinem Freund, dem einsamen Hans
Zusammen in Gymnastik und Tanz

[Refrain]
Mag doch einfach Tischtennis, mein Kind
Schau wie gut Chinesen darin sind
Mag doch einfach Tischtennis, mein Kind
Schau wie gut Chinesen darin sind
Schau wie gut Chinesen darin sind

[Bridge]
Mach nicht mit bei diesem Lümmelspiel
Werd nicht so wie diese schmutzigen Halunken
So animalisch und debil
So spaßbesessen und ständig betrunken

[Refrain]
Mag doch einfach Tischtennis, mein Kind
Schau wie gut Chinesen darin sind
Mag doch einfach Tischtennis, mein Kind
Schau wie gut Chinesen darin sind
Schau wie gut Chinesen darin sind



","https://genius.com/Sportfreunde-stiller-mag-tischtennis-lyrics","Released 2009
Featuring

    
      The Subways & Udo Jürgens
Producers

    
      Ralf Weigand & Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Assisted By

    
      Flo Baer
Bass

    
      Rüdiger Linhof"
"10","Sportfreunde Stiller","Ein Kompliment","Mtv unplugged in new york live deluxe version","[Strophe 1]
Wenn man so will, bist du das Ziel einer langen Reise
Die Perfektion der besten Art und Weise
In stillen Momenten leise
Die Schaumkrone der Woge der Begeisterung
Bergauf mein Antrieb und Schwung

[Refrain]
Ich wollte dir nur mal eben sagen, dass du das Größte für mich bist
Und sichergeh'n, ob du denn dasselbe für mich fühlst
Für mich fühlst

[Strophe 2]
Wenn man so will, bist du meine Chillout-AreaMeine Feiertage in jedem JahrMeine Süßwarenabteilung im Supermarkt
Die Lösung, wenn mal was hakt
So wertvoll, dass man es sich gerne aufspart
Und so schön, dass man nie darauf verzichten mag

[Refrain]
Ich wollte dir nur mal eben sagen, dass du das Größte für mich bist
Und sichergeh'n, ob du denn dasselbe für mich fühlst
Für mich fühlst

[Interlude]

[Refrain]
Ich wollte dir nur mal eben sagen, dass du das Größte für mich bist
Und sichergeh'n, ob du denn dasselbe für mich fühlst

","https://genius.com/Sportfreunde-stiller-ein-kompliment-lyrics","Released 2009
Featuring

    
      The Subways & Udo Jürgens
Producers

    
      Ralf Weigand & Uwe Hoffmann
Writers

    
      Florian Weber, Peter Stephan Brugger & Rüdiger Linhof
Assisted By

    
      Flo Baer
Bass

    
      Rüdiger Linhof"
