"";"artist";"title";"album";"text";"url";"metadata"
"1";"Sportfreunde Stiller";"Eine Hymne auf dich";"New york rio rosenheim";"Hey, hey, my, my
Selbstkritik will never die
Doch du gehst schon ganz gebückt
Von vielen Zweifeln fast zerdrückt
Dabei bist du im wahrsten Sinn
Für viele Fels und Rettungsring

Also raus aus den Schatten
Rein ins Licht
Sich ein wenig feiern
Schadet nicht

[Refrain]
Du bist du und ich bin ich
Jeder hier hat sein Gesicht
Sing doch mal gelegentlich
Eine Hymne auf dich!

Hurra, Hurra wer bin ich?
Fragezeichen über deinem Kopf
Sogar auf der Suche nach dir selbst
Beflügelst du den ganzen Mob
Du stellst dich schüchtern hinten an
Und schiebst von dort so vieles an

Also raus aus den Schatten
Rein ins Licht
Sich ein wenig feiern
Schadet nicht

[2x Refrain]

[Bridge]

[2x Refrain]

Sing doch mal gelegentlich
Eine Hymne auf dich!

Sing doch mal gelegentlich
Eine Hymne auf dich!";"https://genius.com/Sportfreunde-stiller-eine-hymne-auf-dich-lyrics";"Released May 24, 2013
Producers

    
      Sportfreunde Stiller
Writers

    
      Sportfreunde Stiller"
"2";"Sportfreunde Stiller";"Wenn Pferde schlafen";"New york rio rosenheim";"Ich bin wie weggetreten
Steh völlig neben mir
Räum meine Schuhe in den Trockner
Und füll Zucker in mein Bier
Ich sag so Sachen wie ""gibt's eigentlich 'nen Sensographen""
Auf die Frage, ob Pferde denn im Stehen schlafen

Ich steig im falschen Gleis
In den falschen Zug
Setz mich auf den falschen Platz
Und damit nicht genug:
Ich laber Leute voll
Die ich gar nicht kenn'
Während ich andere, dich ich kenn'
Beim falschen Namen nenn'

[Refrain]
Immer wenn ich denke ""ich denke an nichts""
Denk ich immer nur an dich!
Immer nur
Ich denk immer nur an dich!

Serious
Ich bin wie auf Pillen
Ich laufe wie auf Rillen
Wie 'ne Platte mit 'nem Sprung
Und fühl mich dabei seltsam jung
Ich platze pfeifend in 'nen stillenAudimax
Mein Bauch fährt auf und ab
Ähnlich wie der Dax

[Refrain]

Ich raffe überhaupt nichts mehr
Und gaffe Hunden hinterher

[Refrain]

Immer nur an dich
Ich denk immer nur an dich
An dich, an dich!
Immer nur an dich
An dich, an dich!
Ich denk immer nur an dich!";"https://genius.com/Sportfreunde-stiller-wenn-pferde-schlafen-lyrics";"Released May 24, 2013
Producers

    
      Sportfreunde Stiller
Writers

    
      Sportfreunde Stiller"
"3";"Sportfreunde Stiller";"Applaus, Applaus";"New york rio rosenheim";"[Strophe 1]
Ist meine Hand eine Faust, machst du sie wieder auf
Und legst die deine, in meine
Du flüsterst Sätze mit Bedacht, durch all den LärmAls ob sie mein Sextant und Kompass wär'n

[Refrain]
Applaus, Applaus, für deine Worte
Mein Herz geht auf, wenn du lachst
Applaus, Applaus, für Deine Art mich zu begeistern
Hör niemals damit auf
Ich wünsch mir so sehr, du hörst niemals damit auf

[Strophe 2]
Ist meine Erde eine Scheibe, machst du sie wieder rund
Zeigst mir auf leise Art und Weise, was Weitsicht heißt
Will ich mal wieder mit dem Kopf durch die WandLegst du mir Helm und Hammer in die Hand

[Refrain]
Applaus, Applaus, für deine Worte
Mein Herz geht auf, wenn du lachst
Applaus, Applaus, für Deine Art mich zu begeistern
Hör niemals damit auf
Ich wünsch mir so sehr, du hörst niemals damit auf
Applaus, Applaus (Applaus, Applaus), für deine Worte
Mein Herz geht auf (mein Herz geht auf), wenn du lachst
Applaus, Applaus, für Deine Art mich zu begeistern
Hör niemals damit auf
Ich wünsch mir so sehr, du hörst niemals damit auf";"https://genius.com/Sportfreunde-stiller-applaus-applaus-lyrics";"Released May 24, 2013
Producers

    
      Sportfreunde Stiller
Writers

    
      Sportfreunde Stiller"
"4";"Sportfreunde Stiller";"New York, Rio, Rosenheim";"New york rio rosenheim";"Wir strahl´n wie ein Reaktor
Nach nem Pilzrisotto
Unsere Liebe wankt nicht
Wie die Partei im Wahlkampflotto
Unser Fieber steigt
Schneller als der Meeresspiegel
Wir woll´n nich Leben
Wie ein eingerollter Igel
Wir lieben unser Leben
Und das Göttliche in jedem
Sie schürren Angst und Frust
Wir haben darauf keine Lust

Knips die Sonne aus
Alles muss dunkel sein
Zündet die Kerzen an
In New York, Rio, Rosenheim
Die Welt ist groß genug
Wir sind nicht allein
Zündet ein Leuchtsignal
In New York, Rio, Rosenheim

Wir surfen euer Lügenmeer
Verkauft uns nicht für dumm
Wir wissen ihr tratscht schwer
Nur wer hat die Macht
Wer macht was warum
Wir lieben unser Leben
Das gemeinsamme in jedem
Wer hat schon Bock auf Angst und Frust
Wir haben darauf keine Lust

3x

Knips die Sonne aus
Alles muss dunkel sein
Zündet die Kerzen an
In New York, Rio, Rosenheim
Die Welt ist groß genug
Wir sind nicht allein
Zündet ein Leuchtsignal
In New York, Rio, Rosenheim";"https://genius.com/Sportfreunde-stiller-new-york-rio-rosenheim-lyrics";"Released May 24, 2013
Producers

    
      Sportfreunde Stiller
Writers

    
      Sportfreunde Stiller"
"5";"Sportfreunde Stiller";"Unter unten!";"New york rio rosenheim";"[Strophe 1]
Habt ihr auch davon gehört
Dass sich mancher gar nicht stört
Wenn er das Niveau verlässt
Gegen Regeln dann verstößt
Weil ihm der Schalk im Nacken sitzt
Er die Moral komplett vergisst
Und sich so schlimm gehen lässt
Bis er in die Hose nässt

[Pre-Rerain]
So weit würden wir nie gehn
Woll'n es ja nur verstehn
Testen das nur kurz mal an
Damit man auch mitreden kann

[Refrain]
Unter uns und unter unten
Ist noch jede Menge Platz
Warte nicht auf mich
Ich komm heut nicht nach Haus, mein Schatz

[Strophe 2]
Habt ihr schon davon gehört
Dass wenn man viele Kelche leert
Es irritierend schnell passiert
Dass der Charakter variiert
Wir schnuppern kurz an einer Brust
Hui, die Hand kriegt Wanderlust
Diese schamfreie Narretei
Schreit nach Kneipenschlägerei

[Pre-Refrain]
So weit wollten wir nie gehn
Woll'n es ja nur verstehn
Testen das nur kurz mal an
Damit man auch mitreden kann

[Refrain]
Unter uns und unter unten
Ist noch jede Menge Platz
Warte nicht auf mich
Ich komm' heut nicht nach Haus, mein Schatz

[Bridge: Albumversion/(nur auf „Peer-Version“)]
Wir wollen unsern Nierenbecken
Mit zu vielen Bieren necken
Wankend an der Theke lehnen
Breitbeining das rundum leeren
Voll entblößt im Tanzbereich
Rufen auf zum Schwanzvergleich
So fragt das dumme Lmmelpack
Wer den größten Pimmel hat
(Deine Mutter)
Zicke zacke, zicke zacke, hoi, hoi, hoi
Zicke zacke, zicke zacke, hoi, hoi, hoi
Zicke zacke, zicke zacke, hoi, hoi, hoi
Zicke zacke, zicke zacke, hoi, hoi, hoi

[Refrain]
Unter uns und unter unten
Ist noch jede Menge Platz
Warte nicht auf mich
Ich komm' heut nicht nach Haus, mein Schatz

";"https://genius.com/Sportfreunde-stiller-unter-unten-lyrics";"Released May 24, 2013
Producers

    
      Sportfreunde Stiller
Writers

    
      Sportfreunde Stiller"
"6";"Sportfreunde Stiller";"Es muss was Wunderbares sein (von mir geliebt zu werden)";"New york rio rosenheim";"[Strophe 1]
Liebes Fräulein, ich möchte mich zu dir setzen
Und mit dir ein paar Sätze wechseln
Um dir zu erklär'n, dass wir zusammen gehör'n
Gestatten: Mein Name ist nicht von Belang
Wichtig ist nur, ich bin nicht wie die andern
Ich führe dich voll und ganz bei unserem Tanz
Ich bin kein bekannter Herzensbrecher
Kein verkappter Schwerverbrecher
Sondern ein Charmeur, mit einem heißem Flair
Ich bin kein Millionär, kein Schauspieler und Schwindler
Ich habe keine Hobbys, bin ausschließlich für dich da
Alles was ich geben kann ist unendlich und Lebenslang
Ein Konzentrat an Liebe

[Refrain]
Es muss was Wunderbares sein, von mir geliebt zu werden
Du bist für immer mein auf dieser schönen Erde!
Mit mir tanzt sich's schön durch's Leben
Es kann wohl nicht's Schöneres geben
Es muss was Wunderbares sein, von mir geliebt zu werden!

[Strophe 2]
Sie sagt zu mir
Romantische Stunden mit leichten Bisswunden
Ein Höllenritt, gerne auch zu Dritt
Mit Zeder und Parfüm im Lederkostüm
Ich hebe dich auf Wolke sieben
Mit Hilfe von Rohrstock und Riemen
So tu' ich meine Sehnsucht kund
Mit einem rotem Ball im Mund
Alles nur aus Liebe!

[Refrain]
Es muss was Wunderbares sein, von mir geliebt zu werden
Du bist für immer mein auf dieser schönen Erde!
Mit mir tanzt sich's schön durch's Leben
Es kann wohl nicht's Schöneres geben
Es muss was Wunderbares sein, von mir geliebt zu werden!
Es muss was Wunderbares sein, von mir geliebt zu werden
Du bist für immer mein auf dieser schönen Erde!
Mit mir tanzt sich's schön durch's Leben
Es kann wohl nicht's Schöneres geben
Es muss was Wunderbares sein, von mir geliebt zu werden!
Es muss was Wunderbares sein!
Es muss was Wunderbares sein!
Mit mir tanzt sich's schön durch's Leben
Es kann wohl nichts Schöneres geben!
Es muss was Wunderbares sein, von mir geliebt zu werden!";"https://genius.com/Sportfreunde-stiller-es-muss-was-wunderbares-sein-von-mir-geliebt-zu-werden-lyrics";"Released May 24, 2013
Producers

    
      Sportfreunde Stiller
Writers

    
      Sportfreunde Stiller"
"7";"Sportfreunde Stiller";"Clowns & Helden";"New york rio rosenheim";"[Strophe 1]
Vielleicht ist alles ja ganz anders
Und so 'ne Meinung, muss nicht für immer steh'n
Vielleicht ist da ja noch viel mehr
Und man kann's nicht auf dem ersten Blick gleich sehen

[Refrain]
Und jetzt, schau mich an, vielleicht siehst du dann
Ich bin ein Clown
Ich bin ein Held
Und alles, was mir gefällt

[Strophe 2]
Vielleicht ist ja alles ja viel leichter
Und man denkt und denkt und denkt sich oft nur fest
Vielleicht ist da ja noch viel mehr
Und man vergisst all zu oft den schönen Rest

[Refrain]
Und jetzt, schau mich an, vielleicht siehst du dann
Ich bin ein Clown
Ich bin ein Held
Und alles, was mir gefällt
Und jetzt, schau mich an, vielleicht siehst du dann
Ich bin ein Clown
Ich bin ein Held
Und alles, was mir gefällt

[Bridge]
Alles, was mir gefällt
Alles, was mir gefällt

[Refrain]
Und jetzt, schau mich an, vielleicht siehst du dann
Ich bin ein Clown
Ich bin ein Held
Und alles, was mir gefällt
Und jetzt, schau mich an, vielleicht siehst du dann
Ich bin ein Clown
Ich bin ein Held
Und alles, was mir gefällt
Alles, was mir gefällt

";"https://genius.com/Sportfreunde-stiller-clowns-and-helden-lyrics";"Released May 24, 2013
Producers

    
      Sportfreunde Stiller
Writers

    
      Sportfreunde Stiller"
"8";"Sportfreunde Stiller";"Festungen & Burgen";"New york rio rosenheim";"[Strophe 1]
Du kannst Festungen und Burgen bau'n
So kann dir keiner etwas tun
Du kannst rauchen und trinken und schlucken
Bis die Dämonen kurz mal ruh'n

[Pre-Refrain]
Doch du kannst mir kaum mehr in die Augen schau'n
Ich wünschte, du könntest dich mir anvertrau'n

[Refrain]
Wohin gehst du mit all deinem Schmerz?
Wohin trägst du dein verletztes Herz?

[Strophe 2]
Du kannst ballern und schießen und wüten
Haust alles kurz und klein
Und dann stehst du vor den Trümmern
Einsam und allein

[Pre-Refrain]
Und du kannst mir kaum mehr in die Augen schauen
Ich wünschte, du könntest dich mir anvertrau'n

[Refrain]
Wohin gehst du mit all deinem Schmerz?
Wohin trägst du dein verletztes Herz?

[Outro]
Du redest Dich um Kopf und Kragen
Nur kein Wort von deinem Leid
Musst nicht alles alleine tragen
Es wird leichter wenn du teilst
Bleib doch nicht alleine
Mit all deinem Schmerz
Teile ihn und heile dein Herz
Bleib doch nich' alleine
Mit all deinem Schmerz
Teile ihn und heile dein Herz";"https://genius.com/Sportfreunde-stiller-festungen-and-burgen-lyrics";"Released May 24, 2013
Producers

    
      Sportfreunde Stiller
Writers

    
      Sportfreunde Stiller"
"9";"Sportfreunde Stiller";"Wieder kein Hit";"New york rio rosenheim";"[Strophe 1]
Ich hab mich heut' erst nochmal umgedreht
Und mir 'ne feine Scheibe aufgelegt
Ich war Punk, Rapper und Kommunist
Wollt mal ausprobieren, wie das so ist
Ich war entzückt, verzaubert und berührt
Ich war betroffen, ich hab's gespürt
Hab' was gekauft, was ich nicht brauch'
Verschenken geht ja auch
Und alles was ich dann noch tat, war keine Diät
Es wurde sehr spät
Kein Shades of Grey, Carlifonia ey

[Refrain]
Ich hab heut' wieder keinen Hit geschrieben
Doch damit hab ich meinen Frieden
Hab mal wieder nicht gemacht was ich sollte, sondern einfach nur was ich wollte

[Strophe 2]
Hab ihn gefragt: „Was das soll?“
Hab ihr gesagt: „Du bist toll!“
Bin rausgefahren, hab' angehalten, mich unterhalten Mit Jungen und Alten
Bin mit schrillen Vögeln abgehoben
Hey ungelogen: Ich schaute Moody und Runkle
Hörte Simon & Garfunkel
Kurz rief die Pflicht, doch ich hörte sie nicht!

[Refrain]
Ich hab' heut' wieder keinen Hit geschrieben
Dafür schwob ich auf Wolke sieben
Hab' mal wieder nicht gemacht was ich sollte, sondern einfach nur was ich wollte

[Bridge]
Soll ich dich lieben gehen, Melodien stehlen? Für meinen Evergreen?
Ach was ich leg mich hin!

[Refrain]
Ich hab heut' wieder keinen Hit geschrieben
Doch damit hab ich meinen Frieden
Hab mal wieder nicht gemacht was ich sollte, sondern einfach nur was ich wollte

";"https://genius.com/Sportfreunde-stiller-wieder-kein-hit-lyrics";"Released May 24, 2013
Producers

    
      Sportfreunde Stiller
Writers

    
      Sportfreunde Stiller"
"10";"Sportfreunde Stiller";"Lederjacke";"New york rio rosenheim";"[Strophe 1]
Ich leih' dir alle meine Ideen
Kannst sie haben, kannst sie nehmen
Ich borg' dir Hut, Shirt und Bett
Komm mach's dir darin nett
Ich teile meine Zeit, meine Freunde, meine Lieder
Es tat mir niemals leid, ich tu' es immer gerne wieder
Ich tu's gerne immer wieder

[Refrain]
Ich schenke dir, ich schenke dir, schenk' dir mein ganzes Leben
Meine Lederjacke kriegst du nicht
Ich schenke dir, ich schenke dir, schenk' dir mein ganzes Leben
Meine Lederjacke kriegst du nicht

[Strophe 2]
Ich zeig' dir meine Tiefen, meine Bilder und Geschichten
Und wenn sie zu viel triefen, lass uns neue dichten

[Refrain]
Ich schenke dir, ich schenke dir, schenk' dir mein ganzes Leben
Meine Lederjacke kriegst du nicht
Ich schenke dir, ich schenke dir, schenk' dir mein ganzes Leben
Meine Lederjacke kriegst du nicht

[Interlude]

[Refrain]
Ich schenke dir, ich schenke dir, schenk' dir mein ganzes Leben
Meine Lederjacke kriegst du nicht
Ich schenke dir, ich schenke dir, schenk' dir mein ganzes Leben
Meine Lederjacke kriegst du nicht

[Outro]
Ich schenke dir, ich schenke dir, schenk' dir mein ganzes Leben
Meine Lederjacke kriegst du nicht
";"https://genius.com/Sportfreunde-stiller-lederjacke-lyrics";"Released May 24, 2013
Producers

    
      Sportfreunde Stiller
Writers

    
      Sportfreunde Stiller"
