artist,title,album,text,url,metadata
Subway to Sally,"Alle, Psallite Cum Luya",Bannkreis,"Alle, psallite cum luya
Alle, concrebando psallite cum luya
Alle, corde voto Deo toto psallite cum luya
Alleluya!",https://genius.com/Subway-to-sally-alle-psallite-cum-luya-lyrics,Released 1997
Subway to Sally,Unterm Galgen,Bannkreis,"Schwarz der Platz vor lauter Menschen
Die im Morgengrauen stehn
Ein Gedränge in der Menge
Jeder kommt um mich zu sehn
Dort der Galgen und die Stricke
Und des Henkers kalte Blicke
Eine Treppe, sieben Stufen
Und die Schergen, die mich rufen

Dies kenn ich aus hundert Gängen
Schrei's euch lachend ins Gesicht:
Es ist unnütz mich zu hängen
Sterben, sterben kann ich nicht!

Fest gezimmert sind die Balken
Ragen schwarz zum Himmel auf
Eine früh ergraute Witwe
Lässt den Tränen freien Lauf
Würdevoll erscheint der Priester
Aus dem Buch der Bücher liest er
Und der Henker mit Geschick
Legt die Schlinge um's Genick

Dies kenn ich aus hundert Gängen
Schrei's euch lachend ins Gesicht:
Es ist unnütz mich zu hängen
Sterben, sterben kann ich nicht!

Es graut der Tag, der Henker kommt
Um mir den Tod zu geben
Ich kann nicht sterben, denn ich weiß
Mein Lied wird ewig leben

Auch nach hundert Todesgängen
Schrei ich es euch ins Gesicht:
Es ist unnütz, mich zu hängen
Sterben, sterben kann ich nicht!",https://genius.com/Subway-to-sally-unterm-galgen-lyrics,Released 1997
Subway to Sally,Ein Baum,Bannkreis,"Ich schneide nun das Haar nicht mehr
Horch wie die Blätter treiben
Der Wald pflanzt Hölzer in mein Herz
Ich streck die Arme himmelwärts
Um immer hier zu bleiben

Die Nägel senken sich hinein
Ins Reich der Mutter Erde
Schon krümmt und bricht sich mir die Haut
Hab Sand und Steine viel verdaut
Dass ich so müde werde

Ein Baum, mit Käfern im Gesicht
Mit Moos in meinem Haar
Die Haut so hart wie Stein

Durch meine Finger geht der Wind
War's gestern, war es heute
Den Winter lang werd ich nicht wach
Ein Specht klopft an mein Schädeldach
Und hofft auf fette Beute

Mein Haupt wird grün, der Sommer kommt
Mit Tautropfen und Regen
Ein Zittern geht durch meinen Stamm
Ich hör sie schon, sie kommen an
Die Männer mit den Sägen

Ein Baum, mit Käfern im Gesicht
Mit Moos in meinem Haar
Die Haut so hart wie Stein",https://genius.com/Subway-to-sally-ein-baum-lyrics,Released 1997
Subway to Sally,Das Rätsel,Bannkreis,"Ich bin das namenlose Licht
Der Himmel und die Erde
Bin die Mutter und das Kind
Der Hirte deiner Herde
Bin dein Stecken und dein Stab
Bin das Kreuz auf deinem Grab
Bin im Atem und im Wind
Weißt du wer ich bin?

Ich sitze auf dem Thron der Welt
Die Schlange fiel zur Erde
Es kommt mein Reich und meine Zeit
Wenn ich geboren werde
Ein Harlekin mit bösem Blick
Wer mit mir geht, kommt nie zurück
Ich komm als Jüngling und als Weib
Weißt du wer ich bin?

Ich bin aus Staub und Lehm gemacht
Aus Feuer und aus Licht
Ein Tier, das trauert und das lacht
Ich greife nach den Sternen
Ein Ding, das Gut und Böse kennt
Barfuß durch die Wüste rennt
Ich bin Gebieter und Lakai
Weißt du wer ich bin?",https://genius.com/Subway-to-sally-das-ratsel-lyrics,Released 1997
Subway to Sally,Kruzifix,Bannkreis,"Fürwahr, du bist ein armer Tropf
Jahrtausende dort oben
Aus Linde ist dein harter Kopf
Weiß Gott, das ist zu loben
Dein Vater schweigt, die Jünger auch
Dein Kreuz steht an den Wegen
Steht auf den Gräbern, so der Brauch
Bei Sonne und bei Regen

Dein Arm ist steif, dein Kopf ist müd
Du hast nun ausgerungen
Säh ich, wie jeder vor mir kniet
Wär ich herab gesprungen

Holzstück da oben, alter Narr
Was kommst du nicht herunter
Was willst du noch, was siehst du starr
Auf all die neuen Wunder
Die Dornenkrone ziert dein Haar
Dein Fleisch hat tausend Wunden
Sie haben dich bei Gott fürwahr
Nun lang genug geschunden

Dein Arm ist steif, dein Kopf ist müd
Du hast nun ausgerungen
Säh ich, wie jeder vor mir kniet
Wär ich herab gesprungen",https://genius.com/Subway-to-sally-kruzifix-lyrics,Released 1997
Subway to Sally,Sanctus,Bannkreis,"Sanctus, sanctus, sanctus dominus Deus Sabaoth
Pleni sunt celi et terra gloria tua
Hosanna in excelsis
Benedictus qui venit in nomine Domini
Hosanna in excelsis",https://genius.com/Subway-to-sally-sanctus-lyrics,Released 1997
Subway to Sally,Zu Spät,Bannkreis,"Nichts wiegt mehr viel in dieser Zeit
Der Narren und der Toren
Nicht mehr als hätt ein müder Strauch
Ein Blatt verloren
Die Blätter falln, wer heute schreit
Ist morgen schon gewesen
Die Zeile, die mein Leben schreibt
Wird niemand lesen

Der Zeiger läuft und kommt nie an
Gebietet mir nach festem Plan
Was ich auch tu er geht und geht
Und tickt: zu spät, zu spät, zu spät!

Die Berge trägt der Regen ab
Und schwemmt sie flußwärts in das Meer
In den Ruinen wächst das Gras
Vorbei und lange her
Mir bleibt nur eine kurze Zeit
Voll Mühsal und Beschwerde
Des Suchens und der Wanderschaft
Auf dieser Erde

Der Zeiger läuft und kommt nie an ...

Und unserm schlummernden Gebein
Das schwarz der Tod umdüstert
Dem duftet nicht der Rosenhain
Der leis am Grabe flüstert
Dein weißer Leib, so zart und weich
So kostbar, glatt und makellos
Auch er versinkt im Schattenreich
Auch dich erwartet dieses Los

Der Zeiger läuft und kommt nie an ...",https://genius.com/Subway-to-sally-zu-spat-lyrics,Released 1997
Subway to Sally,Liebeszauber,Bannkreis,"Dort wo gar nichts wachsen sollte
Und nur Stein vom Berge rollte
Hab drei Blumen ich gepflanzt
Und mit Wünschen nachts umtanzt
Hab bei Vollmond sie gegossen
Drei Mal in die Luft geschossen
Sie mit meinem Blut genährt
Dass die Liebe ewig währt

Abrakadabra
Bald schon, bald schon bist du mein

Als die Sterne günstig standen
Und die Kräfte sich verbanden
Sprach mit Tieren ich und Pflanzen
Musste mit dem Einhorn tanzen
Hab gefastet sieben Tage
Schlief in unbequemer Lage
Gab dem Wind ein Haar von dir
Morgen schon gehörst du mir

Abrakadabra
Bald schon, bald schon bist du mein

Dann zog ich mit dem Dolch drei Kreise
Und sang auf ganz besondre Weise
Schnitt dann stumm die Blumen ab
Trug sie in das Tal hinab

Abrakadabra
Bald schon, bald schon bist du mein",https://genius.com/Subway-to-sally-liebeszauber-lyrics,Released 1997
Subway to Sally,Element Des Verbrechens,Bannkreis,"Marie dein Liebster ging mit dir
Den Weg zum Wald, hinaus zur Tür
Er sang ein Lied vom letzten Jahr
Der Wind spielte mit deinem Haar

Dort fern vom Weg im schwarzen Hain
Schlug er mitFäustenauf dich ein
Sag mir, was hat ihn so erregt
Dass er dich einfach niederschlägt?

Marie, dein Liebster ist ein Tier
Hat ohne Grund und einfach dir
Zerschlagen deinen Erdbeermund
Marie, Marie was war der Grund?

Du warst ein Engel sanft und rein
Sie fanden dich im Wald allein
Nach Tagen erst, dein Kleid war weiß
Oh, Marie, Marie was war der Preis?

Marie, dein Liebster ist ein Tier
Hat ohne Grund und einfach dir
Zerschlagen deinen Erdbeermund
Marie, Marie was war der Grund?

Marie, dein Liebster ging zum Fluss
Er schenkte dir noch einen Kuss
Sein Mantel war so schwer wie Blei
Marie, Marie es ist vorbei

Und unterm Kranz und Marmorstein
Liegt nun Marie so weiß und fein",https://genius.com/Subway-to-sally-element-des-verbrechens-lyrics,Released 1997
Subway to Sally,Schlaflied,Bannkreis,"Siehst du die Wolken über uns
Sie tanzen mit dem halben Mond
Siehst du das kleine rote Tier
Das in den schwarzen Büschen wohnt

Der alte Zaun ist längst verfault
Der Wald umarmt den Garten
Siehst du mein Haar, es wird schon grau
Vom Warten, ach vom Warten

Auf meiner Zunge liegt ein Stein
Und Gräser stechen tief in meine Haut
Die Nacht schaut uns aus tausend Augen zu
Komm schlaf mit mir
Bevor der Morgen graut

Hier in den Schatten deines Leibs
Roll ich mich ein um auszuruhn
Kommt erst das Weiß dem Jahr ins Haar
Dann muss ich fortgehn schwarz und stumm

Auf meiner Zunge liegt ein Stein
Und Gräser stechen tief in meine Haut
Die Nacht schaut uns aus tausend Augen zu
Komm schlaf mit mir
Bevor der Morgen graut",https://genius.com/Subway-to-sally-schlaflied-lyrics,Released 1997
