artist,title,album,text,url,metadata
Subway to Sally,Geist des Kriegers,Engelskrieger,"Gebenedeite Dunkelheit
Die Nacht ist klar und heilig
Ich spür' so sehr, es ist jetzt Zeit
Nun fügt sich alles eilig

Ich leugne nicht mehr, was ich bin
Ich diene meiner Sache
Mein Leben hatte nur den Sinn
Dass ich heut' Nacht erwache

Der Geist des Kriegers ist erwacht
Flammt durch die Nacht
Nehmt Euch in acht
Ich hab die Macht!

Ich spür' so eine wilde Lust
Ich zittre vor Verlangen
Mit starkem Arm und breiter Brust
Mein Schicksal einzufangen

Der Geist des Kriegers ist erwacht
Flammt durch die Nacht
Nehmt Euch in acht
Ich hab die Macht!

Gebenedeite Dunkelheit
Die Nacht ist klar und heilig
Ich bin jetzt außerhalb der Zeit...

Ich unterwerf' mich meiner Pflicht
Ich muss dies Werk vollenden;
So hell erstrahlt mein Strafgericht
Es soll euch alle blenden!

Der Geist des Kriegers ist erwacht
Flammt durch die Nacht
Nehmt Euch in acht
Ich hab die Macht!",https://genius.com/Subway-to-sally-geist-des-kriegers-lyrics,Released 2003
Subway to Sally,Falscher Heiland,Engelskrieger,"Wir haben die Tage mit Beten verbracht
Wir flehten zu Dir in jeder Nacht
Dein Wort vor Augen - dein Bild an der Wand
Gedruckt und verbreitet im ganzen Land

Du hast uns verraten, verkauft und verlacht
Hast niemals ein Wunder für uns vollbracht
Es gibt nur noch Rache für deinen Betrug
Es gibt kein Erbarmen - genug ist genug

Du bist der falsche Heiland
Dein ist der jüngste Tag
Wir singen und wir tanzen
Und pinkeln auf dein Grab
Halleluja - falscher Heiland

Du hast uns gepredigt und Lehren erteilt
Hast niemals die Lahmen und Blinden geheilt
Hast Reichtum versprochen - hast Lügen erzählt
Und hast Uns mit heiligen Liedern gequält

Im Glauben an Dich zogen wir in den Krieg
Dort sind wir gefallen - Es gab keinen Sieg
Es gibt nur noch Rache für deinen Betrug
Es gibt kein Erbarmen - genug ist genug

Du bist der falsche Heiland
Dein ist der jüngste Tag
Wir singen und wir tanzen
Und wir pinkeln auf Dein Grab
Halleluja - falscher Heiland

Wir werden Dich suchen - mit Engelsgeduld
Wir werden Dich finden, Du zahlst die Schuld
Es gibt nur noch Rache für deinen Betrug
Es gibt kein Erbarmen - genug ist genug

Halleluja - falscher Heiland
Du bist der falsche Heiland
Dein ist der jüngste Tag
Wir singen und wir tanzen
Und wir pinkeln auf dein Grab

Halleluja - falscher Heiland! Halleluja",https://genius.com/Subway-to-sally-falscher-heiland-lyrics,Released 2003
Subway to Sally,Unsterblich,Engelskrieger,"[1 Verse]

In meinem Blut, da schwimmt der Tod
Er frißt an mir seit Jahr und TagMir bleibt nur noch so wenig Zeit
In meinem Leben
Ich bin so hungrig nach dem Glück
So hungrig war ich nie vorher
Jetzt da das Fieber in mir steigt
Streife ich nachts umher

[Bridge]

Ich habe ein Geschenk für Dich
Es ist das Beste, was ich hab
Ich will, dass etwas von mir bleibt
Drum will ich es dir geben
In diesem Leben

[Chorus]

In deinen Augen spiegelt sich die Ewigkeit
Diese Nacht macht mich unsterblich
In deinen Schoß leg ich die Hoffnung, die mir bleibt
Diese Nacht macht mich unsterblich
Durch mein Blut

[2 Verse]

Einst gab ein andrer mir sein Blut
Es lebt nun in mir fort und fort
Er fragte mich nicht ,ob ich will
Er sprach kein Sterbenswort
Wenn ich nun untergehen muss
Halt ich mich einfach an dir fest
Ich bin kein Rächer der zerstört
Ich bin ein wahrer Schöpfer

[Bridge]

Ich habe ein Geschenk für Dich
Es ist das Beste, was ich hab
Ich will, dass etwas von mir bleibt
Drum will ich es dir geben
In diesem Leben

[Chorus]

In deinen Augen spiegelt sich die Ewigkeit
Diese Nacht macht mich unsterblich
In deinen Schoß leg ich die Hoffnung, die mir bleibt
Diese Nacht macht mich unsterblich
Durch mein Blut",https://genius.com/Subway-to-sally-unsterblich-lyrics,Released 2003
Subway to Sally,Kleine Schwester,Engelskrieger,"[Verse 1]

Woher kommst du, kleine Schwester
Mit der Last auf deinen Schultern
Mit so angestrengtem Lachen
In den Augen so viel Grau?

Woher kommst du, kleine Schwester
Mit so dünnen kalten Fingern
Und dem Zittern in der Stimme
Wie bei einer alten Frau?

[Chorus]

Komm zu mir kleine Schwester
Ich bringe dich ins Licht kleine Schwester
Komm her zu mir ins Licht. Es verbrennt dich nicht

[Verse 2]

Was verbirgst du, kleine Schwester?
Niemand hört die stummen Schreie
Niemand sieht dich leise weinen
Du hast keine Tränen mehr

Was verbirgst du, kleine Schwester?
Welches Werkzeug riss die Wunden?
Was ist in dich eingedrungen?
Du bist so hilflos, still und leer?

[Chorus]

[Verse 3]

Wohin gehst du, kleine Schwester?
Wonach hungert deine Seele?
Nach Vergessen oder Rache?
Nach Vergeltung ohne Plan?

[Chorus]",https://genius.com/Subway-to-sally-kleine-schwester-lyrics,Released 2003
Subway to Sally,Abendlied,Engelskrieger,"Sei ganz leise, sei nicht ängstlich
Schau er hat dich doch so gerne
Über deinem kleinen Bettchen
Schaukeln Sonne, Mond und Sterne

Seine Hand, die große schwere
Quetscht die deine dir entzwei
Und sein Mund, der große dunkle
Summt ein schönes Lied dabei

Kindlein, lass dich küssen, Kindlein, gute Nacht!
Wirst nun schlafen müssen, hast genug gewacht
Schließ zu die goldnen Äuglein
Schlaf ein, schlaf ein, schlaf ein
Du liebes Kindelein!

Schlafe ein, du kleine Tochter!
Auch in dieser dunklen Nacht
Sitzt dein Vater noch am Bettchen
Und hält wacht

Ob am Abend, ob am Morgen
Sei es spät auch, sei es früh
Wird er immer wieder kommen
Seine Liebe schlummert nie

Kindlein, lass dich küssen, Kindlein, gute Nacht!
Wirst nun schlafen müssen, hast genug gewacht
Schließ zu die goldnen Äuglein
Schlaf ein, schlaf ein, schlaf ein
Du liebes Kindelein!",https://genius.com/Subway-to-sally-abendlied-lyrics,Released 2003
Subway to Sally,Narben,Engelskrieger,"Mit der Klinge fahre ich langsam
Meinen Unterarm hinauf
Dann ein Schnitt, klein und flach
Und die Welt um mich blüht auf

Schmerz schärft alle meine Sinne
Jede Faser ist gestimmt
Und ich hör' den Körper singen
Wenn der Schmerz die Last mir nimmt

Tiefer, noch ein bisschen tiefer
Schneid Ich in den weißen Arm
Aus der Wunde sickert lautlos
Dunkles Blut - und mir wird warm

Das Blut so rot, das Blut so rein
Die Zeit heilt meine Wunden nicht
Mein Blut zu sehen ist wunderschön
Mein Blut zu sehen, tröstet mich

Glück durchströmt den ganzen Körper
Schmerz treibt jeden Schmerz heraus
Um auf diese Art zu fühlen
Nehm' ich all das Leid in Kauf

Das Blut so rot, das Blut so rein
Die Zeit heilt meine Wunden nicht
Mein Blut zu sehen ist wunderschön
Mein Blut zu sehen - tröstet mich

Ich verletze nur die Hülle
Alles, was darunter liegt
Hab ich so tief eingeschlossen
Das es sich mir selbst entzieht

Das Blut so rot, das Blut so rein
Die Zeit heilt meine Wunden nicht
Mein Blut zu sehen ist wunderschön
Mein Blut zu sehen - tröstet mich",https://genius.com/Subway-to-sally-narben-lyrics,Released 2003
Subway to Sally,2000 Meilen Unterm Meer,Engelskrieger,"Zwei weiße Segel glitten grad durch deine Augen
Darin die See ist tiefer als ein Lot je ging
Ein Sturm zieht auf mit Wellen, die zum Töten taugen
Die jedes Schiff verschlingen, das am Anker hing

Zwei weiße Haie glitten grad durch deine Augen
Ich schmeck' das bitt're Salz der See in meinem Mund
Es ist noch Angst in mir, wie könnte ich auch glauben
Dass dort kein Zweifel wäre unten auf dem Grund?

Ich versinke. Ich ertrinke
Ich will keine Schmerzen mehr
Ich will dort sein, wo es still ist:
2000 Meilen unterm Meer

Zwei weiße Flügel falten sich um deine Schultern
Im Rausch der Tiefe bist du weiß und wunderschön
Ich weiß genau, du bist jetzt hier, mich zu erlösen
Ich kann nicht weiter schwimmen, bitte lass mich gehn

Ein weißes Licht verschlingt die Haie und die Segel
Verschlingt die See und in mir wird es still, so still
Ich bitte dich, schalt ab die summenden Maschinen
Die mich am Leben halten - länger als ich will

Ich versinke. Ich ertrinke
Ich will keine Schmerzen mehr
Ich will dort sein, wo es still ist:
2000 Meilen unterm Meer",https://genius.com/Subway-to-sally-2000-meilen-unterm-meer-lyrics,Released 2003
Subway to Sally,Knochenschiff,Engelskrieger,"Ein Boot aus Fleisch treibt auf dem Meer
Aus blanken Knochen ist der Mast gemacht
Im Rippengitter unter Deck
Da schlägt ein Herz mit einem Leck
Im Takt der Wellen Tag und Nacht

Wohin soll denn die Reise gehn?
Aufs nächste Riff, aufs nächste Riff!
Ein Büschel Haare weht am Mast
Vom Knochenschiff, vom Knochenschiff

Das Knochenschiff treibt auf dem Meer
Sein Ruder brach schon auf der Jungfernfahrt
Hat sich die Segel tätowiert
Der Kiel ist mit Metall verziert
Und von den Stürmen wird die Haut so hart

Wohin soll denn die Reise gehn?
Aufs nächste Riff, aufs nächste Riff!
Ein Büschel Haare weht am Mast
Vom Knochenschiff, vom Knochenschiff

So manche Narbe ziert den Bauch
Und off'ne Wunden sind dort auch
Das Schiff sehnt sich nach einem Riff so sehr

Wohin soll denn die Reise gehn?
Aufs nächste Riff, aufs nächste Riff!
Ein Büschel Haare weht am Mast
Vom Knochenschiff, vom Knochenschiff",https://genius.com/Subway-to-sally-knochenschiff-lyrics,Released 2003
Subway to Sally,Verloren,Engelskrieger,"Seit nachts dein Atem über meine Haut geweht
Und meine Hand dein Schoßgesträuch zerzaust
Seit ich die Stirn an deinem schlanken Hals gekühlt
Und du mit deinem Haar ein Nest mir baust

Bin ich verloren, verloren
Bin ich verloren an dich
Für diese Welt verloren
Seit ich den Schierlingsbecher von dir nahm und trank
Seit ich den letzten Tropfen aufgeleckt
Seit ich zuletzt noch zitternd deinen Namen rief
Und mich die kalte Erde zugedeckt

Bin ich verloren, verloren
Bin ich verloren an dich
Für diese Welt verloren",https://genius.com/Subway-to-sally-verloren-lyrics,Released 2003
Subway to Sally,Abendland,Engelskrieger,"Vater unser, dort im Himmel -
Schaust du noch auf uns herab
Oder schläfst du, pflichtvergessen
Müde von der großen Tat?

Vater unser, dort im Himmel -
Alles ist im freien Fall
Deine Schöpfung ist verdorben
Unheil lauert überall

Die sterbenden Völker sind müde geworden
Von Weihrauch und süßen Gesängen betört
Verschwindet die Hoffnung, noch aufzuerstehen
Das Lied des Propheten verklingt ungehört

Vater unser, dort im Himmel -
Für nur wenig Silbergeld
Wird erneut dein Sohn verraten
Elend schwängert deine Welt

Vater unser, dort im Himmel -
Wie lang glaubst du, hast du Zeit
Langsam dreht das alte Rad noch
Doch der Stillstand ist nicht weit

Die sterbenden Völker sind müde geworden
Von Weihrauch und süßen Gesängen betört
Verschwindet die Hoffnung, noch aufzuerstehen
Das Lied des Propheten verklingt ungehört

Vater unser, dort im Himmel -
Bald wird es vorüber sein
Über'm Abgrund träumt dein Land sich
Ins Vergessen leis' hinein

Die sterbenden Völker sind müde geworden
Von Weihrauch und süßen Gesängen betört
Verschwindet die Hoffnung, noch aufzuerstehen
Das Lied des Propheten verklingt ungehört",https://genius.com/Subway-to-sally-abendland-lyrics,Released 2003
