artist;title;album;text;url;metadata
Subway to Sally;Das schwarze Meer;Schwarz in schwarz;"Die Woge trifft mit aller Macht auf meine Haut
Was grad noch Wind war, ward zum Sturm und brüllt nun laut
In seiner Pracht könnt dieses Meer nicht schöner sein
Ich steh inmitten seiner Flut, ganz allein

Schwarz ganz schwarz
Trägt es mich weiter
Das Ufer ist so fern
Ich bin allein
Schwarz in schwarz
Zieht es mich weiter
Ich sehne mich so sehr
Nach dem schwarzen Meer!

Wie es mich trägt, wie es mich wiegt, stark und vertraut
Auf diesem Meer hab ich noch nie nach Land geschaut
Vom Kamm der Woge stürz ich tief ins Tal hinein
Ich brauch kein Schiff, ich treib hinaus
Ganz allein...
Ganz allein...
Ich bin ganz allein

Schwarz ganz schwarz
Trägt es mich weiter
Das Ufer ist so fern
Ich bin allein
Schwarz in schwarz
Zieht es mich weiter
Ich sehne mich so sehr
Nach dem schwarzen Meer!

Schwarz in schwarz
Zieht es mich weiter
Ich sehne mich so sehr ...

Schwarz ganz schwarz
Trägt es mich weiter
Das Ufer ist so fern
Ich bin allein
Schwarz in schwarz
Zieht es mich weiter
Ich sehne mich so sehr
Nach dem schwarzen Meer!

Schwarz ganz schwarz
Trägt es mich weiter
Das Ufer ist so fern
Ich bin allein
Schwarz in schwarz
Zieht es mich weiter
Ich sehne mich so sehr
Nach dem schwarzen Meer!";https://genius.com/Subway-to-sally-das-schwarze-meer-lyrics;"Released 2011
Copyright ©

    
      Nuclear Blast
Label

    
      Nuclear Blast
Phonographic Copyright ℗

    
      Nuclear Blast"
Subway to Sally;Kleine Schwester;Schwarz in schwarz;"[Verse 1]

Woher kommst du, kleine Schwester
Mit der Last auf deinen Schultern
Mit so angestrengtem Lachen
In den Augen so viel Grau?

Woher kommst du, kleine Schwester
Mit so dünnen kalten Fingern
Und dem Zittern in der Stimme
Wie bei einer alten Frau?

[Chorus]

Komm zu mir kleine Schwester
Ich bringe dich ins Licht kleine Schwester
Komm her zu mir ins Licht. Es verbrennt dich nicht

[Verse 2]

Was verbirgst du, kleine Schwester?
Niemand hört die stummen Schreie
Niemand sieht dich leise weinen
Du hast keine Tränen mehr

Was verbirgst du, kleine Schwester?
Welches Werkzeug riss die Wunden?
Was ist in dich eingedrungen?
Du bist so hilflos, still und leer?

[Chorus]

[Verse 3]

Wohin gehst du, kleine Schwester?
Wonach hungert deine Seele?
Nach Vergessen oder Rache?
Nach Vergeltung ohne Plan?

[Chorus]";https://genius.com/Subway-to-sally-kleine-schwester-lyrics;"Released 2011
Copyright ©

    
      Nuclear Blast
Label

    
      Nuclear Blast
Phonographic Copyright ℗

    
      Nuclear Blast"
Subway to Sally;Kämpfen wir!;Schwarz in schwarz;"Kommt mit uns in Teufels Küche
Lasst uns Fegefeuer schür'n
Dass die Hölle schier verbrenne
Dass wir endlos die Hitze spür'n
Kommt mit uns in Gottes Garten
Lasst uns Apfelbäume fäll'n
Mögen doch die Götter sterben
Mögen wir die Welt erhell'n

Lasst uns das Eisen schmieden
Lasst uns durchs Feuer geh'n
Lasst nun die Funken sprühen
Lasst uns lichterloh erglühen
Kämpfen wir!

Lasst uns durch die Tore ziehen
Vor uns liegt die weite Welt
Lasst uns nicht im Bette sterben
Besser stirbt es sich als Held
Lasst uns wieder Feinde machen
Wo viel Kampf ist, ist viel Ehr
Mögen unsre Narben breit sein
An dem Tag der Wiederkehr

Lasst uns das Eisen schmieden
Lasst uns durchs Feuer geh'n
Lasst nun die Funken sprühen
Lasst uns lichterloh erglühen
Kämpfen wir! Kämpfen wir

Lasst uns den Kreis vollenden
Einer ist uns nur gegeben
Nur ein Anfang, nur ein Leben

Lasst uns das Eisen schmieden
Lasst uns durchs Feuer geh'n
Lasst nun die Funken sprühen
Lasst uns lichterloh
Lasst uns lichterloh verglühen

Kämpfen wir! Kämpfen wir
Kämpfen wir! Kämpfen wir";https://genius.com/Subway-to-sally-kampfen-wir-lyrics;"Released 2011
Copyright ©

    
      Nuclear Blast
Label

    
      Nuclear Blast
Phonographic Copyright ℗

    
      Nuclear Blast"
Subway to Sally;Bis in alle Ewigkeit;Schwarz in schwarz;"In dem Zimmer über meinem
Wohnt ein Mädchen, Jahr und Tag
Wetzt den Teppich ab, den breiten
Geht im Zimmer auf und ab
Dabei weint sie, laut so laut
Geht und weint so heiße Tränen
Geht und lässt mich nie hinein
Weint als würde sie sich grämen
Weicht die alten Dielen ein
Tropfen sickern durch die Decke
Fallen in mein Bett hinein

Bis in alle Ewigkeit, bis in alle Ewigkeit
Muss sie weiter wandern
Bis wer kommt der sie befreit
Bis wer kommt der sie befreit
Muss sie weiter, immer weiter wandern

Einmal ist sie ausgegangen
Und ich kletterte hinaufHielt mich fest am grünen EfeuStieß die Fensterflügel auf
Was ich sah war reines GrauenDenn ich stand in ihrem AlptraumAlles dort war schwarz wie TeerAlle Wände und der BodenFarbe gab es nirgends mehrWelches Schicksal litt dies Mädchen?Ich verstand die Welt nicht mehr

Bis in alle Ewigkeit, bis in alle Ewigkeit
Muss sie weiter wandern
Bis wer kommt der sie befreit
Bis wer kommt der sie befreit
Muss sie weiter, immer weiter wandern

Und sie weint, bis in alle Ewigkeit
Und sie weint, bis wer kommt der sie befreit
Muss sie weinen, so sehr weinen
Und sie weint so sehr

Bis in alle Ewigkeit, bis in alle Ewigkeit
Muss sie weiter wandern
Bis wer kommt der sie befreit
Bis wer kommt der sie befreit
Muss sie weiter wandern

Bis wer kommt der sie befreit
Muss sie weiter, immer weiter wandern";https://genius.com/Subway-to-sally-bis-in-alle-ewigkeit-lyrics;"Released 2011
Copyright ©

    
      Nuclear Blast
Label

    
      Nuclear Blast
Phonographic Copyright ℗

    
      Nuclear Blast"
Subway to Sally;2000 Meilen Unterm Meer;Schwarz in schwarz;"Zwei weiße Segel glitten grad durch deine Augen
Darin die See ist tiefer als ein Lot je ging
Ein Sturm zieht auf mit Wellen, die zum Töten taugen
Die jedes Schiff verschlingen, das am Anker hing

Zwei weiße Haie glitten grad durch deine Augen
Ich schmeck' das bitt're Salz der See in meinem Mund
Es ist noch Angst in mir, wie könnte ich auch glauben
Dass dort kein Zweifel wäre unten auf dem Grund?

Ich versinke. Ich ertrinke
Ich will keine Schmerzen mehr
Ich will dort sein, wo es still ist:
2000 Meilen unterm Meer

Zwei weiße Flügel falten sich um deine Schultern
Im Rausch der Tiefe bist du weiß und wunderschön
Ich weiß genau, du bist jetzt hier, mich zu erlösen
Ich kann nicht weiter schwimmen, bitte lass mich gehn

Ein weißes Licht verschlingt die Haie und die Segel
Verschlingt die See und in mir wird es still, so still
Ich bitte dich, schalt ab die summenden Maschinen
Die mich am Leben halten - länger als ich will

Ich versinke. Ich ertrinke
Ich will keine Schmerzen mehr
Ich will dort sein, wo es still ist:
2000 Meilen unterm Meer";https://genius.com/Subway-to-sally-2000-meilen-unterm-meer-lyrics;"Released 2011
Copyright ©

    
      Nuclear Blast
Label

    
      Nuclear Blast
Phonographic Copyright ℗

    
      Nuclear Blast"
Subway to Sally;Ins Dunkel;Schwarz in schwarz;"Folg mir hinab ins Dunkel, ich hab die Spur gelegt
Die Trümmer meines Herzens zeigen dir den Weg
Doch warte auf mein Zeichen, nicht von der Stelle weichen
Darfst du, solang der bleiche Mond am Himmel steht

Bist du bei mir, bei mir wenn es beginnt?

Die Schleier werden dichter, die letzten Sternenlichter
Bedeckt ein dunkler Mantel und die Welt wird blind
Es weicht die letzte Helle, wir geh'n über die Schwelle
Und wandern tief und tiefer in das Labyrinth

Bist du bei mir, schließ die Augen, schließ dein Herz!
Bist du bei mir, bei mir wenn es beginnt?

Komm mit mir, komm aus dem Licht
Wir stürzen in die Nacht, die uns zu Schatten macht
Komm mit mir, komm zöger nicht
Wir besiegen Angst und Leid, denn Schatten schwinden in der Dunkelheit

Was weltlich ist, hält inne, wir lenken alle Sinne
Und alle unsre Träume in die dunkle Nacht
An ihrem Rand geboren, da haben wir geschworen
Zu suchen und zu finden, was unsterblich macht

Bist du bei mir, schließ die Augen, schließ dein Herz!
Bist du bei mir, bei mir wenn es beginnt?

Komm mit mir, komm aus dem Licht
Wir stürzen in die Nacht, die uns zu Schatten macht
Komm mit mir, komm zöger nicht
Wir besiegen Angst und Leid, denn Schatten schwinden in der Dunkelheit

Hab keine Angst, (schließ die Augen, lass uns nun gehen,)
Ich bin bei dir, (Hab keine Angst, schließ die Augen,)
Lass uns nun gehen, (zähl leis bis zehn)
Hab keine Angst, (zähl leis bis zehn, lass uns nun gehen,)
Ich bin bei dir, bei dir, wenn es beginnt

Komm mit mir, (Komm mit mir, komm aus dem Licht,)
Wir stürzen in die Nacht, (die uns zu Schatten macht.)
Komm mit mir, (Komm mit mir, komm zöger nicht,)
Wir besiegen Angst und Leid
Denn Schatten schwinden in der Dunkelheit
Denn Schatten schwinden in der Dunkelheit";https://genius.com/Subway-to-sally-ins-dunkel-lyrics;"Released 2011
Copyright ©

    
      Nuclear Blast
Label

    
      Nuclear Blast
Phonographic Copyright ℗

    
      Nuclear Blast"
Subway to Sally;Wo Rosen blüh’n;Schwarz in schwarz;"Sag, was ist das für ein Gott
Der dich so früh entreißt
Der mich zurück lässt, fassungslos
Gebrochen und verwaist?
Ein Gott, der auslöscht und zerstört
Was er doch selbst gemacht
Der mich, den einsam Trauernden
Zurück stößt in der Nacht

Dein Grab ist eine Wunde
Die keine Erde schließt
Ich balle meine Hand zur Faust
Die in den Himmel schießt
Ich breche alle Rosen, zerreiß den Trauerflor
Doch seine Engel singen laut im Chor:

Ein Bett gemacht aus Steinen
Dort wo man schweigt
Wo niemand mehr spricht
Wo Gräser grünen, still und fein
Wo Rosen blüh'n, da sollst du sein

Alle schweigen, jeder weint
Ich würde gerne schrei'n
Was man vom Jenseits dir verspricht
Wird eine Lüge sein
Denn jedes Wort des Seelenhirten
Setzt mir einen Stich
Um diesen Gott zu ehren
Leg ich mich neben dich

Dein Grab ist eine Wunde
Die keine Erde schließt
Ich balle meine Hand zur Faust
Die in den Himmel schießt
Ich breche alle Rosen, zerreiß den Trauerflor
Doch seine Engel singen laut im Chor:

Ein Bett gemacht aus Steinen
Dort wo man schweigt
Wo niemand mehr spricht
Wo Gräser grünen, still und fein
Wo Rosen blüh'n, da will ich sein
Wo Rosen blüh'n, da will ich sein

Ein Bett gemacht aus Steinen
Dort wo man schweigt
Wo niemand mehr spricht
Wo Gräser grünen, still und fein
Wo Rosen blüh'n, da will ich sein
Wo Rosen blüh'n, da will ich sein";https://genius.com/Subway-to-sally-wo-rosen-bluhn-lyrics;"Released 2011
Copyright ©

    
      Nuclear Blast
Label

    
      Nuclear Blast
Phonographic Copyright ℗

    
      Nuclear Blast"
Subway to Sally;Tausend Meilen;Schwarz in schwarz;"Unter einem schwarzen Himmel
Liegt ein todgeweihtes Land
In den Sümpfen lauert Fieber
Ganze Städte sind verbrannt
Wie bin ich hierher gekommen?
Welche Wahrheit ist noch wahr?
Eine große schwarze Wunde
Ist, wo einst die Heimat war

Der Horizont glüht blutig rot
Muss mich entscheiden für den Tod

Tausend Meilen
Tausend Meilen von zu Haus
Tausend Meilen
Tausend Meilen von zu Haus
Tausend Meilen von zu Haus

Dieses Land trägt viele Narben
Im Gesicht und auf der Haut
Die Gebeine meiner Väter
Sind noch lange nicht verdaut
Aus den Söhnen werden Rächer
Werden Väter, sterben jung
Und die Witwen gehen schwanger
Tod heißt die Erinnerung

Der Horizont glüht blutig rot
Muss mich entscheiden für den Tod

Tausend Meilen
Tausend Meilen von zu Haus
Tausend Meilen
Tausend Meilen von zu Haus
Tausend Meilen von zu Haus

Tausend Meilen
Tausend Meilen von zu Haus
Tausend Meilen
Tausend Meilen von zu Haus
Tausend Meilen von zu Haus

Tausend Meilen
Tausend Meilen von zu Haus
Tausend Meilen
Tausend Meilen von zu Haus
Tausend Meilen von zu Haus";https://genius.com/Subway-to-sally-tausend-meilen-lyrics;"Released 2011
Copyright ©

    
      Nuclear Blast
Label

    
      Nuclear Blast
Phonographic Copyright ℗

    
      Nuclear Blast"
Subway to Sally;Mir allein;Schwarz in schwarz;"Der Tag war uns vorherbestimmt
Als ich am Weg dich fand
Ein Wanderer,der ein Blümlein pflückt
So nahm ich deine Hand
Ich nahm dich mit, versprach dir Schutz
Hast dich anfangs noch gewehrt
Dann sahst du ein,ich bin dir gut
So hab ich dich bekehrt
Du tanzt für mich, wenn ich es sag
Du willst nicht mehr zurück
Hier drinnen schweigt die laute Welt
Wir beide haben Glück
Ich weiß genau, was dir gefällt
Die Welt um uns stürzt ein
Doch hier bei mir,da ist es warm
Ich lass dich nie allein

Ich sperr dich ein!

Ich hänge Bilder für dich auf
Von Bergen und von Seen
Du musst nicht fort,musst nicht hinaus
Wirst niemals von mir geh'n
Ob draußen Tag ist oder Nacht
Es kümmert uns nicht mehr
Das Glück wird bald vollkommen sein
Ich geb dich niemals her
Du weißt genau,was mir gefällt
Die Welt um uns stüzt ein
Doch hier bei dir,da ist es warm
Du lässt mich nie allein

Ich sperr dich ein!
Niemals kommst du mir davon
Aus Stahl und Stein
Ist unsre sichere Bastion
Du bist jetzt mein
Dein Weinen höre nur noch ich
Ich werde immer bei dir sein
Denn für immer gehörst du mir allein

Doch wenn sie kommen
An unser Haus
Und nach uns graben
Ist es für uns beide aus
Ich weiß genau
Bevor man unsern Bund zerbricht
Flieh'n wir beide in das Licht!

Ich sperr dich ein";https://genius.com/Subway-to-sally-mir-allein-lyrics;"Released 2011
Copyright ©

    
      Nuclear Blast
Label

    
      Nuclear Blast
Phonographic Copyright ℗

    
      Nuclear Blast"
Subway to Sally;Veitstanz;Schwarz in schwarz;"Ängstlich vor dir Weite suchen
Dich nicht findend, dabei fluchen
Springen, tanzen und mich drehen
Nur noch grelle Farben sehen

Immer neu den Drachen schicken
Meine Haut mit Dornen spicken
Um das Haus im Veitstanz springen
Vor dem Feuer mit dir ringen

Alles dreht sich um mich her
Die Welt versinkt im Farbenmeer
Wenn ich tanze
Mit dir tanze

Geil auf dich die Zweifel töten
In dem Schattenkreis erröten
Wenn ich nackt wie ich geboren
Halb gefunden halb verloren
Halb gezogen halb gesunken
Halb verdurstet halb betrunken
Mitternächtlich bei dir liege
Töricht mich um dich betrüge

Alles dreht sich um mich her
Die Welt versinkt im Farbenmeer
Wenn ich tanze
Mit dir tanze
Wenn ich tanze
Mit dir tanze

In meinem Kopf sind Spiegelscherben
Taumelnd stürz ich ins Verderben
Zwischen Tod und ewig leben
Muss es etwas Drittes geben

Alles dreht sich um mich her
Die Welt versinkt im Farbenmeer
Wenn ich tanze
Mit dir tanze
Wenn ich tanze
Mit dir tanze";https://genius.com/Subway-to-sally-veitstanz-lyrics;"Released 2011
Copyright ©

    
      Nuclear Blast
Label

    
      Nuclear Blast
Phonographic Copyright ℗

    
      Nuclear Blast"
