"","artist","title","album","text","url","metadata"
"1","Tokio Hotel","Komm","Humanoid german version","Komm mit!
Spürst du's auch
Strom und Energie
Isoliert
Wie in Neopren
Unter deiner Haut
Endlos weit
In dir abgetaucht
Schlägt dein Herz
Im Tiefenrausch
Auf der Suche nach dem Licht
Genau wie du und ich

Oh
Komm
Die Nacht ist hell
Komm
Entkomm der Welt
Komm lass dich fallen
Um zu fliegen
Komm
Der Himmel brennt
Komm
Sensationell
Komm
Lass dich fallen
Um zu fliegen
Komm
Komm

Alles neu
Wie'n Prototyp
Schweben wir
Wo es nichts mehr gibt
Wir sind schwerelos
Willst du mehr
Willst du nie zurück
Willst du alles
Dann kommt mit
Wir suchen nach dem Licht
Wir beide du und ich

Oh
Komm
Die Nacht ist hell
Komm
Entkomm der Welt
Komm lass dich fallen
Um zu fliegen
Komm
Der Himmel brennt
Komm
Sensationell
Komm
Lass dich fallen
Um zu fliegen
Komm
Komm

Kommst du mit mir
Kommst du mit mir
Kommst du mit mir
Kommst du mit mir

Komm mit!
Komm mit!

Nimm meine Hand
Wir sind allein
Zusammen wird alles
Anders sein

Oh, komm
Oh, komm
Oh, komm
Du und ich entkommen der Welt
Oh, komm
Oh, komm
Oh, komm
Du und ich entkommen der Welt
Oh, komm
Oh, komm
Oh, komm","https://genius.com/Tokio-hotel-komm-lyrics","Released October 2, 2009
Distribution

    
      Universal Music Group
Executive Producer

    
      Peter Hoffmann, Patrick Benzner, David Jost & 1 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Phonographic Copyright ℗

    
      Hoffmann Benzner Roth & Jost GbR
Label

    
      Universal Music Group & Island Records
Featuring

    
      Jana Pallaske
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Distribution

    
      Universal Music Group"
"2","Tokio Hotel","Sonnensystem","Humanoid german version","Hallo
Hallo

Wir sind irgendwie am Ende und am Anfang
Und wir halten auch zum ersten Mal zusammen
Feine werden Freunde liegen sich im Arm
Wer hätte das gedacht
Wir stehen an der Umlaufbahn egal wohin
Halten 6 Milliarden Daumen in den Wind
Wer weiß ob wir morgen noch am Leben sind
Der Blick geht in die Nacht
Was haben wir falsch gemacht

Hallo Raumschiffkapitän
Hallo haben Sie das gesehen
Die ganzen Sterne fehlen
Im schwarzen Sonnensystem
Im schwarzen Sonnensystem

Hallo
Hallo
Manche sagen sie haben irgendwas gesehen
Manche glauben es ist nur vorrübergehend
Für einen Moment bleiben alle Herzen stehen
Haben so lang nichts mehr gefühlt
Zu weit runter abgekühlt

Hallo Raumschiffkapitän
Hallo haben Sie das gesehen
Die ganzen Sterne fehlen
Im schwarzen Sonnensystem
Im schwarzen Sonnensystem
Im schwarzen Sonnensystem
Im schwarzen Sonnensystem

Ich fall durch die Nacht
Und suche nach dir
Alles zerbricht tief in mir
Die Träume verbrennen
Die Liebe friert ein
Wir schreien zusammen allein

Hallo
Hallo

Hallo Raumschiffkapitän
Hallo haben Sie das gesehen
Die ganzen Sterne fehlen
Im schwarzen Sonnensystem
Im schwarzen Sonnensystem
Im schwarten Sonnensystem
Im schwarzen Sonnensystem","https://genius.com/Tokio-hotel-sonnensystem-lyrics","Released October 2, 2009
Distribution

    
      Universal Music Group
Executive Producer

    
      Peter Hoffmann, Patrick Benzner, David Jost & 1 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Phonographic Copyright ℗

    
      Hoffmann Benzner Roth & Jost GbR
Label

    
      Universal Music Group & Island Records
Featuring

    
      Jana Pallaske
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Distribution

    
      Universal Music Group"
"3","Tokio Hotel","Automatisch","Humanoid german version","Automatisch (6x)

So automatisch
Du bist wie ‘ne Maschine
Dein Herz schlägt nicht für mich

So automatisch
Berühren mich
Deine Hände
Spür alles, nur nicht dich

So automatisch
Deine Stimme – elektrisch
Wo bist du, wenn sie spricht?

So automatisch
Wie du sagst, ich bin dir wichtig
Wer programmiert dich?

Wenn du lachst
Lachst du nicht
Wenn du weinst
Weinst du nicht
Wenn du fühlst
Fühlst du nichts
Weil du ohne Liebe bist

Wie automatisch
Renn ich durch alle Straßen
Und keine führt zu dir

Wie automatisch
Folgen mir deine Schatten
Und greifen kalt nach mir

Du bist wie
Ferngesteuert
Statisch und
Mechanisch
So automatisch

Wenn du lachst
Lachst du nicht
Wenn du weinst
Weinst du nicht
Wenn du fühlst
Fühlst du nichts
Weil du ohne Liebe bist
(Du bist)

Automatisch
Nur automatisch
Automatisch
So automatisch

Dein Blick so leer
Ich kann nicht mehr
Alles an dir
Wie einstudiert
Du stehst vor mir
Und warst nie wirklich hier

Wenn du lachst
Lachst du nicht
Wenn du weinst
(Weinst du nicht)

Wenn du lachst
Lachst du nicht

Wenn du weinst
Weinst du nicht

Wenn du lachst
Lachst du nicht
Wenn du weinst
Weinst du nicht
Wenn du fühlst
Fühlst du nichts
Weil du ohne Liebe bist
(Du bist)

Automatisch
(Wenn du fühlst)
Nur automatisch
(Fühlst du nicht)
Automatisch
(Weil du ohne)
So automatisch
(Liebe bist)
Automatisch","https://genius.com/Tokio-hotel-automatisch-lyrics","Released October 2, 2009
Distribution

    
      Universal Music Group
Executive Producer

    
      Peter Hoffmann, Patrick Benzner, David Jost & 1 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Phonographic Copyright ℗

    
      Hoffmann Benzner Roth & Jost GbR
Label

    
      Universal Music Group & Island Records
Featuring

    
      Jana Pallaske
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Distribution

    
      Universal Music Group"
"4","Tokio Hotel","Lass Uns Laufen","Humanoid german version","[Verse 1]
Der Regen ist laut
Da draußen und hier drinnen
Ist es grau
Dunkle Mauern haben meinen
Fluchtpunkt verbaut
Die Lichter gehen aus
Ich schließ alle Türen
Die Zimmer voll
Visionen von dir
Mein Herzschlag lässt
Den Boden vibrieren
Ich hab nichts mehr
Zu verlieren

[Chorus]
Oh
Lass uns laufen
Wenn die Dunkelheit kommt
Irgendwo hat unsere Zukunft
Begonnen
Hinterm Horizont
Oh
Lass uns laufen
Bis die Nacht sich erhellt
Und bis der letzte Regen
Der Welt
Über uns zerfällt

[Verse 2]
Ich geh auf den Schienen
Ich lass mich von den
Wolken mitziehen
Und zähle jeden Schritt
Ohne Sinn
Irgendwohin

Ich weiß nicht was kommt
Ich weiß nicht was war
Ich weiß nur
Du bist nicht mehr da
Der Wind weckt mich auf
Ich merk dass ich lauf

[Chorus]
Oh
Lass uns laufen
Wenn die Dunkelheit kommt
Irgendwo hat unsere Zukunft
Begonnen
Hinterm Horizont
Oh
Lass uns laufen
Bis die Nacht sich erhellt
Und bis der letzte Regen
Der Welt
Über uns zerfällt

[Verse 3]
Über uns zerfällt
Über uns zerfällt
Über uns zerfällt

Wie tief ist zu tief
Wie weit ist zu weit
Wo ist der Anfang
Und das Ende der Zeit
Gib mir einen Sinn
Bitte bring mich dahin

Lass uns laufen
Lass uns laufen
Lass uns laufen

[Outro]
Oh
Lass uns laufen
Bis die Nacht sich erhellt
Und bis der letzte Regen
Der Welt
Über uns zerfällt","https://genius.com/Tokio-hotel-lass-uns-laufen-lyrics","Released October 2, 2009
Distribution

    
      Universal Music Group
Executive Producer

    
      Peter Hoffmann, Patrick Benzner, David Jost & 1 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Phonographic Copyright ℗

    
      Hoffmann Benzner Roth & Jost GbR
Label

    
      Universal Music Group & Island Records
Featuring

    
      Jana Pallaske
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Distribution

    
      Universal Music Group"
"5","Tokio Hotel","Humanoid (German Version)","Humanoid german version","[Verse 1]
Gegen Liebe, gegen Hass
Gegen die Sonne, gegen Nacht
Gegen die Regeln, gegen Macht
Gegen alles, gegen alles
Ich bin

Humanoid
Humanoid

Gib mir Leben, gib mir Luft
Mein Herz schlägt weiter
Weil es muss
Ich lauf meinem Schatten
Hinterher, gib mir mehr
Gib mir mehr, immer mehr

[Chorus]
Humanoid
Humanoid
Humanoid, komm zurück
Humanoid, komm zurück und

[Verse 2]
Nimm mir mein Herz
Nimm mir den Schmerz
Zwischen den Welten
Bin ich gefangen
Koordinaten unbekannt
Halt mich, sonst fall ich
Halt mich

Ich will mein Herz nicht
Ich will den Schmerz nicht
Ich will meine Kopft nicht
Will den Scheiss nicht
Will den Dreck nicht
Will nicht

[Chorus]
Humanoid
Humanoid
Humanoid, komm zurück
Humanoid, komm zurück und

[Verse 3]
Nimm mir mein Herz
Nimm mir den Schmerz
Ich kann nicht mehr
Halt mich, halt mich

Zwischen die Welten
Bin ich gefangen
Koordinaten unbekannt
Halt mich, sonst fall ich
Halt mich

Gib mir was ich fühlen kann
Und zeig mir was ich sehen kann
Zwischen den Welten
Bin ich gefangen
Koordinaten unbekannt

[Outro]
Gegen die Regeln
Gegen Macht
Gegen alles
Gegen alles","https://genius.com/Tokio-hotel-humanoid-german-version-lyrics","Released October 2, 2009
Distribution

    
      Universal Music Group
Executive Producer

    
      Peter Hoffmann, Patrick Benzner, David Jost & 1 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Phonographic Copyright ℗

    
      Hoffmann Benzner Roth & Jost GbR
Label

    
      Universal Music Group & Island Records
Featuring

    
      Jana Pallaske
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Distribution

    
      Universal Music Group"
"6","Tokio Hotel","Für Immer Jetzt","Humanoid german version","[Verse 1]
Ich seh dich weinen
Und keiner wischt die Tränen weg
Ich hör dich schreien
Weil die Stille dich erstickt
Ich fühl dein Herz
Es ist einsam so wie du
Lass dich fallen
Mach die Augen zu

[Chorus]
Hey
Die Welt hält für dich an
Hey
Hier in meinem Arm
Für immer jetzt
Für immer jetzt

[Verse 2]
Wenn du suchst
Und dich selbst dabei verlierst
Dann find ich dich
Und hol dich zu mir

[Chorus]
Hey
Die Welt hält für dich an
Hey
Hier in meinem Arm
Für einen Tag
Für eine Nacht
Für einen Moment
In dem du lachst
Wir durchbrechen die Zeit
Gegen jedes Gesetz
Für immer du und ich
Für immer jetzt

[Verse 3]
Wir setzen unsere Scherben
Zusammen
Wir sind Eins wie Yin und Yang
Fühlst du mich
Wenn du atmest
Fühlst du mich
Wenn niemand da ist

Fühlst du mich
Wenn du atmest
Fühlst du mich
Hier in meinem Arm

Für einen Tag
Für eine Nacht
Für einen Moment
In dem du lachst
Wir durchbrechen die Zeit
Gegen jedes Gesetz
Für immer du und ich
Für immer jetzt

Wir setzen unsere Scherben
Zusammen
Wir sind Eins wie Yin und Yang

Wir setzen unsere Scherben
Zusammen
Wir sind Eins wie Yin und Yang","https://genius.com/Tokio-hotel-fur-immer-jetzt-lyrics","Released October 2, 2009
Distribution

    
      Universal Music Group
Executive Producer

    
      Peter Hoffmann, Patrick Benzner, David Jost & 1 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Phonographic Copyright ℗

    
      Hoffmann Benzner Roth & Jost GbR
Label

    
      Universal Music Group & Island Records
Featuring

    
      Jana Pallaske
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Distribution

    
      Universal Music Group"
"7","Tokio Hotel","Kampf Der Liebe","Humanoid german version","[Verse 1]
Du tust mir gut, du tust mir weh
Ich bin im Kampf der Liebe
Lauf durch die Glut
Marschier durch Schnee
Nur für den Kampf der Liebe
Schwarz ist der Tag
Ich halt mich wach
Rot ist der Kampf der Liebe
Ich fühl die Kraft
Ich fühl mich schwach
Ich kämpf den Kampf um Liebe

[Chorus]
Wann komm ich an
Wann komm ich an
Wann komm ich endlich an
Weiss nicht wie lang
Weiss nicht wie lang
Wie lange ich noch kämpfen kann
Durch das Feuer kalt und einsam
Flammen führen mich zu dir
Und dann kämpfen wir gemeinsam
Den Kampf der Liebe, Liebe, Liebe

[Verse 2]
Du brauchst du Sucht kein Gegengift
Du willst den Kampf der Liebe
Es geht nie vorbei
Weil's in dir ist
Du bist der Kampf der Liebe
Vom Höhepunkt zum Untergang
Dauert der Kampf der Liebe
Du fühlst dich frei
Und bist gefangen
Du kämpfst der Kampf um Liebe

[Chorus]
Wann komm ich an
Wann komm ich an
Wann komm ich endlich an
Weiss nicht wie lang
Weiss nicht wie lang
Wie lange ich noch kämpfen kann
Durch das Feuer kalt und einsam
Flammen führen mich zu dir
Und dann kämpfen wir gemeinsam
Den Kampf der Liebe, Liebe, Liebe

[Verse 3]
Ich lauf durch die Strassen
Durch die Wüsten
Bis zu dir
Wir schliessen unsern Pakt
Ich kämpf für dich und du für mich
Für immer

[Chorus]
Wann komm ich an
Wann komm ich an
Wann komm ich endlich an
Weiss nicht wie lang
Weiss nicht wie lang
Wie lange ich noch kämpfen kann

[Chorus]
Wann komm ich an
Wann komm ich an
Wann komm ich endlich an
Weiss nicht wie lang
Weiss nicht wie lang
Wie lange ich noch kann
Durch das Feuer kalt und einsam
Flammen führen mich zu dir
Und dann kämpfen wir gemeinsam
Den Kampf der Liebe, Liebe, Liebe

[Outro]
Wann komm ich an
Wann komm ich an
Wann komm ich an","https://genius.com/Tokio-hotel-kampf-der-liebe-lyrics","Released October 2, 2009
Distribution

    
      Universal Music Group
Executive Producer

    
      Peter Hoffmann, Patrick Benzner, David Jost & 1 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Phonographic Copyright ℗

    
      Hoffmann Benzner Roth & Jost GbR
Label

    
      Universal Music Group & Island Records
Featuring

    
      Jana Pallaske
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Distribution

    
      Universal Music Group"
"8","Tokio Hotel","Hunde","Humanoid german version","[Verse 1]
Wir werden euch
Nie mehr gehören
Wir werden nie mehr
Auf euch schwören
Wir schlucken keine
Lügen mehr
Nie mehr
Eure Wahrheit
Wollen wir nicht
Eure Masken
Unser Gesicht
Unsere Augen
Brauchen Licht
Viel mehr Licht

[Chorus]
Lasst die Hunde los
Ich warn dich
Lasst die Hunde los
Verfolg uns nicht
Lasst die Hunde los
Wir wissen den Weg
Ham Träume
Die ihr nicht versteht
Lasst los
Bevor was passiert
Unter euch
Ersticken wir
Lasst die Hunde los
Lasst die Hunde los
Lasst die Hunde los
Lasst uns frei
Lasst uns frei

[Verse 2]
Wir riechen Blut
Und lieben Wild
Wir beissen jeden
Der uns quält
Der Mond ist
Unser Spiegelbild
Heute Nacht

[Chorus]
Lasst die Hunde los
Ich warn dich
Lasst die Hunde los
Verfolg uns nicht
Lasst die Hunde los
Wir wissen den Weg
Ham Träume
Die ihr nicht versteht
Lasst los
Bevor was passiert
Unter euch
Ersticken wir
Lasst die Hunde los
Lasst die Hunde los
Lasst die Hunde los
Lasst uns frei
Lasst uns frei

[Verse 3]
Jagt uns, folgt uns
In den Vollmond
Jagt uns, folgt uns
In den Vollmond
Folgt uns, jagt uns
In den Abgrund

Lasst uns frei

Lasst die Hunde los
Wir wissen den Weg
Ham Träume
Die ihr nicht versteht
Lasst los
Lasst die Hunde los
Bevor was passiert
Unter euch
Ersticken wir
Lasst die Hunde los

(Folgt uns)

Lasst die Hunde los

(jagt uns)

[Outro]
Lasst die Hunde los
Lasst uns frei
Lasst uns frei","https://genius.com/Tokio-hotel-hunde-lyrics","Released October 2, 2009
Distribution

    
      Universal Music Group
Executive Producer

    
      Peter Hoffmann, Patrick Benzner, David Jost & 1 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Phonographic Copyright ℗

    
      Hoffmann Benzner Roth & Jost GbR
Label

    
      Universal Music Group & Island Records
Featuring

    
      Jana Pallaske
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Distribution

    
      Universal Music Group"
"9","Tokio Hotel","Menschen Suchen Menschen","Humanoid german version","[Verse 1]
Im Traum
Im All
Im Sturm
Im freien Fall
Aus Hass
Aus Not
Aus Liebe
Bis zum Tod
Du suchst nach mir
Ich such nach dir

[Chorus]
Menschen suchen Menschen
Jeder sucht für sich allein
Menschen brauchen Menschen
Wir wollen nicht alleine sein
Menschen suchen Menschen
Irgendwo suchst du nach mir
6 Milliarden Menschen
Wie krieg' ich Kontakt zu dir

[Verse 2]
Im Rausch
Im Netz
Im Film
Im hier und jetzt
Für mich
Für's Herz
Für's Leben
Ich fühl mich leer
Du suchst in mir
Ich such in dir

[Chorus]
Menschen suchen Menschen
Jeder sucht für sich allein
Menschen brauchen Menschen
Wir wollen nicht alleine sein
Menschen suchen Menschen
Irgendwo suchst du nach mir
6 Milliarden Menschen
Wie krieg' ich Kontakt zu dir

[Verse 3]
Wie find ich zu dir
Findest du zu mir
Wie find ich zu dir
Findest du zu mir

Such mich
Such mich
Such mich
Such dich

[Chorus]
Menschen suchen Menschen
Jeder sucht für sich allein
Menschen brauchen Menschen
Wir wollen nicht alleine sein
Menschen suchen Menschen
Irgendwo suchst du nach mir
6 Milliarden Menschen
Wie krieg' ich Kontakt zu dir

[Verse 4]
Wie find ich zu dir
Findest du zu mir
Wie find ich zu dir
Wie krieg' ich Kontakt zu dir","https://genius.com/Tokio-hotel-menschen-suchen-menschen-lyrics","Released October 2, 2009
Distribution

    
      Universal Music Group
Executive Producer

    
      Peter Hoffmann, Patrick Benzner, David Jost & 1 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Phonographic Copyright ℗

    
      Hoffmann Benzner Roth & Jost GbR
Label

    
      Universal Music Group & Island Records
Featuring

    
      Jana Pallaske
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Distribution

    
      Universal Music Group"
"10","Tokio Hotel","Alien (German Version)","Humanoid german version","[Verse 1]
Mein Herz kämpft
Gegen mich
Wie'n Alien in mir
Ich steh auf
Dreh mich um
Alles blutverschmiert
Ich schau in den Spiegel
Und da steht geschrieben

Hauch mir deine Liebe ein
Ich will endlich bei dir sein

Ich bin krank
Ohne dich
Hab schon jedes Gift
Versucht
Und jetzt lass
Ich mich los
Leg micht auf die Glut
Und schau in den Himmel
Und hör deine Stimme

Hauch mir deine Liebe ein
Ich will endlich bei dir sein
Hauch mir neues Leben ein
Hörst du meine Seele schreien

[Chorus]
Weck mich auf diesem Traum
Alien sucht Liebe
Lass mich los, lass mich hier raus
Alien sucht Liebe
Deine Liebe
Deine Liebe

[Verse 2]
Hauch mir deine Liebe ein
Ich will endlich bei dir sein
Hauch mir neues Leben ein
Hörst du meine Seele schreien

[Chorus]
Weck mich auf diesem Traum
Alien sucht Liebe
Lass mich los, lass mich hier raus
Alien sucht Liebe
Deine Liebe","https://genius.com/Tokio-hotel-alien-german-version-lyrics","Released October 2, 2009
Distribution

    
      Universal Music Group
Executive Producer

    
      Peter Hoffmann, Patrick Benzner, David Jost & 1 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Phonographic Copyright ℗

    
      Hoffmann Benzner Roth & Jost GbR
Label

    
      Universal Music Group & Island Records
Featuring

    
      Jana Pallaske
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Copyright ©

    
      Hoffmann Benzner Roth & Jost GbR
Distribution

    
      Universal Music Group"
