"","artist","title","album","text","url","metadata"
"1","Tokio Hotel","Schrei","Schrei","[Verse 1]
Du stehst auf und kriegst gesagt wohin du gehen sollst
Wenn du da bist, hörst du auch noch was du denken sollst
Danke, das war mal wieder echt'n geiler Tag
Du sagst nichts und keiner fragt dich: sag mal willst du das?

Nein - nein - nein - nananana nein
Nein - nein - nein - nananana nein

[Chorus]
Schrei! - Bist du du selbst bist
Schrei! - Und wenn es das letzte ist
Schrei! - Auch wenn es weh tut
Schrei so laut du kannst!
Schrei! - Bist du du selbst bist
Schrei! - Und wenn es das letzte ist
Schrei! - Auch wenn es weh tut
Schrei so laut du kannst - Schrei!

[Verse 2]
Pass auf - Rattenfänger lauern überall
Verfolgen dich und greifen nach dir aus'm Hinterhalt
Versprechen dir alles wovon du nie geträumt hast
Und irgendwann ist es zu spät und dann brauchst du das

Nein - nein - nein - nananana nein
Nein - nein - nein - nananana nein

[Chorus]
Schrei! - Bist du du selbst bist
Schrei! - Und wenn es das letzte ist
Schrei! - Auch wenn es weh tut
Schrei so laut du kannst!
Schrei! - Bist du du selbst bist
Schrei! - Und wenn es das letzte ist
Schrei! - Auch wenn es weh tut
Schrei so laut du kannst - Schrei!

[Verse 3]
Zurück zum Nullpunkt - jetzt kommt eure Zeit!
Lasst sie wissen wer ihr wirklich seid
Schrei - Schrei - Schrei - Schrei
Jetzt ist unsere Zeit

[Chorus]
Schrei! - Bist du du selbst bist
Schrei! - Und wenn es das letzte ist
Schrei! - Auch wenn es weh tut
Schrei so laut du kannst!
Schrei! - Bist du du selbst bist
Schrei! - Und wenn es das letzte ist
Schrei! - Auch wenn es weh tut
Schrei so laut du kannst - Schrei!

[Verse 4]
Und jetzt schweig!

Nein! - Weil du selbst bist
Nein! - Und weil es das letzte ist
Nein! - Weil es so weh tut
Schrei so laut du kannst
Nein! - Nein! - Nein! - Nein! - Nein! - Nein!
Schrei so laut du kannst - Schrei!","https://genius.com/Tokio-hotel-schrei-lyrics","Released September 19, 2005
Artwork

    
      Dirk Rudolph
Photography

    
      Sascha Pierro & David Cuenca
Label

    
      Island Records
Copyright ©

    
      Tokio Hotel
Phonographic Copyright ℗

    
      Tokio Hotel
Producers

    
      Dave Roth, David Jost, Pat Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Bass

    
      Georg Listing
Copyright ©

    
      Tokio Hotel
Drums

    
      Gustav Schäfer"
"2","Tokio Hotel","Durch Den Monsun","Schrei","[Strophe 1]
Das Fenster öffnet sich nicht mehr
Hier drin' ist es voll von dir - und leer
Und vor mir geht die letzte Kerze aus
Ich warte schon 'ne Ewigkeit
Endlich ist es jetzt so weit
Da draußen zieh'n die schwarzen Wolken auf

[Refrain]
Ich muss durch den Monsun
Hinter die Welt
Ans Ende der Zeit
Bis kein Regen mehr fällt
Gegen den Sturm
Am Abgrund entlang
Und wenn ich nicht mehr kann, denk' ich daran:
Irgendwann laufen wir zusamm'n
Durch den Monsun
Dann wird alles gut

[Strophe 2]
'n halber Mond versinkt vor mir
War der eben noch bei dir
Und hält er wirklich was er mir verspricht
Ich weiß, dass ich dich finden kann
Hör' deinen Namen im Orkan
Ich glaub' noch mehr dran glauben kann ich nicht

[Refrain]
Ich muss durch den MonsunHinter die WeltAns Ende der ZeitBis kein Regen mehr fälltGegen den SturmAm Abgrund entlangUnd wenn ich nicht mehr kann, denk' ich daran:Irgendwann laufen wir zusamm'nWeil uns einfach nichts mehr halten kannDurch den Monsun

[Bridge]
Hey! Hey!
Ich kämpf mich durch die Mächte, hinter dieser Tür
Werde sie besiegen und dann führ'n sie mich zu dir
Dann wird alles gut - Dann wird alles gut
Wird alles gut - Alles gut

[Refrain]
Ich muss durch den Monsun
Hinter die Welt
Ans Ende der Zeit
Bis kein Regen mehr fällt
Gegen den Sturm
Am Abgrund entlang
Und wenn ich nicht mehr kann, denk' ich daran:
Irgendwann laufen wir zusamm'n
Weil uns einfach nichts mehr halten kann
Durch den Monsun
Dann wird alles gut
Durch den Monsun
Dann wird alles gut","https://genius.com/Tokio-hotel-durch-den-monsun-lyrics","Released September 19, 2005
Artwork

    
      Dirk Rudolph
Photography

    
      Sascha Pierro & David Cuenca
Label

    
      Island Records
Copyright ©

    
      Tokio Hotel
Phonographic Copyright ℗

    
      Tokio Hotel
Producers

    
      Dave Roth, David Jost, Pat Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Bass

    
      Georg Listing
Copyright ©

    
      Tokio Hotel
Drums

    
      Gustav Schäfer"
"3","Tokio Hotel","Leb Die Sekunde","Schrei","[Verse 1]
Ab heute sind die tage nur noch halb so lang
Zum lachen gibt es gar nichts mehr
Gestern war vor 100.000 jahren
Morgen weiß das keiner mehr
Ab heute wird die uhr durch'n countdown ersetzt
Die sonne scheint auch in der nacht
'tschuldigung - ich hab mal eben nachgedacht
Doch dafür ist jetzt wirklich
Keine zeit - Keine zeit - Keine zeit - Keine zeit

[Chorus]
Leb' die sekunde
Hier und jetzt - Halt sie fest
Leb' die sekunde
Hier und jetzt - Halt sie fest
Sonst ist sie weg - Sonst ist sie weg

[Verse 2]
Ab heute gibt es jeden tag'ne neue welt
Planeten sind im ausverkauf
Die ganze galaxie wird ruhig gestellt
Und zeitraffer im schnelldurchlauf
Scheiß auf gestern und erinner'dich an jetzt
Bevor du es vergessen hast
'tschuldigung - ich hab mal drüber nachgedacht
Doch dafür ist jetzt wirklich
Keine zeit - Keine zeit

[Chorus]
Leb' die sekunde
Hier und jetzt - Halt sie fest
Leb'die sekunde
Hier und jetzt - Halt sie fest

[Verse 3]
Die zeit läuft - Die zeit läuft - Die zeit läuft
Halt sie auf!
Die zeit läuft...

[Chorus]
Leb' die sekunde
Hier und jetzt - Halt sie fest
Leb' die sekunde
Hier und jetzt - Halt sie fest
Sonst ist sie weg - Sonst ist sie weg

[Outro]
Die zeit läuft , halt sie fest","https://genius.com/Tokio-hotel-leb-die-sekunde-lyrics","Released September 19, 2005
Artwork

    
      Dirk Rudolph
Photography

    
      Sascha Pierro & David Cuenca
Label

    
      Island Records
Copyright ©

    
      Tokio Hotel
Phonographic Copyright ℗

    
      Tokio Hotel
Producers

    
      Dave Roth, David Jost, Pat Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Bass

    
      Georg Listing
Copyright ©

    
      Tokio Hotel
Drums

    
      Gustav Schäfer"
"4","Tokio Hotel","Rette Mich","Schrei","[Verse 1]
Zum ersten Mal alleine in unserem Versteck
Ich seh' noch unsere Namen an der Wand
Und wisch' sie wieder weg
Ich wollt' dir alles anvertrauen
Warum bist du abgehauen
Komm zurück
Nimm mich mit

[Chorus]
Komm und rette mich
Ich verbrenne innerlich
Komm und rette mich
Ich schaff's nicht ohne dich
Komm und rette mich
Rette mich
Rette mich

[Verse 2]
Unsere Träume waren gelogen
Und keine Träne echt
Sag dass das nicht wahr ist
Sag es mir jetzt
Vielleicht hörst du irgendwo
Mein S.O.S. im Radio
Hörst du mich
Hörst du mich nich'

[Chorus]
Komm und rette mich
Ich verbrenne innerlich
Komm und rette mich
Ich schaff's nicht ohne dich
Komm und rette mich
Rette mich

[Verse 3]
Dich und mich
Dich und mich
Dich und mich
Ich seh' noch unsere Namen und wisch' sie wieder weg
Unsere Träume war'n gelogen und keine Träne echt
Hörst du mich
Hörst du mich nich'

[Chorus]
Komm und rette mich
Rette mich
Komm und rette mich
Ich verbrenne innerlich
Komm und rette mich
Ich schaff's nicht ohne dich
Komm und rette mich
Rette mich","https://genius.com/Tokio-hotel-rette-mich-lyrics","Released September 19, 2005
Artwork

    
      Dirk Rudolph
Photography

    
      Sascha Pierro & David Cuenca
Label

    
      Island Records
Copyright ©

    
      Tokio Hotel
Phonographic Copyright ℗

    
      Tokio Hotel
Producers

    
      Dave Roth, David Jost, Pat Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Bass

    
      Georg Listing
Copyright ©

    
      Tokio Hotel
Drums

    
      Gustav Schäfer"
"5","Tokio Hotel","Freunde Bleiben","Schrei","[Verse 1]
Du bist das was ich nicht sein will
Du wärst lieber tot als Bill
Leck' mich doch - Danke ist nicht nötig
Keine ahnung was es ist
Was mich anpisst wenn du da bist
Arschgesicht - Nimm' das nicht persönlich

Ich rede nicht so'n scheiß wie du
Steh' nicht auf die gleichen bands wie du
Das ist ok für mich
Aber tu mir nur diesen einen gefallen

[Chorus]
Bitte lass uns keine freunde bleiben
Ist mir lieber wir können uns nicht leiden
Niemals einer meinung sein
Ist besser als sich anzuschleimen
Lass uns lieber keine freunde bleiben

[Verse 2]
Das ist doch ok für dich - Oder nicht
Ohne typen wie dich und mich
Wär's doch langweilig

Jeden tag muss ich dich seh'n
Und die anderen dich versteh'n
Du bist der geilste unter vollidioten
Nietenketten und tattoo
Mami läßt das alles zu
Dafür trägst du papis lange unterhosen

Ich trage nicht so'n scheiß wie du
Steh' nicht auf die gleichen frau'n wie du
Das ist ok für mich
Aber tu mir nur diesen einen gefallen

[Chorus]
Bitte lass uns keine freunde bleiben
Ist mir lieber wir können uns nicht leiden
Niemals einer meinung sein
Ist besser als sich anzuschleimen
Lass uns lieber keine freunde bleiben

[Verse 3]
Das ist doch ok für dich - Oder nicht
Ohne typen wie dich und mich
Wär's doch langweilig
Tu mal nicht so nett sonst kriegst du richtig
Ich hätt'da noch'n gut gemeinten rat an dich..

[Chorus]
Bitte lass uns keine freunde bleiben
Ist mir lieber wir können uns nicht leiden
Niemals einer meinung sein
Ist besser als sich anzuschleimen
Lass uns lieber keine freunde bleiben","https://genius.com/Tokio-hotel-freunde-bleiben-lyrics","Released September 19, 2005
Artwork

    
      Dirk Rudolph
Photography

    
      Sascha Pierro & David Cuenca
Label

    
      Island Records
Copyright ©

    
      Tokio Hotel
Phonographic Copyright ℗

    
      Tokio Hotel
Producers

    
      Dave Roth, David Jost, Pat Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Bass

    
      Georg Listing
Copyright ©

    
      Tokio Hotel
Drums

    
      Gustav Schäfer"
"6","Tokio Hotel","Ich Bin Nicht Ich","Schrei","[Verse 1]
Meine augen schaun mich müde an und finden keinen trost
Ich kann mich nich' mehr mit anseh'n - Bin ichlos
Alles was hier mal war - Kann ich nich' mehr in mir finden
Alles weg - Wie im wahn
Seh ich mich immer mehr verschwinden

[Chorus]
Ich bin nich' ich wenn du nich' bei mir bist - Bin ich allein
Und das was jetzt noch von mir übrig ist - Will ich nich' sein
Draußen hängt der himmel schief
Und an der wand dein abschiedsbrief
Ich bin nich' ich wenn du nich' bei mir bist - Bin ich allein

[Verse 2]
Ich weiß nich' mehr, wer ich bin -
Und was noch wichtig ist
Das ist alles irgendwo, wo du bist
Ohne dich durch die nacht -
Ich kann nichts mehr in mir finden
Was hast du mit mir gemacht
Ich seh mich immer mehr verschwinden

[Chorus]
Ich bin nich' ich wenn du nich' bei mir bist - Bin ich allein
Und das was jetzt noch von mir übrig ist - Will ich nich' sein
Draußen hängt der himmel schief
Und an der wand dein abschiedsbrief
Ich bin nich' ich wenn du nich' bei mir bist - Will ich nicht mehr sein

[Verse 3]
Ich lös mich langsam auf
Halt mich nich' mehr aus
Ich krieg dich einfach nich' mehr aus mir raus
Egal wo du bist - Komm und rette mich

[Chorus]
Ich bin nich' ich wenn du nicht bei mir bist - Bin ich allein
Und das was jetzt noch von mir übrig ist - Will ich nich' sein
Draußen hängt der himmel schief
Und an der wand dein abschiedsbrief
Ich bin nich' ich wenn du nich' bei mir bist - Will ich nicht mehr sein

[Outro]
Will ich nicht mehr sein
Will ich nicht mehr sein","https://genius.com/Tokio-hotel-ich-bin-nicht-ich-lyrics","Released September 19, 2005
Artwork

    
      Dirk Rudolph
Photography

    
      Sascha Pierro & David Cuenca
Label

    
      Island Records
Copyright ©

    
      Tokio Hotel
Phonographic Copyright ℗

    
      Tokio Hotel
Producers

    
      Dave Roth, David Jost, Pat Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Bass

    
      Georg Listing
Copyright ©

    
      Tokio Hotel
Drums

    
      Gustav Schäfer"
"7","Tokio Hotel","Wenn Nichts Mehr Geht","Schrei","[Verse 1]
Keiner mehr da der mich wirklich kennt
Meine welt bricht grad' zusammen
Und es läuft'n happy-end
Um dich weinen soll ich nicht
Ich weiß unsterblich sind wir nicht
Aber du hast mal gesagt

[Chorus]
Wenn nichts mehr geht
Werd' ich ein engel sein - Für dich allein
Und dir in jeder dunklen nacht erschein'
Und dann fliegen wir weit weg von hier
Wir werden uns nie mehr verlier'n

[Verse 2]
Bis du mir das erste mal erscheinst
Stell' ich mir vor dass du von oben
Mit den wolken für mich weinst
Ich wart unendlich lang auf dich
Doch so unendlich ist es nicht
Denn du hast mal gesagt

[Chorus]
Wenn nichts mehr geht
Werd' ich ein engel sein - Für dich allein
Und dir in jeder dunklen nacht erschein'
Und dann fliegen wir weit weg von hier
Wir werden uns nie mehr verlier'n
Nie mehr verlier'n
Wenn nichts mehr geht

[Bridge]
Denk nur an mich und du siehst den engel der neben fliegt
Denk nur an mich und du siehst den engel der neben dir fliegt

[Chorus]
Wenn nichts mehr geht
Werd' ich ein engel sein - Für dich allein
Und dir in jeder dunklen nacht erschein'
Und dann fliegen wir weit weg von hier
Wir werden uns nie mehr verlier'n

[Outro]
Wenn nichts mehr, wenn nichts mehr geht
Wenn nichts mehr, wenn nichts mehr geht","https://genius.com/Tokio-hotel-wenn-nichts-mehr-geht-lyrics","Released September 19, 2005
Artwork

    
      Dirk Rudolph
Photography

    
      Sascha Pierro & David Cuenca
Label

    
      Island Records
Copyright ©

    
      Tokio Hotel
Phonographic Copyright ℗

    
      Tokio Hotel
Producers

    
      Dave Roth, David Jost, Pat Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Bass

    
      Georg Listing
Copyright ©

    
      Tokio Hotel
Drums

    
      Gustav Schäfer"
"8","Tokio Hotel","Lass Uns Hier Raus","Schrei","[Verse 1]
Wilkommen in unserem Traum
Verbote sind verboten
Deutschland braucht 'n Superstar
Und keine Vollidioten
Total egal, wenn was dagegen spricht
Interessiert mich nich'

[Chorus]
Lass' uns hier raus
Wir wollen da rein
In unserem Traum die Ersten sein
Halt' uns nicht auf
Das ist unser Traum
Da ist alles erlaubt
Wenn ihr wollt könnt' ihr dabei zuschau'n

[Verse 2]
Jeden Tag die freie Wahl
Wir ham' euren Weg verlassen
Ihr könnt den Rest des Lebens ohne uns allein verpassen
Und wenn die ganze Welt dagegen spricht
Interessiert uns nich'

[Chorus]
Lass' uns hier raus
Wir wollen da rein
In unserem Traum die Ersten sein
Halt' uns nicht auf
Das ist unser Traum
Da ist alles erlaubt
Wenn ihr wollt könnt' ihr dabei zuschau'n
Wenn ihr wollt könnt' ihr dabei zuschau'n
Wenn ihr wollt könnt' ihr dabei zuschau'n

[Verse 3]
Wir sind'ne Boygroup und gecasted sind wir auch
Und nächsten Sommer lösen wir uns wieder auf
In vier kleine Träume an deiner Wand
Und am nächsten Morgen, hast du die Poster schon verbrannt
Und die nächsten in der Hand

[Chorus]
Lass' uns hier raus
Wir wollen da rein
In unserem Traum die Ersten sein
Halt' uns nicht auf
Das ist unser Traum
Da ist alles erlaubt
Wenn ihr wollt könnt' ihr dabei zuschau'n
Wenn ihr wollt könnt' ihr dabei zuschau'n
Wenn ihr wollt könnt' ihr dabei zuschau'n","https://genius.com/Tokio-hotel-lass-uns-hier-raus-lyrics","Released September 19, 2005
Artwork

    
      Dirk Rudolph
Photography

    
      Sascha Pierro & David Cuenca
Label

    
      Island Records
Copyright ©

    
      Tokio Hotel
Phonographic Copyright ℗

    
      Tokio Hotel
Producers

    
      Dave Roth, David Jost, Pat Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Bass

    
      Georg Listing
Copyright ©

    
      Tokio Hotel
Drums

    
      Gustav Schäfer"
"9","Tokio Hotel","Gegen Meinen Willen","Schrei","[Verse 1]
Wie soll es mir schon geh'n
Ihr guckt euch nicht mehr an
Und ihr glaubt ich merk das nicht
Wo soll ich jetzt hin
Was habt ihr euch gedacht
Sagt es mir jetzt in mein gesicht
Sagt wofür das alles hier zerbricht
Es macht mich fertig

[Chorus]
Es ist gegen meinen willen
Es ist gegen jeden sinn
Warum müsst ihr euch jetzt trennen
Eure namen umbenennen
Unser ende ist schon hier
Und ihr sagt es nicht vor mir
Ich hasse euch dafür
Es ist gegen meinen willen
Dagegen - Bin dagegen

[Verse 2]
Habt ihr schon vergessen wie es einmal war
Habt ihr unsere bilder schon verbrannt
Ich hau bretter vor die fenster
Verriegel meine tür
Ihr sollt nicht seh'n das ich nicht mehr kann
Eure welt tu' ich mir nich'mehr an
Sie macht mich fertig

[Chorus]
Es ist gegen meinen willen
Es ist gegen jeden sinn
Warum müsst ihr euch jetzt trennen
Eure namen umbenennen
Unser ende ist schon hier
Und ihr sagt es nicht vor mir
Ich hasse euch dafür
Es ist gegen meinen willen
Dagegen - Bin dagegen

[Verse 3]
Spart euch eure lügen
Ich will sie nich' mehr hör'n
Den letzten rest an liebe
Braucht ihr mir nicht mehr schwör'n
Ich will euch nicht mehr länger stör'n
Ihr macht mich fertig
Gegen meinen willen [?]

[Chorus]
Es ist gegen meinen willen
Es ist gegen jeden sinn
Warum müsst ihr euch jetzt trennen
Eure namen umbenennen
Unser ende ist schon hier
Und ihr sagt es nicht vor mir
Ich hasse euch dafür
Es ist gegen meinen willen
Dagegen - Bin dagegen","https://genius.com/Tokio-hotel-gegen-meinen-willen-lyrics","Released September 19, 2005
Artwork

    
      Dirk Rudolph
Photography

    
      Sascha Pierro & David Cuenca
Label

    
      Island Records
Copyright ©

    
      Tokio Hotel
Phonographic Copyright ℗

    
      Tokio Hotel
Producers

    
      Dave Roth, David Jost, Pat Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Bass

    
      Georg Listing
Copyright ©

    
      Tokio Hotel
Drums

    
      Gustav Schäfer"
"10","Tokio Hotel","Jung Und Nicht Mehr Jugendfrei","Schrei","[Verse 1]
Ihr steht immer pünktlich auf
Und verpennt was bei uns geht
Ich seh was was du nicht siehst
Guck mal was auf unseren jacken steht
'tschuldigung - Du stehst im weg
Und wie müssen hier vorbei

[Chorus]
Wir sind jung und nicht mehr jugendfrei
Tut mir leid ich weiß wir sollen nicht
Doch wir fangen schon mal zu leben an
Wir sind jung und nicht mehr jugendfrei
Eure rechnung ist mit uns nicht aufgegangen
Wir fangen schon mal zu leben an

[Verse 2]
Ihr guckt immer gerade aus
Habt uns nicht kommen sehen
Hallo ihr hab'n problem
Weil wir das kommando übernehmen
'tschuldigung - Du stehst im weg
Und wir müssen hier vorbei

[Chorus]
Wir sind jung und nicht mehr jugendfrei
Tut mir leid ich weiß wir sollen nicht
Doch wir fangen schon mal zu leben an
Wir sind jung und nicht mehr jugendfrei
Eure rechnung ist mit uns nicht aufgegangen
Wir fangen schon mal zu leben an

[Bridge]
Wir sind immer was ihr grad nicht braucht
Das ist traurig
Aber mittlerweile scheiss ich drauf

[Chorus]
Wir sind jung und nicht mehr jugendfrei
Tut mir leid ich weiß wir sollen nicht
Doch wir fangen schon mal zu leben an
Wir sind jung und nicht mehr jugendfrei
Eure rechnung ist mit uns nicht aufgegangen
Wir fangen schon mal zu leben an","https://genius.com/Tokio-hotel-jung-und-nicht-mehr-jugendfrei-lyrics","Released September 19, 2005
Artwork

    
      Dirk Rudolph
Photography

    
      Sascha Pierro & David Cuenca
Label

    
      Island Records
Copyright ©

    
      Tokio Hotel
Phonographic Copyright ℗

    
      Tokio Hotel
Producers

    
      Dave Roth, David Jost, Pat Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 2 more
Bass

    
      Georg Listing
Copyright ©

    
      Tokio Hotel
Drums

    
      Gustav Schäfer"
