"";"artist";"title";"album";"text";"url";"metadata"
"1";"Tokio Hotel";"In Die Nacht";"Zimmer 483";"[Verse 1]
In mir wird es langsam kalt
Wie lang können wir beide hier noch sein?
Bleib hier, die Schatten wollen mich holen
Doch wenn wir gehn, dann gehen wir nur zu Zweit

Du bist alles was ich bin
Und alles was durch meine Adern fließt
Immer werden wir uns tragen
Egal wohin wir fahren, egal wie tief

[Chorus]
Ich will da nicht allein sein
Lass uns gemeinsam
In die Nacht
Irgendwann wird es Zeit sein
Lass uns gemeinsam
In die Nacht

[Verse 2]
Ich höre wenn du leise schreist
Spüre jeden Atemzug von dir
Und auch wenn das Schicksal uns zerreißt
Egal was danach kommt, das teilen wir

[Chorus]
Ich will da nicht allein sein
Lass uns gemeinsam
In die Nacht
Irgendwann wird es Zeit sein
Lass uns gemeinsam
In die Nacht

[Bridge]
In die Nacht, irgendwann
In die Nacht, nur mit dir zusammen

Halt mich, sonst treib ich
Alleine in die Nacht
Nimm mich mit und halt mich, sonst treib ich
Alleine in die Nacht

[Chorus]
Ich will da nicht allein sein
Lass uns gemeinsam
In die Nacht
Irgendwann wird es Zeit sein
Lass uns gemeinsam
In die Nacht

[Outro]
Du bist alles was ich bin
Und alles was durch meine Adern fließt";"https://genius.com/Tokio-hotel-in-die-nacht-lyrics";"Released February 23, 2007
Artwork

    
      Giraffentoast
Photography

    
      Jens Boldt
Management

    
      Benjamin Ebel
Label

    
      Island Records
Copyright ©

    
      Universal Music Group
Phonographic Copyright ℗

    
      Universal Music Group
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 4 more
Additional Recording

    
      Kristian Draude
Bass

    
      Georg Listing
Copyright ©

    
      Universal Music Group"
"2";"Tokio Hotel";"Übers Ende Der Welt";"Zimmer 483";"[Verse 1]
Wir sind durch die Stadt gerannt
Ham keinen Ort mehr erkannt
An dem wir nicht schon einmal waren

Wir ham alles ausprobiert
Die Freiheit endet hier
Wir müssen jetzt durch diese Wand

Verlager dein Gewicht
Den Abgrund siehst du nicht

[Chorus]
Achtug, fertig, los und lauf
Vor uns bricht der Himmel auf
Wir schaffen es zusammen
Übers Ende dieser Welt
Die hinter uns zerfällt

[Verse 2]
Wir schauen nochmal zurück
Es ist der letzte Blick
Auf alles, was für immer war

Komm, atme noch mal ein
Es kann der Anfang sein
Der Morgen ist zum greifen nah

Verlager dein Gewicht
Den Abgrund siehst du nicht

[Chorus]
Achtug, fertig, los und lauf
Vor uns bricht der Himmel auf
Wir schaffen es zusammen
Übers Ende dieser Welt
Die hinter uns zerfällt

[Verse 3]
Lass es alles hinter dir
Es gibt nichts mehr zu verlier'n
Alles hinter dir und mir
Hält uns nicht mehr auf

Verlager dein Gewicht
Guck mir ins Gesicht

[Chorus]
Achtug, fertig, los und lauf
Vor uns bricht der Himmel auf
Wir schaffen es zusammen
Übers Ende dieser Welt
Dieser Welt
Achtug, fertig, los und lauf
Vor uns bricht der Himmel auf
Wir schaffen es zusammen
Übers Ende dieser Welt
Die hinter uns zerfällt
(Die hinter uns zerfällt)
Die hinter uns zerfällt";"https://genius.com/Tokio-hotel-ubers-ende-der-welt-lyrics";"Released February 23, 2007
Artwork

    
      Giraffentoast
Photography

    
      Jens Boldt
Management

    
      Benjamin Ebel
Label

    
      Island Records
Copyright ©

    
      Universal Music Group
Phonographic Copyright ℗

    
      Universal Music Group
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 4 more
Additional Recording

    
      Kristian Draude
Bass

    
      Georg Listing
Copyright ©

    
      Universal Music Group"
"3";"Tokio Hotel";"Totgeliebt";"Zimmer 483";"[Verse 1]
Ich halt den Brief in meiner kalten Hand
Der letzte Satz war lang
Solang er noch brennt, schau ich ihn an

Mit jeden Zeile stirbt ein Gefühl
Was bleibt ist Finsternis
Ein Schauer von Dir hilft nicht mehr viel
Es bringt mich um

[Chorus]
Wir ham uns totgeliebt
Es bringt mich um
Weil unser Traum in Trümmern liegt
Die Welt soll schweigen und für immer einsam sein
Wir sind verloren auch wenn die Mächte sich vereinen
Es ist vorbei

[Verse 2]
Die Geier kreisen über unserm Revier
Was nehmen wir noch mit?
Ist alles nicht wert wenn wir uns verliern?

Sie kommen näher, sind hinter uns her
Wollen Dich und mich
Lass mich jetzt los
Ich kann nicht mehr
Es bringt mich um

[Chorus]
Wir ham uns totgeliebt
Es bringt mich um
Weil unser Traum in Trümmern liegt
Die Welt soll schweigen und für immer einsam sein
Wir sind verloren auch wenn die Mächte sich vereinen
Es ist vorbei
Es ist vorbei
Es ist vorbei
Es ist vorbei
Vorbei

[Verse 3]
Die Geier kreisen über unserm Revier
Töten das letzte von Dir
Und das letzte in mir
Es bringt mich um

[Chorus]
Wir ham uns totgeliebt
Es bringt mich um
Weil unser Traum in Trümmern liegt
Die Welt soll schweigen und für immer einsam sein, nein!
Wir sind verloren auch wenn die Mächte sich vereinen
Es ist vorbei
Es ist vorbei
Es ist vorbei
Es ist vorbei";"https://genius.com/Tokio-hotel-totgeliebt-lyrics";"Released February 23, 2007
Artwork

    
      Giraffentoast
Photography

    
      Jens Boldt
Management

    
      Benjamin Ebel
Label

    
      Island Records
Copyright ©

    
      Universal Music Group
Phonographic Copyright ℗

    
      Universal Music Group
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 4 more
Additional Recording

    
      Kristian Draude
Bass

    
      Georg Listing
Copyright ©

    
      Universal Music Group"
"4";"Tokio Hotel";"Spring nicht";"Zimmer 483";"[Verse 1]
Über den Dächern
Ist es so kalt und so still
Ich schweig Deinen Namen
Weil Du ihn jetzt nicht hören willst
Der Abgrund der Stadt
Verschlingt jede Träne die fällt
Da unten ist nichts mehr
Was Dich hier oben noch hält

[Chorus]
Ich schrei in die Nacht für Dich
Lass mich nicht im Stich
Spring nicht
Die Lichter fangen Dich nicht
Sie betrügen Dich
Spring nicht
Erinner' Dich
An Dich und mich
Die Welt da unten zählt nicht
Bitte spring nicht

[Verse 2]
In Deinen Augen
Scheint alles sinnlos und leer
Der Schnee fällt einsam
Du spürst ihn schon lange nicht mehr
Irgendwo da draußen
Bist Du verloren gegangen
Du träumst von dem Ende
Um nochmal von vorn anzufangen

[Chorus]
Ich schrei in die Nacht für Dich
Lass mich nicht im Stich
Spring nicht
Die Lichter fangen Dich nicht
Sie betrügen Dich
Spring nicht
Erinner Dich
An Dich und mich
Die Welt da unten zählt nicht
Bitte spring nicht
Spring nicht

[Bridge]
Ich weiß nicht wie lang
Ich Dich halten kann
Ich weiß nicht wie lang

[Pre-Chorus]
Nimm meine Hand
Wir fangen nochmal an
Spring nicht

[Chorus]
Ich schrei in die Nacht für Dich
Lass mich nicht im Stich
Spring nicht
Die Lichter fangen Dich nicht
Sie betrügen Dich
Spring nicht
Erinner Dich
An Dich und mich
Die Welt da unten zählt nicht
Bitte spring nicht
Spring nicht

[Outro]
Und hält Dich das auch nicht zurück
Dann spring ich für Dich";"https://genius.com/Tokio-hotel-spring-nicht-lyrics";"Released February 23, 2007
Artwork

    
      Giraffentoast
Photography

    
      Jens Boldt
Management

    
      Benjamin Ebel
Label

    
      Island Records
Copyright ©

    
      Universal Music Group
Phonographic Copyright ℗

    
      Universal Music Group
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 4 more
Additional Recording

    
      Kristian Draude
Bass

    
      Georg Listing
Copyright ©

    
      Universal Music Group"
"5";"Tokio Hotel";"Heilig";"Zimmer 483";"[Verse 1]
Ich halt mich wach für Dich
Wir schaffen´s nicht beide - Du weißt es nicht
Ich geb mich jetzt für Dich auf
Mein letzter Wille hilft Dir raus
Bevor das Meer unter mir zerbricht
Ich glaub an Dich

[Chorus]
Du wirst für mich immer heilig sein
Ich sterb für unsere Unsterblichkeit
Meine Hand von Anfang an über Dir
Ich glaub an Dich
Du wirst für mich immer heilig sein

[Verse 2]
Du brichst die Kälte wenn Du sprichst
Mit jedem Hauch von Dir erlöst Du mich
Wir sehen uns wieder irgendwann
Atme weiter wenn Du kannst
Auch wenn das Meer unter Dir zerbricht
Ich glaub an Dich

[Chorus]
Du wirst für mich immer heilig sein
Ich sterb für unsere Unsterblichkeit
Meine Hand von Anfang an über Dir
Ich glaub an Dich
Du wirst für mich immer heilig sein...
Heilig sein, heilig sein
Heilig sein, heilig sein

[Bridge]
Ich schau durchs Meer und seh Dein Licht über mir
Ich sinke, ich sinke weg von Dir

[Pre-Chorus]
Schau mir nicht mehr hinterher
Glaub an Dich
Ich glaub an Dich

[Chorus]
Du wirst für mich immer heilig sein
Ich sterb für unsere Unsterblichkeit
Meine Hand von Anfang an über Dir
Und irgendwann führt das Meer dich zu mir
Ich glaub an Dich
Du wirst für mich immer heilig sein
Du wirst für mich immer heilig sein";"https://genius.com/Tokio-hotel-heilig-lyrics";"Released February 23, 2007
Artwork

    
      Giraffentoast
Photography

    
      Jens Boldt
Management

    
      Benjamin Ebel
Label

    
      Island Records
Copyright ©

    
      Universal Music Group
Phonographic Copyright ℗

    
      Universal Music Group
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 4 more
Additional Recording

    
      Kristian Draude
Bass

    
      Georg Listing
Copyright ©

    
      Universal Music Group"
"6";"Tokio Hotel";"Wo Sind Eure Hände";"Zimmer 483";"[Verse 1]
Ich hör, alles ist so wichtig
Schon klar, die anderen machens auch
Jaja, ganz genau ist richtig
Glaubt ruhig, dass ich euch das glaub
Zurück und dann wieder nach vorne
Okay, wird schon richtig sein
Bleib steh'n, weil Du sonst verloren bist
Laus los, aber nicht zu weit

Mein Kopf ist voll bis oben
Meine Schatten holen mich ein
Ich hör 1000 Diagnosen
Jaja, schon klar, egal

[Chorus]
Heute sind wir hier
Die Welt bleibt vor der Tür
Was jetzt zählt seid ihr
Wo sind eure Hände?
Chaos im System
Auch wenn wir untergehen
Ich will euch alle sehn
Wo sind eure Hände?
Eure Hände, eure Hände

[Verse 2]
Ich hör, Du kannst Dich drauf verlassen
Frag nicht, alles ist geplant
Das was, mir morgen passier'n wird
Habt ihr doch gestern schon geahnt

[Bridge]
Links, rechts, oben, unten
Ich komm nirgendwo an
Ich hör 1000 Diagnosen
Jaja, schon klar, egal

[Chorus]
Heute sind wir hier
Die Welt bleibt vor der Tür
Was jetzt zählt, seid ihr
Wo sind eure Hände?
Chaos im System
Auch wenn wir untergehen
Ich will euch alle seh'n
Wo sind eure Hände?
Heute sind wir hier
Wo sind eure Hände?
Die Welt bleibt vor der Tür
Wo sind eure Hände?

[Outro 1]
Chaos im System
Ich will euch alle sehn
Jaja, schon klar, egal

[Chorus]
Heute sind wir hier
Die Welt bleibt vor der Tür
Was jetzt zählt, seid ihr
Wo sind eure Hände?
Chaos im System
Auch wenn wir untergehen
Ich will euch alle seh'n
Wo sind eure Hände?
Heute sind wir hier
Wo sind eure Hände?
Die Welt bleibt vor der Tür
Wo sind eure Hände?

[Outro 2]
Chaos im System
Wo sind eure Hände?
Ich will euch alle sehn
Wo sind eure Hände?
Eure Hände
Wo sind eure Hände?";"https://genius.com/Tokio-hotel-wo-sind-eure-hande-lyrics";"Released February 23, 2007
Artwork

    
      Giraffentoast
Photography

    
      Jens Boldt
Management

    
      Benjamin Ebel
Label

    
      Island Records
Copyright ©

    
      Universal Music Group
Phonographic Copyright ℗

    
      Universal Music Group
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 4 more
Additional Recording

    
      Kristian Draude
Bass

    
      Georg Listing
Copyright ©

    
      Universal Music Group"
"7";"Tokio Hotel";"Stich Ins Glück";"Zimmer 483";"[Verse 1]
Draussen wirds schon hell
Sie ist noch da, wo keiner stört
Ihr Happy Birthday, hat sie gestern Nacht nicht mehr gehört

Willst Du Dich fliegen sehen, im Licht der Dunkelheit
Öffne Dein Geschenk, und alles liegt bereit
Augen zu, und durch

[Chorus]
Ihr erster Stich ins Glück, Die Wunde bleibt für immer
'n goldener Augenblick, und jedes Mal wirds schlimmer
Schatten und Licht, nehmen ihr die Sicht
Sie kommt nicht mehr, zurück

[Verse 2]
Draussen wirds schon hell, doch ihre Nacht endet nicht
Irgendeine Hand, streicht über ihr Gesicht

Immer wenn es wehtut, ist sie ganz allein
Doch nach dem letzten Mal, hat sie nicht mehr geweint
Augen zu, und durch

[Chorus]
Und noch ein Stich ins Glück, Die Wunde bleibt für immer
'n goldener Augenblick, und jedes Mal wirds schlimmer
Schatten und Licht, nehmen ihr die Sicht
Sie kommt nicht mehr, zurück

[Verse 3]
Nach jedem letzten Mal, braucht sies nochmal, nochmal
Nach jedem letzten Mal, braucht sies nochmal, nochmal
Ein letztes Mal

Alle gucken zu, es ist ihr scheissegal, sie brauchts nochmal

[Chorus]
Und noch ein Stich ins Glück, Die Wunde bleibt für immer
'n goldener Augenblick, und jedes Mal wirds schlimmer
Schatten und Licht, nehmen ihr die Sicht
Sie kommt nicht mehr, zurück

[Outro]
Der Himmel, zieht sich zu
Ihr letzter Traum, bleibt ungeträumt";"https://genius.com/Tokio-hotel-stich-ins-gluck-lyrics";"Released February 23, 2007
Artwork

    
      Giraffentoast
Photography

    
      Jens Boldt
Management

    
      Benjamin Ebel
Label

    
      Island Records
Copyright ©

    
      Universal Music Group
Phonographic Copyright ℗

    
      Universal Music Group
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 4 more
Additional Recording

    
      Kristian Draude
Bass

    
      Georg Listing
Copyright ©

    
      Universal Music Group"
"8";"Tokio Hotel";"Ich Brech Aus";"Zimmer 483";"[Verse 1]
Ich hab heut 'n anderen Plan
Und der geht Dich gar nichts an
Ich halt ihn fest in meiner Hand
Mit dem Rücken an der Wand, An der Wand

Ich geb Dir an mir Schuld
Hab das alles nie gewollt
Du lässt mir leider keine Wahl
Das ist jetzt das letzte Mal, Das letzte Mal

[Chorus]
Ich fühl mich
Claustrophobisch eng
Mach platz
Bevor ich mir 'n Ausweg spreng
Du hälst
Mich nicht auf
Ich brech aus

[Verse 2]
Ich warne Dich verfolg mich nicht
Die Welt ist glücklich ohne Dich
Was Du wolltest ist krepiert
Ich bin das was jetzt passiert, was jetzt passiert

Kalter Schweiss auf Deiner Stirn
Du kannst mich jetzt schreien hör'n
Gleich ist für Dich alles aus
Ich zieh Dir den Stecker raus, den Stecker raus

[Chorus]
Ich fühl mich
Claustrophobisch eng
Mach platz
Bevor ich mir 'n Ausweg spreng
Du hälst
Mich nicht auf
Ich brech aus

[Verse 3]
Deine Lügn sind erzählt
Dein letzter Schuss hat mich verfehlt
Es ist zu spät, zu spät

Du lässt mir leider keine Wahl
Das war jetzt das letzte Mal

[Chorus]
Ich fühl mich
Claustrophobisch eng
Mach platz
Bevor ich mir 'n Ausweg spreng
Du hälst
Mich nicht auf
Ich brech aus";"https://genius.com/Tokio-hotel-ich-brech-aus-lyrics";"Released February 23, 2007
Artwork

    
      Giraffentoast
Photography

    
      Jens Boldt
Management

    
      Benjamin Ebel
Label

    
      Island Records
Copyright ©

    
      Universal Music Group
Phonographic Copyright ℗

    
      Universal Music Group
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 4 more
Additional Recording

    
      Kristian Draude
Bass

    
      Georg Listing
Copyright ©

    
      Universal Music Group"
"9";"Tokio Hotel";"Reden";"Zimmer 483";"[Verse 1]
Hallo, Du stehst in meiner Tür
Es ist sonst niemand hier, ausser Dir und mir
Komm doch erstmal rein, der Rest geht von allein
In Zimmer 483

Hier drinnen, ist niemals richtig Tag
Das Licht kommt aus der Minibar
Und morgens wirds hier auch nicht hell
Wilkommen im Hotel

[Chorus]
Wir wollen nur reden
Und jetzt liegst du hier
Und ich liege daneben, Reden, Reden

[Verse 2]
Komm her, wir werden nicht gestört
Das hab ich schon geklärt, Don't Disturb
Egal, wo wir morgen sind
Die Welt ist jetzt hier drinnen, leg Dich wieder hin

Ich hör Dir zu, seh Dein Gesicht
Deine Lippen, öffnen sich
Red langsam, bitte nicht zu schnell
Wilkommen im Hotel

[Chorus]
Wir wollten nur reden
Und jetzt liegst du hier
Und ich lieg daneben, Reden, Reden
Reden

[Verse 3]
Vor der Tür Alarm, die ganze Welt ruft anAlle zerren an mir, Ich will mit keiner ausser Dir
Reden, Reden
Wir wollen nur reden
Und jetzt liegst du hier
Und ich lieg daneben, Reden, Reden
Wir wollten nur reden
Und jetzt liegst du hier
Und ich lieg daneben, Reden, Reden
Reden, Reden";"https://genius.com/Tokio-hotel-reden-lyrics";"Released February 23, 2007
Artwork

    
      Giraffentoast
Photography

    
      Jens Boldt
Management

    
      Benjamin Ebel
Label

    
      Island Records
Copyright ©

    
      Universal Music Group
Phonographic Copyright ℗

    
      Universal Music Group
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 4 more
Additional Recording

    
      Kristian Draude
Bass

    
      Georg Listing
Copyright ©

    
      Universal Music Group"
"10";"Tokio Hotel";"Nach Dir Kommt Nichts";"Zimmer 483";"[Verse 1]
Meine beste Sünde, geht durch die Tür
Ich bin schwerverletzt, und süchtig nach ihr
Ich fühl mich

[Pre-Chorus]
Besessen, und verloren
Vergessen, wie nie geboren
Zerfetz Dein Tagebuch
Ich find mich nicht, auch wenn ich such denn

[Chorus]
Nach Dir kommt nichts
Unsern ersten Tag verfluch ich
Nach Dir kommt nichts
Alles Neue macht mich fertig
Nach Dir kommt nichts, ich will das nicht
Du bist und warst und wirst nie wieder alles sein
Ich hasse dich

[Verse 2]
Du bist wie ein Alptraum, der mich träumt
Hab von Deinem Trip, den Absprung versäumt
Ich bin

[Pre-Chorus]
Besessen, von Deinem Fluch
Vergessen, hab ich versucht
Zerfetz Dein Tagebuch
Ich find mich nicht, auch wenn ich such den

[Chorus]
Nach Dir kommt nichts
Unsern ersten Tag verfluch ich
Nach Dir kommt nichts
Alles Neue macht mich fertig
Nach Dir kommt nichts, ich will das nicht
Du bist und warst, und wirst nie wieder alles sein
Ich bin und war und wird nie wieder glücklick sein

Lass mich, verlass mich, endlich
Ich hasse dich
Nach Dir kommt nichts

[Chorus]
Nach Dir kommt nichts
Unsern ersten Tag verfluch ich
Nach Dir kommt nichts
Alles Neue macht mich fertig
Nach Dir kommt nichts, ich will das nicht
Du bist und warst, und wirst nie wieder alles sein
Nach Dir kommt nichts
Unsern ersten Tag verfluch ich
Nach Dir kommt nichts
Alles Neue macht mich fertig
Nach Dir kommt nichts, ich will das nicht
Du bist und warst, und wirst nie wieder alles sein
Ich bin und war und wird nie wieder glücklick sein
I hasse dich";"https://genius.com/Tokio-hotel-nach-dir-kommt-nichts-lyrics";"Released February 23, 2007
Artwork

    
      Giraffentoast
Photography

    
      Jens Boldt
Management

    
      Benjamin Ebel
Label

    
      Island Records
Copyright ©

    
      Universal Music Group
Phonographic Copyright ℗

    
      Universal Music Group
Producers

    
      Dave Roth, David Jost, Patrick Benzner & 2 more
Writers

    
      Bill Kaulitz, Dave Roth, David Jost & 4 more
Additional Recording

    
      Kristian Draude
Bass

    
      Georg Listing
Copyright ©

    
      Universal Music Group"
