"","artist","title","album","text","url","metadata"
"1","Tomte","Korn & Sprite","Eine sonnige nacht","[Intro;]
Ich bin bereit, gib mir Korn und Sprite[x2]

[Strophe I:]
Da ist ein Licht, am Ende des Tunnels
Licht, am Ende des Tunnels[x2]
Da kommt ein Zug, ein Zug, ein Zug
Ein Zug

[Chorus:]
Ich schlage vor, dass wir jetzt geh'n
Du tendierst dazu, nicht zu verstehen

[Chorus:]
Ich schlage vor, dass wir jetzt, dass wir jetzt
Vor dass wir jetzt, dass wir jetzt geh'n
Vor dass wir jetzt, dass wir jetzt
Dass wir jetzt, dass wir jetzt
Dass wir jetzt, dass wir jetzt geh'n

[Outro:]
Wir lieben dich, wenn du jetzt gehst[x2]
Wir lieben dich, wenn du jetzt, wenn du jetzt
Dich, wenn du jetzt, wenn du jetzt gehst
Dich, wenn du jetzt, wenn du jetzt, wenn du jetzt
Wenn du jetzt, wenn du jetzt, wenn du jetzt gehst","https://genius.com/Tomte-korn-and-sprite-lyrics","Released 2005"
"2","Tomte","Wilhelm, das war nichts","Eine sonnige nacht","[Strophe I:]
Wilhelm, das war nichts
Du kannst doch mir nicht glauben
Dass sie dich wirklich mag
Ich schlafe nur noch 4 stunden pro tag
Und die restlichen 20 verbringe ich damit
Zu denken an die sachen die ich nicht hab

[Chorus:][x2]
Halt mich fest, während ich versuche
Mich unkenntlich und unsterblich zu lieben

Eine liebe zur musik, eine liebe zu den tönen
L.Y.B.E

[Strophe II:]
Ich erinnere mich an konzerte
Die schon lange zu ende sind
Zum beispiel s.N.F.U. In gießen
Zum beispiel van pelt in der wingst

[Chorus][x2]

[Bridge:]
Eine liebe zur musik, eine liebe zu den tönen[x3]
Eine liebe zur musik, eine liebe zur musik

[Chorus][x2]","https://genius.com/Tomte-wilhelm-das-war-nichts-lyrics","Released 2005"
"3","Tomte","Gorillas im Küstennebel","Eine sonnige nacht","[Strophe:]
Die affen rasen durch den wald
Nur ein eichhörnchen bleibt stehen
Alles, was lebt, wird langsam alt
Manchmal versteckt sich das verstehen
Ein versuch zu helfen
Das gefühl, im weg zu stehen
Ein neuer tag nimmt seinen lauf
Man versucht erneut ein ohr zu leihen
Alles, was lebt, wacht manchmal auf
Man lebt durch reden, nicht durch schrein
Ein versuch zu helfen
Das gefühl, im weg zu stehen
Ein versuch, die welt zu retten
Bleibt mir quer im halse stecken
Eine idee erstickt sich selbst
Ich will mich einfach nur verstecken
Bei dir
Bei dir, fühl ich mich wohl
Die affen sterben vor erschöpfung
Man versucht erneut sich zu verzeihen
Alles was lebt, legt sich mal schlafen
Man stirbt durch schweigen
Nicht durch schrein
Ein versuch zu helfen","https://genius.com/Tomte-gorillas-im-kustennebel-lyrics","Released 2005"
"4","Tomte","Die Nacht, in der ich starb","Eine sonnige nacht","[Strophe I:]
Da waren Menschen in der Straßen
Sangen Lieder von vor 20 Jahren
Ich ging nach Hause und hörte noch einmal
Trank einen Tee und Wasser und dachte ""Hurra!""

[Chorus:]
Die Nacht in der ich starb
Sangen diese Jungs ein Lied
Die Nacht in der ich starb
Sangen diese Jungs ein Lied

[Strophe II]
Sie waren so energetisch wie Planeten
Unschuldig und suchend, wie ein behinderter Hund
Ich stehe tief in ihrer Schuld
Man versuchte mich zu beruhigen
Ich nahm dankend an und zerstörte ihre Unterhaltung

[Chorus]","https://genius.com/Tomte-die-nacht-in-der-ich-starb-lyrics","Released 2005"
"5","Tomte","The Rick McPhail Song","Eine sonnige nacht","[Strophe:]
Ich soll dir grüße bestellen von jemand aus Berlin
Er sagt, er hat Probleme, doch er hofft sie verzeihen ihm
Irgendjemand ist die cousine von liv tyler
Ich hab vergessen, wer es war
Da sind leute in der stadt, und sie mögen dich benommen
Wenn du sachen erzählst von früher
Und sie denken es wäre ein witz
All den schmutz den du geschoben hast, und die leute
Die sich alle ähnlich sehen
Ich hänge mit dir rum
Solange du mir was bringst
Und solange gebe ich dir bedingungslos
Was du brauchst
Frag einfach meine ex-freunde
Ich kenne sie nicht mehr, doch sie erinnern sich an mich
Wir hingen herum in den bars dieser stadt
Ich sagte: ""r., das ist kein bier
Was du da trinkst, das ist schuld""
R. Sagte o.K., das wär das, was zu ihm passt
""Und was du da trinkst, ist kein drink, das ist sünde""
Ich sagte: ""cheers! Es muss immer mehr in mich rein
Damit überhaupt an etwas glauben mag""
Und du berührtest mein handgelenk
Und ein blitz zuckte durch meine iris
Du bist kein mensch, du bist heilig
Da sind trümmer am horizont
Da sind feinde in deinem haus
Ich rauche so lange Rick McPhail raucht!","https://genius.com/Tomte-the-rick-mcphail-song-lyrics","Released 2005"
"6","Tomte","Theestube","Eine sonnige nacht","[Strophe I:]
Ich war unten mit den königen
Und sie haben mir gefallen
Ich war oben auf dem meer
Denn dummheit schwimmt bekanntlich oben
Es war alles klar und sonderbar
Mit mächtig viel verrat gepaart
Und solange wir zu kaufen sind
Bestehe ich aus gold
Ich glaube ich brauche eine pause

[Chorus:]
Es ist ein langer weg nach hause
Es muss schwierig sein mich zu verstehen
Warum ich mich gut mit theyes verstehe

[Strophe II:]
Ich tendiere dazu
Mich gut zu fühlen wenn ich alte fotos sehe
Es ist beruhigend zu sehen wie man älter wird
Da sind feuer in deinen augen
Wenn ich dich jetzt sehe
Treffen sich die leute, die wir nicht mögen
Immer noch auf den terrassen
Ein kleiner toast auf die jahre die sie uns lassen
Ohne uns, anzufassen, nur weil wir uns gewisse sachen trauen

[Chorus]","https://genius.com/Tomte-theestube-lyrics","Released 2005"
"7","Tomte","Passt zu meinem Kalender","Eine sonnige nacht","[Strophe I:]
Meine Augen füllen Münder
Meine Münder zerstören Leben
Da ist keiner der im Himmel für Ordnung sorgt
Wohin mit den Unbedarften
Wohin ohne Hände
Kein Glück gehabt beim Beten
Ich habe es genossen dich nicht zu küssen
Ich habe es geliebt dich zu vermissen
Das ist schon lange her
Das passt zu meinem Kalender
Und sie ist nicht die einzige die fordert
Hier muss sich was ändern
Ich glaube die Sache liegt anders
Sie ändern mich
Sie ändern meine Bestimmung
Und mein Gleichgewicht
Wir warten auf eine Kettenreaktion
Auf den Durchbruch eines Dammes, der sich Alter nennt
Du hast gesagt

[Chorus:][x2]
Du hast gesagt
Du bist der einzige Mann
Den ich
Nüchtern ertragen kann

[Outro:]
Das ist schon lange her
Das passt zu meinem Kalender
Und sie ist nicht die einzige die fordert
Du musst dich ändern
Ich habe es genossen dich nicht zu küssen
Ich habe es geliebt dich zu vermissen
I start
I quit
I start
I start I quit I start I quit[x2]","https://genius.com/Tomte-passt-zu-meinem-kalender-lyrics","Released 2005"
"8","Tomte","Eine sonnige Nacht","Eine sonnige nacht","[Strophe I:]
Es war einen sonnige nacht
Wir saßen an einem künstlichen see
Vor einem cafe
Da ist salz auf deiner jacke, von mir
Das leben ist so hart
Es sollte ein job sein
Man sollte geld dafür bekommen
Dass man es schafft
Aber es macht alles sinn
Es passt alles ineinander
Und ich gehe meinen weg
In meinem gottgehassten leben

[Chorus:]
Mach dir keine sorgen, der schlaf
Überkommt dich so oder so
Bitte denk an morgen

[Strophe II:]
Es war eine sonnige nacht
Ich kaufe blumen, für meine mutter
Ein freund sagte mir: ""ich fahr zu dem konzert
Das so wichtig für dich wäre.""
Sie wusste das und rief mich an
Und hielt ihr mob einfach in den sound
In den raum
In einem anflug von vernunft
Entschied ich mich, den stimmen zu verschreiben
Die mich steuern

[Chorus]","https://genius.com/Tomte-eine-sonnige-nacht-lyrics","Released 2005"
"9","Tomte","Yves, wie hältst Du das aus","Eine sonnige nacht","[Strophe I:]
Frag doch die band, was sie meint
Sie sind sicher freundlich
Ich bin die chesna und du der rust
Der niemals schlafen geht

[Chorus:]
Yves, wie hältst du das aus?

[Strophe II:]
Das hier sind nur die
Spuren einer zeit die 180 fährt
Wie mit kicken
Wenn man sich noch nichtmal
Warmlaufen darf

[Chorus]","https://genius.com/Tomte-yves-wie-haltst-du-das-aus-lyrics","Released 2005"
"10","Tomte","Ich habe eingesehen","Eine sonnige nacht","[Strophe I:]
Könnte ich
Einen nachmittag mit ihnen verbringen
Sie würden mir
Erzählen, wie sie
So geworden sind
Und ich erzähl ihnen
Was ich meine
Wenn ich sage[x2]

[Chorus:]
Ich habe eingesehen
Dass wir uns lächerlich machen
Für mich
Kein grund
Mitzulachen

[Bridge:]
Wenn du einer aus einer million sein willst
Bist du nur einer von tausend in china

[Chorus][x2]

[Outro]
Eingeseh'n[x6]","https://genius.com/Tomte-ich-habe-eingesehen-lyrics","Released 2005"
