"","artist","title","album","text","url","metadata"
"1","Tomte","Für immer die Menschen","Hinter all diesen fenstern","[Strophe I]
Tu das, was du am besten kannst:
Leben in einer gewöhnlichen Welt
Und es sind gewöhnte Menschen
Die du jeden Tag in ihren Welten siehst
Wenn du ihnen sagst
Dass du sie alle liebst, werden sie dir glauben
Und an dem Tag, an dem du wünschtest die Seiten zu wechseln
Du fängst an zu zucken
Wenn du an Sachen dachtest, die du erlebtest

[Strophe II]
Das war eine Mischung aus Angst und Bier
Die dich trieb, weiterzugehen
An die Plätze, die Menschen in unseren Alter vermeiden
Um dort nicht zu verglühen
Es ist nicht leicht sich zu erinnern
Wenn man nie lernte wachsam zu sein
Es ist leicht sich zu verlieren
In diesem fernen Schein

[Chorus]
Es könnte Trost geben, den es gilt zu sehen
Zu erkennen, zu buchstabieren
Es könnte Trost geben, den es gilt zu sehen
Zu erkennen, zu buchstabieren

[Bridge]
Sich gehen zu lassen, in Liebe und Angst
Das was man hat verschenken
Vom Versuch das mit Würde zu schaffen
Denken:""Für immer die Menschen""
Sich gehen zu lassen, in Liebe und Angst
Das was man hat verschenken
Vom Versuch, das mit Würde zu schaffen
Denken:""Für immer die Menschen""

[Chorus]
Es könnte Trost geben, den es gilt zu sehen
Es könnte Trost geben, den es gilt zu sehen
Zu erkennen, zu buchstabieren
Es könnte Trost geben, den es gilt zu sehen
Zu erkennen, zu buchstabieren
Es könnte Trost geben, den es gilt zu sehen
Zu erkennen, zu buchstabieren
Es könnte Trost geben, den es gilt zu sehen","https://genius.com/Tomte-fur-immer-die-menschen-lyrics","Released April 28, 2003
Executive Producer

    
      Swen Meyer
Mastered By

    
      Michael Schwabe
Producers

    
      Swen Meyer & Tomte
Writers

    
      Thees Uhlmann"
"2","Tomte","Schreit den Namen meiner Mutter","Hinter all diesen fenstern","[Strophe I]
Schreit den Namen meiner Mutter, die mich hielt
Schreit den Namen meines Vaters, der mich machte
Zu einem glühenden Verehrer der Sachen des Lichts
Geh ich einfach mit den Leuten
Die denken, dass ich sie verdiene?
Oder gehe ich einfach wie ein langer Tag?
Viel zu spät

[Strophe II]
Und du sagtest:
Da ist zu viel Krebs in deiner Familie
Da ist zu viel Angst in meiner Welt
Alles was du willst, ist ein Glas mit deinem Namen eingraviert
Alles was du brauchst, ist ein Schoß zum Ruh'n
Alles was du willst, ist ein wenig Zeit zum Atmen
Es liegt alles offen vor dir, es liegt alles offen

[Chorus]
Und all die Dinge, die da scheinen
Heute Nacht, wo wir hier sind
Du sagtest: Weißt du wie man einfach verschwindet?
Wie gut die Zeit mit dir verrinnt?
Die uns bleibt
Die uns bleibt bis wir gehen
Lass mich vor dir sterben
Die uns bleibt
Die uns bleibt bis wir gehen
Lass mich vor dir sterben

[Strophe III]
Schreit den Namen der Sachen, die sich um mich drehen
Die es gilt sorgsam zu verwalten
Einen Augenblick zu streicheln
Bevor sie gehen
Und du weißt
Wenn sie gehen, wirst du immer Waise sein
Du wirst Dinge sehen, die du vergaßt
Damals als wir Chancen hatten
Blieben wir für Jahrzehnte stehen
Da-da-dap-dap-daaaa
Da-da-dap-dap-daaaa
Da-da-dap-dap-daaaa

[Chorus]
Und all die Dinge, die da scheinen
Heute Nacht, wo wir hier sind
Du sagtest: Weißt du wie man einfach verschwindet?
Wie gut die Zeit mit dir
Und all die Dinge die da scheinen
Heute Nacht, wo wir hier sind
Du sagtest: Weißt du wie man einfach verschwindet?
Wie gut die Zeit mit dir verrinnt?
Die uns bleibt
Die uns bleibt bis wir gehen
Lass mich vor dir sterben
Die uns bleibt
Die uns bleibt bis wir gehen
Lass mich vor dir sterben
Die uns bleibt
Die uns bleibt bis wir gehen
Lass mich vor dir sterben
Die uns bleibt
Die uns bleibt bis wir gehen
Lass mich vor dir sterben","https://genius.com/Tomte-schreit-den-namen-meiner-mutter-lyrics","Released April 28, 2003
Executive Producer

    
      Swen Meyer
Mastered By

    
      Michael Schwabe
Producers

    
      Swen Meyer & Tomte
Writers

    
      Thees Uhlmann"
"3","Tomte","Die Bastarde, die dich jetzt nach Hause bringen","Hinter all diesen fenstern","[Strophe I]
Schlaf ein, es ist vorbei
Es ist nur der Wind
Der dich wachen lässt
Und nicht die Konsequenzen
Die du alleine ziehst
Und die Träume die du hast
In diesen schmutzigen Sekunden
Zwischen dem Schlaf und wach

[Chorus]
Wo wirst du heute schlafen?
Und worüber denkst du nach?
Es war wundervoll als wir uns trafen
Wie lange lagst du wach?

[Strophe II]
Könntest du hier verweilen?
Kannst du bleiben wie du bist?
Das war dein Leben an das ich dachte
Das, wie du, süchtig nach mir ist
Wie wir schweigend durch die Straßen geh'n
Muss sich wundervoll anhör'n
Wie dann die Worte verstummen
Sich ohne Zärtlichkeit berühren

[Chorus]
Wo wirst du heute schlafen?
Und worüber denkst du nach?
Es war wundervoll als wir uns trafen
Wie lange lagst du wach?

[Outro]
Wo wirst du heute schlafen?
Und worüber denkst du nach?
Es war wundervoll als wir uns trafen
Wie lange lagst du wach?
Wo wirst du heute schlafen?
Und worüber denkst du nach?
Es war wundervoll als wir uns trafen
Wie lange lagst du wach?
(Hey!)","https://genius.com/Tomte-die-bastarde-die-dich-jetzt-nach-hause-bringen-lyrics","Released April 28, 2003
Executive Producer

    
      Swen Meyer
Mastered By

    
      Michael Schwabe
Producers

    
      Swen Meyer & Tomte
Writers

    
      Thees Uhlmann"
"4","Tomte","Du bist den ganzen Weg gerannt","Hinter all diesen fenstern","[Strophe I]
Vielen Dank für die weißen Lilien und das gute Buch
Das ich nicht wage zu lesen
Du weißt doch, dass ich es versuch'
Das ist kein Rätsel
Das ist, was wir kennen
Sein Versagen nicht länger Überzeugung zu nennen

[Chorus I]
Und die Zeit versucht zu trösten
Und die Liebe versucht zu bewahren
Dass man weiß, dass man drüber hinweg kommt
Wie man früher einmal war

[Strophe II]
Schau ein einziges Mal nach oben
Schau ein einziges Mal nach vorn
Du wirst Dinge sehen, von denen du dachtest
Sie seien noch nicht geboren
Du wirst Tage verbringen, an denen Zähne nicht knirschen
Deine Scheine ausreichen
Deine Schulden zu begleichen
Deine Augen nicht feucht sind
Du bekommst was du bräuchtest
Es wird passieren
Ich hoffe du weißt es

[Chorus I]
Und die Zeit versucht zu trösten
Und die Liebe versucht zu bewahren
Dass man weiß, dass man drüber hinweg kommt
Wie man früher einmal war

[Chorus II]
Hinter all diesen Fenstern sitzen Menschen
Du hast es immer geahnt
Dass sie es wert sind zu bleiben
Du bist den ganzen Weg gerannt
Hinter all diesen Fenstern sitzen Menschen
Du hast es immer geahnt
Dass sie es wert sind zu bleiben
Du bist den ganzen Weg gerannt

[Chorus I]
Und die Zeit versucht zu trösten
Und die Liebe versucht zu bewahren
Dass man weiß, dass man drüber hinweg kommt
Wie man früher einmal war
Und die Zeit versucht zu trösten
Und die Liebe versucht zu bewahren
Dass man weiß, dass man drüber hinweg kommt
Wie man früher einmal war
Wie man früher einmal war
Wie man früher einmal war
Wie man früher einmal war
Wie man früher einmal war","https://genius.com/Tomte-du-bist-den-ganzen-weg-gerannt-lyrics","Released April 28, 2003
Executive Producer

    
      Swen Meyer
Mastered By

    
      Michael Schwabe
Producers

    
      Swen Meyer & Tomte
Writers

    
      Thees Uhlmann"
"5","Tomte","Endlich einmal","Hinter all diesen fenstern","[Strophe I]
Ich und mein Hund
Wir mögen zusammen gehen
Da vorne könnte etwas passieren
Wir bleiben stehen
Ich ziehe deine Anwesenheit
Den meisten Menschen vor
Du trägst immer eine Leine
Und das nur wegen mir
Denn ich würde töten
Wenn du stirbst
Und das sage ich nur dir
In dieser Welt, die für uns
Aus drei Sachen besteht
Eine Hand auf dem Bauch
Eine Stunde an der Luft
Eine Jagd auf den Geruch
Der lust verspricht

[Chorus]
Endlich einmal etwas, das länger als vier Jahre hält
Endlich einmal etwas, das länger als vier Jahre hält

[Strophe II]
Du jagst die Kronkorken
Die ich schmeiße
Du hast viel zu tun
In dieser Zeit
Du wirst unruhig
Wenn du die Elbe riechst
Du weißt, ich war nervös
Während dieser Monat verstrich
Das ist kein Urlaub
Das ist eine Reise
Das ist alles andere als
Die gute Seite
Sie erreichen ihre Ziele
Für uns ist es unsagbar weit

[Chorus]
Endlich einmal etwas, das länger als vier Jahre hält
Endlich einmal etwas, das länger als vier Jahre hält

[Bridge]
Aber wir gehen unsagbar weit
Aber wir gehen unsagbar weit
Aber wir gehen unsagbar weit
Aber wir gehen unsagbar weit
Aber wir gehen unsagbar weit
Aber wir gehen unsagbar weit

[Chorus]
Endlich einmal etwas, das länger als vier Jahre hält
Endlich einmal etwas, das länger als vier Jahre hält
Endlich
Endlich
Endlich
Endlich","https://genius.com/Tomte-endlich-einmal-lyrics","Released April 28, 2003
Executive Producer

    
      Swen Meyer
Mastered By

    
      Michael Schwabe
Producers

    
      Swen Meyer & Tomte
Writers

    
      Thees Uhlmann"
"6","Tomte","Neulich als ich dachte","Hinter all diesen fenstern","[Strophe I]
Neulich, neulich als ich dachte
Dass da Wege bestehen zu gehen, zu glauben
Du warst immer noch da
Wie Luft
Wie Luft
Wie Luft
Diese Schuhe und Wege sind da um uns zu tragen

[Strophe II]
Der einfache Weg nach draußen
Die gleichen Sachen zu brauchen
Würdest du dich ändern
Nur für dich und nur für uns
War das gut für dich
Als wir dich nahmen
Auf den einzigen Weg, den es sich lohnt zu gehen

[Reprise]
Der einfache Weg nach draußen
Die gleichen Sachen zu brauchen
Würdest du dich ändern
Nur für dich und nur für uns
War das gut für dich
Als wir dich nahmen
Auf den einzigen Weg, den es sich lohnt zu gehen

[Outro]
Sag ihr, dass ich sie liebe
Für die Zeit, die mir bleibt
Und ich weiß
Dass du geknechtet wirst heut' Nacht
Du wirst sehen, du wirst stehen
Du wirst stehen
In der Sonne
In der Sonne
Sag ihr, dass ich sie liebe
Für die Zeit, die mir bleibt
Und ich weiß
Dass du geknechtet wirst heut' Nacht
Du wirst sehen, du wirst stehen
Du wirst stehen
In der Sonne
In der Sonne","https://genius.com/Tomte-neulich-als-ich-dachte-lyrics","Released April 28, 2003
Executive Producer

    
      Swen Meyer
Mastered By

    
      Michael Schwabe
Producers

    
      Swen Meyer & Tomte
Writers

    
      Thees Uhlmann"
"7","Tomte","Von Gott verbrüht","Hinter all diesen fenstern","[Strophe I]
Du sagtest: Danke für einen schönen Tag
Ich weiß, du hast dich zu Hause gefühlt
Da leben Menschen in den Häusern, in denen wir leiden
Das ist das Schicksal von dir und mir
Du weißt um die Welt, die du mir erschließt
Du weißt, ich würde sterben für dich
Um dir ein gutes Leben zu garantieren
Von Gott verbrüht und von den Menschen berührt
Die an dem Friedhof standen, am Ende eines Lebens
Von Gott berührt, von den Menschen verbrüht
Und ich hab keine Angst zu fallen
Während ich versuche zu stehen

[Chorus]
Das ist, wie ich mich fühle
Ich verliere mein Antlitz
Das ist, wie ich mich fühle
Ich verliere mein Antlitz
Das ist, wie ich mich fühle
Ich verliere mein Antlitz
Das ist, wie ich mich fühle
Ich verliere mein Antlitz

[Strophe II]
Und wir fahren alle Straßen
Diesen langen Weg nach Hause
Und wir kennen die Stellen
An denen Sachen geschahen
Und wir kennen die Gerüche
Und wir kennen die Gegenstände
Und wir können spüren, wie sie die Form verlieren
Und wir fahren alle Straßen
Diesen langen Weg nach Hause
Und wir kennen die Stellen
An denen Sachen geschahen
Und wir kennen die Gerüche
Und wir kennen die Gegenstände
Und wir können spüren, wie sie die Form verlieren
Fa-fa-fa-fa-fa-fa-fa-fa
Fa-fa-fa-fa-fa-fa-fa-fa
Fa-fa-fa-fa-fa-fa-fa-fa
Fa-fa-fa-fa-fa-fa-fa-fa
Fa-fa-fa-fa-fa-fa-fa-fa
Fa-fa-fa-fa-fa-fa-fa-fa
Fa-fa-fa-fa-fa-fa-fa-fa
Fa-fa-fa-fa-fa-fa-fa-fa

[Outro]
Das ist, wie ich mich fühle
Ich verliere mein Antlitz
Das waren die Zeichen
Falte deine Hände
Das ist, wie ich mich fühle
Ich verliere mein Antlitz
Das waren die Zeichen
Falte deine Hände","https://genius.com/Tomte-von-gott-verbruht-lyrics","Released April 28, 2003
Executive Producer

    
      Swen Meyer
Mastered By

    
      Michael Schwabe
Producers

    
      Swen Meyer & Tomte
Writers

    
      Thees Uhlmann"
"8","Tomte","Insecuritate","Hinter all diesen fenstern","[Strophe I]
Der Tag, an dem ich in die Stadt kam
Und du warst nicht an meiner Seite
""Gib dir doch ein bisschen Mühe
Dann wird's geh'n, du wirst sehen""
Sagtest du zu mir
Und ich hoffe
Dass du nicht wusstest, was du da sagtest
Denn so komisch kann doch wirklich niemand sein

[Pre-Chorus]
Du siehst gut aus, man sieht's dir an
Du hast es weit gebracht!

[Chorus]
Seit 5 Jahren
Halt ich mein Herz in kochendes Wasser
Doch es scheint nichts zu nützen
Denn so abgebrüht bin ich noch lange nicht
Weichgekocht

[Strophe II]
Wie schön wäre es zu warten
Dass irgendwann mal was passiert
Am Deich zu sitzen und zu sehen
Wie die Sonne die Nordsee berührt
Die Arme zu öffnen und alles zu umarmen, was einem gefällt
Ich fühle mich wie in alter Hund
Ich habe lange nicht gebellt
Die Insecuritate hat meinen zuversichtlichen Bruder erschossen
Bruder erschossen

[Outro]
Wohin willst du heute noch gehen?
Was willst du heute noch verstehen?
Wohin willst du heute noch gehen?
Was willst du heute noch verstehen?
Wohin willst du heute noch gehen?
Was willst du heute noch verstehen?
Wohin willst du heute noch gehen?
Was willst du heute noch verstehen?","https://genius.com/Tomte-insecuritate-lyrics","Released April 28, 2003
Executive Producer

    
      Swen Meyer
Mastered By

    
      Michael Schwabe
Producers

    
      Swen Meyer & Tomte
Writers

    
      Thees Uhlmann"
"9","Tomte","Das war ich","Hinter all diesen fenstern","[Strophe I]
Das war ich, der den wegbrachte
Den du am längsten kennst
Und an Tag an dem du laufen lernst
Werden wir zusammen gehen
Bis zu meiner Trauer und zurück

[Chorus]
Denn es kommt mir manchmal so vor
Als wäre nicht genug alleine für mich da
Wenn es nicht mehr geht, leih ich dir ein Ohr
Und das hier ist die Welt, bitte sei stark
Ah-uh-uh-uh
Ah-uh-uh-uh
Wenn es nicht mehr geht, leih ich dir ein Ohr
Und das hier ist die Welt, bitte sei stark

[Strophe II]
Du wirst verstehen
Warum ich nicht in der Lage war
Versprechen zu leben
Versprechen zu geben
Durchzuhalten
Dir eine Hilfe zu sein
Und deswegen hier für dich
Das einzige, was ich wirklich kann

[Chorus]
Denn es kommt mir manchmal so vor
Als wäre nicht genug alleine für mich da
Wenn es nicht mehr geht, leih ich dir ein Ohr
Und das hier ist die Welt, bitte sei stark
Ah-uh-uh-uh
Ah-uh-uh-uh
Wenn es nicht mehr geht, leih ich dir ein Ohr
Und das hier ist die Welt, bitte sei stark
Bitte sei stark","https://genius.com/Tomte-das-war-ich-lyrics","Released April 28, 2003
Executive Producer

    
      Swen Meyer
Mastered By

    
      Michael Schwabe
Producers

    
      Swen Meyer & Tomte
Writers

    
      Thees Uhlmann"
"10","Tomte","Die Schönheit der Chance","Hinter all diesen fenstern","[Strophe I]
All der Krach und Schmutz und Staub
All die Menschen in meinen Armen
Ich meinte es ernst
Was wir machen, ist nicht vorgesehen
Aber es ist schön dich hier zu sehen
Und ich kann lügen über letzte Nacht
Das Atmen und den Krach
Ich bringe mich an Plätze, die die Männer nicht verstehen
All die Menschen, die schutzlos stehen
So wie ich, so wie wir
So wie ich, so wie wir

[Chorus I]
All der Krach und Schmutz und Staub
All das, was wir uns schworen zu halten
Ich schwöre, ich halte durch
Und ich nahm mir meine Zeit
Um Zenit zu buchstabieren

[Strophe II]
Bring sie, die in Sorge ist, nach Haus
Sag ihr, alles wird gut
Und es gibt sie da draußen
Diese schönen, schönen Menschen
Denn ich habe tausende gesehen
Und ich kann sie verstehen

[Bridge I]
Und ich weiß, was für ein Wetter über der Stadt lag
In der Nacht als du mich in deine Arme nahmst
Und wir uns schworen, uns zu behalten

[Chorus II]
All der Krach und Schmutz und Staub
All die Menschen in meinen Armen
Ich meinte es ernst
Was wir machen, ist nicht vorgesehen
Aber es ist schön dich hier zu sehen

[Chorus I]
All der Krach und Schmutz und Staub
All das, was wir uns schworen zu halten
Ich schwöre ich halte durch
Und ich nahm mir meine Zeit
Um Zenit zu buchstabieren
Und ich nahm mir meine Zeit
Um Zenit zu buchstabieren

[Bridge II]
Und ich weiß, was für ein Wetter über der Stadt lag
In der Nacht, in der wir nicht wussten woher wir kommen
Wohin wir gehen

[Outro]
Die Schönheit der Chance
Dass wir unser Leben lieben so spät es auch ist
Das ist nicht die Sonne die untergeht
Sondern die Erde, die sich dreht
Die Schönheit der Chance
Dass wir unser Leben lieben so spät es auch ist
Das ist nicht die Sonne die untergeht
Sondern die Erde, die sich dreht
Die Schönheit der Chance
Dass wir unser Leben lieben so spät es auch ist
Das ist nicht die Sonne die untergeht
Sondern die Erde, die sich dreht
Die Schönheit der Chance
Dass wir unser Leben lieben so spät es auch ist
Das ist nicht die Sonne die untergeht
Sondern die Erde, die sich dreht","https://genius.com/Tomte-die-schonheit-der-chance-lyrics","Released April 28, 2003
Executive Producer

    
      Swen Meyer
Mastered By

    
      Michael Schwabe
Producers

    
      Swen Meyer & Tomte
Writers

    
      Thees Uhlmann"
