artist,title,album,text,url,metadata
Torfrock,Hörner heben,Einigkeit und blech und freizeit,"In der Halle von Haitabu
Ham sich alle eingefunden
Rollo ruft der Versammlung zu:
""Nu beraten wir'n paar Stunden
Vorher alle ran ans Fass
Denn im Met is Veritas.""

Hö-hö-Hörner heben
Ansetzen und Met eingeben!
Hö-hö-Hörner nieder
Nachgegossen und nu wieder:
Hö-hö-Hörner heben
Ansetzen und Met eingeben!
Hö-hö-Hörner nieder
Nachgegossen und nu wieder:
Hö-hö-Hörner heben
Wart mal eben!
Da will noch einer reden

Renate spricht zuerst wie immer:
""Ich beantrag zu beraten
Ole darf mit mir ins Hinterzimmer
Das kann zwischendurch nicht schaden.""
Dieser Punkt wurde beschlossen
Der Beschluss wurde begossen

Hö-hö-Hörner heben
Ansetzen und Met eingeben!
Hö-hö-Hörner nieder
Nachgegossen und nu wieder:
Hö-hö-Hörner heben
Ansetzen und Met eingeben!
Hö-hö-Hörner nieder
Nachgegossen und nu wieder:
Hö-hö-Hörner heben
Wart mal eben!
Da will noch einer reden

Ausländer und Einheimische
Machen schnell n Handel klar:
""Die mit Salz und wir mit Fische
Sind die Matjes mbH.""
Dieser Punkt wurde beschlossen
Der Beschluss wurde begossen

Hö-hö-Hörner heben
Ansetzen und Met eingeben!
Hö-hö-Hörner nieder
Nachgegossen und nu wieder:
Hö-hö-Hörner heben
Ansetzen und Met eingeben!
Hö-hö-Hörner nieder
Nachgegossen und nu wieder:
Hö-hö-Hörner heben
Wart mal eben!
Da will noch einer reden

Einige woll'n Pfeile schießen
Andre woll'n die Würfel roll'n
Da beschließt man zu beschließen:
Alle machen, was sie woll'n
Der letzte Punkt wurde beschlossen
Und denn nur noch nachgegossen

Hö-hö-Hörner heben
Ansetzen und Met eingeben!
Hö-hö-Hörner nieder
Nachgegossen und nu wieder:
Hö-hö-Hörner heben
Ansetzen und Met eingeben!
Hö-hö-Hörner nieder
Nachgegossen und nu wieder:
Hö-hö-Hörner heben
Wart mal eben!
Da will noch einer reden",https://genius.com/Torfrock-horner-heben-lyrics,"Released September 30, 2001
Writers

    
      Klaus Büchner & Raymond Voß"
Torfrock,Boot im Sturmgebraus,Einigkeit und blech und freizeit,"Das Drachenboot rollt und giert und schlingert, am Mast flattern Fetzen vom Segel
Durch das brodelnde Meer fährt, der Wikinger, Häuptling Rollo und die 40 Flegel
Auf'e Expedition, nach dem märchenhaften Schatz oder 'ne Maid befrei'n aus 'n Turm
Kurs Richtung Nord oder Süd oder was?
Die Lage war vage, nu' war erstmal Sturm

Boot im Sturmgebraus
(Boot im Sturmgebraus)
Rollo hat 'n Plan aber tut ihn nicht raus
(Rollo hat 'n Plan aber tut ihn nicht raus)
Männer, brüllt Rollo nu is das an der Zeit, der Seewasserpegel is'hart am Bart
Nutzen wir am Besten die Gelegenheit und blasen sie ab die geflockte Fahrt!

Wer das überleben tut, der grüßt zu Hause, wer nicht grüßt mir den Götter Hort!
Nich mehr ruh'n, denn alle aufhör'n Pause, also Jungs bis denn, alle Mann von Bord!

Boot im Sturmgebraus
(Boot im Sturmgebraus)
Rollo hat 'n Plan aber tut ihn nicht raus
(Rollo hat 'n Plan aber tut ihn nicht raus)
Boot im Seeorkan
(Boot im Seeorkan)
Rollo tu ihn nu mal raus Dei'n Plan!
(Rollo tu ihn nu mal raus Dei'n Plan!)

Boot im Sturmgebraus
(Boot im Sturmgebraus)
Rollo hat 'n Plan aber tut ihn nicht raus
(Rollo hat 'n Plan aber tut ihn nicht raus)
Boot im Seeorkan
(Boot im Seeorkan)
Rollo tu ihn nu mal raus Dei'n Plan!
(Rollo tu ihn nu mal raus Dei'n Plan!)

Tagelang im Meer rumkraueln, nur salzige See kein Met, kein Land!
Langsam fängt die Mannschaft an zu maulen:
""Rollo gib doch mal Dein' Plan bekannt!""

Hö ein Schiff sie war'n gerettet und kriechten noch an Bord 'n Met zum Schlafen
Am Morgen hatten alle Mann am Hals 'ne Kette und 'nen festen Job, als Rudersklaven

Boot im Sturmgebraus
(Boot im Sturmgebraus)
Rollo hat 'n Plan aber tut ihn nicht raus
(Rollo hat 'n Plan aber tut ihn nicht raus)
Boot im Seeorkan
(Boot im Seeorkan)
Rollo tu ihn nu mal raus Dei'n Plan!
(Rollo tu ihn nu mal raus Dei'n Plan!)

Boot im Sturmgebraus
(Boot im Sturmgebraus)
Rollo hat 'n Plan aber tut ihn nicht raus
(Rollo hat 'n Plan aber tut ihn nicht raus)
Boot im Seeorkan
(Boot im Seeorkan)
Rollo tu ihn nu mal raus Dei'n Plan!
(Rollo tu ihn nu mal raus Dei'n Plan!)
Boot im Seeorkan
(Boot im Seeorkan)
Hast Du ei'n und wenn wie sieht er aus, Dein Plan
(Hast Du ei'n und wenn wie sieht er aus, Dein Plan)
Boot im Seeorkan
(Boot im Seeorkan)
Hast Du ei'n und wenn wie sieht er aus, Dein Plan",https://genius.com/Torfrock-boot-im-sturmgebraus-lyrics,"Released September 30, 2001
Writers

    
      Klaus Büchner & Raymond Voß"
Torfrock,Sauwetter-Kackhimmel-Blues,Einigkeit und blech und freizeit,"Ich bin nich' hässlich
Bin auch nich' einsam
Ich bin ein Mensch wie ich oder du
Aber auch ich bin
Gar nich' gefeit vor
Dem Sauwetter-Kackhimmel-Blues
Ich seh' nur öde, blöde Probleme
Hab ich den Sauwetter-Kackhimmel-Blues?

Ich steh' am Fenster
Pfeif' mein Lied in die Sonne
Alles ist easy, cool, alles klar
Da kommt eine Wolke
Und gibt mir die Keule
Und wieder is' Dunkeltuten angesacht
Ich seh' nur öde, blöde Probleme
Hab ich den Sauwetter-Kackhimmel-Blues?

Und der November
Mann, geht der auf'n Sender
Alles is' kahl und ein schmuddeliges Mus
Positiv denken, kann ich mir denn schenken
Denn hab ich den Sauwetter-Kackhimmel-Blues
Ich seh' nur öde, blöde Probleme
Hab ich den Sauwetter-Kackhimmel-Blues?
Hab ich den Sauwetter-Kackhimmel-Blues

(Oh, haua haua hei yeah
Frusti frusti frusti fippi frusti)",https://genius.com/Torfrock-sauwetter-kackhimmel-blues-lyrics,"Released September 30, 2001
Writers

    
      Klaus Büchner & Raymond Voß"
Torfrock,Finger Wech,Einigkeit und blech und freizeit,"Schön wilde Hohnidylle
Am Hafenbecken an der See
Wir leben hier eben
Je nach Bock und je nach Portemonnaie

Das wär noch'n büsschen geiler hier
Wurde bloß nicht dieser Krösus auf die Landschaft gier'n
Dieser Hohle hat Kohle
Damit schmiert er sich 'ne freie Bahn
Aber wir ham' dafur keine Muffe ihn an Kahn zu fahr'n
Lass ihn ruhich zum Planier'n probier'n
Wir saufen erstma' n' Flasch' Bier
Dann fang' wir an zu sabotier'n

Finger wech von Schaufel, Bagger, Macker!
Finger wech!
Hände vom Gelände!
Finger wech von Schaufel, Bagger, Macker!
Finger wech!
Nu' ma' aber alle anne Front
Ich glaub der Schaufelbaggermacker kommt!

Wir bleiben da eigen
Wenn man uns nicht uns're Bude laesst
Wer'n wir sauer, denn schlauer
Und wir sind nich' mehr charakterfest!
Nun lässt du uns partout nich' mehr in Ruh'
Ooh, dann wird das kriminell
Beinah so kriminell wir du!

Finger wech von Schaufel, Bagger, Macker!
Finger wech!
Hände vom Gelände!
Finger wech von Schaufel, Bagger, Macker!
Finger wech!
Nu' ma' aber alle anne Front
Ich glaub der Schaufelbaggermacker kommt!

Finger wech von Schaufel, Bagger, Macker!
Finger wech!
Hände vom Gelände!
Finger wech von Schaufel, Bagger, Macker!
Finger wech!
Nu' ma' aber alle anne Front
Ich glaub der Schaufelbaggermacker kommt!",https://genius.com/Torfrock-finger-wech-lyrics,"Released September 30, 2001
Writers

    
      Klaus Büchner & Raymond Voß"
Torfrock,Trunkenbold,Einigkeit und blech und freizeit,"Montag komm ich spät nach Haus mit Glühwein in Gehirn
Da hängt ein Mantel bei mir im Flur wo meiner hingehört
Ich sach zu meiner Frau du Frau du ich bin ganz verstört
Was soll denn bitte der Mantel da wo meiner hingehört

Oh du Trunken- Trunken- Trunkenbold wann hast du das geblickt
Man das ist doch die Rheumadecke hat Mutter mir gestrickt
Ich bin schon reichlich rumgekommen von Hamburg bis nach Bremen
Doch Rheumadecken mit Lederkragen hab ich nie gesehn

Dienstag komm ich spät nach Haus mit Glühwein in Gehirn
Da liegt ne Taschenuhr aufm Tisch wo meine hingehört
Ich sach zu meiner Frau du Frau du ich bin ganz verstört
Was soll denn bitte die Taschenuhr wo meine hingehört

Oh du Trunken- Trunken- Trunkenbold wann hast du das geblickt
Man das ist doch n Feuerzeug hat Mutter mir geschickt
Ich bin schon reichlich rumgekommen von Hamburg bis nach Bremen
Doch Feuerzeuge die TickTack machen hab ich nie gesehn

Mittwoch komm ich spät nach Haus mit Glühwein in Gehirn
Da liegt ne Pfeife aufm Schrank wo meine hingehört
Ich sach zu meiner Frau du Frau du ich bin ganz verstört
Was soll den bitte die Pfeife da wo meine hingehört

Oh du Trunken- Trunken- Trunkenbold wann hast du das geblickt
Man das ist doch ne Flöte hat Mutter mir geschickt
Ich bin schon reichlich rumgekommen von Hamburg bis nach Bremen
Doch Qualm der aus einer Flöte kommt hab ich nie gesehn

Donnerstag komm ich nach Haus mit Glühwein in Gehirn
Da stehn zwei Stiefel vor meinem Bett wo meine hingehörn
Ich sach zu meiner Frau du Frau du ich bin ganz verstört
Was solln denn bitte die Stiefel da wo meine hingehörn

Oh du Trunken- Trunken- Trunkenbold wann hast du das geblickt
Das sind Flaschen mit Brombeersaft hat Mutter mir geschickt
Ich bin schon reichlich rumgekommen von Hamburg bis nach Bremen
Doch Brombeerflaschen mit Ledersohle hab ich nie gesehn

Freitag komm ich spät nach Haus mit Glühwein in Gehirn
Und auf dem Kissen da liegt ein Kopf wo meiner hingehört
Ich sach zu meiner Frau du Frau du ich bin ganz verstört
Was soll denn der Kopf da aufm Kissen wo meiner hingehört

Oh du Trunken- Trunken- Trunkenbold wann hast du das geblickt
Man das ist doch die Babypuppe hat Mutter mir geschickt
Ich bin schon reichlich rumgekommen von Hamburg bis nach Bremen
Doch Puppen die ausm Fenster klettern hab ich nie gesehn",https://genius.com/Torfrock-trunkenbold-lyrics,"Released September 30, 2001
Writers

    
      Klaus Büchner & Raymond Voß"
Torfrock,Schnee von Gestern,Einigkeit und blech und freizeit,"Ich verließ für die See
Vadder und Mudder und fuffzehn Schwestern
Das war nich ganz okay, aber nu is das Schnee von gestern
Ich war ein Seevagabund
Ein durstiger salziger Hund
Mit dreizahneinhalb lief ich fort
Und heuerte an an Bord
Einer rostigen schietigen Schute
Mit Kohle nach Kiel ging die Route

Refrain:
Ich verließ für die See
Vadder und Mudder und fuffzehn Schwestern
Das war nich ganz okay, aber nu is das Schnee von gestern

Auf mich flogen Fraun wie die Fliegen
Doch ich war nich so einfach zu kriegn
Ich liebte ma diese am jene
Besonders die schwarze Marlene
Genauso die gelbe Mei Lin
Und n' Rum oder lieber n' Gin

Refrain:
Ich verließ für die See
Vadder und Mudder und fuffzehn Schwestern
Das war nich ganz okay, aber nu is das Schnee von gestern

Auf Sylt oder auf den Hybridn
Überall war es immer verschieden
Doch in jedn Hafen der Welt
Hab ich mir n' Schnapps bestellt
Wie gerne würd ich noch mal hin
Auf'n Rum oder lieber n' Gin

Refrain:
Ich verließ für die See
Vadder und Mudder und fuffzehn Schwestern
Das war nich ganz okay, aber nu is das Schnee von gestern",https://genius.com/Torfrock-schnee-von-gestern-lyrics,"Released September 30, 2001
Writers

    
      Klaus Büchner & Raymond Voß"
Torfrock,Torfmoorholm geht penn,Einigkeit und blech und freizeit,"Wenn am Abend leise der Matsch blubbert
Und sich die Wildsau noch einmal am Baume schubbert
Senkt sich Ruhe über das Moor

Noch ein leises, keckes Vogelpiepsen
Die Drossel sagt zu ihrem Liebsten
""noch ein und wir haun uns aufs Ohr""

Und Torfmoorholm. das wir alle kenn geht penn

Mtf",https://genius.com/Torfrock-torfmoorholm-geht-penn-lyrics,"Released September 30, 2001
Writers

    
      Klaus Büchner & Raymond Voß"
Torfrock,Rollo der Wikinger,Einigkeit und blech und freizeit,"Neulich in Haithabu
Saßen wir beim Met
Und überlegten, daß das so nicht weitergeht
Unser Häupling Rollo, ""Rote Locke"" genannt
Warf wütend seinen Becher Met an die Wand
""Der Sauladen hier ist mir zu ruhig, hier zieh'n wir bloß noch Frauen durch!
Passt auf wir schmier'n uns paar Broote
Und torkeln in die Boote!""

Denn sind wir auf See und sing'n das
Lied von die Wikingers

Schlag und schlag und

Wir saufen den Met
Bis keiner mehr steht
Unser Häupling heißt Rote Locke
Wir verbrauchen viel Frau'n
Und tun Leute beklau'n
Und hau'n uns reichlich auf die Glocke
Wir verbrauchen viel Frau'n
Und tun Leute beklau'n
Und haun uns reichlich auf die Glocke

""Volldampf voraus!"", brüllte Rollos Bruder
""Geht klar min Jung, wo sind hier die Ruder?""
Mensch war die Strömung stark
Uns zitterten die Beine
""Kein Wunder"", meinte Rollo, ""wir sind noch an'ne Leine.""
""Hey ein Wal!"", das Boot fing an zu beben
Heinrich der Starke muss sich wieder übergeben

Nun sind wir auf See und sing'n das
Lied von die Wikingers

Schlag und schlag und

Wir saufen den Met
Bis keiner mehr steht
Unser Häupling heißt Rote Locke
Wir verbrauchen viel Frau'n
Und tun Leute beklau'n
Und hau'n uns reichlich auf die Glocke
Wir verbrauchen viel Frau'n
Und tun Leute beklau'n
Und haun uns reichlich auf die Glocke

Vor Helgoland taten wir uns im Kreise dreh'n
Es taten nämlich wilde Winde wehn
Aus Haithabu, flach über die Wogen
Kam uns 'ne Brieftaube zugeflogen
In die Nachricht, wat'n Glück auch, stand:
""Die Winde haben sich abgewand!""
Vor England schrien wir wie besessen:
""Umdreh'n! Wir ham den Met vergessen!!!""

Wir sind hier auf See und sing'n das
Lied von die Wikingers

Schlag und schlag und

Wir saufen den Met
Bis keiner mehr steht
Unser Häupling heißt Rote Locke
Wir verbrauchen viel Frau'n
Und tun Leute beklau'n
Und hau'n uns reichlich auf die Glocke
Wir verbrauchen viel Frau'n
Und tun Leute beklau'n
Und haun uns reichlich auf die Glocke

Wir saufen den Met
Bis keiner mehr steht
Unser Häupling heißt Rote Locke
Wir verbrauchen viel Frau'n
Und tun Leute beklau'n
Und hau'n uns reichlich auf die Glocke
Wir verbrauchen viel Frau'n
Und tun Leute beklau'n
Und haun uns reichlich auf die Glocke",https://genius.com/Torfrock-rollo-der-wikinger-lyrics,"Released September 30, 2001
Writers

    
      Klaus Büchner & Raymond Voß"
Torfrock,Karola Petersen,Einigkeit und blech und freizeit,"Oh Karola, siet letzte Woch´ is dat um me gescheh´n
Ick heb´ di inne Köök Krabbenpulen seh´n

Ick köm´ mit mien Trekker wohl wedder no Noordstrand
Und verkoop Hans Petersen drei Tünn Sand
He secht: Kümm doch noch mit, uff´n Kööm imme Köök
Do weers´ du, un he secht to me: ""Wat kiekst du so blöd?
Was gierst du sie so an, mook bloss keene Dingers""
Und ich kiek ganz hin und wech auf diene flinken Fingers
Oh Karola, siet letzte Woch´ is dat um me gescheh´n
Ick heb´ di inne Köök Krabbenpulen seh´n

Von Logarithmus-Tafelns hes du noch nie wat hört
Die Enzyclia het di noch nie interssiert
Dafür is dien rund´n Po viel zu knackich
Und söbenhunnert Krabben inne Stünd mookst du nackich
Dien söten Poten sind so flink und fien
Bi di will ick ook ganz gern mol Krabbe sien!

Oh Karola, siet letzte Woch´ is dat um me gescheh´n
Ick heb´ di inne Köök Krabbenpulen seh´n

Nu kiek ick me dat all n knappe Woch´ an
Und hebb me överlecht: Ick bin keen Krabbe sonnern ´n Mann!
Dien´ Dingers bring´ me uter Rand und Band
Ick ha´se ook ganz gern mol inne Hand
Dien Hans is morgen to´n Glück nich doa
Un´ dann puhlt we mal tosoom as ´n verleevtet Poar. (is
Scha kloar)

Oh Karola, siet letzte Woch´ is dat um me gescheh´n
Ick heb´ di inne Köök Krabbenpulen seh´n

Krabbenpulen seh´n, Krabbenpulen seh´n, Krabbenpulen seh´n
Krabbn Krabbn Krabbn Krabbn Krabbn Krabbn Krabbn Krabbn
Krabbn
Ick heb´ di inne Köök Krabbenpulen seh´n",https://genius.com/Torfrock-karola-petersen-lyrics,"Released September 30, 2001
Writers

    
      Klaus Büchner & Raymond Voß"
Torfrock,Die Sonntagsjäger,Einigkeit und blech und freizeit,"Hallahali-Hallahahi-Hallahalijushasasahusali
Hallahali-Hallahali
Hallahalijushasasaa

Hojo

Ich hab ein Sonntagsjäger Touristenwald
Da ist jeder der mir genug bezahlt
Ein Wochenend-Oldschetterhemd
Und ich fahr meine Kunden mit´nem Sammelbuss rein
Und denn beschleichen wir das wilde Schwein
Horido-hoho

Wenn am Sonntg,das Horn erschallt
Weiss hir bei uns jeder
Die Sonntagsjäger
Fahrn in den Touristenwald

Und sing:
Schumbadibummbumm
Schumbadibummbumm
Schumbadibummbumm-wir ballern hier rum
Horido
Schumbadibummbumm
Schumbadibummbumm
Schumbadibummbumm-wir ballern hier rum
Horido

Der Eber spitzelt,wir schleichen uns näher
Da hebt jeder Jäger sein Schießgewehr
Der Pullverdampf verhüllt den Heldenkampf
Nur letzte Woche fiel das Schießen aus
Bei mein Eber guckte schon die Holzwolle raus
Horido-hoho

Wenn am Sonntag, das Horn erscheint
Weiß hier bei uns jeder
Die Sonntagsjäger
Fahrn in den Touristen Wald

Und sing:
Schumbadibummbumm
Schumbadibummbumm
Schumbadibummbumm - wir ballern hier rum
Horido
Schumbadibummbumm
Schumbadibummbumm
Schumbadibummbumm - wir ballern hier rum
Horido

Horido macht Jäger froh

Nuä stürzen sich alle in das Abenteuer
Und geben reichlich Dauerfeuer
Bei die ganzen Alten, wird das Gewehr gehalten
Und ich sag""Meine Herrn immer ran nur Mut
Ich pass schon auf das euch das Tier nichts tut""
Horido-hoho

Wenn am Sonntag das Horn erscheint
Weiß hier bei uns jeder
Die Sonntagsjäger
Fahr'n in den Touristenwald

Und sing:
Schumbadibummbumm
Schumbadibummbumm
Schumbadibummbumm-wir baller hir rum
Horido
Schumbadibummbumm
Schumbadibummbumm
Schumbadibummbumm-wir baller hir rum
Horido
Schumbadibummbumm
Schumbadibummbumm
Schumbadibummbumm-wir baller hir rum
Horido
Schumbadibummbumm
Schumbadibummbumm
Schumbadibummbumm-wir baller hir rum
Horido

Danke",https://genius.com/Torfrock-die-sonntagsjager-lyrics,"Released September 30, 2001
Writers

    
      Klaus Büchner & Raymond Voß"
