"","artist","title","album","text","url","metadata"
"1","Udo Lindenberg","Stars die niemals untergehen","Atlantic affairs","[Strophe:]
Jetzt bist du weg zu fremden ufern
Du kannst doch nicht so einfach gehen
Bist auf der reise zu den inseln
Die auf keiner karte stehen
Irgendwo im pazifik
So unvorstellbar weit
Mit deinem kleinen koffer
Unterwegs in richtung ewigkeit
Ich will dich oft anrufen
Und greif zum telefon
Ich wähl die alte nummer
Ich weiß, du gehst nicht ran
Doch wer begreift das schon
Straßen ohne namen
Und häuser, die nicht mehr stehen
Jetzt wohnst du draußen bei den sternen
Stars die niemals untergehen","https://genius.com/Udo-lindenberg-stars-die-niemals-untergehen-lyrics","Released May 27, 2002
Featuring

    
      Die Prinzen, Ellen ten Damme, Helge Schneider & 2 more
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Hanns Eisler & 3 more"
"2","Udo Lindenberg","Bin nur ein Johnny","Atlantic affairs","Bin nur ein Jonny
Und mach jetzt den langen Schuh
Das müßt ihr verstehen
Der wilde Wind hat keine Wahl
Er muß doch weiter wehen
Muß immer weiter wehen

Bin nur ein Jonny
Zieh um die Welt
Tanze für Money
Singe für Geld
Heimat wann werd ich dich wieder sehen

Egal ob in New York
Oder Shanghai
Oder Bad Salzufflen
Immer gut dabei
Heimat dich werd ich nie wieder sehen

Bin nur ein Jonny
Und mach den langen Schuh
Ihr müßt das verstehen
Der Wind hat keine Wahl
Muß doch weiter wehen
Immer weiter wehen

Bin nur ein Jonny
Zieh um die Welt
Tanze für Money
Singe für Geld
Heimat wann werd ich dich wieder sehen

Wahrscheinlich nie
Und jetzt kommt Helge Schneider
[Saxophonsolo]

Bin nur ein Jonny
Zieh um die Welt
Tanze für Money
Singe für Geld
Heimat wann werd ich dich wieder sehen

Egal ob in New York
Oder Shanghai
Oder Bad Salzufflen
Immer gut dabei
Heimat ich werd dich nie wieder sehen

Meine Füße müssen weiter
Doch mein Herz bleibt hier
Ganz nah bei dir
Daß ich ein lausiger Windhund bin
Da kann ich nichts dafür
Ich kann doch nichts dafür

Bin nur ein Jonny
Zieh um die Welt
Tanze für Money
Singe für Geld
Heimat wann werd ich dich wieder sehen
Wahrscheinlich nie

Bin nur ein Jonny
Zieh um die Welt
Tanze für Money
Singe für Geld
Heimat wann werd ich dich wieder sehen","https://genius.com/Udo-lindenberg-bin-nur-ein-johnny-lyrics","Released May 27, 2002
Featuring

    
      Die Prinzen, Ellen ten Damme, Helge Schneider & 2 more
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Hanns Eisler & 3 more"
"3","Udo Lindenberg","Ich hab noch einen Koffer in Berlin","Atlantic affairs","[Pre-Chorus:]
Ich hab noch einen koffer in berlin
Deswegen muss ich nächstens wieder hin
Die seligkeiten vergangener zeiten
Sind alle noch in meinem koffer drin

[Chorus:]
Ich hab noch einen koffer in berlin
Der bleibt auch dort und das hat seinen sinn
Auf diese weise lohnt sich die reise
Denn, wenn ich sehnsucht hab, dann fahr ich wieder hin

[Strophe I:]
Wunderschön ist's in paris auf der rue madelaine
Schön ist es, im mai in rom durch die stadt zu gehen
Oder eine sommernacht still beim wein in wien
Doch ich denk, wenn ihr auch lacht, heut' noch an berlin

[Pre-Chorus]

[Chorus]

[Strophe II:]
Lunapark und wellenbad, kleiner bär im zoo
Wannseebad mit wasserrad, tage hell und froh
Werder, wenn die bäume blühn, park von sanssouci
Kinder, schön war doch berlin! Ich vergess' es nie

[Pre-Chorus]

[Chorus]

[Outro:]
Denn ich hab noch einen koffer in berlin","https://genius.com/Udo-lindenberg-ich-hab-noch-einen-koffer-in-berlin-lyrics","Released May 27, 2002
Featuring

    
      Die Prinzen, Ellen ten Damme, Helge Schneider & 2 more
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Hanns Eisler & 3 more"
"4","Udo Lindenberg","My Ship","Atlantic affairs","[Strophe I:]
My ship has sails that are made of silk
The decks are trimmed with gold
And of jam and spice there's a paradise in the hold
My ship's a glow with a million pearls
And rubies fill each bin
The sun sits high in a sapphire sky
When my ship comes in
I can wait the years
Til it appears
One fine day, one spring
But the pearls an such
They won't mean much
If there's missing just one thing
Do not care if that day arrives
That dream need never be

[Chorus:][x2]
If the ship i sing
Doesn't also bring
My own true love to me","https://genius.com/Udo-lindenberg-my-ship-lyrics","Released May 27, 2002
Featuring

    
      Die Prinzen, Ellen ten Damme, Helge Schneider & 2 more
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Hanns Eisler & 3 more"
"5","Udo Lindenberg","Ich bin von Kopf bis Fuss auf Liebe eingestellt","Atlantic affairs","Von Kopf bis Fuß auf Liebe eingestellt
Von Kopf bis Fuß auf Liebe eingestellt

Ich bin von Kopf bis Fuß auf Liebe einegstellt
Ja, das ist meine Welt
Und sonst gar nichts
Was soll ich denn machen?

Das ist nun mal meine Natur
Ich kann halt lieben nur
Und sonst gar nichts
Männer umschwirrn mich
Wie Motten das Licht
Und wenn sie verbrennen
Dafür kann ich nichts

Ich bin von Kopf bis Fuß auf Liebe einegstellt
Ja, das ist meine Welt
Und sonst gar nichts
Und sonst gar nichts

Von Kopf bis Fuß auf Liebe eingestellt
Yeah
Von Kopf bis Fuß auf Liebe eingestellt
Yeah, yeah
Ich bin von Kopf bis Fuß auf Liebe eingestellt
Yeah, yeah, yeah

Das ist meine Welt!
Und sonst gar nichts!
Und sonst gar nichts!
Und sonst gar nichts!

Von Kopf bis Fuß auf Liebe eingestellt
Von Kopf bis Fuß auf Liebe eingestellt
Von Kopf bis Fuß auf Liebe eingestellt
Oh! Oh!

Frauen umschwirrn mich
Wie Motten das Licht
Und wenn sie verbrennen
Dafür kann ich doch nichts

Ich bin von Kopf bis Fuß auf Liebe eingestellt
Ja, das ist meine Welt
Und sonst gar nichts
Das ist meine Welt

Und sonst gar nichts
Und sonst gar nichts
Das ist meine Welt
Und sonst gar nichts

Von Kopf bis Fuß auf Liebe eingestellt
Von Kopf bis Fuß auf Liebe eingestellt
Von Kopf bis Fuß auf Liebe eingestellt
Oh!","https://genius.com/Udo-lindenberg-ich-bin-von-kopf-bis-fuss-auf-liebe-eingestellt-lyrics","Released May 27, 2002
Featuring

    
      Die Prinzen, Ellen ten Damme, Helge Schneider & 2 more
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Hanns Eisler & 3 more"
"6","Udo Lindenberg","Kannst du pfeifen Johanna","Atlantic affairs","[Strophe I:]
Kannst du pfeiffen, johanna?
Gewiß kann ich das!
Pfeiffe weiter, johanna
Denn pfeiffen macht spaß
Du hast so rosarote lippen und die bäckchen sind so rund
Kind was hast denn du für einen wunderschönen mund
Kannst du pfeiffen, johanna?
Gewiß kann ich das!
Kannst du singen, johanna?
Gewiß kann ich das!
Singe weiter, johanna
Denn singen macht spaß
Du hast so purpurrote lippen und die wangen sind so rund
Kind was hast denn du für einen wunderschönen mund
Kannst du singen, johanna?
Gewiß kann ich das!

[Chorus:][x2]
Kannst du gurgeln, johanna?
Gewiß kann ich das!
Gurgel weiter, johanna
Denn gurgeln macht spaß
Du hast so rosarote lippen und die bäckchen sind so rund
Kind was hast denn du für einen wunderschönen mund
Kannst du gurgeln, johanna?
Gewiß kann ich das!","https://genius.com/Udo-lindenberg-kannst-du-pfeifen-johanna-lyrics","Released May 27, 2002
Featuring

    
      Die Prinzen, Ellen ten Damme, Helge Schneider & 2 more
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Hanns Eisler & 3 more"
"7","Udo Lindenberg","Irgendwo auf der Welt","Atlantic affairs","[Chorus:]
Irgendwo auf der welt gibt's ein kleines bisschen glück
Und ich träum davon in jedem augenblick
Irgendwo auf der welt gibt's ein bisschen seligkeit
Und ich träum davon schon lange, lange zeit
Wenn ich wüsst, wo das ist, ging ich in die welt hinein
Denn ich möcht' einmal recht so von herzen glücklich sein
Irgendwo auf der welt fängt mein weg zum himmel an
Irgendwo, irgendwie, irgendwann

[Strophe I:]
Ich hab' so sehnsucht. Ich träum so oft
Einst wird das glück mir nah sein
Ich hab' so sehnsucht. Ich hab' gehofft
Bald wird die stunde nah sein
Tage und nachte wart' ich darauf
Ich geb' die hoffnung niemals auf

[Chorus]","https://genius.com/Udo-lindenberg-irgendwo-auf-der-welt-lyrics","Released May 27, 2002
Featuring

    
      Die Prinzen, Ellen ten Damme, Helge Schneider & 2 more
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Hanns Eisler & 3 more"
"8","Udo Lindenberg","Niemandsland","Atlantic affairs","[Strophe I:]
Wo die Straße im Sand verweht
Da wo kein Schritt mehr weitergeht
Liegt unbekannt
Das Niemandsland
Ganz tief in meinem Herzen drin
Da kam vor dir noch keiner hin
Ganz unberührt
Und unverführt

[Chorus:]
So viele Expeditionen
Die losgezogen sind
Verloren - verschollen
Im Wüstenwind
Vielleicht bist du die erste
Hältst den Schlüssel in der Hand
Geheimnisvoll und unbekannt
Das Niemandsland

[Storphe II:]
Das Undenkbare wird gedacht
Und das Unmögliche wird gemacht
Wie'n erstes Mal
Und wie'n letztes Mal
Wir sind so weit, wir sind so frei
Wir schreiben alle Gesetze neu
Unser Weg
Läßt keine and're Wahl

[Chorus:]

[Outro:]
Doch mit dir würd ich's riskieren
Mit dir durch Minenfelder gehn
Zusammen wird uns nichts passieren
Auch wenn wir manchmal
Ganz nah am Abgrund stehn
Doch mit dir, nur mit dir!
Könnte es gehn","https://genius.com/Udo-lindenberg-niemandsland-lyrics","Released May 27, 2002
Featuring

    
      Die Prinzen, Ellen ten Damme, Helge Schneider & 2 more
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Hanns Eisler & 3 more"
"9","Udo Lindenberg","Ich weiss nicht zu wem ich gehöre","Atlantic affairs","[Pre-Refrain: Ellen Ten Damme]
Ich weiß nicht zu wem ich gehöre
Ich bin doch zu schade für eine allein
Wenn ich jetzt grad dir treue schwöre
Wird wieder 'ne andre ganz unglücklich sein

[Refrain: Ellen Ten Damme]
Ja soll denn so etwas schönes nur einer gefallen
Die sonne, die Sterne gehör'n doch auch allen
Ich weiß nicht zu wem ich gehöre
Ich glaub', ich gehör' nur mir selbst ganz allein

[Pre-Refrain: Udo Lindenberg]
Ich weiß nicht zu wem ich gehöre
Ich bin doch zu schade für eine allein
Wenn ich jetzt grad dir treue schwöre
Wird wieder 'ne andre ganz unglücklich sein

[Refrain: Udo Lindenberg]
Ja soll denn so etwas schönes nur einer gefallen
Die sonne, die Sterne gehör'n doch auch allen
Ich weiß nicht zu wem ich gehöre
Ich glaub', ich gehör' nur mir selbst ganz allein","https://genius.com/Udo-lindenberg-ich-weiss-nicht-zu-wem-ich-gehore-lyrics","Released May 27, 2002
Featuring

    
      Die Prinzen, Ellen ten Damme, Helge Schneider & 2 more
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Hanns Eisler & 3 more"
"10","Udo Lindenberg","Lili Marleen","Atlantic affairs","[Strophe:]
Vor der kaserne, vor dem großen tor
Stand eine laterne, und steht sie noch davor
So wollen wir uns da wieder sehen
Bei der laterne wollen wir stehen
Wie einst lili marleen, wie einst lili marleen
Unsrer beider schatten sahen wie einer aus
Dass wir so lieb uns hatten, das sah man gleich daraus
Alle leute sollen es sehen
Wenn wir bei der laterne stehen
Wie einst lili marleen, wie einst lili marleen
Neue strophe von u.Lindenberg
Und wieder zu den fronten
Ruft das militär
Doch diese mal da geb ich
Meinen mann nicht her
Ich will nicht im laternenschein
Da ewig stehn und traurig sein
Und warten bis sie kommen, und sagen
Er starb den heldentod
Ich will nicht an der laterne stehen
Ich will dem krieg nicht stumm zusehen
Und warten, bis sie kommen
Ohne mich! Lilli marleen!","https://genius.com/Udo-lindenberg-lili-marleen-lyrics","Released May 27, 2002
Featuring

    
      Die Prinzen, Ellen ten Damme, Helge Schneider & 2 more
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Hanns Eisler & 3 more"
