"","artist","title","album","text","url","metadata"
"1","Udo Lindenberg","Jonny Controlletti","Ball pompos","[Verse 1]
Neulich war ich mal wieder in Amerika
Und da traf ich einen Herrn von der Mafia
Er lud mich ein in ein Makkaronirestaurant
Und ich dachte: O.k., gehst mal mit
Vielleicht wird das ganze interessant
Er sagt: Ich heiße Jonny Controlletti, buon giorno, Signor
Ein kurzer Wink und 'ne schwarze Limousine fuhr vor
Und später saßen wir da in der Chicago-Bar
Und nach jedem Glas Chianti
Rief er: Hallo Ober, noch 'ne Ladung
Und zwar avanti, avanti
Und dann packt er sich das Glas, das volle
Und sagt: Alles unter Kontrolle

[Verse 2]
Er hatte 'n Streifenanzug an
Und Gamaschen wie Al Capone
Und die Beule in der Jacke, die kam von der Kanone
Dann wollte er noch wissen
Wie's denn überhaupt so wäre
Mit dem Showbusiness in Deutschland
Und speziell auch mit meiner Karriere
Ich sag': Ich mach' da grad so'n Ding
Mit 'ner höllisch heißen Panik-Band
Und Jonny Controlletti
Übernahm sofort das Management

[Verse 3]
Er sagt: Si, si, Signor
Wir machen das perfekt und schnell
Die Jungs vom Syndikat sind enorm professionell
Und so saßen wir da in der Chicago-Bar
Und er sagt: Alles klar, mein Bester
Ich mach' dich über Nacht zum Superstar
Dich und dein Katastrophen-Orchester
Und dann reicht er mir das Glas, das volle
Und sagt: Alles unter Kontrolle","https://genius.com/Udo-lindenberg-jonny-controlletti-lyrics","Released August 15, 1974
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Friedrich Hollaender, Gottfried Böttger, Karl Allaut & 2 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"2","Udo Lindenberg","Honky Tonky Show","Ball pompos","Wenn die Mütter morgens in der Zeitung lesen
Daß wir kommen, kriegen die 'n Schock
Und sie sagen: O Tochter, geh da bloß nicht hin
Die spielen doch diesen wilden, animalischen Rock

Die Musik, die die machen, ist chaotisch
Nachher findest du das auch noch erotisch
Bitte, geh da nicht hin, tu mir das nicht an
Es gibt doch heute abend auch
'N schönes Fernsehprogramm

Honky-Tonky-Show
Und abends läuft die Honky-Tonky-Show
Die Mutter guckt allеine Krimi oder Quiz
Und die Tochtеr ist da, wo die Action ist
Honky-Tonky-Show
Abends läuft die Honky-Tonky-Show

Wo die Lautsprecher stehn, sind die Mädchen
Weil da die heiße Luft vibriert
Und das finden sie so
Oh, oh, ooh
Sie sind fasziniert, fast hypnotisiert

Im Saal ist es heiß wie in 'ner Sauna
Und es sind auch wieder
So 'n paar ganz scharfe Frau'n da
Die sammeln Autogramme, aber ganz speziell
Die schreiben wir mit'm Lippenstift auf die nackte Haut
Nachts um 3 im Hotel

Honky-Tonky-Show
Und abends läuft die Honky-Tonky-Show
Seit sieben Wochen rollt unsere Show
So 'ne Tournee macht einen reichlich k.o

Der Banddoktor sagt: Das ist ja 'n Marathonlauf
Und er macht seinen Koffer auf
Und er gibt uns die Sachen, die uns kräftig machen
Denn unsere Show will jeder sehn
Und deshalb muß sie weitergehn...","https://genius.com/Udo-lindenberg-honky-tonky-show-lyrics","Released August 15, 1974
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Friedrich Hollaender, Gottfried Böttger, Karl Allaut & 2 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"3","Udo Lindenberg","Leider nur ein Vakuum","Ball pompos","Freitags abends steckt er sich 100 Mark
Und 'ne Zahnbürste ein
Er zieht die schnellen Stiefel an
Das ist ein gutes Gefühl, frei zu sein

Bis Montagmorgen rennt er rum
Zwischendurch kommt er nicht mehr nach Haus
Er sieht sich auf der Szene um
Und nachts probiert er fremde Betten aus

Normalerweise läuft das sehr gut
Doch manchmal gibt es auch 'ne Pleite
Dann wacht еr morgens auf
Und Lady Horror liegt an seinеr Seite

Ihr Make-up ist verschmiert
Die Sonne scheint ihr brutal ins Gesicht
Und daß ihm so was immer noch passiert
Das liegt am Suff und am dunklen Kneipenlicht

Er geht in die Madman-Discothek
Da soll die große Action sein
Da sind zwar jede Menge Leute
Doch er fühlt sich trotzdem sehr allein

Die Musik ist laut, und die Leute sind stumm
Die hängen da rum, und manche gucken sehr dumm
So als hätten sie in ihren schönen Köpfen
Leider nur ein Vakuum","https://genius.com/Udo-lindenberg-leider-nur-ein-vakuum-lyrics","Released August 15, 1974
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Friedrich Hollaender, Gottfried Böttger, Karl Allaut & 2 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"4","Udo Lindenberg","Rudi Ratlos","Ball pompos","Rudi Ratlos heißt der Geiger
Der streicht uns grad 'n Evergreen
Er ist 80, hat zittrige Finger
Und ist schon ganz weich in den Knien

Rudi Ratlos mit viel Pomade
In den wenigen Haaren, die er noch hat
Schade, schade, schade, schade, Berlin '33
Da war er der schönste Geiger der Stadt
Da war er der Liebling aller Frauen
Und außerdem Leibmusikalartist
Von Adolf Hitler und Eva Braun

Rudi Ratlos, heute wieder
Auf den Brettern, die die Welt bedeuten
Er wurde aus dem Altersheim abgeholt
Von diesen cleveren Businessleuten

Der galante Carl Brutal
Tanzt den Schieber jetzt nochmal
Und er schiebt die Lady nett übers glänzende Parkett
Und der Geiger geigt uns einen
Und manche Damen fangen an zu weinen
Und eine ist schon ganz nass
In den Augen und um die Nase blass

Rudi Ratlos geigt den Tango
Auf eine Art, die uns betört
Er ist ein solcher Wahnsinnsmacker
Dass selbst ein falscher Ton uns nicht stört

Und der galante Carl Brutal
Tanzt den Schieber jetzt nochmal
Und er schiebt die Lady nett übers glänzende Parkett
Und der Geiger geigt uns einen
Und manche Damen fangen an zu weinen

Und eine ist schon ganz nass
In den Augen und um die Nase blass
Dieser Rhythmus, dass jeder mit muss
Diese Melodie vergisst man nie
Uh, das geht in jedes Bein
So muss ein Tango sein","https://genius.com/Udo-lindenberg-rudi-ratlos-lyrics","Released August 15, 1974
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Friedrich Hollaender, Gottfried Böttger, Karl Allaut & 2 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"5","Udo Lindenberg","Bitte keine Love Story","Ball pompos","Wenn man, so wie ich, schon mal richtig
Auf die Fresse gefallen ist
Weil ein Mädchen gesagt hat: Alles klar
Und die Sache dann doch ganz anders gelaufen ist
Hat man wenig Mut, es noch mal zu riskieren

Das gleiche Spiel mit 'ner anderen
Noch einmal zu probieren
Man erinnert sich noch an das Magendrehn
Und hat Angst, noch mal so kaputtzugehn

Meine Nerven sind empfindlich
Und mein Blut ist sizilianisch
Jedеsmal, wenn man mich abtournt
Werd' ich völlig panisch

Dann ist mein Zustand sofort katastrophal
Dann rеnn' ich in die nächste Kneipe
Und besaufe mich total
Oder ich werf' die Beruhigungspillen ein
Das müssen allerdings ziemlich viele sein

Und nun kennst du meine Geschichte
Tut mir leid, doch jetzt weisst du Bescheid
Die grosse Love-Story haut mit mire nicht mehr hin
Bitte lassen wir diese Träume
Die haben leider keinen Sinn

Doch du sagst, mit dir wär das alles ganz anders
Alles überhaupt kein Problem
Und nun stehst du vor mir
Und ich weiss nicht, was ich tun soll
Und du sagst, Ey, komm, lass uns gehn","https://genius.com/Udo-lindenberg-bitte-keine-love-story-lyrics","Released August 15, 1974
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Friedrich Hollaender, Gottfried Böttger, Karl Allaut & 2 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"6","Udo Lindenberg","Gerhard Gösebrecht","Ball pompos","Ich fuhr so vor mich hin auf der Autobahn
Da stand ein Typ und winkte, und ich dachte:
Hältst mal an
Doch dann, als ich so allmählich näher kam:
So etwas Komisches, ganz seltsam

Er hatte Drähte an der Nase und Antennen an den Ohren
Ganz grün im Gesicht
Und dann beugt er sich leicht nach vorn
Und er sagt: ...§,/.!?-..;/§%...?, sehr angenehm
Mein Name ist Gerhard Gösebrecht
Aus dem dreizehnten Sonnensystem

Na ja, ich dachte, die machen hier gerade 'n Film
So ’ne Sciеnce Fiction Show
Das sind Dreharbeitеn
Doch dann sah ich da hinten ein gigantisches Ufo
Das sah so beängstigend echt aus

Gar nicht wie 'ne Attrappe
Und Gerhard lächelt und fragt:
Glaubst du denn, wir kommen mit'm
Flugzeug aus Pappe?

Ich dachte: Moment mal, das gibt’s doch nicht
Das krieg' ich in meinen Kopf nicht rein
Doch da stieg Kosmos-Gerhard
Auch schon in mein Auto ein

Er meinte: Pass mal auf
Wir fahren jetzt noch eben zu dir nach Haus
Da packst du alles ein, was du brauchst
Und dann fliegen wir ins Weltall raus

Wir fliegen zu einem fernen Planet
Auf dem's musikalisch nicht mehr weitergeht
Nur noch Robotersounds und Computerklänge
Wir brauchen in unserem Imperium
Dich fürs Musikministerium
Wir haben die Nase vom Kosmosrock voll
Wir wollen jetzt den irdischen Rock 'n' Roll","https://genius.com/Udo-lindenberg-gerhard-gosebrecht-lyrics","Released August 15, 1974
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Friedrich Hollaender, Gottfried Böttger, Karl Allaut & 2 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"7","Udo Lindenberg","Riskante Spiele","Ball pompos","Er war 15 Jahre alt, und er sagt zu seiner Mutter:
Ey, gib mir mal 'n Glas Wasser
Ich muß mal eben 'ne Tablette einnehmen
Die alte Dame meinte: Sehr vernünftig
Du denkst an Deine Gesundheit, mein Sohn

Und dann nahm er sich 'ne AM 1
Und später noch 'ne Speedogon
Uh, das knallte rein, das törnte sehr gut an
Das zog ihm runter bis in die Socken
Und dann sagt er: Olga, alles easy
Jetzt geh ich einen rocken

In der Schule, im Chemiesaal, mixte er sein Teufelszeug
Riskante Spiele, die er spielte
Er schnüffelte Juhu und Klebolin, bis er schielte
Später rauchte er dann Haschisch
Nahm Mescalin und LSD
Und dann fiel er schließlich mit seiner Nase
Auch noch voll in den Schnee!

Ahua, hua, hua

Laß die harten Drogen sein, trink Dir doch mal lieber einen!
Jetzt griff er zur Fuselpulle
Er war interessiert, wie Alkohol funktioniert
Nun stand er jeden Abend an der Theke
Und trank mit Vergnügen viele Flaschen aus
Doch eines Abends nach dem 20. Bier
Da sah er seine erste weiße Maus

Uh, das darf nicht sein, nein, nein, nein
Er macht die Augen zu und hält sich am Tresen fest
Doch da merkt er, zu spät
Er steht mit den Beinen schon mittendrin im Mäusenest

Ahua, hua, hua","https://genius.com/Udo-lindenberg-riskante-spiele-lyrics","Released August 15, 1974
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Friedrich Hollaender, Gottfried Böttger, Karl Allaut & 2 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"8","Udo Lindenberg","Cowboy Rocker","Ball pompos","Charles Bronson:
Hey Baby, steig auf, laß uns beide, du und ich
Laß uns jetzt nach Las Vegas reiten, die Sonne putzen!

Udo:
Der Cowboy-Film ist zu Ende
Im Saal ist es längst schon wieder hell
Doch da hinten sitzt noch ein Junge
Die denken, der schläft
Sie sagen: Hau ab, aber schnell
Das ist hier 'n Kino
Und kein Pennerhotel!

Der Junge wär’ sehr gerne noch in Arizona geblieben
In der Goldgräberstadt Gun City
Oder in Laramy
Er hätte gerne noch weitergeträumt
Vo sich und Charles Bronson
Ja, Charles ist sein Freund

Und nun geht er ganz dicht an den Schaufenstern lang
Und überprüft darin seinen Cowboy-Gang
Dann setzt er sich auf sein Pferd aus Stahl
Und jetzt hört er die Stimme von Charles noch mal:

Ey Mann, fahr zu deiner Rockerclique
Und sag der Alten, die du liebst
Daß du sie jetzt haben willst!

Cowboy-Rocker:
Hey Baby, steig auf
Laß uns nach Las Vegas, die Sonne putzen!

Das Mädchen:
Willst du mich anmachen
Oder was ist hier los, Alter?
Das einzig Starke an dir ist deine Moto Guzzi
Aber sonst bist du ja so ein Fuzzy!

Und der Präsident meint:
Hör mal, Mann
Mach meinen Engel nicht an
Sonst kriegst du dermaßen was in die Schnauze...","https://genius.com/Udo-lindenberg-cowboy-rocker-lyrics","Released August 15, 1974
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Friedrich Hollaender, Gottfried Böttger, Karl Allaut & 2 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"9","Udo Lindenberg","Nostalgie Club","Ball pompos","Im Nostalgie-Club ist heute Jubiläumsprogramm
Ich hab' die Ehre, ich sage die Herrschaften an
Wir haben heute Grethe Weiser am Synthesizer
Und Zarah Leander singt: Kann denn Liebe Sünde sein?

Daß dieser Abend möglich wurde, das freut uns sehr
Denn daß diese Stars zuletzt bei uns waren
Ist schon sooo lange her
Doch jetzt sind sie alle wieder da
Sie kamen gestern nach Berlin
Anhalterbahnhof
Oder manche kamen auch mit 'm Zeppelin

Es ist nur schade
Daß Frau Dietrich nicht abkömmlich war
Sie schickte uns ein Telegramm aus USA
Darin stand: Sorry, sorry, doch ich geb' euch einen Tip
Ich hab' noch einen Enkel in Berlin
Der kann auch 'ne gute Show abziehn!","https://genius.com/Udo-lindenberg-nostalgie-club-lyrics","Released August 15, 1974
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Friedrich Hollaender, Gottfried Böttger, Karl Allaut & 2 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"10","Udo Lindenberg","Ich bin von Kopf bis Fuss auf Liebe eingestellt","Ball pompos","Von Kopf bis Fuß auf Liebe eingestellt
Von Kopf bis Fuß auf Liebe eingestellt

Ich bin von Kopf bis Fuß auf Liebe einegstellt
Ja, das ist meine Welt
Und sonst gar nichts
Was soll ich denn machen?

Das ist nun mal meine Natur
Ich kann halt lieben nur
Und sonst gar nichts
Männer umschwirrn mich
Wie Motten das Licht
Und wenn sie verbrennen
Dafür kann ich nichts

Ich bin von Kopf bis Fuß auf Liebe einegstellt
Ja, das ist meine Welt
Und sonst gar nichts
Und sonst gar nichts

Von Kopf bis Fuß auf Liebe eingestellt
Yeah
Von Kopf bis Fuß auf Liebe eingestellt
Yeah, yeah
Ich bin von Kopf bis Fuß auf Liebe eingestellt
Yeah, yeah, yeah

Das ist meine Welt!
Und sonst gar nichts!
Und sonst gar nichts!
Und sonst gar nichts!

Von Kopf bis Fuß auf Liebe eingestellt
Von Kopf bis Fuß auf Liebe eingestellt
Von Kopf bis Fuß auf Liebe eingestellt
Oh! Oh!

Frauen umschwirrn mich
Wie Motten das Licht
Und wenn sie verbrennen
Dafür kann ich doch nichts

Ich bin von Kopf bis Fuß auf Liebe eingestellt
Ja, das ist meine Welt
Und sonst gar nichts
Das ist meine Welt

Und sonst gar nichts
Und sonst gar nichts
Das ist meine Welt
Und sonst gar nichts

Von Kopf bis Fuß auf Liebe eingestellt
Von Kopf bis Fuß auf Liebe eingestellt
Von Kopf bis Fuß auf Liebe eingestellt
Oh!","https://genius.com/Udo-lindenberg-ich-bin-von-kopf-bis-fuss-auf-liebe-eingestellt-lyrics","Released August 15, 1974
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Friedrich Hollaender, Gottfried Böttger, Karl Allaut & 2 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
