"","artist","title","album","text","url","metadata"
"1","Udo Lindenberg","Cello","Alles klar auf der Andrea Doria","[Strophe 1]
Getrampt oder mit 'm Moped, oder schwarz mit der Bahn
Immer bin ich dir irgendwie hinterher gefahren
Nein, damals hab' ich kein Konzert von dir versäumt
Und Nachts konnte ich nicht schlafen, oder wenn, dann hab' ich von dir geträumt

[Chorus]
Du spieltest Cello in jedem Saal in unserer Gegend
Ich saß immer in der ersten Reihe und fand dich so erregend
Cello - du warst eine Göttin für mich
Und manchmal sahst du mich an
Und ich dachte „Mann! Oh, Mann!“
Und dann war ich wieder völlig fertig

[Strophe 2]
Ja, ich war ständig da und das hat dich dann überzeugt
Wir wollten immer zusammen bleiben
Und überhaupt, das mit dir, das war so groß
Das kann man gar nicht beschreiben
Und heute wohnst in Erfurt
Und dein Cello steht im Keller
Komm, pack das Ding doch nochmal aus
Und spiel so schön wie früher

[Chorus]
Du spieltest Cello in jedem Saal in unserer Gegend
Ich saß immer in der ersten Reihe und fand dich so erregend
Oh Cello - du warst eine Göttin für mich
Und manchmal sahst du mich an
Und ich dachte „Mann! Oh, Mann!“
Und dann war ich wieder völlig fertig","https://genius.com/Udo-lindenberg-cello-lyrics","Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"2","Udo Lindenberg","Hoch im Norden","Daumen im Wind","[Strophe 1]
Hoch im Norden, hinter den Deichen bin ich geboren
Immer nur Wasser, ganz viele Fische
Mövengeschrei und Meeresrauschen in meinen Ohren
Und mein Vater war Schipper, der fluchte wenn Sturm war
Dann konnt` er nicht raus auf See
Dann ging er zu Herrn Hansen, der der Chef vom Leuchtturm war
Und der sagte: keine Panik auf der Titanic
Jetzt trinken wir erst mal einen Rum mit Tee

[Strophe 2]
Und ich verbrachte meine Tage am Nordseedünenstrand
Bin jahrelang tagtäglich am Deich entlang gerannt
Und meine Mutter brachte jeden Tag und freitags ganz besonders
Muschelzeug und Fisch auf den Tisch

[Strophe 3]
Ja es war ja auch ganz schön und das Klima ist gesund
Und doch hab ich mir gedacht:
Hier wirst Du auf die Dauer, nur Schipper oder Bauer
Hier kommt man ganz allmählich auf den Seehund
Und als ich so um 16 war, da hatte ich genug
Da nahm ich den nächstbesten nach Süden fahrenden Zug

[Strophe 4]
Nun sitz ich hier im Süden und so toll ist es hier auch nicht
Und eine viel zu heiße Sonne, knallt mir ins Gesicht
Nein das Gelbe ist es auch nicht
Und ich muß so schrecklich schwitzen
Ach wie gern würde ich mal wieder
Auf einer Nordseedüne sitzen","https://genius.com/Udo-lindenberg-hoch-im-norden-lyrics","Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"3","Udo Lindenberg","Wir wollen doch einfach nur zusammen sein","Alles klar auf der Andrea Doria","Stell dir vor
Du kommst nach Ost-Berlin
Und da triffst du ein ganz heisses Mädchen
So ein ganz heisses Mädchen aus Pankow
Und du findest sie sehr bedeutend
Und sie dich auch

Dann ist es auch schon so weit
Ihr spürt, dass ihr gerne zusammen seid
Und ihr trämt von einem Rock-Festival
Auf dem Alexanderplatz
Mit den Rolling Stones und 'ner Band aus Moskau

Doch plötzlich ist es schon zehn nach elf
Und sie sagt: Ey, du musst ja spätestens um zwölf
Weider drüben sein
Sonst gibt's di<U+0435> grössten Nerver<U+0435>ien
Denn du hast ja nur 'n Tagesschein

Mädchen aus Ost-Berlin
Das war wirklich schwer
Ich musste gehn, obwohl ich so gerne
Noch geblieben wär
Aber Mädchen, ich komme wieder
Und vielleicht geht's auch iregendwann mal
Ohne Nervereien
Da muss doch auf die Dauer was zu machen sein!

Ich hoffe, dass die Jungs
Das nun bald in Ordnung bringen
Den wir wollen doch einfach nur zusammen sein
Vielleicht auch mal etwas länger
Vielleicht auch mal etwas enger
Wir wollen doch einfach nur zusammen sein","https://genius.com/Udo-lindenberg-wir-wollen-doch-einfach-nur-zusammen-sein-lyrics","Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"4","Udo Lindenberg","Du und ich - und dann ganz lange gar nichts","Belcanto","[Verse 1]
Noch ist es dunkel
Die Alster liegt still
Und die Stadt weiß noch nicht
Ob sie wach werden will

[Verse 2]
Wer jetzt noch kein Bett hat
Der braucht keins mehr
Die Sterne sagen Tschüß
Und die Sonne kommt näher

Wo jetzt noch Zweifel sind
Feg sie weg - Morgenwind!

[Verse 3]
Ich steh am Fenster
Und wart´ auf den Tag
Nie war ich so müde
Und gleichzeitig so wach

[Verse 4]
Das ist die eine Minute
Die mir die Welt erklärt
Der eine Moment -
Da läuft nichts mehr verkehrt

[Bridge]
Ich steh am Fenster und denk an dich
Siehst du den gleichen Sonnenaufgang wie ich?

[Chorus]
Du und ich und dann ganz lange gar nichts
Du und ich und dann ganz lange gar nichts
Wie lang kann man blind
Durch´n Nebel wandern
Und sieht nicht den einzigen wirklichen Andern
Du und ich und dann ganz lange gar nichts
Du und ich und dann ganz lange gar nichts
Dann kommt erstmal ´n paar Kilometer
Nichts und Niemand
Alles And´re kommt später

[Verse 5]
Wir haben uns getrennt
Schwer zu versteh´n
Wie kann man die Wahrheit
Einfach so überseh´n?

[Verse 6]
Hab lange gebraucht
Es tut mir leid
Es ist Schade um die
Verlorene Zeit

[Bridge]
Wo jetzt noch Zweifel sind
Weh sie weg - Morgenwind

[Chorus]
Du und ich und dann ganz lange gar nichts
Du und ich und dann ganz lange gar nichts
Wie lang kann man blind
Durch´n Nebel wandern
Und sieht nicht den einzigen wirklichen Andern
Du und ich und dann ganz lange gar nichts
Du und ich und dann ganz lange gar nichts
Dann kommt erstmal ´n paar Kilometer
Nichts und Niemand
Alles And´re kommt später

[Outro]
Du und ich und dann ganz lange gar nichts
Du und ich und dann ganz lange gar nichts
Und ich erzähl dem Morgenwind:
Geil, daß wir wieder zusammen sind...","https://genius.com/Udo-lindenberg-du-und-ich-und-dann-ganz-lange-gar-nichts-lyrics","Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"5","Udo Lindenberg","Bis ans Ende der Welt","Dröhnland Symphonie","Wenn du mich so ansiehst
Fällt mir nichts mehr ein
Wenn du willst, dann nimm mich
Es kann für immer sein
Ich geb' dir alles, was ich bin
Das ist mein Versprechen
Jeder Tag ohne dich ein Verbrechen

Ich liebe hohe Spannung
Und stehe meistens unter Strom
Und die Hochzeit feiern wir
In Panik-Manier im Petersdom
Und meinetwegen 13 Kinder
Alle total verrückt
Oh, Babe, Babe, nimm mich in deine Arme
Oh, Kleine, ich bin absolut verzückt

Nur zu dir fallen mir solche schönen Träume ein
Ich will jede Sekunde nur noch mit dir zusammen sein
Bis ans Ende der Welt, wenn es das gibt
Halt mich fest, mir wird schwindlig
Ich bin so sehr verliebt","https://genius.com/Udo-lindenberg-bis-ans-ende-der-welt-lyrics","Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"6","Udo Lindenberg","Brecht’s Liebeslied","Belcanto","Man muss schon Schnaps getrunken haben
Eh man vor deinem Leibe stand
Sonst schwankt man ob der trunknen Gaben
Von schwachen Knien übermannt

Oh du, wenn im Gesträuche kreisend
Der Wind die Röcke flattern läßt
Und man, das weiche Tuch zerreissend
Die Knie zwischen Deine presst

Den Abendhimmel macht das Saufen
Sehr dunkel, manchmal violett
Dazu dein Leib im H<U+0435>md zum Raufen
In einem br<U+0435>iten weißen Bett

Die Wiese schwankt nicht nur vom Trinken
Wenn man in Deinen Knien liegt
Der dunkle Himmel will versinken
Indem er sanft sich schneller wiegt

Und deine weichen Knie schaukeln
Mein wildes Herz in deine Ruh
Und zwischen Erd und Himmel schaukeln
Wir leichtgeschwellt der Hölle zu","https://genius.com/Udo-lindenberg-brechts-liebeslied-lyrics","Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"7","Udo Lindenberg","Unterm Säufermond","Belcanto","Wieder geht ein Tag zu Ende und die Dämmerung zieht auf
Leise zittern ihm die Hände und der der Säufermond geht auf
Er läuft hin und her im Zimmer
Wie magnetisch fällt sein Blick auf die Mini-Bar wie immer
""Gib mir doch 'n kleines Glück -
Meine Nerven die sind, ach die sind heut' wieder 'n bißchen schwach
Meine Nerven die sind, ach heut' bißchen schwach
Komm, mach mich wieder wach mach mich bitte wieder wach""

Und der Whisky - der zieht runter
Und sein Blut wird schnell und warm
Und jetzt nimmt ihn Lady Whisky ganz zärtlich in den Arm
Gratuliert zu den Geschäften
""Die sind heut' sehr gut gelaufen!
Laß uns beide, Du und ich erstmal richtig einen saufen
Meine Küsse, scharf und naß
Komm' erheb das nachste Glas
Eine Nutte heute Nacht, dies dir für'n paar Scheine macht - die brauchst Du nicht
Wenn Lady Whisky von der Liebe spricht.""

Und die Zimmerdecke hebt sich und die Wände brechen ein
Auf dem Boden leere Flaschen und er ist wieder so allein
Menschen in Hotels sind einsam
Sie sind immer nur zu Gast
Ewige Vertreter, die jeder Kunde hasst

In den Ohren ist ein Sirren
Und im Herzen ist ein Schlag
Alle Fenster hört er klirren
Dieses Zimmer ist ein Sarg ...
Aus dem Fenster zu den Sternen
Nur: die kann er nicht mehr sehen
Und in dunkler Wolkenferne scheint fahl der Säufermond

Ein Mann lag in seinem Zimmer im Hotel Imperial
Mit den Nerven wurd' es schlimmer
Jede Nacht 'ne neue Qual
Dieses Leben ist so arm
Ferngesteuerte Quälerei
Öffne die Flasche Nummer drei...","https://genius.com/Udo-lindenberg-unterm-saufermond-lyrics","Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"8","Udo Lindenberg","Ich schwöre","Belcanto","[Verse 1]
Jetz' war ich wieder 'ne ganze Weile weg
Das heisst nicht: aus den Augen - aus dem Sinn
Unsre Freundschaft hat immer ein Comeback
Es zieht mich immer wieder zu Dir hin

[Verse 2]
Musst nicht denken, dass ich unsern Schwur je breche
Wenn ich die Welt durchcheck - was heißt das schon?
Was meinst Du, wie oft ich mit Dir spreche -
Auch ohne Telefon

[Chorus]
Ich schwöre, ich schwöre
Wenn's drauf ankommt, bin ich da
Ich schwöre, ich schwöre
Die dollsten Dinger machen wir klar
Kommt es einmal hart auf hart
Dann bin ich sofort am Start
Ich schwöre, ich schwöre
Wenn's drauf ankommt, bin ich für Dich da

[Verse 3]
Spiel meine Rollen auf verschied'nen Bühnen
Mal bin ich Penner - mal der Edelmann
Ich verkehr mit Präsidenten und Ganoven
Doch wer kommt schon so richtig an mich ran?

[Verse 4]
Der echte Klartext läuft nur, wenn wir zusammen sind
Kein Larifari und kein lauer Spruch
Da weiß ich wieder, wo ich eigentlich hingehör'
Ich bin so froh, dass ich Dich hab
Idioten gibt's auf dieser Welt genug

[Chorus]
Ich schwöre, ich schwöre
Wenn's drauf ankommt, bin ich da
Ich schwöre, ich schwöre
Die dollsten Dinger machen wir klar
Kommt es einmal hart auf hart
Dann bin ich sofort am Start
Ich schwöre, ich schwöre
Wenn's drauf ankommt, bin ich für Dich da","https://genius.com/Udo-lindenberg-ich-schwore-lyrics","Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"9","Udo Lindenberg","Du lässt dich gehn","Belcanto","Du bist so komisch anzuseh'n
Denkst Du vielleicht das find' ich schön?
Wenn Du mich gar nicht mehr verstehst
Mir nur noch auf die Nerven gehst

Ich trinke schon die halbe Nacht
Und hab' mir endlich klar gemacht
Ich muss es Dir jetzt mal gesteh'n:
Ich kann Dich einfach nicht mehr seh'n!

Mit Deiner schlampigen Figur
Gehst Du mir gegen die Natur
Du läufst im Bademantel 'rum
Ziehst Dich für mich auch nicht mehr um

Dein Haar, da baumeln kreuz und quer
Die Lockenwickler hin und h<U+0435>r
Kein Deodorant, auch wenn Du schwitzt
D<U+0435>n ganzen Tag vor'm Fernseher sitzt

Ich kann Hans Meiser nicht mehr seh'n, Ilona Christen außerdem
Es ist zum Heulen, ganz extrem
Du lässt Dich geh'n
Du lässt Dich geh'n

Denk an die schöne Zeit zurück
Die Liebe auf den ersten Blick
Du lässt Dich geh'n
Du lässt Dich geh'n

Ey, weißt Du noch wie es begann?
Die ganze Welt. sie hielt den Atem an
Du lässt Dich geh'n
Du lässt Dich geh'n

Ich möcht's mal wieder mit Dir tun
Bist Du denn völlig sex-immun?
Einmal im Monat oder so
Wo ist sie hin, die Libido?

Sag mir doch dass Du mich noch liebst
Wenn Du Dir etwas Mühe gibst
Mit einem kleinen Lächeln nur
Und tu' auch was für die Figur

Muss ja kein Bodybuilding sein
Es reicht der Damenturnverein
Denk an die schöne Zeit zurück
Die Liebe auf den ersten Blick

Ich nahm die Sonnenbrille ab
Ich brach zusammen, total schlapp
Als ich dann wieder zu mir kam
Und Dich in meine Arme nahm

Das war so schön, war das nicht schön?
Du lässt Dich geh'n, lass Dich nicht geh'!

Du lässt Dich geh'n
Du lässt Dich geh'n
Denk an die schöne Zeit zurück
Die Liebe auf den ersten Blick

Du lässt Dich geh'n
Du lässt Dich geh'n
Ey, weißt Du noch wie es begann?
Die ganze Welt. sie hielt den Atem an

Du lässt Dich geh'n
Du lässt Dich geh'n
Du lässt Dich geh'n
Du lässt Dich geh'n","https://genius.com/Udo-lindenberg-du-lasst-dich-gehn-lyrics","Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"10","Udo Lindenberg","Ich lieb’ dich überhaupt nicht mehr","Feuerland","[Songtext zu „Ich lieb' dich überhaupt nicht mehr“]

[Strophe 1]
Es tut nicht mehr weh
Endlich nicht mehr weh
Wenn ich dich zufällig mal wiederseh'
Es ist mit egal
Sowas von egal
Und mein Puls geht ganz normal
Musst nicht glauben
Dass ich ohne dich nicht klarkomm'
Ich komm' sehr gut zurecht
Kannst ruhig glauben: all die ander'n Frauen
Die sind auch nicht schlecht

[Refrain 1]
Ich lieb' dich überhaupt nicht mehr
Das ist aus
Vorbei und lange her
Endlich geht's mir wieder gut
Und ich hab' jede menge Mut
Und ich steh' da richtig drüber

[Strophe 2]
Den Fernseher, den ich eingetreten hab'
Den hat die Versicherung voll bezahlt
Die Wohnung sieht jetzt anders aus
Nichts erinnert mehr an dich
Ich hab' alles knallbunt angemalt
Wenn ich manchmal nachts nicht schlafen kann
Geh' ich in die Kneipe und sauf' mir einen an
Du sagst, da wär' 'ne Trauer in meinem Gesicht
Was für'n Quatsch, das ist doch nur das Kneipenlicht

[Refrain 1]
Ich lieb' dich überhaupt nicht mehr
Das ist aus
Vorbei und lange her
Endlich geht's mir wieder gut
Und ich hab' jede menge Mut
Und ich steh' da richtig drüber

[Refrain 2]
Ich lieb' dich überhaupt nicht mehr
Das ist aus
Vorbei und lange her
Guck mich bitte nicht mehr so an
Fass mich bitte nicht mehr so an
Das zieht bei mir nicht mehr
Geh doch einfach weiter
Es hat keinen Zweck
Ey, du weißt doch
Sonst komm' ich da niemals drüber weg
Ich komm' da niemals drüber weg
Geh doch einfach weiter","https://genius.com/Udo-lindenberg-ich-lieb-dich-uberhaupt-nicht-mehr-lyrics","Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
