"";"artist";"title";"album";"text";"url";"metadata"
"1";"Udo Lindenberg";"Cello";"Alles klar auf der Andrea Doria";"[Strophe 1]Getrampt oder mit 'm Moped, oder schwarz mit der BahnImmer bin ich dir irgendwie hinterher gefahrenNein, damals hab' ich kein Konzert von dir versäumtUnd Nachts konnte ich nicht schlafen, oder wenn, dann hab' ich von dir geträumt[Chorus]Du spieltest Cello in jedem Saal in unserer GegendIch saß immer in der ersten Reihe und fand dich so erregendCello - du warst eine Göttin für michUnd manchmal sahst du mich anUnd ich dachte „Mann! Oh, Mann!“Und dann war ich wieder völlig fertig[Strophe 2]Ja, ich war ständig da und das hat dich dann überzeugtWir wollten immer zusammen bleibenUnd überhaupt, das mit dir, das war so großDas kann man gar nicht beschreibenUnd heute wohnst in ErfurtUnd dein Cello steht im KellerKomm, pack das Ding doch nochmal ausUnd spiel so schön wie früher[Chorus]Du spieltest Cello in jedem Saal in unserer GegendIch saß immer in der ersten Reihe und fand dich so erregendOh Cello - du warst eine Göttin für michUnd manchmal sahst du mich anUnd ich dachte „Mann! Oh, Mann!“Und dann war ich wieder völlig fertig";"https://genius.com/Udo-lindenberg-cello-lyrics";"Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"2";"Udo Lindenberg";"Hoch im Norden";"Daumen im Wind";"[Strophe 1]Hoch im Norden, hinter den Deichen bin ich geborenImmer nur Wasser, ganz viele FischeMövengeschrei und Meeresrauschen in meinen OhrenUnd mein Vater war Schipper, der fluchte wenn Sturm warDann konnt` er nicht raus auf SeeDann ging er zu Herrn Hansen, der der Chef vom Leuchtturm warUnd der sagte: keine Panik auf der TitanicJetzt trinken wir erst mal einen Rum mit Tee[Strophe 2]Und ich verbrachte meine Tage am NordseedünenstrandBin jahrelang tagtäglich am Deich entlang geranntUnd meine Mutter brachte jeden Tag und freitags ganz besondersMuschelzeug und Fisch auf den Tisch[Strophe 3]Ja es war ja auch ganz schön und das Klima ist gesundUnd doch hab ich mir gedacht:Hier wirst Du auf die Dauer, nur Schipper oder BauerHier kommt man ganz allmählich auf den SeehundUnd als ich so um 16 war, da hatte ich genugDa nahm ich den nächstbesten nach Süden fahrenden Zug[Strophe 4]Nun sitz ich hier im Süden und so toll ist es hier auch nichtUnd eine viel zu heiße Sonne, knallt mir ins GesichtNein das Gelbe ist es auch nichtUnd ich muß so schrecklich schwitzenAch wie gern würde ich mal wiederAuf einer Nordseedüne sitzen";"https://genius.com/Udo-lindenberg-hoch-im-norden-lyrics";"Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"3";"Udo Lindenberg";"Wir wollen doch einfach nur zusammen sein";"Alles klar auf der Andrea Doria";"Stell dir vorDu kommst nach Ost-BerlinUnd da triffst du ein ganz heisses MädchenSo ein ganz heisses Mädchen aus PankowUnd du findest sie sehr bedeutendUnd sie dich auchDann ist es auch schon so weitIhr spürt, dass ihr gerne zusammen seidUnd ihr trämt von einem Rock-FestivalAuf dem AlexanderplatzMit den Rolling Stones und 'ner Band aus MoskauDoch plötzlich ist es schon zehn nach elfUnd sie sagt: Ey, du musst ja spätestens um zwölfWeider drüben seinSonst gibt's di<U+0435> grössten Nerver<U+0435>ienDenn du hast ja nur 'n TagesscheinMädchen aus Ost-BerlinDas war wirklich schwerIch musste gehn, obwohl ich so gerneNoch geblieben wärAber Mädchen, ich komme wiederUnd vielleicht geht's auch iregendwann malOhne NervereienDa muss doch auf die Dauer was zu machen sein!Ich hoffe, dass die JungsDas nun bald in Ordnung bringenDen wir wollen doch einfach nur zusammen seinVielleicht auch mal etwas längerVielleicht auch mal etwas engerWir wollen doch einfach nur zusammen sein";"https://genius.com/Udo-lindenberg-wir-wollen-doch-einfach-nur-zusammen-sein-lyrics";"Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"4";"Udo Lindenberg";"Du und ich - und dann ganz lange gar nichts";"Belcanto";"[Verse 1]Noch ist es dunkelDie Alster liegt stillUnd die Stadt weiß noch nichtOb sie wach werden will[Verse 2]Wer jetzt noch kein Bett hatDer braucht keins mehrDie Sterne sagen TschüßUnd die Sonne kommt näherWo jetzt noch Zweifel sindFeg sie weg - Morgenwind![Verse 3]Ich steh am FensterUnd wart´ auf den TagNie war ich so müdeUnd gleichzeitig so wach[Verse 4]Das ist die eine MinuteDie mir die Welt erklärtDer eine Moment -Da läuft nichts mehr verkehrt[Bridge]Ich steh am Fenster und denk an dichSiehst du den gleichen Sonnenaufgang wie ich?[Chorus]Du und ich und dann ganz lange gar nichtsDu und ich und dann ganz lange gar nichtsWie lang kann man blindDurch´n Nebel wandernUnd sieht nicht den einzigen wirklichen AndernDu und ich und dann ganz lange gar nichtsDu und ich und dann ganz lange gar nichtsDann kommt erstmal ´n paar KilometerNichts und NiemandAlles And´re kommt später[Verse 5]Wir haben uns getrenntSchwer zu versteh´nWie kann man die WahrheitEinfach so überseh´n?
[Verse 6]Hab lange gebrauchtEs tut mir leidEs ist Schade um dieVerlorene Zeit[Bridge]Wo jetzt noch Zweifel sindWeh sie weg - Morgenwind[Chorus]Du und ich und dann ganz lange gar nichtsDu und ich und dann ganz lange gar nichtsWie lang kann man blindDurch´n Nebel wandernUnd sieht nicht den einzigen wirklichen AndernDu und ich und dann ganz lange gar nichtsDu und ich und dann ganz lange gar nichtsDann kommt erstmal ´n paar KilometerNichts und NiemandAlles And´re kommt später[Outro]Du und ich und dann ganz lange gar nichtsDu und ich und dann ganz lange gar nichtsUnd ich erzähl dem Morgenwind:Geil, daß wir wieder zusammen sind...";"https://genius.com/Udo-lindenberg-du-und-ich-und-dann-ganz-lange-gar-nichts-lyrics";"Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"5";"Udo Lindenberg";"Bis ans Ende der Welt";"Dröhnland Symphonie";"Wenn du mich so ansiehstFällt mir nichts mehr einWenn du willst, dann nimm michEs kann für immer seinIch geb' dir alles, was ich binDas ist mein VersprechenJeder Tag ohne dich ein VerbrechenIch liebe hohe SpannungUnd stehe meistens unter StromUnd die Hochzeit feiern wirIn Panik-Manier im PetersdomUnd meinetwegen 13 KinderAlle total verrücktOh, Babe, Babe, nimm mich in deine ArmeOh, Kleine, ich bin absolut verzücktNur zu dir fallen mir solche schönen Träume einIch will jede Sekunde nur noch mit dir zusammen seinBis ans Ende der Welt, wenn es das gibtHalt mich fest, mir wird schwindligIch bin so sehr verliebt";"https://genius.com/Udo-lindenberg-bis-ans-ende-der-welt-lyrics";"Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"6";"Udo Lindenberg";"Brecht’s Liebeslied";"Belcanto";"Man muss schon Schnaps getrunken habenEh man vor deinem Leibe standSonst schwankt man ob der trunknen GabenVon schwachen Knien übermanntOh du, wenn im Gesträuche kreisendDer Wind die Röcke flattern läßtUnd man, das weiche Tuch zerreissendDie Knie zwischen Deine presstDen Abendhimmel macht das SaufenSehr dunkel, manchmal violettDazu dein Leib im H<U+0435>md zum RaufenIn einem br<U+0435>iten weißen BettDie Wiese schwankt nicht nur vom TrinkenWenn man in Deinen Knien liegtDer dunkle Himmel will versinkenIndem er sanft sich schneller wiegtUnd deine weichen Knie schaukelnMein wildes Herz in deine RuhUnd zwischen Erd und Himmel schaukelnWir leichtgeschwellt der Hölle zu";"https://genius.com/Udo-lindenberg-brechts-liebeslied-lyrics";"Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"7";"Udo Lindenberg";"Unterm Säufermond";"Belcanto";"Wieder geht ein Tag zu Ende und die Dämmerung zieht aufLeise zittern ihm die Hände und der der Säufermond geht aufEr läuft hin und her im ZimmerWie magnetisch fällt sein Blick auf die Mini-Bar wie immer""Gib mir doch 'n kleines Glück -Meine Nerven die sind, ach die sind heut' wieder 'n bißchen schwachMeine Nerven die sind, ach heut' bißchen schwachKomm, mach mich wieder wach mach mich bitte wieder wach""Und der Whisky - der zieht runterUnd sein Blut wird schnell und warmUnd jetzt nimmt ihn Lady Whisky ganz zärtlich in den ArmGratuliert zu den Geschäften""Die sind heut' sehr gut gelaufen!Laß uns beide, Du und ich erstmal richtig einen saufenMeine Küsse, scharf und naßKomm' erheb das nachste GlasEine Nutte heute Nacht, dies dir für'n paar Scheine macht - die brauchst Du nichtWenn Lady Whisky von der Liebe spricht.""Und die Zimmerdecke hebt sich und die Wände brechen einAuf dem Boden leere Flaschen und er ist wieder so alleinMenschen in Hotels sind einsamSie sind immer nur zu GastEwige Vertreter, die jeder Kunde hasstIn den Ohren ist ein SirrenUnd im Herzen ist ein SchlagAlle Fenster hört er klirrenDieses Zimmer ist ein Sarg ...Aus dem Fenster zu den SternenNur: die kann er nicht mehr sehenUnd in dunkler Wolkenferne scheint fahl der SäufermondEin Mann lag in seinem Zimmer im Hotel ImperialMit den Nerven wurd' es schlimmerJede Nacht 'ne neue QualDieses Leben ist so armFerngesteuerte QuälereiÖffne die Flasche Nummer drei...";"https://genius.com/Udo-lindenberg-unterm-saufermond-lyrics";"Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"8";"Udo Lindenberg";"Ich schwöre";"Belcanto";"[Verse 1]Jetz' war ich wieder 'ne ganze Weile wegDas heisst nicht: aus den Augen - aus dem SinnUnsre Freundschaft hat immer ein ComebackEs zieht mich immer wieder zu Dir hin[Verse 2]Musst nicht denken, dass ich unsern Schwur je brecheWenn ich die Welt durchcheck - was heißt das schon?Was meinst Du, wie oft ich mit Dir spreche -Auch ohne Telefon[Chorus]Ich schwöre, ich schwöreWenn's drauf ankommt, bin ich daIch schwöre, ich schwöreDie dollsten Dinger machen wir klarKommt es einmal hart auf hartDann bin ich sofort am StartIch schwöre, ich schwöreWenn's drauf ankommt, bin ich für Dich da[Verse 3]Spiel meine Rollen auf verschied'nen BühnenMal bin ich Penner - mal der EdelmannIch verkehr mit Präsidenten und GanovenDoch wer kommt schon so richtig an mich ran?[Verse 4]Der echte Klartext läuft nur, wenn wir zusammen sindKein Larifari und kein lauer SpruchDa weiß ich wieder, wo ich eigentlich hingehör'Ich bin so froh, dass ich Dich habIdioten gibt's auf dieser Welt genug[Chorus]Ich schwöre, ich schwöreWenn's drauf ankommt, bin ich daIch schwöre, ich schwöreDie dollsten Dinger machen wir klarKommt es einmal hart auf hartDann bin ich sofort am StartIch schwöre, ich schwöreWenn's drauf ankommt, bin ich für Dich da";"https://genius.com/Udo-lindenberg-ich-schwore-lyrics";"Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"9";"Udo Lindenberg";"Du lässt dich gehn";"Belcanto";"Du bist so komisch anzuseh'nDenkst Du vielleicht das find' ich schön?Wenn Du mich gar nicht mehr verstehstMir nur noch auf die Nerven gehstIch trinke schon die halbe NachtUnd hab' mir endlich klar gemachtIch muss es Dir jetzt mal gesteh'n:Ich kann Dich einfach nicht mehr seh'n!Mit Deiner schlampigen FigurGehst Du mir gegen die NaturDu läufst im Bademantel 'rumZiehst Dich für mich auch nicht mehr umDein Haar, da baumeln kreuz und querDie Lockenwickler hin und h<U+0435>rKein Deodorant, auch wenn Du schwitztD<U+0435>n ganzen Tag vor'm Fernseher sitztIch kann Hans Meiser nicht mehr seh'n, Ilona Christen außerdemEs ist zum Heulen, ganz extremDu lässt Dich geh'nDu lässt Dich geh'nDenk an die schöne Zeit zurückDie Liebe auf den ersten BlickDu lässt Dich geh'nDu lässt Dich geh'nEy, weißt Du noch wie es begann?Die ganze Welt. sie hielt den Atem anDu lässt Dich geh'nDu lässt Dich geh'nIch möcht's mal wieder mit Dir tunBist Du denn völlig sex-immun?Einmal im Monat oder soWo ist sie hin, die Libido?Sag mir doch dass Du mich noch liebstWenn Du Dir etwas Mühe gibstMit einem kleinen Lächeln nurUnd tu' auch was für die FigurMuss ja kein Bodybuilding seinEs reicht der DamenturnvereinDenk an die schöne Zeit zurückDie Liebe auf den ersten Blick
Ich nahm die Sonnenbrille abIch brach zusammen, total schlappAls ich dann wieder zu mir kamUnd Dich in meine Arme nahmDas war so schön, war das nicht schön?Du lässt Dich geh'n, lass Dich nicht geh'!Du lässt Dich geh'nDu lässt Dich geh'nDenk an die schöne Zeit zurückDie Liebe auf den ersten BlickDu lässt Dich geh'nDu lässt Dich geh'nEy, weißt Du noch wie es begann?Die ganze Welt. sie hielt den Atem anDu lässt Dich geh'nDu lässt Dich geh'nDu lässt Dich geh'nDu lässt Dich geh'n";"https://genius.com/Udo-lindenberg-du-lasst-dich-gehn-lyrics";"Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"10";"Udo Lindenberg";"Ich lieb’ dich überhaupt nicht mehr";"Feuerland";"[Songtext zu „Ich lieb' dich überhaupt nicht mehr“][Strophe 1]Es tut nicht mehr wehEndlich nicht mehr wehWenn ich dich zufällig mal wiederseh'Es ist mit egalSowas von egalUnd mein Puls geht ganz normalMusst nicht glaubenDass ich ohne dich nicht klarkomm'Ich komm' sehr gut zurechtKannst ruhig glauben: all die ander'n FrauenDie sind auch nicht schlecht[Refrain 1]Ich lieb' dich überhaupt nicht mehrDas ist ausVorbei und lange herEndlich geht's mir wieder gutUnd ich hab' jede menge MutUnd ich steh' da richtig drüber[Strophe 2]Den Fernseher, den ich eingetreten hab'Den hat die Versicherung voll bezahltDie Wohnung sieht jetzt anders ausNichts erinnert mehr an dichIch hab' alles knallbunt angemaltWenn ich manchmal nachts nicht schlafen kannGeh' ich in die Kneipe und sauf' mir einen anDu sagst, da wär' 'ne Trauer in meinem GesichtWas für'n Quatsch, das ist doch nur das Kneipenlicht[Refrain 1]Ich lieb' dich überhaupt nicht mehrDas ist ausVorbei und lange herEndlich geht's mir wieder gutUnd ich hab' jede menge MutUnd ich steh' da richtig drüber[Refrain 2]Ich lieb' dich überhaupt nicht mehrDas ist ausVorbei und lange herGuck mich bitte nicht mehr so anFass mich bitte nicht mehr so anDas zieht bei mir nicht mehrGeh doch einfach weiterEs hat keinen ZweckEy, du weißt dochSonst komm' ich da niemals drüber wegIch komm' da niemals drüber wegGeh doch einfach weiter";"https://genius.com/Udo-lindenberg-ich-lieb-dich-uberhaupt-nicht-mehr-lyrics";"Released September 1, 1997
Featuring Artist

    
      Das Deutsche Filmorchester Babelsberg
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Bertolt Brecht, Friedrich Hollaender, Jean-Jacques Kravetz & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
