"";"artist";"title";"album";"text";"url";"metadata"
"1";"Udo Lindenberg";"Benjamin";"Benjamin";"[Strophe I:]
Mein vater war dauernd besoffen
Von morgens abends gut breit
Dann hat er meine mutter getroffen
'n tag später war hochzeit
Und dann zogen sie mit ein paar kisten bier
In irgendein bretterhaus
Sie liebten sich so und hatten nichts zu tun
Und dann kamen da 'n paar kinder bei raus
Zu fressen gab's kaum und kohle war wenig
Wir waren die familie rattenkönig

[Chorus:]
Meine eltern solln's mal besser haben als ich
Darum ist boxer auch der beste job für mich
Der champ, der kriegt die lange kohle
Die ich mir jetzt schnellstens hole
Die eltern solln's mal besser haben als ich

[Strophe II:]
Benjamin heißt der kleine boxer
Und er wohnt in den ruinen von berlin
Es geht nicht nach vorne, es geht nicht zurück
Verlaß dich nicht auf irgendein glück
Es geht nur nach oben und da will er hin
Jetzt ist er dreizehn und er wird immer besser
Wird schneller, schlauer, schärfer, wie ein messer
Seine gegner sind nicht zu beneiden
Er hat seinen kopf nicht nur zum haareschneiden
Meine eltern solln's mal besser haben als ich
Darum ist boxer auch der beste job für mich
Ali: float like a butterfly
Sting like a bee
Rumble young man, rumble
I am the greatest champ of all times

[Chorus:]
Meine eltern solln's mal besser haben als ich
Darum ist boxer auch der beste job für mich
Der champ, der kriegt die lange asche
Rein damit in meine tasche
Meine eltern solln's mal besser haben als ich

[Outro:]
Yeah... Yeha
Benjamin[x2]";"https://genius.com/Udo-lindenberg-benjamin-lyrics";"Released October 25, 1993
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"2";"Udo Lindenberg";"Knock Out";"Benjamin";"[Strophe I:]
Keiner kommt hier lebend raus
Benzin im treppenhaus
Heute nacht wird umgebracht
Wer anders ist
Deutsche geschichte wird
Immer wieder neu inszeniert
Weil das publikum so schnell vergißt
Biedermann und brandstifter
Und es werden immer mehr
Das kotzt mich an und ich krieg'
Kaltes blut
Ich schrei' euch ins gesicht
Stumm zusehen werd' ich nicht
Und aus trauer wird jetzt nackte wut
Knock out
Immer wieder der deutsche schock
Knock out
Meine nerven laufen amok
Knock out
Dieses land wird mir fremd
Wo blödheit keine grenzen kennt
Wo weltverbesserer ein schimpfwort ist
Wo die kanonen blüh'n
Soldaten wieder in den krieg zieh'n
Und blinder haß sich in die herzen frißt

[Chorus:]
Knock out
Immer wieder der braune schock
Knock out
Knock ihn aus
Knock den wahnsinn aus
Knock ihn aus
Morgen brennt das nächste haus
Knock ihn aus

[Strophe II:]
Knock den wahnsinn raus
Zähl' ihn aus
Wieviel tote braucht ihr noch ?
Keiner kommt hier lebend raus
Flammen im treppenhaus
Heute nacht wird umgebracht
Wer anders ist

[Chorus]

[Outro:]
Was muß noch geschehn
So wird deutschland untergehen
Knock ihn aus
Knock den wahnsinn raus
Zähl' ihn aus
Wieviel tote braucht ihr noch ?
Knock out";"https://genius.com/Udo-lindenberg-knock-out-lyrics";"Released October 25, 1993
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"3";"Udo Lindenberg";"Piratenfreunde";"Benjamin";"[Strophe I:]
Das ist schon ziemlich lange her
Weißt du noch unten am hafen
Es roch nach freiheit und nach meer
Die möwen zogen ihre kreise
Und wir sahen den schiffen nach
Wir wollten mit auf große reise
Das war der anfang das war klar

[Pre-Chorus:]
Wir blieben aneinander kleben
Piratenfreunde wollen mehr
Du warst der wind für meine flügel
Mit dir war alles halb so schwer

[Chorus:]
Wir sind zwei piraten
Auf dem wilden weiten meer
Die segel immer voll im wind
Durch die stärksten stürme
Mit dir zusammen gar nicht schwer
Piratenfreunde die wir sind
Piratenfreunde wie sie ganz selten sind

[Strophe II:]
Manchmal war's ein luxusliner
Manchmal war kein land in sicht
Doch mit dir an meiner seite
Untergehen kann ich nicht
Wir hissen uns're schwarze flagge
Und gibt's auch manchmal eine drauf
Wir hol'n uns immer was wir wollen
Piraten geben niemals auf

[Pre-Chorus]

[Chorus]";"https://genius.com/Udo-lindenberg-piratenfreunde-lyrics";"Released October 25, 1993
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"4";"Udo Lindenberg";"Der blaue Planet";"Benjamin";"[Strophe:]
Die kleinen grünen männchen aus dem all
Sie kamen an mit überschallknall
Kurz hinter'm mars sind sie abgebogen
Und direkt auf die erde zugeflogen
Sie landeten mit getöse und gekrache
Mitten auf dem kiez bei der davidswache
Sie ließen ihr ufo einfach steh'n
Um erstmal einen trinken zu geh'n
Denn sie hatten gehört schon vor langer zeit
Auf der erde gibt es drinks die machen ganz schön breit
In der kneipe fuhr'n sie gerade ihre schnorchel aus
Da brüllte so ein idiot: aliens raus!
Auf dem blauen planet";"https://genius.com/Udo-lindenberg-der-blaue-planet-lyrics";"Released October 25, 1993
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"5";"Udo Lindenberg";"Manchmal bist du sowas von bescheuert";"Benjamin";"[Strophe I:]
Manchmal zickst du mit mir rum
Manchmal nervst du mich total
Doch dann lässt du dinger ab
Die sind extrem genial
Manchmal machst du voll den stress
Manchmal halt ich's echt nicht aus
Aber fünf minuten später dann
Reißt du alles wieder raus

[Chorus:]
Manchmal bist du sowas von bescheuert
Manchmal hast du wirklich voll den knall
Doch wärst du weg würd' ich dich suchen
Würd' ich dich suchen überall
Manchmal bist du sowas von bescheuert
Manchmal hast du wirklich voll den knall
Und doch bist du meine komplizin
Meine komplizin und mein schwerster fall

[Strophe II:]
Manchmal stellst du voll auf stur
Manchmal hab' ich's ganz schön schwer
Doch dann wieder bist du gefährlich schlau
Wo nimmst du das bloß her

[Chorus]

[Strophe III:]
Manchmal flippst du weg
Gehst echt zu weit
Schmeißt meine sachen vor die tür
Doch wenn ich dann wirklich gehen will
Sagst du: sorry - bleib doch hier

[Chorus:]
Manchmal bist du sowas von bescheuert
Manchmal hast du wirklich voll den knall
Doch wärst du weg würd' ich dich suchen
Meine komplizin und mein schwerster fall";"https://genius.com/Udo-lindenberg-manchmal-bist-du-sowas-von-bescheuert-lyrics";"Released October 25, 1993
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"6";"Udo Lindenberg";"Messer in mein Herz";"Benjamin";"[Strophe I:]
Yürüyorum hasretin acinin üstüne
Sigmiyorum dünyaya dar geliyor
Sag mir, woher kommst du jetzt
Nach dieser langen nacht
Wer hat das recht mit dir zu sein
Wer hat dich jetzt nach haus gebracht?

[Chorus:]
Wer versucht dich mir zu nehmen
Fremde spuren auf deiner haut
Fremder geruch an deinem körper
Dabei bist du doch meine braut

[Strophe II:]
Was für'n auto auf der straße
Und wer ist da am telefon?
Wer versucht dich mir zu nehmen
Oder hab ich dich schon verlor'n?

[Chorus]

[Bridge:]
Seni kimler aldi
Kimler öpüyor seni
Dudaginda dilinde
Ellerin izi var

[Chorus:]
Wer versucht dich mir zu nehmen
Bin nicht bereit zu diesem schmerz
Fremder geruch an deinem körper
Wie ein messer in mein herz";"https://genius.com/Udo-lindenberg-messer-in-mein-herz-lyrics";"Released October 25, 1993
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"7";"Udo Lindenberg";"Gummi in Berlin";"Benjamin";"[Strophe I:]
Ich fahre gerne in der welt herum
Und neulich auch mal wieder nach paris
Leicht eregiert wird promeniert
Mit 'ner mademoiselle
Sie war unfaßbar süß
Ich flog mit ihr nach acapulco
Sie sagte: laß' mal jucken
Sie wollte es tun
Ich sag: ich hab' leider keinen pariser dabei
Was machen wir denn nun ?

[Chorus:]
Ich hab' noch einen gummi in berlin
Den muß ich ab und zu mal überziehn
Denn wenn ich schon gerne knalle
Dann bin ich kein blöder hund
Da nehm ich lieber latex
Denn aids ist ungesund
Ich hab' noch einen gummi in berlin

[Strophe II:]
Tolle frau'n in mailand
Und alle woll'n nur mich
Das tut mir selber ja so leid
Doch ohne mach ich's nich'
Da war noch dieser schöne mann
Letztens auf hawaii
Ich hab gesagt: ich würd' ja gern
Doch ich hab' nichts dabei

[Chorus]";"https://genius.com/Udo-lindenberg-gummi-in-berlin-lyrics";"Released October 25, 1993
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"8";"Udo Lindenberg";"Modezombies";"Benjamin";"[Strophe I:]
Du lauerst laufend auf den neuesten clou
Und auf dem ärschchen trägst du ein tatoo
Du transplantierst dir 'n paar schamhaarlocken
Auf deine stirne, um zu schocken
Modezombie
Modezombie
Du machst alles für die mode
Du hungerst dich auch mal zu tode
Und wenn es schick ist, daß man dick ist
Dann frißt du ganz ungehemmt
Die haxe, bis die hose klemmt

[Chorus:]
Hirnis wie du
Wenn ich mal kotzen muß und nicht kann
Schau ich mir solche modezombies an
Hirnis wie du
Schicki-micki und klamottensport
Und dann kommt es mir sofort

[Strophe II:]
Wenn es in ist und nicht out
Schmierst du dir bullensahne auf die haut
Bräunungsbank und anabolika
Schultern wie'n schrank
Nur vom kopf ist nicht mehr so viel da

[Chorus]

[Strophe III:]
'ne demonstration, nee die hatten wir schon
'ne lichterkette, aber nur auf die nette
Politik im moment liegt nicht so im trend
Gefragt ist und zwar sehr
Geld, luxus und geschlechtsverkehr

[Chorus:]
Hirnis wie du
Wenn ich mal kotzen muß und nicht kann
Schau ich mir solche modezombies an
Und sie sagen - bitte gerne
Und sie sagen - bitte sehr
Auf daß man das gehirn entferne
Das brauchen wir sowieso nicht mehr

[Outro:]
Und fragen sie mal die avantgarde
Ja ja ja was läuft denn gerade?
Bißchen sm - bißchen bi
Das schadet doch nie
Modezombies";"https://genius.com/Udo-lindenberg-modezombies-lyrics";"Released October 25, 1993
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"9";"Udo Lindenberg";"Fäuste aus Stahl";"Benjamin";"Boxer: ""I did it again, I am the heavy weight champion""

Raus aus der Halle, rein in den Benz
Weltmeistertitel, Millionen Fans
Meine Promoter zählen die Gage
Hysterische Frauen auf der Hoteletage

Und ich wusste, einer wird lachen
Und ich wusste, einer wird weinen
Und jetzt hör' ich noch mal
Die ganze Halle schreien
Oh - oh - oh

Ich bin der Champ, wieder mal
Und meine Fäuste sind aus Stahl
Schmerz in den Knochen und auf der Haut
Krieg und Terror bis zum Knock Out
Ausgepowert und leer
Trotz Ruhm und Geld
Manchmal bin ich der einsamste Boxer der Welt

Und ich wusste, einer wird lachen
Und ich wusste, einer wird weinen
Und jetzt hör ich nochmal
Die ganze Halle schreien
Oh - oh - oh

Ich bin der Champ, wieder mal
Und meine Fäuste sind aus Stahl
Ich bin der Champ, wieder mal
Fieber, Wahnsinn, Fäuste aus Stahl

Jetzt bin ich ganz oben
Und atme die Luft
Voll Blut, Schweiß und Tränen
Die Luft hier oben ist dünn
Wo soll ich jetzt noch hin?

Ich bin der Champ, wieder mal
Und meine Fäuste sind aus Stahl
Ausgepowert trotz Ruhm und Geld
Manchmal bin ich der einsamste Fighter der Welt";"https://genius.com/Udo-lindenberg-fauste-aus-stahl-lyrics";"Released October 25, 1993
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"10";"Udo Lindenberg";"Süße Sucht";"Benjamin";"[Strophe I:]
Jetzt bist du weg
Undich, was fang ich an
Ich treibe mich rum
Auf party nächtelang
Doch der whisky, der bringt's nicht mehr
Und andere frauen, das fällt mir schwer
Du bist die droge, die ich brauch'

[Chorus:]
Du bist die süße sucht
Und davon komm ich nie mehr los
Wir war'n schon viel zu weit
Das war doch alles viel zu groß
Einfach aufhör'n ist nicht drin
Weil ich wie ein junkie süchtig bin

[Strophe II:]
Ich fahr ohne ziel durchs labyrinth der stadt
Fühl mich wie einer der kein zuhaus'mehr hat
Weißt du eigentlich wie das ist
Wenn du voll auf turkey bist
Und dein dealer dich vergisst

[Chorus]

[Outro:]
Ich hätte nie gedacht
Daß mich das so fertig macht
Daß du so'ne harte droge bist
Die mir jetzt durch die blutbahn schießt";"https://genius.com/Udo-lindenberg-sue-sucht-lyrics";"Released October 25, 1993
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
