"";"artist";"title";"album";"text";"url";"metadata"
"1";"Udo Lindenberg";"Dirty Old Man";"CasaNova";"Als ich noch ein kleiner Knilch war
Stand ich immer an der Milchbar
Dachte nach über Pubertät
Und hab' mich so gewundert
Dass das Ding da plötzlich steht

Dann ging ich schnell wie auf heißen Kohlen
Nach Haus, um mir einen runterzu ... (Zensur!)
Und träumte von 'nem flotten Dreier
Dabei wußte ich kaum wie'n Einer geht:
Als man noch jung war

[Girls]:
When we was younger

Und Samstagabend durfte man ausgeh'n
Man wollte 'n bißchen lecker ausseh'n
Man drückte sich di<U+0435> Pickel aus
Und sah so aus wie Pet<U+0435>r Kraus

Und stundenlang vorm Spiegel schwitzen
Weil: Die Frisur, sie wollt' nicht richtig sitzen
Und was für'n Streß:
Was nimmt man heut' für 'n T-Shirt?
Man war so verstört

Oh Gott
War man verstört -
Als man noch jung war

[Girls]:
When he was younger

Now he's a dirty
Dirty dirty Old Man
What a beauty
Beauty beautiful dirty old man

He's a proud dirty old man
Outrageous
Extraordinary
Dirty dirty old man

He's a real fruitcake...

Nun kommt man langsam in die Jährchen
Verliert das eine oder andere Härchen
Trägt die Frisur jetzt in Scheibletten
Braucht ab und zu schon mal Potenztabletten

Doch trotzdem werden die Zeiten jetzt immer toller
Dolce Vita - je oller, je doller
Schöne junge Frauen und Champagner jede Nacht
Ja, so'n älterer Herr ist schon sehr gefragt
Viel gefragter als damals

[Girls]:
When he was younger

Now he's a dirty...";"https://genius.com/Udo-lindenberg-dirty-old-man-lyrics";"Released December 12, 1988
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"2";"Udo Lindenberg";"Die Klavierlehrerin";"CasaNova";"[Strophe I:]
Als ich ein kleiner junge war
Da fragte ich meine mama
Wie wird man ein musikgenie?
Sie sagte: ohne übung nie
Am besten wär's, mein liebes kind
Du lernst das tastenspiel geschwind
Ein päckchen noten schenkt' sie mir
Jetzt gehe hin und lern klavier!
Und schickte mich dann da so hin
Zu der klavierlehrerin

[Chorus:]
Sie war so groß, war so barock
Ganz breit der arsch
Ganz kurz der rock

[Strophe II:]
Her thighs were fat and white and bare
Her twitching legs came up to here
Dann nahm sie meine fi-hin-ger
Und führte sie hier und da so hin
And then she took his fi-hin-ger
And moved it here and there and then
Meine klavier-lehe-rerin
Nach der etüde
Waren wir so müde
Und dann beim hohen c
Tat es wirklich ein bißchen weh
Am besten war's beim tiefen h
Da war's ganz einfach wunderbar
Mit feuchter hose kam ich dann
Zuhaus bei meiner mutter an
Sie sprach: »da gehst mir nicht mehr hin
Zu dieser klavierlehrerin

[Chorus]

[Outro:]
Please teach me, Please, release
My body - don't preach me
Kleine augen, Feuchte hose
So kam ich zuhaus bei meiner
Mutter an, Und sie sagt: da gehst
Mir nicht mehr hin, Zu der
Klavierlehrerin, Use my body as
Your keyboard";"https://genius.com/Udo-lindenberg-die-klavierlehrerin-lyrics";"Released December 12, 1988
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"3";"Udo Lindenberg";"Airport (Dich wiedersehn)";"CasaNova";"[Songtext zu „Airport (Dich wiedersehn)“]

[Strophe 1]
Ich bin wieder zu hause, und was ich auch mach'
Ich denk' immer nur, nur an dich
Nein, ich hab' nicht gewusst, dass das alles so stark ist
Und irgendwie verfolgt es mich
Und jetzt bin ich total perplex
Dein Gesicht und dein süßer Sex
Lässt mich einfach nicht mehr in ruh'
Und ich vermiss' dich
Wir ganz locker am Airport, und ich sag' ganz leger
Eh, man sieht sich wieder, vielleicht nächstes Jahr
Doch dann später im Flieger wurd' das Herz mir so schwer
Und es wurd' mir klar, dass es viel mehr war
Als nur so'n kleiner Flirt am rand
Als nur 'ne schnelle Romanze am Strand
Ist alles erst 'n paar stunden her
Und ich vermiss' dich so sehr

[Refrain]
Dich wiederseh'n, ich muss dich wiederseh'n
Dich wiederseh'n, ganz schnell wiederseh'n
Dich wiederseh'n - bitte einmal noch, und dann immer wieder

[Strophe 2]
Und jetzt bin ich total perplex
Dein Gesicht und Dein süßer Sex
Lässt mich einfach nicht mehr in ruh'
Und ich vermiss' Dich (So sehr)

[Refrain]
Dich wiederseh'n, ich muss dich wiederseh'n
Dich wiederseh'n, ganz schnell wiederseh'n
Dich wiederseh'n - bitte einmal noch, und dann immer wieder

[Outro]
Dich wiederseh'n, hab' nicht mal'n Foto von dir
Dich wiederseh'n, ich Idiot, ich vermisse dich
Dich wiederseh'n, hätt' ich doch gleich merken können, wer du bist für mich
Dich wiederseh'n, ist alles was ich will
Dich wiederseh'n, ist alles was ich brauch'

[Chorus]";"https://genius.com/Udo-lindenberg-airport-dich-wiedersehn-lyrics";"Released December 12, 1988
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"4";"Udo Lindenberg";"Eifersucht";"CasaNova";"Ich sitz' am Telefon
Seit Stunden schon und warte auf dich
Warum rufst mich nicht an?
Warum kommst nicht nach Haus?
So langsam wird das jetzt zuviel für mich

Ich hab' schon mal gedacht
Meine Liebe ist zu groß
Jetzt lauf' ich hier Amok
Und weiß nicht, was ist los

Ich sitz' am Telefon
Seit Stunden schon
Und warte auf dich

Da -
Licht im Treppenhaus
Schon wieder aus
War bloß nebenan
Und im Fernseh'n
Gibt's Küsse auf jedem Kanal
Vielleicht küsst du gerade
'n andern Mann?

Oder hatt'st du vielleicht 'n Unfall
Mit'm Auto oder so?
Ich weiß nicht, was hier läuft
Und ich fühl' mich so k.o

Ich sitz' am T<U+0435>lefon
Seit Stunden schon
Und wart<U+0435> auf dich

Das ist mir bisher noch nie passiert
Sonst war ich immer der Typ, auf den gewartet wird
Der mit 'nem kessen Spruch
Und mit entwaffnendem Blick

Morgens an der Tür stand
Von 'ner schnellen Jagd zurück
Und der einfach sagt:
""War doch nur 'ne Nacht
Bin wieder da!
Alles klar?""";"https://genius.com/Udo-lindenberg-eifersucht-lyrics";"Released December 12, 1988
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"5";"Udo Lindenberg";"Bist Du vom KGB?";"CasaNova";"Wir trafen uns im Park-Cafe
Ich hätt' dich beinah' nicht geseh'n
Man kennt die schönen, scheuen Frau'n
Die gern in dunklen Ecken stehn

Ich denk', ich geh' mal rüber
Ist die toll!
Und sprech' mit ihr mal drüber
Wie das jetzt mit uns laufen soll?

Bist du vom KGB
Oder vom MAD
Oder vom CIA?
Man weiß es nicht genau
Geheimnisvolle Frau
Weil du so cool bist

Umgeben von Spionen
Die steh'n da rum des Nachts um vier
Ganz coole Observant<U+0435>n
Die schweigen nur
Und trink<U+0435>n Bier

'ne eisig harte Schale
Doch darunter, das ist klar
Ein großes Herz voll Sehnsucht
Und nun bin ich endlich da
Ja

Bist du vom KGB...

Prinzessin Eisenherz
Im dunkelroten Licht
Komm, nimm die Maske ab
Und zeig mir dein Gesicht
Jetzt wirst du wachgeküsst
Weil du so cool bist

[Rap]:
Biste vom KGB oder vom CIA oder
BK....A...A...oder BND...? Hier
Weiss ja keiner mehr Bescheid...
Weil du so cool bist... Vielleicht bin
Ich vom TIA oder DLRG, DGB, MIS
CIA, FBI...";"https://genius.com/Udo-lindenberg-bist-du-vom-kgb-lyrics";"Released December 12, 1988
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"6";"Udo Lindenberg";"Wenn Du mein Kind wärst";"CasaNova";"Wenn du mein Kind wärst
Würd' ich dich tragen
Auf meinen Schultern
Den ganzen Tag

Wir würden lachend
Den Strand entlang jagen
Bis ich absolut
Keine Luft mehr hab'

Dann krabbeln wir beide
Die Dünen hoch
Und dann gibt´s noch
'ne große Brause

Deine kleinen Hände
In meiner Hand
Und dann hüpfen wir
Glücklich nach Hause

Und wärst du meine Schwester
Und ich 'n bisschen größer
Ich würd' dich beschützen
Ganz ritterlich vor all<U+0435>n den Bösen
Die dir was woll<U+0435>n
Dann haben die Respekt
Und wehe nicht

Ich würd' dir erzählen
Von der großen Welt
Und dann fahren wir zusammen da hin
Ja, wir wär'n zwei so richtige Stadtindianer
Und ich sag' dir
Wie stolz ich auf dich bin

Und wärst du meine Mutter
Dann hätte ich jemand
Der auf mich achtet
So ab und zu

Würdst öfter mal sagen:
""Ja, muss das denn sein?
Muss man denn wirklich
So'n verrückter Hund sein wie du?""

Und wenn ich mal durchhäng'
Nimmst mich in den Arm
Und was dann hilft
Das weißte ganz genau
Und du würdest mir verzeih'n
Immer wieder verzeih'n
Auch wenn ich noch so 'ne große Scheiße bau

Du bist das alles
Alles für mich
Und darum
Lieb' ich dich so sehr

Dann krabbeln wir beide
Die Dünen hoch
Und dann gibt's noch
'n großes Eis

Deine kleinen Hände
In meiner Hand
Und dann muss ich wieder los -
Deine Tränen sind heiß

Du bist das alles
Alles für mich
Und darum sag' ich:
Ohne dich
Könnt' ich zwar leben
Aber nicht so richtig";"https://genius.com/Udo-lindenberg-wenn-du-mein-kind-warst-lyrics";"Released December 12, 1988
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"7";"Udo Lindenberg";"Frauen";"CasaNova";"Kennst du das auch?
Für 'ne Sekunde siehst du sie und rastest aus
Sie ist eine von den großen Zauberinnen
Und dein Herz macht bumbidumbidibububum

Wat'n Gefühl!
Und schon taucht sie unter im Großstadtgewühl
Und du denkst: Muss das denn sein? So ein Frust?
Dabei hätt'st du auf sie nun gerad' so eine Lust

Frauen, denkt ein jeder Mann
Schade, dass man sie nicht alle lieben kann
Frauen, denkt ein j<U+0435>der Mann
Schade, dass man sie nicht all<U+0435> haben kann

Es ist wie beim Roulette - C'est la vie
Alle Nummern auf einmal gewinnst du nie
Du setzt auf die eine, die ander'n passé
Das tut weh, das tut so weh

Und stell dir mal vor, du wärst gebor'n
Mit Mandelaugen und gelben Ohr'n
Irgendwo in China
Uh - was gibt's da Frauen!
Uh - was gibt's da Frauen!

Oder irgendwo am Bosporus
Wo du ohnmächtig wirst
Von jedem Kuss
Du kriegst vom türkischen Honigweib
Mit dem Munde gemalt auf den nackten Leib

Frauen, denkt ein jeder Mann
Schade, dass man sie nicht alle lieben kann
Frauen, denkt ein jeder Mann
Schade, dass man sie nicht alle haben kann

Ja und ich hielt sie fest in Buda-Budapest
Die Oberhammerfrau aus Oberammergau
Und in Gummersbach sagt sie: ""Ach, ach, ach""
Und am Taj Mahal sagt sie: ""Noch einmal..""

Und in Malmö-Nord, da lief es auch sofort
Und Miss Austria, die's dann doch nicht war schnell nach London dann, da liegt nun gar nichts an
Zu kurz in New York City
What a pity

Women women
We want women";"https://genius.com/Udo-lindenberg-frauen-lyrics";"Released December 12, 1988
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"8";"Udo Lindenberg";"Vopo";"CasaNova";"Ich wohn' in Berlin direkt an der Mauer
In einer grauen Mietsmansarde
Ich wach' mittags auf und schlecke zum Frühstück
Einen Eimer Brombeermarmelade

Ich klecker' mich voll
Und leck' es mir ab
Und spür' das Verlangen
Es kommt schon wieder

Ich öffne das Fenster
Und schau auf den Mann
Den Mann meiner Sehnsucht nieder

Da steht er so stolz und stramm
Von Kopf bis Fuß ein ganzer Herr
Sein aufgerecktes Bajon<U+0435>tt
Ist leider nur ein Schi<U+0435>ßgewehr

Ich stell' mir vor
Dass er die Knarre runterreißt
Und in den Gulli schmeißt
Dass er mich nimmt
Ganz liebevoll nimmt
Und mir in die Lippen beißt

Oh, du mein süßer kleiner Vopo
Mit deinem süßen kleinen Popo
Ich liebe dich ja soso
Ich liebe dich so

Ich wohn' in Berlin direkt an der Mauer
In einer grauen Mietsmansarde
Ich wach' mittags auf und schlecke zum Frühstück
Einen Eimer Brombeermarmelade

Ich klecker' mich voll
Und leck' es mir ab
Und spür' das Verlangen:

Es kommt schon wieder
Ich öffne das Fenster
Und schau auf den Mann
Den Mann meiner Sehnsucht nieder

Da steht er
So stolz und stramm
Von Kopf bis Fuß ein ganzer Herr
Sein aufgerecktes Bajonett
Ist leider nur
Ein Schießgewehr

Ich stell' mir vor
Dass er die Knarre runterreißt
Und in den Gulli schmeißt
Dass er mich nimmt
Ganz liebevoll nimmt
Und mir in die Lippen beißt

Oh, du mein süßer kleiner Vopo
Mit deinem süßen kleinen Popo
Ich liebe dich ja soso
Ich liebe dich so";"https://genius.com/Udo-lindenberg-vopo-lyrics";"Released December 12, 1988
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"9";"Udo Lindenberg";"Goodbye Sailor";"CasaNova";"Ein letztes Ahoi, ich muss fort
Die andern warten schon an Bord
Eine wirklich schöne Zeit mit dir
Bleibt ganz tief in mir

Jetzt steh'n wir hier
Schwer bemüht
Dass der and're keine Tränen sieht
Doch weißt du, was das Größte ist?
Dass du wirklich mein bester Freund geworden bist

Wenn der Wind mich jetzt auch weiterweht
Auf das große Meer hinaus
Musst du wissen, dass es mit uns weitergeht
So was kriegst du ni<U+0435> wieder aus'm Herz<U+0435>n heraus

Wenn die Zeit auch hart wird und sehr schwer
Dann verlier'n wir nicht den Mut
Denn so'n Sailor bleibt nicht ewig auf dem Meer
Nein, nach der Ebbe kommt die nächste große Flut

Jetzt steh'n wir hier schwer bemüht
Dass der and're die großen Tränen nicht sieht
Doch weisst du, was das Grösste ist?
Dass du echt mein bester Freund geworden bist

Goodbye Sailor
Goodbye Sailor
Sailor Bye bye";"https://genius.com/Udo-lindenberg-goodbye-sailor-lyrics";"Released December 12, 1988
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"10";"Udo Lindenberg";"Es war einmal eine Liebe";"CasaNova";"";"https://genius.com/Udo-lindenberg-es-war-einmal-eine-liebe-lyrics";"Released December 12, 1988
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
