"","artist","title","album","text","url","metadata"
"1","Udo Lindenberg","Der amerikanische Traum","Der detektiv rock revue 2","Hello, here speaks Franz Josef Mayr from New York
We want to have a big party
And we want the Udo here, the German music

Neulich rief ein Mr. Mayr aus New York an
Ob er den Udo mal engagieren kann
Denn die hätten da, wie jedes Jahr
Einen Heimatball a la Bavaria

Außerdem gäb's 1.000 Dollar
Ich sag: Okay, ich bin Ihr Mann!
Und so flogen wir nach Manhattan, Deutsche Kolonie
So geweint haben die noch nie

Dеnn sie brach zusammen, ihre hеile Welt
Sie drehten voll durch in ihrem Bayernzelt
Denn da hatten sie doch leider den falschen Udo bestellt:
Sie wollten Udo Jürgens

Nein, sie wollten keine Panik, und sie wollten keinen Punk
Und sie fraßen Leberknödel den ganzen Tag lang
Und dann wollten sie schon schmeißen mit 'ner Maß Bier
Ich sag: Avanti, Galoppi
Nix wie weg hier
Es gibt auch andere Möglichkeiten in USA
Unbegrenzte sogar

Und dann rockten und rollten wir los
In Max's Kansas City
Im Bottom-Live CBGB's
Und die Amis flippten aus

Und sie sagten: Sehr extrem
So was Rausgeröntges haben wir ja noch nie gesehen
Und dann im Madison Square Garden
Hatten sie nicht genug Eintrittskarten

Und wir brachten unsere Panik
Und wir peitschten unseren Punk
Und wir heizten von Küste zu Küste, monatelang
Ja, wir waren in Chicago und in Miami
Los Angeles und Boston und Washington DC

Doch trotzdem haben wir nicht viel gesehen
Auf der Tour, immer nur
Highways, Airports, Football-Stadien
1.000 Motels und Cheeseburger-Imbiß

Wir brachten unsere Panik
Und wir peitschten unseren Punk
Doch die Show-Business-Maschine
Sie machte mich krank

Und eines schönen Morgens
Als der Manager noch schlief
Da machte ich mich auf die Socken
Wie ein Detektiv

Denn ich wollte einfach wissen:
Was ist denn genau los mit Amerika
Was ist denn hier Hollywood
Und was ist wirklich wahr?

Und so fuhr ich mit 'nem Chevy
Durch die Staaten kreuz und quer
Auf der Suche nach dem Amerikanischen Traum
Oder gibt's den gar nicht mehr?

Von New Orleans nach Alaska
Übern ganzen Kontinent
Spielte Black Jack in Las Vegas
Fuhr Karussell in Disney Land
Hoch in die Rocky Mountains","https://genius.com/Udo-lindenberg-der-amerikanische-traum-lyrics","Released October 15, 1979
Writers

    
      Bernie Taupin, Elton John, Herman Hupfeld & 5 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"2","Udo Lindenberg","As Time Goes By","Der detektiv rock revue 2","You must remember this
A kiss is still a kiss
A sigh is still (just) a sigh
The fundamental things apply
As time goes by

And when two lovers woo
They still say: ""I love you""
On that you can rely
No matter what the future brings
As time goes by

Moonlight and love songs - never out of date
Hearts full of passion - jealousy and hate
Woman needs man - and man must have his mate
That no one can deny

It's still the same old story
A fight for love and glory
A case of do or die
The world will always welcome lovers
As time goes by","https://genius.com/Udo-lindenberg-as-time-goes-by-lyrics","Released October 15, 1979
Writers

    
      Bernie Taupin, Elton John, Herman Hupfeld & 5 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"3","Udo Lindenberg","New York (New York, State of Mind)","Der detektiv rock revue 2","New York, du bist Wahnsinn
Manchmal lieb' ich dich
Manchmal hass' ich dich
Irrenhaus, Lustmaschine, Brandruine

Du reckst deinen Schizokopf in die Wolken rein
Doch unter'm weißen Smoking
Bist du dreckig wie ein Schwein

Ist 'n geiles Gefühl, wenn ich deine rote Sonne
Über'm Hudson seh'
Leben aus dem Vollen
Wenn ich am Broadway steh'

Du bist Sehnsucht und Utopia
Paradies und Untergang
Schön wie 'n Brillant von Tiffany
Und unheilbar krank

Und ich kauf' mir 'n Paar Flügel
Und fliege die Skyline entlang

New York, ich streun' so gerne
Durch deine tiefen Straßenschluchten
Ich seh' Superstars, die löffeln Kaviar
Und saufen Champagner im Waldorf Astoria
Doch ein paar Blocks um die Ecke
Und schon siehst du die Endstation
Ein Negerkind verhungert in Harlem","https://genius.com/Udo-lindenberg-new-york-new-york-state-of-mind-lyrics","Released October 15, 1979
Writers

    
      Bernie Taupin, Elton John, Herman Hupfeld & 5 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"4","Udo Lindenberg","Es reicht gerade noch zum Überleben","Der detektiv rock revue 2","Ein Junge wird geboren im Ghetto
Ihr zehntes Kind, und die Mutter weint sehr
Der Vater macht nur 100 Dollar netto
Wie's weitergeht, manchmal weiß er's nicht mehr
Es reicht gerade noch so eben zum Überleben

So wächst er auf, gehetzt, gejagt, getreten
Und als er zehn ist, kennt er sich aus
Weiß, wie man Autos knackt und Automaten
Da holt еr sich das Nötigste raus
Ja es reicht immеr nur so eben zum Überleben

Sie bolzen rum mit Konservendosen
Sie hoffen alle, dass eins passiert
Dass sie mal große Fußballstars werden
Und dass der Ruhm sie aus dem Elend rauskatapultiert
Oder Boxerking wie Ali
Oder Sänger wie Stevie Wonder

Solche Träume halten nicht lange
Vor'm Arbeitsamt 'ne riesige Schlange
Sie laden die Knarre im feuchten Keller
Und nachts geh'n sie klauen
Doch der Bulle schießt schneller -
Jetzt reicht es nicht mal mehr zum Überleben","https://genius.com/Udo-lindenberg-es-reicht-gerade-noch-zum-uberleben-lyrics","Released October 15, 1979
Writers

    
      Bernie Taupin, Elton John, Herman Hupfeld & 5 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"5","Udo Lindenberg","Lost Paradise","Der detektiv rock revue 2","","https://genius.com/Udo-lindenberg-lost-paradise-lyrics","Released October 15, 1979
Writers

    
      Bernie Taupin, Elton John, Herman Hupfeld & 5 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"6","Udo Lindenberg","Desperado","Der detektiv rock revue 2","Desperado, du reitest nun schon seit Jahren
Allein und verloren durch die Prärie
So hart und rastlos bist du auf der Suche
Doch hier in der Einsamkeit findest du dich nie

Du treibst dein Pferd die Hügel hoch
In den Canyons hängt dein Echo
Was du suchst, das weißt nur du allein
Das nächste Tal kann noch grüner sein
Und dahinter glänzt Gold im Sonnenschein
Vielleicht ist das endlich dein ""El Dorado""

Desperado, du belügst dich und du wirst nicht jünger
Schmerzen und Hunger brechen dich bald
Freiheit, Freiheit
So nennen's die anderen
Doch für dich wird's zum Gefängnis
Darin wirst du schwach und alt

Ist es nicht zu kalt in der Winterzeit
Die Luft voll Schnee und die Sonne so weit
Du weißt nicht, ob es Tag ist oder Nacht
In dunklen Höhlen sitzt du dann
Und lehnst dich an deine Träume an
Es gab mal Zeiten, da hast du auch gelacht

Desperado, merkst du nicht dass es hier draußen
Keine Spur Hoffnung mehr für dich gibt?
Du reitest nun schon seit Jahren
An deinem Abgrund entlang

Gib deinem Pferd die Sporen
Denn noch bist du nicht verloren
Zu Hause wartet schon lange jemand
Der dich sehr liebt","https://genius.com/Udo-lindenberg-desperado-lyrics","Released October 15, 1979
Writers

    
      Bernie Taupin, Elton John, Herman Hupfeld & 5 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"7","Udo Lindenberg","Ich steh ja so auf Disco","Der detektiv rock revue 2","Es tut nicht mehr weh
Endlich nicht mehr weh
Wenn ich dich zufllig mal wiederseh'
Es ist mit egal
Sowas von egal
Und mein Puls geht ganz normal
Mut nicht glauben
Da ich ohne dich nicht klarkomm'
Ich komm' sehr gut zurecht
Kannst ruhig glauben: All die ander'n Frauen
Die sind auch nicht schlecht
Ich lieb' dich berhaupt nicht mehr
Das ist aus
Vorbei und lange her
Endlich geht's mir wieder gut
Und ich hab' jede Menge Mut
Und ich steh' da richtig drber
Den Fernseher
Den ich eingetreten hab'
Den hat die Versicherung voll bezahlt
Die Wohnung sieht jetzt anders aus
Nichts erinnert mehr an dich
Ich hab' alles knallbunt angemalt
Wenn ich manchmal nachts nicht schlafen kann
Geh' ich in die Kneipe und sauf' mir einen an
Du sagst
Da wr' 'ne Trauer in meinem Gesicht -
Was fr'n Quatsch!
Das ist doch nur das Kneipenlicht
Ich lieb' dich berhaupt nicht mehr
Das ist aus
Vorbei und lange her
Guck mich bitte nicht mehr so an
Fa mich bitte nicht mehr so an
Das zieht bei mir nicht mehr
Geh doch einfach weiter
Es hat keinen Zweck
Ey
Du weit doch
Sonst komm' ich da niemals drber weg
Ich komm' da niemals drber weg
Geh doch einfach weiter","https://genius.com/Udo-lindenberg-ich-steh-ja-so-auf-disco-lyrics","Released October 15, 1979
Writers

    
      Bernie Taupin, Elton John, Herman Hupfeld & 5 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"8","Udo Lindenberg","Baltimore","Der detektiv rock revue 2","Überall im Zentrum der reichen alten Stadt
Drängen sich die Möwen, halberfroren und matt
Denn auf dem Meer sind Stürme
Und das bringt große Not
In der City gibt's kein Futter
Hier finden sie den Tod

Eine Nutte wartet auf das letzte Rendezvous
Und ein Penner deckt sich mit Plastiktüten zu
Die Leute, die du ansiehst, gucken weg und drehn sich um
Jеder spürt, die City stirbt
Und keinеr weiß genau, warum..

Oh, Baltimore, dein Ende ist in Sicht
Oh, Baltimore, ein paar Jahre noch
Länger geb' ich dir nicht

Meine Schwester Sandy und mein kleiner Bruder Gregg
Ich kauf' ein altes Auto, das bringt uns ganz weit weg
In die höchsten Berge und in das weite Land
Da bleiben wir für immer
Komm, nimm meine Hand

Oh, Baltimore, dein Ende ist in Sicht
Oh, Baltimore, ein paar Jahre noch
Mehr geb' ich dir nicht

Oh, Baltimore, du wirst untergehn wie ein großes Schiff
Oh, Baltimore, du gehst unter
Doch mich ziehst du nicht mit runter

Baltimore, in deinem Schutt erstick' ich nicht...","https://genius.com/Udo-lindenberg-baltimore-lyrics","Released October 15, 1979
Writers

    
      Bernie Taupin, Elton John, Herman Hupfeld & 5 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"9","Udo Lindenberg","Die kleine Stadt (My Little Town)","Der detektiv rock revue 2","Die kleine Stadt, die liegt so weit zurück
Sie war der Mittelpunkt der Welt
Unsere enge Strasse war
Breit wie der Hollywood-Boulevard
Und in der Kirche wohnte der liebe Gott
Da war er noch nicht tot
Da hat er sich noch um alles gekümmert

Und Mutter hing die Wäsche auf
Im schmutzigen Wind hinter der Fabrik
Und es gab auch ein Kino

Und ich war sehr interessiert
Was hinter der Leinwand passiert
Ob es das wirklich alles gibt
Und ich war in Brigitte Bardot verliebt
Und stand stundenlang vor dem Schaukasten
Und träumte

Eine Sache war für mich damals schon völlig klar
Wenn ich später groß bin gehe ich nach Amerika
Bestimmt warten die da schon auf meines Vaters attraktiven Sohn
Und dann werd' ich was Berühmtes und zu Hause hör'n sie alle davon

In der kleinen Stadt
Wenn ich da heute mal hinkomm'
Stelle ich fest
Das gleiche miefige Nest

Immer noch so kleinkariert
Ist wirklich nicht viel passiert
Und Du siehst ein paar andere kleine Jungs an der Ecke steh'n
Und die bleiben auch nicht lange
So wie die ausseh'n

Eine Sache ist für die doch jetzt schon völlig klar:
Wenn ich später groß bin gehe ich nach Amerika
Bestimmt warten die da schon auf meines Vaters attraktiven Sohn
Und dann werd' ich was Berühmtes und zu Hause hör'n sie alle davon","https://genius.com/Udo-lindenberg-die-kleine-stadt-my-little-town-lyrics","Released October 15, 1979
Writers

    
      Bernie Taupin, Elton John, Herman Hupfeld & 5 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"10","Udo Lindenberg","Kentucky Mädchen","Der detektiv rock revue 2","Ich wollte runter nach New Orleans
Und der Tank war leer
In dem Kaff gab's leider kein Benzin
Und die Luft war schwül und schwer

Und so ging ich in den Dorfsaloon
Und da sah ich dieses Zauberhuhn
Und ich sagte: Maybe... Baby -
Und es gäb’ noch was zu tun

""Oh bitte, führe mich nicht in Versuchung""
Flehte sie mich an:
""Erlöse mich von dem Bösen""
Ich sag': ""Das ist genau das, was ich nicht kann""

Kentucky-Mädchen, du hast im Tabakfeld gewohnt
Du rolltest dir ein paar Blätter
Und dann warst du stoned
Wie Mr. Armstrong auf dem Mond
Oh, oh, all Systems go!

Danach schliefen wir еin in der feuchten Nacht
Und morgеns wollt' ich los auf die Schnelle
Doch sie hielt mich fest mit ihren Tabakpflückfingern
An meiner empfindlichsten Stelle

Und dann blieb ich da
Und die Oma sagte: ""Gut, dass du kein Nigger bist
Denn sonst lyncht dich sofort der Ku-Klux-Klan
Und man meldet dich als vermisst""

Mensch, ich sag’ dir, unten im Süden
Sind die Bräuche ganz schön streng
Der Mississippi ist breit, und das Gras ist blau
Und viele Köpfe sind alt und eng

Kentucky-Mädchen, du hast im Tabakfeld gewohnt
Du rolltest dir ein paar Blätter
Und dann warst du stoned
Wie Mr. Armstrong auf dem Mond

Oh, Mädchen, wer holt dich denn da mal raus?
Der Greyhound kommt nur einmal die Woche
Und fährt sofort weiter
Denn nie steigt einer aus

Kentucky-Mädchen, du hast im Tabakfeld gewohnt
Du rolltest dir ein paar Blätter
Und dann warst du stoned
Wie Mr. Armstrong auf dem Mond

Oh, Mädchen, ich denke oft an dich
Irgendwann komm ich wieder
Denn du bist die größte
Zaubermaus für mich, oh yeah","https://genius.com/Udo-lindenberg-kentucky-madchen-lyrics","Released October 15, 1979
Writers

    
      Bernie Taupin, Elton John, Herman Hupfeld & 5 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
