"";"artist";"title";"album";"text";"url";"metadata"
"1";"Udo Lindenberg";"Der Generalsekretär";"Feuerland";"[Verse 1]
Ich geh' über sieben Berge und über sieben Brücken
Und hüpf' noch kurz durch's Minenfeld
Und dann bin ich auch schon da - in der jungen Welt
Und dann komm' ich ganz rasant mit einem Trabant
In die Hauptstadt eingefahr'n;
Und da hat Erich dann die Lederjacke an!

[Verse 2]
Und ich denk': Was ist'n nun
Ist ja richtig Honeymoon
Von Rügen bis zum Thüringerwald
Und es wird zu jedem Bierchen ein Glas Nost 'reingeknallt
Und sie feiern ihren Staatschef
Auf den sie ja nun alle gnadenlos abfahr'n -
Und das ist Erich mit der Lederjacke an!

[Chorus]
Es war einmal ein Generalsekretär
Der liebte den Rock 'n' Roll so sehr
Gitarren statt Knarren
Und locker
So wie ein Rocker
Der Staatsratsmeister sprach zum ZK:
Nichts wird mehr so sein
Wie es mal war!
Von morgens bis abends ertönt die Schalmei
Und dann stoß' ich ihn aus
Den Indianerschrei!

[Verse 4]
Ey, denk' doch mal an früher:
Deutscher Nazi-Horror absolut brutal
Beknackstes Volk der Krieger mit KZ's von Paris bis zum Ural
Honey sagt: Von deutschem Boden darf nie wieder Krieg
Sondern nur noch Frieden ausgeh'n
Ob wir nun diesseits oder jenseits der Mauer steh'n
- Und die muß auch noch weg -

[Chorus]
Es war einmal ein Generalsekretär
Der liebte den Rock 'n' Roll so sehr
Gitarren statt Knarren
Und locker
So wie ein Rocker
Der Staatsratsmeister sprach zum ZK:
Nichts wird mehr so sein
Wie es mal war!
Von morgens bis abends ertönt die Schalmei
Und dann stoß' ich ihn aus
Den Indianerschrei!";"https://genius.com/Udo-lindenberg-der-generalsekretar-lyrics";"Released September 7, 1987
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"2";"Udo Lindenberg";"Ich lieb’ dich überhaupt nicht mehr";"Feuerland";"[Songtext zu „Ich lieb' dich überhaupt nicht mehr“]

[Strophe 1]
Es tut nicht mehr weh
Endlich nicht mehr weh
Wenn ich dich zufällig mal wiederseh'
Es ist mit egal
Sowas von egal
Und mein Puls geht ganz normal
Musst nicht glauben
Dass ich ohne dich nicht klarkomm'
Ich komm' sehr gut zurecht
Kannst ruhig glauben: all die ander'n Frauen
Die sind auch nicht schlecht

[Refrain 1]
Ich lieb' dich überhaupt nicht mehr
Das ist aus
Vorbei und lange her
Endlich geht's mir wieder gut
Und ich hab' jede menge Mut
Und ich steh' da richtig drüber

[Strophe 2]
Den Fernseher, den ich eingetreten hab'
Den hat die Versicherung voll bezahlt
Die Wohnung sieht jetzt anders aus
Nichts erinnert mehr an dich
Ich hab' alles knallbunt angemalt
Wenn ich manchmal nachts nicht schlafen kann
Geh' ich in die Kneipe und sauf' mir einen an
Du sagst, da wär' 'ne Trauer in meinem Gesicht
Was für'n Quatsch, das ist doch nur das Kneipenlicht

[Refrain 1]
Ich lieb' dich überhaupt nicht mehr
Das ist aus
Vorbei und lange her
Endlich geht's mir wieder gut
Und ich hab' jede menge Mut
Und ich steh' da richtig drüber

[Refrain 2]
Ich lieb' dich überhaupt nicht mehr
Das ist aus
Vorbei und lange her
Guck mich bitte nicht mehr so an
Fass mich bitte nicht mehr so an
Das zieht bei mir nicht mehr
Geh doch einfach weiter
Es hat keinen Zweck
Ey, du weißt doch
Sonst komm' ich da niemals drüber weg
Ich komm' da niemals drüber weg
Geh doch einfach weiter";"https://genius.com/Udo-lindenberg-ich-lieb-dich-uberhaupt-nicht-mehr-lyrics";"Released September 7, 1987
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"3";"Udo Lindenberg";"Der Lindische Ozean";"Feuerland";"Liebe ist Aufstand gegen den Tod
Und dass alles so vergänglich ist
Ich seh' das ewige Morgenrot
Wenn dein heißer Mund mich küsst

Liebe ist absolut unbescheiden
Und begnügt sich nicht mit dem Heute
Sie fordert nach Morgen und Übermorgen
Jedenfalls für manche Leute
Für mich - für dich?

Wir fahr'n, wir fahr'n
Auf dem lindischen Ozean

Noch schleudern wir den Anker
Noch machen wir nicht fest
Solange uns Poseidon nicht untergehen lässt
Ahoi!

Wir fahren und kämpfen gegen das Unrecht
Und was macht ihr - ihr da am Kai
Ihr seid die stumme Armee
Das schweigende Meer
Und wir fahr'n dran vorbei

Wir fahren durch die schwärzesten Zeiten
Und durch die tiefste Nacht
Und neue Stürme werden von uns immer wieder entfacht

Wir fahr´n, wir fahr´n
Auf dem lindischen Ozean

Noch schleudern wir den Anker
Noch machen wir nicht fest
Solange uns Poseidon nicht untergehen läßt
Wir fahren raus auf´s weite Meer

Durch Nebel und Taifun
Es kann ein radikales Herz
Nicht halbe Sachen tun
Ahoi! Ahoi!

Wir fahr´n, wir fahr´n";"https://genius.com/Udo-lindenberg-der-lindische-ozean-lyrics";"Released September 7, 1987
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"4";"Udo Lindenberg";"Wie ’n alter Freund";"Feuerland";"Ständig unterwegs, ist egal wohin
Mein Zuhause, das ist da, wo ich gerade bin
Bin der Wanderer, der vorübergeht
Bin der Sturm, der kommt und weiterweht

Ich bin immer nur so rumgestreunt
Plötzlich kamst du aus dem Regen
Wie ein alter Freund
Aus dem Regen
So wie ein alter Freund

Und nun steh' ich hier
Und krieg' weiche Knie
Ich muss es dir jetzt sagen
Doch ich weiß nicht wie

Ist ja schließlich so, dass ich nicht jeden Tag
Nach dem großen Halleluja für immer frag'
Nein, das ist kein Spruch
Und ich kann dir schwören

Hab' das nie gekannt
So richtig irgendwo hingehör'n
Da kamst du aus dem Regen
Wie ein alter Freund

Durch die Städte jagen
Und keiner weiß wohin
Leere Straßen, außer Atem
Bis ich bei dir bin

Mit allen ander'n, die vor die waren
Hab ich doch immer nur dich gemeint
Dann kamst du aus dem Regen
So wie ein alter Freund";"https://genius.com/Udo-lindenberg-wie-n-alter-freund-lyrics";"Released September 7, 1987
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"5";"Udo Lindenberg";"Eine Stadt (Billie’s Bounce)";"Feuerland";"Eine Stadt haben sie ausgelöscht
Irgendwo ging das Ding hoch
Eine Stadt haben sie ausgelöscht
Irgendwo ging so'n Ding hoch

Japan - China - USA

Ich weiß nicht mehr genau, wo das war
Ich hab's vorhin gehört im Radio
So nebenbei - so undeutlich - irgendwo
Eine Stadt haben sie ausgelöscht

Frankreich - England - Australia
Ich weiß nicht mehr genau, wo das war
Dann kam's auch noch auf Kanal Zwo
So nebenbei - so undeutlich - irgendwo
Eine Stadt haben sie ausgelöscht

Merry go round, merry go round
And the summer has just begun";"https://genius.com/Udo-lindenberg-eine-stadt-billies-bounce-lyrics";"Released September 7, 1987
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"6";"Udo Lindenberg";"Ein kommen und gehen";"Feuerland";"[Verse 1]
Auf dem Bahnsteig des Lebens
Fahren die Züge ein
Die eine steigt aus
Und die soll's für immer sein
Auf dem Bahnsteig des Lebens
Fahren die Züge wieder los
Tränen auf den Schienen
Die Liebe war so groß

[Chorus]
Ein Kommen und Gehen, ein Kommen und Gehen
Mit dem Koffer in der Hand
Und war es auch noch so schön
Ein Kommen und Gehn, ein Kommen und Gehn
Bis die Eine kommt, die mich umhaut
Wie ein Orkan, wie'n Orkan
So wie du

[Verse 2]
Züge fahren weiter
Ich versteh' die Welt nicht mehr
Sie winkt noch kurz am Fenster
Und ich heule mir die Seele leer...
Das ist das Ende, doch ein Freund sagt:
Du weißt doch ganz genau
Mit dem nächsten Zug, der einfährt
Kommt schon wieder
Eine andere Frau

[Chorus]
Ein Kommen und Gehen, ein Kommen und Gehen
Mit dem Koffer in der Hand
Und war es auch noch so schön
Ein Kommen und Gehn, ein Kommen und Gehn
Bis die Eine kommt, die mich umhaut
So wie du";"https://genius.com/Udo-lindenberg-ein-kommen-und-gehen-lyrics";"Released September 7, 1987
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"7";"Udo Lindenberg";"Augen in der Großstadt";"Feuerland";"Wenn du zur Arbeit gehst am frühen Morgen
Wenn du am Bahnhof stehst mit deinen Sorgen
Da zeigt die Stadt dir asphaltglatt
Im Menschentrichter

Millionen Gesichter
Zwei fremde Augen, ein kurzer Blick
Die Braue, Pupillen, die Lider
Was<U+205F>war<U+205F>das?<U+205F>Vielleicht dein Lebensglück
Vorbei,<U+205F>verweht, nie wieder

Du<U+205F>gehst dein Leben lang
Auf tausend Straßen
Du siehst auf deinem Gang, die
Dich vergaßen

Ein Auge winkt
Die Seele klingt
Du hast's gefunden
Nur für Sekunden

Zwei fremde Augen, ein kurzer Blick
Die Braue, Pupillen, die Lider
Was war das? Kein Mensch dreht die Zeit zurück
Vorbei, verweht, nie wieder

Du musst auf deinem Gang
Durch Städte wandern
Siehst einen Pulsschlag lang
Den fremden Andern

Kann ein Feind sein
Kann ein Freund sein
Kann im Kampfe dein Genosse sein

Zwei fremde Augen, ein kurzer Blick
Die Braue, Pupillen, die Lider
Was war das?
Was war das?
Vorbei, verweht, nie wieder";"https://genius.com/Udo-lindenberg-augen-in-der-grostadt-lyrics";"Released September 7, 1987
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"8";"Udo Lindenberg";"98 Luftballons";"Feuerland";"Hast du etwas Zeit für mich
Ohne Gummi mach' ich's nicht
Nur mit 98 Luftballons
Blausygel und auch Fronques

Ich geh' so gern mit dir ins Bett
Aber bitte kein russisches Roulette
Ich möcht' sehr gern noch weiterleben
Und darum sage ich dir eben

Hast du etwas Zeit für mich
Ohne Gummi mach' ich's nicht
Nur mit 98 Luftballons
Blausygel und auch Fronques

Ich geh' sehr gern mit dir ins Bett
Doch kein russisches Roulette
Ich möcht' so gern noch weiterleben
Und darum sage ich dir <U+0435>ben

Hast du etwas Zeit für mich
Ohn<U+0435> Gummi mach' ich's nicht
Nur mit 98 Luftballons
Blaue London short and long

Ich geh' sehr gern mit dir ins Bett
Aber bitte kein russisches Roulette
Ich möcht' so gern noch weiterleben
Und darum 98 Lustballons";"https://genius.com/Udo-lindenberg-98-luftballons-lyrics";"Released September 7, 1987
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"9";"Udo Lindenberg";"Rhythm-a-Ning (Raubtier)";"Feuerland";"Was machst denn du mit mir
Was machst denn du mit mir
Ich bin doch sonst ein Mensch
Jetzt fühl' ich mich wie'n Raubtier

Ich beiß' dir in das weiße Fleisch
Weiß gar nicht mehr, wie ich heiß
Du machst mich zum Raubtier

Tigerauge, du schaust mich an
Ich war ein schlafender Vulkan
Lava aus der Unterwelt
Und ein weißer Regen fällt

Was machst denn du mit mir
Was machst denn du mit mir
Ich bin doch sonst ein Mensch
Jetzt fühl' ich mich wie'n Raubtier";"https://genius.com/Udo-lindenberg-rhythm-a-ning-raubtier-lyrics";"Released September 7, 1987
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"10";"Udo Lindenberg";"Good Bye Jonny";"Feuerland";"Good bye, Jonny
Good bye, Jonny
Schön war's mit uns zwei'n
Aber leider, aber leider
Kann's nicht immer so sein

Good bye, Jonny
Good bye, Jonny
Mach's mir nicht so schwer
Ich muss weiter, immer weiter
Meinem Glück hinterher

Bricht uns auch heut'
Das Herz entzwei
In hundert Jahren, Jonny
Ist alles vorbei

Good bye, Jonny
Good bye, Jonny
Warst mein bester Freund
Eines Tages, eines Tages
Sind wir wieder vereint

Good bye, Jonny
Good bye, Jonny
Schön war's mit uns zwei'n
Aber leider, aber leider
Kann's nicht immer so sein

Good bye, Jonny
Good bye, Jonny
Mach's mir nicht so schwer
Ich muss weiter, immer weiter
Meinem Glück hinterher

Bricht uns auch heut'
Das Herz entzwei
In hundert Jahren, Jonny
Ist alles vorbei

Good bye, Jonny
Good bye, Jonny
Warst mein bester Freund
Eines Tages, eines Tages
Mag's im Himmel sein
Mag's beim Teufel sein
Sind wir wieder vereint";"https://genius.com/Udo-lindenberg-good-bye-jonny-lyrics";"Released September 7, 1987
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
