"","artist","title","album","text","url","metadata"
"1","Udo Lindenberg","Commander Superfinger","Gotterhammerung","Mit dem Galaxi-Taxi aus der fernen DimensionKam der Computerexperte - der DigitalspionEr sagt: Bei euch da unten läuft was falschMit eurer HeckmecktektektechnologieNachher beherrscht sie euch und nicht Ihr sie...!Commander Superfinger - Commander SuperfingerEs ist auf eurer Erde für alle alles daIhr müßt es nur anders verteilen, dann wär dochWirklich alles klarUnd schon macht er sich gesagt, getanAn die Computer der Banken und Börsen ranLegt seinen langen Finger auf die Sensoren draufUnd löst erstmal locker alle Konten aufDie ganze Kohle überweist er - hin und her - kreuz und querUnd ganz viel Geld in die Dritte, Vierte oder Fünfte WeltCommander Superfinger - Commander SuperfingerUnd nun schleicht er sich als SpionIn den Kreml und dann ins PentagonMit einem Knips an den Chips, mit 'nem Trick an den DatenUnd die Scheiß-Raketen können niemals startenSie fahren Stück für StückIn die Sperrmüllgarage zurückSie verschrotten sich von selber und zwar im NuUnd die Militärschweine gucken fassungslos zuSuperfinger tickt an die Raster, vertauscht mal kurz die DatenEr mischt der Welt erstmal neue KartenCommander SuperfingerUnd die großen Tiere dieser Welt sagen: Naninanunanü...Shit... jetzt läuft ja hier wohl gar nichts mehr - rien ne va plusEin wenig später geht der EliminatorIm BKA an den Karteikasten ranUnd überprüft die Akte von Ede SchlimmermannUnd dann bei Zastermann und Sohn stoppt er die totale AutomationAlles schreit: Geil, geil, geil, was hier passiertJetzt wird hier keiner mehr wegrationalisiert!
Commander SuperfingerDreht die tollsten Dinger mit dem magischen FingerCommander Superfinger(Und wenn er nicht kommt, der Commander, wat 'n dann?)","https://genius.com/Udo-lindenberg-commander-superfinger-lyrics","Released January 30, 1984
Producers

    
      Udo Lindenberg
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"2","Udo Lindenberg","Russen","Götterhämmerung","[Refrain]In 15 Minuten sind die Russen auf dem KurfürstendammIn 15 Minuten sind die Russen auf dem KurfürstendammSie lassen ihre Panzer im Parkhaus stehnUnd wollen im Cafe Kranzler die Sahnetörtchen sehnIn 15 Minuten sind die Russen auf dem Kurfürstendamm[Strophe 1]Sie kommen uns besuchen, einfach nur mal soAuf Kaffeechen und Kuchen und 'n Fläschchen PikkoloEin Wessi spricht: Ey, vergessen Sie nichtDer Russe, der ist schlecht!Ich frag: Welcher denn? Das sind doch mehrere -Tja, da hätt ich ja nun auch wieder recht . [Strophe 2]Sie bringen auch Geschenke mitFür die Mädels und die FreierKaviar und Wodka und russische EierDas KaDeWe wird Partysitz vom KGBUnd das Politbüro am Bahnhof ZooWird Separee mit ner feschen Lola auf dem Kanapee[Refrain]In 15 Minuten sind die Russen auf dem KurfürstendammSie lassen ihre Panzer im Parkhaus stehnUnd wollen im Cafe Kranzler die Sahnetörtchen sehnIn 15 Minuten sind die Russen auf dem Kurfürstendamm[Strophe 3]Ein junger Rotarmist ist von den Fraun hier sehr fasziniertWorauf er mal ganz locker eben easy desertiertNun sitzt er mit nem Berliner Kindel im dicken DaimlerschlittenUnd knabbert ganz verträumt an süßen NougatschnittenUnd überhaupt ist alles volle SahneWeil man sich so prima verstehtUnd die Russen sind ja gar nicht soWie immer in der Zeitung stehtUnd die Leute schleppen was zu Saufen ranUnd sie ballern sich einen reinUnd mit den leeren Flaschen schmeißen die RussenUnsere schöne Mauer ein . [Outro]In 15 Minuten sind die Russen auf dem Kurfürstendamm","https://genius.com/Udo-lindenberg-russen-lyrics","Released January 30, 1984
Producers

    
      Udo Lindenberg
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"3","Udo Lindenberg","Narkosegespenst","Gotterhammerung","Das Narkosegespenst geht um im LandMit dem großen Dröhnekoffer in der HandVerteilt Relaxium-rauscho-easylin und zu saufen jede MengeUnd dann seh ich die ganzen No-future-TypenUnd das ganze DurchgehängeDas Narkosegespenst präsentiert seinen KundenkreisIm Betäubungs-TV die Coolhalte-SchauWas ich nicht weiß, macht mich nicht heißAber jed<U+0435> Sekunde kann's passier<U+0435>nDaß sich die Menschheit selber killtUnd dann werden wir verseucht, versaftetUnd mal eben kurz durchgegrilltDa gab's mal einen Film von James BondDer hieß: Man lebt nur zweimalDa kann ich doch nur lachen, wenn ich willNein, ich leb sechsmalDenn wir haben ja auch sechsfachen OverkillSechsmal soviel Power - sechsmal soviel fightenMit Gleitcreme an den Sohlen durch die Abenteuer gleitenDas Narkosegespenst nimmt den Leuten den Horror abOpium fürs Volk, Zuckerbrot und SpieleUnd das macht sie alle so schlappNarkosegespenst, mich kriegst du nicht, trotz Raketen überallIch kann doch mein Leben nicht schon jetzt aufgebenUnd nur noch warten auf den großen KnallDa gab's mal einen Film von James BondDer hieß: Man lebt nur zweimalDa kann ich doch nur lachen, wenn ich willNein, ich leb sechsmal, denn wir haben ja auch sechsfachen OverkillSechsmal soviel Liebe - sechsmal soviel SexIch bin ne Blume an der dunklen MauerEin Wiederstandsgewächs","https://genius.com/Udo-lindenberg-narkosegespenst-lyrics","Released January 30, 1984
Producers

    
      Udo Lindenberg
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"4","Udo Lindenberg","Gerhard Gnadenlos","Gotterhammerung","Mit zitternden Händen hält sie den eingeschriebenen BriefUnd ihr Herz hämmert los und wühlt im Magen ganz tiefDer Brief kam heute Mittag, und die Tränen sind so großDer Brief von ihrer<U+205F>größten<U+205F>Liebe,<U+205F>von Herrn Gerhard<U+205F>GnadenlosBetrifft: Gefühle fest<U+205F>im GriffIch bezieh' mich diesbezüglichAuf die Zeit, die sehr v<U+0435>rgnüglichIhr geschätztes Angebot, mit mir durchs L<U+0435>ben zu gehenHab' ich sorgfältig geprüft - nein, das geht mir doch zu weitAlso abschlägiger BescheidIch bitte, das zu verstehenSekretärin:""Chef, wenn Sie dann bitte weiterdiktieren würdenUnd brauchen Sie noch eine Abschrift?""Zur Abwendung der FirmenpleiteSchieb' ich Herzenssachen besser zur SeiteFür einen Mann in meiner PositionIst es besser, er bleibt ohneWir kommen vielleicht gelegentlich nochmal auf Sie zurückBis dahin wünschen wir Ihnen das volle große GlückUnd helfen Ihnen gerne nach KräftenBei Ihren künftigen GefühlsgeschäftenMein Herz ist total vereist(nach Diktat verreist)","https://genius.com/Udo-lindenberg-gerhard-gnadenlos-lyrics","Released January 30, 1984
Producers

    
      Udo Lindenberg
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"5","Udo Lindenberg","Sie wollte Liebe","Gotterhammerung","Ihre Eltern schliefen nebenan und sie lag noch wachWie verschollen im arktischen Eis - abgeschoben aufs AbstellgleisNein, keiner hörte ihr S.O.S., so verzweifelt sie auch riefIhren Schrei unter Wasser, tausend Meter tiefSie wollte Liebe - und kriegte TaschengeldSie wollte Wärme - und die Heizung wurde angestelltSie wollte reden - und kriegt 'n VideospielDann fragen Kinder nicht so vielSie wollte Freundschaft mit ihren Eltern - doch sie kriegte nurBefehle und Kommandos, rund um die UhrGab's in der Schule für die eigene Meinung mal 'n blauen BriefWurden die Alten statt zu helfen aggressivUnd sie sagt: Good bye, Good bye, bye bye, bye-byeGood bye! Good bye! Good bye!Ihr Mann schnarchte neben ihr, und sie lag noch wachWie verschollen im arktischen Eis - abgeschoben aufs AbstellgleisNein, er hörte nicht ihr S.O.S., so verzweifelt sie auch riefIhren Schrei unter Wasser, tausend Meter tiefSie wollte Liebe - und kriegt' drei neue SchecksSie wollte Zärtlichkeit - und er verlangte SexSie wollte reden - er sagt: ""Ja, aber nicht sofortDenn im Fernsehen gibt's das Neueste vom Sport""Sie wollte 'ne Familie - und keinen kalten KriegSie wollte einen Mann - und keinen BusinessfreakDer nur von der Firma und vom Kohlemachen sprichtNur zum Schlafen zu Haus ist und sonst nichtUnd sie sagt: Good bye, Good bye, bye bye, bye-byeGood bye! Good bye! Good bye!","https://genius.com/Udo-lindenberg-sie-wollte-liebe-lyrics","Released January 30, 1984
Producers

    
      Udo Lindenberg
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"6","Udo Lindenberg","Hallo DDR","Gotterhammerung","Die Vopos lächeln freundlichUnd gucken kaum in den PassUnd sie sagen: ""Keine Panik"", und sie wünschen uns viel SpaßUnd der Bandbus gleitet weiterDenn ostwärts geht die FahrtUnd wir reiten ein zu unserer ersten TourneeIn den Hammer-und-Sichel-StaatUnd jetzt ist endlich Schluss mit der WartereiIm Sommer '84 kommen wir vorbeiUnd Edu von Schnitzler im ""Schwarzen Kanal""Sagt: ""Genossen, das ist j<U+0435>tzt alles völlig normal""Oh yeah - wir rocken und roll<U+0435>n durch die DDROh yeah - und diesmal nicht nur im TransitverkehrOh yeah - wir rocken und rollen durch die DDROh yeah - wir machen richtig los, und es tanzt der Berliner BärWir kommen angerattertDie Roadies sind schon daUnd sie machen den MikrofonschleudertestUnd die Bühne klarSteffi spielt den Exzessor-BassUnd es trommelt der grenzenlose Berte BlassUnd auch Hannes, Olaf, Hendrik und JacquesSind heute ganz besonders auf ZackDann knipsen wir die Lightshow anIn der AbenddämmerungUnd das Panik-Orchester ballert die absolute GötterhämmerungOh yeah - wir rocken und rollen durch die DDROh yeah - und diesmal nicht nur im TransitverkehrHallo Dresden, hallo Jena - wir rocken und rollen durch die DDRHallo Rostock, hallo Leipzig - und es tanzt der Panik-BärHallo Weimar, Karl-Marx-StadtHallo Frankfurt, Halle, MagdeburgHallo Berlin, hallo Zwickau","https://genius.com/Udo-lindenberg-hallo-ddr-lyrics","Released January 30, 1984
Producers

    
      Udo Lindenberg
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"7","Udo Lindenberg","Nonnen","Gotterhammerung","Nonnen - sie wohnen in KlosternUnd das nicht nur zu OsternMit dem Papst auf den PosternUnd den Hostien in den ToasternNonnen - sie tragen schwarze KlamottenUnd jetzt fangen sie an zu hottenMit ihren kleinen weißen HäubchenSind sie nicht süße, heiße TäubchenDie fröhliche Botschaft muss raus an die LeuteDas wissen progressive Nonnen heut<U+0435>Und was soll'n sie auch versauernHint<U+0435>r grauen Klostermauern?Nonnen - immer fromm und heiligAuf die Dauer langweiligDen Rosenkranz immer rauf und runterImmer runter und raufDa haben sie keinen Trieb mehr draufNonnen - nein, sie wollen nicht mehr versauernHinter dunklen KlostermauernSie geben ihr weltliches DebutIn einer hochgepriesenen Rock'n'Roll RevueSie hieven die Röckchen, sie heben die BeineSie wollen, dass uns der highlige Geist erscheineSie lassen den Funky-Choral erklingenUnd wir hören die süßen Nönnchen singen:Hallelulja, hallelulja, hallelulja, yeahaaah!","https://genius.com/Udo-lindenberg-nonnen-lyrics","Released January 30, 1984
Producers

    
      Udo Lindenberg
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"8","Udo Lindenberg","Extremisten","Gotterhammerung","Du sagst: Was soll'n wir noch redenEs wäre fest beschlossenUnd ich merkte, du hattest die süße SuchtSchon voll in mich reingeschossenIch wollte noch schrei'n:Für so'n Mund braucht man doch 'nen WaffenscheinDoch du murmeltest was von ""illegal""Dann umarmten wir uns, als wär´s das letzte MalSo wie du mich berührt hastSo wie du mich verführt hastUnd ich sofort in hellen Flammen standUnd als wir uns küssten - radikale ExtremistenWie Verdurstende nach Monaten im heiß<U+0435>n WüstensandSo wie Du mich ansahstIch merkt<U+0435> sofortDa galten dieselben Gesetze für unsWir waren uns einig - ohne ein WortWenn du was willst, dann gibt´s keine FragenDann gehst du los und holst es dirIch bin genauso deshalb gehör' ich zu dirUnd du zu mirSo wie du mich berührt hastSo wie du mich verführt hastUnd ich sofort in hellen Flammen standUnd als wir uns küssten - radikale ExtremistenWie Verdurstende nach Monaten im heißen Wüstensand","https://genius.com/Udo-lindenberg-extremisten-lyrics","Released January 30, 1984
Producers

    
      Udo Lindenberg
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"9","Udo Lindenberg","Sie brauchen keinen Führer","Götterhämmerung","[Verse 1]In der U-Bahn kreisen SprücheUnd die Sprüche sind nicht neuVor 50 Jahren klang das ähnlichUnd war im Sinne der Partei[Verse 2]In den Kneipen erzählen sie WitzeBrutale Witze und lachen kaltUnd sie beschließen, wer ihnen den Job klautWird vergast oder abgeknallt[Verse 3]Auf dem Schulhof spielen die Kinder""Türke und Gendarm""Und in der Klasse, getrennt nach RasseIm Geschichtsunterricht gähnen sie lahm[Verse 4]Auf den Straßen und im FußballstadionFangen sie wieder an zu schreinUnd dann schmeißen grölende Germanen-GangsGranaten in die Kebab-Läden rein[Verse 5]...Und viele sagen immer noch:So schlimm ist das doch wirklich nichtEs ist doch hier weit und breitKein neues Drittes Reich in Sicht[Chorus]Nein, sie brauchen keinen FührerNein, sie können's jetzt auch alleineNein, sie brauchen ihn nicht mehrDiese neuen Nazi-SchweineUnd keine braune UniformDie Klamotten sind jetzt buntDoch die gleiche kalte KotzeSchwappt ihnen wieder aus dem MundSie marschieren nicht in der ReiheDoch die Front steht wie ein MannJa, früher waren's die JudenUnd heute sind die Türken dran
[Bridge]...Und viele sagen immer noch:Das wird sich niemals wiederholen!Aber seht ihr denn nicht an den HäuserwändenDieselben alten neuen Parolen?[Chorus]Nein, sie brauchen keinen FührerNein, sie können's jetzt auch alleineNein, sie brauchen ihn nicht mehrDiese neuen Nazi-SchweineUnd den hocherhobenen KopfUnd den deutschen HerrenblickLassen sie niederschmetternd wirkenAuf Untermenschen und sonstige TürkenSie marschieren nicht in der ReiheDoch die Front steht wie ein MannJa, früher waren's die JudenUnd heute sind die Türken dranNein, sie brauchen keinen FührerNein, sie können's jetzt auch alleineNein, sie brauchen ihn nicht mehrDiese neuen Nazi-SchweineUnd den hocherhobenen Kopf","https://genius.com/Udo-lindenberg-sie-brauchen-keinen-fuhrer-lyrics","Released January 30, 1984
Producers

    
      Udo Lindenberg
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"10","Udo Lindenberg","I Love Me Selber","Götterhämmerung","[Verse 1]Ich hab 'ne Loveaffair mit einem HerrnGenau der Typ, auf den ich steh'Verläßt mich nie - hat mich so gernIst immer für mich da - tut mir niemals wehDieser Typ, der bin ichEwiger Schwur - ich liebe michIch halt' die Versprechen, die ich mir gebeUnd bleib' bei mir, so lange ich lebe[Verse 2]Wenn ich früher eine richtig göttlich fandGab ich mich voll und ganz in ihre HandWie 'n Klammeraffe hing ich dannVoll süchtig an der Dame dranUnd wenn dann wieder mal Ende warAuf der Sterbematratze, plötzlich wurd' mir klarDas totale Tilt darf es niemals mehr gebenKünftig geb' ich mein Herz, aber nicht mehr mein Leben[Chorus]Da lieb' ich mich doch erstmal selber - I love meIch lieb' mich einfach unverstellbar - I love meDrum prüfe, bevor man sich so radikalo bindetDaß man sich selber erstmal spitze findetDa lieb' ich mich doch erstmal selber - I love me - I love me[Verse 3]Liebe ist wie'n KartenhausWenn's togehter bricht, knockt mich das ausUnd dann zählen sie: 7, 8, 9, 10Und ich denk', ich kann niemals wieder aufsteh'nNein, ich muß der Trumpf sein, die wichtigste KarteAuf der das alles stehtUnd die kann mir keiner wegzieh'nIndem er schmählich von mir geht[Chorus]Da lieb' ich mich doch erstmal selber, - I love meIch lieb' mich einfach unvorstellbar - I love meDrum prüfe, bevor man sich so radikalo bindetDaß man sich selber erstmal spitze findetDa lieb' ich mich doch erstmal selber - I love me - I love meJa, der Trick ist, das begreif ich schnellNicht hetero-, nicht homo-, sondern autosexuellI love me - he loves he
[Outro]Ja, der Trick ist, das begreif ich schnellNicht hetero-, nicht homo-, sondern autosexuellI love me - he loves he","https://genius.com/Udo-lindenberg-i-love-me-selber-lyrics","Released January 30, 1984
Producers

    
      Udo Lindenberg
Writers

    
      Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
