"";"artist";"title";"album";"text";"url";"metadata"
"1";"Udo Lindenberg";"Ich will Dich haben";"Ich will dich haben";"[Strophe 1]Du bist die schärfste Frau der WeltSowas wie dich hatt ich immer schon bestelltJetzt bist du da, doch so cool, dass ich frierDer Tag wird kommen, da wirst du schreien nach mirDu wirst erbleichen, wenn ich dich dann kriegErweichen - denn dein Schicksal bin ichEy mach hier nicht auf blind und zickigEs kommt die Nacht und ich beglück dich[Refrain]Ich will dich haben für mich ganz alleinUnd wenn ein andrer kommt, hau ich dem eine reinIch will dich haben für mich alleinSo ist es richtig, so muss es sein[Strophe 2]Ich gestehe es gern - meine Damen und HerrenIn dieser Hinsicht bin ich nicht so modernHab keine Lust - am Telefon zu sitzenAls Eifersuchtsaffe da stundenlang abzuschwitzenIch hasse das abgrundtiefIch liebe es nur exclusiv1.000 Typen wollen mit dir die TatDoch es gibt nur einen, der das Recht darauf hat[Refrain]Ich will dich haben für mich ganz alleinUnd wenn ein anderer kommt, hau ich dem eine reinIch will dich haben für mich alleinSo ist es richtig - so muss es sein[Bridge]Und wenn du ehrlich bist - siehst'e das ein[Refrain]Ich will dich haben für mich ganz alleinUnd wenn ein anderer kommt, hau ich dem eine reinIch will dich haben für mich alleinSo ist es richtig - so muss es sein";"https://genius.com/Udo-lindenberg-ich-will-dich-haben-lyrics";"Released February 21, 1991"
"2";"Udo Lindenberg";"Einmal küssen und dann sterben";"Ich will dich haben";"War ein kleiner JungeWünschte mir so sehrSo'n feuerrotes AutoDanach kommt gar nichts mehrAls das Ding dann da warMann, war ich verknalltDoch nach ein paar Tagen schonLieß es mich ziemlich kaltEy, kennst du das?Wie einmal küssen und dann sterbenWeil danach nichts mehr kommen kannDoch dann fängt schon wieder was ganz Neues anEinmal küssen und dann sterbenSelbst nach der schärfsten SensationIst noch lange nicht Schluss - nein da seh' ich schonDie nächste Wahnsinns-DimensionDann di<U+0435> erste Lieb<U+0435>Mensch, hab' ich gebranntIch war sooo angetörntNur noch im Fünfeck rumgeranntWir hatten große ZeitenDoch dann wurd' es hartDas Ende einer Liebe ist wie'n TodAber auch ein neuer StartSie einmal küssen und dann sterbenWeil danach nichts mehr kommen kannDoch dann fängt schon wieder was ganz Neues anEinmal küssen und dann sterbenSelbst nach der schärfsten SensationIst noch lange nicht Schluss - nein da seh' ich schonDie nächste Wahnsinns-DimensionUnd irgendwann als alter IndianerWenn ich denk', ich hab's gechecktUnd den einzig richtigen Weg entdecktDie Weisheit küssen und dann sterbenWeil danach nichts mehr kommen kannDoch dann fängt schon wieder was ganz neues an";"https://genius.com/Udo-lindenberg-einmal-kussen-und-dann-sterben-lyrics";"Released February 21, 1991"
"3";"Udo Lindenberg";"Ali 2 (Naziland ist abgebrannt)";"Ich will Dich haben";"Ali, was haben die gemachtDu liegst da jetzt seit Tagen schonAuf der IntensivstationDer Arzt sagt: Das war knappEy, mach jetzt bloß nicht schlapp!Ali, was war das für 'n SchockDie sind mit sechs Mann auf dich losWarum denn bloßDie kennen dich doch gar nichtUnd treten dir ins GesichtDiese kurzgeschorenen BrutalosMit dem Messer in der HandDie kämpfen für's ewige GesternIhr Naziland ist abgebranntAli, wir müssen da jetzt durchUnd dann darf sowas nie wieder passier'nIch will dich nicht v<U+0435>rlier'nDas mit uns muss weiterg<U+0435>h'nUnd da darf keiner zwischensteh'nDiese kurzgeschorenen BrutalosMit dem Messer in der HandDie kämpfen für's ewige GesternIhr Naziland ist abgebranntDiese kurzgeschorenen BrutalosMit dem Messer in der HandDie müssen jetzt endlich begreifenIhr Naziland ist abgebrannt";"https://genius.com/Udo-lindenberg-ali-2-naziland-ist-abgebrannt-lyrics";"Released February 21, 1991"
"4";"Udo Lindenberg";"Renate von Stich";"Ich will Dich haben";"""Wir begrüßen Sie ganz herzlich zu unserem AbendprogrammBei uns sitzen Sie immer ganz nah dran!""Ich komm' nach Haus, so gegen achtDa wird der Fernseher erstmal angemachtEs ist ganz kurz vor der TagesschauDa seh' ich sie wieder, meine ÜberfrauIch knöpf' mir erstmal die Hose aufDann nimmt das Schicksal seinen LaufJetzt näher ran ans FlimmerbildFang' an zu schielen, ich werd' ganz wildEs wird vorm Fernseher rumg<U+0435>rutschtEs wird am Bildschirm rumgelutschtEs wird das Mädel durchgeknutschtR<U+0435>nate von Stich - ich kann so gut auf dich""Hier ist der Verkehrsfunk:Starker Verkehr in HamburgUnd um Hamburg herumIn den Stoßzeiten kann es zu Engpässen kommen""Dann wird sie auf Video aufgenommenUnd wieder, schon wieder ist es mir gekommenOder wenn ich mal nicht richtig kannSpul' ich zurück und fang' von vorne anZwischendurch in meiner NotSchmier' ich mir 'n KäsebrotUnd dann mit neuer EnergieBaby, du zwingst mich in die KnieNäher ran ans FlimmerbildFang' an zu schielen und ich werd' ganz wildEs wird vorm Fernseher rumgerutschtEs wird am Bildschirm rumgelutschtEs wird das Mädel durchgeknutschtPlitsch - Platsch, war war'n dasUnd der Teppich ist ganz nassRenate von Stich, ich kann so gut auf dichRenate von Stich, ich kann so gut auf dichIch kann so gut auf dich
""Die weiteren Wetteraussichten:Starke NiederschlägeFür die Jahreszeit zu feuchtBei fallenden TemperaturenStellenweise Hodenfrost""";"https://genius.com/Udo-lindenberg-renate-von-stich-lyrics";"Released February 21, 1991"
"5";"Udo Lindenberg";"Geh nicht weg";"Ich will Dich haben";"Jetzt packst du deinen KofferEy, willst du wirklich geh'n?Das kannste doch nicht machenLass uns doch lieber wieder drübersteh’nDer Streit vorhin war blödeTut mir wirklich leidDu weißt doch, du bist meine SonneFür mindestens 'ne EwigkeitBitte geh nicht weg, geh nicht wegDu bist doch meine SonneBitte geh nicht weg, geh nicht wegSo kalte Nächte kommenWenn du gehstHimmel ohne SterneMeere ohne StrandWas macht der Wind, wenn er nicht wehtUnd die Wüste ohne Sand?Und was bin ich ohne dichWenn ich dich jetzt verlier'?Du kannst mich nicht alleine lassenEs sei denn, du willst, dass ich krepier’Bitte geh nicht weg, geh nicht wegDu bist doch meine SonneBitte geh nicht weg, geh nicht wegSo kalte Nächte kommenWenn du gehstSchieß mich nicht hoch zu den toten PlanetenDie schon längst erloschen sindDa oben würd' ich schreien nach dirWie ein hilfloses KindBitte geh nicht weg, geh nicht wegDu bist doch meine SonneBitte geh nicht weg, geh nicht wegSo kalte Nächte kommen ohne dich
Geh nicht weg, geh nicht wegBleib für immer bei mirBleib doch hier";"https://genius.com/Udo-lindenberg-geh-nicht-weg-lyrics";"Released February 21, 1991"
"6";"Udo Lindenberg";"Metropolis";"Ich will Dich haben";"Über'm Horizont wird der Himmel ganz hellDa liegt die Stadt, die nie schläft und mein Herz geht schnellFerne fremde City, wo keiner mich kenntDa läuft Alles oder Nichts - ganz konsequentUnd ich muss da jetzt hinIch komme, um zu gewinnenMetropolis - MetropolisMit 'nem kugelsicheren weißen CadillacMetropolis - MetropolisGoldene Schüsse - und H und Koks und CrackDas letzte Paradies und totaler DreckZuerst verdammt allein - harte Zeiten für michDoch dann find' ich 'nen Freund, der so drauf ist wie ichDann sind wir die Ratten, die jedem Gift entgeh'nWir kämpfen uns nach oben - wollen die Sonne seh'nWir machen die StadtZu unserer StadtMetropolis - MetropolisKugelsichere weiße CadillacsMetropolis - MetropolisGoldene Schüsse und positiver SexDas letzte Paradies und totaler DreckMetropolis - MetropolisCadillacs auf dem Luxus boulevardMetropolis - MetropolisEndstation in der letzten Junkie-BarMetropolis - MetropolisDie legen dich um für nur einen DollarMetropolis - MetropolisAn jeder Ecke lauert die GefahrIch muss da jetzt hinIch komme, um zu gewinnen";"https://genius.com/Udo-lindenberg-metropolis-lyrics";"Released February 21, 1991"
"7";"Udo Lindenberg";"Ein Herz kann man nicht reparieren";"Ich will Dich haben";"[Strophe 1]Hör mir jetzt mal zu, lass mich jetzt in Ruh'Und ruf mich nicht mehr anIch hab' keine Zeit - nicht gestern und nicht heut', nicht morgen und nicht irgendwannMach dir endlich klar, es ist nicht mehr, es warDu musst das kapier'n, eins wird nicht passier'nMich kriegste nicht zurückZieh doch einfach los, das Angebot ist großGreif dir'n neues GlückJeglichen Verkehr, will ich mit dir nicht mehr[Refrain]Ein Herz kann man nicht reparier'n, ist es einmal in zwei, dann ist alles vorbeiEin Herz kann man nicht reparier'n, niemand weiß wie das geht, es ist meistens zu spätEin Herz kann man nicht reparier'n, da hilft keine Kur, da rinnen Tränen nurEin Herz kann man nicht reparier'n, alles bleibt leer und auch der Arzt hilft nicht mehr[Strophe 2]Jeglichen Verkehr, will ich mit dir nicht mehrKniest dich vor mich hin, hat doch keinen SinnMich kriegste nicht mehr rumZieh dich wieder an, ich lass dich nicht mehr ranUnd mach dich doch hier nicht krummWenn ich dich so seh', aua, das tut weh[Refrain]Ein Herz kann man nicht reparier'n, ist es einmal in zwei, dann ist alles vorbeiEin Herz kann man nicht reparier'n, niemand weiß wie das geht, es ist meistens zu spätEin Herz kann man nicht reparier'n, da hilft keine Kur, da rinnen Tränen nurEin Herz kann man nicht reparier'n, alles bleibt leer und auch der Arzt hilft nicht mehr[Outro]Doch irgendwann wird sie vor mir steh'n, die Frau mit derZaubermedizin und sie sagt: „Kleiner, ey, lass mich mal seh'n. Ich glaub' das kriegen wir wieder hin.“Ein Herz, das kann man reparier'n und geht's mal in Zwei, ist es längst nicht vorbeiEin Herz, das kann man reparier'n, ich weiß wie das geht, es ist niemals zu spätEin Herz, das kann man reparier'n, ich kenn da 'ne Kur, hilft küssen nurEin Herz, das kann man reparier'n, ist doch gar nicht schwer und 'n Arzt brauchen wir nicht mehr";"https://genius.com/Udo-lindenberg-ein-herz-kann-man-nicht-reparieren-lyrics";"Released February 21, 1991"
"8";"Udo Lindenberg";"Benedictum - Benedactum";"Ich will Dich haben";"Das Telefon im VatikanThomas Gottschalk ruft da anEr lädt den Papst ganz locker einBei 'Wetten dass' mal dabei zu seinWeil der Papst is 'n Hammer, ist enorm auf ZackEr erkennt 50 Länder an ihrem Geschmack, oh yeahWeil er doch ständig den Boden abküsstJa, da weiß er immer gleich, wo er istBenedictum - bene benedactumEs läuft hier heute alles wieder nackt rumUnd wenn er das sieht, der heilige VaterDann macht er TheaterDer weiße Blitz aus RomKeine Pille, kein KondomHallelujaEr fährt so gern in der Welt herumIn seinem Papst-AquariumMacht WinkewinkeGuckt in den HimmelUnd streichelt zärtlich seinen HirtenstabEr sagt: Die Röcke langDie Hosen bleiben zuDas muntere GevögelDas ist hier ein Tabu!Es sei denn im Dunkeln und ganz geschwindGezeuget sei das KatholenkindBenedictum - bene benedactumEs läuft hier heute alles wieder nackt rumUnd wenn sie schon nicht wissenWohin mit ihrem SamenDann bumsen sie doch 'ne RundeIn Gottes NamenDer weiße Blitz aus RomKeine Pille, kein KondomHalleluja";"https://genius.com/Udo-lindenberg-benedictum-benedactum-lyrics";"Released February 21, 1991"
"9";"Udo Lindenberg";"Der Countdown läuft";"Ich will Dich haben";"Als ich Dich gesehen hab'Das erste MalWar der Blick 'n Tick zu langWar wie'n Signal - totalIch hab geglaubt, ich wär so coolUnd mal wieder freiUnd dachte einfach weitergeh'nDas geht schon vorbeiZu spät, ich kann das nicht mehr anhaltenDer Countdown läuft, ich bin verrückt nach DirGibt kein Zurück mehr, du gehörst zu mirEs ist doch ganz klar, an dir komm' ich nicht vorbeiDer Countdown läuft, ich bin verrückt nach DirGibt kein Zurück mehr, du gehörst zu mirEs ist doch ganz klar, an dir komm' ich nicht vorbeiAls Gott den Stahl erfandHat er an dich gedachtDenn, wenn du was willstDann wird das auch gemacht - stahlhartUnd als Gott den Samt erfandHast du ihn inspiriertBist der Stoff aus dem Träume sindGanz weich und ganz schön raffiniertDu bist beides: hart und zärtlichDer Countdown läuft, ich bin verrückt nach DirGibt kein Zurück mehr, du gehörst zu mirEs ist doch ganz klar an dir komm' ich nicht vorbei90 000 Sekunden täglich für Dich daMindestens 1000 Tage jedes JahrUnd ich sag' dir auch an mirKommst du nicht vorbei";"https://genius.com/Udo-lindenberg-der-countdown-lauft-lyrics";"Released February 21, 1991"
"10";"Udo Lindenberg";"Madonna";"Ich will Dich haben";"Madonna, du hast so'n traurigen BlickIn Zeiten wie diesen ist Heiligsein schwerMadonna oder ist das bloß 'n TrickUnd hinter der Fassade bist du hohl und leer?Madonna, sie sind hinter dir herIch weiß nicht mal werDoch ich hol' dich da rausMadonna, ich verehrte dich sehrGefallener Engel, komm' mit zu mir nach Haus'Madonna Madonna MadonnaMit den zwei Gesichtern, sie zieht dich in ihren BannMadonna Madonna MadonnaKeiner kennt ihr Geheimnis, so fängt es immer anMadonna Madonna MadonnaSie verspricht dir alles, ihr Lachen so weiß wie SchneeMadonna Madonna MadonnaSie is 'n eiskalter Engel und ihre Liebe tut wehMadonna, harte Männer glauben an dichMadonna, fallen vor dir auf die KnieMadonna, du zeigst dein frommes GesichtDoch deine Seele, die zeigst du nieMadonna Madonna MadonnaMit den zwei Gesichtern, sie zieht dich in ihren BannMadonna Madonna MadonnaKeiner kennt ihr Geheimnis, so fängt es immer anMadonna Madonna MadonnaSie verspricht dir alles, ihr Lachen so weiß wie SchneeMadonna Madonna MadonnaSie is 'n eiskalter Engel und ihre Liebe tut weh";"https://genius.com/Udo-lindenberg-madonna-lyrics";"Released February 21, 1991"
