"";"artist";"title";"album";"text";"url";"metadata"
"1";"Udo Lindenberg";"Ich will den Platz in meinem Herzen neu vermieten";"Kosmos";"Du bist eingezogen, als mein Herz gerade frei war
Plötzlich lag deine Zahnbürste da
Und dann das erste T-Shirt
Hat mich eigentlich nicht gestört
Genau genommen: Ich fand das ganz wunderbar

Doch nach und nach hast du dich überall breitgemacht
Herzbesetzung - nicht ganz legal
Miete hast du nie bezahlt, aber mit der Tür geknallt
Bis überall Risse in den Wänden war'n

Ich will den Platz in meinem Herzen neu vermieten
Wann holst du deine Sachen endlich ab bei mir?
Es sind noch so'n paar zärtliche Gedanken
Die ich hin und wieder für dich verspür'

Ich will den Platz in meinem Herzen neu vermieten
Doch unterm Teppich, da liegt noch so'n Gefühl
Nicht besonders groß und nicht besonders intensiv
Aber irgendwie ein Gefühl zu viel

Mein Herz steht leer - bis es renoviert wird
Ist ja auch ziemlich verwohnt und ganz schön ramponiert
Und dein Name steht noch an der Tür
Als wohntest du noch immer hier
Doch was, wenn sich jemand Neues
Für mein Herz interessiert?

Ich will den Platz in meinem Herzen neu vermieten
Wann holst du deine Sachen endlich ab bei mir?
Es sind noch so'n paar zärtliche Gendanken
Die ich hin und wieder für dich verspür'

Ich will den Platz in meinem Herzen neu vermieten
Doch unterm Teppich, da liegt noch so'n Gefühl
Nicht besonders groß und nicht besonders intensiv
Aber irgendwie ein Gefühl zu viel";"https://genius.com/Udo-lindenberg-ich-will-den-platz-in-meinem-herzen-neu-vermieten-lyrics";"Released May 29, 1995"
"2";"Udo Lindenberg";"Brief an den Jungen, der ich vor 30 Jahren war";"Kosmos";"Junge, Junge, stolz und schön
Du Traumtänzer in deinen frühen Jahren
Mit deiner besseren Welt in der falschen Welt
Love and Peace an der Jacke, und hippieroten Haaren

Ein Feuer gegen die Dunkelheit
Ein flammender Rebell
Und wenn die Welt zu düster ist
Dann machen wir sie ebеn hell

Die Liebе war groß und hörte niemals auf
Und jedes Mal für immer
Die Treue war ewig, da schworst du drauf
Und keine Tricks mit gekreuztem Finger

Und was für'n sentimentaler Hund
Du weintest heimlich im Kino
Und du wolltest so sein
Wie in deinen besten Träumen
Und 'n bisschen so wie Robert de Niro

Und ich schreib' diesen Brief
An den Jungen, der ich vor dreißig Jahren war
Manchmal ein bisschen vergessen
Aber heute Nacht biste wieder richtig da

Und ich schreib' diesen Brief an den Jungen
Keine Adresse - wo schick' ich ihn bloß hin?
Ich steck' ihn einfach in die Tasche
Weil ich dieser Junge doch selber bin

Und alles neu und zum ersten Mal
Und gar nichts ließ dich kalt
Und erwachsen und cool werden wolltest du nie
Und überhaupt, du wirst nie richtig alt

Und Hermine und Gustav
Sie waren oft genervt
Wegen deiner Verrücktheiten
Doch 'n bisschen später lachtet ihr drüber
Und wusstet: das sind jetzt die guten Zeiten

Und ich schreib' diesen Brief
An den Jungen, der ich vor dreißig Jahren war
Manchmal so'n bisschen vergessen
Aber heute Nacht biste wieder richtig da

Und ich schreib' diesen Brief an den Jungen
Keine Adresse - wo schick ich ihn bloß hin?
Ich steck' ihn einfach in die Tasche
Weil ich dieser Junge doch selber bin";"https://genius.com/Udo-lindenberg-brief-an-den-jungen-der-ich-vor-30-jahren-war-lyrics";"Released May 29, 1995"
"3";"Udo Lindenberg";"Salomon (Das Hohe Lied)";"Kosmos";"Lass den König sechzig Frauen
Und achtzig Konkubinen haben
Dazu Mädchen ohne Zahl
Meine Liebe gilt nur einer

Schön wie Tirzah bist du, Freundin
Strahlend wie Jerusalem
Wie ein Trugbild in der Wüste
Raubt dein Anblick mir den Atem

Komm doch, ihr Winde, durchweht meinen Garten!
Nordwind und Südwind erweckt seine Düfte!

Komm, mein Geliebter, betritt deinen Garten
Komm doch und iss seine köstlichen Früchte

Deine Brüste wie Gazellen
Auf den Höhen des Libanon
Und das Rund deiner Hüften
Ist das Werk eines Künstlers

Einer Schale, der niemals edler Wein fehlen soll
Gleicht dein Schoß, süßes Mädchen
Will mich freuen an deinen Brüsten
Welche reifen Trauben gleichen

Komm doch, ihr Winde durchweht meinen Garten!
Nordwind und Südwind erweckt seine Düfte!

Komm, mein Geliebter betritt deinen Garten
Komm doch und iss seine köstlichen Früchte

Am Abend, wenn es kühl wird, und alle Schatten fliehen
Dann komm zu mir, flink wie die Gazelle, die in den Bergen wohnt

Einer Schale, der niemals edler Wein fehlen soll
Gleicht dein Schoß, süßes Mädchen
Die Liebe ist stark wie der Tod
Und ihr Eifer ist fest wie die Hölle

Komm doch, ihr Winde, durchweht meinen Garten
Nordwind und Südwind erweckt seine Düfte!

Komm, mein Geliebter betritt deinen Garten
Komm doch und iss seine köstlichen Früchte";"https://genius.com/Udo-lindenberg-salomon-das-hohe-lied-lyrics";"Released May 29, 1995"
"4";"Udo Lindenberg";"Wenn Du mit ihm schläfst";"Kosmos";"Ein Indianer kennt kein' Schmerz
Das hab ich immer gedacht
Aber jetzt, wo ich dich seh'
Da tut es doch so weh

Wie haben wir das bloß gemacht?
Wie konnte das bloß passier'n?
Wir hatten doch soviel vor
Wieso mussten wir denn verlier'n?

Wenn du mit ihm schläfst
Denkst du dann immer noch an mich?
Machst die Augen zu und stellst dir vor
Das wäre immer noch ich?
Und wenn du ihn küsst
Denkst du dann noch an mich?

Hör' mir die alten Platten an
Und denk zurück an jeden Moment
Der ganze Film, der zieht vorbei
Doch: wo ist das Happy End?

Ich glaub', ich werde es nie versteh'n
Sag mal, ist dir überhaupt klar
Dass du jeden Tag das verrätst
Was eigentlich unsere Sache war?

Wenn du mit ihm schläfst
Denkst du dann immer noch an mich?
Machst die Augen zu
Und stellst dir vor
Das wäre immer noch ich?
Und wenn du ihn küsst
Denkst du dann noch an mich?

Und wenn du mit ihm schläfst
Denkst du dann noch an mich?
Und wenn du ihn küsst
Denkst du dann noch an mich?";"https://genius.com/Udo-lindenberg-wenn-du-mit-ihm-schlafst-lyrics";"Released May 29, 1995"
"5";"Udo Lindenberg";"Ich bin ein Single";"Kosmos";"Der Frühling ist da, es ist nicht zu fassen
Überall die Pärchen auf den Wiesen als knutschende Massen
Ich bin ganz solo, doch seh' es gelassen:
Spätestens im Winter fangen sie an, sich zu hassen

Ich bin ein Single und ich leb' lieber allein
Ich bin ein Single, doch ich muss nicht einsam sein
Denn, wenn ein Single ab und zu
Mal eine Sehnsucht hat
Gibts Millionen anderer Singlеs in dieser Stadt
Ich bin ein Singlе
Ich bin ein Single

Mein Bett ist zu groß, hab's für mich alleine
Keine Schnarchgeräusche und wenn mal doch
Dann sind's nur meine
Morgens muss ich mich im Bad nicht beeilen
Die Zeitung und das weiche Frühstücksei mit keinem teilen

Ich bin ein Single und ich leb' lieber allein
Ich bin ein Single, doch ich muss nicht einsam sein
Denn, wenn ein Single ab und zu mal
Eine Sehnsucht hat
Gibts Millionen anderer Singles in dieser Stadt
Ich bin ein Single
Ich bin ein Single

Ich bin ein Single und ich leb' lieber allein
Ich bin ein Single, doch ich muss nicht einsam sein
Denn, wenn ein Single ab und zu
Mal eine Sehnsucht hat
Gibts Millionen anderer Singles in dieser Stadt
Ich bin ein Single
Ich bin ein Single";"https://genius.com/Udo-lindenberg-ich-bin-ein-single-lyrics";"Released May 29, 1995"
"6";"Udo Lindenberg";"Notausgang";"Kosmos";"Der Abend war schon angebrochen
Da kommt er aus dem Bett gekrochen
Es hatte alles keinen Sinn
Und er weiß auch nicht, wohin

Der Himmel hängt so tief
Und er geht ganz gebückt
Auf seiner abgelatschten Straße
Und wenn er mal nach oben blickt

Kinder singen nutzlose Lieder
In den Himmel immer wieder
Von dem sich gerade diе Rauchwolken
Des letztеn Krieges verziehn

[Kinder singen]

Er sieht sein Leben wie im Film
Mal klarer mal verschwommen
Man kann gegen so 'ne Vergangenheit
Mit der Zukunft nicht ankommen

Was gibts denn da noch für Kicks?
Was kann ihn nach aufbaun?
Welche Drogen, welche groBen Worte
Welche Männer, welche Frauen?

[Kosmos-Walzer]

Jetzt sitzt er stumm an irgendeiner Bar
Und fühlt sich nüchtern krnnk
Säuft noch einen und sieht ganz klar
Über der Tür
Das Schild ""Notausgang""

Und stellt sich vor, er geht zur Bank
Um alle Kohlen abzuheben
Fährt um die Welt mit gefälschtem Paß
Als ein anderer?
Und noch einmal richtig leben

Die Hitze, die mir der Mensch nicht gibt
Die hol ich mir aus der Chemie
Und mein Lebensabend wird ein rauschendes Fest
Und beginnt gleich Morgen früh

[Kosmos-Walzer]

Laß alle Exzesse dieser Welt
Noch einmal ausprobiern
Dem Ted den kleinen Finger reichen
Und nicht die ganze Hand verliern";"https://genius.com/Udo-lindenberg-notausgang-lyrics";"Released May 29, 1995"
"7";"Udo Lindenberg";"Sie kennen ihre Namen nicht";"Kosmos";"Er besteigt den Nachtexpress, der durch schwarze Städte fährt
Sie starrt in die Dunkelheit
Und will, dass jemand sie begehrt

Er kommt ins Abteil
Sofort sind sie geil
Ihr Finger schreibt an die Fensterscheibe:
Komm, rück mir doch zuleibe

Die Hände sind zum Tasten da
Die Körper zum Geniessen
Komm, zeig mir dein gelobtes Land
Laß Milch und Honig fliessen

Sie kennen ihre Namen nicht
Wollen sie auch gar nicht wissen
Der Mund ist nicht zum Reden da
Der Mund ist da zum Küssen
Intercity-Lover

Träume sind zum Machen da - keine Zeit verlier'n
Atemlos laß uns entgleisen, alles kann passier'n

Das Gehirn wird abgeschaltet, brauchen wir nicht mehr
Keine Liebe, keine Liebe - gehört jetzt nicht hierher

Die Hände sind zum Tasten da
Die Körper zum benetzen
Komm, laß schnell das Verbotene tun
Dein weißes Kleid beschmutzen

Sie kennen ihre Namen nicht
Wollen sie auch gar nicht wissen
Der Mund ist nicht zum Reden da
Der Mund ist da zum Küssen

Die Hände sind zum Tasten da
Die Körper zum Geniessen
Komm, zeig mir dein gelobtes land
Laß Milch und Honig fließen

Sie kennen ihre Namen nicht
Wollen sie auch gar nicht wissen
Der Mund ist nicht zum Reden da
Der Mund ist da zum Küssen";"https://genius.com/Udo-lindenberg-sie-kennen-ihre-namen-nicht-lyrics";"Released May 29, 1995"
"8";"Udo Lindenberg";"Noch nicht reif für Dich";"Kosmos";"Sechzehn bist du jetzt
Da kommste angewetzt:
Mal ins Kino gehn, mal am Nippel drehe
Und im Ristorante mit der Anstandstante

Und du bestellst 'n Fisch
Man trifft sich unterm Tisch
Du sagst ooooh
Schade, daß dat nisch für immer isch

Und bin ich auch steif [?] gelegentlich
So bin ich noch nicht
Reif für dich
Dabei wärst du doch genau die Frau für mich
Aber leider leider leider
Bin ich noch nicht reif für dich

Ein junger androgyner androgeiler Mann
Sprach mich von hinten
Von der Seite und von vornе an
Er sagte: alle finden dich häßlich

Abеr ich find dich so schön
Ich möchte
Bitte, bitte, hilf
Ach so gerne mit dir gehn

Legt seine kleine Hand
Auf meinen starken Unterarm
Und mit heißem Atem
Flüstert er ganz warm

Ich bin verrücht
Nach deiner alten Indianerhaut
Ich sagte: Achatz, ich hatte leider leider
Heut noch nicht mein Coming out

Und bin ich auch steif ? gelegentlich
So bin ich noch nicht
Reif für dich
Dabei wärst da doch genau der Mann für mich
Aber leider leider leider leider
Bin ich noch nicht reif für dich

Schade";"https://genius.com/Udo-lindenberg-noch-nicht-reif-fur-dich-lyrics";"Released May 29, 1995"
"9";"Udo Lindenberg";"Dach der Welt";"Kosmos";"Sie hatten nichts
Sie waren verloren
In diese harte Welt hineingeboren
Als sie sich trafen
Allein und ängstlich
Da hatten sie wenigstens sich

Draußen war alles nur Hölle und Dreck
Sie suchten ihr kleines Paradies
Nichts sollte stören
Und ihr kleines Versteck
War ein Himmelbett
Warm und süß

Auf dem Dach der Welt
Da ganz oben
Siе wollten einfach nur ihre Ruh'
Laß' draußеn doch den Wahnsinn toben
Wir schließen Fenster und Türen ganz fest zu

Stille Liebe

Ihre Freunde wurden zu fernen Planeten
Wir die Sonne — haben sie gedacht
Und nach einiger Zeit waren sie einsam zu zweit
Alle hatten sich davongemacht

Waren sie mal Tage lag getrennt
Und das Telefon blieb stumm
Dann konnten sie an nichts mehr denken
Und stürzten ab ins Vakuum

Auf dem Dach der Welt, da ganz oben
Sie wollten einfach nur ihre Ruh'
Laß' draußen doch den Wahnsinn toben
Wir schließen Fenster und Türen ganz fest zu

""Unser Nest soll eine Festung sein...""
Sie liebten sich wie verrückt
Und der Wind der Welt kam nicht mehr rein
So fand man sie eines Tages
An der Liebe erstickt";"https://genius.com/Udo-lindenberg-dach-der-welt-lyrics";"Released May 29, 1995"
"10";"Udo Lindenberg";"Soldaten der Liebe";"Kosmos";"Im Morgengrauen ohne Warnung
Geheimdienst hatte keine Ahnung
Voll getroffen - Raketeneinschlag
Wieder geht es los - trotz Friedensvertrag

Schwerverletzt, nervenzerfetzt
Die Propaganda hetzt
Der Diplomat spricht von Verrat
Nachrichten gesperrt - Krieg erklärt

9 Uhr 10 - will zur Arbeit geh'n
Geht aber nicht - Tränengas im Gesicht
Der Feind hat sich im Bad verkrochen
Diplomatische Beziehungen - abgebrochen

Soldaten der Liebe
Kennen keine Gnade
Soldaten der Liebe
Kennen keine Gnade

Bis Mittags zwölf - Ultimatum abgelaufen
Waffenpause - Cognac saufen
Mein Puls geht auf hundertzehn
Vollangriff aufs Nervensystem
Im Minenfeld spazierengeh'n

Soldaten der Liebe
Kennen keine Gnade
Soldaten der Liebe
Kennen keine Gnade

Lippenstiftgranaten flitzen
Hinterm Sofa Heckenschützen
Jedes Argument wird prompt
Niedergewalzt und niedergebombt
Krieg

Soldaten der Liebe
Kennen keine Gnade
Soldaten der Liebe
Kennen keine Gnade

Spätnachrichten - Sendeschluss
Waffenstillstand - Bruderkuss
Grausam diese Kriege - wollen wir nicht sehen
Fernseher aus - schlafengehen
Total erschöpft hören sie auf zu fighten
Und träumen von friedlichen Zeiten";"https://genius.com/Udo-lindenberg-soldaten-der-liebe-lyrics";"Released May 29, 1995"
