"","artist","title","album","text","url","metadata"
"1","Udo Lindenberg","Rockin’ and Rollin’","Lindenbergs rock revue","Als Bill Haley sich in meine Ohren bohrte
War ich 'n Frischling, war gerade erst zehn
Ich hatte keine Ahnung
Und kapierte auch den Text nicht

Trotzdem konnte ich Bill gut versteh'n
Und zu Hause knallte dieser Sound aus dem Radio
Ich trommelte mit
Uh, das gefiel mir so

Und dann hab ich den kleinen Mann
Im Lautsprecher gefragt
Warum macht mich das so an
Und dann hat er mir gesagt:

Gestatten Sie, daß ich mich Ihnen vorstell'
Mеin Name ist Rock and Roll
Rockin' and Rollin'

Meine Vätеr waren die Jazzer
In den Kaschemmen in New Orleans
Und meine Mütter malochten sich fast tot
In den Baumwollfeldern von Mississippi

Meine Tanten hatten in Chicago
Einen Honky-Tonky-Puff
Und mein Onkel starb in Memphis
Am Southern Comfort Suff

Und meine Söhne trugen Pomade
In den Haaren
Sie machten Putz und machten Schluß
Mit den lahmen Jahren

Rockin' and Rollin'
Nichts macht mich kaputt
Weil ich so lebendig bin!","https://genius.com/Udo-lindenberg-rockin-and-rollin-lyrics","Released May 15, 1978"
"2","Udo Lindenberg","Tutti Frutti","Lindenbergs rock revue","Tutti Frutti
Oh Tutti Frutti
Tutti Frutti
Tutti Frutti
Tutti Frutti
Bam mbam bam b-bam bam

Ich traf ein Mädchen
Die hieß Renate
Mhm, das war ja so 'ne Granate
Ich traf ein Mädchen

Die hieß Renate
Mhm, das war 'ne ganz schön Harte
Und als es dann losging
Da merkte ich eins
Sie war gar keins
Sie hieß Karlheinz

Tutti Frutti
Oh Tutti Frutti
Tutti Frutti
Bam bambeloo bam b-bam bam

Ich traf 'n Jungen
Der hieß Peter
Mhm, das war 'n ziemlich Verdrehter
Und außerdem
Sehr extrem

Ein Wasserbettvеrtreter
Und als es dann losging
Da wurdе mir klar
Dass Peter gar nicht Peter
Sondern Petra war

Tutti Frutti
Oh Tutti Frutti
Tutti Frutti
Bam bambeloo bam b-bam bam","https://genius.com/Udo-lindenberg-tutti-frutti-lyrics","Released May 15, 1978"
"3","Udo Lindenberg","Verdammt wir müssen raus aus dem Dreck","Lindenbergs rock revue","In dieser dunklen Malocher-City
Geh'n die Schatten niemals weg
Und jeder sagt, es hat hier keinen Zweck
Aber ich, ich seh' das anders
Mädchen, du bist so jung und schön
Hier krepier'n wir zu früh, wenn wir nicht gehen

Mein Vater kannte auch mal bessere Zeiten
Doch diese Fabrik hat ihn klein gemacht
Er hat sein Leben wie ein Sklave verbracht
Er kannte wirklich mal bessere Zeiten
Und so wie ihm soll's mir nicht gehen
In unserem Fall muss das anders sein
Es gibt nichts zu verlier'n, du wirst seh'n

Verdammt, wir müssen raus aus dem Dreck
Da gibt es gar nichts, wir müssen hier weg
Wir müssen raus aus dem Dreck
Mädchen, es gibt ein besseres Leben
Für dich und mich

Und wenn wir jetzt auch noch nicht wissen, wohin
Unser Leben muss ganz anders laufen
Als stupide abrackern
Und sich abends vor der Glotze besaufen
Meine Mutter kannte auch mal bessere Zeiten
Doch dieser Törn hat sie kaputtgemacht
Sie hat ihr Leben wie eine Sklavin verbracht
Und deswegen sag' ich dir:

Verdammt, wir müssen raus aus dem Dreck
Da gibt es gar nichts, wie müssen hier weg
Wir müssen raus aus dem Dreck
Mädchen, es gibt ein besseres Leben
Für dich und mich","https://genius.com/Udo-lindenberg-verdammt-wir-mussen-raus-aus-dem-dreck-lyrics","Released May 15, 1978"
"4","Udo Lindenberg","Salty Dog","Lindenbergs rock revue","Der letzte Kampf
Wir gaben alles
Der Sturm hat unser Schiff besiegt
Und wir verlassen
Unsere alte Geliebte
Die im Sterben liegt

Wir sahen alle sieben Meere
Kein Land war uns zu weit
Kommt doch an Deck
Geht in die Boote
Es bleibt nicht mehr viel Zeit

Wie viele Jahre
Und wie viele Meilen
Wir haben die Ufer am Ende der Welt geseh'n
Weißer Strand
Ein Meer wie Kristall

Inseln, die auf keiner Karte steh'n
Hinter dem letzten Horizont
Und nach der dritten Flasche Rum
Schickten wir 'ne Flaschenpost

In Richtung Ewigkeit
Und wir vergaßen
Die Könige und die Sklaven
Eine Welt voller Traurigkeit

Ja, Mann, das glaubste zwar nich'
Aber das ist echt passiert

Das Schiff versinkt
Es brennt der Mast
Wir rudern an den Strand
Der Käpt'n schweigt
Und weinende Matrosen
Ziehen das Boot an Land

Das ist lange her
Und ich seh' euch an
Ihr denkt: Seemannsgarn - der Alte spinnt
Gib mir noch 'n Salty Dog
Und ich sauf' auf die alten Jungs
Die mit mir gefahren sind","https://genius.com/Udo-lindenberg-salty-dog-lyrics","Released May 15, 1978"
"5","Udo Lindenberg","Ich sitz’ den ganzen Tag bei den Docks","Lindenbergs rock revue","Den ganzen Tag sitz' ich am Hafen
Die Schiffe laufen ein und aus
Den ganzen Tag sitz' ich am Hafen
Hab' keinen Job und hab' kein Zuhaus

Ich sitz' den ganzen Tag bei den Docks
Und alles, was ich hier machen kann
Von guten Zeiten träumen
Und ich guck' mir Flut und Ebbe an

Ich kam den weiten Weg von Georgia
Trampte zur Frisco-Bay
In der Hoffung, hier was aufzubau'n
Doch jetzt glaub' ich, ich sollte bald wieder abhau'n

Nichts, was ich hier tun kann -
Die Kähne geh'n auf die nächste Reise
Und ich häng' hier rum
Verlier' meine Zeit
Und das bedient mich in keinster Weise

Was soll ich machen, wenn nichts passiert?
Ich bin kaputt und deprimiert
Die anderen Typen hier, genauso wie ich
Sie suchen Arbeit, doch die gibt es nicht

Hier hab' ich nichts gefunden
Außer Einsamkeit
Zweitausend Meilen hab' ich hinter mir
Doch jetzt vertu' ich hier meine Zeit
Ich sitze bei den Docks an der Bucht...","https://genius.com/Udo-lindenberg-ich-sitz-den-ganzen-tag-bei-den-docks-lyrics","Released May 15, 1978"
"6","Udo Lindenberg","Reeperbahn (Penny Lane)","Lindenbergs rock revue","[Strophe 1]
Reeperbahn, wo früher mal der grosse Star-Klub war
Und das Top Ten mit all den wirklich starken Bands
Jeden Abend war ich da und war einer, der ersten Beatles-Fans
Und nach der Show ging ich mit Ringo zu den Damen hin
Sie trugen Negligées und kauften uns Pommes-Frites
Und Ringo brachte manchen losen Witz aus Liverpool
Very cool

[Refrain 1]
Reeperbahn, wenn ich Dich heute so anseh'
Kulisse für 'n Film, der nicht mehr läuft
Ich sag Dir, das tut weh

[Strophe 2]
Und all die Jungs aus Buxtehude und aus Lüneburg
Die machten Freitagnacht bis Sonntagmorgen durch
Sie schluckten jede Menge Schnaps und Trips
Für ihre Flips von der wilden Welt

[Gitarrensolo]

[Refrain 2]
Reeperbahn, wenn ich Dich heute so anseh'
Die Abende sind teuer
Doch es gibt kein Abenteuer

[Strophe 3]
An jeder Ecke roch's nach Hafen und nach Rock 'n' Roll
Bei jedem Trödler gab's für 120 Mark
Die Originalgitarre von Cliff Richards
Das war stark
Und jeder Musiker erzählte seinem Groupie
Du wirst es sehn, ich werd ein weltberühmter Star
Doch heute legt er in der Disco Platten auf
Und sie macht Striptease in einer Nepper-Bar

[Refrain 1]
Reeperbahn, wenn ich Dich heute so anseh'
Kulisse für 'n Film, der nicht mehr läuft
Ich sag Dir, das tut weh

Reeperbahn!
Reeperbahn!","https://genius.com/Udo-lindenberg-reeperbahn-penny-lane-lyrics","Released May 15, 1978"
"7","Udo Lindenberg","Süsse kleine Sechzehn","Lindenbergs rock revue","Sie rockten los in Boston
In Pittsburgh PA
Und auch da unten in Texas
Rund um die Frisco Bay
Genauso wie in St. Louis
Und in New Orleans
Ist jeder Junge ganz verrückt
Nach Sweet Little Sixteen

Süße kleine Sechzehn
Sie weiß, was sie will
'ne halbe Million Fotos
Von Elvis, Chuck und Bill
Und wenn 'ne Band in die Stadt kommt
Dann ist sie da
Mit großen feuchten Augen
Verschlingt sie ihren Star

""Oh Mammi, Mammi
Bitte sieh' das ein
Ich will mich schminken, wie die ander'n auch
Ich bin doch nicht mеhr so klein
Oh Daddy, Daddy
Bitte lass' mich geh'n
Sag dеr Mammi
Du hast nichts gesehen""

Süße kleine Sechzehn
Sie wär so gern 'ne Frau
Mit Schaumgummibusen wie die Monroe
Und dazu die Stöckelschuh-Schau
Doch am nächsten Morgen
Kannst du sie seh'n
Als süße kleine Sechzehn
In die Schule geh'n","https://genius.com/Udo-lindenberg-susse-kleine-sechzehn-lyrics","Released May 15, 1978"
"8","Udo Lindenberg","Der Boss von der Gang","Lindenbergs rock revue","Geht sie wirklich mit ihm?
Frag sie doch - da ist sie
Betty, ist das ein Ring von Jimmy
Den du da am Finger trägst?

Hm - mit ihm auf dem Motorrad, das muss wahnsinnig sein
Holt er dich heute von der Schule ab?
Wo hast du ihn eigentlich kennengelernt?

Ich traf ihn vor dem Supermarkt
Er drehte sich um, kam auf mich zu
Und sagte: Hey Baby, ich bin der Boss von der Gang

Zu Hause wollte das keiner sehen
Mit Jungs aus diesem Teil der Stadt kann man nicht gehen
Er wäre ein ganz gemeiner Rockertyp
Doch ich hatte ihn so lieb
Meine große Liebe - der Boss von der Gang

Mein Daddy war sauer:
Mach Schluss mit Jim
Doch Jimmy sagte: Alles, was ich brauch, bist du
Ich schluchzte: Lass mich in Ruh'
Verzeih' - das tat weh, mein Boss von der Gang

Er war so zärtlich
Vergiss mich nicht
Er stieg aufs Motorrad
Tränen im Gesicht
Es regnete in dieser Nacht
Ich flüsterte noch:
Pass auf dich auf, Jim - gib acht

No, no, no

Ich war so hilflos, was war geschehen
Warum müssen solche Träume vergehen?
Sie alle starrten mich an
Ich schrie: das habt Ihr getan!

Niemals vergess' ich den Boss von der Gang","https://genius.com/Udo-lindenberg-der-boss-von-der-gang-lyrics","Released May 15, 1978"
"9","Udo Lindenberg","Sympathie für den Teufel","Lindenbergs rock revue","Erlauben Sie, dass ich mich vorstell'
Ich bin ein Mann von Welt und Stil
Ich gehe um seit einer Ewigkeit
Raube Seelen, kenne kein Gefühl

Ich war da, als Jesus voller Zweifel war
Und er rief in seiner Qual
Und als Pilatus sich die Hände wusch
Erfüllte sich sein Schicksal

Angenehm, erraten Sie, wer ich bin?
Was Sie irritiert, ist mein Handeln ohne Sinn

Ich schlich herum in St. Petersburg
An jenem Oktobertag
Riss den Zar von seinem Thron
Anastasia schrie und unterlag
In vielen Kriegen war ich Panzergeneral
Und machte aus der Welt ein blutiges Tal

Angenehm, erraten Sie, wer ich bin?
Was Sie irritiert, ist mein Handeln ohne Sinn

Ich lachte laut, weil die Lügner regier'n
Sie schaffen Götzen, für die ganze Völker krepier'n
Ich hab' gebrüllt: ""Wer hat die Kennedys gekillt?""
Waren es denn eigentlich nicht du und ich?

So erlauben Sie, dass ich mich vorstell'
Ich bin ein Mann von Welt und Stil
Für Sänger leg ich Fallen
Sie sterben in kalten Musikhallen

Angenehm, erraten Sie, wer ich bin?
Was Sie irritiert, ist mein Handeln ohne Sinn

So wie der Frömmste fallen kann
Und jeder Sünder heilig ist
Nenn du mich Engel Luzifer
Weil man den wahren Namen zu oft vergisst

So hab Respekt, wenn Du mich triffst
Mach's mit Sympathie und Verstand
Und zeige mir, wie höflich du bist
Oder ich hab' deine Seele in der Hand

Angenehm, erraten Sie, wer ich bin?","https://genius.com/Udo-lindenberg-sympathie-fur-den-teufel-lyrics","Released May 15, 1978"
"10","Udo Lindenberg","Immer noch verrückt nach all den Jahren","Lindenbergs rock revue","Ich traf sie wieder
Letzte Nacht - wir haben uns sehr gefreut
Zehn Jahre hatten wir uns nicht mehr gesehen
Und ich goss ihr Drinks ins Dekolleté

Und wühlte wild in ihren Haaren
Und sie sagte:
""Du bist ja immer noch so verrückt
Immer noch crazy nach all den Jahren""

Am nächsten Nachmittag
Hab' ich sie besucht auf 'n Tee
Ihr Mann ist der Kaffeekönig
Von der Elbchaussee

Doch dann bin ich mit ihren Teeny-Töchtern
So richtig abgefahren
Und sie schmiss mich raus
Ich wäre zu verrückti
Immer noch crazy nach all den Jahren

Und wenn ich sechzig bin
Bin ich zwar
Ein graumelierter Rock-Opa
Wenn's geht, ohne Kalkwerk im Kopf

Und dann spring ich auf die Bühne
Und zeig' den Jungs
Wie wild die Siebziger war'n
Und sie sagen: ""Ganz schön verrückt
Immer noch crazy, crazy
Immer noch crazy nach all den Jahren""","https://genius.com/Udo-lindenberg-immer-noch-verruckt-nach-all-den-jahren-lyrics","Released May 15, 1978"
