"";"artist";"title";"album";"text";"url";"metadata"
"1";"Udo Lindenberg";"Panik Panther";"Panik Panther";"[Verse 1]
Ich geh durch unsre Straße
So wie ein rauher Wind
Winde werden Stürme
Wenn sie größer sind
Alleine bin ich stark
Aber auf die Dauer:
Zusammen mit den andern
Krieg ich noch viel mehr Power

[Chorus 1]
Wir fegen los wie ein Orkan
Und gegen uns kommt keiner an
Wir sind die Panther- Panik Panther
Auf`s dunkle Land ein heller Blitz
Der Skin macht nur noch flitzeflitz
Wir sind die Panther- Panik Panther

[Verse 2]
Und wir haun mit den Tatzen
Den Skins auf die Glatzen
Das eizige,was die verstehn
Also Faschos verpisst euch
Keiner vermisst euch
Wir wolln euch nur noch von hinten sehn

[Bridge]
Doch am liebsten bleiben die Fäuste kalt
Denn Panther stehn nicht auf Gewalt
Wir sind die Panther- Panik Panther

[Verse 3]
Die Zeiten werden härter
Wir können keinem traun
Erst gestern haben so Zombies
Schon wieder brutal draufgehaun
Total blind im Rassenwahn
Zünden sie nachts Häuser an
Aber wir klärn hier in unserer Stadt
Daß kein Skin was zu sagen hat

[Chorus 1]
Wir fegen los wie ein Orkan
Und gegen uns kommt keiner an
Wir sind die Panther- Panik Panther
Auf`s dunkle Land ein heller Blitz
Der Skin macht nur noch flitzeflitz
Wir sind die Panther- Panik Panther

[Verse 2]
Und mit unseren Tatzen
Polieren wir die Glatzen
Wenn sie es nicht anders verstehn
Also Faschos verpisst euch
Keiner vermisst euch
Wir wolln euch nur noch von hinten sehn

[Bridge]
Doch am liebsten bleiben die Fäuste kalt
Denn Panther stehn nicht auf Gewalt
Wir sind die Panther- Panik Panther

[Chorus 1 2x]
Wir fegen los wie ein Orkan
Und gegen uns kommt keiner an
Wir sind die Panther- Panik Panther
Auf`s dunkle Land ein heller Blitz
Der Skin macht nur noch flitzeflitz
Wir sind die Panther- Panik Panther

[Verse 2]
Und mit unseren Tatzen
Polieren wir die Glatzen
Wenn sie es nicht anders verstehn
Also Faschos verpisst euch
Keiner vermisst euch
Wir wolln euch nur noch von hinten sehn";"https://genius.com/Udo-lindenberg-panik-panther-lyrics";"Released September 28, 1992
Featuring

    
      Die Prinzen & Nina Hagen
Writers

    
      Jacques LaRue & Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"2";"Udo Lindenberg";"Öh-Öh-Öh";"Panik Panther";"Montag, freu mich auf Dienstag, freu mich auf Mittwoch
Freu mich auf DDD...Donnerstag
Donnerstag, freu mich auf Freitag, freu mich auf Samstag
Und dann ist endlich wieder Samstagnacht

Ey, DJ, dreh' die Boxen auf
Die ganze Woche freue ich mich da schon drauf
Ey, Mann, pump doch mal das Volume rauf
Ey, DJ, will im Bauch die Bässe spür'n

Meine Nerven soll'n vibrier'n
Gib mir Adrenalin
Heute Nacht soll es gescheh'n
Und jetzt nur noch'n paar Stunden
Dann wird sie wieder vor mir steh'n

Ich find sie ja so geil
Oh wie ihr Blick so in mich dringt
Ich geh' jetzt zu ihr hin
Und bring den Spruch, der's richtig bringt
Und ich sag noch:
Öh - Öh - Öh

Sie kam direkt aus Leckerland
Kaum zu glauben, wie lecker-lecker ich sie fand
Beim erstem Mal schon: Ich atemlos
Sie so schön, so stolz und so grandios
Bisher: es tut mir für sie leid
Vielleicht war ich ja immer auch'n Tick zu breit

Aber heute geht sie auf die Knie
Was jetzt passiert vergisst sie nie:
Ich find sie ja so geil
Oh wie ihr Blick so in mich dringt
Ich geh' jetzt zu ihr hin
Und bring' den Spruch, der's richtig bringt
Und ich sag' noch:
Öh - Öh - Öh

Da hinten seh' ich sie
Und heute geht sie auf die Knie
Meine Damen, meine Herr'n
Lasst mich mal eben vorbei
Ich muss da mal was klär'n
Und ich sag noch
Öh - Öh - Öh";"https://genius.com/Udo-lindenberg-oh-oh-oh-lyrics";"Released September 28, 1992
Featuring

    
      Die Prinzen & Nina Hagen
Writers

    
      Jacques LaRue & Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"3";"Udo Lindenberg";"Mit Dir sogar ’n Kind";"Panik Panther";"Stell dir vor, dein Schiff legt an
Du setzt den Fuß aufs fremde Land
Und weißt gleich, du bleibst immer hier
Genauso war das auch mit dir

Wir war'n uns kein bisschen fremd
Als ob man sich schon immer kennt
Ich seh' dich noch vor mir steh'n
Es war wie ein Wiederseh'n

Du warst mir gleich total vertraut
Ich war schon immer dein Mann, und du meine Braut
Wir wussten gleich, wir kriegen das hin
Weil wir das schärfste Team aller Zeiten sind
Auch wenn allе sagen: ""Der spinnt""
Mit dir will ich sogar 'n Kind

Stell dir mal vor, wiе das wär'
Von wem hätte es dann wohl mehr?
Wird's ganz sensibel oder eisenhart
Steht's auf Hardrock oder Mozart?

Ist eigentlich auch ganz egal
Es wird auf jeden Fall genial
Wird sowieso 'n Wunderkind
Weil wir schon selbst ein Wunder sind

Du warst mir gleich total vertraut
Ich war schon immer dein Mann, und du meine Braut
Wir wussten gleich, wir kriegen das hin
Weil wir das schärfste Team aller Zeiten sind

Auch wenn alle sagen: ""Der spinnt""
Mit dir will ich sogar 'n Kind
Weil wir für immer zusammen sind
Mit dir will ich sogar 'n Kind";"https://genius.com/Udo-lindenberg-mit-dir-sogar-n-kind-lyrics";"Released September 28, 1992
Featuring

    
      Die Prinzen & Nina Hagen
Writers

    
      Jacques LaRue & Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"4";"Udo Lindenberg";"Keine Staaten";"Panik Panther";"Li aus Peking und Jo aus Berlin
Woll`n dasselbe wie Lena aus Wien
Und Pat aus Dublin, wo steht'n der drauf?
Macht endlich alle Grenzen auf!

Wo du herkommst, ist doch egal
Du hast doch sowieso keine Wahl
Du fällst vom Himmel, irgendwann-irgendwo
Das nennen die dann Heimat oder so

Keine Nationen und keine Staaten mehr
Keine Soldaten und kein Militär!

Kim in Melbourne und Cem im Sudan
Sagen: Lass mal machen, hеute fangen wir an!
Es dröhnt aus jedеm Radio
Von Pinneberg bis Tokio:
Alle Pässe werden verbrannt
Ab jetzt darf jeder in jedes Land!

Keine Nationen und keine Staaten mehr
Keine Soldaten und kein Militär!

Nadja aus Moskau und Jose aus Madrid
Den alten Streifen machen die nicht mehr mit
Bill aus Miami und Al aus Hannover
Macht die Welt schlauer und nicht noch immer doofer

Keine Nationen und keine Staaten mehr
Keine Soldaten und kein Militär!";"https://genius.com/Udo-lindenberg-keine-staaten-lyrics";"Released September 28, 1992
Featuring

    
      Die Prinzen & Nina Hagen
Writers

    
      Jacques LaRue & Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"5";"Udo Lindenberg";"Nicht einfach nur mon amour";"Panik Panther";"Ich singe dir ein Liebeslied
So da es dir die Schuhe auszieht
So hab ich mir das vorgestellt, doch es ist schwer
Es sollte keine Schnulze sein
Blo keine sen Geigen rein
Nein, richtig klar und auch mit Stil
Und ohne Kitsch, nur was ich echt fr dich fhl

Ganz speziell fr dich, weil ich dich doch so lieb
Der schnste Lovesong, den es weltweit gibt

Seit Stunden hng ich am Klavier
Und texte rum und komponier
Schieb die Akkorde hin und her, wie kann ich's dir am Schnsten singen?
Nicht einfach nur mit mon Amour
Ti amo oder I love you, nein, ganz besonders soll es sein
Denn ganz besonders bist auch du

Die nchste Strophe sollte dann rhrend und romantisch sein
Da sollte kinomig das groe Schicksal rein
Dann htt ich noch erwhnt, da du die Frau des Jahrhunderts bist
Und jegliche Beschreibung vllig
Untertrieben ist

Ja, so wars geplant, denn ich hab dich doch so lieb
Der grte Lovesong, den es I'm Universum gibt

Seit Stunden hng ich am Klavier...

Komm, Baby, bitte lach jetzt nicht
Komm, Baby, besser, ksse mich
Es tut mir wirklich sehr, sehr leid
Ich hoffe, du verzeihst";"https://genius.com/Udo-lindenberg-nicht-einfach-nur-mon-amour-lyrics";"Released September 28, 1992
Featuring

    
      Die Prinzen & Nina Hagen
Writers

    
      Jacques LaRue & Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"6";"Udo Lindenberg";"Romeo & Juliaaah";"Panik Panther";"[Verse 1: Nina Hagen]
Bleib bei mir,du süßer kleiner Romeo
Laß mich immer deine Julia sein!
Wenn du gehst,es wäre eine Katastro...
Verloren wär mein Leben, Romeo

[Verse 1:Udo Lindenberg, *Nina Hagen*]
Weißt du noch,als wir uns damals trafen
Das ganze Weltall war fest in unsrer Hand
*Unsre Leidenschaft war es,wild zu schmusen...
Dein Götterkopf an meinem heißen Busen.*

[Chorus: Udo Lindenberg, Nina Hagen]
Ooooooo Romeo
Jjjjjjj Juliaaah
Oooo Romeo
Jjjj Juliaaah

[Verse 1:Udo Lindenberg, *Nina Hagen*]
*Weißt du noch,wie wir verzaubert waren?
Du ludst mich ein zu unsrer ersten Currywurst*
Und die Welt um uns versank
Doch dann war kein Besteck da
Und deine Küsse warn wie Nektar
Und Ketchup war an deinen Händen
Und Verlangen zog durch unsere Lenden...

[Chorus 2x: Udo Lindenberg, Nina Hagen]
Ooooooo Romeo
Jjjjjjj Juliaaah
Oooo Romeo
Jjjj Juliaaah";"https://genius.com/Udo-lindenberg-romeo-and-juliaaah-lyrics";"Released September 28, 1992
Featuring

    
      Die Prinzen & Nina Hagen
Writers

    
      Jacques LaRue & Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"7";"Udo Lindenberg";"Sex im Radio";"Panik Panther";"Kaum zu glauben, man stelle sich vor:
ROCK ME IN THE MORNING, FUCK ME ON THE FLOOR
Wisst ihr eigentlich, was das heißt
Oder könnt ihr Englisch nicht versteh'n?

Vögel mich am Morgen und
Ficken auf'm Teppich ist ja auch ganz schön
TALK ABOUT SEX: SUCK MY DICK und SHAKE YOUR THING
Schüttel das Ding und spiel' an meinem DINGELING
TWENTY-THREE POSITIONS IN A ONE-NIGHT-STAND
Dreiundzwanzig Stellungen in einer Nacht und total potent

Sex im Radio
Ich bin entsetzt, ich bin empört
Was man im Radio so hört
Ich muss schon sagen, dass mich das stört
Mein sittliches Empfinden

Kaum gehe ich ans Radio ran
Da springt mich schon die Sahne an
Total pervers und sexuell von RSH bis RTL
Sex im Radio

VOULEZ-VOUS COUCHER AVEC MOI
Ich komme gleich, ich bin glеich da
GET ON THE SCENE LIKE A SEXMACHINE
Sei nicht so 'ne schlaffe Trinе
Sei doch meine Sexmaschine
WHY DON'T WE DO IT ON THE ROAD
Trotz Straßen-Fick-Verbot
OUTSCH, BABY, PUSH IT, OUTSCH
Stoß mich auf der Ausziehcouch

Sex im Radio
Ich bin entsetzt, ich bin empört
Was man im Radio so hört
Ich muss schon sagen, dass mich das stört
Mein sittliches Empfinden

Kaum gehe ich ans Radio ran
Da springt mich schon die Sahne an
Total pervers und sexuell von RSH bis RTL
Was die im Radio so bringen
Was die da für'n Schweinkram singen

Sex im Radio
I'M YOUR CANDY-LICKER
YOU SEXY MOTHERFUCKER
VOULEZ-VOUS COUCHER AVEC MOI
I can't hold it much longer
Oh no - oh yeah";"https://genius.com/Udo-lindenberg-sex-im-radio-lyrics";"Released September 28, 1992
Featuring

    
      Die Prinzen & Nina Hagen
Writers

    
      Jacques LaRue & Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"8";"Udo Lindenberg";"Russisch Roulette";"Panik Panther";"Ob New York oder Berlin, die Welt ist krank und ich bin clean
Besser nich', der Fall ist klar, was muß'n weg, was is'n da?
Hier mal'n Schuß, da mal'n Sniff, das ist'n
Interessantes Spiel
Ich hab das alles voll im Griff, ich kann aufhörn wann ich will

Daran krepiern tut doch nur 'n Idiot
Sagt er noch und schon war er tot
Aber ich doch nicht

Ich nicht - Wie'n Tanz auf dem Seil
Ich nicht - ich bin schwindelfrei
Ich nicht - wie Russisch Roulette
Ich nicht - ich weiß wo die Kugel steckt

LA oder Paris, Dolce Vita, das Leben ist süß
Wohl dem, der was zu knallen hat
Am besten zеhn in jeder Stadt, schöne Sündе, die schnelle Tat
Wie Formel 1, riskant und hart
Safer Sex ist mir zu blöde, immer dieselbe ist

Mir zu öde
Ich bin ein Kamikaze Lover, immer cool und Undercover
The one wrong fuck passiert MIR nicht, ICH erkenn das am Gesicht
Mir passiert da nichts, aber ich doch nicht";"https://genius.com/Udo-lindenberg-russisch-roulette-lyrics";"Released September 28, 1992
Featuring

    
      Die Prinzen & Nina Hagen
Writers

    
      Jacques LaRue & Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"9";"Udo Lindenberg";"Körper";"Panik Panther";"Jeden Abend um halb eins
Treff' ich sie in der kleinen Bar
Sie spendiert mir einen Drink
Und streichelt sanft mir durch das Haar

Ihre Augen blicken gierig
Und da wird mir wieder klar:
Sie wollen doch immer alle nur das eine -
Meine Hüften, meine Lippen, meine langen, langen Beine

Sie zerrt mich in еin Taxi
Nimmt mich mit zu sich nach Haus
Und dann auf dem Flokati
Zieht sie mich langsam aus

Siе küsst mich mitten ins Gesicht
Und mir wird heiß und kalt
Und jetzt löscht sie das rote Licht
Und wieder spür' ich die Gewalt

Sie wollen immer, immer, immer, alle, alle nur meinen Körper
Meine Seele wollen sie nicht
Immer, immer, immer, alle, alle nur meinen Körper
Und das ist das, was mir so langsam das Herz bricht

Ja, warum trag' ich vorzugsweise ein so trauriges Gesicht?
Weil: Sie wollen alle immer nur meinen Körper
Meine Seele wollen sie nicht

Körper, Body, Sex, Sex
Immer wollen sie nur das eine
Sie wollen immer nur das eine
Meine Hüften, meine Lippen, meine langen, langen Beine
(Lechz, lechz)";"https://genius.com/Udo-lindenberg-korper-lyrics";"Released September 28, 1992
Featuring

    
      Die Prinzen & Nina Hagen
Writers

    
      Jacques LaRue & Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"10";"Udo Lindenberg";"Er wollte nach Deutschland";"Panik Panther";"Er ist fünfzehn und war noch nie weg von zu Hause
Jetzt wartet er bloß, bis es dunkel ist
Dann nimmt er seine Sachen, nur das Nötigste
Er muss los, und es gibt niemand, der ihn zum Abschied küsst

Sie dürfen ihn nicht kriegen, er muß schlauer sein als die
Hat alles zu gewinnen und kaum was zu verlier’n
Er hofft bloß, dass er es schafft bis zum Hafen
Und dann auf irgend 'nen Tanker als blinder Passagier

Er wollte nach Deutschland, wo nicht überall geschossen wird
Er wollte nach Deutschland, wo niemand vor Hunger stirbt
Er wollte nach Deutschland, wo man 'n bisschen Zukunft hat
Und es da bringen in so ‘ner schönen großen Stadt

Er ist fünfzehn und war noch nie weg von zu Hause
Jetzt sitzt er im Knast und weiß nicht mal wofür
Gleich hinter der Grenze war sein Traum vorbei
Sie sperrten ihn ein und seitdem sitzt er hier

Er kommt aus Kroatien und aus Bosnien, aus dem Irak und aus Pakistan
Er kommt aus Albanien, Rumänien und Somalia
Aus China und Algerien
Aus der Türkei, aus Südafrika

Er wollte nach Deutschland, wo nicht überall geschossen wird
Er wollte noch Deutschland, wo niemand vor Hunger stirbt
Er wollte nach Deutschland, wo man 'n bisschen Zukunft hat
Und es da bringen in so 'ner schönen großen Stadt";"https://genius.com/Udo-lindenberg-er-wollte-nach-deutschland-lyrics";"Released September 28, 1992
Featuring

    
      Die Prinzen & Nina Hagen
Writers

    
      Jacques LaRue & Udo Lindenberg
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
