"","artist","title","album","text","url","metadata"
"1","Udo Lindenberg","Die Heizer kommen","Panische Zeiten","Wir sind Rock 'n' Roll-Zigeuner
Ein Zuhause haben wir nicht
Wir sind so Easy Rider und Rumstreuner
Stehn auf Heavy Rock-Schwergewicht

Jeden Tag 'ne andere Stadt
Der Bandbus setzt sich in Bewegung
Ob die Kripo da wohl wieder 'n Haftbefehl hat
Wegen Erregung öffentlicher Erregung?

Wenn die Heizer kommen und total aufdrehn
Als ob sie nicht von dieser Welt wär'n
Und es den Müttern mal wieder nicht gelungen ist
Ihre Süßen einzusperren
Wenn die Heizer kommen und rocken und rollen
Bis zur vollen Hysterie
Dann laden wir euch neue Power in die Batterie

Baby, heute sind wir wieder in eurer City
Als wir uns hier zum ersten Mal trafen
Sagt' ich: Nein, nein und nochmals
Ja man kann ja mal drüber schlafen

Heute bringst du einen Freund mit
Ich find den Spitze, und das merkste
Du findst das komisch, na und?
Bi ist sowieso das Stärkste

Wenn die Heizer kommen und total aufdrehn
Als ob sie nicht von dieser Welt wär'n
Und es den Müttern mal wieder nicht gelungen ist
Ihre Süßen einzusperren
Wenn die Heizer kommen und rocken und rollen
Bis zur vollen Hysterie
Dann laden wir euch neue Power in die Batterie

In welcher Stadt sind wir heute?
Weiß nicht, ist auch völlig egal
Hauptsache, es gibt hier 'ne Bühne
Und 'n knallvollen Randale-Saal

Wir sind Rock 'n' Roll-Zigeuner
Wenn du 'n Gypsy ohne Heimat bist
Bist du immer da zu Hause
Da, wo grad der Larry los ist","https://genius.com/Udo-lindenberg-die-heizer-kommen-lyrics","Released May 5, 1980
Featuring

    
      Leata Galloway
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"2","Udo Lindenberg","Katze","Panische zeiten","Mädchen, du bist eine Katze
Das find' ich so gut an dir
Schmusige, süße Mieze
Und auch wild wie ein Raubtier

Doch manchmal gibt es Situationen
Da musst du härter sein
Wenn dein Alter dir seine Sprüche geigt
Und immer sagt, du wärst noch viel zu klein

Sag ihm 'n schönen Gruß und so
Er kann sich besser auskotzen auf'm Klo (yeah)

Mädchen, ist das nicht tierisch
Alle Menschen sind wie Katzen
Viele sind alberne Plüschfiguren
Auf d<U+0435>n Leisetret<U+0435>rtatzen

Doch wir sind anders und wir passen nicht
In die Spielzeugabteilung und nicht in den Zoo
Wir sind die Freunde des Dschungels
Und unser Song geht so

Wir sind die Tiger, und eins ist klar
Käfige sind zum Ausbrechen da
Das ist mein Leben, und ich mach', was ich will
Das ist mein Kopf, und ich denk', was ich will
Ich bin ein Tiger, zähmen könnt ihr mich nicht
Jeder, der das versucht
Kriegt die Pranke voll ins Gesicht (yeah yeah yeah yeah)

Wir sind die Tiger, und eins ist klar
Käfige sind zum Ausbrechen da
Das ist mein Leben, und ich mach', was ich will
Das ist mein Kopf, und ich denk', was ich will
Ich bin ein Tiger, zähmen könnt ihr mich nicht
Jeder, der das versucht
Kriegt die Pranke voll ins Gesicht! (yeah yeah yeah yeah)","https://genius.com/Udo-lindenberg-katze-lyrics","Released May 5, 1980
Featuring

    
      Leata Galloway
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"3","Udo Lindenberg","Auf heisser Spur","Panische zeiten","Der Detektiv, der niemals schlief
Rund um die Uhr auf heißer Spur
Sein Leben war Risiko und Gefahr
Doch er mußte immer wissen
Was Sache war

Er war berühmt, berüchtigt
Bei den Gangstern in jedem Land
Sein Name war Carl Coolman
Seine Waffe sein scharfer Verstand

Er streifte durch den Dschungel
Er kannte kein Pardon
Chicago, Bonn und Washington
Das Verbrechen hat imm<U+0435>r Saison","https://genius.com/Udo-lindenberg-auf-heisser-spur-lyrics","Released May 5, 1980
Featuring

    
      Leata Galloway
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"4","Udo Lindenberg","Raketen-Rocker","Panische zeiten","Larry wuchs auf in einer Welt
Die kalt war, kalt wie Eis
Sich bedröhnen oder erfrieren
Es ist schwer, wenn man jung ist und wild und heiß

Abgetörnte Durchhängerei
Zwischen Plastik-Fabriken und Horror-Beton
Wo Computer regieren, alles durchprogrammieren
Vom ersten Schrei bis zum letzten Gong

Doch dann kamen Astronauten
Mit 'nem neuen Fliegeplan
Das geht ab wie 'ne Rakete
Komm, wir schalten die Triebwerke an
Und der Cowndown läuft: drei, zwei, eins, Feuer

1984, brauchst nicht mehr lange zu warten
Dann sind wir alle nur noch Löcher
In ihren lächerlichen Lochkarten
Dann sind wir alle nummerierte Affen
Mit denen können sie alles machen
Doch das werden wir jetzt verhindern
Sie kriegen die Kante, bis sie lachen

Wir sind alle Astronauten
Wir heben ab, wir sind jetzt dran
Das geht ab wie 'ne Rakete
Komm, wir schalten die Triebwerke an
Und der Countdown läuft

Wir sind alle Astronauten
Wie damals auf Cape Kennedy
Raketen-rocker, volle Power
Wir ha'm keine Zeit mehr für Utopie
Wir heben ab in eine Zukunft, wie wir sie wollen
Okay, ihr Big Brothers and Controllettis","https://genius.com/Udo-lindenberg-raketen-rocker-lyrics","Released May 5, 1980
Featuring

    
      Leata Galloway
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"5","Udo Lindenberg","Deutsche Nationalhymne","Panische zeiten","","https://genius.com/Udo-lindenberg-deutsche-nationalhymne-lyrics","Released May 5, 1980
Featuring

    
      Leata Galloway
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"6","Udo Lindenberg","Jamaika","Panische zeiten","Er war ein Seemann und schon seit vielen Jahren
Auf allen sieben Meeren 'rumgefahren
Jetzt auf der Heimfahrt erschien ihm die Zeit
Wieder länger als 'ne Ewigkeit

Seine Sehnsucht war gigantisch, und die See war rauh
Zuhause wird ein Mädchen allmählich zur Frau
Er fragt sich, wieviel Jahre das wohl sind?
Damals war sie noch ein Kind
Zuhause in der kleinen norwegische Stadt
Wo sie ihn irgendwie total verzaubert hat

Wo er ihr Stories erzählt hat von Japan und Alaska
Wo sie ihn fragte, was auf Jamaika los ist
Wo er ihr versprechen mußte, daß er sie mitnimmt, wenn sie groß ist

Er verstand nicht, wie das kam
Plötzlich merkt er, er liebt sie sehr
Und auch später wieder auf See verließ ihn das Gefühl nicht mehr

Es war immer wieder das gleiche
Er war jedes Jahr einmal da, als sie 13,14,15 war
Sie wurde größer, und seine Liebe wuchs immer mehr
Und jede Fahrt fiel ihm schwerer

Aber Mädchen, heut' komm ich endlich wieder zu dir zurück
Ich hab dich so vermißt, ich wurde fast verrückt
Ich lös' jetzt mein Versprechen ein und nehm' dich mit auf den großen Trip für immer
Wir fahren nach Jamaika, nach Kingston Town
Wir werden uns da ein scharfes Leben aufbau'n

Ich lern' ein Instrument und spiele in 'ner Reggae Band
Ich werde Sänger in einer Reggae Band
Ich werd' 'n Star und Du mein Plattenproduzent
Wir finden schon irgend 'nen Job
Nur zur See fahr'n, will ich nicht mehr

Ich will nie mehr alleine an der Reling steh'n
Ich will jetzt keinen Schritt mehr ohne dich geh'n
Und wenn es uns da nicht mehr gefällt
Als Seemann kenn' ich die Welt
(Die Welt ist groß und schwer was los.)

Heut' komm ich endlich wieder zu dir zurück
Ich hab' dich so vermißt, ich wurde fast verrückt
Ich lös' jetzt mein Versprechen ein, und nehm' dich mit auf den großen Trip für immer
Wir fahren nach Jamaika, nach Kingston Town
Wir werden uns da ein scharfes Leben aufbau'n

Du lernst ein Instrument und spielst in einer Reggae Band
(Da haben doch Mädchen nicht weniger Talent.)
Du spielst Gitarre in einer Reggae Band
Du wirst ein Star
Und ich dein Plattenproduzent","https://genius.com/Udo-lindenberg-jamaika-lyrics","Released May 5, 1980
Featuring

    
      Leata Galloway
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"7","Udo Lindenberg","Leinwand","Panische zeiten","Du warst nur eine Leinwand
Traurig, dass ich das sagen muss
Nun ist der Film zu Ende
Mitten in der Story ist pltzlich Schluss
Ich bedaure sehr:
Der Projektor geht nicht mehr

Du warst nur eine Leinwand
Fr meine grossen Phantasien
Nun ist der Film gerissen
Und ich werde weiterziehen -
Wieder allein mit meinen radikalen Trumen

Wir haben uns leider selten gesehen
Richtig kennengelernt hab ich dich nie
Ich hab mir da was zusammen gesponnen
In Panik-Color und Gigantophonie

Wenns auch schwerfllt:
Ich sehs jetzt ein
Obwohl du der Typ bist
Der mich umhaut wie noch nie
Mein Superstar kannst du leider nur sein
In meinem Wunschkino unter meiner Phantastenregie -
Ich bedaure sehr:
Dieses Hollywood funktioniert nicht mehr

Wir haben uns leider selten gesehen
Richtig kennengelernt hab ich dich nie
Ich hab mir da was zusammen gesponnen
In Panik-Color und Gigantophonie

Sowas passiert!
Ich hab diesen ganzen Wahnsinn auf dich drauf projiziert
Du bist keine Leinwand
Ich muss mich korrigieren bitte verzeih!
Es gibt nur Sterne I'm Weltall -
Aus igend 'nem blden Grund
Rasen die aneinander vorbei","https://genius.com/Udo-lindenberg-leinwand-lyrics","Released May 5, 1980
Featuring

    
      Leata Galloway
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"8","Udo Lindenberg","Du warst wie ein Erdbeben","Panische zeiten","Sie spielte Bass in 'ner Mädchen - Band
Sie kam aus Manchester
Ich traf Sie in Tokio
Ich war da mit dem Ja-Panik-Orichester

Sie war wie das stärkste Erdbeben
Das man nicht registrieren kann
Ich versank in Ihrer Lava
Sie schoß über wie ein Vulkan

Deine Küsse war'n wie Feuer
Kosmische Energie
Du bist wie ein Erdbeben
So was trifft man nur einmal im Leben

Yeah, yeah - Sie sagt, Weißt Du wo ich herkomm,weißt Du wo?
Aus dem Kofferaum von 'nem alten Auto
Ich war 14 da sah ich im TV
Die goldene Prunk - Protz Kutsche
Bei Queens - Jubilee

Wir hängen voll im Brett und die alten Rock-Idole
Waren abgewichst und nur noch für die Kohle
Wir hatten zwar nur 3 Gitarrengriffe drauf
Doch wir schrien uns're Wut raus und standen auf

Deine Küsse war'n wie Feuer
Kosmische Energie
Du bist wie ein Erdbeben
So was trifft man nur einmal im Leben
Mmh - yeah

Sie hatte rot-grüne Haare, gigantisch breiten Mund
Pöbelt jeden Spieser in den Grund
Sie sagt ""Viele Gestze sind dazu da,das man sich nicht an Sie hält
Mit Paragraphen verschnürr'n Sie doch nur
Die auseinander brechende, alte Welt

Hinter all den Glitzerfassaden
Wütet der Krebs und rollt sich der Schrott
Wir haben keine Luste auf die Erklärung zu warten
Für uns ist das System jetzt schon bankrott

Deine Küsse war'n wie Feuer
Uns Sie schmeckten nach Rock'n Roll und Rebellion","https://genius.com/Udo-lindenberg-du-warst-wie-ein-erdbeben-lyrics","Released May 5, 1980
Featuring

    
      Leata Galloway
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"9","Udo Lindenberg","Baby, wenn ich down bin","Panische Zeiten","[Verse 1: Udo Lindenberg]
Baby, wenn ich down bin
Und ich fühl mich schwach
Dann machst du mich mit deiner Power
Wieder stark und wach
Wenn ich mal ins Schleudern komme
Bist du da und hältst mich fest
Du bist die eine, die mich niemals
Die mich niemals hängen lässt

[Verse 2: Udo Lindenberg]
Oder wenn ich durchdreh
Die letzten Scheine auf den Tresen hau
Drei Tage nicht nach Hause komm
Und hab was mit ner andern Frau
Dann bist du wie ne Schwester
Die auch solche Flips versteht
Die dafür sorgt
Dass es mit uns beiden trotzdem weitergeht

[Verse 3: Leata Galloway]
Yes, we've seen the good times
And the bad times too
There where cold and windy roads to go
But each time the sun keeps shining through
I stood by you through thick and thin
And I'm standing by you still
Cause I love you
Yes, I love you - I always will

[Verse 4: Udo Lindenberg]
Baby, wenn ich durch bin
Und ich fühl mich schwach
Dann machst du den müden Buhmann
Wieder heiß und wach
Lass alle Gangster dieser Welt
Gegen uns agieren
Solange wir zusammen sind
Kann überhaupt nichts passieren","https://genius.com/Udo-lindenberg-baby-wenn-ich-down-bin-lyrics","Released May 5, 1980
Featuring

    
      Leata Galloway
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
"10","Udo Lindenberg","Detektiv Coolman","Panische zeiten","Der Detektiv, der niemals schlief
Rund um die Uhr auf heißer Spur
Sein Leben war Risiko und Gefahr
Doch er mußte immer wissen
Was Sache war

Es fing an mit Vietnam
Watergate, Harrisburg, Gangster-Politik
Weiße Kragen - schmutzige Geschäfte
In jedem Land, in jeder Republik

Er hatte sein ganz eigenes Bild
Von Recht und Gesetz
Die Kleinen, sagt er, fängt man
Die Großen gehn durchs Netz

Er kämpfte für ne ehrliche Welt
Von der er, wie jeder, geträumt hat als Kind
Nun entlarvte er die Verbrecher
Die am Drücker sind

Doch es sind nicht nur die da oben
Allein hätten sie nicht die Macht
Es gibt zu viele hier unten
Die pennen und nicht nur bei Nacht

Bei denen schläft das Gewissen
Trotz Horror-Krimi überall
Und deshalb kommt der Detektiv nie zur Ruhe
Allein mit seinem größten ungelösten Fall

Der Detektiv, der niemals schlief
Rund um die Uhr auf heißer Spur

(Hey, Detektiv, du bist nicht allein
Bei diesem Auftrag steigen wir ein)","https://genius.com/Udo-lindenberg-detektiv-coolman-lyrics","Released May 5, 1980
Featuring

    
      Leata Galloway
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright <U+2117>

    
      Warner Music Group"
