"";"artist";"title";"album";"text";"url";"metadata"
"1";"Udo Lindenberg";"Ich zieh’ meinen Hut";"Stark wie zwei";"[Strophe I:]
Ich bin gerast durch dieses Leben
Bin geflogen aus den Kurven
Hab mich selber ausgeknockt
Und immer weiter gezockt
Wo was los war, ich war da
War der Hexer in jeder Bar
Ich war hinter jeder Grenze
Und so viel weiter
Man ich hab mich selber fast verlorn
Doch so'n Hero stürzt ab steht auf und startet von vorn

[Chorus:]
Doch du
Warst immer bei mir irgendwie
Wie ne super starke Melodie
Die mich packte und nach Hause trug
Und du
Warst da wenn ich am Boden lag
Und ganz egal was ich auch tat
Du hast mich niemals ausgebuht
Mille grazie
Vor dir zieh ich meinen Hut

[Strophe II:]
Du warst immer für mich da
Aufm Highway to hell
Rockerhelden sterben jung
Rockerhelden leben schnell
Man riskiert so manches
Für den besonderen Kick
War oft schon übern Jordan
Doch du holst mich cool zurück
Keiner hat mich je so doll geliebt
Bist wie'n Schutzengel der Überstunden
Der Überstunden schiebt

[Chorus]

Vor dir zieh ich meinen Hut

[Chorus]";"https://genius.com/Udo-lindenberg-ich-zieh-meinen-hut-lyrics";"Released March 28, 2008
Featuring

    
      Helge Schneider, Jan Delay, Silbermond & 1 more
Producers

    
      Andreas Herbig
Writers

    
      Jan Delay, Jörg Sander, Sandi Strmljan & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"2";"Udo Lindenberg";"Wenn du durchhängst";"Stark wie zwei";"[Strophe I:]
Wenn der tag zu ende geht
Und du hängst allein zuhaus'
Und du weißt nicht wie es weitergeht
Da musst du wissen jederzeit
Ich bin immer startbereit
Eh für uns ist es doch nie zu spät
Ganz egal wo ich grad bin
Schon komm ich rüber

[Chorus:]
Wenn du durchhängst
Gibt's nichts stärkeres als uns 2
Wir halten fest zusammen
Alles andere geht uns am arsch vorbei

[Strophe II:]
Wie viel jahre sind wir jetzt
Schon durch diese welt gefetzt
Komplizen die wir immer waren
Haben uns locker angestellt
An der achterbahn der welt
Und sind eigentlich immer sehr gut gefahren
Mal ging's ab mal waren wir down
Aber nix hat uns umgehauen

[Chorus]

[Strophe III:]
Wenn du trouble hast, mehr geht nicht, als wir 2
Dann sag' ich bleib mal cool
Selbst der härteste scheiss
Geht irgendwann wieder vorbei
Ey das ist doch klare sache
2 so typen an der autobahn
Halten den daumen in den wind
Es wurde zeit mal wieder los zu fahren
Weil wir beiden immer ganz weit vorne sind
Wenn du 'nen freund hast
'n komplize so wie mich
Dann drehen wir schon die dinger

[Chorus]

[Outro:]
Wenn du durchhängst
Mehr geht nicht als wir 2
Dann sag ich-bleib mal cool
Selbst der härteste scheiss geht irgendwann wieder vorbei";"https://genius.com/Udo-lindenberg-wenn-du-durchhangst-lyrics";"Released March 28, 2008
Featuring

    
      Helge Schneider, Jan Delay, Silbermond & 1 more
Producers

    
      Andreas Herbig
Writers

    
      Jan Delay, Jörg Sander, Sandi Strmljan & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"3";"Udo Lindenberg";"Ganz anders";"Stark wie zwei";"[Intro (Udo Lindenberg &Jan Delay]
Ja komm, hau, hau rein das Ding
Ohh ja
Ohh ja, ja, Udo ist im Haus
Ohh ja, hör zu
Ohh, Ich sage:

[Refrain 1]
Eigentlich bin ich ganz anders
Ich komm' nur viel zu selten dazu
Du machst hier gleich mit einem Bekanntschaft
Den ich genauso wenig kenne wie du

[Strophe 1: Udo Lindenberg]
Ich hab' so viel' Termine
In der Disco, vor Gericht und bei der Bank
Da schick' ich einfach meine Vize-Egos
Und das wahre Ich bleibt lieber im Schrank

[Pre-Chorus: Jan Delay]
Ich bin gar nicht der Typ
Den jeder in mir sieht
Und das werd' ich euch bei Zeiten
Auch alles noch beweisen

[Refrain 1]
Eigentlich bin ich ganz anders
Ich komm' nur viel zu selten dazu
Du machst hier gleich mit einem Bekanntschaft
Den ich genauso wenig kenne wie du

[Strophe 2]
Du hast bestimmt 'n falsches Bild von mir
Sowas wie 'n echten Kujau
Es tut mir leid, da kann ich nix dafür
Denn mein eigentliches Ich ist im Urlaub

[Pre-Chorus: Jan Delay]
Ohh ja
Ich bin gar nicht der Typ
Den jeder in mir sieht
(Ich sage) Und das werd' ich euch bei Zeiten
Auch alles noch beweisen

[Refrain 1]
Eigentlich bin ich ganz anders
Ich komm' nur viel zu selten dazu
Du machst hier gleich mit einem Bekanntschaft
Den ich genauso wenig kenne wie du

[Solo][x2]
Kenn' wir nicht, kenn' wir nicht
Kenn' wir nicht, kenn' wir nicht
Kenn' wir nicht, kenn' wir nicht
Kenn' wir nicht, kenn' wir nicht
Kenn' wir nicht, kenn' wir nicht

[Bridge: Udo Lindenberg & Jan Delay]
Und am Schluss, da hätt' ich noch 'ne FrageWieso packt ihr alles, was ich sageImmer auf die Goldwaage
Das find' ich voll schade

[Pre-Chorus: Jan Delay]
(Ich sage) Ich bin gar nicht der Typ
Den jeder in mir sieht
Und das werd' ich euch bei Zeiten
Auch alles noch beweisen
Oh ja
Oh, ich sage:

[Refrain 1]
Eigentlich bin ich ganz anders
Ich komm' nur viel zu selten dazu
Du machst hier gleich mit einem Bekanntschaft
Den ich genauso wenig kenne wie du

[Refrain 2: Jan Delay]
(Ich sage) Eigentlich sind wir ganz anders
Wir komm' nur viel zu selten dazu
Du machst hier grad' mit Leuten Bekanntschaft
Die wir genauso wenig kennen wie du";"https://genius.com/Udo-lindenberg-ganz-anders-lyrics";"Released March 28, 2008
Featuring

    
      Helge Schneider, Jan Delay, Silbermond & 1 more
Producers

    
      Andreas Herbig
Writers

    
      Jan Delay, Jörg Sander, Sandi Strmljan & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"4";"Udo Lindenberg";"Was hat die Zeit mit uns gemacht";"Stark wie zwei";"[Strophe 1]
Der Winter kommt
Der erst Schnee der fällt
Auf unser heißes herz
Das hab ich nicht bestellt
Polare zeiten nah'n, das ist nicht meine welt
Auf dieser autobahn
Lass uns nicht weiterfahr'n
Die letzte ausfahrt hier
Ey komm die nehmen wir
Da ist die letzte bar, ist der letzte drink
Vor der grenze da

[Refrain]
Was hat die Zeit mit uns gemacht
Was ist denn bloß aus uns geworden
Was hat die Zeit mit uns gemacht
Ein eisiger Wind treibt uns nach Norden
In so ein Land wo weit und breit
Nichts ist als Schweigen oder Streit
Da will ich nicht hin, das macht mich kaputt

[Strophe 2]
Der Himmel über uns
Früher war der blau
Heut steh'n Fabriken da
Sie produzieren grau
Nur noch die Farbe grau
Ich kann es nicht mehr seh'n
Ey, tu mir das nicht an
Ich krieg ja so 'nen hals
Egal was ich auch sag
Alles verstehst du falsch
Dabei möchte ich so gern
Wir sind doch beide vom selben Stern

[Refrain]
Was hat die Zeit mit uns gemacht
Was ist denn bloß aus uns geworden
Was hat die Zeit mit uns gemacht
Ein eisiger Wind treibt uns nach Norden
In so ein Land wo weit und breit
Nichts ist als Schweigen oder Streit
Da will ich nicht hin, das macht mich kaputt

[Bridge]
Da will ich nicht hin
Das macht mich kaputt
Ich lieb dich immer noch

[Refrain]
Was hat die Zeit mit uns gemacht
Was ist denn bloß aus uns geworden
Was hat die Zeit mit uns gemacht
Ein eisiger Wind treibt uns nach Norden
In so ein Land wo weit und breit
Nichts ist als Schweigen oder Streit
Da will ich nicht hin, das macht mich kaputt

[Outro]
Ey, das weißt du doch
Ich lieb dich immer noch
Was hat die Zeit mit uns gemacht
Was haben wir beide falsch gemacht
Ich lieb dich immer noch
Haben uns're Liebe umgebracht
Ich lieb dich immer noch
";"https://genius.com/Udo-lindenberg-was-hat-die-zeit-mit-uns-gemacht-lyrics";"Released March 28, 2008
Featuring

    
      Helge Schneider, Jan Delay, Silbermond & 1 more
Producers

    
      Andreas Herbig
Writers

    
      Jan Delay, Jörg Sander, Sandi Strmljan & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"5";"Udo Lindenberg";"Mein Ding";"Stark wie zwei";"[Songtext zu ""Mein Ding""]

[Strophe 1]
Als ich noch ein junger Mann war
Saß ich locker irgendwann da
Auf der Wiese vor'm Hotel Kempinski
Trommelstöcke in der Tasche
In der Hand 'ne Cognacflasche
Und ein Autogramm von Klaus Kinski
Ich guckte hoch auf's weiße Schloss
Oder Malochen bei Blohm & Voss
Ne irgendwie, das war doch klar
Irgendwann da wohn' ich da
In der Präsidentensuite
Wo's nicht reinregnet und nicht zieht
Und was bestell ich dann
Dosenbier und Kaviar

[Refrain]
Und Ich mach' mein Ding
Egal was die anderen sagen
Ich geh meinen Weg
Ob gerade, ob schräg, das ist egal
Ich mach' mein Ding
Egal was die anderen labern
Was die Schwachmaten einem so raten
Das ist egal
Ich mach' mein Ding

[Strophe 2]
Und jetzt kommst du aus der Provinz
Und wenn auch jeder sagt: ""Du spinnst""
Du wirst es genauso bringen
Mach's auf die charmante Art
Mal elastisch, manchmal hart
Manchmal musst du das Glück auch zwingen
Später spricht dann Wilhelm Wieben
Er ist sich immer treu geblieben
Die Mode kam, die Mode ging
Man war immer noch der King

[Refrain]
Ja, du machst dein Ding
Egal was die ander'n sagen
Du gehst deinen Weg
Ob gerade, ob schräg
Das ist doch egal
Du machst dein Ding
Egal was die ander'n labern
Was die Schwachmaten einem so raten
Das ist egal

[Bridge]
Und dann bist du dir immer treu geblieben
Und Roomservice wird mit U und H geschrieben

[Refrain]
Und ich mach' mein Ding
Egal was die ander'n labern
Was die Schwachmaten einem so raten
Das ist egal
Ja, ich mach' mein Ding
Egal was die ander'n labern
Was die Schwachmaten einem so raten
Das ist egal
Ich mach' mein Ding
(Ja, das ist es)";"https://genius.com/Udo-lindenberg-mein-ding-lyrics";"Released March 28, 2008
Featuring

    
      Helge Schneider, Jan Delay, Silbermond & 1 more
Producers

    
      Andreas Herbig
Writers

    
      Jan Delay, Jörg Sander, Sandi Strmljan & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"6";"Udo Lindenberg";"Stark wie Zwei";"Stark wie zwei";"[Strophe I:]
Der tod ist ein irrtum
Ich krieg das gar nicht klar
Die rufen gleich an
Und sagen es ist doch nicht wahr
Es war nur'n versehn
War n falsches signal
Aus irgendeinem fernen sternental
Ich wähl deine nummer
Doch du gehst nicht mehr ran
Mir wird schockmäßig klar
Es ist doch wahr
Du kommst nicht mehr
Doch ich lass mich davon nicht zu boden schmettern

[Chorus I:]
Der fährmann setzt dich über'n fluss rüber
Ich spür deine kraft geht voll auf mich über

[Chorus:]
Stark wie zwei
Ich geh die straße runter
Stark wie zwei
Egal wohin ich geh
Du bist dabei
Ich bin jetzt
Stark wie zwei

[Strophe II:]
Ich heb mein glas
Und trink auf dich
Da oben hinter den sternen
Ich vergess dich nicht
Auch wenn ich heute dich so hart verlier
So bleibst du doch
Hier für immer bei mir
Du hast immer gesagt ich soll nicht so lange trauern
Ich soll in deinem namen richtig weiter powern

[Chorus]

[Bridge:]
Stark wie zwei
Tief in meinem herzen
Stark wie zwei
Hab dich immer dabei
Ich geh die straße lang
Zusamm' mit dir
Stark wie zwei

[Chorus I]

[Chorus II]

[Outro:]
Stark wie zwei
Du bist wie schon so oft ein pionier
Du reist jetzt schon mal vor
Und irgendwann
Dann folg ich dir";"https://genius.com/Udo-lindenberg-stark-wie-zwei-lyrics";"Released March 28, 2008
Featuring

    
      Helge Schneider, Jan Delay, Silbermond & 1 more
Producers

    
      Andreas Herbig
Writers

    
      Jan Delay, Jörg Sander, Sandi Strmljan & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"7";"Udo Lindenberg";"Der Deal";"Stark wie zwei";"[Strophe I:]
Man ist komplett cool
Man denkt digital
Das Herz ist aus Eisen
Und die Nerven sind aus Stahl
Man ist in Sachen Liebe
Nicht interessiert und ganz immun
Man wird besonders süße Sachen
Natürlich niemals tun

[Chorus I:]
Vergiss nie
Wir haben einen Deal
Ich lieb dich nur ein bisschen aber nicht zu viel

[Chorus II:]
Richtige Liebe ist, sein wir mal ehrlich
Richtige Liebe ist viel zu gefährlich
Nein das Große das wir haben
Das setzen wir nicht auf's Spiel
Darum lieb ich dich nur ein bisschen aber nie zu viel

[Strophe II:]
Du gehst mir
Am Arsch vorbei
Obwohl's auch gut ist
Wir zwei
Denn manchmal
Machst du's mir schwer
Dann gibt es auch bei mir
Keine Gegenwehr mehr
Fast so als ob ich dich schon immer kannte
Sind wir wie zwei Seelenverwandte
Doch keinen Grund den Verstand zu verliern
Und dabei Kopf und Kragen zu riskiern

[Chorus I]

[Chorus II]

[Outro:]
Leute wie wir
Bleiben immer schön cool
Wir tragen immer
Das Pokergesicht
Tiefe Seele
Geht keinen was an
Große Gefühle
Zeigen wir nicht

[Chorus II:]
Richtige Liebe ist, sein wir mal ehrlich
Richtige Liebe ist viel zu gefährlich
Nein das Große das wir haben
Das setzen wir nicht auf's Spiel
Darum lieb ich dich nur ein bisschen aber nie zu viel[x2]";"https://genius.com/Udo-lindenberg-der-deal-lyrics";"Released March 28, 2008
Featuring

    
      Helge Schneider, Jan Delay, Silbermond & 1 more
Producers

    
      Andreas Herbig
Writers

    
      Jan Delay, Jörg Sander, Sandi Strmljan & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"8";"Udo Lindenberg";"Chubby Checker";"Stark wie zwei";"[Strophe I:]
Aber, große hunde können auch gefährlich sein
Man muss immer noch eine zweite person da haben
Die einen vorderfuß hoch hebt von dem hund
Dann kann er nicht nach hinten austreten (haha) dankeschön
Chubby checker stellt den wecker
Denn er muss ja mal wieder aufstehen
In so einem hotel muss man immer
Mal schnell die korridore abgehen
Mal gucken, ob noch alles klar ist
Und ob noch alles da ist
Sind die gäste auch alle gut zugedeckt?
Sitzt auch keiner auf der heizung, wenn die heizung leckt?
Chubby checker stellt den wecker
Verdächtiger gast an der rezeption
Man weiß noch nicht genau
Man ahnt noch rein ins blaue
Vielleicht ein koksbaron? (kennen sie den?)
Kombiniere. Komme schon!

[Chorus:]
Ob der koks hat oder shit
Irgendwas hat der doch mit
Ob der koks hat oder shit
Irgendwas hat der doch mit
Rex geh an den koffer ran
Und der drogenhund schlägt an

Wuff, wuff, wuff

[Strophe II:]
Riech mal hier. Komm, riech. Da, such such such
Chubby checker stellt den wecker
Dnn er muss mal wieder gucken gehen (darf man hier mal schauen?)
Dass auch beim sexuellen nich
So lauten schreie gellen hier durch unser hotel
Kein geröchel, kein gehechel
In den suiten und den zimmern bitte immer nur wimmern
Sonst greift chubby checkker zum telefon
Und die männer von der sitte kommen schon

[Chorus:]
Ob der koks hat oder shit
Irgendwas hat der doch mit
Ob der koks hat oder shit
Irgendwas hat der doch mit
Rex, rex geh an den koffer ran
Und der drogenhund schlägt an
Ob der koks hat oder shit
Irgendwas hat der doch mit
Rex (komm her) geh an den koffer ran
Und der drogenhund schlägt an

[Outro:]
Fuß habe ich gesagt
Wo ist fuß? Hier ist fuß";"https://genius.com/Udo-lindenberg-chubby-checker-lyrics";"Released March 28, 2008
Featuring

    
      Helge Schneider, Jan Delay, Silbermond & 1 more
Producers

    
      Andreas Herbig
Writers

    
      Jan Delay, Jörg Sander, Sandi Strmljan & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"9";"Udo Lindenberg";"Der Greis ist heiß";"Stark wie zwei";"[Chorus:][x2]
Ach wie gut, dass keiner weiß
Der Greis ist hart, der Greis ist heiß

[Strophe I:]
Alte Männer sind gefährlich, denn die Zukunft ist egal
Alte Frauen sind begehrlich, denn es ist das letzte Mal
Alte Männer setzen alles, auf die letzte große Kreditkarte
Hauen so richtig auf die Sahne
Und dem Erbschleicher sagen sie: Warte!
Er trinkt sein Bier aus der Schnabeltasse
Und geht dann wieder richtig los
Sagen nur, B-B-Baby, Baby gewähr mir mal den Gnadenstoss

[Chorus][x2]

[Strophe II:]
Ältere Typen werden oft
Von jüngeren Pinschern angepisst
Als wäre das schon, schon ein Verdienst
Wenn man zufälligerweise ein bisschen jünger ist
Alte Männer kaufen sich von ihrer Rente schöne Medikamente
Ja, sie schlucken tonnenweise Viagra
Schmusen und poppen den ganzen Tag in ihrem Liebeslager
Alte Männer setzen alles, auf die letzte große Kreditkarte
Hauen so richtig auf die Sahne
Und dem Erbschleicher sagen sie: Warte!
Er trinkt sein Bier aus der Schnabeltasse
Und geht dann wieder richtig los
Sagen nur, B-B-Baby, Baby gewähr mir mal den Gnadenstoss

[Chorus][x4]";"https://genius.com/Udo-lindenberg-der-greis-ist-hei-lyrics";"Released March 28, 2008
Featuring

    
      Helge Schneider, Jan Delay, Silbermond & 1 more
Producers

    
      Andreas Herbig
Writers

    
      Jan Delay, Jörg Sander, Sandi Strmljan & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"10";"Udo Lindenberg";"Woddy Woddy Wodka";"Stark wie zwei";"[Strophe I:]
An 'nem schönen montag morgen
Lag ein toter mann am strand
In dessen nähe man einen - astronautenanzug fand
Aber schon nach dreieinhalb tagen
Alles klar auf golgatha - war er wieder auferstanden
Freitag abend an der bar

[Chorus I:]
Woddy woddy wodka war sein treibstoff
Und und und jetzt flutet er die tanks
Es ist wieder wie apollo 13
Und er fühlt sich wie tom hanks

[Strophe II:]
Zu den fernen, zu den sternen
In das kosmisch helle licht
Wo das weltall ihn erleuchtet
Und der wahnsinn zu ihm spricht
Denn hier unten bei den normalos
Nee, da hält er's nicht mehr aus
Nur da oben bei daniel düse
Ist sein wirkliches zuhaus

[Chorus I]

[Chorus II:]
Woddy woddy wodka war sein name
Woddy woddy wodka und er sprach:
Ich zisch' jetzt erstmal locker durch die decke
Immer schön der nasa nach

[Strophe III:]
Woddy woddy wodka war sein name
Und irgendwann, da schleudert er extrem
Hello, here is houston, ground control
Are you having a problem, ein alkoholproblem
No no no no, alles roger!

[Chorus II:]
Woddy woddy wodka war sein name
Woddy woddy wodka und er sprach
Ich zisch' jetzt erstmal locker durch die decke
Immer schön der nasa nach[x2]";"https://genius.com/Udo-lindenberg-woddy-woddy-wodka-lyrics";"Released March 28, 2008
Featuring

    
      Helge Schneider, Jan Delay, Silbermond & 1 more
Producers

    
      Andreas Herbig
Writers

    
      Jan Delay, Jörg Sander, Sandi Strmljan & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
