"";"artist";"title";"album";"text";"url";"metadata"
"1";"Udo Lindenberg";"Hoch im Norden";"Udopium das beste special edition";"[Strophe 1]
Hoch im Norden, hinter den Deichen bin ich geboren
Immer nur Wasser, ganz viele Fische
Mövengeschrei und Meeresrauschen in meinen Ohren
Und mein Vater war Schipper, der fluchte wenn Sturm war
Dann konnt` er nicht raus auf See
Dann ging er zu Herrn Hansen, der der Chef vom Leuchtturm war
Und der sagte: keine Panik auf der Titanic
Jetzt trinken wir erst mal einen Rum mit Tee

[Strophe 2]
Und ich verbrachte meine Tage am Nordseedünenstrand
Bin jahrelang tagtäglich am Deich entlang gerannt
Und meine Mutter brachte jeden Tag und freitags ganz besonders
Muschelzeug und Fisch auf den Tisch

[Strophe 3]
Ja es war ja auch ganz schön und das Klima ist gesund
Und doch hab ich mir gedacht:
Hier wirst Du auf die Dauer, nur Schipper oder Bauer
Hier kommt man ganz allmählich auf den Seehund
Und als ich so um 16 war, da hatte ich genug
Da nahm ich den nächstbesten nach Süden fahrenden Zug

[Strophe 4]
Nun sitz ich hier im Süden und so toll ist es hier auch nicht
Und eine viel zu heiße Sonne, knallt mir ins Gesicht
Nein das Gelbe ist es auch nicht
Und ich muß so schrecklich schwitzen
Ach wie gern würde ich mal wieder
Auf einer Nordseedüne sitzen";"https://genius.com/Udo-lindenberg-hoch-im-norden-lyrics";"Released May 14, 2021
Label

    
      Warner Music Group & Dolcerita Recordings
Copyright ©

    
      Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group
Featuring

    
      Clueso, Inga Humpe, Jan Delay & 4 more
Producers

    
      Andreas Herbig, Justin Balk, Sandi Strmljan & 2 more
Writers

    
      Andreas Herbig, Benjamin von Stuckrad-Barre, Detlef Petersen & 19 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"2";"Udo Lindenberg";"Daumen im Wind";"Udopium das beste special edition";"Ach
Wie gerne wre ich im Club der Millionre
Doch da kommt man nicht so ohne weit're rein
Da mu man schon Erfinder oder Schwerverbrecher sein
Ach
Wie gerne wre ich im Club der Millionre
Oder Erbschleicher vielleicht oder'n Lottogewinn
Mehr Mglichkeiten sind da nicht drin
Ahu ...
Sind Sie Mitglied oder ohne
Sonst komm'n Sie hier nicht rein
Sagt der Trsteher vom Ritz;
Es mte schon die gold'ne
Amexxo-Karte sein
Dann reit er noch 'nen blden Witz
Sie lassen dich drauen stehen
So bse und gemein
Und wieder bist du das arme Schwein
Ach
Wie gerne wre ich ...
Allein um das zu ndern
Werde ich jetzt bald
Ein superreicher Lebemann
Der dann den ganzen Tag
Mit Champagnerkorken knallt
Und Arbeit geht ihn nix mehr an
Er liebt es
Teure Frauen
Mit Schaumwein zu bespritzen
Anstatt als arme Filzlaus im Gully abzusitzen
Ach
Wie gerne wre ich ...
Den Kellner voller Gold
Die Doormnner mit Colt
Vor meiner Suite in Manhattan
Die schnsten Photomodells
Krabbeln durch die seidnen Betten
Das einzige Problemchen
Das ich vielleicht dann htt'
Finden die Mdels wirklich mich
Oder meine Kohle nett?
Ach
Wie gerne wre ich ...";"https://genius.com/Udo-lindenberg-daumen-im-wind-lyrics";"Released May 14, 2021
Label

    
      Warner Music Group & Dolcerita Recordings
Copyright ©

    
      Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group
Featuring

    
      Clueso, Inga Humpe, Jan Delay & 4 more
Producers

    
      Andreas Herbig, Justin Balk, Sandi Strmljan & 2 more
Writers

    
      Andreas Herbig, Benjamin von Stuckrad-Barre, Detlef Petersen & 19 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"3";"Udo Lindenberg";"Good Life City";"Udopium das beste special edition";"[Verse 1]
People in my hometown don't think like me
It's so funny, they cannot see any good in me

The girls in my hometown won't go with me
'Cause they don't want my loving heart
They want security

[Chorus]
I say hey, hey, hey
Good life city, I'm on my way
Hey, hey, hey
Good life city, I'm on my way

[Verse 2]
My family in my hometown, they hate to see
Their good image turning to shame in their community

Hey people, listen to me
This is the day that I put on my travelling shoes
And go, go go, the other way

[Chorus]
I say hey, hey, hey
Good life city, I'm on my way
Hey, hey, hey yeah
Good life city, I'm on my way
I say hey, hey, hey yeah
Good life city, I'm on my way
Hey, hey, hey yeah
Good life city, I'm on my way
Hey yeah
Good life city, I'm on my way
Hey, hey, hey yeah
Good life city, I'm on my way
I said hey";"https://genius.com/Udo-lindenberg-good-life-city-lyrics";"Released May 14, 2021
Label

    
      Warner Music Group & Dolcerita Recordings
Copyright ©

    
      Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group
Featuring

    
      Clueso, Inga Humpe, Jan Delay & 4 more
Producers

    
      Andreas Herbig, Justin Balk, Sandi Strmljan & 2 more
Writers

    
      Andreas Herbig, Benjamin von Stuckrad-Barre, Detlef Petersen & 19 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"4";"Udo Lindenberg";"Alles klar auf der Andrea Doria";"Udopium das beste special edition";"[Refrain 1]
Bei Onkel Pö spielt 'ne Rentnerband
Seit 20 Jahren Dixieland
'N Groupie hab 'n die auch
Die heißt Rosa oder so
Und die tanzt auf'm Tisch
Wie 'n Go-Go-Go-Girl

[Strophe 1]
Und dann Paula aus St. Pauli
Die sich immer auszieht
Und Lola hat Geburtstag
Und man trinkt darauf
Dass sie wirklich mal so alt wird
Wie sie jetzt schon aussieht
Und überhaupt ist heute alles klar auf der Andrea Doria
Gottfried heißt der Knabe da hinten am Klavier
Und für jede Nummer Ragtime kriegt er'n Korn und 'n Bier
Ein Typ in der Nische schockiert seine Braut
Und Bernie Flottmann denkt
Er wär 'n Astronaut
Jetzt kommt noch einer 'rüber aus der Dröhndiskothek
Und ich glaub' dass unser Dampfer bald untergeht

[Refrain 2]
Aber sonst ist heute alles klar auf der Andrea Doria

[Refrain 1]
Bei Onkel Pö spielt 'ne Rentnerband
Seit 20 Jahren Dixieland
'N Groupie hab 'n die auch
Die heißt Rosa oder so
Und die tanzt auf'm Tisch
Wie 'n Go-Go-Go-Girl

[Bridge]
Es kommt mal wieder gar nicht darauf an
Und Leda träumt von einem Pelikan
Und überhaupt ist alles längst zu spät
Und der Nervenarzt weiß auch nicht mehr wie's weitergeht

[Refrain 2]
Aber sonst ist heute alles klar auf der Andrea Doria";"https://genius.com/Udo-lindenberg-alles-klar-auf-der-andrea-doria-lyrics";"Released May 14, 2021
Label

    
      Warner Music Group & Dolcerita Recordings
Copyright ©

    
      Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group
Featuring

    
      Clueso, Inga Humpe, Jan Delay & 4 more
Producers

    
      Andreas Herbig, Justin Balk, Sandi Strmljan & 2 more
Writers

    
      Andreas Herbig, Benjamin von Stuckrad-Barre, Detlef Petersen & 19 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"5";"Udo Lindenberg";"Er wollte nach London";"Udopium das beste special edition";"Mit dreizehn ist er zum ersten Mal
Von zu Hause weggerannt
Er wollte nach London und später nach Paris
Das waren komische Gefühle
Als er nachts an der Straße stand
Den Schlafsack unterm Arm

Und dreißig Mark in der Hand
Er rauchte viele Zigaretten
Und dann wurd' es wieder heller
Und morgens um sieben hatten sie ihn
Sein Alter war leider schneller

Als er so um fünfzehn war, hat er's noch mal versucht
Und dieses Mal hat's hingehauen
Da haben sie sehr geflucht
Als er drei Tage später den Eindruck hatte
Dass er weit genug weg war

Hat er zu Hause angerufen
Und gesagt, es wär' alles klar
Eigentlich war gar nichts klar
Und das Geld war auch schon alle
Und nun stand er da in irgendeiner kalten Bahnhofshalle

Er war in London, er war in Paris
Er war in vielen großen Städten
Er schlief auf harten Parkbänken
Und auf weichen Wasserbetten
Er spürte, dass er irgendwie auf der Suche war
Doch was er eigentlich wollte
Das war ihm damals noch nicht klar

Inzwischen ist er neunzehn
Und er weiß immer noch nicht so genau
Was er denn nun davon halten soll
Von dieser ganzen Schau

Viele Sachen sieht er anders
Und er glaubt auch nicht mehr so daran
Dass es nur an der Umgebung liegt
Vielleicht kommt es doch mehr auf einen selber an

Und nun liest er ein Buch von Hermann Hesse
Und nun macht er Meditation
Doch er findet Jerry Cotton auch sehr stark
Und er lernt jetzt auch noch Saxophon";"https://genius.com/Udo-lindenberg-er-wollte-nach-london-lyrics";"Released May 14, 2021
Label

    
      Warner Music Group & Dolcerita Recordings
Copyright ©

    
      Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group
Featuring

    
      Clueso, Inga Humpe, Jan Delay & 4 more
Producers

    
      Andreas Herbig, Justin Balk, Sandi Strmljan & 2 more
Writers

    
      Andreas Herbig, Benjamin von Stuckrad-Barre, Detlef Petersen & 19 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"6";"Udo Lindenberg";"Wir wollen doch einfach nur zusammen sein";"Udopium das beste special edition";"Stell dir vor
Du kommst nach Ost-Berlin
Und da triffst du ein ganz heisses Mädchen
So ein ganz heisses Mädchen aus Pankow
Und du findest sie sehr bedeutend
Und sie dich auch

Dann ist es auch schon so weit
Ihr spürt, dass ihr gerne zusammen seid
Und ihr trämt von einem Rock-Festival
Auf dem Alexanderplatz
Mit den Rolling Stones und 'ner Band aus Moskau

Doch plötzlich ist es schon zehn nach elf
Und sie sagt: Ey, du musst ja spätestens um zwölf
Weider drüben sein
Sonst gibt's diе grössten Nerverеien
Denn du hast ja nur 'n Tagesschein

Mädchen aus Ost-Berlin
Das war wirklich schwer
Ich musste gehn, obwohl ich so gerne
Noch geblieben wär
Aber Mädchen, ich komme wieder
Und vielleicht geht's auch iregendwann mal
Ohne Nervereien
Da muss doch auf die Dauer was zu machen sein!

Ich hoffe, dass die Jungs
Das nun bald in Ordnung bringen
Den wir wollen doch einfach nur zusammen sein
Vielleicht auch mal etwas länger
Vielleicht auch mal etwas enger
Wir wollen doch einfach nur zusammen sein";"https://genius.com/Udo-lindenberg-wir-wollen-doch-einfach-nur-zusammen-sein-lyrics";"Released May 14, 2021
Label

    
      Warner Music Group & Dolcerita Recordings
Copyright ©

    
      Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group
Featuring

    
      Clueso, Inga Humpe, Jan Delay & 4 more
Producers

    
      Andreas Herbig, Justin Balk, Sandi Strmljan & 2 more
Writers

    
      Andreas Herbig, Benjamin von Stuckrad-Barre, Detlef Petersen & 19 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"7";"Udo Lindenberg";"Boogie-Woogie-Mädchen";"Udopium das beste special edition";"Als wir das letzte Mal mit unserer Band hier waren
Standst du da unten im Saal
Und ich sang gerade unseren Hammer-Hit
Zum 150. Mal

Der Trommler hinter mir rockte los wie 'n Verrückter
Und der Typ da am Baß wie ein vom Jenseits Geschickter
Das Panik-Orchester haute mich um
Und dann auch noch du
Du flipptest da rum

Boogie-Woogie-Mädchen
Rote Haare im Scheinwerferlicht
Und ganz naß im Gesicht
Boogie-Woogie-Mädchen
Diе Jeans saßen knapp, und dann hoben wir ab

In dеr Pause kamst du hinter die Bühne
Und dann hast du zu mir gesagt:
Ich fühl' mich so gut
Ihr habt mich so hochgebracht

Mädchen, die Welt, in der du sonst so lebst
War plötzlich nicht mehr da
An dem Abend warst du mehr so 'n New Yorker
Andy Warhol Superstar

Und heute sind wir wieder hier
Und ich hab dich noch gar nicht gesehen
Ich hoffe, du gehörst jetzt nicht schon zu den Leuten
Die nicht mehr zu den Bands hingehn

Der Trommler hinter mir rockt los wie 'n Verrückter
Und der Typ da am Baß
Wie ein vom Jenseits Geschickter
Das Panik-Orchester haut mich um
Und da bist du ja wieder, da flippst du rum";"https://genius.com/Udo-lindenberg-boogie-woogie-madchen-lyrics";"Released May 14, 2021
Label

    
      Warner Music Group & Dolcerita Recordings
Copyright ©

    
      Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group
Featuring

    
      Clueso, Inga Humpe, Jan Delay & 4 more
Producers

    
      Andreas Herbig, Justin Balk, Sandi Strmljan & 2 more
Writers

    
      Andreas Herbig, Benjamin von Stuckrad-Barre, Detlef Petersen & 19 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"8";"Udo Lindenberg";"Bitte keine Love Story";"Udopium das beste special edition";"Wenn man, so wie ich, schon mal richtig
Auf die Fresse gefallen ist
Weil ein Mädchen gesagt hat: Alles klar
Und die Sache dann doch ganz anders gelaufen ist
Hat man wenig Mut, es noch mal zu riskieren

Das gleiche Spiel mit 'ner anderen
Noch einmal zu probieren
Man erinnert sich noch an das Magendrehn
Und hat Angst, noch mal so kaputtzugehn

Meine Nerven sind empfindlich
Und mein Blut ist sizilianisch
Jedеsmal, wenn man mich abtournt
Werd' ich völlig panisch

Dann ist mein Zustand sofort katastrophal
Dann rеnn' ich in die nächste Kneipe
Und besaufe mich total
Oder ich werf' die Beruhigungspillen ein
Das müssen allerdings ziemlich viele sein

Und nun kennst du meine Geschichte
Tut mir leid, doch jetzt weisst du Bescheid
Die grosse Love-Story haut mit mire nicht mehr hin
Bitte lassen wir diese Träume
Die haben leider keinen Sinn

Doch du sagst, mit dir wär das alles ganz anders
Alles überhaupt kein Problem
Und nun stehst du vor mir
Und ich weiss nicht, was ich tun soll
Und du sagst, Ey, komm, lass uns gehn";"https://genius.com/Udo-lindenberg-bitte-keine-love-story-lyrics";"Released May 14, 2021
Label

    
      Warner Music Group & Dolcerita Recordings
Copyright ©

    
      Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group
Featuring

    
      Clueso, Inga Humpe, Jan Delay & 4 more
Producers

    
      Andreas Herbig, Justin Balk, Sandi Strmljan & 2 more
Writers

    
      Andreas Herbig, Benjamin von Stuckrad-Barre, Detlef Petersen & 19 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"9";"Udo Lindenberg";"Jonny Controlletti";"Udopium das beste special edition";"[Verse 1]
Neulich war ich mal wieder in Amerika
Und da traf ich einen Herrn von der Mafia
Er lud mich ein in ein Makkaronirestaurant
Und ich dachte: O.k., gehst mal mit
Vielleicht wird das ganze interessant
Er sagt: Ich heiße Jonny Controlletti, buon giorno, Signor
Ein kurzer Wink und 'ne schwarze Limousine fuhr vor
Und später saßen wir da in der Chicago-Bar
Und nach jedem Glas Chianti
Rief er: Hallo Ober, noch 'ne Ladung
Und zwar avanti, avanti
Und dann packt er sich das Glas, das volle
Und sagt: Alles unter Kontrolle

[Verse 2]
Er hatte 'n Streifenanzug an
Und Gamaschen wie Al Capone
Und die Beule in der Jacke, die kam von der Kanone
Dann wollte er noch wissen
Wie's denn überhaupt so wäre
Mit dem Showbusiness in Deutschland
Und speziell auch mit meiner Karriere
Ich sag': Ich mach' da grad so'n Ding
Mit 'ner höllisch heißen Panik-Band
Und Jonny Controlletti
Übernahm sofort das Management

[Verse 3]
Er sagt: Si, si, Signor
Wir machen das perfekt und schnell
Die Jungs vom Syndikat sind enorm professionell
Und so saßen wir da in der Chicago-Bar
Und er sagt: Alles klar, mein Bester
Ich mach' dich über Nacht zum Superstar
Dich und dein Katastrophen-Orchester
Und dann reicht er mir das Glas, das volle
Und sagt: Alles unter Kontrolle";"https://genius.com/Udo-lindenberg-jonny-controlletti-lyrics";"Released May 14, 2021
Label

    
      Warner Music Group & Dolcerita Recordings
Copyright ©

    
      Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group
Featuring

    
      Clueso, Inga Humpe, Jan Delay & 4 more
Producers

    
      Andreas Herbig, Justin Balk, Sandi Strmljan & 2 more
Writers

    
      Andreas Herbig, Benjamin von Stuckrad-Barre, Detlef Petersen & 19 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"10";"Udo Lindenberg";"Nichts haut einen Seemann um";"Udopium das beste special edition";"Die Boote sind noch draußen
Die Kneipe ist noch leer
Außer mir nur der alte Käpt'n
Der ist immer hier
Der fährt nicht mehr

Der sitzt hier jeden Nachmittag und prüft den Rum
Doch nach dem dritten Glas schon singt er leise:
Nichts haut einen Seemann um!
Ihn doch
Und er träumt von seinen guten Tagen
Da konnt' er zehnmal mehr vertragen

Über'm Tresen hängen Ansichtskarten
Die hat еr mal geschickt
Und er denkt an diе Japanerin
Die war so schön verückt
Ja, damals war er noch ein schneller Junge
Das Leben war lebenswert
Doch was bleibt einem Seemann, der nicht mehr fährt?

Die Boote sind im Hafen
Die Männer kommen gleich
Der Käpt'n wankt nach Hause
Er schleppt sich übern Deich
Er will nicht, daß die anderen sagen:
Der kann ja wirklich nicht mehr viel vertragen
Und nun singt er sein Lied
In den stürmischen Wind";"https://genius.com/Udo-lindenberg-nichts-haut-einen-seemann-um-lyrics";"Released May 14, 2021
Label

    
      Warner Music Group & Dolcerita Recordings
Copyright ©

    
      Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group
Featuring

    
      Clueso, Inga Humpe, Jan Delay & 4 more
Producers

    
      Andreas Herbig, Justin Balk, Sandi Strmljan & 2 more
Writers

    
      Andreas Herbig, Benjamin von Stuckrad-Barre, Detlef Petersen & 19 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"11";"Udo Lindenberg";"Rudi Ratlos";"Udopium das beste special edition";"Rudi Ratlos heißt der Geiger
Der streicht uns grad 'n Evergreen
Er ist 80, hat zittrige Finger
Und ist schon ganz weich in den Knien

Rudi Ratlos mit viel Pomade
In den wenigen Haaren, die er noch hat
Schade, schade, schade, schade, Berlin '33
Da war er der schönste Geiger der Stadt
Da war er der Liebling aller Frauen
Und außerdem Leibmusikalartist
Von Adolf Hitler und Eva Braun

Rudi Ratlos, heute wieder
Auf den Brettern, die die Welt bedeuten
Er wurde aus dem Altersheim abgeholt
Von diesen cleveren Businessleuten

Der galante Carl Brutal
Tanzt den Schieber jetzt nochmal
Und er schiebt die Lady nett übers glänzende Parkett
Und der Geiger geigt uns einen
Und manche Damen fangen an zu weinen
Und eine ist schon ganz nass
In den Augen und um die Nase blass

Rudi Ratlos geigt den Tango
Auf eine Art, die uns betört
Er ist ein solcher Wahnsinnsmacker
Dass selbst ein falscher Ton uns nicht stört

Und der galante Carl Brutal
Tanzt den Schieber jetzt nochmal
Und er schiebt die Lady nett übers glänzende Parkett
Und der Geiger geigt uns einen
Und manche Damen fangen an zu weinen

Und eine ist schon ganz nass
In den Augen und um die Nase blass
Dieser Rhythmus, dass jeder mit muss
Diese Melodie vergisst man nie
Uh, das geht in jedes Bein
So muss ein Tango sein";"https://genius.com/Udo-lindenberg-rudi-ratlos-lyrics";"Released May 14, 2021
Label

    
      Warner Music Group & Dolcerita Recordings
Copyright ©

    
      Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group
Featuring

    
      Clueso, Inga Humpe, Jan Delay & 4 more
Producers

    
      Andreas Herbig, Justin Balk, Sandi Strmljan & 2 more
Writers

    
      Andreas Herbig, Benjamin von Stuckrad-Barre, Detlef Petersen & 19 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"12";"Udo Lindenberg";"Leider nur ein Vakuum";"Udopium das beste special edition";"Freitags abends steckt er sich 100 Mark
Und 'ne Zahnbürste ein
Er zieht die schnellen Stiefel an
Das ist ein gutes Gefühl, frei zu sein

Bis Montagmorgen rennt er rum
Zwischendurch kommt er nicht mehr nach Haus
Er sieht sich auf der Szene um
Und nachts probiert er fremde Betten aus

Normalerweise läuft das sehr gut
Doch manchmal gibt es auch 'ne Pleite
Dann wacht еr morgens auf
Und Lady Horror liegt an seinеr Seite

Ihr Make-up ist verschmiert
Die Sonne scheint ihr brutal ins Gesicht
Und daß ihm so was immer noch passiert
Das liegt am Suff und am dunklen Kneipenlicht

Er geht in die Madman-Discothek
Da soll die große Action sein
Da sind zwar jede Menge Leute
Doch er fühlt sich trotzdem sehr allein

Die Musik ist laut, und die Leute sind stumm
Die hängen da rum, und manche gucken sehr dumm
So als hätten sie in ihren schönen Köpfen
Leider nur ein Vakuum";"https://genius.com/Udo-lindenberg-leider-nur-ein-vakuum-lyrics";"Released May 14, 2021
Label

    
      Warner Music Group & Dolcerita Recordings
Copyright ©

    
      Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group
Featuring

    
      Clueso, Inga Humpe, Jan Delay & 4 more
Producers

    
      Andreas Herbig, Justin Balk, Sandi Strmljan & 2 more
Writers

    
      Andreas Herbig, Benjamin von Stuckrad-Barre, Detlef Petersen & 19 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"13";"Udo Lindenberg";"0-Rhesus-Negativ";"Udopium das beste special edition";"[Verse 1]
Es war Mitternacht, ich ging spazieren
Da bemerkte ich
Ein Finstermann mit´m großen Hut
Verfolgte mich
Und dann sprach er mich an
Schmatzend und mit knirschenden Zähnen:
Ach, würden sie wohl so freundlich sein
Und ihre Blutgruppe mal erwähnen?
Ich dachte mir, das ist´n Vampir
Da muß man vorsichtig sein
Ich sagte: Moment
Ich guck' mal eben in meinen Ausweis rein0-Rhesus-Negativ, da verzog er sein GesichtUnd meinte: So'n MistAusgerechnet diese Sorte vertrag ich nicht!

[Verse 2]
Um ihn zu trösten, lud ich ihn ein
Auf ein Glas Bier
Doch er meinte, das wär' für ihn kein Plaisir:
Es muss schon dieser rote Spezialsaft sein
Es gibt nur ein Getränk, das find' ich gut
Und das ist Blut!

[Verse 3]
Wir unterhielten uns noch ganz prima
Über Klima, Gott und die Welt
Und er erzählte mir von seinem Vampirleben
Und dass es ihm gut gefällt
Er sagt: Ich brauch' nicht zu malochen
Jeden Tag ins Büro zu laufen
Am Tag schlaf ich in meinem Sarg
Und nachts geh ich mich besaufen!

[Verse 4]
Ja, wenn das so ist, möchte ich auch Vampir sein
Da sagt er: Reichen Sie doch mal ´n Antrag
Beim transsilvanischen Prüfamt ein
Dazu brauchen Sie aber vom Zahnarzt
´n Tauglichkeitsschein
Denn wenn die Beisser zu kurz sind
Kommen sie nie rein in unseren Verein!";"https://genius.com/Udo-lindenberg-0-rhesus-negativ-lyrics";"Released May 14, 2021
Label

    
      Warner Music Group & Dolcerita Recordings
Copyright ©

    
      Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group
Featuring

    
      Clueso, Inga Humpe, Jan Delay & 4 more
Producers

    
      Andreas Herbig, Justin Balk, Sandi Strmljan & 2 more
Writers

    
      Andreas Herbig, Benjamin von Stuckrad-Barre, Detlef Petersen & 19 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
