"","artist","title","album","text","url","metadata"
"1","Udo Lindenberg","Der Dirigent","Votan wahnwitz","Er war ein Dirigent
Ein großer Dirigent
So berühmt wie Herbert von Karajan
Wenn er den Taktstock in seine Hände nahm
Dann hielt das Publikum den Atem an

Das Orchester war getrimmt
Und bestens eingestimmt
Ein letzter Blick auf die Partitur
Der Frack saß exzellent
Und nun begann der Dirigent
Mit seiner Chaos-Symphonie in Atom-Dur","https://genius.com/Udo-lindenberg-der-dirigent-lyrics","Released April 15, 1975
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Carola Kretschmer, Jean-Jacques Kravetz, Peter Herbolzheimer & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"2","Udo Lindenberg","Votan Wahnwitz","Votan wahnwitz","Wahnsinn und Genie gehen Hand in Hand
Dieser Taktstockmeister war auch dafür bekannt
Dann stand er da, mit wirrem Haar
Dem Herzinfarkt verdächtig nah
Und wieder war er außer Rand und Band

Er wurde high von der Musik
Sehr schnell kam er in Rage
Der Satan saß ihm im Genick
Und trieb ihn zur Ekstase
Er heizte das Orchester an
Ein Befehl und hundert Mann
Im ganzen Saal ein einziges Gerase

Die Sopran-Vokalistin mit dеn riesigen Brüsten
Hattе es dem Meister angetan
Doch sie liebte einen Herrn vom Ballett, der war sehr nett
Der tanzte immer den sterbenden Schwan

Sie sang, so schön sie konnte
Nur für ihren Tänzer
Doch der hörte gar nicht hin
Denn seine ganze Liebe galt nur dem Maestro
Und nicht dieser Sängerin","https://genius.com/Udo-lindenberg-votan-wahnwitz-lyrics","Released April 15, 1975
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Carola Kretschmer, Jean-Jacques Kravetz, Peter Herbolzheimer & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"3","Udo Lindenberg","Daniel’s Zeitmaschine","Votan wahnwitz","Ja, ich hab die Schuhe an
Mit dem speziellem Absatz dran
Auf dem man sich nicht umdrehen kann
Wer stehen bleibt geht zurück

Ja, ich hab die Schuhe an
Mit dem speziellem Absatz dran
Auf dem man sich nicht umdrehen kann
Wer stehen bleibt geht zurück

Dreh dich nicht um
Dreh dich nicht um

Ich dreh die tollsten Dinger
Wie den Globus auf meinem Finger
Ich halt an, wo auch immer und sag
Ich bin da - wo auch immet

Trink Teein St.Tropez
In China hab ich ein Dinner
Ich flieg schnell Fidel
Und check dort das Klima

Wir jatten nach Manhatten
Und guck rein ins Guggeheim
Ich trucker Jahraus Jahrein
Ihr meint, ich muss meschugge sein

Wir booken Tickets wie wild
Mit Charles wird Kriket gespielt
Der Dalai Lama prüft mein Karma
Ich dreh Videos in Ghana, in Accrah

Sitz an der Bar, trink Starbier
In Neapel mit Messner
Wir maschieren ab Kaschmir
An Ostern wird im Kloster

Bei den Schwester gastriert
Du fährst'nen großen Daimler
Ich im Ocean-liner
Nach Bassetere

Past dir der Knast hier nicht
Mach's wie wir
Du hast's gern kalt
Junge, man kann in Alaska frieren
Ich tausche meinen Iglogegen nen großen Haizinda
Denn der 7-Meilen-Amigo hat seinen eigenden Kalender

Ja, ich hab die Schuhe an
Mit dem speziellem Absatz dran
Auf dem man sich nicht umdren kann
Wer stehen bleibt geht zurück

Ja,ich hab die Schuhe an
Mit dem speziellem Absatz dran
Auf dem man sich nicht umdren kann
Wer stehen bleibt geht zurück

Dreh dich nicht um
Dreh dich nicht um

Ich nehm die Zeitmaschine
Und flieg nach Karthago
Als blinder Passagier
Schmuggel ich mich ins Cargo
Oder Kiffer-Clipper
Oder fliegender Teppich

Wir halten Bibelstunde ab
Mit Parten Leppich
Und auch in Troja, oh ja
Oder Leningrad

Ist die Verordnung der Sitten
Ja so wunderbar hart
Konstantinopel, Atlantis und Theben
Ja,was kostet die Welt
Und wer bezahlt hier mit dem Leben...

Ja,ich hab die Schuhe an
Mit dem speziellem Absatz dran
Auf dem man sich nicht umdren kann
Wer stehen bleibt geht zurück

Dreh dich nicht um
Dreh dich nicht um","https://genius.com/Udo-lindenberg-daniels-zeitmaschine-lyrics","Released April 15, 1975
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Carola Kretschmer, Jean-Jacques Kravetz, Peter Herbolzheimer & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"4","Udo Lindenberg","Da war so viel los","Votan wahnwitz","Plötzlich bin ich wieder der kleine Junge
Ganz spitz auf Lakritz
Für den eine Expedition zum nächsten Block
Weit wie 'ne Reise nach China ist

Der kleine Robinson Crusoe
Auf Entdeckungstour
Meiner Mutter Hermine mißfielen
Die Onkel-Doktor-Spiele
Und meine Schwäche für Whisky-pur

Ich seh' July Müller, meine erste Liebe
Mein Herz knallte los
Wir wollten heiraten, doch dann kam Jan von nebenan
Und ich verliebte mich in Rennautos

Da war so viel los
Das Leben bestand ausschließlich aus Sensationen
Und jeder Tag
Brachte jede Menge phantastische Situationen
Einmal sind wir losgezoegn
Wir suchten das Ende vom Regenbogen
Da war schwer was los...

Und dann in der Schule hatte
Keiner Bock auf Mathe
Lieber ging man stolz mit 'ner Zigarette
Zum Schwindeligwerden auf die Toilette

Gerne quälten wir auch manche Lehrer
Die wurden sowieso immer unfairer
Einen haben wir so fertiggemacht
Der hat sein ganzes Gehalt zum Psychiater gebracht

[Kinder]:
Also ich werd' später Löwenbändiger
Ach nee, das is' viel zu gefährlich
Da wird man ja gefressen
Ich werd' lieber Kaugummifabrikant
Ich find' das besser: Taucher
Ich werd' lieber Pop-Star
Das find' ich alles ganz doof, ich mach 'nen Zirkus auf
Ich werd' später Testpilot
Und ich Filmstar in Hollywood

Letzte Woche war ein Klassentreffen
Da sah ich sie wieder
Die mißglückten Helden, die jetzt Beamte sind
Die Bonnies und Clydes von früher

Jetzt als Herr und Frau Bieder
Die Power von damals ist leider hin
Und Fritz der Cowboy wurde nur
Manager bei der Müllabfuhr","https://genius.com/Udo-lindenberg-da-war-so-viel-los-lyrics","Released April 15, 1975
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Carola Kretschmer, Jean-Jacques Kravetz, Peter Herbolzheimer & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"5","Udo Lindenberg","Der Malocher","Votan wahnwitz","Die Alte zuhaus war auch nicht mehr das, was sie früher einmal war
Schon morgens saß sie vor der Glotze, mit Lockenwicklern im Haar
Wenn er schlapp von der Maloche nach hause kam, saß sie immer noch da
Und sagte: ""Hier hast'n Korn, der bringt dich wieder nach vorn""
Und im Fernsehn läuft der Kommisar

Er hatte die Schnauze von diesem Leben voll, er wär so gern ausgeflippt
Und mit solchen Gedanken hat er dann nochmal an seinem Glas genippt
Und dann schmiss er’s mit Karacho voll ins TV
Und schrie: ""Ihr glaubt wohl ich bin nicht ganz dicht!
Jeden Abend Fusel schlucken und dann in die Röhre kucken
Und dann pennen und dann wieder zur Schicht""

Chachacha..., Hhu...

Der Malocher aus 'm Ruhrgebiet
Tat nun etwas, was sonst nur selten geschieht
Schmiss seiner Frau das Mobiliar vor die Füße
Und sagte: ""Eh jetzt ist aber Schluß meine Süße

Und mit dem Lottogewinn, das haut ja doch nicht mehr hin
Komm Weib mach meinen Koffer klar!
Ich hau jetzt ab nach Paris, da ist das Leben so süß
Da trink ich Sekt im Alkazar und tanze Chachacha!""

Er fuhr mit der Bahn, erster Klasse
Nach Paris ""Gare du Nord""
Er bestellte sich Champagner, den trank er aus der Flasche
Und kam sich ganz schön super vor

Und als er dann da war und schon nicht mehr ganz klar war
Da traf er ein charmantes Mädel
Und am nächsten Morgen war er allein im Hotel
Ohne Kies und mit 'nem schweren Schädel

Ahh..., chachacha..., Hhu...

Der Malocher aus ’m Ruhrgebiet
Tat nun etwas, was sonst nur selten geschieht
Schmiss seiner Frau das Mobiliar vor die Füße
Und sagt: ""Eh jetzt ist aber Schluß meine Süße

Und mit dem Lottogewinn, das haut ja doch nicht mehr hin
Komm Weib mach meinen Koffer klar
Ich hau jetzt ab nach Paris, da ist das Leben so süß
Da trink ich Sekt im Alkazar und tanze Chachacha, hhu!""","https://genius.com/Udo-lindenberg-der-malocher-lyrics","Released April 15, 1975
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Carola Kretschmer, Jean-Jacques Kravetz, Peter Herbolzheimer & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"6","Udo Lindenberg","Guten Tag, Herr Filmproduzent","Votan wahnwitz","Guten Tag, Herr Filmproduzent
Haben Sie nicht mal fünf Minuten Zeit für mich
Sagen Sie, daß ich noch nicht beim Film bin
Finden Sie das nicht auch bedauerlich
Bei meinem Talent?

Da sagt er: Moment mal
Bei Ihrem Gesicht werden die Mütter sagen
Kind, der hat ja ne Fresse zum Reinschlagen
Abgesehen von dem bißchen Sex-Appeal
Haben Sie nicht viel von dem
Was ein Schauspieler braucht

Ich sag': Ich könnt' ja zur Not auch incognito
Mal ein Drehbuch schreiben für 'ne Wahnsinnsshow
Über Terri Terror und Anna Anarcho
Und deren Flugzeugentführung nach Addis Abeba
Nach Beirut oder nach Jemen
Und ich schwör' Ihnen, das Publikum weint vor Rührung
Wenn Sie Inge Meisel als Geisel nehmen","https://genius.com/Udo-lindenberg-guten-tag-herr-filmproduzent-lyrics","Released April 15, 1975
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Carola Kretschmer, Jean-Jacques Kravetz, Peter Herbolzheimer & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"7","Udo Lindenberg","0-Rhesus-Negativ","Votan wahnwitz","[Verse 1]
Es war Mitternacht, ich ging spazieren
Da bemerkte ich
Ein Finstermann mit´m großen Hut
Verfolgte mich
Und dann sprach er mich an
Schmatzend und mit knirschenden Zähnen:
Ach, würden sie wohl so freundlich sein
Und ihre Blutgruppe mal erwähnen?
Ich dachte mir, das ist´n Vampir
Da muß man vorsichtig sein
Ich sagte: Moment
Ich guck' mal eben in meinen Ausweis rein0-Rhesus-Negativ, da verzog er sein GesichtUnd meinte: So'n MistAusgerechnet diese Sorte vertrag ich nicht!

[Verse 2]
Um ihn zu trösten, lud ich ihn ein
Auf ein Glas Bier
Doch er meinte, das wär' für ihn kein Plaisir:
Es muss schon dieser rote Spezialsaft sein
Es gibt nur ein Getränk, das find' ich gut
Und das ist Blut!

[Verse 3]
Wir unterhielten uns noch ganz prima
Über Klima, Gott und die Welt
Und er erzählte mir von seinem Vampirleben
Und dass es ihm gut gefällt
Er sagt: Ich brauch' nicht zu malochen
Jeden Tag ins Büro zu laufen
Am Tag schlaf ich in meinem Sarg
Und nachts geh ich mich besaufen!

[Verse 4]
Ja, wenn das so ist, möchte ich auch Vampir sein
Da sagt er: Reichen Sie doch mal ´n Antrag
Beim transsilvanischen Prüfamt ein
Dazu brauchen Sie aber vom Zahnarzt
´n Tauglichkeitsschein
Denn wenn die Beisser zu kurz sind
Kommen sie nie rein in unseren Verein!","https://genius.com/Udo-lindenberg-0-rhesus-negativ-lyrics","Released April 15, 1975
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Carola Kretschmer, Jean-Jacques Kravetz, Peter Herbolzheimer & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"8","Udo Lindenberg","Elli Pyrelli","Votan wahnwitz","Elli Pyrelli
Vom Regensburger Opernhaus
Bläht ihre Kehle und ihre Seele auf
Und kommt wieder ganz groß raus

Überhaupt ist diese Art Schmettergesang
Neuerdings wieder sehr gefragt
Die Rock 'n' Roll-Gespenster sind weg vom Fenster
Die Arie ist angesagt

Elli Pyrelli: Oh Votan, weiche von mir...

Eines Abends kam die Pyrelli auf die Bühnе
Und der Wind von der Windmaschine
Hat sich ihr Gеwand gepackt
Und plötzlich war die Dame nackt

Ihr Orkan-Organ und dann noch dieser Anblick
Das trieb die Leute auf die Sitze
Das hielt das ganze Haus im Kopf nicht aus
Sie war ja auch wirklich einsame Spitze!

Früher drehten die Elektrorocker
Ihre Verstärker auf
Jede Menge Phon, bis zur Ohramputation
Und schließlich stand kein Mensch mehr drauf

Man wollte lieber wieder seriöse Lieder
Und nicht diesen Pop-Krawall
Vielleicht auch mal wieder 'ne nette Operette
Mit Gesang wie von 'ner Nachtigall","https://genius.com/Udo-lindenberg-elli-pyrelli-lyrics","Released April 15, 1975
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Carola Kretschmer, Jean-Jacques Kravetz, Peter Herbolzheimer & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"9","Udo Lindenberg","Alles im Lot auf dem Riverboat","Votan wahnwitz","Es ist alles im Lot auf dem Riverboat
Und jetzt fahren wir los nach Cuxhaven
Die Sklaven im Keller, die rudern los
Sie sind frisch und ausgeschlafen

Der Kapitän Zäsar Zechmann verspricht
Daß er nicht wieder so besoffen wird
Wie letztes Mal, denn da wär' beinah ein Schiffsunglück passiert

Der Steuermann kichert und stiert auf den Kompaß
Weiß kaum noch, wie er gucken soll
Und jetzt mer ich, die ganze Crew
Ist sowieso schon wieder voll

Es ist alles im Lot auf dem Riverboat
Alles im Lot
Und wenn's untergeht, is' auch egal
Mit'm U-Boot fahren wollt' ich immer schon mal

Der Sprit macht uns fit
Und die Jazzmusik tönt angenehm in unseren Ohr'n
Und Chris der Trompeter
Pustet den Blues in sein verbeultes Nebelhorn

Die Passagiere saufen wie die Tiere
Und fordern die Kapelle auf
Spielt doch endlich ""Ice Cream"" mit'm schönen Tubalauf

Der Heizer und die Stewardeß
Verkriechen sich im Rettungsboot
Und plötzlich hör' ich ihren Schrei:
Baby, du heizt mich halbtot!

Es ist alles im Lot auf dem Riverboat
Alles im Lot
Und wenn's untergeht, is' auch egal
Mit'm U-Boot fahren wollt' ich immer schon mal

Den Ozean-Dampfer am Kai Nummer 10
Hat der Kapitän leider nicht mehr gesehn
Uh, schon wieder ein Schiffsuntergang
Wir werden immer nasser
Jetzt singen wir unter Wasser:
Es is' alles im Lot...
Gluck, gluck, glucks!","https://genius.com/Udo-lindenberg-alles-im-lot-auf-dem-riverboat-lyrics","Released April 15, 1975
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Carola Kretschmer, Jean-Jacques Kravetz, Peter Herbolzheimer & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
"10","Udo Lindenberg","Das kann man ja auch mal so sehen","Votan wahnwitz","Glaubst du denn, daß die Frau, mit der du zusammen bist
Die einzig mögliche Dame auf dieser Welt für dich ist?
Zufällig war sie da, und da hast du sie genommen
Sonst wär das garantiert mit 'ner anderen so gekommen
Das klingt zwar nicht so schön
Doch das kann man ja auch mal so sehn

Und jetzt hat sie dich runtergebracht
Und du denkst die Welt geht unter
Aber bald kommt eine neue Frau
Und die macht dich wieder munter

Nimm das mal nicht so tragisch
Ey, es kommt nicht so drauf an
Sag doch deiner Alten ganz einfach
Was sie dich alles kann
Nimm das mal nicht so tragisch, mein Sohn
Die anderen Süßen, die warten doch schon

Die sitzen in Honolulu
Im weißen Sand am Palmenstrand
Oder in Konstantinopel oder im Sauerland
Die fahren in Tokio U-Bahn oder in Miami Wasserski

Die wärmen bereits die Betten an
Für deine Figur, Chérie
Nimm das mal nicht so tragisch, mein Sohn
Die anderen Süßen, die warten doch schon","https://genius.com/Udo-lindenberg-das-kann-man-ja-auch-mal-so-sehen-lyrics","Released April 15, 1975
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Carola Kretschmer, Jean-Jacques Kravetz, Peter Herbolzheimer & 3 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group
Phonographic Copyright ℗

    
      Warner Music Group"
