"";"artist";"title";"album";"text";"url";"metadata"
"1";"Udo Lindenberg";"Hoch im Norden";"Daumen im Wind";"[Strophe 1]
Hoch im Norden, hinter den Deichen bin ich geboren
Immer nur Wasser, ganz viele Fische
Mövengeschrei und Meeresrauschen in meinen Ohren
Und mein Vater war Schipper, der fluchte wenn Sturm war
Dann konnt` er nicht raus auf See
Dann ging er zu Herrn Hansen, der der Chef vom Leuchtturm war
Und der sagte: keine Panik auf der Titanic
Jetzt trinken wir erst mal einen Rum mit Tee

[Strophe 2]
Und ich verbrachte meine Tage am Nordseedünenstrand
Bin jahrelang tagtäglich am Deich entlang gerannt
Und meine Mutter brachte jeden Tag und freitags ganz besonders
Muschelzeug und Fisch auf den Tisch

[Strophe 3]
Ja es war ja auch ganz schön und das Klima ist gesund
Und doch hab ich mir gedacht:
Hier wirst Du auf die Dauer, nur Schipper oder Bauer
Hier kommt man ganz allmählich auf den Seehund
Und als ich so um 16 war, da hatte ich genug
Da nahm ich den nächstbesten nach Süden fahrenden Zug

[Strophe 4]
Nun sitz ich hier im Süden und so toll ist es hier auch nicht
Und eine viel zu heiße Sonne, knallt mir ins Gesicht
Nein das Gelbe ist es auch nicht
Und ich muß so schrecklich schwitzen
Ach wie gern würde ich mal wieder
Auf einer Nordseedüne sitzen";"https://genius.com/Udo-lindenberg-hoch-im-norden-lyrics";"Released 1990
Featuring

    
      Leata Galloway
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Jean-Jacques Kravetz, Udo Lindenberg & Ulla meinecke
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"2";"Udo Lindenberg";"Alles klar auf der Andrea Doria";"Alles klar auf der Andrea Doria";"[Refrain 1]
Bei Onkel Pö spielt 'ne Rentnerband
Seit 20 Jahren Dixieland
'N Groupie hab 'n die auch
Die heißt Rosa oder so
Und die tanzt auf'm Tisch
Wie 'n Go-Go-Go-Girl

[Strophe 1]
Und dann Paula aus St. Pauli
Die sich immer auszieht
Und Lola hat Geburtstag
Und man trinkt darauf
Dass sie wirklich mal so alt wird
Wie sie jetzt schon aussieht
Und überhaupt ist heute alles klar auf der Andrea Doria
Gottfried heißt der Knabe da hinten am Klavier
Und für jede Nummer Ragtime kriegt er'n Korn und 'n Bier
Ein Typ in der Nische schockiert seine Braut
Und Bernie Flottmann denkt
Er wär 'n Astronaut
Jetzt kommt noch einer 'rüber aus der Dröhndiskothek
Und ich glaub' dass unser Dampfer bald untergeht

[Refrain 2]
Aber sonst ist heute alles klar auf der Andrea Doria

[Refrain 1]
Bei Onkel Pö spielt 'ne Rentnerband
Seit 20 Jahren Dixieland
'N Groupie hab 'n die auch
Die heißt Rosa oder so
Und die tanzt auf'm Tisch
Wie 'n Go-Go-Go-Girl

[Bridge]
Es kommt mal wieder gar nicht darauf an
Und Leda träumt von einem Pelikan
Und überhaupt ist alles längst zu spät
Und der Nervenarzt weiß auch nicht mehr wie's weitergeht

[Refrain 2]
Aber sonst ist heute alles klar auf der Andrea Doria";"https://genius.com/Udo-lindenberg-alles-klar-auf-der-andrea-doria-lyrics";"Released 1990
Featuring

    
      Leata Galloway
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Jean-Jacques Kravetz, Udo Lindenberg & Ulla meinecke
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"3";"Udo Lindenberg";"Jonny Controlletti";"Ball Pompös";"[Verse 1]
Neulich war ich mal wieder in Amerika
Und da traf ich einen Herrn von der Mafia
Er lud mich ein in ein Makkaronirestaurant
Und ich dachte: O.k., gehst mal mit
Vielleicht wird das ganze interessant
Er sagt: Ich heiße Jonny Controlletti, buon giorno, Signor
Ein kurzer Wink und 'ne schwarze Limousine fuhr vor
Und später saßen wir da in der Chicago-Bar
Und nach jedem Glas Chianti
Rief er: Hallo Ober, noch 'ne Ladung
Und zwar avanti, avanti
Und dann packt er sich das Glas, das volle
Und sagt: Alles unter Kontrolle

[Verse 2]
Er hatte 'n Streifenanzug an
Und Gamaschen wie Al Capone
Und die Beule in der Jacke, die kam von der Kanone
Dann wollte er noch wissen
Wie's denn überhaupt so wäre
Mit dem Showbusiness in Deutschland
Und speziell auch mit meiner Karriere
Ich sag': Ich mach' da grad so'n Ding
Mit 'ner höllisch heißen Panik-Band
Und Jonny Controlletti
Übernahm sofort das Management

[Verse 3]
Er sagt: Si, si, Signor
Wir machen das perfekt und schnell
Die Jungs vom Syndikat sind enorm professionell
Und so saßen wir da in der Chicago-Bar
Und er sagt: Alles klar, mein Bester
Ich mach' dich über Nacht zum Superstar
Dich und dein Katastrophen-Orchester
Und dann reicht er mir das Glas, das volle
Und sagt: Alles unter Kontrolle";"https://genius.com/Udo-lindenberg-jonny-controlletti-lyrics";"Released 1990
Featuring

    
      Leata Galloway
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Jean-Jacques Kravetz, Udo Lindenberg & Ulla meinecke
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"4";"Udo Lindenberg";"Rudi Ratlos";"Ball Pompös";"Rudi Ratlos heißt der Geiger
Der streicht uns grad 'n Evergreen
Er ist 80, hat zittrige Finger
Und ist schon ganz weich in den Knien

Rudi Ratlos mit viel Pomade
In den wenigen Haaren, die er noch hat
Schade, schade, schade, schade, Berlin '33
Da war er der schönste Geiger der Stadt
Da war er der Liebling aller Frauen
Und außerdem Leibmusikalartist
Von Adolf Hitler und Eva Braun

Rudi Ratlos, heute wieder
Auf den Brettern, die die Welt bedeuten
Er wurde aus dem Altersheim abgeholt
Von diesen cleveren Businessleuten

Der galante Carl Brutal
Tanzt den Schieber jetzt nochmal
Und er schiebt die Lady nett übers glänzende Parkett
Und der Geiger geigt uns einen
Und manche Damen fangen an zu weinen
Und eine ist schon ganz nass
In den Augen und um die Nase blass

Rudi Ratlos geigt den Tango
Auf eine Art, die uns betört
Er ist ein solcher Wahnsinnsmacker
Dass selbst ein falscher Ton uns nicht stört

Und der galante Carl Brutal
Tanzt den Schieber jetzt nochmal
Und er schiebt die Lady nett übers glänzende Parkett
Und der Geiger geigt uns einen
Und manche Damen fangen an zu weinen

Und eine ist schon ganz nass
In den Augen und um die Nase blass
Dieser Rhythmus, dass jeder mit muss
Diese Melodie vergisst man nie
Uh, das geht in jedes Bein
So muss ein Tango sein";"https://genius.com/Udo-lindenberg-rudi-ratlos-lyrics";"Released 1990
Featuring

    
      Leata Galloway
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Jean-Jacques Kravetz, Udo Lindenberg & Ulla meinecke
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"5";"Udo Lindenberg";"Ich bin Rocker";"Galaxo Gang";"[Verse 1]
Ich bin Rocker, ich bin Rocker
Meine Gang nennt sich ""Lucifer Mob""
Am Tage bin ich Schlosser
Das ist 'n ziemlich mieser Job
Aber abends hol' ich dann mein' Ofen aus dem Stall
In den Lederjackentaschen dicke Feuerwasserflaschen
Und zwischen den Knien der Tank voll Benzin
Ich war früher viel allein
Da war ich oft ganz schön down
Dann stieg ich ein in den Verein
Jetzt hab' ich viele Kumpels
Und da gibts's auch Wahnsinnsfrauen
Die sitzen auf dem Sozius
Und sagen: Alter, nun heiz mal schön!
Und dann geben sie mir 'n Kuss
Bei Tempo 110

[Verse 2]
Ich bin Rocker, ich bin Rocker
Doch ich hätt' noch viel mehr Spaß dabei
Wenn's unter uns
Nicht immer wieder so 'n paar Ochsen gäb'
Immer geil auf 'ne Schlägerei
Oder gestern in 'ner U-Bahn
Haben sie wieder so 'nen Scheiß gebracht
Sie meinten zu 'ner Mutter:
Schmeiß' dein Baby weg, es wird dir sofort
'n schönes neues gemacht!
Manchen Rentner haben sie ausgeknockt
Und ihm die Kohle abgenommen
Und jede Menge alte Frauen
Sind auch schon voll auf den Horror gekommen

[Verse 3]
Ich bin Rocker, ich bin Rocker
Doch ich steh' nicht auf Gewalt
Ich bin nicht so 'n primitives Schwein
Und schlag 'nem Schwachen die Fresse ein
Wir sind Rocker, wir sind Rocker
Doch ohne amputiertes Gehirn
Und wenn man uns nicht dumm
Von der Seite anquatscht
Dann kann auch nichts passieren...!
Wir sind Rocker, wir sind Rocker
Und wir stehen nicht auf Gewalt...!";"https://genius.com/Udo-lindenberg-ich-bin-rocker-lyrics";"Released 1990
Featuring

    
      Leata Galloway
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Jean-Jacques Kravetz, Udo Lindenberg & Ulla meinecke
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"6";"Udo Lindenberg";"Bodo Ballermann";"Galaxo Gang";"[Verse 1]
Bodo Ballermann spielte beim
Rambo-Zambo Kickerverein
Er flitzt übern Platz, schnell wie ein Tiger
Und er war der Schrecken der Bundesliga

[Verse 2]
Sah man 'n Fleck, meistens war's 'n blauer
Am Schienenbein von Fränzchen Beckenbauer
Oder hielt sich ein Torwart verzweifelt den Magen
Hatte Bodo wieder zugeschlagen!

[Chorus]
Hau rein is' Tango
Tu ihn rein is' Cha-Cha-Cha
10000 Leute brüll'n im Chor:
Wir wollen das Granatentor!
Der Torwart greift vergeblich
Nach dem riskanten Ball
Doch er knallt blos mit dem Kopf an die Latte
Weil Bodo gut getäuschet hatte

[Verse 3]
Weil Bodo nicht nur gut war im Spiel
Sondern den Frauen auch besonders gefiel
Hat er dann reichlich mit den Groupies gepennt
Und viel gesoffen, so entfiel das Happy End
Als dann die Damen ihm seinen Samen nahmen
Als er dann jede Nacht in irgend 'ner Eros-Bar war
Verlor er schnell die Kondition
Und dann im Fußballstadion
War er bald so abgeschlafft
Wie ein versoffener Chlochard

[Chorus]
Hau rein is' Tango
Tu ihn rein is' Cha-Cha-Cha
10000 Leute brüll'n im Chor:
Nun baller doch endlich mal wieder 'n Tor!
Doch Bodo trifft den Ball nicht mehr
Dafür des Schiedsrichters Maul
Und der zieht die rote Karte und nuschelt ohne Zähne:
Herr Ballermann, das war ihr letztes Foul!";"https://genius.com/Udo-lindenberg-bodo-ballermann-lyrics";"Released 1990
Featuring

    
      Leata Galloway
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Jean-Jacques Kravetz, Udo Lindenberg & Ulla meinecke
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"7";"Udo Lindenberg";"Die Heizer kommen";"Panische Zeiten";"Wir sind Rock 'n' Roll-Zigeuner
Ein Zuhause haben wir nicht
Wir sind so Easy Rider und Rumstreuner
Stehn auf Heavy Rock-Schwergewicht

Jeden Tag 'ne andere Stadt
Der Bandbus setzt sich in Bewegung
Ob die Kripo da wohl wieder 'n Haftbefehl hat
Wegen Erregung öffentlicher Erregung?

Wenn die Heizer kommen und total aufdrehn
Als ob sie nicht von dieser Welt wär'n
Und es den Müttern mal wieder nicht gelungen ist
Ihre Süßen einzusperren
Wenn die Heizer kommen und rocken und rollen
Bis zur vollen Hysterie
Dann laden wir euch neue Power in die Batterie

Baby, heute sind wir wieder in eurer City
Als wir uns hier zum ersten Mal trafen
Sagt' ich: Nein, nein und nochmals
Ja man kann ja mal drüber schlafen

Heute bringst du einen Freund mit
Ich find den Spitze, und das merkste
Du findst das komisch, na und?
Bi ist sowieso das Stärkste

Wenn die Heizer kommen und total aufdrehn
Als ob sie nicht von dieser Welt wär'n
Und es den Müttern mal wieder nicht gelungen ist
Ihre Süßen einzusperren
Wenn die Heizer kommen und rocken und rollen
Bis zur vollen Hysterie
Dann laden wir euch neue Power in die Batterie

In welcher Stadt sind wir heute?
Weiß nicht, ist auch völlig egal
Hauptsache, es gibt hier 'ne Bühne
Und 'n knallvollen Randale-Saal

Wir sind Rock 'n' Roll-Zigeuner
Wenn du 'n Gypsy ohne Heimat bist
Bist du immer da zu Hause
Da, wo grad der Larry los ist";"https://genius.com/Udo-lindenberg-die-heizer-kommen-lyrics";"Released 1990
Featuring

    
      Leata Galloway
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Jean-Jacques Kravetz, Udo Lindenberg & Ulla meinecke
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"8";"Udo Lindenberg";"Baby, wenn ich down bin";"Panische Zeiten";"[Verse 1: Udo Lindenberg]
Baby, wenn ich down bin
Und ich fühl mich schwach
Dann machst du mich mit deiner Power
Wieder stark und wach
Wenn ich mal ins Schleudern komme
Bist du da und hältst mich fest
Du bist die eine, die mich niemals
Die mich niemals hängen lässt

[Verse 2: Udo Lindenberg]
Oder wenn ich durchdreh
Die letzten Scheine auf den Tresen hau
Drei Tage nicht nach Hause komm
Und hab was mit ner andern Frau
Dann bist du wie ne Schwester
Die auch solche Flips versteht
Die dafür sorgt
Dass es mit uns beiden trotzdem weitergeht

[Verse 3: Leata Galloway]
Yes, we've seen the good times
And the bad times too
There where cold and windy roads to go
But each time the sun keeps shining through
I stood by you through thick and thin
And I'm standing by you still
Cause I love you
Yes, I love you - I always will

[Verse 4: Udo Lindenberg]
Baby, wenn ich durch bin
Und ich fühl mich schwach
Dann machst du den müden Buhmann
Wieder heiß und wach
Lass alle Gangster dieser Welt
Gegen uns agieren
Solange wir zusammen sind
Kann überhaupt nichts passieren";"https://genius.com/Udo-lindenberg-baby-wenn-ich-down-bin-lyrics";"Released 1990
Featuring

    
      Leata Galloway
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Jean-Jacques Kravetz, Udo Lindenberg & Ulla meinecke
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"9";"Udo Lindenberg";"Riki Masorati";"Panische Nächte";"[Verse 1]
An den Boxen steht Nora Nagelmann
Und reckt den Hals wie 'ne Giraffe
Denn Riki Masorati dröhnt vorbei
Wie ein Kamikaze-Affe
Gedresst in Asbest und in Angst
So daß er ins Cockpit näßt
Doch volles Rohr, sonst wird das nix
Mit dem hochdotierten Grand Prix

[Chorus]
Riki Masorati mit dem Bleifuß
Fährt als Formel-1-Pilot
In jeder Kurve kichert der Tod
Bremst er zu spät, ist alles finito
Bremst er zu früh, hat er das Rennen verloren
Rauscht er gegen die Balustrade
Hat er angebrannte Ohren!

[Verse 2]
So wie damals im Crashy-Hospital
Da ist er wieder aufgewacht
Und sie hatten ihm versehentlich
Ein Auge am Hinterkopf angebracht
Er war sehr geschockt und meint
Was ist hier eigentlich los ?
Doch Professor Dr. Abwiegel
Sagte: Sehen Sie doch mal, wie praktisch das ist
Da brauchen Sie nie wieder einen Rückspiegel
Und sein Gesicht hatten sie zu sehr geliftet
Er hatte hinten nur noch ein Mono-Ohr
Und seitdem hört er leider nicht mehr
Den Stereosound von seinem Brüllmotor

[Chorus]
Riki Masorati mit dem Bleifuß
Fährt als Formel-1-Pilot
In jeder Kurve kichert der Tod
Bremst er zu spät, ist alles finito
Bremst er zu früh, hat er das Rennen verloren
Rauscht er gegen die Balustrade
Hat er angebrannte Ohren!

[Verse 3]
Und gestern passierte es wieder
Daß nach dem Rennen auf dem Nürburgring
Sich ein Versuchs-Niki-Lauda-Fahrer
An einem Baum verfing
Doch der war ja nur
Ein kleiner Rennrauschfamilienvater
Da war man nicht so interessiert
Da macht man nicht soviel Theater";"https://genius.com/Udo-lindenberg-riki-masorati-lyrics";"Released 1990
Featuring

    
      Leata Galloway
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Jean-Jacques Kravetz, Udo Lindenberg & Ulla meinecke
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"10";"Udo Lindenberg";"Ich sitz’ den ganzen Tag bei den Docks";"Lindenbergs Rock Revue";"Den ganzen Tag sitz' ich am Hafen
Die Schiffe laufen ein und aus
Den ganzen Tag sitz' ich am Hafen
Hab' keinen Job und hab' kein Zuhaus

Ich sitz' den ganzen Tag bei den Docks
Und alles, was ich hier machen kann
Von guten Zeiten träumen
Und ich guck' mir Flut und Ebbe an

Ich kam den weiten Weg von Georgia
Trampte zur Frisco-Bay
In der Hoffung, hier was aufzubau'n
Doch jetzt glaub' ich, ich sollte bald wieder abhau'n

Nichts, was ich hier tun kann -
Die Kähne geh'n auf die nächste Reise
Und ich häng' hier rum
Verlier' meine Zeit
Und das bedient mich in keinster Weise

Was soll ich machen, wenn nichts passiert?
Ich bin kaputt und deprimiert
Die anderen Typen hier, genauso wie ich
Sie suchen Arbeit, doch die gibt es nicht

Hier hab' ich nichts gefunden
Außer Einsamkeit
Zweitausend Meilen hab' ich hinter mir
Doch jetzt vertu' ich hier meine Zeit
Ich sitze bei den Docks an der Bucht...";"https://genius.com/Udo-lindenberg-ich-sitz-den-ganzen-tag-bei-den-docks-lyrics";"Released 1990
Featuring

    
      Leata Galloway
Producers

    
      Thomas Kukuck & Udo Lindenberg
Writers

    
      Jean-Jacques Kravetz, Udo Lindenberg & Ulla meinecke
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
