"";"artist";"title";"album";"text";"url";"metadata"
"1";"Udo Lindenberg";"Einmal um die ganze Welt";"Zeitmaschine";"Wenn die Brger schlafen geh'n in der Zipfelmtze
Und zu ihrem Knig flieh'n
Da er sie beschtze
Zieh'n wir festlich angetan hin zu den Tavernen;
Schlendrian
Schlendrian unter den Laternen
Die Nacht ist nicht allein zum Schlafen da
Die Nacht ist da
Da was gescheh'
Ein Schiff ist nicht nur fr den Hafen da
Es mu hinaus
Hinaus auf hohe See!
Berauscht euch
Freunde
Trinkt und liebt und lacht
Und lebt dem schnsten Augenblick
Die Nacht
Die man in einem Rausch verbracht
Bedeutet Seligkeit und Glck!
Wenn I'm Glase perlt der Sekt unter roten Ampeln
Und die Mdchen s erschreckt
Auf dem Scho und strampeln
Kssen wir die Prderie von den roten Mndern;
Amnestie
Amnestie
Allen braven Sndern
Die Nacht ist nicht allein zum Schlafen da
...
Die Nacht ist nicht allein zum Schlafen da
...
Die Nacht ist nicht allein zum Schlafen da
...";"https://genius.com/Udo-lindenberg-einmal-um-die-ganze-welt-lyrics";"Released October 5, 1998
Featuring

    
      Freundeskreis
Producers

    
      Udo Lindenberg
Writers

    
      Bert Kaempfert, Bertolt Brecht, Horst Königstein & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"2";"Udo Lindenberg";"Zeitmaschine";"Zeitmaschine";"Ja, ich hab die Schuhe an
Mit dem speziellem Absatz dran
Auf dem man sich nicht umdrehen kann
Wer stehen bleibt geht zurück

Ja, ich hab die Schuhe an
Mit dem speziellem Absatz dran
Auf dem man sich nicht umdrehen kann
Wer stehen bleibt geht zurück

Dreh dich nicht um
Dreh dich nicht um

Ich dreh die tollsten Dinger
Wie den Globus auf meinem Finger
Ich halt an, wo auch immer und sag
Ich bin da - wo auch immet
Trink Teein St.Tropez
In China hab ich ein Dinner
Ich flieg schnell Fidel
Und check dort das Klima
Wir jatten nach Manhatten
Und guck rein ins Guggeheim
Ich trucker Jahraus Jahrein
Ihr meint, ich muss meschugge sein
Wir booken Tickets wie wild
Mit Charles wird Kriket gespielt
Der Dalai Lama prüft mein Karma
Ich dreh Videos in Ghana,in Accrah
Sitz an der Bar,trink Starbier
In Neapel mit Messner
Wir maschieren ab Kaschmir
An Ostern wird im Kloster
Bei den Schwester gastriert
Du fährst'nen großen Daimler
Ich im Ocean-liner
Nach Bassetere
Past dir der Knast hier nicht
Mach's wie wir
Du hast's gern kalt
Junge,man kann in Alaska frieren
Ich tausche meinen Iglogegen nen großen Haizinda
Denn der 7-Meilen-Amigo hat seinen eigenden Kalender

Ja,ich hab die Schuhe an
Mit dem speziellem Absatz dran
Auf dem man sich nicht umdren kann
Wer stehen bleibt geht zurück

Ja,ich hab die Schuhe an
Mit dem speziellem Absatz dran
Auf dem man sich nicht umdren kann
Wer stehen bleibt geht zurück

Dreh dich nicht um
Dreh dich nicht um

Ich nehm die Zeitmaschine
Und flieg nach Karthago
Als blinder Passagier
Schmuggel ich mich ins Cargo
Oder Kiffer-Clipper
Oder fliegender Teppich
Wir halten Bibelstunde ab
Mit Parten Leppich
Und auch in Troja,oh ja
Oder Leningrad
Ist die Verordnung der Sitten
Ja so wunderbar hart
Konstantiennopel, Atlantis und Theben
Ja,was kostet die Welt
Und wer bezahlt hier mit dem Leben...

Ja,ich hab die Schuhe an
Mit dem speziellem Absatz dran
Auf dem man sich nicht umdren kann
Wer stehen bleibt geht zurück

Dreh dich nicht um
Dreh dich nicht um";"https://genius.com/Udo-lindenberg-zeitmaschine-lyrics";"Released October 5, 1998
Featuring

    
      Freundeskreis
Producers

    
      Udo Lindenberg
Writers

    
      Bert Kaempfert, Bertolt Brecht, Horst Königstein & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"3";"Udo Lindenberg";"Verführung von Engeln";"Zeitmaschine";"Engel verführt man gar nicht oder schnell
Verzieh' ihn einfach in den Hauseingang
Steck' ihm die Zunge in den Mund und lang
Ihm unter'n Rock, bis er sich nass macht

Stell' ihn, das Gesicht zur Wand
Und heb' ihm den Rock und fick ihn
Und stöhnt er beklommen
Dann halt ihn fest und lass ihn zweimal kommen
Sonst hat er dir am Ende einen Schock

Doch
Schau ihm nicht
Schau ihm nicht
Beim Ficken ins Gesicht
Seine Flügel
Seine Flügel
Mensch, zerdrück sie nicht

Ermahn ihn, dass er gut den Hintern schwenkt
Und heiß' ihm, dir ruhig an die Hoden zu fassen
Sag ihm, er kann sich furchtlos fallen lassen
Dieweil er zwischen Erd' und Himmel hängt

Doch
Schau ihm nicht
Schau ihm nicht
Beim Ficken ins Gesicht
Seine Flügel
Seine Flügel
Mensch, zerdrück sie nicht";"https://genius.com/Udo-lindenberg-verfuhrung-von-engeln-lyrics";"Released October 5, 1998
Featuring

    
      Freundeskreis
Producers

    
      Udo Lindenberg
Writers

    
      Bert Kaempfert, Bertolt Brecht, Horst Königstein & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"4";"Udo Lindenberg";"You Can’t Run Away";"Zeitmaschine";"Du sagst: No future
Nur noch zwei Jahre
Dann werden wir alle krepieren
Du sagst, die Gifte wär'n das einzig Wahre
Damit willst du dich allmählich wegjonglieren

Du bist erst fünfzehn
Auf deiner Jacke steht 'no fun'
Wär' nichts zu ändern
Du fängst auch gar nicht erst mit irgendetwas an
Du sagst: Wie Hiroshima, die ganze Welt in Asche und Schutt
Und der Zug rast dem Abgrund entgegen
Und die Bremsen sind kaputt

You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' but you can't run away boy
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' but you can't run away from yourself

Das schlimme ist, ich kann dich fast verstehen
Doch ich will diesen Weg nicht mit dir gehen
Du hast alle Waffen abgelegt und aufgegeben
Und irgendwie aufgehört zu leben

Wenn meine Hoffnung voll am Ende wär'
Dann gäb's für mich auch nichts zu singen mehr
Denn was sollen dann noch solche Lieder und Gedanken
Wenn das Raumschiff Erde gesteuert wird von ein paar Kranken

Von ein paar irren Kamikaze-Piloten
Ja sind wir den alle solche Vollidioten?
Vergeblich all' die Bücher der Dichter und Philosophen
Und es regier'n uns immer noch die Ganoven

You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' but you can't run away boy
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' but you can't run away from yourself
Can't run away from yourself

Nein, ich will kein Dichter sein, der Blumen bringt
An das Grab der Vernunft, und da was Schlaues singt
Che Guevara und Luther King dürfen nicht umsonst gestorben sein
Sonst pack' ich mein Mikrofon für immer ein

You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' but you can't run away boy
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' but you can't run away boy
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' and you're runnin' away
You're runnin' and you're runnin' but you can't run away from yourself
Can't run away from yourself";"https://genius.com/Udo-lindenberg-you-cant-run-away-lyrics";"Released October 5, 1998
Featuring

    
      Freundeskreis
Producers

    
      Udo Lindenberg
Writers

    
      Bert Kaempfert, Bertolt Brecht, Horst Königstein & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"5";"Udo Lindenberg";"Es fängt immer wieder an";"Zeitmaschine";"Schon wieder kommt 'ne kalte Nacht
Länger halt' ich das nicht aus
Hab' das schon zu oft durchgemacht
Also Jacke an und nichts wie raus

Ich fahr' mit meinem Auto los
Es regnet und die Stadt ist leer
Weiß nicht wohin, was mach ich bloß
Dich zu vergessen ist so schwer

Es fängt immer wieder an
Auch, wenn ich tausend Meilen lauf'
Nein, ich komm' nicht von dir los
Es hört einfach noch nicht auf

Es fängt immer wieder an
Und es gibt nichts
Was ich dagegen machen kann
Wieder von vorne

Es fängt immer wieder an
Auch, wenn ich tausend Meilen lauf'
Nein, ich komm' nicht von dir weg
Es hört einfach noch nicht auf

Es fängt immer wieder an
Und es gibt nichts
Was ich dagegen machen kann
Wieder von vorne

Ich fühl' mich wie im falschen Film
Bin ganz verwirrt und auf der Flucht
Weg von Dir, von dem was war
Aber Sehnsucht ist 'ne harte Sucht

Jetzt fahr' ich durch die düstere Stadt
Und wie magnetisch biege ich in deine Straße ein
Ich seh' zu deinem Fenster rauf
Vielleicht bist du ja auch allein

Es fängt immer wieder an
Auch, wenn ich tausend Meilen lauf'
Nein, ich komm' nicht von dir los
Es hört einfach noch nicht auf

Es fängt immer wieder an
Und es gibt nichts
Was ich dagegen machen kann
Wieder von vorne

Es fängt immer wieder an
Auch, wenn ich tausend Meilen lauf'
Nein, ich komm' nicht von dir weg
Es hört einfach noch nicht auf

Es fängt immer wieder an
Und es gibt nichts
Was ich dagegen machen kann
Wieder von vorne";"https://genius.com/Udo-lindenberg-es-fangt-immer-wieder-an-lyrics";"Released October 5, 1998
Featuring

    
      Freundeskreis
Producers

    
      Udo Lindenberg
Writers

    
      Bert Kaempfert, Bertolt Brecht, Horst Königstein & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"6";"Udo Lindenberg";"König von Scheissegalien";"Zeitmaschine";"Wenn die Welt mal wieder untergeht
Und Vulkane exlodieren
Mir die Sintflut bis zum Halse steht
Und Meteroiten mit der Erde kollidieren

Ich fühl mich umzingelt von der Menschenarmee
Trübe Rüben, wohin ich auch seh'
Und die wollen mir erzählen von Hamburg bis Laos
Wo es lang geht in diesem Chaos

Und dann bin ich so frei und sag': Hören Sie mal, Mann
Lecken Sie sich selber - an meinen Arsch kommen Sie nicht ran
Uund nerven Sie mich nicht mit Ihren Lappalien
Ich bin der König von Scheißegalien

Ich bin der
König von Scheißegalien
König von Scheißegalien
König von Scheißegalien

Die Frau, mit der man tausendmal schlief
Schreibt'n läppischen Abschiedsbrief
Wenn sie die Biege macht und mit dir bricht
Und der neue Fredi grinst dir gemein ins Gesicht

Dann fängst du zu kotzen an und es geht dir so miese
Und du denkst, jetzt kommt die Endlife-Krise
Und du holst dir'n Strick oder die Neunmillimeter
Doch der Nervenarzt sagt, killen Sie sich später

Sie sind doch der
König von Scheißegalien
König von Scheißegalien
König von Scheißegalien

Auf'n Job, da machst du dich reichlich krumm
Und jetzt kommt dir so'n Oberyuppie auch noch richtig dumm
Und dann bist du so frei und sagst: Hör'n Sie mal, Mann
Lecken Sie sich selber - an meinen Arsch kommen Sie nicht ran

Ich bin der
König von Scheißegalien
König von Scheißegalien
König von Scheißegalien";"https://genius.com/Udo-lindenberg-konig-von-scheissegalien-lyrics";"Released October 5, 1998
Featuring

    
      Freundeskreis
Producers

    
      Udo Lindenberg
Writers

    
      Bert Kaempfert, Bertolt Brecht, Horst Königstein & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"7";"Udo Lindenberg";"Flipper";"Zeitmaschine";"Wenn ich jetzt nicht geh', ist es bald zu spät
Dann bleib ich hier für immer kleben
Ein Junge wie ich, ständig fragt der sich
Ob das die stärkste Art ist zu leben

Es fällt mir wirklich schwer, so schwer
Dich zu verlassen
Denn ich lieb' dich sehr
Doch jeder weitere Tag mit dir
Macht ihn kaputt, den Zigeuner in mir

Ich muss doch erst noch den Amazonas runterrudern
Mit 'ner wilden Dschungelbraut
Und dann zum Himalaja, zum Schneemenschen Yeti
Bevor der wieder auftaut

Und außerdem mit meinem Rock 'n' Roll-Komplizen
Immer wieder müde Menschen wecken
Bevor wir dann in einer Manhattan-Bar
An unserem Durchdreh-Lebensstil verrecken

Du wärst sie gewesen
Die Frau, zu der ich mich bekenn'
Mit der ich durch ein ganzes Leben renn'
Es zieht mich so zu dir hin
Doch ich kann's nicht akzeptieren
Weil ich tief drin ein Flipper bin

Wir hatten große Pläne
Doch jetzt stehst du da und weinst
Es tut mir sehr weh, es tut mir sehr leid
Und ich weiß, es ist hart
Zu versteh'n, dass ich wieder los muß

Wir hatten eine viel zu starke Zeit
Ja, als ich ankam, war ich so sicher
Wir sind jetzt Romeo und Julia
Das lag bestimmt nicht an dir
Dass es wieder nur Durchreise
Und immer noch nicht der letzte Bahnhof war

Schade, denn du wärst sie gewesen
Die Frau, zu der ich mich bekenn'
Mit der ich durch ein ganzes Leben renn'
Ich gehör' zwar zu dir, trotzdem haut das nicht hin
Weil ich doch leider nur ein Flipper bin";"https://genius.com/Udo-lindenberg-flipper-lyrics";"Released October 5, 1998
Featuring

    
      Freundeskreis
Producers

    
      Udo Lindenberg
Writers

    
      Bert Kaempfert, Bertolt Brecht, Horst Königstein & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"8";"Udo Lindenberg";"Sex in der Wüste";"Zeitmaschine";"Am Strand von Tanger
In der glühend heißen Sonne
Narkotisiert
Am Rand der Wüste

Die Luft vibriert
Die Sonne sticht die helle Haut
Und nichts geschieht
Nur ein Gefühl wird gestaut

Der Horizont rückt näher
Und was keiner weiß
Jeder denkt das eine
Doch dafür ist's zu heiß

Sex in der Wüste
Doch dafür ist's zu heiß
Sex in der Wüste
Doch dafür ist's zu heiß

Der Sand ist heiß
Kein Schatten weit und breit
Die Cola kocht
Man liegt im eigenen Schweiß

Im Katalog stand was von Feiern
Und wilden Abenteuern
Und alles ist ganz geil
Doch jetzt hier
Wo trockene Winde weh'n
Wird gar nichts feucht
Und nichts will steh'n

Der Horizont rückt näher
Und was keiner weiß
Jeder denkt das eine
Doch dafür ist's zu heiß

Sex in der Wüste
Doch dafür ist's zu heiß
Sex in der Wüste
Doch dafür ist's zu heiß";"https://genius.com/Udo-lindenberg-sex-in-der-wuste-lyrics";"Released October 5, 1998
Featuring

    
      Freundeskreis
Producers

    
      Udo Lindenberg
Writers

    
      Bert Kaempfert, Bertolt Brecht, Horst Königstein & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"9";"Udo Lindenberg";"Good Life City";"Zeitmaschine";"[Verse 1]
People in my hometown don't think like me
It's so funny, they cannot see any good in me

The girls in my hometown won't go with me
'Cause they don't want my loving heart
They want security

[Chorus]
I say hey, hey, hey
Good life city, I'm on my way
Hey, hey, hey
Good life city, I'm on my way

[Verse 2]
My family in my hometown, they hate to see
Their good image turning to shame in their community

Hey people, listen to me
This is the day that I put on my travelling shoes
And go, go go, the other way

[Chorus]
I say hey, hey, hey
Good life city, I'm on my way
Hey, hey, hey yeah
Good life city, I'm on my way
I say hey, hey, hey yeah
Good life city, I'm on my way
Hey, hey, hey yeah
Good life city, I'm on my way
Hey yeah
Good life city, I'm on my way
Hey, hey, hey yeah
Good life city, I'm on my way
I said hey";"https://genius.com/Udo-lindenberg-good-life-city-lyrics";"Released October 5, 1998
Featuring

    
      Freundeskreis
Producers

    
      Udo Lindenberg
Writers

    
      Bert Kaempfert, Bertolt Brecht, Horst Königstein & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
"10";"Udo Lindenberg";"Fernweh";"Zeitmaschine";"Mein Freund Herm, der war ein Steward
Auf der Queen Elizabeth
Ich hab' noch immer so'n Foto
Lässig an der Reeling, weiße Uniform
Mit'm Silbertablett

Um kam er einmal im Jahr nach Hause
Nach Gronau, in unsere kleine Heimatstadt
Erzählte er von den sieben Meeren
Und von wüsten Puffs und vom
Saufen-bis-der-Arzt-kommt
Ja, er kannte sich aus - volle Fahrt voraus

Er war immer 'n bisschen älter
Ein Pionier, mir immer 'n Schritt voraus
Weiße Schiffe, goldene Strände
Herm, wo bist du jetzt - wo bist du jetzt?
Zu Haus?

Die Straßen haben keine Namen
Und die Hotels, sie haben kein Telefon
Und ich will noch mal mit dir losziehen
Das letzte Glas ist leer
Der letzte Song gesungen
Und allein heb' ich die Buddel:
Auf dich, du Höllensohn";"https://genius.com/Udo-lindenberg-fernweh-lyrics";"Released October 5, 1998
Featuring

    
      Freundeskreis
Producers

    
      Udo Lindenberg
Writers

    
      Bert Kaempfert, Bertolt Brecht, Horst Königstein & 1 more
Copyright ©

    
      Warner Music Group
Label

    
      Dolcerita Recordings & Warner Music Group"
