"";"artist";"title";"album";"text";"url";"metadata"
"1";"Westernhagen";"Jesus";"Radio maria";"Jesus schenk mir dein LebenIch geb dir meines dafürJesus ich werd nicht aufgebenBis an die HimmelstürJesus spende mir BlutBevor die Sonne micht tötetJesus spende mir BlutBevor der Tag beginntBevor der Tag beginntBitte laß mich herein in dein HimmelreichIch vergehe.Mit ein bißchen Glück werden wir verrücktMit ein bißchen GlückYEAAAH!!!Jesus wir sind die HeldenEs geht du mußt es nur wollenJesus sei nicht so feigeWir werdens der Welt schon zeigenWir werdens der Welt beweisenBitte laß mich herein in dein HimmelreichIch vergeheMit ein bißchen Glück werden wir verrücktMit ein bißchen Glück YEAHJesus wir sind die HeldenEs geht du mußt es nur wollenJesus sei nicht so feigeWir werden´s der Welt schon zeigenWir werden´s der Welt beweisenWir werden´s der Welt beweisenWir werden´s der Welt beweisenWir werden´s der Welt beweisenYEAAAH!!! YEAAAH!!! YEAAAH!!! YEAAAH!!!YEAAAH!!! YEAAAH!!! YEAAAH!!! YEAAAH!!!YEAAAH!!! YEAAAH!!! YEAAAH!!!Wir werdens der Welt beweisenYEAAAAAAAAHH!!!!!!";"https://genius.com/Westernhagen-jesus-lyrics";"Released August 17, 1998"
"2";"Westernhagen";"Lola Blue";"Radio maria";"Lola war schön
Lola war klug
Sie war der Star
Im Tombstone Saloon
Ich hab sie geliebt
Mehr als mein Pferd
Bye, Bye, Bye Lola Blue
Lola war blond
Blond wie Platin
Ich sah sie mit Joe
Die Treppe raufgehen
Ich leerte mein Glas
Tränen der Wut
Bye, Bye, Bye Lola Blue
Und mein Gewehr
Traurig und leer
Und ihre Schreie
Vergess ich nie mehr
Lola fiel schwer
Joe hinterher
In seinem Kopf
War ein Loch vom Gewehr
Ich ritt durch den Tag
Ich ritt durch die Nacht
Bat Got um Vergebung
Es hat nichts gebracht
Sie holten mich ein
Noch vor Mexiko
Bye, Bye, Bye Lola Blue
An einem Baum
Endet mein Traum
Von wahrer Leibe
Von treuen Frauen
Kein Happy End
Spielte die Band
Und selbst mein Pferd
Hat die Hinrichtung verpennt (3x)";"https://genius.com/Westernhagen-lola-blue-lyrics";"Released August 17, 1998"
"3";"Westernhagen";"Walkman";"Radio maria";"Lolita war ein Mдdchen
Mit Hang zum Personal
Sie liebte junge Mдnner
Mit Muskeln hart wie Stahl
Doch fьare Diamanten
Und 'ne SchuЯfahrt I'm Schnee
Stieg sie in die Federn
Mit dem dicken Bankier

Der sagte seiner Frau
DaЯ Mдnner halt so sind
Und man sah ihr deutlich an
Wie schnell die Zeit verrinnt
Sie drohte dann mit Scheidung
Da hat er nur gelacht
Und sprach das magic word:
Ehevertrag

Ich sitz' in deinem Walkman
Und schreie dir ins Ohr
Ich trage keine Waffen
Das ist nicht mein Ressort
Ich bin kein Schwarzenegger
Kein Bombenmuselmann
Eher wie Boris Becker
Dem du blind vertrauen kannst

Ich war neulich I'm Fernsehen
In 'ner Talkshow oder so
Da traf ich dann mein Spiegelbild
Auf dem Garderobenklo
Ich hab' nicht lang gefackelt
Und sagte ihm meine Meinung
Ьber die gesamte deutsche Wiedervereinigung

Ich sitz' in deinem Walkman
Und schreie dir ins Ohr
Ich trage keine Waffen
Das ist nicht mein Ressort
Ich bin kein Schwarzenegger
Kein Bombenmuselmann
Eher wie Boris Becker
Dem du blind vertrauen kannst

Oh, ich kenne dieses Lдcheln
Diese zynische Bemerkung
Aufgebahrt I'm BьЯerhemd
Und bettelt um Verstдrkung
Gott sei Dank
Klingelte dann irgendwo ein Handy
Da konnte ich in aller Ruhe
Meine Bilanz ziehn

Ich sitz' in deinem Walkman
Und schreie dir ins Ohr
Ich trage keine Waffen
Das ist nicht mein Ressort
Ich bin kein Schwarzenegger
Kein Bombenmuselmann
Eher wie Boris Becker
Dem du blind vertrauen kannst";"https://genius.com/Westernhagen-walkman-lyrics";"Released August 17, 1998"
"4";"Westernhagen";"Hoffnung";"Radio maria";"Ich wusste nichts von ihr
Sie sagte nur, bleib hier
Und ich verlor das Spiel
Noch ehe es begann
Sie schlich sich an mich ran
Als sie mich wehrlos fand
Und die Erinnerung an dich
Verschwamm
Es ist schön, so schön
Sich im Kreis zu drehn
Mein Verlangen so viel stärker
Als die Angst
Es tut gut, so gut
Wenn man böses tut
Mein Gewissen so viel schwächer
Als die Gier
Hoffnung ist, was uns
Am Ende geblieben
Hoffnung ist, was uns
Zusammen noch hält
Hoffnung, dass wir uns
Noch einmal verlieben
Hoffnung-
Auf was wirklich zählt
Als ich gesättigt war
Und ich kein Star mehr war
Und die Vernunft befahl
Mir nach Hause zu gehn
Und nicht das erste Mal
Und nicht das letzte Mal
Schmeckte ein Abschiedskuss
So überraschend schal
Es ist schön, so schön
..";"https://genius.com/Westernhagen-hoffnung-lyrics";"Released August 17, 1998"
"5";"Westernhagen";"Alleine";"Radio maria";"Alleine, ich bin so alleine
Bin so alleine
Ich weiЯ nicht wohin

Alleine, ich bin so alleine
Bin so alleine
Verloren den Sinn

Und du mit dem offenen Mund
Sagst nur, es gibt keinen Grund

Alleine, mit all' meiner Liebe
Mit all' meiner Sehnsucht
Mit all' meiner Wut

Gestorben in schlaflosen Nдchten
Ich hab' dich belogen
Es geht mir nicht gut

Und du auf dem fliegenden Pferde
Rufst stolz: Viele Feinde, viel' Ehr

Alleine, alleine

Und du im Kaleidoskop
Hast mich dafьr auch noch gelobt

Alleine, ich bin so alleine
In Konfessionen
In deinem Bett

Alleine, ohne Aufschub
Ohne Elfmeter
Ohne Yvette

Und du mit dem goldenen Arm
Warst schon meiner GroЯmutters Schwarm

Alleine, alleine

Allein, ein Kind ohne Mutter
Ein Mensch ohne Seele
Paul ohne John

Alleine, ich ohne Dich
Du ohne Make up
Wir ohne Gott";"https://genius.com/Westernhagen-alleine-lyrics";"Released August 17, 1998"
"6";"Westernhagen";"Durch Deine Liebe";"Radio maria";"Du machst Blinde sehn
Du machst Lahme gehn
Durch Deine Liebe
Durch Deine Liebe
Kann es geschehn
Machst aus Wasser Wein
Bist der Sonne Schein
Durch Deine Liebe
Durch Deine Liebe
Kann es so sein
Ich hab Dich unterschätzt
Hielt Dein Wort für Geschwätz
War schon zu oft verletzt
Durch Deine Liebe
Durch Deine Liebe
Durch Deine Liebe
Zu oft verletzt
Du küsst Tote wach
Du machst stark was schwach
Durch Deine Liebe
Durch Deine Liebe
Liebe ist Macht
Ich hab Dich unterschätzt
Hielt Dein Wort für Geschwätz
War schon zu oft verletzt
Zu oft verletzt
Durch deine Liebe
Durch Deine Liebe
Durch Deine Liebe
Tödlich verletzt";"https://genius.com/Westernhagen-durch-deine-liebe-lyrics";"Released August 17, 1998"
"7";"Westernhagen";"Rosamunde";"Radio maria";"Wach auf
Steig ein
Lass uns abhau'n
Nur wir zwei
Rosamunde
Geiles Biest
Ohne Hцschen
Nach Paris
Zigaretten
Roter Mund
Keine Kohle
Kьss mich wund
GroЯe Liebe
SpieЯertraum
O.. K
Wenn du willst
Werd' ich tцten
Ohne dabei
Zu errцten
Leben, sterben
Steuern zahlen
Lass uns beten

Gott ist allmдchtig
Hцchst verdдchtig
Gott ist verboten
Unter den Toten
Gott ist gerecht
Ohne Geschlecht
Genial

Rosamunde
Hier nimm
Kannste schlucken
Is' nich' schlimm
Hab's probiert
Tut nicht weh
Macht stark
Guter Trip
Schlechter Atem
Will nach Hause
Riech' den Braten
Eifelturm
Notre Dam
ScheiЯ Baguette

Gott ist allmдchtig
Hцchst verdдchtig
Gott ist verboten
Unter den Toten
Gott ist gerecht
Ohne Geschlecht
Genial

Und die Guten in das Tцpfchen
Und die Schlechten in das Krцpfchen#
Und in meinem SchoЯ dein Kцpfchen
Jaaaa..........

Gott ist allmдchtig
Hцchst verdдchtig
Gott ist verboten
Unter den Toten
Gott ist gerecht
Ohne Geschlecht
Genial";"https://genius.com/Westernhagen-rosamunde-lyrics";"Released August 17, 1998"
"8";"Westernhagen";"Du Hast Dich Nie Gewehrt";"Radio maria";"Ich lege deine Hand in meine
Verberge vor dir, dass ich weine
Du hast dich nie gewehrt
Du hast dich nie gewehrt

Hьndisch winselnd an der Leine
Weltberьhmt und doch alleine
Du hast dich nie gewehrt
Du hast dich nie gewehrt

Ungefragt hast du jedem Liebe geschworen
Fьntausend Sцhne hast du geboren

Du hast dich nie gewehrt
Du hast dich nie gewehrt
Du hast dich nie gewehrt
Du hast dich nie gewehrt

Kinder mьssen Mьtter lieben
Ist es das was dir noch blieb
Du hast dich nie gewehrt
Du hast dich nie gewehrt

Du hast nicht nur dich belogen
Blind vor Hass als ich auszog
Du hast dich nie gewehrt
Du hast dich nie gewehrt

Fьnftausend Sцhne hast du geboren
Die Schlacht gegen mich hast du verloren

Du hast dich nie gewehrt
Du hast dich nie gewehrt
Du hast dich nie gewehrt
Du hast dich nie gewehrt

Alle Kinder sind Vampire
Erwarte keine Dankbarkeit von mir
Die Verantwortung liegt bei dir
Die Verantwortung liegt bei mir

Du hast dich nie gewehrt
Du hast dich nie gewehrt
Du hast dich nie gewehrt
Du hast dich nie gewehrt";"https://genius.com/Westernhagen-du-hast-dich-nie-gewehrt-lyrics";"Released August 17, 1998"
"9";"Westernhagen";"Wo Ist Behle?";"Radio maria";"Ich sitz auf meiner Wolke
Ьber dem Jammertal
Und die Witwe Bolte
Hat die Qual der Wahl
Wo ist Behle?
Alle oder Keiner
Schreit der letzte Mann
Und dann fragt er ungeniert
Wo man hier pinkeln kann
Wo ist Behle?
Bi-Ba Butzemann
Zieh dein Mдntlein an
Mдntlein purpurrot
In hundert Jahren bist du tot
Frauen zuerst und Kinder
Wer soll das verstehn
Wдr es nicht gesьnder
Zusammen durchzudrehn
Wo ist Behle?
Ich sitz auf meiner Wolke
Krank vor Eifersucht
Und die Witwe Bolte
Vцllig ausgebucht
Wo ist Behle?
Bi-Ba Butzemann
Zieh dein Mдntlein an
Mдntlein purpurrot
In hundert Jahren sind wir tot
Wo ist Behle?";"https://genius.com/Westernhagen-wo-ist-behle-lyrics";"Released August 17, 1998"
"10";"Westernhagen";"Wieder hier";"Radio maria";"Ich hab dich wirklich lieb
Wenn es so etwas gibt
Ich hab dich wirklich lieb
In meinen Träumen
Ich find dich wunderschön
Zu schön um zu verstehn
Dass alles mal vergeht
In meinen Träumen

[Refrain]
Ich bin wieder hier in meinem Revier
War nie wirklich weg hab mich nur versteckt
Ich rieche den Dreck ich atme tief ein
Und dann bin ich mir sicher wieder zu Hause zu sein

Ich hab dich wirklich lieb
Auch wenn ich dir nie schrieb
Und dich verleumdet hab
In meinen Träumen
Wenn du vergessen kannst
Alles vergessen kannst
Dann schenk mir diesen Tanz
Ich will nichts versäumen

[Refrain] (2x)

Ich bin wieder da noch immer ein Star
Noch immer ein Held für kein Geld der Welt
War nie wirklich weg hab mich nur versteckt
Und eines ist sicher ich geh nie wieder weg

[Refrain]

Ich bin wieder hier
Ich rieche den Dreck, ich atme tief ein
Wieder zu Hause, zu Hause zu sein

Zu Hause";"https://genius.com/Westernhagen-wieder-hier-lyrics";"Released August 17, 1998"
