"";"artist";"title";"album";"text";"url";"metadata"
"1";"Die Ärzte";"Bitte Bitte (Domina Mix)";"Ab 23 (Mixe, B Seiten Und Anderer Unveröffentlichter Müll)";"Bitte, bitte, laß mich...

[Domina:]
""Wenn Du zu mir kommst wirst Du versinken in einer bizarren Welt voller Lust und Schläge, voller Mystik und Stränge. Ich werde Dich fesseln, so dass Du mir hilflos ausgeliefert bist.""

Bitte, bitte, laß mich...
Laß mich Dein Sklave sein!

[Domina:]
""Domina - genannt auch Herrin bzw. Gebieter, von dominant, lat. beherrschen
Divot - lat. unterwürfig, unterwürfige Menschen bezeichnet man auch als Sklaven oder Sklavinnen, Diener oder Dienerinnen
Fesslungen - es gibt 2 Möglichkeiten, 1. zweckmäßiges Fixieren an den entsprechenden Geräten wie z.B. Bock, Galgen und gynäkologischen Stuhl und 2. Bondage, Verschnüren bis zur Bewegungsunfähigkeit des Sklaven, Verschnüren bis zur Bewegungsunfähigkeit des Sklaven.""

[Domina:]
""Schläge - als Bestrafungsmoment, ausgeführt mit Reitpeitsche, Gärte, Rohrstock und anderen Instrumenten (bitte keine Spuren hinterlassen)
Erziehungsspiele - der Sklave muß Befehle wie ""Sitz!"", ""Platz!"", ""Bei Fuß!\"" oder ""Galopp!"" befolgen, der Sklave ist Schüler und z.B. bei einer falschen Antwort wird er mit dem Rohrstock bestraft auf den Po (auf den PoPo)""


Bitte, laß mich...
Bitte, bitte laß mich... (wiederholt)

Laß mich Dein Sklave sein!

[Strophe 1]
Ich habe ein Geschenk für Dich
Ich liebe Dich. Ich schenk' Dir mich
Frag mich nicht, Du weißt warum
Ab heut' bin ich Dein Eigentum (hoo)

Du tust mir weh, was will ich mehr?
Ich bin Dein Diener, Du der Herr
Ab heut' gehör' ich Dir allein

[Refrain]
Bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Laß mich Dein Sklave sein

[Strophe 2]
Was immer Du befiehlst - ich tu's
Ich küss' die Spitze deines Schuhs
Und wenn Du mir die Knute gibst -
Weiß ich, dass auch Du mich liebst

Ich bin nicht mehr zu retten
Peitsch mich aus, leg mich in Ketten
Ab heut' gehör' ich Dir allein

[Refrain]
Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)

Bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Laß mich Dein Sklave sein

[Domina:]
""Klinik-Sex - Fixieren des Sklaven auf den gynäkologischen Stuhl, eine mögliche Variante ist böse Oberschwester-Patient (ekelhaft)
Baby-Sex - Verkleidung des Sklaven als Baby mit Windeln und er wird als böses Baby behandelt (ich bin so verrucht)
Toiletten-Sex - der Sklave fungiert als Toilette
Abbinden - (beug Dich nach vorn!) mit einem dünnen Lederbändchen werden Hodensack und Penis abgebunden
Natursekt - Urinieren auf den Sklaven entweder auf den Körper oder in den Mund (der Gentleman wünscht Natursekt)
Kaviar - (ich gebe ihm was er verdient) Darmentleerung seitens der Herrin auf den Körper des Sklaven oder in den Mund, oder in den Mund, oder in den Mund - Mund, Mund, Mund...""

[Refrain]
Bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Laß mich Dein Sklave sein

Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich Dein Sklave sein!";"https://genius.com/Die-arzte-bitte-bitte-domina-mix-lyrics";"Released 1994
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"2";"Die Ärzte";"Westerland (to the max)";"Ab 23 (Mixe, B Seiten Und Anderer Unveröffentlichter Müll)";"[Strophe 1 A-capella - Teil]
Neulich sind wir da gewesen
Die Jungs von Greenpeace hatten Recht
Denn das Meer stank ziemlich übel
Und uns wurde ziemlich schlecht
Wann wird diese Insel in die Luft gesprengt?
Wann wird Sylt im Meer versenkt?

[Refrain A-capella]
Oh, ich hab solche Sehnsucht
Ich verliere den Verstand
Ich will wieder an die Nordsee
Ich will zurück nach Westerland

[Strophe 2 New York, New York
House Musik - Teil]
Es hat Tag und Nacht geregnet
Regen wird von Gott gemacht
Und die Zimmer waren spottbillig
Ohne Frau 500 eben die Nacht
Und ein Schäferhund, der pinkelt mich an
Doch er tut nur seine Pflicht (dann sollt' et och so sein)
Verflixt noch mal meine Uhr ist kaputt
Denn der Blender war nicht wasserdicht
Ich kann jeden Abend Schampus saufen
Denn auf St. Pauli hab ich Pferdchen zu laufen
Ich hör' House-Musik, denn ich bin von heute
Die drei B's in meinem Leben: Bierbauch und Bräute

[Strophe 3 Die Robbe]
Ich bin die kleine Robbe
Und Algen find' ich gut
Am Morgen hab' ich Ausschlag
Am Abend spuck' ich Blut

[Strophe 4 Heavy Metal - Teil]
Auf Westerland hängt den Frauen die Brust voller Titten. (rückwärts gesprochen)
Westerland, Westerland, Westerland, Westerland
Satans Idioten um mich herum
Ich habe Angst sie bringen mich um
Ein Dämon aus dem Jenseits gibt mir seine Hand
Und ich weiß ich bin in Westerland
Dieser eine Alptraum wird nie zu Ende gehen
Kein Mensch kann mich verstehen
Westerland, Westerland

[Westerland (Album-Version)]
[Strophe 5]
Jeden Tag sitz' ich am Wannsee
Und ich hör' den Wellen zu
Ich lieg' hier auf meinem Handtuch
Doch ich finde keine Ruh
Diese eine Liebe wird nie zu Ende gehen
Wann werd' ich sie wieder sehen?
Manchmal schließe ich die Augen
Stell' mir vor, ich sitz am Meer
Dann denk' ich an diese Insel
Und mein Herz, das wird so schwer
Diese eine Liebe wird nie zu Ende gehen
Wann werd'' ich sie wieder sehen?

[Refrain]
Oh, ich hab solche Sehnsucht
Ich verliere den Verstand
Ich will wieder an die Nordsee
Ich will zurück nach Westerland

[Strophe 6]
Wie oft stand ich schon am Ufer
Wie oft sprang ich in die Spree
Wie oft mussten sie mich retten
Damit ich nicht untergeh'
Diese eine Liebe wird nie zu Ende gehen
Wann werd' ich sie wieder sehen?

[Refrain]
Oh, ich hab solche Sehnsucht
Ich verliere den Verstand
Ich will wieder an die Nordsee
Ich will zurück nach Westerland

[Bridge]
Es ist zwar etwas teurer
Daf<U+044C>r ist man unter sich
Und ich weiß jeder Zweite hier
Ist genauso blöd wie ich

[Refrain]
Oh, ich hab solche Sehnsucht
Ich verliere den Verstand
Ich will wieder an die Nordsee
Ich will zurück nach Westerland
Oh, ich hab solche Sehnsucht
Ich verliere den Verstand
Ich will wieder an die Nordsee
Ich will zurück
Ich will zurück
Ich will zurück
Ich will zurück nach Westerland

[Strophe 7 Blues Teil]
Uh, Brother, I got a message
I got a message
That's true. I got a message for you
And the message calls:
No more Westerland
Uuh, no more Westerland
Nie wieder Westerland
Oh yeah, nie wieder Westerland
Ohoh, hmm Baby
Man gönnt sich ja sonst nichts und trotzdem
Trotzdem ""Wir gehen nach Westerland
Und darum jetzt ein Gitarrensolo.""
Uh, brother play for me
Uh, uh, uh ....";"https://genius.com/Die-arzte-westerland-to-the-max-lyrics";"Released 1994
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"3";"Die Ärzte";"2000 Mädchen (Wumme Mix)";"Ab 23 (Mixe, B Seiten Und Anderer Unveröffentlichter Müll)";"[Intro]
Wumme, Wumme, Wumme, Wumme

[Strophe 1]
Ich ruf' Dich an so oft ich kann. Ich flüster' in Dein Ohr, oohoho
Ich kenn' nur Deine Stimme und den Rest stell' ich mir vor, oohoho

Ich will genau jetzt bei Dir sein, für Minuten bist Du mein
Denn viel zu viele Mädchen sind heut' Abend ganz allein

[Refrain 1]
Ich ruf sie an - 2000 Mädchen
2000 Mädchen, 2000
2000 Mädchen - ich ruf sie an
2000 Mädchen, 2000, 2000

[Strophe 2]
Manchmal ist Dein Vater dran, zu Fremden ist er nett, oohoho
Er sagt: ""Du müßtest früh aufstehen"" und Du liegst schon im Bett, oohoho

[Refrain 2]
2000 Mädchen - ich ruf sie an
2000 Mädchen, 2000, 2000

[Strophe 3]
Ich ruf dich an so oft ich kann, so oft ich kann, so oft ich kann
Ich ruf dich an, Ich ruf Dich an, den Rest stell ich mir vor

Ich träume dass du bei mir bist, Ich stell mir vor dass du mich küsst
Ich will alles tun dass du mich nie vergisst

[Refrain 1]
Ich ruf sie an - 2000 Mädchen
2000 Mädchen, 2000
2000 Mädchen - ich ruf sie an
2000 Mädchen, 2000, 2000 Mädchen

[Strophe 4]
Du gehst nicht mehr ans Telefon, das ist nicht fair von dir
Du gehst nicht mehr ans Telefon, denn du hast Angst vor mir

Oh die Zeit mit dir war schön
Leider werd' ich dich nie seh'n
Doch es gibt genügend Mädchen
Die im Telefonbuch steh'n

[Refrain 3]
Ich ruf sie an - 2000 Mädchen
2000 Mädchen, 2000
2000 Mädchen - ich ruf sie an
2000 Mädchen, 2000, 2000 Mädchen

2000 Mädchen (2000 Mädchen)
2000 Mädchen (2000 Mädchen)
2000 Mädchen (2000 Mädchen)
2000 Mädchen (2000 Mädchen)

3000 Mädchen (2000 Mädchen)
4000 Mädchen (2000 Mädchen)
5000 Mädchen (2000 Mädchen)
6000 Mädchen (2000 Mädchen)
8000 Mädchen (2000 Mädchen)
11000 Mädchen (2000 Mädchen)
100000 Mädchen (2000 Mädchen)
2000000 Mädchen (2000 Mädchen)
2000 Mädchen, Mädchen";"https://genius.com/Die-arzte-2000-madchen-wumme-mix-lyrics";"Released 1994
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"4";"Die Ärzte";"Radio brennt (Dingleberry-Mix)";"Ab 23 (Mixe, B Seiten Und Anderer Unveröffentlichter Müll)";"[Strophe 1 Rap-Part]
Enemene Mopel
Wer frisst Popel?
Süß und saftig
Eine Mark und achzig
Eine Mark und zehn
Und du kannst gehn
Gehn kannst du noch lange nicht
Sag mir erst, sag mir erst wie alt du bist
D-d-das haut jeden von der Socke
Die Ärzte mit der tierischen Rap-schocke
Den ganzen Tag von früh bis spät
Rappen wir so gut es geht
Wir sind Schlager-fuzzis und keine Neger
Doch Rappen können Förster doch ein Jäger
Ha Ha
Rappen kann ich, rappen kannst du
Rappen kann ein Esel genau wie ein Gnu
Die Leute halten uns für ausgemachten Deppen
Doch wir sind klasse, denn wir können rappen
Meine kleine Schwester ist ein ganz schlimmes Luder
Und wenn ich mal rappe sagt sie: schröpf dich Bruder
Wir kriegen jede Tussi in jeder Disko von Ost-Berlin bis San Franzisko
Wir knutschen sie ab
Wir legen sie flach
C´mon everybody und sprecht mir nach (sprecht mir nach)
Ne Moment eh (Ne Moment eh)
Nein (Nein)
Stopp (Stopp)
Halt aufhören (halt aufhören)
Ey mehr Rap Disziplin wenn ich bitten darf (Mehr Rap Disziplin wenn ich bitten darf)
Rap (Rap)
Disziplin (Disziplin)
Rap (Rap)
Ok (Ok)
Ihr habt (Ihr habt)
Es nicht (es nicht)
Anders gewollt (anders gewollt)
Ärzte (Wer?)
Ärzte (Wer?)
Super (Mann)

Jedesmal wenn ich bei Dir bin schaltest Du das Radio ein
Immer dann, wenn ich Dich küssen will, laß' ich es lieber sein
Sie spielen überall dasselbe - Falcos neue LP
Ich höre Madonna und Chris de Burgh, nur die Ärzte hör' ich nie
Und darum tret' ich (tret' ich) Dein Radio ein
Und darum hack' ich (hack' ich) Dein Radio klein
Und darum schmeiß' ich (schmeiß' ich) Dein Radio an die Wand
Und darum zünd' ich (zünd' ich) Dein Radio an
Und Dein Radio brennt
Und Dein Radio brennt
Ich erinnere mich noch ganz genau an unsere erste Nacht
Wir lagen engumschlungen auf dem Sofa, dann hast Du das Radio angemacht
Sie spielten gerade Dein Lieblingslied (Geronimos Cadillac)
Mir wurde schlecht, ich zog mich an und dann lief ich schreiend weg
Und darum tret' ich (tret' ich) Dein Radio ein
Und darum hack' ich (hack' ich) Dein Radio klein
Und darum schmeiß' ich (schmeiß' ich) Dein Radio an die Wand
Und darum zünd' ich (zünd' ich) Dein Radio an
Und Dein Radio brennt (Dein Radio brennt). (wdh.)
Und darum tret' ich (tret' ich) Dein Radio ein
Und darum hack' ich (hack' ich) Dein Radio klein
Und darum schmeiß' ich (schmeiß' ich) Dein Radio an die Wand
Und darum zünd' ich (zünd' ich) Dein Radio an
Und Dein Radio brennt
Und Dein Radio brennt";"https://genius.com/Die-arzte-radio-brennt-dingleberry-mix-lyrics";"Released 1994
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"5";"Die Ärzte";"Zu Spät (Maxi Version)";"Ist das alles? (13 Höhepunkte mit den Ärzten)";"Warum hast du mir das angetan?
Ich hab's von einem Bekannten erfahren
Du hast jetzt einen neuen Freund
Zwei Wochen lang hab ich nur geweint
Jetzt schaust du weg, grüßt mich nicht mehr
Und ich lieb dich immer noch so sehr
Ich weiß, was dir an ihm gefällt
Ich bin arm und er hat Geld
Du liebst ihn nur, weil er ein Auto hat
Und nicht, wie ich, ein klappriges Damenrad

Doch eines Tages werd' ich mich rächen
Ich werd' die Herzen aller Mädchen brechen
Dann bin ich ein Star
Der in der Zeitung steht
Und dann tut es dir Leid
Doch dann ist es zu spät

Zu spät, zu spät, zu spät
Doch dann ist es zu spät

Zu spät, zu spät, zu spät
Dann ist alles zu spät

Du bist mit ihm im Theater gewesen
Ich hab dir nur Fix und Foxi vorgelesen
Du warst mit ihm essen, natürlich im Ritz
Bei mir gab's nur Currywurst mit Pommes Frites
Der Gedanke bringt mich ins Grab
Er kriegt das, was ich nicht hab
Ich hasse ihn – wenn es das gibt
So, wie ich dich vorher geliebt
Ich wollte ihn verprügeln, deinen Supermann
Ich wusste nicht, dass er auch Karate kann
(Hung dong tschabalahuti!)

Doch eines Tages werd' ich mich rächen
Ich werd' die Herzen aller Mädchen brechen
Dann bin ich ein Star
Der in der Zeitung steht
Und dann tut es dir Leid
Doch dann ist es zu spät

Eines Tages werd' ich mich rächen
Ich werd' die Herzen aller Mädchen brechen
Dann bin ich ein Star
Und du läufst hinter mir her
Doch dann ist es zu spät
Dann kenn' ich dich nicht mehr

Zu spät, zu spät, zu spät
Doch dann ist es zu spät

Zu spät, zu spät, zu spät
Dann ist alles viel zu spät";"https://genius.com/Die-arzte-zu-spat-maxi-version-lyrics";"Released 1994
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"6";"Die Ärzte";"Nein, Nein, Nein";"Ab 23 mixe b seiten und anderer unveroffentlichter mull";"Es war ein grauer Dienstag als Gabi ihren Zahnarzt sah
Und schon eine Stunde sp<U+0434>ter war nichts mehr wie es vorher war
Das Rendezvous mit Uwe hat sie schnell noch abbestellt
Der Zahnarzt hatte Gabi grauenvoll entstellt
Sie steht vor dem Spiegel und sie begreift es kaum
Doch was sie sieht ist Wirklichkeit und nicht ein b<U+0446>ser Traum
Sie tr<U+0434>gt 'ne Spange (nein, nein, nein)
Spiegel k<U+0446>nnen grausam sein (nein, nein, nein)
Warum ist das Schicksal so gemein
So gemein, so gemein?
Der Abend dieses Tages gab Gabi dann den Rest
Sie sah es I'm Spiegel, sie dachte es w<U+0434>r' die Pest
Kleine rote Punkte mitten I'm Gesicht
Ein Schrei (Das darf nicht wahr sein), doch sie verschwanden nicht
Sie steht vor dem Spiegel und alles ist zu sp<U+0434>t
Denn Gabi wei<U+042F> seit heute ist sie in der Pubert<U+0434>t
Denn sie hat Pickel (nein, nein, nein)
Spiegel k<U+0446>nnen grausam sein (nein, nein, nein)
Warum ist das Schicksal so gemein
So gemein, so gemein?
Jetzt steht Uwe vor ihr und sie begreift es kaum
Und was er sagt ist Wirklichkeit doch scheint es wie I'm Traum:
""Gabi, Liebe ist st<U+0434>rker als alle Pickel und Zahnspangen dieser Erde.""
(Ja, ja, ja) jetzt wird Gabi alles klar
(ja, ja, ja) was der Uwe sagt ist wahr
(ja, ja, ja) Liebe ist st<U+0434>rker als fettiges Haar
Fettiges Haar, fettiges Haar
(Ja, ja, ja) jetzt wird Gabi alles klar
(ja, ja, ja) was der Uwe sagt ist wahr
(ja, ja, ja) Liebe ist st<U+0434>rker als fettiges Haar
Fettiges Haar, fettiges Haar
(Ja, ja, ja) jetzt wird Gabi alles klar
(ja, ja, ja) Uwe ist so wunderbar
(ja, ja, ja) Liebe ist st<U+0434>rker als fettiges Haar
Fettiges Haar, fettiges Haar. (wdh.)";"https://genius.com/Die-arzte-nein-nein-nein-lyrics";"Released 1994
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"7";"Die Ärzte";"Gabi ist pleite";"Ab 23 mixe b seiten und anderer unveroffentlichter mull";"""Ey, Gabi haste mal 'ne Mark?""
""Nee.""
""Dann hau' ab.""
Es herrscht wieder Ebbe in Gabis Portemonnaie
Mutti hat sie schon gefragt. Die Antwort war...
F<U+044C>are Oma Pacholke kauft Gabi manchmal ein
Doch die gibt Schokolade anstatt mal 'nen kleinen Schein
Auch in Lemke's Sparschwein hat sie schon geschielt
Sie hat sogar mit dem Gedanken an einen Job gespielt
Kinder ausf<U+044C>hren bringt zu wenig. Daf<U+044C>are hat sie keine Zeit
Doch um Uwe einzuladen w<U+0434>r' zu allem sie bereit
Raubt sie alte Damen aus?
<U+042C>berf<U+0434>llt sie eine Bank?
Es ist wieder Wochenende. Gabi ist mal wieder blank
Es ist wieder Wochenende und Gabi ist mal wieder blank
Gabi ist pleite. Gabi ist blank
Gabi ist pleite
Wagen waschen, das f<U+0434>llt flach
Es regnet schon den ganzen Tag
Lotto spielen ist nicht drin
Viel zu sp<U+0434>t kommt der Gewinn
Wie w<U+0434>r's mit 'ner Konfirmation
Auf lange Sicht lohnt sich das schon
Von den Verwandten reiche Beute
Doch Gabi braucht den Zaster heute
Gabi stellt sich mit Gitarre singend in die Innenstadt
Leider ist heut' langer Samstag und man tritt sie einfach platt
Raubt sie alte Damen aus?
<U+042C>berf<U+0434>llt sie eine Bank?
Es ist wieder Wochenende. Gabi ist mal wieder blank
Es ist wieder Wochenende und Gabi ist mal wieder blank
Gabi ist pleite. Gabi ist blank
Gabi ist pleite
Gabi hat kein Geld. (Gabi ist pleite.) (3x)
Gabi ist pleite
Denn Gabi hat kein Geld";"https://genius.com/Die-arzte-gabi-ist-pleite-lyrics";"Released 1994
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"8";"Die Ärzte";"Das ist Rock´n´Roll";"Ab 23 (Mixe, B Seiten Und Anderer Unveröffentlichter Müll)";"[Strophe 1]
Mit Tennisschläger in der Hand
Steht er vor dem Spiegel
Die Haare liegen voll im Trend
Sind stachlig wie ein Igel
So post er zu Dan Harrow
Und zu Samantha Fox (Touch Me!)
Und träumt, er stünde auf der Bühne
In seinen Neonclogs

[Bridge 1]
Gabi sagt zu Uwe: ""Uwe, lass das sein!""
Uwe sagt zu Gabi: ""Nein.""

[Refrain 1]
Irgendwann bin ich berühmt
Und jeder find't mich toll
Du wirst dann mein Groupie sein
Denn das ist Rock'n'Roll, das ist Rock'n'Roll

[Strophe 2]
Eine Woche später trifft Uwe eine Fee
Sie sagt: ""Du hast drei Wünsche frei.""
Und Uwe sagt: ""Okay.""
""Punkt 1: Ich will berühmt sein
Punkt 2: und zwar jetzt gleich
Punkt 3: bevor es mir entfällt
Ich wär' auch gerne reich (ich wär' auch gerne reich).""

[Bridge 2]
Gabi fragt den Uwe: ""Bist du jetzt ein Star?""
Uwe sagt zu Gabi: ""Klar.""

[Refrain 2]
Jetzt bin ich die Nummer eins
Und jeder find't mich toll
Du kannst jetzt mein Groupie sein
Denn das ist Rock'n'Roll, das ist Rock'n'Roll

[Bridge 3]
Und Gabi sagt: ""Uwe sei doch vernünftig
Werd' doch Beamter oder Pilot
Uwe, Du kannst Dich nicht aufführen
Als wärst Du erst sieben und 'n Vollidiot.""
""Doch!""

[Strophe 3]
Jetzt gibt Uwe ein Konzert vor 100.000 Leuten
Und hinter der Bühne wimmelt es von Bräuten
Die eine oder andere fänd' Uwe ziemlich lecker
Er will sich gerade auf sie stürzen
Doch da klingelt sein Wecker

[Refrain 1]
Irgendwann bin ich berühmt
Und jeder find't mich toll
Gabi wird mein Groupie sein
Denn das ist Rock'n'Roll, das ist Rock'n'Roll

Das ist Rock'n'Roll. (3x)

Passt!";"https://genius.com/Die-arzte-das-ist-rock-n-roll-lyrics";"Released 1994
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"9";"Die Ärzte";"Sie tun es";"Ab 23 mixe b seiten und anderer unveroffentlichter mull";"Uwe hat sie gleich bemerkt, die Beulen unter Gabis Hemd
Plötzlich wird ihm kalt und heiß, ein Gefühl, so neu und fremd
Klar, er weiß schon einiges aus einem Pornoheft
Vater hat ja nicht umsonst ein Zeitschriftengeschäft

Auch bei Gabi regt sich was, es sind nicht nur die Tage
Irgendwann wird es geschehn, nur wie, das ist die Frage
Vati schaut sie öfter mal mit Sorgenmiene an
Mutti sagt: ""Du bist schon bald beim Frauendoktor dran!""

Und sie tun es, (seufz) ja, sie tun es


Gabi wohnt in Schöneberg, Uwe wohnt in Wedding
Gabi küsst gern Zungenschlag, er bevorzugt Petting
Endlich sind sie ungestört, sie wollen es probieren
Erst mal liegend auf dem Bett, dann experimentieren
Uwe zieht die Hose aus, sie sind allein im Zimmer
Gabi weiß nicht, wie es geht,auch er hat keinen Schimmer

Doch sie tun es, ja, sie tun es; oh, sie tun es ... Go, Farin, go

Am nächsten Tag in der Schule
Ist Gabi von ihren Freundinnen umringt:
""Na, wie war's?"", fragt eine von ihnen. ""Na ja, ich weiß nicht
Ich hab's mir eigentlich romantischer vorgestellt
Aber dann nach 20 Sekunden war alles vorbei!""
Gleichzeitig an einer anderen Ecke des Schulhofs:
Uwe: ""Also Jungs, sie hat auf Knien nach mehr gewinselt und ...
Oh, äh, da kommt sie, äh ...""

Und sie tun es, ja, sie tun es ... sie tun es – immer wieder
Immer wieder, immer wieder tun sie es, oh ...";"https://genius.com/Die-arzte-sie-tun-es-lyrics";"Released 1994
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"10";"Die Ärzte";"Gabi Gibt ’ne Party";"Ab 23 (Mixe, B Seiten Und Anderer Unveröffentlichter Müll)";"Heute abend gehn wir aus
Sagte Gabis Mutter
Es wird recht sp<U+0434>t drum sei sch<U+0446>n brav
I'm K<U+044C>hlschrank steht dein Futter
Gabi st<U+044C>rzt zum Telefon
Kann es kaum erwarten
Cola, Wein und Chips sind da
Jetzt kann die Party starten

Gabi, Gabi gibt 'ne Party

Amusemang ist angesagt
Jeder findet's spa<U+042F>ig
Alle sehen gl<U+044C>cklich aus
Nur Uwe schaut so glasig
Gabi tanzt mit Peter
Birgit tanzt mit Klaus
Uwe kotzt ins Blumenbeetim Garten hinterm Haus

Gabi, Gabi gibt 'ne Party

Da kommt Lutz plus Kameraden
Die waren niemals eingeladen
Johlend springen sie durchs Zimmer
Hinterlassen Schutt und Tr<U+044C>mer
Warum tun sie das? Fragt Robby
Feten sprengen ist ihr Hobby

Gabi, Gabi gibt 'ne Party

Aus den Boxen dr<U+0446>hnt der Rock
Gut zu h<U+0446>rn I'm ganzen Block
Da h<U+0434>lt ein Wagen vor dem Haus
Entsetzt steigen die Eltern aus
Das Lilienbeet das ist nicht mehr
Die T<U+044C>are ist weg, der K<U+044C>hlschrank leer
Der Teppich brennt, der Hund ist tot
Und Uwe hat jetzt Hausverbot

Gabi, Gabi gibt 'ne Party...";"https://genius.com/Die-arzte-gabi-gibt-ne-party-lyrics";"Released 1994
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
