"";"artist";"title";"album";"text";"url";"metadata"
"1";"Die Ärzte";"Schopenhauer";"Ab 80 alles uber sex";"[Verse 1]
Dies ist ein wundervolles Lied
Ein bisschen hirnlos, aber schön
Ein wirklich zauberhaftes Lied
Man kann es hör'n, aber nicht seh'n
D'rum sei nicht traurig sondern lächle und sei froh
Und freu dich über die Musik aus deinem Radio

[Verse 2]
Wir singen hier ein schönes Lied
Hundertprozentig jugendfrei
Kein Wort von Sex oder Gewalt
Diese Zeiten sind vorbei
Wir singen nicht mehr über schmutzige Sachen
Ich bitte Sie, das würden wir doch nie im Leben machen

[Bridge]
Schlechtgelaunte Zeitgenossen könnten uns an dieser Stelle
Vorhaltungen machen, wegen fehlendem Niveau
Doch darauf sind wir vorbereitet - sozusagen präpariert
Und wir reagieren so:

[Break]
Schopenhauer, Hegel, Kant
Wittgenstein, Wittgenstein
Schopenhauer, Hegel, Kant
Wittgenstein, Wittgenstein
Platon, Homer, Cicero
Platon, Homer, Cicero
Jean-Paul Sartre, Jean-, Jean-Paul Sartre
Schopenhauer, Hegel, Kant
Wittgenstein, Wittgenstein
Heidegger, Sokrates
Nietzsche (Buh!)
Nietzsche (Buh!)
(Und Beate Uhse)

[Verse 3]
Gleich sind die drei Minuten um
So langsam wird es wirklich eng
Und darum hören wir jetzt auf
Mit diesem schönen Schlussrefrain
Der tut keinem Menschen weh
Der geht richtig schön ins Ohr
Und es kommt nicht mal was von Flachlegen drin vor";"https://genius.com/Die-arzte-schopenhauer-lyrics";"Released 1998
Producers

    
      Die Ärzte, Manne Praeker & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 5 more"
"2";"Die Ärzte";"Tittenmaus";"Die Ärzte früher!";"[Verse 1]
Ich war ein Junge wie jeder andere
Nur mit Mädchen
Da klappte es nicht
Nahm ich mir Mut und sprach sie an
Lachten sie mir ins Gesicht
Und wie alle Jungen hatte ich einen besten Freund
Und dieser Freund war ein Mann
Und er sagte mir jene goldenen Worte
Worte die ich nie vergessen kann:

[Chorus]
Hey du kleine Tittenmaus
Kommst du heut' zu mir nach Haus'?
Ich geb' dir auch einen Jack Daniels aus
Aber dann kommst du mit zu mir nach Haus'

[Verse 2]
Diese Methode war mir erst zu hart
Denn ich wollte sanfter sein
Und ich erzählte den Mädchen
Von meiner Videoanlage zu Haus (Video 2000)
Doch sie fielen nicht darauf rein
Also sagte ich jene goldenen Worte
Weil nichts mehr zu verlieren war
Und ich sagte sie zu einem Mädchen
Das ich besonders gut fand
Und das Mädchen sagte: ""Ja!""

[Chorus]
Hey du kleine Tittenmaus
Kommst du heut' zu mir nach Haus'?
Ich geb' dir auch einen Jack Daniels aus
Aber dann kommst du mit zu mir nach Haus'

[Verse 3]
Und das Mädchen, es kam mit zu mir
Und ihr wisst, was dort so alles passieren kann
(30 Zentimeter sind echt nicht übertrieben!)
Und diese Nacht, sie war hart, aber schön
Und ich erwachte als Mann
Und voller Dank denk ich an meinen Freund zurück
Bisher hatte ich keinen Schimmer
Und wenn ich euch etwas raten kann
Liebe Jungs: Diese Worte klappen immer

[Chorus]
Hey du kleine Tittenmaus
Kommst du heut' zu mir nach Haus'?
Ich geb' dir auch einen Jack Daniels aus
Aber dann kommst du mit zu mir nach Haus'";"https://genius.com/Die-arzte-tittenmaus-lyrics";"Released 1998
Producers

    
      Die Ärzte, Manne Praeker & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 5 more"
"3";"Die Ärzte";"Sie tun es";"Ab 80 alles uber sex";"Uwe hat sie gleich bemerkt, die Beulen unter Gabis Hemd
Plötzlich wird ihm kalt und heiß, ein Gefühl, so neu und fremd
Klar, er weiß schon einiges aus einem Pornoheft
Vater hat ja nicht umsonst ein Zeitschriftengeschäft

Auch bei Gabi regt sich was, es sind nicht nur die Tage
Irgendwann wird es geschehn, nur wie, das ist die Frage
Vati schaut sie öfter mal mit Sorgenmiene an
Mutti sagt: ""Du bist schon bald beim Frauendoktor dran!""

Und sie tun es, (seufz) ja, sie tun es


Gabi wohnt in Schöneberg, Uwe wohnt in Wedding
Gabi küsst gern Zungenschlag, er bevorzugt Petting
Endlich sind sie ungestört, sie wollen es probieren
Erst mal liegend auf dem Bett, dann experimentieren
Uwe zieht die Hose aus, sie sind allein im Zimmer
Gabi weiß nicht, wie es geht,auch er hat keinen Schimmer

Doch sie tun es, ja, sie tun es; oh, sie tun es ... Go, Farin, go

Am nächsten Tag in der Schule
Ist Gabi von ihren Freundinnen umringt:
""Na, wie war's?"", fragt eine von ihnen. ""Na ja, ich weiß nicht
Ich hab's mir eigentlich romantischer vorgestellt
Aber dann nach 20 Sekunden war alles vorbei!""
Gleichzeitig an einer anderen Ecke des Schulhofs:
Uwe: ""Also Jungs, sie hat auf Knien nach mehr gewinselt und ...
Oh, äh, da kommt sie, äh ...""

Und sie tun es, ja, sie tun es ... sie tun es – immer wieder
Immer wieder, immer wieder tun sie es, oh ...";"https://genius.com/Die-arzte-sie-tun-es-lyrics";"Released 1998
Producers

    
      Die Ärzte, Manne Praeker & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 5 more"
"4";"Die Ärzte";"Wahre Liebe";"Ab 80   Alles Über Sex!";"Tanja war tanzen in einer Diskothek
Und da traf sie einen Punker
Ein viertel Jahr später wusst sie nicht mehr wie er hieß
Und war im dritten Monat schwanger
Als sie Gabi das erzählt, sagt Gabi: oioioi!
Mir kann das zum Glück nicht passier'n denn ich bin meinem Uwe treu
Weil er mich liebt, ist er nett
Weil er mich liebt, lässt er mich nie allein
Weil er mich liebt schenkt er mir Rosen
Und ich glaube er wird immer bei mir sein!
Tanja wird neidisch, als Gabi so erzählt
Wie lang die beiden sich schon kennen
Und dass er immer nett ist und sie auch selten quält
Und dass sie sich bestimmt nie trennen
Ich zeig dir mal ein Bild von ihm
Ich hoffe nur ich find es, ach hier
Und Tanja wird ganz bleich
Das ist - der Vater meines Kindes!
Weil er mich liebt ist er nett
Weil er mich liebt, lässt er mich nie allein
Weil er mich liebt schenkt er mir Rosen
Und ich glaube, er wird immer bei mir sein...";"https://genius.com/Die-arzte-wahre-liebe-lyrics";"Released 1998
Producers

    
      Die Ärzte, Manne Praeker & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 5 more"
"5";"Die Ärzte";"Feminin";"Ab 80 alles uber sex";"Allahu akhbar Allahu akhbar Juppiduschallalala

[Strophe 1]
Als ich das Mädchen mit den Latzhosen sah (jubbiduh, schalalala)
Da war mir eines sofort klar (jubbiduh, schalalala)
Sie ist nicht so, wie die anderen sind (jubbiduh, schalalala)
Und wo sie ist, da weht ein anderer Wind, whoahoh (jubbiduh, schalalala)
Ich ging auf sie zu und ich sagte zu ihr:
""Ich such' Dich schon seit Jahren, bitte glaube mir!""

[Refrain]
Sie sagte: ""Schwanz ab, Schwanz ab (runter mit dem Männlichkeitswahn)""
""Schwanz ab, Schwanz ab (runter mit dem Männlichkeitswahn)""
(jubbiduh, schalalala)

[Strophe 2]
Ich musste meine Liebe teuer bezahlen (jubbiduh, schalalala)
Sie trat mir in den Bauch mit ihren Sandalen (jubbiduh, schalalala)
Ich ging zu Boden. Sie waren hart wie Zement (jubbiduh, schalalala)
Selten war ein Mädchen so konsequent, whoahoh (jubbiduh, schalalala)
Und als ich da lag, da wollte sie gehen
Ich rief aber: ""Ich liebe Dich, kannst Du das nicht verstehen?""

[Refrain]
Sie sagte: ""Schwanz ab, Schwanz ab (runter mit dem Männlichkeitswahn)""
""Schwanz ab, Schwanz ab (runter mit dem Männlichkeitswahn)"". (2x)";"https://genius.com/Die-arzte-feminin-lyrics";"Released 1998
Producers

    
      Die Ärzte, Manne Praeker & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 5 more"
"6";"Die Ärzte";"Bitte Bitte (Domina Mix)";"Ab 23 (Mixe, B Seiten Und Anderer Unveröffentlichter Müll)";"Bitte, bitte, laß mich...

[Domina:]
""Wenn Du zu mir kommst wirst Du versinken in einer bizarren Welt voller Lust und Schläge, voller Mystik und Stränge. Ich werde Dich fesseln, so dass Du mir hilflos ausgeliefert bist.""

Bitte, bitte, laß mich...
Laß mich Dein Sklave sein!

[Domina:]
""Domina - genannt auch Herrin bzw. Gebieter, von dominant, lat. beherrschen
Divot - lat. unterwürfig, unterwürfige Menschen bezeichnet man auch als Sklaven oder Sklavinnen, Diener oder Dienerinnen
Fesslungen - es gibt 2 Möglichkeiten, 1. zweckmäßiges Fixieren an den entsprechenden Geräten wie z.B. Bock, Galgen und gynäkologischen Stuhl und 2. Bondage, Verschnüren bis zur Bewegungsunfähigkeit des Sklaven, Verschnüren bis zur Bewegungsunfähigkeit des Sklaven.""

[Domina:]
""Schläge - als Bestrafungsmoment, ausgeführt mit Reitpeitsche, Gärte, Rohrstock und anderen Instrumenten (bitte keine Spuren hinterlassen)
Erziehungsspiele - der Sklave muß Befehle wie ""Sitz!"", ""Platz!"", ""Bei Fuß!\"" oder ""Galopp!"" befolgen, der Sklave ist Schüler und z.B. bei einer falschen Antwort wird er mit dem Rohrstock bestraft auf den Po (auf den PoPo)""


Bitte, laß mich...
Bitte, bitte laß mich... (wiederholt)

Laß mich Dein Sklave sein!

[Strophe 1]
Ich habe ein Geschenk für Dich
Ich liebe Dich. Ich schenk' Dir mich
Frag mich nicht, Du weißt warum
Ab heut' bin ich Dein Eigentum (hoo)

Du tust mir weh, was will ich mehr?
Ich bin Dein Diener, Du der Herr
Ab heut' gehör' ich Dir allein

[Refrain]
Bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Laß mich Dein Sklave sein

[Strophe 2]
Was immer Du befiehlst - ich tu's
Ich küss' die Spitze deines Schuhs
Und wenn Du mir die Knute gibst -
Weiß ich, dass auch Du mich liebst

Ich bin nicht mehr zu retten
Peitsch mich aus, leg mich in Ketten
Ab heut' gehör' ich Dir allein

[Refrain]
Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)

Bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Laß mich Dein Sklave sein

[Domina:]
""Klinik-Sex - Fixieren des Sklaven auf den gynäkologischen Stuhl, eine mögliche Variante ist böse Oberschwester-Patient (ekelhaft)
Baby-Sex - Verkleidung des Sklaven als Baby mit Windeln und er wird als böses Baby behandelt (ich bin so verrucht)
Toiletten-Sex - der Sklave fungiert als Toilette
Abbinden - (beug Dich nach vorn!) mit einem dünnen Lederbändchen werden Hodensack und Penis abgebunden
Natursekt - Urinieren auf den Sklaven entweder auf den Körper oder in den Mund (der Gentleman wünscht Natursekt)
Kaviar - (ich gebe ihm was er verdient) Darmentleerung seitens der Herrin auf den Körper des Sklaven oder in den Mund, oder in den Mund, oder in den Mund - Mund, Mund, Mund...""

[Refrain]
Bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Laß mich Dein Sklave sein

Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich (hoo)
Bitte, bitte, laß mich Dein Sklave sein!";"https://genius.com/Die-arzte-bitte-bitte-domina-mix-lyrics";"Released 1998
Producers

    
      Die Ärzte, Manne Praeker & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 5 more"
"7";"Die Ärzte";"Fafafa";"Ab 80 alles uber sex";"[Intro]
Neulich, neulich, neulich
(Na was?)

[Strophe 1]
Es ist gar nicht lange her
Da traf ich eine sehr schöne Dame
Und ich ging zu ihr hin und sagte:„- ist mein Name“Du hast wunderschöne AugenDu hast wunderschöne AugenDu hast wunderschöne AugenUnd 'nen wunderschönen Mund!""
Und sie sagte zu mir
Und sie sagte zu mir
Und sie sagte, und sie sagte, und sie sagte zu mir:

[Refrain]
Fa Fa Fa Fa Fa Fa Fa Fa
Fa Fa Fa Fa Fa Fa Fa Fa
Fa Fa Fa Fa Fa Fa Fa Fa
Fa Fa Fa Fa Fa Fa Fa Fa
Fa Fa Fa Fa Fa Fa Fa Fa
Fa Fa Fa Fa Fa Fa Fa Fa
Fa Fa Fa Fa Fa Fa Fa Fa
Verpiss Dich!

[Strophe 2]
Ich sagte: „Hey, Moment
Das kann ich so nicht akzeptieren
Lass uns drüber diskutieren
Du brauchst dich gar nicht zu genieren
Es mit mir mal zu probieren
Keine Angst, keine Angst
Ich will dich nicht verführen
Aber kannst du nicht kapieren
Wenn 'ne Frau einfach 'Nee!' sagt
Das geht mir an die Nieren
Willst du mich nur provozieren?
Oder hast du Starallüren?
Bist du taub, bist du blind?
Jetzt hör aber auf, dich so zu zieren
Trink noch ein, zwei Bier
Und dann fahren wir zu mir
Ist nicht weit weg von hier
Und dann werd' ich dich massieren
Und dann machen wir's im Liegen
Und dann machen wir's im Stehen
Schrippe, Stulle, von der Lampe
Und danach auf allen Vieren
Du wirst sehen das wird schön
Also komm, wir gehen
Okay?“

[Refrain]
Fa Fa Fa Fa Fa Fa Fa Fa
Fa Fa Fa Fa Fa Fa Fa Fa
Fa Fa Fa Fa Fa Fa Fa Fa
Fa Fa Fa Fa Fa Fa Fa Fa
Fa Fa Fa Fa Fa Fa Fa Fa
Fa Fa Fa Fa Fa Fa Fa Fa
Fa Fa Fa Fa Fa Fa Fa Fa
Verpiss Dich!

[Strophe 3]
„Hey, du jetzt hör mal zu
Das kannst du wirklich so nicht sagen
Denn das schlägt mir auf den Magen
Ich weiß gar nicht was du hast
Es ist Sommer, es ist Nacht
Ich hab' dir Blumen mitgebracht
Außerdem muss ich gestehen“

[Outro]
„und tschüss, du Rapwichser
Du willst Ghetto?
Kannste haben, Alder
Schluss mit Kaspermucke!“";"https://genius.com/Die-arzte-fafafa-lyrics";"Released 1998
Producers

    
      Die Ärzte, Manne Praeker & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 5 more"
"8";"Die Ärzte";"Omaboy";"Ab 80 alles uber sex";"[Strophe 1]
Ich hab mich dem Bund verweigert, Zivildienst war angesagt
Ins Altenheim für anderthalb Jahr ohoho
Alles ging voll nach Planung, nie hätt´ ich mich beklagt
Endlich würden all meine Träume wahr

[Refrain]
Denn seh´ ich schneeweißes Haar, ja dann lauf ich Gefahr
Mich vor Liebe und Sehnsucht fast zu vergessen
Denn in dieser unseren Welt, wo Schönheit und Jugend nur zählt
Bin ich auf die Liebe greiser Frauen versessen
Je älter, je besser!

[Strophe 2]
Wenn ich ihre Krampfadern zähle an formlos geschwollenen Beinen
Oberweite am Bauch, das nenn ich gut gebaut ohoho
Stargetrübte Augen, schlechter Atem von den Gallensteinen
Starkes Make-Up über hängender Haut ohoho

[Refrain]
Models in Strapsen sind schick, doch ich krieg meinen Kick
Von welkenden Schenkeln die sich in Stützstrumpfhosen pressen
Denn seh' ich schneeweißes Haar, ja dann lauf ich Gefahr
Mich vor Liebe und Sehnsucht fast zu vergessen
Je älter je besser, ohoho

[Instrumental]

[Bridge]
Sie sind so unendlich viel mehr erfahren in Liebesdingen
Wisst ihr welche Gefühle sich in ihnen regen?
Ich werde in neue Regionen der Liebe eindringen
Denn heut werd' ich eineflachlegen

[Refrain]
Denn seh' ich schneeweißes Haar, ja dann lauf ich Gefahr
Mich vor Liebe und Sehnsucht fast zu vergessen
Denn in dieser unseren Welt, wo Schönheit und Jugend nur zählt
Bin ich auf die Liebe greiser Frauen versessen
Je älter, je besser!
Je älter, je besser!
Je älter, je besser!
Je älter, je besser!";"https://genius.com/Die-arzte-omaboy-lyrics";"Released 1998
Producers

    
      Die Ärzte, Manne Praeker & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 5 more"
"9";"Die Ärzte";"Geschwisterliebe";"Die Ärzte";"[Strophe 1]
Wir haben zusammen im Sandkasten gesessen
Beim Doktorspielen wollt ich nur dein Fieber messen
Jetzt bist du 14 und du bist soweit
Wir warten keine Ewigkeit
Sind unsere Eltern auch dagegen
Ich würd dich gerne mal
Flachlegen

[Strophe 2]
Ich hoffe, dass du keine Kinder kriegst
Weil du doch schließlich meine Schwester bist
Die Eltern, die sind weggefahren
Auf die Gelegenheit warte ich seit 14 Jahren
Noch sitzen wir hier und spielen Schach
Aber gleich
Leg ich dich flach

[Strophe 3]
Der große Augenblick ist da
Ich liege auf dir du schreist : ""JAAAAAAAA !""
Du bist so eng
Das macht mich geil
Und morgen nehme ich dein Hinterteil
Noch Stunden später bist du sehr erregt
Ich hab dich schließlich grade
Flachgelegt

Das befriedigt meine Triebe, Geschwisterliebe Geschwisterliebe
Das befriedigt meine Triebe, Geschwisterliebe Geschwisterliebe
Das befriedigt meine Triebe, Geschwisterliebe Geschwisterliebe";"https://genius.com/Die-arzte-geschwisterliebe-lyrics";"Released 1998
Producers

    
      Die Ärzte, Manne Praeker & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 5 more"
"10";"Die Ärzte";"Helmut K.";"Ab 18";"[Intro]
Hannelores Tag ist grau
Denn Helmut Kohl schlägt seine Frau!

[Strophe 1]
Es macht die Runde in der Koalition
SelbstRita Süssmuthweiß es schon
Hannelores Tag ist grau
Denn Helmut Kohl schlägt seine Frau!

[Strophe 2]
Neulich ließ die Hannelore mal etwas auf dem Teller
Zur Strafe lud sie Helmut ein in seinen Folterkeller
Er ist ein Mann wie ich und du -
Und Helmut Kohl schlägt wieder zu!

[Strophe 3]
Hannelore ist allein
Sie wollte doch nur glücklich sein
(Hannelore) Niemand hat davon gewusst
Er kneift ihr in die linke Brust
Er ist ein Mann genau wie wir
Tief in ihm, da steckt ein Tier
Weil nachts hinter verschloss'nen Tür'n
Kriegt seine Frau den Wolf zu spür'n!
Er ist ein Mann wie ich und du -
Und Helmut Kohl schlägt wieder zu!

Hannelore, Hannelore, Hannelore Kohl
Hannelore, Hannelore, Hannelore Kohl
Hannelore!

Er ist ein Mann wie ich und du
Und Helmut Kohl schlägt wieder zu";"https://genius.com/Die-arzte-helmut-k-lyrics";"Released 1998
Producers

    
      Die Ärzte, Manne Praeker & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 5 more"
