"","artist","title","album","text","url","metadata"
"1","Die Ärzte","Ist das noch Punkrock?","Auch","[Gesprochenes Intro]
""Läufts?""
""Herrlich""
""Hahahaha""

[Strophe 1: Farin Urlaub]
""Fick dich und deine Schwestern""Hast du dir tätowiert
No Future - das war gestern
Seitdem ist viel passiert:
Sie heißt Andrea, ihre Haare sind blau
Ihr habt Verkehr und du gibst es zwar nicht zu
Aber sie ist deine Traumfrau

[Refrain: Farin Urlaub]
Aber ist das noch Punkrock -
Wie dein Herz schlägt, wenn sie dich küsst?
Ist das noch Punkrock -Wenn euer Lieblingslied in den Charts ist?
Das hat so den Coolnessfaktor von einem Gartentraktor -
Ist das noch Punkrock?
Ich glaube nicht

[Strophe 2: Farin Urlaub]
Früher warst du dabei, wenn eine Wanne brannte
Dieses Jahr am ersten Mai besuchst du ihre Tante
Seit es Andrea gibt, kommst du nicht mehr saufen
Ihr geht zu Ikea, um euch für die neue BudeEine Küche zu kaufen

[Refrain: Farin Urlaub]
Aber ist das noch Punkrock -
Wie dein Herz schlägt, wenn sie dich küsst?
Ist das noch Punkrock -
Dass euer Lieblingslied in den Charts ist?
Ich will euch nicht den Spaß verderbenAber musste Sid dafür sterben?
Ist das noch Punkrock?
Mh-mh

[Bridge: Farin Urlaub]
Du machst nichts mehr ohne sie
Ihr seid so ein bisschen wieTom Cruise und ScientologyGefährlich, gefährlich
Gut geht das auf Dauer nicht
Du verstehst meine Trauer nicht
Das ist wirklich bedauerlich
Ganz ehrlich, denn –

[Refrain: Farin Urlaub]
Ist das noch Punkrock -
Wie dein Herz schlägt, wenn sie dich küsst?
Ist das noch Punkrock -
Wenn euer Lieblingslied in den Charts ist?
Ihr solltet euch immer fragen:Was würde Stiv Bators sagen?
Ist das noch Punkrock
Ich glaube nicht","https://genius.com/Die-arzte-ist-das-noch-punkrock-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"2","Die Ärzte","Bettmagnet","auch","[Strophe 1]
Der Fernseher vorm Bett war keine gute Idee
Denn er is daran schuld, dass wir kaum noch rausgehen
Nur noch einen Film und schon ist es zu spät
Schon ist er wieder an, der verdammte Bettmagnet
Drück doch mal auf Stopp, ich hol mir mal ein Eis
Der Kühlschrank, der ist leer - was soll der Scheiß?

[Refrain]
Wer holt uns hier raus?
Wer hört unser Schreien?
Denn aus eigener Kraft können wir uns nicht befreien, oh
Wer holt uns hier raus?
Oder kann uns schnell noch eine Pizza mitbestellen?

[Strophe 2]
Da drückst du auf Stopp, wir fallen übereinander her
Das Einzige, was hilft gegen üble Cliffhanger
Nachspiel fällt heut aus, die Serie ist noch drin
Und ich weiß, dass ich verliebt in dich bin

[Refrain]
Wer holt uns hier raus?
Wer hört unser Schreien?
Denn aus eigener Kraft können wir uns nicht befreien, oh
Wer holt uns hier raus?
Oder kann uns schnell noch eine Pizza mitbestellen?

[Strophe 3]
Durch die Jalousie fällt das Sonnenlicht
Doch unsere Lethargie stört das grad mal nicht
Für jede Gegenwehr ist es längst zu spät
Wir können fast nicht mehr, du gottverdammter Bettmagnet

Schade um die Zeit, die uns so verrinnt
Unser Problem ist, dass wir magnetisch sind

[Refrain]
Wer holt uns hier raus?
Wer hört unser Schreien?
Denn aus eigener Kraft können wir uns nicht befreien, oh
Wer holt uns hier raus?
Oder kann uns schnell noch zwei Falafel
Eine Portion Waffeln, Eis und Pommes Fritos
Und ein paar Burritos und die neuesten Videos
Gerne auch anspruchslos mitbestellen?","https://genius.com/Die-arzte-bettmagnet-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"3","Die Ärzte","Sohn Der Leere","Auch","Da ist nicht so viel
Regeln ohne Spiel. (Oh yeah, uhuhu)
Bis zum Horizont
Ist niemand, der hier wohnt

Es braucht ja auch kein Wort
Es ist niemand an diesem Ort (Oh yeah, uhuhu)
Nord, Süd, Ost und West
Nicht mal ein kleiner Rest!

Das große Ungenie
Der Meister der Amnesie. (Oh yeah)
Habe die Ehre
Ich bin der Sohn der absoluten Leere
[x2]

Früher waren hier noch Wiesen
Elfen, Einhörner und Riesen. (Oh yeah, uhuhu)
Dann kam der große Knall
Und alles verschwand im All

Das große Ungenie
Der Meister der Amnesie. (Oh yeah)
Habe die Ehre
Ich bin der Sohn der absoluten Leere
[x4]","https://genius.com/Die-arzte-sohn-der-leere-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"4","Die Ärzte","TCR","auch","[Strophe 1]
Hey du siehst wirklich gut aus heute, du hast Stil
Und das nicht nur von vorne, auch im Profil
Deine Frisur gefällt mir, ziemlich subtilErinnert mich ein bisschen, an Kim Jong Il.
Und viel von dem, was du sagst ist richtig
Viel von dem, was du sagst ist schlau
Viel von dem, was du tust ist wichtig
Und das weißt du auch genau
Du sagst 1000 neue Bücher, hast du dir grad gekauft
Du stellst immer wieder Fragen und kriegst keine Antwort drauf
Abends liegst du manchmal wach, fragst was mach ich hier?
Beginnst ein neues Leben, und was machen wir?

[Refrain 1]
Wir kümmern uns um den Rock
Wir sorgen für die musikalische Begleitung
Und niveautechnische Grenzwertunterschreitung
Ab und zu
Wir kümmern uns um den Rock
Wir sorgen für ganzen schönen Melodien
Wir ham' uns oft die Kehlen wund geschrien
Jetzt kommst du

[Strophe 2]
Ihr seid sympathisch Leute, ihr habt Geschmack
Und das ist echt mal n schicker Pick up Truck
Und viel von dem was ihr macht ist lustig
Viel von dem was ihr was ihr denkt genial
Viel von was ihr wisst, das wusst' ich
Anderes hör ich zum ersten Mal
Ihr lernt 60 neue Sprachen, fahrt ständig um die Welt
Ihr lagt schon vor Madagaskar, was habt ihr da wohl bestellt
Ihr habt zu allem eine Meinung, und die bringt ihr zu Papier
Ihr habt nur eine Frage: Was bitteschön tun wir?

[Refrain 2]
Wir kümmern uns um den Rock
Wir sorgen für die ganzen lächerlichen Posen
Pflegen unsere Rückprofilneurosen
Und mehr
Wir kümmern uns um den Rock
Wir sorgen dafür, dass ihr alle auf und ab springt,
Und dabei auch genau das selbe Lied singtUngefähr
Wir kümmern uns um das Hey Hey
Wir sorgen immer wieder gern für Endorphine
Wir sind ne gottverdammte Rock maschine
Yeah yeah

[Outro]
Wir kümmern uns um das ...
Wir sind auch zuständig für ...
Natürlich können wir auch ...
Oder wie wärs mit etwas ...","https://genius.com/Die-arzte-tcr-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"5","Die Ärzte","Das Darfst Du","auch","Du willst nicht mehr dazugehören, in der Masse niemand stören
Ein Leben, dass nicht deines ist sondern ihres
Stell dir vor es ist vorbei, plötzlich fühlst du dich frei
Es ist an der Zeit, dass du kapierst:

Nur weil die Angst regiert, heißt das nicht das du auch welche hast
Du weißt doch detailliert was dir nicht passt

Komm setz dich zur wehr, stell dich einmal quer
Der nette Typ nicht mehr, denn das darfst du

Machs doch einfach nicht und verweiger dich
Denn das darfst du, ja das musst du
Ja das musst du
Nur weil die Angst regiert

Du frisst nicht mehr was alle fressen, lässt dich nicht am Mittelmaß messen
Dir wird endlich bewusst, was du alles nicht musst
Weil alle ihren Kopf ausruhen, musst du es nicht genauso tun
Weil du selbständig denkst und dich nicht ständig verschränkst

Nur weil die Angst regiert, heißt das nicht das du auch welche hast
Du weißt doch detailliert was dir nicht passt

Komm setz dich zur wehr, stell dich einmal quer
Der nette Typ nicht mehr, denn das darfst du

Machs doch einfach nicht und verweiger dich
Denn das darfst du, ja das musst du
Ja das musst du

Du setzt dich zur wehr, denn das darfst du

Und du stellst dich quer, der nette Typ nicht mehr
Denn das darfst du, ja das musst du
Ja das musst du","https://genius.com/Die-arzte-das-darfst-du-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"6","Die Ärzte","Tamagotchi","auch","Ich fand dich irgendwo im Müll und hatte sofort das Gefühl
Dass das so viel mehr als nur ein Zufall war
Ich sah dich an, wie du da lagst, mir war so, als ob du mir sagst:
„Bitte nimm mich mit und sei immer für mich da""
Ich muss es kaum erwähnen - es war um mich geschehen

Tamagotchi, Tamagotchi
Ich hab dich großgezogen
Doch unsere Zeit ist schnell verflogen
Tamagotchi, Tamagotchi
Mein Kind aus einer anderen Zeit
Wo bist du denn, wie gehts dir heut?

Es kam der Tag, ich ließ dich gehen - wolltest auf eigenen Füßen stehen
In dieser schlechten Welt so voller Hass und Furcht
Bist du jetzt auf der schiefen Bahn, irrst durch Berlin im Drogenwahn?
Oder ziehst du doch ein Jurastudium durch?
Die Ungewissheit bringt mich um, bleib doch nicht stumm

Tamagotchi, Tamagotchi
Ich fühl mich desolater
Meld dich doch bei deinem Vater
Tamagotchi, Tamagotchi
Wir müssen echt mal wieder speaken
Du bist doch mein kleines Küken
Tamagotchi, Tamagotchi
Denkst du an mich noch ab und zu?
Ich bin hier, nur wo bist du?

Wo bist du hin?
Ich bin hier, nur wo bist du?
Ich bin hier, nur wo bist du?","https://genius.com/Die-arzte-tamagotchi-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"7","Die Ärzte","M&F","Auch","[Verse 1]
Man sieht sie gern am Wochenende
Sportlich, moderne Herren mit heißem Blick
Sie zerren frisch gestrichene Damen
Auf die Tanzflächen der Republik

[Verse 2]
Das Balzverhalten erwachsener MenschenIst interessanter als so mancher glaubtVon Brusthaartoupet bis BotoxmaskeIn Krieg und der Liebe ist alles erlaubt

[Chorus 1]
Männer und Frauen sind das nackte Grauen
Wie sie sich stundenlang tief in die Augen schauen
Und die Frauen anderen Frauen ihre Männer klauen
Und die Männer an den Frauen ihren Frust abbauen
Denn Männern und Frauen ist zuzutrauen
Das sie sich gegenseitig gerne die Nacht versauen
Wenn sie schmachten bis zum Morgengrauen
Und dann doch wieder allein nach Haus abhauen

[Verse 3]
Sie liegen schon mittags in den Büschen
Nachts kann man kaum noch durch den Stadtpark gehen
Romantische Schwärmer nennen es „Liebe“Ich würde sagen: „Hier kann man Hormone bei der Arbeit sehen.“

[Bridge]
Und wenn sie die Beleuchtung dimmenEine Nation im Stangenfieber
Im Frühling ist's besonders schlimmDarum ist mir der Winter einfach lieber

[Chorus 2]
Denn Männer und Frauen sind das nackte Grauen
Wie sie sich stundenlang tief in die Augen schauen
Und die Frauen anderen Frauen ihre Männer klauen
Und die Männer sowieso nur Häuser bauen
Manche Männer lieben Männer, Manche Frauen eben FrauenDa gibt's nichts zu bedauern und nichts zu staunenDas ist genau so normal wie Kaugummi kauenUnd die meisten werden sich das niemals trauen","https://genius.com/Die-arzte-m-f-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"8","Die Ärzte","Freundschaft Ist Kunst","auch","[Strophe 1]
Punk ist der Mainstream jetzt, mach du mal schön dein Ding
Verzeih, wenn ich jetzt keine Parolen mehr mit dir sing
Dein Zorn ficht mich nicht an, hab mich verändert, Mann
Und da kommst du mir dumm, hau ab, ich häng mit Künstlern rum

[Refrain 1]
Ich häng mit Künstlern rum, häng jetzt mit Künstlern rum
Dein Lebenskompromiss war mit schon lange viel zu krumm
Ich häng mit Künstlern ab, da weiß ich, was ich hab
Mach mit oder bleib stumm, denn ich häng jetzt mit Künstlern rum

[Strophe 2]
Und ihre Andersartigkeit, die nehm ich gern in Kauf
Ich war gelangweilt, hatte Zeit - sie hielten mir die Türe auf
Sie leben exzessiv, nur in der Enge frei
Sie sind stets depressiv und haben ihren Spaß dabei

[Refrain 1]

[Refrain 2]
Ich häng mit Künstlern rum
Mal sehen wohin das führt
Ich weiß genau warumIch habe es gleich gespürtDass ich dazu gehörDas macht mich interessantIch fühl mich elitär und du, du nennst mich arrogant

[Refrain 1]

[Outro]
Ich häng mit Künstlern rum
Häng jetzt mit Künstlern rum
Ich häng mit Künstlern ab
Mach mit, oder bleib stumm, denn ich häng jetzt mit Künstlern rum
(Art!)","https://genius.com/Die-arzte-freundschaft-ist-kunst-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"9","Die Ärzte","Angekumpelt","auch","Ich kenn dich nicht, weil ich dich nicht kennen will
Du interessierst mich nicht, in meinem Schacht ist heute Schicht
Was heißt hier heute, es ist eigentlich immer so
Ich bin gern allein - was könnte denn noch schöner sein?

Als hier zu sitzen, so wie gestern
Über Typen wie dich lästern
Ich kann dir jetzt schon Ärger prophezeien
Ich will nicht blöd angekumpelt sein

Man sieht dir wirklich sofort an, dass du Anschluss suchst
Du willst Freunde adden, ich bin heut dein Armageddon
Ich brauch keine Nacktschnecken, die nur Müll erzählen
Lass mich dir erklären, ich möchte nicht mit dir verkehren

Wenn du dich auf dem Mond befändest
Und mir von dort Signale sendest
Wär mir der Abstand immer noch zu klein
Ich will nicht blöd angekumpelt sein

Wären du und ich die Letzten hier auf Erden
Dann steht fest
Wir würden keine Freunde werden

Hätt ichs endlich rausgeschafft
Nach zwanzig Jahren Isohaft
Und müsste deine Fresse sehen
Ich würd freiwillig zurückgehen
Wär lieber noch mal zehn Jahre allein
Als von dir blöd angekumpelt sein

Ich will nicht blöd angekumpelt sein
Will nicht blöd angekumpelt sein","https://genius.com/Die-arzte-angekumpelt-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"10","Die Ärzte","Waldspaziergang mit Folgen","auch","[Strophe 1]
Ich ging spazieren im Wald, ich musste einfach hinaus
Das sah ich ein StückHolz, das sah heilig aus
Also steckte ich es ein, nahm es mit nach Haus
Und daschnitzteich mir einen Gott daraus

[Refrain 1]
Dann hab ich meinen Gott ins Regal gestellt
Da hat er einen schönen Ausblick über die Welt
Und solang er nichts verspricht, was er später nicht hält
Muss ich sagen, dass mir Gott ziemlich gut gefällt
Wenn auch andere behaupten, das wäre nicht normal
Ich habe einen Gott bei mir im Regal

[Strophe 2]
Und schon bald darauf begannen ein paarWunderzu geschehen:
Ich wurde unglaublich reich und noch unglaublicher schön
Ich brachte Lahme zum Rennen und dieBlindenzum Sehen
Und natürlich konnte ich auchüber Wasser gehen

[Refrain 2]
Ich hab mireinen Gottins Regal gestellt
Und ich hoffe, dass er dort nicht hinunterfällt
Und solang er nichts verspricht
Was er später nicht hält
Ist er doch eine Bereicherung für diese Welt
Auch wenn andere behaupten, ich wäre nicht normal
Ich habe einen Gott (einen Gott, einen Gott) bei mir im Regal

[Strophe 3]
Jetzt hatte ich alles:Ruhm, Reichtum und Macht
Doch man weiß, wie sowas ausgeht, hab ich mir gedacht
Und so hab ich ihn genommen, irgendwann in der Nacht
Und hab ihn wiederzurück in den Waldgebracht

[Refrain 3]
Ich hab mir einen Gott ins Regal gestellt
Ich hätte vorher nie gedacht, dass er mir so gut gefällt
Und solange er da stand, war er wirklich mein Held
Ich hielt ihn für den besten Gott der Welt
Andere Leute haben Bücher, das wär mir zu banal
Ich hatte einen Gott (ja, ja einen Gott) bei mir im Regal","https://genius.com/Die-arzte-waldspaziergang-mit-folgen-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
