"","artist","title","album","text","url","metadata"
"1","Die Ärzte","Ist das noch Punkrock?","Die nacht der damonen live","[Gesprochenes Intro]""Läufts?""""Herrlich""""Hahahaha""[Strophe 1: Farin Urlaub]""Fick dich und deine Schwestern""Hast du dir tätowiertNo Future - das war gesternSeitdem ist viel passiert:Sie heißt Andrea, ihre Haare sind blauIhr habt Verkehr und du gibst es zwar nicht zuAber sie ist deine Traumfrau[Refrain: Farin Urlaub]Aber ist das noch Punkrock -Wie dein Herz schlägt, wenn sie dich küsst?Ist das noch Punkrock -Wenn euer Lieblingslied in den Charts ist?Das hat so den Coolnessfaktor von einem Gartentraktor -Ist das noch Punkrock?Ich glaube nicht[Strophe 2: Farin Urlaub]Früher warst du dabei, wenn eine Wanne brannteDieses Jahr am ersten Mai besuchst du ihre TanteSeit es Andrea gibt, kommst du nicht mehr saufenIhr geht zu Ikea, um euch für die neue BudeEine Küche zu kaufen[Refrain: Farin Urlaub]Aber ist das noch Punkrock -Wie dein Herz schlägt, wenn sie dich küsst?Ist das noch Punkrock -Dass euer Lieblingslied in den Charts ist?Ich will euch nicht den Spaß verderbenAber musste Sid dafür sterben?Ist das noch Punkrock?Mh-mh[Bridge: Farin Urlaub]Du machst nichts mehr ohne sieIhr seid so ein bisschen wieTom Cruise und ScientologyGefährlich, gefährlichGut geht das auf Dauer nichtDu verstehst meine Trauer nichtDas ist wirklich bedauerlichGanz ehrlich, denn –
[Refrain: Farin Urlaub]Ist das noch Punkrock -Wie dein Herz schlägt, wenn sie dich küsst?Ist das noch Punkrock -Wenn euer Lieblingslied in den Charts ist?Ihr solltet euch immer fragen:Was würde Stiv Bators sagen?Ist das noch PunkrockIch glaube nicht","https://genius.com/Die-arzte-ist-das-noch-punkrock-lyrics","Released September 13, 2013
Featuring

    
      Martin Klempnow
Producers

    
      Die Ärzte, Jörg Fukking, Manne Praeker & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Composed by

    
      Farin Urlaub"
"2","Die Ärzte","Bettmagnet","auch","[Strophe 1]Der Fernseher vorm Bett war keine gute IdeeDenn er is daran schuld, dass wir kaum noch rausgehenNur noch einen Film und schon ist es zu spätSchon ist er wieder an, der verdammte BettmagnetDrück doch mal auf Stopp, ich hol mir mal ein EisDer Kühlschrank, der ist leer - was soll der Scheiß?[Refrain]Wer holt uns hier raus?Wer hört unser Schreien?Denn aus eigener Kraft können wir uns nicht befreien, ohWer holt uns hier raus?Oder kann uns schnell noch eine Pizza mitbestellen?[Strophe 2]Da drückst du auf Stopp, wir fallen übereinander herDas Einzige, was hilft gegen üble CliffhangerNachspiel fällt heut aus, die Serie ist noch drinUnd ich weiß, dass ich verliebt in dich bin[Refrain]Wer holt uns hier raus?Wer hört unser Schreien?Denn aus eigener Kraft können wir uns nicht befreien, ohWer holt uns hier raus?Oder kann uns schnell noch eine Pizza mitbestellen?[Strophe 3]Durch die Jalousie fällt das SonnenlichtDoch unsere Lethargie stört das grad mal nichtFür jede Gegenwehr ist es längst zu spätWir können fast nicht mehr, du gottverdammter BettmagnetSchade um die Zeit, die uns so verrinntUnser Problem ist, dass wir magnetisch sind[Refrain]Wer holt uns hier raus?Wer hört unser Schreien?Denn aus eigener Kraft können wir uns nicht befreien, ohWer holt uns hier raus?Oder kann uns schnell noch zwei FalafelEine Portion Waffeln, Eis und Pommes FritosUnd ein paar Burritos und die neuesten VideosGerne auch anspruchslos mitbestellen?","https://genius.com/Die-arzte-bettmagnet-lyrics","Released September 13, 2013
Featuring

    
      Martin Klempnow
Producers

    
      Die Ärzte, Jörg Fukking, Manne Praeker & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Composed by

    
      Farin Urlaub"
"3","Die Ärzte","Tamagotchi","auch","Ich fand dich irgendwo im Müll und hatte sofort das GefühlDass das so viel mehr als nur ein Zufall warIch sah dich an, wie du da lagst, mir war so, als ob du mir sagst:„Bitte nimm mich mit und sei immer für mich da""Ich muss es kaum erwähnen - es war um mich geschehenTamagotchi, TamagotchiIch hab dich großgezogenDoch unsere Zeit ist schnell verflogenTamagotchi, TamagotchiMein Kind aus einer anderen ZeitWo bist du denn, wie gehts dir heut?Es kam der Tag, ich ließ dich gehen - wolltest auf eigenen Füßen stehenIn dieser schlechten Welt so voller Hass und FurchtBist du jetzt auf der schiefen Bahn, irrst durch Berlin im Drogenwahn?Oder ziehst du doch ein Jurastudium durch?Die Ungewissheit bringt mich um, bleib doch nicht stummTamagotchi, TamagotchiIch fühl mich desolaterMeld dich doch bei deinem VaterTamagotchi, TamagotchiWir müssen echt mal wieder speakenDu bist doch mein kleines KükenTamagotchi, TamagotchiDenkst du an mich noch ab und zu?Ich bin hier, nur wo bist du?Wo bist du hin?Ich bin hier, nur wo bist du?Ich bin hier, nur wo bist du?","https://genius.com/Die-arzte-tamagotchi-lyrics","Released September 13, 2013
Featuring

    
      Martin Klempnow
Producers

    
      Die Ärzte, Jörg Fukking, Manne Praeker & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Composed by

    
      Farin Urlaub"
"4","Die Ärzte","Hurra!","Planet Punk","[Strophe 1]Weißt du noch wie's früher war? Früher war alles schlechtDer Himmel grau, die menschen mies - die Welt war furchtbar ungerechtDoch dann - dann kam die Wende: unser Leid war zu Ende[Refrain 1]Hip hip hurra! Alles ist super, alles ist wunderbarHip hip hurra! Alles ist besser als es damals war[Strophe 2]Früher war'n wir alle traurig, wir weinten jeden TagEs nieselte, wir war'n oft krank - jetzt ist alles total starkJetzt lachen immer alle und reißen ständig Witze, wir sind nur noch am baden geh'n - wehen die HitzeUnd ich find es wirklich stark, daß ich das noch erleben darf[Refrain 2]Hip hip hurra! Alles ist super, alles ist wunderbarHip hip hurra! Alles ist besser als es gestern warAlle sind happy, alle sind glücklich, alle sind frohUnd überall wo man hinguckt, Liebe und Frieden und so[Bridge]Gestern ging es allen dreckig, heute geht es steil bergaufJeder hat sechs Richtige, alle sind total gut draufEuropa, Asien, Afrika, Australien und AmerikaFriede, Freude, Eierkuchen, alle singen ""Jaaa!"" (Jaaa!, Jaaa!)[Refrain]Hip hip hurra! Alles ist super, alles ist wunderbarHip hip hurra! Alles ist besser als es gestern war[Outro]Hip hip hurra! Alles ist super, alles ist wunderbarHip hip hurra! Alles ist besser als es gestern warAlle sind Freunde, alle sind happy, alle sind frohUnd überall wo man hinguckt, Liebe und Frieden und so","https://genius.com/Die-arzte-hurra-lyrics","Released September 13, 2013
Featuring

    
      Martin Klempnow
Producers

    
      Die Ärzte, Jörg Fukking, Manne Praeker & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Composed by

    
      Farin Urlaub"
"5","Die Ärzte","Lied vom Scheitern","Jazz ist anders","[Strophe 1: Bela B.]Ich wusste stets, was ich will - doch das wollen vieleTrotzdem setzte ich mich zwischen alle StühleUnd machte es mir bequem - bis hierhin kein ProblemIch strengte mich an - gehörte doch nie zu denenUnd schwelgte doch nur in unerreichbaren PlänenUnd am Ende war der Lohn Frustration[Pre-Chorus: Bela B.]Ich dachte, ich könnte es erzwingenDer Selbstbetrug tat mir nichts bringen, denn ...[Refrain: Bela B.]Du bist immer dann am besten, wenn's dir eigentlich egal istDu bist immer dann am besten, wenn du einfach ganz normal bistDu bist immer dann am besten - du musst das nicht mehr testen jedes MalDein Spiegelbild ist anderen egal[Strophe 2: Bela B.]Ich war nicht mehr ich selbst - es wurde gefährlichTat, was andre verlangten, war zu mir selbst nicht mehr ehrlichWer Wahrheit simuliert, wird nur kurz akzeptiertIch machte es allen recht - alle sollten mich liebenSah nicht die Dämonen, die mich dazu triebenWar gefangen und nicht mehr frei und ich ging kaputt dabei[Pre-Chorus: Bela B.]Man kann die Welt nicht ewig blendenIch muss den Quatsch sofort beenden, denn ...[Refrain: Bela B.]Du bist immer dann am besten, wenn's dir eigentlich egal istDu bist immer dann am besten, weil der Ehrgeiz dich sonst auffrisstDu bist immer dann am besten - du musst das nicht austesten - nicht noch malDein Spiegelbild ist anderen egal[Bridge: Bela B.]Du kannst für eine Weile dein Umfeld belügenDoch dein eigenes Herz wirst du nicht betrügenMan erntet, was man sät - drum wird's dein Herz sein, das dich verrätIch will deinen Elan doch überhaupt nicht dämpfenWenn du etwas willst, musst du darum kämpfenNur eines versprichst du mir: Bleib immer du selbst und bleib bei dir
[Refrain: Bela B.]Ich bin immer dann am besten, wenns mir eigentlich egal istIch bin immer dann am besten, wenn mir keiner ins Regal pisstIch bin immer dann am besten - am zweit-, dritt oder zehntbestenVon mir aus auch mal nicht am bestenIch muss das nicht austestenNicht noch malMein Spiegelbild ist anderen egal","https://genius.com/Die-arzte-lied-vom-scheitern-lyrics","Released September 13, 2013
Featuring

    
      Martin Klempnow
Producers

    
      Die Ärzte, Jörg Fukking, Manne Praeker & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Composed by

    
      Farin Urlaub"
"6","Die Ärzte","Ein Mann","Geräusch","[Strophe 1: Farin U.]Streicheln ist nicht so mein Ding -Sind wir denn hier im Streichelzoo?Im Rohrverlegen bin ich King -Und überall und sowiesoIch bin ein Mann, mein Socken wasch ich irgendwannMache mir die Erde Untertan -Weil ich es kann: Ich bin ein Mann[Strophe 2: Farin U.]Charismatisch, kultiviert und an der Hüfte tätowiertIch zeigs dir, wenn du vor mir kniest -Da flippst du aus, wenn du das siehst:Ich bin ein Mann, ich geb dir eine Überdosis FunAn mir hängt jede Menge unten dran, guck es dir: Ich bin ein Mann[Strophe 3: Farin U.]So subtil wie ein Panzer, so einfühlsam wie die AutobahnIch bin ein Mann, noch gefährlicher als Jackie ChanAlso bitte, fass mich vorsichtig an - Du bist in meinem BannIch habe dich in Hand, denn ich bin so interessantObwohl ich nichts dafür kann, ich hab mehr Glück als Verstand:Ich bin ein Mann!","https://genius.com/Die-arzte-ein-mann-lyrics","Released September 13, 2013
Featuring

    
      Martin Klempnow
Producers

    
      Die Ärzte, Jörg Fukking, Manne Praeker & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Composed by

    
      Farin Urlaub"
"7","Die Ärzte","Ein Lied für dich","13","[Vers 1]Dies ist ein Lied für DichWeil Du immer in der ersten Reihe stehstEin Lied nur für DichWeil Du immer mit uns schlafen gehstDies ist ein Lied für DichWeil Du stundenlang zu Hause sitzt und brennstEin Lied nur für DichWeil du alle unsre Texte kennstKommst Du aus Hamburg oder aus BerlinKommst Du aus Zürich oder kommst du aus WienKommst Du aus Bielefeld, aus Dresden, aus HeilbronnEgal! Irgendwie haben wir Dein Herz gewonnenWegen Dir können wir schon seit Jahren erbarmungslos punkenUnd dafür wolln wir uns bedanken[Vers 2]Dies ist ein Lied auch für DichWeil Du uns schon immer Scheiße fandstEin Lied auch für DichWeil du uns nicht leiden kannstSind wir zu kindisch? Aber HalloNiveaulos sind wir sowiesoNa und? Dafür sehn wir besser ausUnd unsere Reime sind auch nicht von schlechten ElternMit Dir können unsere Fans sich nach Herzenslust zankenUnd dafür woll'n wir uns naja[Hook]Dies ist ein *schleimschleim* Lied für Euch *schleimschleim*Denn der Rod hat mir gesagt, daß er Euch liebtEin Lied, nur für EuchIhr seid der Grund dafür, daß es uns gibtWegen Euch sind wir beliebt beim Finanzamt und bei ausgesuchten BankenUnd dafür wollen wir uns bedanken[Outro]Dankeschön, dankesehr, liebe Plattenfirma, jetzt gib die Kohle endlich herDankesehr, dankeschön, ich will meinen Kontostand erhöh'nDankeschön, dankesehr, ich will mehr, ich will mehr, mehr, mehr, mehr, mehrDankesehr, dankeschön, morgen kauf ich mir nen gold'nen FönDankeschön, dankesehr, und sooo, wird man Millionär","https://genius.com/Die-arzte-ein-lied-fur-dich-lyrics","Released September 13, 2013
Featuring

    
      Martin Klempnow
Producers

    
      Die Ärzte, Jörg Fukking, Manne Praeker & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Composed by

    
      Farin Urlaub"
"8","Die Ärzte","Heulerei","Jazz ist anders","Was würdest du machen, wenn ich wirklich geh?Wenn ich nicht mehr für dich gradestehWeil wir uns nichts mehr zu sagen habenWas würdest du tun, wenn ich nicht mehr da bin?Was würdest du machen, wenn wir uns trennen?Vielleicht lern ich ja eine andere kennenEine Frau, die mich wirklich liebtWas würdest du tun, wenns mich nicht mehr gibt?- Du würdest heulenDu sagst, ich mache mir ein falsches BildUnd wenn ich ginge, das wär halb so wildDu sagst, du würdest auch ohne mich frohDas könnte zwar sein, aber es ist nicht so!Die Wahrheit ist, wenn ich dich verließeDann würden deine Tränen nur so fließenDu würdest vollständig dehydrierenAlles in Taschentücher investieren- Du würdest heulenDu würdest heulen","https://genius.com/Die-arzte-heulerei-lyrics","Released September 13, 2013
Featuring

    
      Martin Klempnow
Producers

    
      Die Ärzte, Jörg Fukking, Manne Praeker & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Composed by

    
      Farin Urlaub"
"9","Die Ärzte","Wir sind die Besten","Jazz ist anders","Menschen werden entführt und in Lager gebrachtEtwas Falsches gesagt, etwas Falsches gedachtUnd alle, die warten, werden langsam nervös:Wo ist der Messias, der uns erlöst?Dies sind finstere Zeiten, wo oft die Bösen siegenWeil sie lügen und betrügen und die Wahrheit verbiegenAber es gibt ja noch uns - oder Phillip BoaWir sind noch älter und noch besser als je zuvorWir sind wie guter Whiskey, viele Jahre gereiftWarum dauert es so lange, bis ihr endlich begreiftWir sind die Besten, wir sind die AllerbestenIm Osten wie im WestenVom Pol bis zum Äquator und auch in Ulan BatorWir sind die Besten, wir sind die AllerbestenDu kannst uns gerne testenVom Süden bis zum Norden, in Wüsten und in FjordenEs gibt Leute, die sagen, wir wären nicht gutWir wären nur so mittel, da packt mich die WutWer so was behauptet, der lügt wie gedrucktDer gehört getreten und angespucktMan muss sie federn und teeren und den Darm auf ihnen entleerenWeil sie schummeln und heucheln - doch wir werden sie alle meuchelnHast du den Schuss nicht gehört? Bist du zu spät geboren?Wer sich mit uns anlegt, hat schon verlorenHast du noch irgendwelche Fragen oder ein Problem?Wir sitzen hier im Olymp, wir sitzen ziemlich bequemWir sind die Besten, wir sind die AllerbestenIm Osten wie im WestenVom Pol bis zum Äquator und auch in Ulan BatorWir sind die Besten, wir sind die AllerbestenDu kannst uns gerne testenVom Süden bis zum Norden, in Wüsten und in Fjorden","https://genius.com/Die-arzte-wir-sind-die-besten-lyrics","Released September 13, 2013
Featuring

    
      Martin Klempnow
Producers

    
      Die Ärzte, Jörg Fukking, Manne Praeker & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Composed by

    
      Farin Urlaub"
"10","Die Ärzte","Angeber","13","[Refrain 2x]Ah, schau mich anIch bin der Mann, der alles kannUh, hör mir zu: Ich bin 1000 Mal besser1000 Mal besser als du[Strophe 1]Es gibt nichts, was du nicht kannstEs gibt nichts, was du nicht kennstEs gibt nichts, was du nicht besser weißt als ichDu warst schon überallDu hast alles schon gesehnUnd eigentlich sind alle Frauen verliebt in dichAngeber, gib noch ein bisschen an für michDu weißt, ich hör es gernWenn du von deinen Abenteuern sprichstAngeber, Angeben ist dein LieblingssportIch hör dir zu mit off'nem MundUnd tu' so, als glaub ich dir jedes Wort (Angeber)[Refrain]Ah, schau mich anIch bin der Mann, der alles kannUh, hör mir zu: Ich bin 1000 Mal besser1000 Mal besser als du[Strophe 2]Unbeschreiblich, kaum zu glauben, nicht zu fassenIn deiner Fantasie scheinst du der Größte zu seinImmer höher, immer weiter, immer lauter, immer besserImmer, wenn ich gerade gehen will, fällt dir noch einer einAngeber, gib noch ein bisschen an für mich (ein bisschen an für mich)Du weißt, ich hör es gernWenn du von deinen Abenteuern sprichstAngeber, Angeben ist dein LieblingssportIch hör dir zu mit off'nem MundUnd tu' so, als glaub ich dir jedes Wort[Refrain]Ah, schau mich anIch bin der Mann, der alles kannUh, hör mir zu: Ich bin 1000 Mal besser1000 Mal besser als duAh, schau mich anIch bin der Mann, der alles kannUh, hör mir zu: Ich bin 1000 Mal besser1000 Mal besser als wie du
""Halt die Fresse!""""Soll ich jetzt den Knaller zünden?""""Zünd den Knaller - irre!""","https://genius.com/Die-arzte-angeber-lyrics","Released September 13, 2013
Featuring

    
      Martin Klempnow
Producers

    
      Die Ärzte, Jörg Fukking, Manne Praeker & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Composed by

    
      Farin Urlaub"
