"","artist","title","album","text","url","metadata"
"1","Die Ärzte","Wir brauchen... Werner","Doktorspiele Heute (Heute Bis Kurz Davor)","Alle müssen Tag für Tag zu ihrer Arbeit gehen
Alle sind zufrieden, wenn sie fressen und fernsehen
Alle sind verheiratet und wählen Helmut Kohl
Einer sitzt auf seinem Bock, denn da fühlt er sich wohl

Einer gibt Vollgas. Einer dreht auf
Wer ist es bloß? Wie heißt er noch?
Ich komm' da gar nicht drauf

Vier Haare auf dem Kopf und abstehende Ohren
Die Unschuld auf dem Rücksitz von 'ner Horex verloren
Die Bullen haben ihn gar nicht gern
Wir haben ihn noch so gerner
Die Olle weiß Bescheid. Es ist allerhöchste Zeit

Wir brauchen... Werner

Alle lieben Steffi Graf. Alle sind katholisch (alle sind katholisch)
Werner's Gott heißt Flaschbier, denn das ist alkoholisch (denn Flaschbiertrinken macht frei)
Alle gehen schlafen, wenn im Fernsehen nichts mehr läuft
Werner macht 'ne Party - Flaschbier hat er schon gekäuft

Werner gibt Vollgas. Werner macht zu
Und wenn der Werner Feten gibt
Dann fliegt die Kuh

Vier Haare auf dem Kopf und abstehende Ohren
Die Unschuld auf dem Rücksitz von 'ner Horex verloren
Die Bullen haben ihn gar nicht gern
Wir haben ihn noch so gerner
Die Olle weiß Bescheid. Es ist allerhöchste Zeit

Wir brauchen...

Freund von Politessen und die Nase riesengroß
Geld ist streng bemessen, weil ewig arbeitslos
Wir brauchen keinen Nagellack und kein Gewichtsentferner
Die Olle weiß Bescheid. Es ist allerhöchste Zeit

Wir brauchen... Werner

Werner, Werner, Werner

Und wir singen jetzt im Chor. Komm, wir hauen uns aufs Ohr
Warum schreist Du mir ins Ohr. Komm, wir verhauen jetzt den Chor

Eh, wir verhauen jetzt den Chor. (wdh.)
Eh, und wir hauen uns aufs Ohr. (wdh.)","https://genius.com/Die-arzte-wir-brauchen-werner-lyrics","Released 1996
Producers

    
      Die Ärzte, Gerdi Gerhard, Ingo Krauss & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"2","Die Ärzte","Felicita","Doktorspiele heute heute bis kurz davor","Uno, due, tre, quattro

Felicita! (wdh.)

Mia van tona amare. (3x)

Felicita!","https://genius.com/Die-arzte-felicita-lyrics","Released 1996
Producers

    
      Die Ärzte, Gerdi Gerhard, Ingo Krauss & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"3","Die Ärzte","Ja (Demo)","Doktorspiele heute heute bis kurz davor","Hey, hey, hey yeah
Hey, hey, hey yeah
Hey, hey, hey yeah
Hey, hey, hey yeah
Eu estou com voce
Eu espero para sempre
Eu estou com voce
Ate voce vai deixar-me

Eu gosto de voce
Voce nao pode nem imaginar
Eu ja sei, voce nao vai acreditar
Eu estou com voce
Estou feliz e estou contente
Eu estou com voce

Para mais que um momento
Rapidinho, devagar
Nao importa, da um jeito
A sonhar
Sem falar
Eu vou ficar pertinho
E bonzinho
Ja esta tudo bem legal

Hey, hey, hey yeah
Hey, hey, hey yeah
Hey, hey, hey yeah
Hey, hey, hey yeah
Sim, Rapidinho, devagar
Nao importa, da um jeito
A sonhar
Sem falar
Eu vou ficar pertinho
E bonzinho
Ja esta tudo bem legal

Hey, hey, hey yeah
Hey, hey, hey yeah
Hey, hey, hey yeah
Hey, hey, hey yeah","https://genius.com/Die-arzte-ja-demo-lyrics","Released 1996
Producers

    
      Die Ärzte, Gerdi Gerhard, Ingo Krauss & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"4","Die Ärzte","Mach die Augen zu","Doktorspiele heute heute bis kurz davor","[Verse 1]
Mach die Augen zu und küss mich
Und dann sag, dass Du mich liebst
Ich weiß genau, es ist nicht wahr
Doch ich spüre keinen Unterschied
Wenn Du Dich mir hingibst

Mach die Augen zu und küss mich
Mach mir ruhig etwas vor
Ich vergesse was passiert ist
Und ich hoffe und ich träume
Ich hätt Dich noch nicht verloren

[Bridge]
Es ist mir total egal
Ob Du wirklich etwas fühlst
Tu was Du willst

[Verse 2]
Mach die Augen zu und küss mich
Ist es auch das letzte Mal
Laß uns den Moment des Abschieds, noch verzögern
Laß mich jetzt noch nicht allein mit meiner Qual

Mach die Augen zu und küss mich
Mach mir ruhig etwas vor
Wenn Du willst, kannst Du dann gehen
Aber denk dran
Ohne Dich, ohne Dich bin ich verloren

[Bridge]
Es ist mir absolut egal
Ob Du nur noch mit mir spielst
Tu was Du willst

[Hook]
Mach die Augen zu
Mach die Augen zu
Mach die Augen zu und küss mich (x3)","https://genius.com/Die-arzte-mach-die-augen-zu-lyrics","Released 1996
Producers

    
      Die Ärzte, Gerdi Gerhard, Ingo Krauss & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"5","Die Ärzte","25 Stunden am Tag","Doktorspiele heute heute bis kurz davor","24 Stunden am Tag denk' ich an Dich
Weiß gar nicht was los ist, alles langweilt mich
Ich hab Dich auf der Party gesehen
Ein kurzer Blick von Dir und es war um mich geschehn
Musik, Ausgehen, Fernsehen, alles was ich mag
Ohne Dich Langeweile den ganzen Tag

Seit Tagen sitz' ich jetzt schon am Telefon
Trau mich nicht Dich zu erreichen, das ist der Hohn
Doch irgendwann werd' ich Dir meine Liebe gestehn
Ich werd' dich fragen: ""Willst du mit mir gehen ?""
Und wenn Du ja sagst, lass ich Dich niemals mehr allein

Ich pflanz' Dir einen Baum auf dem Mond
Ich baue uns ein kleines Schloss unten im Meer wo keiner wohnt
Ich klau' ein Flugzeug und wir fliegen um die Welt
Ich schenk' Dir die Ewigkeit und dann lieben wir uns für immer
Und dann lieben wir uns für immer
Für immer, für immer, für immer

Ohoooo

Ich pflanz' Dir einen Baum auf dem Mond
Ich bau' uns ein kleines Schloss unten im Meer wo keiner wohnt
Ich klaue ein Flugzeug und wir fliegen um die Welt
Alles was Du willst, und noch viel mehr, besorg ich Dir auch ohne Geld

Ich pflanz' Dir einen Baum auf dem Mond
Ich bau' uns ein kleines Schlsso unten im Meer wo keiner wohnt
Ich klau' ein Flugzeug und wir fliegen um die Welt
Ich schenk' Dir die Ewigkeit und dann leben wir für immer
Und dann schlagen wir uns für immer und dann lieben wir uns - 25 Stunden am Tag","https://genius.com/Die-arzte-25-stunden-am-tag-lyrics","Released 1996
Producers

    
      Die Ärzte, Gerdi Gerhard, Ingo Krauss & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"6","Die Ärzte","Punkrockgirl (Original Version)","Ab 23 (Mixe, B Seiten Und Anderer Unveröffentlichter Müll)","[Strophe 1]
Mit den Harems stehst du auf, die Parasites bringen dich gut drauf
Mit Blondie gehst du zum Frühstück
Und bevor es Mittag wird, hast du schon All und Snuff gehört
UndSlimeund Proll geben dir den Durchblick
Social Distortion und die Ramones
Nur nich' so 'n Scheiß wieKing KongundDepp Jones
Du brauchst den Punk den ganzen Tag
Nur Punk ist, was du magst

[Refrain]
Kleines Punkrockgirl, kleines Punkrockgirl

[Strophe 2]
Dickies, Buzzcocks, Noise Annoys
Ruts, The Damned, die Bad Town Boys
Punkrock rules, Punkrock ist dein Leben!
Und weilSidgestorben ist, hat dich noch nie ein Mann geküsst
'Nen anderen wird's für dich nie geben
""Born to lose"" und ""Gabba Gabba Hey!""
""Haste mal 'ne Mark?"" und logo Anarchie
Du brauchst den Punk den ganzen Tag
Nur Punk ist, was du magst

[Refrain (x2)]
Kleines Punkrockgirl, kleines Punkrockgirl

Du steckst jede Mark in Punkrock, und nichts in die Werbung
Hast kein Geld auf der Bank, doch dein Haar 'ne prima Färbung
Hörst Punk den ganzen Tag
Nur Punk ist, was du magst

[Refrain (x4)]
Kleines Punkrockgirl, kleines Punkrockgirl

Kleines Punkrockgirl","https://genius.com/Die-arzte-punkrockgirl-original-version-lyrics","Released 1996
Producers

    
      Die Ärzte, Gerdi Gerhard, Ingo Krauss & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"7","Die Ärzte","Friedenspanzer","Die Bestie in Menschengestalt","[Intro: Frank Trebbin]Ich möchte eine Welt, eine Welt in der Würmer und Insekten endlich wieder schmeckenIch möchte eine Welt, in der ich aus einer Toilette trinken kann ohne Ausschlag zu kriegen

[Strophe 1 - Bela]
Die Tagesschau ist nicht mein Fall
Nichts als Mord und Massensterben überall
Die Hunde des Krieges wieder losgelassen
Wenn Schwestern und Brüder sich wieder hassen
Wenn Bomben fallen, Terror regiert
Und der Mensch im Allgemeinen zum Hass tendiert

[Refrain - Farin & Rod]
Das was mir dazu einfällt
Für die Rettung dieser Welt
Friedenspanzer
Er schießt Liebe in dein Herz
Bringt den Frieden ohne Schmerz
Friedenspanzer, Friedenspanzer

[Strophe 2 - Bela]
Er schießt Blumen statt Granaten
Er trifft jeden auch die Harten
Anstelle Giftgas gibt es Rosenduft
Schwängert mit Weihrauch die verschmutzte Luft
Er lässt uns niemals mehr allein
Und auch du und ich und alle werden seine Munition sein

[Refrain - Farin & Rod]
Das was mir dazu einfällt
Für die Rettung dieser Welt
Friedenspanzer
Er schießt Liebe in dein Herz
Bringt den Frieden ohne Schmerz
Friedenspanzer, Friedenspanzer

[Strophe 3 - Bela]
Er näht das Ozonloch zu
Pflanzt nen neuen Regenwald im Nu
Stopft die Hungersnöte mit der Tofukanone
Erklärt die ganze Welt zur Antiwalfangzone
Selbst die Neutronenbombe hat versagt
Hier ist als Lösung wirklich nur noch eins gefragt

[Refrain - Farin & Rod]
Das was mir dazu einfällt
Für die Rettung dieser Welt
Friedenspanzer
Er schießt Liebe in dein Herz
Bringt den Frieden ohne Schmerz
Friedenspanzer, Friedenspanzer

[Strophe 4 - Farin]
Macht Schluss mit jeder Diktatur
Ich frag mich, wie macht er das nur
Friedenspanzer (Friedenspanzer)
Er hilft uns bei jedem Reim
Trägt Omas Einkaufstüten heim

[Outro - Farin]
Friedenspanzer (Friedenspanzer)
Friedenspanzer
Friedenspanzer","https://genius.com/Die-arzte-friedenspanzer-lyrics","Released 1996
Producers

    
      Die Ärzte, Gerdi Gerhard, Ingo Krauss & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"8","Die Ärzte","Die Wiking-Jugend Hat Mein Mädchen Entführt","Doktorspiele Heute (Heute Bis Kurz Davor)","Die Wiking-Jugend hat mein M<U+0434>dchen entf<U+044C>hrt - one two three four
Mein M<U+0434>dchen fuhr nach Neuruppin
Sie wollte dort um die H<U+0434>user ziehen
Doch sie kam nicht zur<U+044C>ck. Sie kam nicht zur<U+044C>ck
Sie kam nicht zur<U+044C>ck
Mein M<U+0434>dchen fuhr nach Neuruppin
Sie wollte dort um die H<U+0434>user ziehen
Doch sie kam nicht zur<U+044C>ck, kam nicht zur<U+044C>ck
Sie kam nicht zur<U+044C>ck
Die Wiking-Jugend hat mein M<U+0434>dchen entf<U+044C>hrt
M<U+0434>dchen entf<U+044C>hrt, M<U+0434>dchen entf<U+044C>hrt
Die Wiking-Jugend hat mein M<U+0434>dchen entf<U+044C>hrt
Sie haben sie entf<U+044C>hrt
Sie haben mein M<U+0434>dchen entf<U+044C>hrt
Hey-ho, hey-ho
Sie war schwarz-braun wie die Haselnu<U+042F>, Haselnu<U+042F>, Haselnu<U+042F>
In Nazi-Augen ein Verdru<U+042F>, ein Verdru<U+042F>, ein Verdru<U+042F>
Ich such' sie auf der ganzen Welt
Ganzen Welt, ganzen Welt
Ich zahle jedes L<U+0446>segeld
L<U+0446>segeld, L<U+0446>segeld
Bitte, bitte, bitte Herr Pr<U+0434>sident
Verhindern sie das mein Baby brennt
Bitte, bitte, bitte liebes GSG 9
K<U+0446>nnt ihr nicht mein M<U+0434>dchen befreien?
Yeah, yeah, yeah ...
Mein M<U+0434>dchen fuhr nach Neuruppin
Sie wollte dort um die H<U+0434>user ziehen
Doch sie kam nicht zur<U+044C>ck, kam nicht zur<U+044C>ck
Sie kam nicht zur<U+044C>ck
Die Wiking-Jugend hat mein M<U+0434>dchen entf<U+044C>hrt
M<U+0434>dchen entf<U+044C>hrt, M<U+0434>dchen entf<U+044C>hrt
Die Wiking-Jugend hat mein M<U+0434>dchen entf<U+044C>hrt
M<U+0434>dchen entf<U+044C>hrt, M<U+0434>dchen entf<U+044C>hrt
Die Wiking-Jugend hat mein M<U+0434>dchen entf<U+044C>hrt
M<U+0434>dchen entf<U+044C>hrt, M<U+0434>dchen entf<U+044C>hrt
Die Wiking-Jugend hat mein M<U+0434>dchen entf<U+044C>hrt
Sie haben sie entf<U+044C>hrt
Sie haben mein M<U+0434>dchen entf<U+044C>hrt
Hey-ho, hey-ho
From The Single Mach Die Augen Zu
24 Stunden am Tag denk' ich an Dich
Wei<U+042F> gar nicht was los ist, alles langweilt mich
Ich hab Dich auf der Party gesehen
Ein kurzer Blick von Dir und es war um mich geschehen
Musik h<U+0446>ren, Ausgehen, Fernsehen - alles was ich mag
Ohne Dich Langeweile den ganzen Tag
Seit Tagen sitz' ich jetzt schon am Telefon
Trau mich nicht Dich zu erreichen, das ist der Hohn
Doch irgendwann werd' ich Dir meine Liebe gestehen
Ich werd' dich fragen: ""Willst du mit mir gehen ?""
Und wenn Du ja sagst, lass ich Dich niemals mehr allein
Ich pflanz' Dir einen Baum auf dem Mond
Ich baue uns ein kleines Schloss unten im Meer wo keiner wohnt
Ich klaue ein Flugzeug und wir fliegen um die Welt
Ich schenk' Dir die Ewigkeit und dann lieben wir uns f<U+044C>r immer
Und dann lieben wir uns f<U+044C>r immer
F<U+044C>r immer, f<U+044C>r immer, f<U+044C>r immer
Ich pflanz' Dir einen Baum auf dem Mond
Ich baue uns ein kleines Schloss unten im Meer wo keiner wohnt
Ich klaue ein Flugzeug und wir fliegen um die Welt
Alles was Du willst, und noch viel mehr, besorg ich Dir auch ohne Geld
Ich pflanz' Dir einen Baum auf dem Mond
Ich baue uns ein kleines Schloss unten im Meer wo keiner wohnt
Ich klaue ein Flugzeug und wir fliegen um die Welt
Ich schenk' Dir die Ewigkeit und dann leben wir f<U+044C>r immer
Und dann schlagen wir uns f<U+044C>r immer und dann lieben wir uns - 25 Stunden am Tag","https://genius.com/Die-arzte-die-wiking-jugend-hat-mein-madchen-entfuhrt-lyrics","Released 1996
Producers

    
      Die Ärzte, Gerdi Gerhard, Ingo Krauss & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"9","Die Ärzte","Die Allerschürfste","Doktorspiele heute heute bis kurz davor","[Strophe 1]
Du denkst du bist die Allerschürfste für mich
Biste aber nich, ick fin' dir widerlich
Du denkst dich findet wirklich jeder hier geil
Is aber nich so, janz im Jejenteil
Du kommst hier rein als jehört dir die Welt
Als wär jeder Tisch nur für dir bestellt
Du glotzt mir an, hau ab du machst mir noch krank
Du willst all'n jefallen
Du hast nicht mehr alle Tassen im Schrank

[Strophe 2]
Du nervst, du nervst
Ick würd' dir so jern eine hauen
Du bist völlig behämmert
Du hast nicht mehr alle Latten am Zauen
Is doch wahr

[Outro]
Du denkst du bist die Allerschürfste für mich
Biste aber nich, ick fin' dir widerlich
Du denkst du bist wirklich unwiderstehlich
Biste aber ebend jerade nich","https://genius.com/Die-arzte-die-allerschurfste-lyrics","Released 1996
Producers

    
      Die Ärzte, Gerdi Gerhard, Ingo Krauss & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"10","Die Ärzte","Schrei nach Liebe","Die Bestie in Menschengestalt","[Strophe 1: Farin Urlaub]
Du bist wirklich saudumm
Darum geht's dir gut
Hass ist deine AttitüdeStändig kocht dein Blut
Alles muss man dir erklären
Weil du wirklich gar nichts weißt
Höchstwahrscheinlich nicht einmalWas Attitüde heißt

[Refrain: Bela B. & Farin Urlaub]
Deine Gewalt ist nur ein stummer Schrei nach Liebe
Deine Springerstiefel sehnen sich nach Zärtlichkeit
Du hast nie gelernt dich zu artikulieren
Und deine Eltern hatten niemals für dich Zeit
Oh oh oh, Arschloch

[Strophe 2: Farin Urlaub]
Warum hast du Angst vor'm Streicheln
Was soll all der Terz
Unter'm Lorbeerkranz mit Eicheln
Weiß ich, schlägt dein Herz
Und Romantik ist für dichNicht bloß graue Theorie
Zwischen Störkraftund den Onkelz
Steht 'ne Kuschelrock-LP

[Refrain: Bela B. & Farin Urlaub]
Deine Gewalt ist nur ein stummer Schrei nach Liebe
Deine Springerstiefel sehnen sich nach Zärtlichkeit
Du hast nie gelernt dich zu artikulieren
Und deine Eltern hatten niemals für dich Zeit
Oh oh oh, Arschloch

[Strophe 3: Bela B]
Weil du Probleme hast, die keinen interessieren
Weil du Schiss vor'm Schmusen hast, bist du ein Faschist
Du musst deinen Selbsthass nicht auf andere projizieren
Damit keiner merkt was für ein lieber Kerl du bist

[Refrain: Bela B. & Farin Urlaub]
Deine Gewalt ist nur ein stummer Schrei nach Liebe
Deine Springerstiefel sehnen sich nach Zärtlichkeit
Du hast nie gelernt dich artizukulieren
Und deine Freundin die hat niemals für dich Zeit

[Outro]
Oh oh oh
ArschlochArschlochArschloch","https://genius.com/Die-arzte-schrei-nach-liebe-lyrics","Released 1996
Producers

    
      Die Ärzte, Gerdi Gerhard, Ingo Krauss & 2 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
