"","artist","title","album","text","url","metadata"
"1","Die Ärzte","Radio Brennt","Ist das alles? (13 Höhepunkte mit den Ärzten)","JedesmalWenn ich bei dir binSchaltest du das Radio einImmer dannWenn ich dich küssen willLass ich es lieber seinSie spielen überall dasselbe: Falcos neue LPIch hör' Madonna und Chris De BurghNur die Ärzte hör' ich nie!Und darum tret' ich dein Radio einUnd darum hack' ich dein Radio kleinUnd darum schmeiß ich dein Radio an die WandUnd darum zünd' ich dein Radio an -Und dein Radio brenntUnd dein Radio brenntIch erinnere mich noch ganz genau an unsere erste Nacht:Wir lagen engumschlungen auf dem SofaDann hast du das Radio angemachtSie spielten g'rade dein Lieblingslied (Geronimos Cadillac)Mir wurde schlecht, ich zog mich anUnd dann lief ich schreiend weg!Und darum tret' ich dein Radio ein...Und dein Radio brennt - dein Radio brennt. (6x)Und darum tret' ich dein Radio ein...","https://genius.com/Die-arzte-radio-brennt-lyrics","Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"2","Die Ärzte","Mädchen","Debil","[Verse 1]Sie hieß Angelika und sie war plötzlich daSie zog ins Nachbarhaus, seitdem war alles ausIch hab an sie gedacht, sie hat mich angelachtUnd eines Tages dann, da sprach ich sie an (Mädchen)[Chorus]Mädchen (Mädchen, Mädchen)Mädchen (Mädchen, Mädchen)Mädchen!Mädchen (Mädchen, Mädchen)Mädchen (Mädchen, Mädchen)Mädchen![Verse 2]Als ich ins Kino ging, wo grad der Film anfingEs war sehr dunkel hier, da saß ein Mädchen neben mirSie schien nett zu sein, ich lud sie zu mir einWir haben uns wieder gesehn, ihr müsst verstehn (Mädchen)[Chorus]Mädchen (Mädchen, Mädchen)Mädchen (Mädchen, Mädchen)Mädchen!Mädchen (Mädchen, Mädchen)Mädchen (Mädchen, Mädchen)Mädchen![Bridge]Marilyn (Monroe)Nastassja (Kinski)Boy (George)Und Nena (Kerner)Ich seh sie im Café (Mädchen)Auf dem Champs-Elysées (Mädchen)Am Niagarafall (Mädchen)Mädchen gibt es überall (Mädchen)Gehn sie an mir vorbei (Mädchen)Dann bricht mein Herz entzwei (Mädchen)Doch bleibt ein Mädchen stehn (Mädchen)Dann ist das Leben wieder schönWunderschön![Chorus]Mädchen (Mädchen, Mädchen)Mädchen (Mädchen, Mädchen)Mädchen!
Mädchen (Mädchen, Mädchen)Mädchen (Mädchen, Mädchen)Mädchen!","https://genius.com/Die-arzte-madchen-lyrics","Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"3","Die Ärzte","Frank’n’stein","Debil","[Verse 1]Das Ding ging wieder in die HoseObwohl ich alle Mittel habWas bin ich für ein mieser FrankensteinJa, mein Vorfahr dreht sich um in seinem Grab[Pre-Chorus]Was soll ich tun? (Was soll er tun?)Ich weiß doch wie es geht (Was soll er tun?)Nochmal von vorn (Was soll er tun?)Es ist noch nicht zu spät[Verse 2]Es steht doch alles in den BüchernUnd ich habe Mittel wie niemals zuvorWär' ich doch Astronaut gewordenJa, dann käm' ich mir nicht so bescheuert vor[Pre-Chorus]Was soll ich tun? (Was soll er tun?)Das war jetzt viel zu viel (Was soll er tun?)Als Sahnie Nummer drei (Was soll er tun?)Sofort zu Asche zerfiel[Chorus]Oooh, ein neuer Tag bricht anOooh, ein neuer Tag bricht anOooh, ein neuer Tag bricht anOooh, ein neuer Tag bricht an[Verse 3]Ich glaub es ist jetzt Zeit zum Aufhör'nDenn auch Monster Nummer vier klappte nichtIch baute eine Frau zum ZeitvertreibDoch sie stieß mich weg, denn sie war wählerisch[Pre-Chorus]Was soll ich tun? (Was soll er tun?)Sie war wie's mir gefällt (Was soll er tun?)Doch ich vergaß (Was soll er tun?)Ihr Gehirn war von 'nem Fotomodell[Chorus]Oooh, ein neuer Tag bricht anOooh, ein neuer Tag bricht anOooh, ein neuer Tag bricht anOooh, ein neuer Tag bricht an, bricht an","https://genius.com/Die-arzte-franknstein-lyrics","Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"4","Die Ärzte","Ohne Dich","Nach uns die Sintflut live","Wollt ihr die Wahrheit hör'n? - NEIN![Verse 1]Wenn ich dich sehe, wird mir schlecht (wird mir so schlecht)Bei dem Gedanken an dich bekomm ich AusschlagBitte spring doch aus dem Fenster (los spring schon)Ich steh dann unten und ich freu mich auf den Aufschlag[Pre-Chorus]Was haben deine Eltern der Menschheit angetan?Warum legst du dich nicht unter eine Straßenbahn?Du bist nicht zu ertragen, du bist so widerlichDie Welt könnte so schön sein[Hook]Ohne dichOhne dich[Verse 2]Wenn du irgendwann Geburtstag hast (Geburtstag hast)Bitte ich dich sehr, mich einzuladenIch schenk dir ein paar Schuhe aus Beton (Salamander)Die ziehst du an, hahaUnd dann geh'n wir baden![Pre-Chorus]Eine tote Qualle hat in etwa dein NiveauMit der Visage wirst du Star in jeder MonstershowFahr zur Hölle, fall tot um, begreifst du es denn nicht?Die Welt könnte so schön sein[Hook]Ohne dichOhne dich","https://genius.com/Die-arzte-ohne-dich-lyrics","Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"5","Die Ärzte","Blumen","Nach uns die Sintflut live","[Strophe 1]Ich fuhr das Fleisch vom Schwein mir zentnerweise einUnd auch so manche Kuh hab ich schon verschlungenDoch mit dem Fleischgenuß ist für mich endlich SchlußMein Gewissen hat mich dazu gezwungen[PreChorus]Ich werd' niemals dick und rund weil ich mich gut ernähr'Von jetzt an leb' ich gesund und bin zu Tieren fairDenn für mich macht niemand Tiere tot ich leg' mirLöwenzahn aufs Brot - Halleluja ...(denn ich ess'...)[Refrain]Ich ess' Blumen, denn Tiere tun mir leidLieber Akazien statt 'nen dicken, fetten SchinkenIch ess' Blumen Fleisch bringt mir ÜbelkeitUnd die Fäkalien tun dann auch nicht mehr so stinken[Strophe 2]Wenn ich auch neidisch werd' wenn jemand Steak einzerrtIch esse Schnittlauch und ein Omelett mit RosenWenn's Würstchen noch so lacht es ist aus Tier gemachtNur meine Katzen fressen Kuh-Ragout aus Dosen[PreChorus]Ich werd' niemals dick und rund weil ich mich gut ernähr'Von jetzt an leb' ich gesund und bin zu Tieren fairDenn für mich macht niemand Tiere tot ich leg' mirLöwenzahn aufs Brot - Halleluja ...(denn ich ess'...)[Refrain]Ich ess' Blumen, denn Tiere tun mir leidLieber Akazien statt 'nen dicken, fetten SchinkenIch ess' Blumen Fleisch bringt mir ÜbelkeitUnd die Fäkalien tun dann auch nicht mehr so stinken","https://genius.com/Die-arzte-blumen-lyrics","Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"6","Die Ärzte","Sweet Sweet Gwendoline","Die Ärzte","[Strophe 1]In einer kleinen Hütte, da wohnt Sweet GwendolineIch klopfte an die Tür, und sie ließ mich hereinSie hatte ein Kabel, damit schnürte sie mich ein[Refrain]Sweet Sweet GwendolineSweet Sweet Gwendoline[Strophe 2]Ich lag allein im Dunkeln, ich wusste nicht, warumDie Fesseln taten weh, doch ich blieb stummIch war geknebelt. Ich konnte nicht mal schreien[Refrain]Sweet Sweet GwendolineSweet Sweet Gwendoline[Strophe 3]Doch endlich bindet sie mich los, jetzt wird sie selber eingeschnürtIch fessele und ich kneble sie, damit sie sich nicht rührtMan könnte Sie jetzt wunderbar als Postpaket verschickenMan könnte sie auch ideal in dieser Stellung WOW[Bridge]Mein Schatz, Du machst mich so verrückt, Du bist so gut zu mirSolange Du mich fesselst, bleibe ich bei DirMorgen werd' ich Dich eventuell befreien[Refrain]Sweet Sweet GwendolineSweet Sweet GwendolineSweet Sweet GwendolineSweet Sweet GwendolineSweet Sweet GwendolineSweet Sweet Gwendoline","https://genius.com/Die-arzte-sweet-sweet-gwendoline-lyrics","Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"7","Die Ärzte","Alleine in der Nacht","Die Ärzte","[1. Strophe]Alleine im LokalWart' ich wieder malDarauf, dass noch was geschiehtDa stehst du im LichtIch trau meinen Augen nichtEin Engel, der wie du aussiehtIch muss handeln, und zwar schnellOb ich Whiskey bestell'?Oder soll ich zu dir geh'n?Doch der Typ da mit dem BierWas will der denn von dir?Ich hab dich doch zuerst gesehenIch hab dich doch zuerst gesehen[Pre-Chorus]Ist die Chance vertan?Warum lacht denn nie das Glück?Trink ich mich heut unter'n TischOder geh' ich nach Haus zurück...?[Chorus]Alleine in der NachtAlleine in der Nacht[2. Strophe]Doch der Typ geht wegUnd ich kriege einen SchreckDenn du schaust direkt zu mirIch geb dir einen aus, frag dich:""Kommst du mit nach Haus ?""Du sagst: ""ja"", so gehen wirIch spür's genau im KnieSo verliebt war ich noch nieDa stoppt uns ein PolizistEine Bank wurd' ausgeraubtUnd das ist ja nicht erlaubtEr sagt, dass du's gewesen bistEr sagt, dass du's gewesen bist[Pre-Chorus]Jetzt bist du eingesperrtDoch ich werde treu dir seinLeider bin ich dafür sieben Jahre lang allein[Chorus]Alleine in der NachtAlleine in der NachtAlleine in der NachtAlleine in der Nacht
[Bridge]Es wär zu schön gewesenMir bleibt nurDeine Liebesbriefe zu lesenMit ihnen decke ich mich zu...[Chorus]Alleine in der NachtAlleine in der NachtAlleine in der NachtAlleine in der Nacht[Outro]Du bist allein, ganz alleinSo allein, allein in der NachtIch bin allein, so alleinSo allein, allein in der NachtDu bist allein, ich bin alleinWir sind allein, allein in der NachtEr ist allein, sie ist alleinEs ist allein, allein in der Nacht","https://genius.com/Die-arzte-alleine-in-der-nacht-lyrics","Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"8","Die Ärzte","Ausserirdische","Nach uns die Sintflut live","[Strophe 1]Ich ging nachts mit ihr durch den WaldIch hielt sie fest im Arm, denn es war sehr kaltAuf einer Lichtung blieben wir stehenSie gab mir einen Kuss und alles war schönNeben uns landete ein Ufo im GrasIch dachte ""Vorsicht Kamera"", ""Verstehen sie Spaß?""Doch dann ging eine Klappe auf und sie sprangen raus -Kleine, grüne Männchen und sie sahen böse aus[Refrain]Mein ganzes Leben hab' ich nicht an sie geglaubt -Ausserirdische haben mein Mädchen geraubt[Strophe 2]Als ich wieder zu mir kam war ich ganz alleinIch suchte meine Freundin. Wo konnte sie nur sein?Ich rief bei ihren Eltern an, doch sie war nicht zuhaus'Das ganze sah verteufelt nach Entführung ausJetzt sitz' ich jeden Abend an der Stelle, wo es geschahIch warte auf mein Mädchen, doch sie ist nicht mehr daNeulich kam ein Brief. Ich glaube er war von ihr""Schönen Gruß, mir geht's gut und ich glaub', ich bleibe hier.""[Refrain]Mein ganzes Leben hab' ich nicht an sie geglaubt -Ausserirdische haben mein Mädchen geraubtMein Sexualleben ist völlig ruiniert -Ausserirdische haben mein Mädchen entführt","https://genius.com/Die-arzte-ausserirdische-lyrics","Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"9","Die Ärzte","Buddy Hollys Brille","Im Schatten der Ärzte","Er hatte braune Augen und auch braune HaareEr hatte eine Brille und eine GitarreAuf der Gitarre spielte er bis zur EkstaseUnd die Brille trug er immer auf seiner NaseEr sang wie ein Engel und war überall bekanntZum schlafengehen hing er die Gitarre an die WandDoch seine Brille hat er niemals abgesetztWo ist Buddy Holly's Brille jetzt?Er war schlank und hatte Glück bei den FrauenEr brauchte ihnen nur in die Augen zu schauenWenn ihn die Brille dabei einmal störteDann sang er solange, bis sie ihn erhörteEr stieg in ein Flugzeug und grinste hinausVon oben sah die Erde überwältigend ausDas Flugzeug stürzte ab, und die Welt war entsetztWo ist Buddy Holly's Brille jetzt?(aaaah aaaah)Um die verschwundene Brille entstand eine SageEs hies, man könne singen, wenn man sie trageViele Schurken waren deshalb hinter ihr herDoch von denen trägt die Brille garantiert keiner mehrEs stand in seinem Testament, es war sein letzter WilleWenn ihr mich einst begraben müßt, dann nur mit meiner BrilleDamit ist auch dieses Rätsel endlich gelöstBuddy Holly ist mit seiner Brille verwest!Die ganze Welt (außer Russland) hat Buddy Holly geliebt:Als er so jung gestorben ist waren viele Menschen betrübtUnd das ist ein guter Grund, sich selber umzubringenDenn im Himmel wird Buddy wieder für uns singen ...","https://genius.com/Die-arzte-buddy-hollys-brille-lyrics","Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"10","Die Ärzte","Popstar","Nach uns die Sintflut live","[Strophe 1]Nein, fleißig war ich nieDoch meine Eltern sind leider nicht reichAn's große Geld doch, wie?Die Entscheidung war relativ leichtDie Entscheidung fiel relativ leichtIch brauch' nur 'ne FrisurGitarrengriffe kann ich schon ein paar'Ne Platte und 'ne TourSchon bin ich der ultimative StarThe King of Rock, Mister Wunderbar[Refrain]Ich hab' kein Geld, kein AbiturNur manchmal Stress mit der ZensurBin kein Genie, nein ich bin nur...[Bridge](Ich bin ein...)Papapapapa-papapapapa-Popstar...[Strophe 2]Früher war ich nichtsJetzt sind alle Frau'n verrückt nach mirPartys, die sind PflichtWo unsereins sich köstlich amüsiertWo man Wein mit Bambusschirm serviert[Refrain]Die Lehrzeit ist schon lange herStatt Chef hab' ich 'nen ManagerIch mach' das geld, die arbeit er[Bridge](Ich bin ein...)Papapapapa-papapapapa-Popstar...","https://genius.com/Die-arzte-popstar-lyrics","Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
