"";"artist";"title";"album";"text";"url";"metadata"
"1";"Die Ärzte";"Radio Brennt";"Ist das alles? (13 Höhepunkte mit den Ärzten)";"Jedesmal
Wenn ich bei dir bin
Schaltest du das Radio ein

Immer dann
Wenn ich dich küssen will
Lass ich es lieber sein
Sie spielen überall dasselbe: Falcos neue LP

Ich hör' Madonna und Chris De Burgh
Nur die Ärzte hör' ich nie!

Und darum tret' ich dein Radio ein

Und darum hack' ich dein Radio klein

Und darum schmeiß ich dein Radio an die Wand

Und darum zünd' ich dein Radio an -
Und dein Radio brennt
Und dein Radio brennt

Ich erinnere mich noch ganz genau an unsere erste Nacht:
Wir lagen engumschlungen auf dem Sofa
Dann hast du das Radio angemacht
Sie spielten g'rade dein Lieblingslied (Geronimos Cadillac)
Mir wurde schlecht, ich zog mich an
Und dann lief ich schreiend weg!

Und darum tret' ich dein Radio ein
...

Und dein Radio brennt - dein Radio brennt. (6x)

Und darum tret' ich dein Radio ein
...";"https://genius.com/Die-arzte-radio-brennt-lyrics";"Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"2";"Die Ärzte";"Mädchen";"Debil";"[Verse 1]
Sie hieß Angelika und sie war plötzlich da
Sie zog ins Nachbarhaus, seitdem war alles aus
Ich hab an sie gedacht, sie hat mich angelacht
Und eines Tages dann, da sprach ich sie an (Mädchen)

[Chorus]
Mädchen (Mädchen, Mädchen)
Mädchen (Mädchen, Mädchen)
Mädchen!

Mädchen (Mädchen, Mädchen)
Mädchen (Mädchen, Mädchen)
Mädchen!

[Verse 2]
Als ich ins Kino ging, wo grad der Film anfing
Es war sehr dunkel hier, da saß ein Mädchen neben mir
Sie schien nett zu sein, ich lud sie zu mir ein
Wir haben uns wieder gesehn, ihr müsst verstehn (Mädchen)

[Chorus]
Mädchen (Mädchen, Mädchen)
Mädchen (Mädchen, Mädchen)
Mädchen!

Mädchen (Mädchen, Mädchen)
Mädchen (Mädchen, Mädchen)
Mädchen!

[Bridge]
Marilyn (Monroe)
Nastassja (Kinski)
Boy (George)
Und Nena (Kerner)

Ich seh sie im Café (Mädchen)
Auf dem Champs-Elysées (Mädchen)
Am Niagarafall (Mädchen)
Mädchen gibt es überall (Mädchen)
Gehn sie an mir vorbei (Mädchen)
Dann bricht mein Herz entzwei (Mädchen)
Doch bleibt ein Mädchen stehn (Mädchen)
Dann ist das Leben wieder schön
Wunderschön!

[Chorus]
Mädchen (Mädchen, Mädchen)
Mädchen (Mädchen, Mädchen)
Mädchen!

Mädchen (Mädchen, Mädchen)
Mädchen (Mädchen, Mädchen)
Mädchen!";"https://genius.com/Die-arzte-madchen-lyrics";"Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"3";"Die Ärzte";"Frank’n’stein";"Debil";"[Verse 1]
Das Ding ging wieder in die Hose
Obwohl ich alle Mittel hab
Was bin ich für ein mieser Frankenstein
Ja, mein Vorfahr dreht sich um in seinem Grab

[Pre-Chorus]
Was soll ich tun? (Was soll er tun?)
Ich weiß doch wie es geht (Was soll er tun?)
Nochmal von vorn (Was soll er tun?)
Es ist noch nicht zu spät

[Verse 2]
Es steht doch alles in den Büchern
Und ich habe Mittel wie niemals zuvor
Wär' ich doch Astronaut geworden
Ja, dann käm' ich mir nicht so bescheuert vor

[Pre-Chorus]
Was soll ich tun? (Was soll er tun?)
Das war jetzt viel zu viel (Was soll er tun?)
Als Sahnie Nummer drei (Was soll er tun?)
Sofort zu Asche zerfiel

[Chorus]
Oooh, ein neuer Tag bricht an
Oooh, ein neuer Tag bricht an
Oooh, ein neuer Tag bricht an
Oooh, ein neuer Tag bricht an

[Verse 3]
Ich glaub es ist jetzt Zeit zum Aufhör'n
Denn auch Monster Nummer vier klappte nicht
Ich baute eine Frau zum Zeitvertreib
Doch sie stieß mich weg, denn sie war wählerisch

[Pre-Chorus]
Was soll ich tun? (Was soll er tun?)
Sie war wie's mir gefällt (Was soll er tun?)
Doch ich vergaß (Was soll er tun?)
Ihr Gehirn war von 'nem Fotomodell

[Chorus]
Oooh, ein neuer Tag bricht an
Oooh, ein neuer Tag bricht an
Oooh, ein neuer Tag bricht an
Oooh, ein neuer Tag bricht an, bricht an";"https://genius.com/Die-arzte-franknstein-lyrics";"Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"4";"Die Ärzte";"Ohne Dich";"Nach uns die Sintflut live";"Wollt ihr die Wahrheit hör'n? - NEIN!

[Verse 1]
Wenn ich dich sehe, wird mir schlecht (wird mir so schlecht)
Bei dem Gedanken an dich bekomm ich Ausschlag
Bitte spring doch aus dem Fenster (los spring schon)
Ich steh dann unten und ich freu mich auf den Aufschlag

[Pre-Chorus]
Was haben deine Eltern der Menschheit angetan?
Warum legst du dich nicht unter eine Straßenbahn?
Du bist nicht zu ertragen, du bist so widerlich
Die Welt könnte so schön sein

[Hook]
Ohne dich
Ohne dich

[Verse 2]
Wenn du irgendwann Geburtstag hast (Geburtstag hast)
Bitte ich dich sehr, mich einzuladen
Ich schenk dir ein paar Schuhe aus Beton (Salamander)
Die ziehst du an, haha
Und dann geh'n wir baden!

[Pre-Chorus]
Eine tote Qualle hat in etwa dein Niveau
Mit der Visage wirst du Star in jeder Monstershow
Fahr zur Hölle, fall tot um, begreifst du es denn nicht?
Die Welt könnte so schön sein

[Hook]
Ohne dich
Ohne dich";"https://genius.com/Die-arzte-ohne-dich-lyrics";"Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"5";"Die Ärzte";"Blumen";"Nach uns die Sintflut live";"[Strophe 1]
Ich fuhr das Fleisch vom Schwein mir zentnerweise ein
Und auch so manche Kuh hab ich schon verschlungen
Doch mit dem Fleischgenuß ist für mich endlich Schluß
Mein Gewissen hat mich dazu gezwungen

[PreChorus]
Ich werd' niemals dick und rund weil ich mich gut ernähr'
Von jetzt an leb' ich gesund und bin zu Tieren fair
Denn für mich macht niemand Tiere tot ich leg' mir
Löwenzahn aufs Brot - Halleluja ...(denn ich ess'...)

[Refrain]
Ich ess' Blumen, denn Tiere tun mir leid
Lieber Akazien statt 'nen dicken, fetten Schinken
Ich ess' Blumen Fleisch bringt mir Übelkeit
Und die Fäkalien tun dann auch nicht mehr so stinken

[Strophe 2]
Wenn ich auch neidisch werd' wenn jemand Steak einzerrt
Ich esse Schnittlauch und ein Omelett mit Rosen
Wenn's Würstchen noch so lacht es ist aus Tier gemacht
Nur meine Katzen fressen Kuh-Ragout aus Dosen

[PreChorus]
Ich werd' niemals dick und rund weil ich mich gut ernähr'
Von jetzt an leb' ich gesund und bin zu Tieren fair
Denn für mich macht niemand Tiere tot ich leg' mir
Löwenzahn aufs Brot - Halleluja ...(denn ich ess'...)

[Refrain]
Ich ess' Blumen, denn Tiere tun mir leid
Lieber Akazien statt 'nen dicken, fetten Schinken
Ich ess' Blumen Fleisch bringt mir Übelkeit
Und die Fäkalien tun dann auch nicht mehr so stinken";"https://genius.com/Die-arzte-blumen-lyrics";"Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"6";"Die Ärzte";"Sweet Sweet Gwendoline";"Die Ärzte";"[Strophe 1]
In einer kleinen Hütte, da wohnt Sweet Gwendoline
Ich klopfte an die Tür, und sie ließ mich herein
Sie hatte ein Kabel, damit schnürte sie mich ein

[Refrain]
Sweet Sweet Gwendoline
Sweet Sweet Gwendoline

[Strophe 2]
Ich lag allein im Dunkeln, ich wusste nicht, warum
Die Fesseln taten weh, doch ich blieb stumm
Ich war geknebelt. Ich konnte nicht mal schreien

[Refrain]
Sweet Sweet Gwendoline
Sweet Sweet Gwendoline

[Strophe 3]
Doch endlich bindet sie mich los, jetzt wird sie selber eingeschnürt
Ich fessele und ich kneble sie, damit sie sich nicht rührt
Man könnte Sie jetzt wunderbar als Postpaket verschicken
Man könnte sie auch ideal in dieser Stellung WOW

[Bridge]
Mein Schatz, Du machst mich so verrückt, Du bist so gut zu mir
Solange Du mich fesselst, bleibe ich bei Dir
Morgen werd' ich Dich eventuell befreien

[Refrain]
Sweet Sweet Gwendoline
Sweet Sweet Gwendoline
Sweet Sweet Gwendoline
Sweet Sweet Gwendoline
Sweet Sweet Gwendoline
Sweet Sweet Gwendoline";"https://genius.com/Die-arzte-sweet-sweet-gwendoline-lyrics";"Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"7";"Die Ärzte";"Alleine in der Nacht";"Die Ärzte";"[1. Strophe]
Alleine im Lokal
Wart' ich wieder mal
Darauf, dass noch was geschieht
Da stehst du im Licht
Ich trau meinen Augen nicht
Ein Engel, der wie du aussieht
Ich muss handeln, und zwar schnellOb ich Whiskey bestell'?Oder soll ich zu dir geh'n?Doch der Typ da mit dem BierWas will der denn von dir?Ich hab dich doch zuerst gesehenIch hab dich doch zuerst gesehen

[Pre-Chorus]
Ist die Chance vertan?
Warum lacht denn nie das Glück?
Trink ich mich heut unter'n Tisch
Oder geh' ich nach Haus zurück...?

[Chorus]
Alleine in der Nacht
Alleine in der Nacht

[2. Strophe]
Doch der Typ geht weg
Und ich kriege einen Schreck
Denn du schaust direkt zu mir
Ich geb dir einen aus, frag dich:
""Kommst du mit nach Haus ?""
Du sagst: ""ja"", so gehen wir
Ich spür's genau im KnieSo verliebt war ich noch nie
Da stoppt uns ein Polizist
Eine Bank wurd' ausgeraubt
Und das ist ja nicht erlaubt
Er sagt, dass du's gewesen bist
Er sagt, dass du's gewesen bist

[Pre-Chorus]
Jetzt bist du eingesperrt
Doch ich werde treu dir sein
Leider bin ich dafür sieben Jahre lang allein

[Chorus]
Alleine in der Nacht
Alleine in der Nacht
Alleine in der Nacht
Alleine in der Nacht

[Bridge]
Es wär zu schön gewesen
Mir bleibt nur
Deine Liebesbriefe zu lesen
Mit ihnen decke ich mich zu...

[Chorus]
Alleine in der Nacht
Alleine in der Nacht
Alleine in der Nacht
Alleine in der Nacht

[Outro]
Du bist allein, ganz allein
So allein, allein in der Nacht
Ich bin allein, so allein
So allein, allein in der Nacht
Du bist allein, ich bin allein
Wir sind allein, allein in der Nacht
Er ist allein, sie ist allein
Es ist allein, allein in der Nacht";"https://genius.com/Die-arzte-alleine-in-der-nacht-lyrics";"Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"8";"Die Ärzte";"Ausserirdische";"Nach uns die Sintflut live";"[Strophe 1]
Ich ging nachts mit ihr durch den Wald
Ich hielt sie fest im Arm, denn es war sehr kalt
Auf einer Lichtung blieben wir stehen
Sie gab mir einen Kuss und alles war schön
Neben uns landete ein Ufo im Gras
Ich dachte ""Vorsicht Kamera"", ""Verstehen sie Spaß?""
Doch dann ging eine Klappe auf und sie sprangen raus -
Kleine, grüne Männchen und sie sahen böse aus

[Refrain]
Mein ganzes Leben hab' ich nicht an sie geglaubt -
Ausserirdische haben mein Mädchen geraubt

[Strophe 2]
Als ich wieder zu mir kam war ich ganz allein
Ich suchte meine Freundin. Wo konnte sie nur sein?
Ich rief bei ihren Eltern an, doch sie war nicht zuhaus'
Das ganze sah verteufelt nach Entführung aus
Jetzt sitz' ich jeden Abend an der Stelle, wo es geschah
Ich warte auf mein Mädchen, doch sie ist nicht mehr da
Neulich kam ein Brief. Ich glaube er war von ihr
""Schönen Gruß, mir geht's gut und ich glaub', ich bleibe hier.""

[Refrain]
Mein ganzes Leben hab' ich nicht an sie geglaubt -
Ausserirdische haben mein Mädchen geraubt
Mein Sexualleben ist völlig ruiniert -
Ausserirdische haben mein Mädchen entführt";"https://genius.com/Die-arzte-ausserirdische-lyrics";"Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"9";"Die Ärzte";"Buddy Hollys Brille";"Im Schatten der Ärzte";"Er hatte braune Augen und auch braune HaareEr hatte eine Brille und eine Gitarre
Auf der Gitarre spielte er bis zur Ekstase
Und die Brille trug er immer auf seiner Nase
Er sang wie ein Engel und war überall bekannt
Zum schlafengehen hing er die Gitarre an die Wand
Doch seine Brille hat er niemals abgesetzt
Wo ist Buddy Holly's Brille jetzt?

Er war schlank und hatte Glück bei den Frauen
Er brauchte ihnen nur in die Augen zu schauen
Wenn ihn die Brille dabei einmal störte
Dann sang er solange, bis sie ihn erhörte
Er stieg in ein Flugzeug und grinste hinausVon oben sah die Erde überwältigend ausDas Flugzeug stürzte ab, und die Welt war entsetztWo ist Buddy Holly's Brille jetzt?

(aaaah aaaah)

Um die verschwundene Brille entstand eine Sage
Es hies, man könne singen, wenn man sie trage
Viele Schurken waren deshalb hinter ihr her
Doch von denen trägt die Brille garantiert keiner mehr

Es stand in seinem Testament, es war sein letzter WilleWenn ihr mich einst begraben müßt, dann nur mit meiner BrilleDamit ist auch dieses Rätsel endlich gelöstBuddy Holly ist mit seiner Brille verwest!

Die ganze Welt (außer Russland) hat Buddy Holly geliebt:
Als er so jung gestorben ist waren viele Menschen betrübtUnd das ist ein guter Grund, sich selber umzubringenDenn im Himmel wird Buddy wieder für uns singen ...";"https://genius.com/Die-arzte-buddy-hollys-brille-lyrics";"Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"10";"Die Ärzte";"Popstar";"Nach uns die Sintflut live";"[Strophe 1]
Nein, fleißig war ich nie
Doch meine Eltern sind leider nicht reich
An's große Geld doch, wie?
Die Entscheidung war relativ leicht
Die Entscheidung fiel relativ leicht

Ich brauch' nur 'ne Frisur
Gitarrengriffe kann ich schon ein paar
'Ne Platte und 'ne Tour
Schon bin ich der ultimative Star
The King of Rock, Mister Wunderbar

[Refrain]
Ich hab' kein Geld, kein Abitur
Nur manchmal Stress mit der Zensur
Bin kein Genie, nein ich bin nur...

[Bridge]
(Ich bin ein...)
Papapapapa-papapapapa-Popstar...

[Strophe 2]
Früher war ich nichts
Jetzt sind alle Frau'n verrückt nach mir
Partys, die sind Pflicht
Wo unsereins sich köstlich amüsiert
Wo man Wein mit Bambusschirm serviert

[Refrain]
Die Lehrzeit ist schon lange her
Statt Chef hab' ich 'nen Manager
Ich mach' das geld, die arbeit er

[Bridge]
(Ich bin ein...)
Papapapapa-papapapapa-Popstar...";"https://genius.com/Die-arzte-popstar-lyrics";"Released October 27, 1988
Producers

    
      Die Ärzte, Manne Praeker, Micky Meuser & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
