"";"artist";"title";"album";"text";"url";"metadata"
"1";"Die Ärzte";"Super Drei";"Planet Punk";"Jetzt ist es wieder mal soweitEs war auch allerhöchste ZeitUnd wir sind wieder mal genial -tut uns furchtbar leidWie immer schlauer als der RestAlso bitte keinen NeidHalt die beste Band der WeltBei aller BescheidenheitHaben wir euch gefehlt? Habt ihr uns vermisst?Ist euch jetzt klar, dass mit unsDie Welt schöner ist?Seid ihr wieder froh? -Na, was für ein Glück. Wir sagenHallo, denn wir sind zurück -Wir sind daWir lungern nur an Schulen rum, verkaufen kleinen Kindern Crack, wir singen unzüchtige Lieder undGeh'n abends lange wegTischmanieren sind uns fremd, wir essen selten mit BesteckDie Plattenfirma schickt uns jedesJahr 'nen dicken ScheckHabt ihr uns vermisst?Haben wir euch gefehlt?Habt ihr heimlich geweint und die Tage gezählt?Ja, wir sind zurück und es richt nach Urin wir sind die Ärzte -Aus Berlin!!!Wie ein Hagelsturm an einem SommertagWie ein plötzlicher Misston in der schönsten MelodieDie einen finden's Scheisse, dieandern findens starkGenau wie jedes Jahr:Wir sind wieder da!!!";"https://genius.com/Die-arzte-super-drei-lyrics";"Released 1995
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"2";"Die Ärzte";"Schunder-Song";"Planet punk";"[Strophe 1]Du hast mich so oft angespuckt, geschlagen und getretenDas war nicht sehr nett von dir, ich hatte nie darum gebetenDeine Freunde haben applaudiert, sie fanden es ganz tollWenn du mich vermöbelt hast, doch jetzt ist das Maß voll[Pre-Refrain]Gewalt erzeugt Gegengewalt, hat man dir das nicht erklärt?Oder hast du da auch, wie so oft, einfach nicht genau zugehört?Jetzt stehst du vor mir und wir sind ganz alleinKeiner kann dir helfen, keiner steht dir beiIch schlag' nur noch auf dich ein[Refrain]Immer mitten in die Fresse reinImmer mitten in die Fresse rein[Strophe 2]Ich bin nicht stark und ich bin kein Held, doch was zu viel ist, ist zu vielFür deine Aggressionen war ich immer das VentilDeine Kumpels waren immer dabei, doch jetzt wendet sich das BlattAuch wenn ich morgen besser umzieh', irgendwo in eine andere Stadt (irgendwo in eine andere Stadt)[Pre-Refrain]Gewalt erzeugt Gegengewalt, hat man dir das nicht erzählt?Oder hast du da auch, wie so oft, im Unterricht gefehlt?Jetzt liegst du vor mir und wir sind ganz alleinUnd ich schlage weiter auf dich einDas tut gut, das musste einfach mal sein[Refrain]Immer mitten in die Fresse reinImmer mitten in die Fresse rein[Outro]Immer mitten in die FresseMitten in die FresseMitten in die FresseMitten in die FresseMitten in die FresseMitten in die FresseMitten - FresseMitten in die FresseMitten in die FresseMitten in die FresseMitten in die Fresse
";"https://genius.com/Die-arzte-schunder-song-lyrics";"Released 1995
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"3";"Die Ärzte";"Hurra!";"Planet Punk";"[Strophe 1]Weißt du noch wie's früher war? Früher war alles schlechtDer Himmel grau, die menschen mies - die Welt war furchtbar ungerechtDoch dann - dann kam die Wende: unser Leid war zu Ende[Refrain 1]Hip hip hurra! Alles ist super, alles ist wunderbarHip hip hurra! Alles ist besser als es damals war[Strophe 2]Früher war'n wir alle traurig, wir weinten jeden TagEs nieselte, wir war'n oft krank - jetzt ist alles total starkJetzt lachen immer alle und reißen ständig Witze, wir sind nur noch am baden geh'n - wehen die HitzeUnd ich find es wirklich stark, daß ich das noch erleben darf[Refrain 2]Hip hip hurra! Alles ist super, alles ist wunderbarHip hip hurra! Alles ist besser als es gestern warAlle sind happy, alle sind glücklich, alle sind frohUnd überall wo man hinguckt, Liebe und Frieden und so[Bridge]Gestern ging es allen dreckig, heute geht es steil bergaufJeder hat sechs Richtige, alle sind total gut draufEuropa, Asien, Afrika, Australien und AmerikaFriede, Freude, Eierkuchen, alle singen ""Jaaa!"" (Jaaa!, Jaaa!)[Refrain]Hip hip hurra! Alles ist super, alles ist wunderbarHip hip hurra! Alles ist besser als es gestern war[Outro]Hip hip hurra! Alles ist super, alles ist wunderbarHip hip hurra! Alles ist besser als es gestern warAlle sind Freunde, alle sind happy, alle sind frohUnd überall wo man hinguckt, Liebe und Frieden und so";"https://genius.com/Die-arzte-hurra-lyrics";"Released 1995
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"4";"Die Ärzte";"Geh Mit Mir";"Planet Punk";"[Strophe 1]Ich schau Dir schon lange zu - Baby, DuBist der beste Anblick der sich mir heut bot - ich seh rotSagst Du nein, dann geh ich totGlaube mir, das ist kein Trick - nur der berühmte erste BlickJedes Wort aus meinem Mund - klingt so ungeschickt....[Refrain]Gib zu du fühlst es auch - und ich hab, was Du jetzt brauchstIn meinem Herzen steht Dein Name an der TürUnd die Bombe in mir tickt, Baby, Du machst mich verrückt, bitte geh mit mir[Bridge]Ich weiß genau das Du mein Baby wirst -so wie es in meiner Hand zu lesen war -will, das Du auf die Stimme in dir hörst -die sagt: jaaaa[Refrain]Ich weiß Du fühlst es auch - und ich hab, was Du jetzt brauchstIn meinem Herzen steht dein Name an der TürUnd die Bombe in mir tickt, Baby, Du machst mich verrückt, bitte....[Outro]Ich schau Dir noch lange nach - Baby, achDieser Traum verschwand so schnell wie er begann - irgendwann....Hab ich den Mut und sprech Dich an....";"https://genius.com/Die-arzte-geh-mit-mir-lyrics";"Released 1995
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"5";"Die Ärzte";"Langweilig";"Planet Punk";"[Verse 1]Ich sitze auf meinem Stuhl und ich schaue aus dem FensterUnd ich stell' mir wieder mal die alten FragenWo komm' ich her, wo geh' ich hin und wie viel ZeitWerd' ich noch haben?Ich denke nach über die WeltÜber das, was wirklich zähltIch weiß genau, was mich so quältIch bin genervt, ich bin frustriertWeil hier einfach nichts passiertWeil hier nie etwas passiertUnd ich schau wieder auf die UhrDu bist immer noch nicht daKeine Ahnung, wo du bleibst, es ist wahr:[Chorus]Mir ist langweilig, mir ist langweilig, sterbenslangweiligOhne dich, ohne dichMir ist langweilig, so stinklangweilig, sterbenslangweiligOhne dich, ohne dich ist mir langweilig![Verse 2]Ich liege auf meinem Bett und ich starre an die DeckeUnd ich wünsche dir die Pest an den HalsLässt mich hier sitzen, einfach so, aber vielleichtVielleicht kommst du ja baldKein Bock auf Fernsehen, das ist ödeWill nicht kiffen, das macht blödeKann nicht aufstehen, bin zu müdeIch hab schon viermal onaniertWeil hier einfach nichts passiertWeil hier nie etwas passiertDie rechte Hand tut mir jetzt wehDu bist immer noch nicht daWeiß der Teufel, wo du steckst, es ist klar[Chorus]Mir ist langweilig, sterbenslangweilig, mir ist langweiligOhne dich, ohne dichScheiße langweilig, mir ist langweilig, so stinklangweiligOhne dich, ohne dich ist mir langweilig!";"https://genius.com/Die-arzte-langweilig-lyrics";"Released 1995
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"6";"Die Ärzte";"Mein Freund Michael";"Planet Punk";"Gib Gas, lieber Michael Schumacher! (4x)F<U+0434>hrst Du immer im Kreis (brumm, brumm, brumm)Da wird der Motor ganz hei<U+042F> (brumm, brumm, brumm)F<U+0434>hrst Du immer im Kreis (brumm, brumm, brumm)Da wird der Motor ganz hei<U+042F> (brumm, brumm, bidumm)Gib Gas, lieber Michael Schumacher! (2x)Ich hab' f<U+044C>are Dich 'ne Lebensversicherung auf meinen Namen abgeschlossenTritt nur auf's Gaspedal (brumm, brumm, brumm)Und mach es noch einmal (brumm, brumm, brumm)Tritt nur auf's Gaspedal (brumm, brumm, brumm)Und mach es noch einmal, mach es noch einmal (brumm, brumm, brumm)Gib Gas, lieber Michael Schumacher! (2x)Yeah, yeah, yeah, yeah, denn Du wei<U+042F>t jaIch hab' f<U+044C>are Dich 'ne Lebensversicherung auf meinen Namen abgeschlossenYeahPa<U+042F> auf und schnall dich fest (schnall, schnall, schnall)Noch schneller als der Rest (brumm, brumm, brumm). (2x)Etwas schneller als die anderenGib Gas, lieber Michael Schumacher! (4x)Ich hab' auch heute morgen schon mit G<U+0426>De telefoniertUnd wir dr<U+044C>cken Dir die Daumen, da<U+042F> Dir nichts passiert. (2x)Gib Gas, lieber Michael Schumacher! (2x)Denn, Du wei<U+042F>t jaIch hab' f<U+044C>are Dich 'ne Lebensversicherung auf deinen Namen abgeschlossenGib Gas, lieber Michael Schumacher! Yeah!";"https://genius.com/Die-arzte-mein-freund-michael-lyrics";"Released 1995
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"7";"Die Ärzte";"Rod Loves You";"Planet Punk";"[Intro]Du, das ist ein ganz böser, böser Bengel[Strophe 1]Der Typ, von dem wir hier erzählnIst wirklich jedem zu empfehlnIst wirklich wunderbarDieser Typ ist voll korrektJa, aus Wasser macht er SektUnd aus Kot, da macht er KaviarSein Herz ist ein BunkerUnd da schließt er Euch alle mit ein[Refrain]Remember: Rod, Rod loves you (Rod loves you)Rod, Rod loves you (Rod loves you)[Strophe 2]Gegen ihn, wissen wir jetztSind wie niederes GeschnetzSind wir unwürdig und kleinBitte, wenn ihr meintDoch ehrlich mal, ihr scheint?Kleine Arschkriecher zu sein?Yes Sir! Yes Sir!Bin zum lieben geborenUnd das schließt sogar euch mit ein[Refrain]Remember: Rod, Rod loves you (Rod loves you)Rod, Rod loves you (Rod loves you)[Bridge]Liebe ist der BerufZu dem Gott ihn erschufHeute ist rod selbst ein GottKniet nieder und betet Ihn an![Outro]Rod, Rod loves you (Rod loves you)Rod, Rod loves you (Rod loves you, Rod loves you)Rod, Rod loves you (Rod loves you)Rod, Rod loves you (Rod loves you)";"https://genius.com/Die-arzte-rod-loves-you-lyrics";"Released 1995
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"8";"Die Ärzte";"Der Misanthrop";"Planet Punk";"[Strophe 1]Ständig fragst du mich, warum, wieso, weshalb ich etwas macheWas ich mir dabei gedacht hab - misch dich nicht in meine SachenImmerzu willst du was wissen, ich hör immer nur warum?Immerzu stellst du mir Fragen, merkst du nicht ich bleibe stumm[Pre-Refrain]Ich rede nicht mit dir, also hör mir nicht zuStell mir keine Fragen, lass mich einfach in Ruh[Refrain]Wie soll ich dir etwas erklären, was ich selber nicht verstehWarum soll ich dir was zeigen, was ich selber noch nicht sehWas ich denke, was ich fühle, macht für mich genügend SinnUnd ich bin so wie ich bin[Strophe 2]Ich hab kein Ziel und keine Richtung, aber meine eigne WeltUnd mach alles, was mir einfällt, scheißegal ob´s dir gefällt[Pre-Refrain]Ich weiß, du siehst das anders, aber ich bin nicht duHau jetzt ab, zieh Leine, lass mich endlich in Ruh[Refrain]Wie soll ich dir etwas erklären, was ich selber nicht verstehWarum soll ich dir was zeigen, was ich selber noch nicht sehWas ich denke, was ich fühle, macht für mich genügend SinnUnd ich bin so wie ich bin[Bridge]Selbst wenn es auf deine Fragen ein Antwort gebe würdest du sie sicher nie von mir erfahr´nIch hab kein Geheimnis, ich leb nur mein eignes LebenUnd den Rest werd ich dir niemals offenbar´nStändig fragst du mich, warum, wieso, weshalb ich etwas macheWas ich mir dabei gedacht hab - misch dich nicht in meine Sachen[Refrain]Wie soll ich dir etwas erklären, was ich selber nicht verstehWarum soll ich dir was zeigen, was ich selber noch nicht sehWas ich denke, was ich fühle, macht für mich genügend SinnUnd ich bin so wie ich bin";"https://genius.com/Die-arzte-der-misanthrop-lyrics";"Released 1995
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"9";"Die Ärzte";"Vermissen, Baby";"Planet Punk";"[Intro]""Sex mit Möbelstücken. Was halten Sie davon?""[Strophe 1]Die ganze Zeit war ich für Dich da, weiß nicht wie's dazu kamAn mir hat's nicht gelegen, Baby, soviel ist wohl klarAllzeit bereit, Du kennst mich, Baby, immer FeueralarmGegen mich wirkt Spanische Fliege wie MAOAM[Refrain]Du wirst mich vermissen, Baby (wirst mich vermissen, Baby)Hey, Du wirst mich vermissen, Baby[Strophe 2]Du hast mich verlassen - wirklich kaum zu fassenSiehst Du nicht wie all die Anderen, Baby, gegen mich verblassen?Das war Dein Recht nicht, ey Baby, echt nichtDie Frau vom Mann, nicht der Mann von der Frau wird hier verlassen![Refrain]Du wirst mich vermissen, Baby (wirst mich vermissen, Baby)Ah, Du wirst mich vermissen, BabyWirst mich vermissen, Baby[Bridge]Du liegst ganz allein im Bett, spielst an Dir rumUnd Du vermisst mich, Baby!So ganz allein im Bett, Baby, tja, das ist dummUnd Du vermisst mich, Baby!Statt feinster Schmankerl nur noch Fleischwurst - eben drumUnd Du vermisst mich, Baby![Strophe 3]Die ganze Zeit war ich für Dich da, doch Du hast mich verlassenNeue Küche, neuer Staubsauger, doch Du hast mich verlassenWas ist bloß los mit Dir? Du hattest nie Grund zur KlageNur die Ruhe, trink Dir erstmal ein Bier - sind sicher bloß Deine Tage![Refrain]Du wirst mich vermissen, Baby (wirst mich vermissen, Baby)Hey, Du wirst mich vermissen, BabyWirst mich vermissen, Baby. (wdh.)";"https://genius.com/Die-arzte-vermissen-baby-lyrics";"Released 1995
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"10";"Die Ärzte";"Nazareth (Blumen my ass)";"Planet Punk";"[Strophe 1]Sowas wie Hunger kenn' ich nichtDenn ich bin sehr stark behaartIns Restaurant, da renn' ich nichtNein, das Geld das wird gespartUnd ich werd' auch nicht fettDer Mann war ein Jäger und SammlerIch bin beides in moderner FormIch jage und sammle ständig -Die Erfolgsquote ist enormIch tu' keinem Tier weh, wenn ich die Nüstern blähe[Refrain]Zieh die Luft raus und rein. Komm ich lad' Dich einZu einem Nasenkotelett. Davon wirst Du nicht fettReichlich Nährwert, Proteine - mein Gratis-Festbankett[Strophe 2]Von allen KörperteilenSind Polypen meine StarsDas ich bei Schnupfen immer froh binBedarf wohl keines Kommentars(bedarf wohl keines Kommentars)Un repas pour gourmets, wenn ich die Nüstern blähe[Refrain]Zieh nur Luft raus und rein. Komm ich lad' Dich einZu einem Nasenkotelett. Davon wirst Du nicht fettReichlich Nährwert, Proteine - auf meinem Festbankett[Bridge]Jetzt bekämpfen wir jede HungersnotMit dem uns gegebenen NasenbrotDas was übrigbleibt schmier' ich untern StuhlEss' ich später auf - Baby, das ist coolIch fühl' mich wie Jesus von NazarethNur statt trocken Brot gibt es Nasenkotelett[Strophe 3]Warum Exotisches bestellenWenn das Gute liegt so nah'Ich werd' nie 'ne Zeche prellen -Hab immer was zu knabbern daHunger kenn' ich kaum. Es ist fast wie im Traum
[Refrain]Zieh nur Luft rein und raus. Baby, das sieht lecker ausMein Nasenkotelett macht garantiert nicht fettBrauchst keinen Teller, höchstens Tempo, und auch kein BesteckNasenkotelett macht garantiert nicht fettReichlich Nährwert, Proteine auf meinem FestbankettNasenkotelett (repeat)";"https://genius.com/Die-arzte-nazareth-blumen-my-ass-lyrics";"Released 1995
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
