"";"artist";"title";"album";"text";"url";"metadata"
"1";"Die Ärzte";"Schrei nach Liebe";"Die Bestie in Menschengestalt";"[Strophe 1: Farin Urlaub]
Du bist wirklich saudumm
Darum geht's dir gut
Hass ist deine AttitüdeStändig kocht dein Blut
Alles muss man dir erklären
Weil du wirklich gar nichts weißt
Höchstwahrscheinlich nicht einmalWas Attitüde heißt

[Refrain: Bela B. & Farin Urlaub]
Deine Gewalt ist nur ein stummer Schrei nach Liebe
Deine Springerstiefel sehnen sich nach Zärtlichkeit
Du hast nie gelernt dich zu artikulieren
Und deine Eltern hatten niemals für dich Zeit
Oh oh oh, Arschloch

[Strophe 2: Farin Urlaub]
Warum hast du Angst vor'm Streicheln
Was soll all der Terz
Unter'm Lorbeerkranz mit Eicheln
Weiß ich, schlägt dein Herz
Und Romantik ist für dichNicht bloß graue Theorie
Zwischen Störkraftund den Onkelz
Steht 'ne Kuschelrock-LP

[Refrain: Bela B. & Farin Urlaub]
Deine Gewalt ist nur ein stummer Schrei nach Liebe
Deine Springerstiefel sehnen sich nach Zärtlichkeit
Du hast nie gelernt dich zu artikulieren
Und deine Eltern hatten niemals für dich Zeit
Oh oh oh, Arschloch

[Strophe 3: Bela B]
Weil du Probleme hast, die keinen interessieren
Weil du Schiss vor'm Schmusen hast, bist du ein Faschist
Du musst deinen Selbsthass nicht auf andere projizieren
Damit keiner merkt was für ein lieber Kerl du bist

[Refrain: Bela B. & Farin Urlaub]
Deine Gewalt ist nur ein stummer Schrei nach Liebe
Deine Springerstiefel sehnen sich nach Zärtlichkeit
Du hast nie gelernt dich artizukulieren
Und deine Freundin die hat niemals für dich Zeit

[Outro]
Oh oh oh
ArschlochArschlochArschloch";"https://genius.com/Die-arzte-schrei-nach-liebe-lyrics";"Released November 4, 2002
Producers

    
      Die Ärzte, Jörg Fukking, Matthias Bröckel & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"2";"Die Ärzte";"Ich Ess’ Blumen";"Satanische Pferde";"[Intro]
Ein Lied für alle Tiere, die jeden Tag sterben - sinnlos

[Strophe 1]
Ich fuhr das Fleisch vom Schwein mir zentnerweise ein
Und auch so manche Kuh hab' ich schon verschlungen
Doch mit dem Fleischgenuss ist für mich endlich Schluss
Mein Gewissen hat mich dazu gezwungen

[Pre-Refrain]
Ich werd' niemals dick und rund weil ich mich gut ernähr'
Von jetzt an leb' ich gesund und bin zu Tieren fair
Denn für mich macht niemand Tiere tot
Ich leg' mir Löwenzahn auf's Brot
Halleluja (denn ich ess')

[Refrain]
Ich ess' Blumen, denn Tiere tun mir leid
Lieber Akazien statt 'nen dicken, fetten Schinken
Ich ess' Blumen, Fleisch bringt mir Übelkeit
Und die Fäkalien tun dann auch nicht mehr so stinken

[Strophe 2]
Wenn ich auch neidisch werd', enn jemand Steak einzerrt
Ich esse Schnittlauch und ein Omlette mit Rosen
Wenn's Würstchen noch so lacht, es ist aus Tier gemacht
Nur meine Katzen fressen Kuh-Ragout aus Dosen

[Pre-Refrain]
Ich werd' niemals dick und rund weil ich mich gut ernähr'
Von jetzt an leb' ich gesund und bin zu Tieren fair
Denn für mich macht niemand Tiere tot
Ich leg' mir Löwenzahn auf's Brot
Halleluja (denn ich ess')

[Refrain]
Ich ess' Blumen, denn Tiere tun mir leid
Lieber Akazien statt 'nen dicken, fetten Schinken
Ich ess' Blumen, Fleisch bringt mir Übelkeit
Und die Fäkalien tun dann auch nicht mehr so stinken

[Bridge]
(Nein)
Hörst du nicht die Tiere weinen?
Die auf einer Schlachtbank ihrer [?]
Weißt du eigentlich wie dankbar Hühneraugen blicken können wenn sie dir sagen wollen ""Danke, dass du mich verschont hast""?
Denn ich ess'

[Refrain]
Ich ess' Blumen, denn Tiere tun mir leid
Lieber Akazien statt 'nen dicken, fetten Schinken
Ich ess' Blumen, Fleisch bringt mir Übelkeit
Und die Fäkalien tun dann auch nicht mehr so stinken
Ich ess' Blumen, denn Tiere tun mir leid
Lieber Akazien statt 'nen dicken, fetten Schinken
Ich ess' Blumen, Fleisch bringt mir Übelkeit
Und die Fäkalien tun dann auch nicht mehr so stinken

[Outro]
Ich ess' Blumen
Ich ess' Blumen";"https://genius.com/Die-arzte-ich-ess-blumen-lyrics";"Released November 4, 2002
Producers

    
      Die Ärzte, Jörg Fukking, Matthias Bröckel & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"3";"Die Ärzte";"Langweilig";"Planet Punk";"[Verse 1]
Ich sitze auf meinem Stuhl und ich schaue aus dem Fenster
Und ich stell' mir wieder mal die alten Fragen
Wo komm' ich her, wo geh' ich hin und wie viel Zeit
Werd' ich noch haben?
Ich denke nach über die Welt
Über das, was wirklich zählt
Ich weiß genau, was mich so quält
Ich bin genervt, ich bin frustriert
Weil hier einfach nichts passiert
Weil hier nie etwas passiert
Und ich schau wieder auf die Uhr
Du bist immer noch nicht da
Keine Ahnung, wo du bleibst, es ist wahr:

[Chorus]
Mir ist langweilig, mir ist langweilig, sterbenslangweilig
Ohne dich, ohne dich
Mir ist langweilig, so stinklangweilig, sterbenslangweilig
Ohne dich, ohne dich ist mir langweilig!

[Verse 2]
Ich liege auf meinem Bett und ich starre an die Decke
Und ich wünsche dir die Pest an den Hals
Lässt mich hier sitzen, einfach so, aber vielleicht
Vielleicht kommst du ja bald
Kein Bock auf Fernsehen, das ist öde
Will nicht kiffen, das macht blöde
Kann nicht aufstehen, bin zu müde
Ich hab schon viermal onaniert
Weil hier einfach nichts passiert
Weil hier nie etwas passiert
Die rechte Hand tut mir jetzt weh
Du bist immer noch nicht da
Weiß der Teufel, wo du steckst, es ist klar

[Chorus]
Mir ist langweilig, sterbenslangweilig, mir ist langweilig
Ohne dich, ohne dich
Scheiße langweilig, mir ist langweilig, so stinklangweilig
Ohne dich, ohne dich ist mir langweilig!";"https://genius.com/Die-arzte-langweilig-lyrics";"Released November 4, 2002
Producers

    
      Die Ärzte, Jörg Fukking, Matthias Bröckel & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"4";"Die Ärzte";"Meine Ex(plodierte) Freundin";"Planet Punk";"[Songtext zu „Meine Ex(plodierte) Freundin“]

[Refrain]
Gestern Nacht ist meine Freundin explodiert
Ich hatte nicht damit gerechnet, darum bin ich blutverschmiert
Wer konnte ahnen, dass sie so reagiert?
Gestern Nacht ist meine Freundin explodiert

[Strophe 1]
Täglich liest man in der Zeitung von spontanen Explosionen
Man blättert um und denkt im Stillen:
Das Schicksal wird mich sicherlich verschonen
Ich frage Sie – nee, ich frag Sie!
Wie konnte so etwas geschehn?
Mein Baby war mein Ein und Alles und entre nous:
Sie war auch schön
Sie hatte einen süßen Körper, so wie der eine vonden Krupps
Wie hieß er noch?!
–Dörper!

[Refrain]
Gestern Nacht ist meine Freundin explodiert
Ich hatte nicht damit gerechnet, darum bin ich blutverschmiert
Man kann sagen, ich bin ziemlich irritiert
Gestern Nacht ist meine Freundin explodiert

[Strophe 2]
Ich rief sofort die Polizei an und sagte:
Komm'se schnell vorbei, Mann
Meine Freundin ist passé, so wie ein China-Böller»D«
Sie flog mir plötzlich um die Ohren
Kein Wunder, dass ich traurig bin
Ich hab nicht nur 'ne Frau verloren
Nein, auch die Bettwäsche ist hin
Ich wollt sie gerade küssen, da gab es einen Knall
Grad eben lag sie neben mir
Jetzt liegt sie überall (im Raum verteilt)

[Refrain]
Gestern Nacht ist meine Freundin explodiert
Zum Glück trug ich 'nen Integralhelm, darum ist mir nichts passiert
Wer konnte ahnen, dass sie so reagiert?
Gestern Nacht ist meine Freundin explodiert

[Strophe 3]
Als meine erste große Liebe ganz spontan in Flammen stand
Da habe ich noch laut gelacht
Die nächste wurde dann von Außerirdischen entführt
Ich hab mir nichts dabei gedacht
Mit Freundin Nummer 3 war es auch bald vorbei
Sie versteinerte, das fand ich ganz normal
Doch als die vierte explodierte, wurde mir dann langsam klar
Dass meine Partnerin zu sein wohl nicht ganz ungefährlich war

[Refrain]
Gestern Nacht ist meine Freundin explodiert
Ich hatte nicht damit gerechnet, darum bin ich blutverschmiert
Wer konnte ahnen, dass sie so explodiert?
Gestern Nacht ist meine Freundin explodiert";"https://genius.com/Die-arzte-meine-explodierte-freundin-lyrics";"Released November 4, 2002
Producers

    
      Die Ärzte, Jörg Fukking, Matthias Bröckel & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"5";"Die Ärzte";"Monsterparty";"Rock´n´Roll Realschule";"[Vers 1]
In Ramnicu in Transsylvanien sah ich ein PlakatDrauf stand, dass der Graf Dracula zum Fest geladen hatEingeladen war ein jeder, auch Dr. FrankensteinEinzige Bedingung war, es muss ein Monster sein

Ich stahl ein altes Laken und schnitt zwei Löcher rein
Ich dachte auf der Party ist's wohl besser Geist zu sein
Ich packte etwas Knoblauch ein und sattelte mein Pferd
Denn so ein Fest bei Dracula ist sicher nicht verkehrt

[Hook]x2
Das wird die Monster-Monsterparty - aiiaiaiaiii

[Vers 2]
Ich kam zum Schloss des Grafen bei Sonnenuntergang
Ich lachte mir ins Fäustchen, die Nacht wird sicher lang
Des Unsichtbaren Mütze schwebte vor mir in der Luft
Und endlich kam Graf Dracula besoffen aus der Gruft

Er hob zum Toast sein Glas, der Inhalt war blutrot
Er lallte noch schnell ""Hallo Freunde"" und fiel um wie tot
Alle Monster jubelten, die Stimmung war famos
Die Turmuhr schlug ein letztes Mal, dann ging die Party los

[Hook]x2

[Vers 3]
Plötzlich drang ein jämmerliches Schluchzen an mein Ohr
Es kam von King Kong vor dem Schloss, er passte nicht durchs Tor
Das sah Boris Karloff und verhielt sich ziemlich schlau
Sprach ""Wenn King Kong nicht durchs Tor passt, schnapp ich mir die weiße Frau""

Ich ging auf die Toilette, weil ich Blut nicht so vertrag
Im Becken schwamm der weiße Hai und sagte ""Guten Tag""
Auf der Suche nach 'nem Busch dachte ich bei mir:
""Ich glaub ich nehm' die Mumie mit, von wegen Klopapier""

[Hook]x2

(Basssolo - Genug Basssolo)

[Vers 4]
Da war so'n widerliches Tier, ich glaub vom andern Stern
Es sprach zu mir ""Ich heiße E.T. und Partys hab ich gern.""
Ganz besonders schien sich das Skelett zu amüsieren
Es ließ den Werwolf 1000 mal sein Schienbein apportieren

Doch als ich ""Huh"" rief, kriegten alle Monster einen Schreck
Und wer nicht in Ohnmacht fiel, der lief einfach weg
Ich warf das blöde Laken fort und fühlte mich saustark
Und kotzte noch, bevor ich ging in des Grafen Sarg

[Outro]x10
Das war die Monster-Monsterparty - aiiaiaiaiii";"https://genius.com/Die-arzte-monsterparty-lyrics";"Released November 4, 2002
Producers

    
      Die Ärzte, Jörg Fukking, Matthias Bröckel & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"6";"Die Ärzte";"Hurra!";"Planet Punk";"[Strophe 1]
Weißt du noch wie's früher war? Früher war alles schlecht
Der Himmel grau, die menschen mies - die Welt war furchtbar ungerecht
Doch dann - dann kam die Wende: unser Leid war zu Ende

[Refrain 1]
Hip hip hurra! Alles ist super, alles ist wunderbar
Hip hip hurra! Alles ist besser als es damals war

[Strophe 2]
Früher war'n wir alle traurig, wir weinten jeden Tag
Es nieselte, wir war'n oft krank - jetzt ist alles total stark
Jetzt lachen immer alle und reißen ständig Witze, wir sind nur noch am baden geh'n - wehen die Hitze
Und ich find es wirklich stark, daß ich das noch erleben darf

[Refrain 2]
Hip hip hurra! Alles ist super, alles ist wunderbar
Hip hip hurra! Alles ist besser als es gestern war
Alle sind happy, alle sind glücklich, alle sind froh
Und überall wo man hinguckt, Liebe und Frieden und so

[Bridge]
Gestern ging es allen dreckig, heute geht es steil bergauf
Jeder hatsechs Richtige, alle sind total gut drauf
Europa, Asien, Afrika, Australien und Amerika
Friede, Freude, Eierkuchen, alle singen ""Jaaa!"" (Jaaa!, Jaaa!)

[Refrain]
Hip hip hurra! Alles ist super, alles ist wunderbar
Hip hip hurra! Alles ist besser als es gestern war

[Outro]
Hip hip hurra! Alles ist super, alles ist wunderbar
Hip hip hurra! Alles ist besser als es gestern war
Alle sind Freunde, alle sind happy, alle sind froh
Und überall wo man hinguckt, Liebe und Frieden und so";"https://genius.com/Die-arzte-hurra-lyrics";"Released November 4, 2002
Producers

    
      Die Ärzte, Jörg Fukking, Matthias Bröckel & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"7";"Die Ärzte";"Kopfhaut";"Die Ärzte früher!";"[Vers 1]
Als ich neulich durch den Canyon ritt
Da folgten mir Indianer und die waren zu dritt
Ich gab meinem Hengst die Sporen
Doch sie kriegten mich und ich war verloren
Zwei hatten Pfeil und Bogen und einer ein Beil
Und ich wußte die waren auf meine Kopfhaut geil
Sie sagten:

[Hook]
""Du kannst gehen aber Deine Kopfhaut bleibt hier!"" [2x]Wir kamen in ihr Dorf und dann sagten sie zu mir, sie sagten:""Du kannst gehen aber Deine Kopfhaut bleibt hier!""

[Vers 2]
Kein Wunder, daß ich dies indiskutabel fand
Und ich sagte: ""Meine Herren, dies ist ein freies Land
Sie können das gern mit meinem Anwalt ausmachen.""
Da fingen die Rothäute an zu lachen
Sie erklärten, meine Meinung, wäre ihnen scheißegal
Und sie banden mich an den Marterpfahl

[Hook]
""Du kannst gehen aber Deine Kopfhaut bleibt hier!"" [2x]
Sie gaben mir noch ein Ultimatum bis um vier, sie sagten:
""Du kannst gehen aber Deine Kopfhaut bleibt hier!""

[Vers 3]
Dann ließen sie mich dort ganz alleine stehen
Und diese Fluchtmöglicheit ließ ich mir nicht entgehen
Ich zerbiß meine Fesseln und rannte los
Und ich wußte meine Chancen waren nicht gerade groß
Ein Indianer warf sich auf mich, so daß ich fiel
Es ging zu wie bei einem Rugby-Spiel

[Hook]
""Du kannst gehen aber Deine Kopfhaut bleibt hier!"" [2x]
Er kämpfte wie ein Tiger in seiner Gier, er sagte:
""Du kannst gehen aber Deine Kopfhaut bleibt hier!""

[Vers 4]
Doch alles was ich tat, war absolut vergebens
Und ich denke mir, das ist nun mal der Lauf des Lebens
Mal geht's dir schlecht, dann geht's dir wieder gut
Ich jedenfalls trag' jetzt immer einen Hut

[Hook]
""Du kannst gehen aber Deine Kopfhaut bleibt hier!"" [2x]
Du kannst gehen, Du kannst gehen, er sagte:
""Du kannst gehen aber Deine Kopfhaut bleibt hier!""";"https://genius.com/Die-arzte-kopfhaut-lyrics";"Released November 4, 2002
Producers

    
      Die Ärzte, Jörg Fukking, Matthias Bröckel & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"8";"Die Ärzte";"Zu spät";"Debil";"[Vers 1]
Warum hast Du mir das angetan
Ich hab's von einem Bekannten erfahren
Du hast jetzt einen neuen Freund
Zwei Wochen lang hab' ich nur geweint
Jetzt schaust Du weg, grüßt mich nicht mehr
Und ich lieb' Dich immer noch so sehr
Ich weiß, was Dir an ihm gefällt
Ich bin arm und er hat Geld
Du liebst ihn nur, weil er ein Auto hat
Und nicht wie ich ein klappriges Damenrad

[Refrain]
Doch eines Tages werd' ich mich rächen
Ich werd' die Herzen aller Mädchen brechen
Dann bin ich ein Star, der in der Zeitung steht
Und dann tut es Dir leid, doch dann ist es zu spät

[Bridge]
Zu spät (zu spät), zu spät (zu spät), zu spät (zu spät)
Doch dann ist es zu spät, zu spät (zu spät), zu spät (zu spät)
Zu spät (zu spät), dann ist alles zu spät

[Vers 2]
Du bist mit ihm im Theater gewesen
Ich hab' Dir nur ""Fix & Foxi"" vorgelesen
Du warst mit ihm essen - natürlich imRitz
Bei mir gab's nur Currywurst mit Pommes Frites
Der Gedanke bringt mich ins Grab
Er kriegt das, was ich nicht hab'
Ich hasse ihn, wenn es das gibt
So wie ich Dich vorher geliebt
Ich wollte ihn verprügeln Deinen SupermannIch wusste nicht, dass er auch Karate kann

[Refrain]
Doch eines Tages werd' ich mich rächen
Ich werd' die Herzen aller Mädchen brechen
Dann bin ich ein Star, der in der Zeitung steht
Und dann tut es Dir leid, doch dann ist es zu spät

[Bridge]
Eines Tages werd' ich mich rächen
Ich werd' die Herzen aller Mädchen brechen
Dann bin ich ein Star und du läufst hinter mir her
Doch dann ist es zu spät, dann kenn' ich dich nicht mehr

[Hook]
Zu spät (zu spät), zu spät (zu spät), zu spät (zu spät)
Doch dann ist es zu spät, zu spät (zu spät), zu spät (zu spät)
Zu spät (zu spät), dann ist alles viel zu spät";"https://genius.com/Die-arzte-zu-spat-lyrics";"Released November 4, 2002
Producers

    
      Die Ärzte, Jörg Fukking, Matthias Bröckel & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"9";"Die Ärzte";"Westerland";"Rock n roll realschule";"[Strophe 1]
Jeden Tag sitz ich am WannseeUnd ich hör den Wellen zuIch lieg hier auf meinem HandtuchDoch ich finde keine Ruh!

[Pre-Chorus]
Diese eine Liebe wird nie zuende geh'n!Wann werd' ich sie wiedersehen?

[Strophe 2]
Manchmal schließe ich die Augen
Stell' mir vor ich sitz' am Meer
Dann denk' ich an diese Insel
Und mein Herz das wird so schwer!

[Pre-Chorus]
Diese eine Liebe wird nie zu Ende geh'n!
Wann werd' ich sie wiedersehen?

[Refrain]
Oh, ich hab' solche Sehnsucht
Ich verliere den Verstand!
Ich will wieder an die Nordsee, ohohoIch will zurück nach Westerland!

[Strophe 3]
Wie oft stand ich schon am UferWie oft sprang ich in die Spree?Wie oft mussten sie mich rettenDamit ich nicht untergeh'?

[Pre-Chorus]
Diese eine Liebe wird nie zu Ende geh'n!
Wann werd' ich sie wiedersehen?

[Refrain]
Oh, ich hab' solche Sehnsucht
Ich verliere den Verstand!
Ich will wieder an die Nordsee
Ich will zurück nach Westerland!

[Bridge]
Es ist zwar etwas teurerDafür ist man unter sich
Und ich weiß jeder Zweite hier
Ist genauso blöd wie ich

[Refrain 2]
Oh, ich hab' solche Sehnsucht
Ich verliere den Verstand!
Ich will wieder an die Nordsee, ohoho
Ich will zurück nach Westerland
Oh, ich hab' solche Sehnsucht
Ich verliere den Verstand
Ich will wieder an die Nordsee
Ich will zurück, ich will zurück
Ich will zurück, ich will zurück nach Westerland!";"https://genius.com/Die-arzte-westerland-lyrics";"Released November 4, 2002
Producers

    
      Die Ärzte, Jörg Fukking, Matthias Bröckel & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
"10";"Die Ärzte";"1/2 Lovesong";"13";"[Vers 1]
Ich weiss du wirst mich vermissen
Auch wenn du jetzt gehen musst
Keine Geigen mehr, wenn wir uns küssen
Ich hab es einfach nicht gewusst

[Vorrefrain]
Ich hoff, meine Worte machen es nicht noch schlimmer
Vergiss nur einmal deinen Stolz
Ich weiss, du liebst mich noch immer

[Refrain]
Soll es das gewesen sein (wie im Lovesong)
Fällt uns denn keine Lösung ein (wie im Lovesong)
Die Möglichkeit ist viel zu klein (wie im Lovesong)
Doch ich liebe nur dich allein

[Vers 2]
Vieles ist zur Gewohnheit verkommen
Doch das ist immer die Gefahr
Routine hat ihren Platz eingenommen
Bis es nicht mehr auszuhalten war

[Vorrefrain]
Ich hoff, meine Worte machen es nicht noch schlimmer
Vergiss nur einmal deinen Stolz
Ich weiss, du liebst mich noch immer

[Refrain]
Soll es das gewesen sein (wie im Lovesong)
Fällt uns denn keine Lösung ein (wie im Lovesong)
Die Möglichkeit ist viel zu klein (wie im Lovesong)
Doch ich liebe nur dich allein

[Bridge]
Love, Love, Love, Love, Love
Love, Love, Love, Love, Love
Love, Love, Love, Love, Love
Love, Love, Love, Love

[Vers 3]
Ich weiss, du wirst mich vermissen
Ich vermisse dich schon jetzt
Ich vermiss auch die Geigen, vermiss dich zu küssen
Nichts auf dieser Welt was dich ersetzt

[Vorrefrain]
Ich hoff, meine Worte machen es nicht noch schlimmer
Vergiss nur einmal deinen Stolz
Ich weiss, du liebst mich noch immer

[Refrain]
Soll es das gewesen sein (wie im Lovesong)
Fällt uns denn keine Lösung ein (wie im Lovesong)
Die Möglichkeit ist viel zu klein (wie im Lovesong)
Doch ich liebe nur dich allein

[Schluss]
Soll es das gewesen sein (wie im Lovesong)
Fällt uns denn keine Lösung ein (wie im Lovesong)
Die Möglichkeit ist viel zu klein (wie im Lovesong)
Doch ich liebe nur dich allein
(Wie im Lovesong)
(Wie im Lovesong)
Doch ich liebe nur dich allein";"https://genius.com/Die-arzte-1-2-lovesong-lyrics";"Released November 4, 2002
Producers

    
      Die Ärzte, Jörg Fukking, Matthias Bröckel & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 2 more"
