"";"artist";"title";"album";"text";"url";"metadata"
"1";"Soilent Grün";"FDJ Punx";"Die Fleisch EP";"[Intro: Farin Urlaub]Des nächste Lied ist für unsere Freund' jenseits der Mauer[Strophe: Farin Urlaub (mit ostdeutschem Dialekt)]Wir sind die Punks aus der DDRUnser Leder is schwarz und die Stiefel sind schwerWir sind die Punks von der FDJWir glauben nicht an den lieben Gott[Refrain: Hussi Kutlucan & Bernd van Huizen]FDJ-Punks - okay!FDJ-Punks - okay!FDJ-Punks - okay!FDJ-Punks - okay![Strophe: Farin Urlaub (mit ostdeutschem Dialekt)]Wir sind die Punks aus der DDRUnser Leder is schwarz und die Stiefel sind schwerWir tanzen dass die Erde bebtDenn Sid Vicious ist tot und Honecker lebt[Refrain: Hussi Kutlucan & Bernd van Huizen]FDJ-Punks - okay!FDJ-Punks - okay!FDJ-Punks - okay!FDJ-Punks - okay!FDJ-Punks - okay!FDJ-Punks - okay!FDJ-Punks - okay!FDJ-Punks - okay!";"https://genius.com/Soilent-grun-fdj-punx-lyrics";"Released February 8, 2019
Primary Artists

    
      Die Ärzte & Soilent Grün
Producers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"2";"Die Ärzte";"Eva Braun";"Ganz Früher... ...Und Ganz Neu";"[Intro]Eva, Eva ... (wdh.)[Strophe 1]Ihre dunklen Augen versprachen SinnlichkeitSie wollte mit mir gehen, kein Weg war ihr zu weit (Heil, heil, heil)Sie war für mich stets zu allem bereitIch werd sie nicht vergessen in alle Ewigkeit (Heil, heil, heil)[Refrain]Sie war die Schönste aller Frauen - Eva BraunWar die Schönste aller Frauen - Eva Braun 2xSie war die schönste Frau - Eva BraunEva Braun 3x[Strophe 2]Sie hatte ein klassisches Profil auf ihre Nase)Ihr Alabasterleib brachte mich immer wieder zur Ekstase (Heil, heil, heil)Sie folgte mir durch die Hölle in den HimmelWir ritten durch rote Rosen auf einem weißen Schimmel (Heil, heil, heil)[Refrain]Du warst die Schönste aller Frauen - Eva BraunWarst die Schönste aller Frauen - Eva Braun, 2xWarst für mich die schönste Frau - Eva BraunEva Braun 3x[Strophe 3]Es gibt etwas, was keiner weiß, wir hatten einen SohnEr ist für mich der Vater einer besseren und einer neuen Zivilisation (Heil, heil, heil)Eva Braun Dut so gut, Eva Braun Dut so edelDut für mich der Inbegriff vom neuen deutschen Mädel (Heil, heil, heil)[Refrain]Du warst die Schönste aller Frauen - Eva BraunWarst die Schönste aller Frauen - Eva Braun. 2xDu warst die schönste Frau - Eva BraunEva Braun 3x[Outro]Eva, Eva ... (wdh.)";"https://genius.com/Die-arzte-eva-braun-lyrics";"Released February 8, 2019
Primary Artists

    
      Die Ärzte & Soilent Grün
Producers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"3";"Die Ärzte";"Claudia hat ’nen Schäferhund";"Debil";"Claudia hat nen SchäferhundUnd den hat sie nicht ohne Grund[Verse 1]Claudia sieht spitze ausAuf Claudia sind alle scharfIst es da nicht hundsgemeinDass bei Claudia keiner darfDenn[Chorus]Claudia hat nen SchäferhundUnd den hat sie nicht ohne GrundAbends springt er in ihr BettUnd dann geht es rund[Verse 2]Claudia mag keine JungsUnd sie ist auch nicht lesbischAm allerliebsten mag sie esMit ihrem Hundchen unterm Esstisch[Chorus]Claudia hat nen SchäferhundUnd den hat sie nicht ohne GrundAbends springt er in ihr BettUnd dann geht es rund[Verse 3]Neulich musste ClaudiaDringend mal zum ArztUnd der riet ihr, aufzuhör'nDenn sie war total verharzt[Chorus] (x2)Claudia hat nen SchäferhundUnd den hat sie nicht ohne GrundAbends springt er in ihr BettUnd dann geht es rund";"https://genius.com/Die-arzte-claudia-hat-nen-schaferhund-lyrics";"Released February 8, 2019
Primary Artists

    
      Die Ärzte & Soilent Grün
Producers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"4";"Die Ärzte";"Gib mir nichts";"They’ve Given Me Schrott!   Die Outtakes";"Direkt vom Herzen mitten ins OhrKomm, sei ein Schwein und mach mir nichts vorHau ab, nein bleib hierGib mir alles, was Du hastKomm, gib mir nichtsGib mir nichtsDeine Lippen sind der WahnsinnJeder Kuß ist on the rocksWenn Du mich küßt, dann hilft nur betenBaby, Baby, Baby, BabyUnd Deine Hände sind verbotenUnd wenn Du da bist, dann spür' ich:Das ist das Leben!Direkt vom Herzen mitten ins OhrKomm, sei ein Schwein und mach mir nichts vorHau ab, nein bleib hierGib mir alles, was Du hastKomm, gib mir nichtsGib mir nichts. NichtsDu bist der Engel mit dem PferdefußUnd Deine Liebe ist danebenWenn Du sagst, daß Du gehstSchaust Du zurückDu schaust immer nur zurückUnd wenn Du da bist, dann spür' ich:Das ist das Leben!Direkt vom Herzen mitten ins OhrKomm, sei ein Schwein und mach mir nichts vorHau ab, nein bleib hierGib mir alles, was Du hastKomm, gib mir nichtsGib mir nichts";"https://genius.com/Die-arzte-gib-mir-nichts-lyrics";"Released February 8, 2019
Primary Artists

    
      Die Ärzte & Soilent Grün
Producers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"5";"Die Ärzte";"You Want To Kiss Me";"They’ve Given Me Schrott!   Die Outtakes";"[Verse 1: Farin Urlaub]I was on my way you seeTo the public libraryTo get the book with seven sealsSuddenly I saw your faceI had to slow down my paceI fell in love right away head over heels„When can we meet again?“ I heard myself sayAnd your answer was „Tonight would be okay.“ (be okay)With candle light and RachmaninovYou wanted to [?] meBut all I want is love[Chorus: Farin Urlaub]You want to kiss me, so this is my farewellYou should have known I’m an intellectual (who-ho)You want to kiss me, so I will goCause if you love me, I’ll never knowI’ll never know (I’ll never know)I’ll never know (I’ll never know)I’ll never know (I’ll never know)I’ll never know[Verse 2: Farin Urlaub]A year was done in JanuaryI met you at the libraryYou said you’re studying as wellWe made a date at the seventh hourAnd I even took a showerOnly in order to impress you with my smellWhen you arrived we had a discussionBout common profanity in Russian (Russia)But later that night I looked through your liesYou’re still the same devil in disguise[Chorus: Farin Urlaub]You want to kiss me, so this is my farewellYou should have known I’m an intellectual (who-ho)You want to kiss me, so I will goCause if you love me, I’ll never knowI’ll never know (I’ll never know)I’ll never know (I’ll never know)I’ll never know (I’ll never know)I’ll never knowYou want to kiss me, so this is my farewellYou should have known I’m an intellectual (who-ho)You want to kiss me, so I will goCause if you love me, I’ll never know
[Outro: Farin Urlaub]Cause if you love me, I’ll never knowI’ll never know";"https://genius.com/Die-arzte-you-want-to-kiss-me-lyrics";"Released February 8, 2019
Primary Artists

    
      Die Ärzte & Soilent Grün
Producers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"6";"Die Ärzte";"Norma Jean";"They’ve Given Me Schrott!   Die Outtakes";"[Strophe 1: Farin Urlaub]Ich bin froh obwohl es regnet, ich bin glücklich wie noch nieGestern Nacht war ich im Kino und da sah ich plötzlich sieSie war jung, sie war fröhlich, sie war blond und sie war schönUnd sie sagt mir ihr Name wäre Norma Jean[Refrain]Ich bin verliebt (verliebt in Norma Jean)Oh ich bin verliebt (verliebt in Norma Jean)Ich bin verliebt (verliebt in Norma Jean)[Strophe 2]Sie hat rote Fingernägel und sie trägt ein weißes KleidUnd falls du sie einmal triffst dann sag ihr bitte schnell BescheidDenn sie ist plötzlich verschwunden, ich weiß leider nicht wohinIch weiß nur dass ich verliebt bin in Norma Jean[Refrain]Ich bin verliebt (verliebt in Norma Jean)Ich bin verliebt (verliebt in Norma Jean)Ich bin so verliebt (verliebt in Norma Jean)[Bridge]Liebe Norma Jean, was hast du mit mir gemacht?Ich fühle mich so seltsam, alleine in der NachtIch tue alles, was du von mir verlangstAber bitte komm zurück, denn ich habe solche Angst[Strophe 3]Es gibt viele blonde Mädchen, ein paar sind sogar schönAber keine ist so schön und so blond wie Norma JeanEin Mord stand in der Zeitung, das Opfer das war sieUnd Schuld an meinem Unglück ist der John F. Kennedy[Refrain]Ich bin verliebt (in John F. Kennedy)Oh ich bin verliebt (in John F. Kennedy)Ich bin verliebt (in John F. Kennedy)Ich bin so verliebt (in John F. Kennedy)";"https://genius.com/Die-arzte-norma-jean-lyrics";"Released February 8, 2019
Primary Artists

    
      Die Ärzte & Soilent Grün
Producers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"7";"Die Ärzte";"Ein Mann mit Gipsbein";"They’ve Given Me Schrott!   Die Outtakes";"[Strophe 1: Farin Urlaub]Ich war noch jung und ich wusste nicht sehr vielIch setzte mein Leben jeden Tag auf’s SpielIch fuhr Motorrad und ich lernte Kung-FuDoch eines Tages schlug das Schicksal grausam zuUnd jetzt bin ich[Refrain 1: Farin Urlaub]Ein Mann mit GipsbeinEin Mann mit GipsbeinEin Mann mit Gipsbein[Strophe 2: Farin Urlaub]Ich weiß es noch genau als wäre es heuteDa stand dieser Zaun, ich wollte auf die andere SeiteDoch anstatt einfach durch die Tür zu gehenBin ich gesprungen und so ist es dann geschehen[Refrain 2: Farin Urlaub]Ein Mann mit Gipsbein ist ein einsamer MannWeil man sich mit Gipsbein nicht mal duschen kannEin Mann mit Gipsbein (Ein Mann mit Gipsbein)Hat keine Freunde mehr (Ein Mann mit Gipsbein)Denn er trägt den Hauch des Todes (Ein Mann mit Gipsbein)Mit sich umher[Bridge: Farin Urlaub]Gipsbein kommt bei Mädchen nicht anMit Gipsbein verpasst man den BusDas Gipsbein muss man sich vollkrakeln lassenWeil jeder Depp unterschreiben mussMit Gipsbein kann man nicht tanzen gehenEin Gipsbein passt nicht in den SchuhMit Gipsbein kann man nicht AutofahrenMan braucht zwei Krücken dazu[Refrain 3: Farin Urlaub]Ein Mann mit Gipsbein (Ein Mann mit Gipsbein)Ist ein einsamer Mann (Ein Mann mit Gipsbein)Weil man sich mit Gipsbein nicht mal duschen kannEin Mann mit Gipsbein (Ein Mann mit Gipsbein)Hat keine Freunde mehr (Ein Mann mit Gipsbein)Denn er trägt den Hauch des Todes mit sich umherEin Mann mit Gipsbein (Ein Mann mit Gipsbein)Ein Mann mit Gipsbein (Ein Mann mit Gipsbein)Ein Mann mit Gipsbein (Ein Mann mit Gipsbein)Ein Mann mit Gipsbein (Ein Mann mit Gipsbein)Ein Mann mit Gipsbein (Ein Mann mit Gipsbein)Ein Mann mit Gipsbein (Ein Mann mit Gipsbein)";"https://genius.com/Die-arzte-ein-mann-mit-gipsbein-lyrics";"Released February 8, 2019
Primary Artists

    
      Die Ärzte & Soilent Grün
Producers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"8";"Die Ärzte";"Die Wahrheit über Mädchen";"They’ve Given Me Schrott!   Die Outtakes";"[Intro: Farin Urlaub]Wollt ihr die Wahrheit hör'n?Die Wahrheit über MädchenAber vorher müsst ihr schwör'nNichts weiterzuerzähl'n[Strophe 1: Farin Urlaub]Mädchen sind viel schönerAls Jungen oder AutosSie haben lange HaareUnd wackeln mit dem PoMädchen sind oft grausamUnd sie töten lautlosUnd wenn man ihnen Rosen schenktDann sind sie meistens frohSo frohSie sind froh[Refrain: Farin Urlaub]Mädchen, Mädchen denken nichtSie haben Angst vor SpinnenUnd vor ÜbergewichtMädchen, Mädchen denken nieSie haben rote LippenUnd Röcke - bis zum Knie[Strophe 2: Farin Urlaub]Und wenn die Mädchen tanzenDann sieht man ihre BeineMädchen können kochenAm besten ApfelmusSie gehen in die KircheNatürlich nicht alleineSie träumen von der LiebeUnd von dem ersten KussDem ersten KussVon dem ersten Kuss[Refrain]Mädchen, Mädchen denken nichtSie haben Angst vor SpinnenUnd vor ÜbergewichtMädchen, Mädchen denken nieSie haben rote LippenUnd Röcke - bis zum Knie";"https://genius.com/Die-arzte-die-wahrheit-uber-madchen-lyrics";"Released February 8, 2019
Primary Artists

    
      Die Ärzte & Soilent Grün
Producers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"9";"Die Ärzte";"Ja";"They’ve Given Me Schrott!   Die Outtakes";"[Refrain: Farin Urlaub]Hey hey hey yeah!Hey hey hey yeah!Hey hey hey yeah![Strophe 1: Farin Urlaub]Sie hat ja (ja) gesagtAls ich ihr die Frage stelltSie hat ja (ja) gesagtUnd jetzt ist sie meine FreundinAuch mit dir war es schönDoch du musst versteh'n ich sag auf Wiederseh'nIch muss geh'nDenn ich gehöre jetzt zu ihr[Strophe 2: Farin Urlaub]Sie hat ja (ja) gesagtDarum muss ich dich verlassenSie hat ja (ja) gesagtWeil wir gut zusammen passenSei nicht traurig wegen mirVielleicht komm' ich eines Tages mal zurückZurück zu dirWenn du mich dann noch willst dann sag es und verzeih mirAber jetzt muss ich zu ihr[Refrain: Farin Urlaub]Hey hey hey yeah!Hey hey hey yeah!Hey hey hey yeah![Strophe 2: Farin Urlaub]Sie hat ja (ja) gesagtAls ich ihr die Frage stelltSie hat ja (ja) gesagtUnd jetzt ist sie meine FreundinSei nicht traurig wegen mirVielleicht komm' ich eines Tages mal zurückZurück zu dirWenn du mich dann noch willst dann sag es und verzeih mirAber jetzt muss ich zu ihr[Outro: Farin Urlaub]Hey hey hey yeah!";"https://genius.com/Die-arzte-ja-lyrics";"Released February 8, 2019
Primary Artists

    
      Die Ärzte & Soilent Grün
Producers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
"10";"Die Ärzte";"Dumme Sache";"They’ve Given Me Schrott!   Die Outtakes";"Hey![Strophe 1: Farin Urlaub]Tanja die war tanzen in einer DiskothekUnd da traf sie einen PunkerEin Vierteljahr später wusst' sie nicht mehr wie er hieß (nicht mal wie er hieß)Und war im dritten Monat schwanger[Refrain 1: Farin Urlaub]Nein!Es darf doch nicht wahr sein!Dumme SacheShalala-Oh, Ah-Uh-Shalala OhohohoShalala-Oh, Ah-Uh-Shalala OhohohoHey![Strophe 2: Farin Urlaub]Berthold wollt' beim Bungeejumping seinen Mut beweisenEr wär' King in seiner GangKurz nach dem Absprung stellte er dann leider festEr hat das Seil nicht umgehängt[Refrain 2: Farin Urlaub]Nein!So hört man ihn schrei'nDumme SacheShalala-Oh, Ah-Uh-Shalala OhohohoShalala-Oh, Ah-Uh-Shalala OhohohoShalala-Oh, Ah-Uh-Shalala OhohohoShalala-Oh, Ah-Uh-Shalala Ohohoho[Bridge: Farin Urlaub]Manchmal lässt's sich nich vermeidenManchmal muss man elend leidenUnd das ist dann selten witzigWem willst du das dann ankreiden?Gott, dem Teufel oder beiden?Sowas bringt das Leben mit sich[Refrain 3: Farin Urlaub]Nein!Es darf doch nicht wahr sein!Ja ja ja ja ja!Das war doch sonnenklar!Dumme SacheShalala-Oh, Ah-Uh-Shalala OhohohoShalala-Oh, Ah-Uh-Shalala Ohohoho";"https://genius.com/Die-arzte-dumme-sache-lyrics";"Released February 8, 2019
Primary Artists

    
      Die Ärzte & Soilent Grün
Producers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more
Writers

    
      Bela B, Die Ärzte, Farin Urlaub & 1 more"
