artist;title;album;text;url;metadata
Frei.Wild;Zwischen allen Fronten;Rivalen und rebellen;"[Strophe 1]
Wir fangen dich auf, fangen dich auf
Wir nehmen dich mit
Wir fangen dich auf
Weil Freund und Feind uns braucht
Wir fangen dich auf
Doch nimm auch du was in Kauf
Willst du wissen, wo es am meisten weh tut, dann lauf

In's Gefecht, in die Schlacht
Durch Heckenschützen in die Nacht
Durch den verlogenen Tintenhagel
Durch die Ohnmacht und Verbitterung
In's Gefecht, in die Schlacht
In's Händemeer und dessen Macht
Das wird dein, das wird mein
Unser Fight des Lebens sein

[Refrain]
Hast du den Mut, willst du es erleben?
Wir kämpfen zwischen allen Fronten
Fang schon mal an zu beten
Hast du die Kraft, auch mal zu zittern?
Mit dieser Band kann man keine Verlierermäuler füttern
Hast du den Mut, willst du es erleben?
Wir kämpfen zwischen allen Fronten
Lauter als 1000 Beben
Fehlt dir die Kraft, hau ab und zittere (für immer)
Diese Band ist Blitz, ist Donner, ist mehr als ein Gewitter

[Strophe 2]
Wir fangen dich auf, fangen dich auf
Wir nehmen dich mit
Wir fangen dich auf
Kotze all den Ärger aus dir raus
Wir fangen dich auf
Hier geht's bergab und bergauf
Willst du mit uns bis an das Limit gehen?
Dann lauf, lauf, lauf

In die Fluten, in die Wellen
Wo Leichentaucher Fallen stellen
In den Keller, über Dächer
Und viele kranke Ratten hinter dir
In die Gosse und zurück
Und dann ins gelobte Land
Denn die Säulen dieser Band
Sind noch lange nicht abgebrannt

[Refrain]
Hast du den Mut, willst du es erleben?
Wir kämpfen zwischen allen Fronten
Fang schon mal an zu beten
Hast du die Kraft, auch mal zu zittern?
Mit dieser Band kann man keine Verlierermäuler füttern
Hast du den Mut, willst du es erleben?
Wir kämpfen zwischen allen Fronten
Lauter als 1000 Beben
Fehlt dir die Kraft, hau ab und zittere (für immer)
Diese Band ist Blitz, ist Donner, ist mehr als ein Gewitter

[Bridge]
Gewagtes Spiel, wir brennen wie Feuer
Wie Pech und Schwefel, ab in's Abenteuer
Ein starkes Stück, wir können uns alles leisten
Allein nach vorne, nach uns die Sündflut
Wir sind nicht wie die meisten
Gewagtes Spiel, wir brennen wie Feuer
Wir brennen wie Feuer, ab in's Abenteuer";https://genius.com/Freiwild-zwischen-allen-fronten-lyrics;"Released March 16, 2018
Phonographic Copyright ℗

    
      Rookies & Kings
Copyright ©

    
      Rookies & Kings
Management

    
      Stefan Harder
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Patrick Schneiderwind & Holger Fichtner
Distribution

    
      Soulfood Music
Label

    
      Harder Entertainment & Rookies & Kings
Producers

    
      Alex Lysjakow, Chris Kaufmann, Daniel Barbosa & 3 more
Writers

    
      Philipp Burger
Actors

    
      Joannes de Vincenzo & Kenzie Rose Moore
Bass

    
      Jochen Gargitter
Color Grading

    
      Michael Della Giustina"
Frei.Wild;Ich bin nicht heilig;Rivalen und rebellen;"[Strophe 1]
Mancher Satz bohrt sich in's Hirn
So manchem bietet man die Stirn
Jeder empfängt auf seine Art
Eisig, schmerzhaft, oder zart
Beim harten Fick ist er dabei
Der ""Mieses Stück: Ich fick dich"" Schrei
Scheißegel, darf auch mal sein
Fast jeder ist eine Sau, fast jeder ist ein Schwein

Nicht jeder Schuss, nicht jeder Pfeil
Nicht jeder Stoß, nicht jeder Schrei
Soll zerstören und verletzen
Nicht jedes, Wort nicht jede Tat
Nicht jeder lusterfüllte Schlag
Liebt es grausam und so wären wir jetzt bei meiner Art

[Refrain]
Ich bin nicht heilig, du bist nicht heilig
Ich bin nicht heilig, du bist nicht heilig
Denn neben wirklich wahrer Liebe
Trag ich schmutzige Gefühle in mir
Ich kann nichts dafür
Ich bin nicht heilig, du bist nicht heilig
Ich bin nicht heilig, du bist nicht heilig
Und falls ich dich auch mal verletze
Dich wirklich mal verletze
Merke dir mancher Trieb in mir, kennt keine Gesetze

[Strophe 2]
Durst macht aus Wasser Wein
Und Sünde schmeckt ganz herzlich fein
Zungen schneiden scharf wie ein Schwert
Und Böses hat sich stets vermehrt
Was lange gärt wird endlich Wut
Und Menschlichkeit bleibt höchstes Gut
Auch ein Lamm Spürt manchmal Zorn
Sündenlos geht es nie nach vorne

Nicht jeder Schuss, nicht jeder Pfeil
Nicht jeder Stoß, nicht jeder Schrei
Soll zerstören und verletzen
Nicht jedes, Wort nicht jede Tat
Nicht jeder lusterfüllte Schlag
Liebt es grausam und so wären wir jetzt bei meiner Art";https://genius.com/Freiwild-ich-bin-nicht-heilig-lyrics;"Released March 16, 2018
Phonographic Copyright ℗

    
      Rookies & Kings
Copyright ©

    
      Rookies & Kings
Management

    
      Stefan Harder
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Patrick Schneiderwind & Holger Fichtner
Distribution

    
      Soulfood Music
Label

    
      Harder Entertainment & Rookies & Kings
Producers

    
      Alex Lysjakow, Chris Kaufmann, Daniel Barbosa & 3 more
Writers

    
      Philipp Burger
Actors

    
      Joannes de Vincenzo & Kenzie Rose Moore
Bass

    
      Jochen Gargitter
Color Grading

    
      Michael Della Giustina"
Frei.Wild;Diese Nacht will nicht meine Nacht sein;Rivalen und rebellen;"[Strophe 1]
Es ist ok
Es ist ok, es ist ok
Halt mich nicht auf, wenn ich jetzt gehe
Es ist ok
Mir geht es gut, tut auch nichts weh
Es ist ok, es ist ok

Wie bestellt und nicht abgeholt
Wie eingeladen und dann bedroht
Als Dank für's Kommen den Arsch versohlt
Schluck für Schluck und wieder wiederholt
Ich schreie rette dich so lange du kannst
Der Abend schenkt dir keine Akzeptanz
Das Narrativ, ein Brand der brennt
Rette sich sich wer kann, rette dich

[Refrain]
Diese Nacht will nicht meine Nacht sein
Diese Nacht trägt keinen hellen Schein
Diese Nacht, sie mag mich nicht
Mag mich nicht, mag mich nicht
Macht es gut, hier steige ich aus
Morgen sieht es anders aus
Diese Nacht sie mag mich nicht
Ist nicht schlimm, aber sie macht keinen Sinn

[Strophe 2]
Es ist ok
Es ist ok, es ist ok
Es hat keinen Grund, dass ich nur blöd rumstehe
Es ist ok
Dass ich die Zeiger fast schon rosten sehe
Es ist ok, es ist ok

Mutterseelenallein zwischen vielen, die ich
Die ich mag, die ich lieb, so wie dich
Der Erlöser heißt nur Sperrstundengong
Lasst sie drehen die LP mit dem Rauswerfer-Song
Mir geht es gut doch mein Spieltrieb ist müde und
Will ab nach Hause und dann ab in die Wiege und
Wer zuletzt geht macht die Türe zu
Ich werde es nicht sein, mach es du";https://genius.com/Freiwild-diese-nacht-will-nicht-meine-nacht-sein-lyrics;"Released March 16, 2018
Phonographic Copyright ℗

    
      Rookies & Kings
Copyright ©

    
      Rookies & Kings
Management

    
      Stefan Harder
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Patrick Schneiderwind & Holger Fichtner
Distribution

    
      Soulfood Music
Label

    
      Harder Entertainment & Rookies & Kings
Producers

    
      Alex Lysjakow, Chris Kaufmann, Daniel Barbosa & 3 more
Writers

    
      Philipp Burger
Actors

    
      Joannes de Vincenzo & Kenzie Rose Moore
Bass

    
      Jochen Gargitter
Color Grading

    
      Michael Della Giustina"
Frei.Wild;Auf zum Schwur;Rivalen und rebellen;"[Strophe 1]
Wie die Wahrheit im Rahmen
Wie ein Denkmal im Licht
Schwarz, weiß und entschlossen
Erhobenes Gesicht
Mit dem Mut und dem Willen
Sich nie zu ergeben
Es ist das Versprechen
Auch vor Gott und dem Gewissen
Mit Haltung zu leben

Es ist diese Sehnsucht
Für die wir hier stehen
Friede, Erde und Freiheit
Ja, dieses Land ist unser Leben
Wir entzünden die Feuer
Und singen unsere Lieder
Seht ihr die Flammen
Herz Jesus Sonntag
Oh ja, wir feiern dich wieder

[Refrain]
Das Feuer, es brennt, das Feuer
Das Feuer, es brennt, das Feuer
Das Herz, es brennt für dieses Land
Für seine Freiheit
Die Fahne sie weht, sie weht im Wind
Die brennende Liebe und dieses Lied erklingt
Auf zum Schwur Tiroler Land
Auf zum Schwur

[Strophe 2]
Gelöbnis um Beistand
Und Eid an uns selbst
Die Lichter, die Zeichen
Am Himmel der Welt
Entschlossen für immer
In Freundschaft vereint
Brüder und Schwestern
Erhellt die Berge
Es ist endlich soweit";https://genius.com/Freiwild-auf-zum-schwur-lyrics;"Released March 16, 2018
Phonographic Copyright ℗

    
      Rookies & Kings
Copyright ©

    
      Rookies & Kings
Management

    
      Stefan Harder
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Patrick Schneiderwind & Holger Fichtner
Distribution

    
      Soulfood Music
Label

    
      Harder Entertainment & Rookies & Kings
Producers

    
      Alex Lysjakow, Chris Kaufmann, Daniel Barbosa & 3 more
Writers

    
      Philipp Burger
Actors

    
      Joannes de Vincenzo & Kenzie Rose Moore
Bass

    
      Jochen Gargitter
Color Grading

    
      Michael Della Giustina"
Frei.Wild;Weil kein Krieg für ewig ist;Rivalen und rebellen;"[Strophe 1]
Viel mehr Mut und viel mehr Liebe
Viel mehr Leidenschaft und Küsse müsste es geben
Mehr Umarmung und Gefühle
Mehr Gelassenheit, mehr zueinander stehen

Trage diesen Traum noch in mir
Der Rucksack mit Hoffnung wiegt schwer
Das Glas ist halb voll nicht halb leer
Ich bin mir so sicher, es gibt da draußen noch mehr

[Refrain]
Die dasselbe fühlen wie ich
Mit derselben Vision wie ich
Dass kein Krieg für ewig ist
Weil kein Krieg für ewig ist
Ich fühle Zuversicht

[Strophe 2]
Viel mehr grenzenlose Ziele
Viel mehr „Lass dich mal in meine Arme nehmen“
Sind verdammt nochmal so viele
Die sich leider nicht mehr in die Augen sehen

Ich traue dem Glauben in mir
Kein Tropfen allein schuf das Meer
Ich fühle auch, du spürst es in dir
Ich bin mir so sicher, es gibt da draußen noch mehr

[Refrain]
Die dasselbe fühlen wie ich
Mit derselben Vision wie ich
Schenk auch du mir eine Hand voll Licht
Und ich bin voller Zuversicht
Die dasselbe fühlen wie ich
Mit derselben Vision wie ich
Dass kein Krieg für ewig ist
Weil kein Krieg für ewig ist

[Bridge]
Ich sehe Tausende ziehen
Länder, die am Weggehen vergehen
Auf falsche Hoffnung zu säen
Bringt außer Angst und Enttäuschung
Kein Glück nur Tränen
Doch auch dort kann ich sie sehen

[Refrain]
Die dasselbe fühlen wie ich
Mit derselben Vision wie ich
Weil kein Krieg für ewig ist
Weil kein Krieg für ewig ist
Die dasselbe fühlen wie ich
Mit derselben Vision wie ich
Bin voller Zuversicht
Weil kein Krieg für ewig ist
Schlechten Frieden gibt es nicht";https://genius.com/Freiwild-weil-kein-krieg-fur-ewig-ist-lyrics;"Released March 16, 2018
Phonographic Copyright ℗

    
      Rookies & Kings
Copyright ©

    
      Rookies & Kings
Management

    
      Stefan Harder
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Patrick Schneiderwind & Holger Fichtner
Distribution

    
      Soulfood Music
Label

    
      Harder Entertainment & Rookies & Kings
Producers

    
      Alex Lysjakow, Chris Kaufmann, Daniel Barbosa & 3 more
Writers

    
      Philipp Burger
Actors

    
      Joannes de Vincenzo & Kenzie Rose Moore
Bass

    
      Jochen Gargitter
Color Grading

    
      Michael Della Giustina"
Frei.Wild;Und ich war wieder da;Rivalen und rebellen;"[Strophe 1]
Ich spielte mit Ketten, doch wollte die Freiheit
Wollte alles erneuern, aber auch, dass viel gleich bleibt
Verlangte Ecken und Kanten, war zu schwach für den Schmerz
Dachte es gibt sie nur selten, diese Menschen mit Herz

[Pre-Refrain]
Und dann traf ich dich, dann traf ich dich
Und die Art wie du lebtest veränderte mich
Alles auf Null, verändert nach vorne
All die Zweifel verloren

[Refrain]
Und ich war wieder da
Ich war wieder da
Ich war wieder da, mitten im Leben
Und so konnte ich sie verlassen
Diese Zeit gegen alles und jeden
Und ich war wieder da
Ich war wieder da
Ich war wieder da, mitten im Leben
Und dafür danke ich dir, mein Freund
Du hast mir so viel gegeben
Fast noch mehr als mein Leben

[Strophe 2]
Mein Blick auf das Feld voller Scheu und nicht wirklich weit
Die Eminenz meiner Art, surreale Überlegenheit
Sie pochte und sie fauchte, verfluchte und verlangte
Raubte Nächte um Nächte, um Nächte
Bis ich sie verkannte

[Pre-Refrain]
Und dann traf ich dich, dann traf ich dich
Und die Art wie du lebtest veränderte mich
Alles auf Null, verändert nach vorne
All die Zweifel verloren

[Refrain]
Und ich war wieder da
Ich war wieder da
Ich war wieder da, mitten im Leben
Und so konnte ich sie verlassen
Diese Zeit gegen alles und jeden
Und ich war wieder da
Ich war wieder da
Ich war wieder da, mitten im Leben
Und dafür danke ich dir, mein Freund
Du hast mir so viel gegeben
Fast noch mehr als mein Leben

[Bridge]
Ich bleib' der Keim, der keimt
Aber keimfrei werde ich wohl niemals sein
Das alte Segel in Fetzen gerissen
Und so segle ich wieder frei, segle wieder frei

[Refrain]
Und ich war wieder da
Ich war wieder da
Ich war wieder da, mitten im Leben
Und so konnte ich sie verlassen
Diese Zeit gegen alles und jeden
Und ich war wieder da
Ich war wieder da
Ich war wieder da, mitten im Leben
Und dafür danke ich dir, mein Freund
Du hast mir so viel gegeben
Fast noch mehr als mein Leben
Und ich war wieder da

";https://genius.com/Freiwild-und-ich-war-wieder-da-lyrics;"Released March 16, 2018
Phonographic Copyright ℗

    
      Rookies & Kings
Copyright ©

    
      Rookies & Kings
Management

    
      Stefan Harder
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Patrick Schneiderwind & Holger Fichtner
Distribution

    
      Soulfood Music
Label

    
      Harder Entertainment & Rookies & Kings
Producers

    
      Alex Lysjakow, Chris Kaufmann, Daniel Barbosa & 3 more
Writers

    
      Philipp Burger
Actors

    
      Joannes de Vincenzo & Kenzie Rose Moore
Bass

    
      Jochen Gargitter
Color Grading

    
      Michael Della Giustina"
Frei.Wild;Nicht zu viel denken und einfach machen;Rivalen und rebellen;"[Strophe 1]
Ich nenne es Grübeln das nur Panik schürt
Harten Stoff, der uns den Hals zuschnürt
Was unseren Geist mit Gift, Gift, Gift füttert
Gesunde Schienen durch Tränen verwittert
Jeder Glaube ist nur so viel wert
Wie der Wille, der uns daraus nährt
Weicher Kern trifft auf harte Schalen
Schön verpackt in einer Kiste der Qualen

[Pre-Refrain]
Ich sage nein, ich sage nein
Ich bin frei, frei, frei
Und ich will auch nicht mein Sklave sein
Ich sage nein, ich sage nein
Bin mein eigener Kapitän, mein Steuermann
Ich brauche keinen Führer, keinen höchsten Rang

[Refrain]
Und ich habe aufgehört zu jammern
Habe wieder angefangen zu lachen
Am besten geht es, mit dem Nicht zu viel Denken
Und einfach machen, machen, machen
Und so trockne ich meine Tränen
Versuche einfach zu leben
Nichts und niemand und vor allem nicht ich selbst
Werden mir meine Freude nehmen

[Strophe 2]
Ein kleiner Funke kann so viel entzünden
Ein Blick zum Guten jeden Ausweg finden
Der schwache Geist, den wir mit krankem Scheiß füttern
Drückt uns wie Sklaven in einen Käfig mit Gittern
Eigener Stahl und eigene Konstruktion
Mir schenkt sie Flügel meine Religion
Aber auch hier so gilt es an jedem Ort
Ich glaub an meine Freiheit und an Gottes Wort

[Pre-Refrain]
Ich sage nein, ich sage nein
Ich schaufle mich frei und scheiße mich nicht ein
Keine Angst hier wird mein Herrscher sein
Ich sage nein, ich sage nein
Bin mein eigener Kapitän und ein freier Mann
Ich glaube, ich liebe, ich hoffe und weiß ich komme an

[Refrain]
Und ich habe aufgehört zu jammern
Habe wieder angefangen zu lachen
Am besten geht es, mit dem Nicht zu viel Denken
Und einfach machen, machen, machen
Und so trockne ich meine Tränen
Versuche einfach zu leben
Nichts und niemand und vor allem nicht ich selbst
Werden mir meine Freude nehmen";https://genius.com/Freiwild-nicht-zu-viel-denken-und-einfach-machen-lyrics;"Released March 16, 2018
Phonographic Copyright ℗

    
      Rookies & Kings
Copyright ©

    
      Rookies & Kings
Management

    
      Stefan Harder
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Patrick Schneiderwind & Holger Fichtner
Distribution

    
      Soulfood Music
Label

    
      Harder Entertainment & Rookies & Kings
Producers

    
      Alex Lysjakow, Chris Kaufmann, Daniel Barbosa & 3 more
Writers

    
      Philipp Burger
Actors

    
      Joannes de Vincenzo & Kenzie Rose Moore
Bass

    
      Jochen Gargitter
Color Grading

    
      Michael Della Giustina"
Frei.Wild;Geartete Künste hatten wir schon;Rivalen und rebellen;"[Strophe 1]
Wann und wo und warum konnte es verfliegen?
Dieses Lebensgefühl aus Mut, aus Widerstand und Kraft?
Wehte und weht der Gegenwind erstmal zu heftig
Flacht das Feuer ab, verliert der Kampfgeist seine Macht

Ihr singt von Straßen und Aufstand, von Gerechtigkeit
Von Mut zur Wahrheit der rebellischen Zeit
Doch ich sehe Medien- Nutten, System- Marionetten
Einheitsbrei- Flaschen unter Punkrock- Etiketten

[Refrain]
Alles im Gleichton
Ihr Regierungs- Kapellen
Sehe höchstens Soldaten
Keine wahren Rebellen
Wo bleiben eure Fäuste?
Eure Schreie und Fahnen?
Gegen die, die unsere Freiheit
In die Luft gejagt haben
Alles im Gleichton
Ihr Regierungs- Kapellen
Im Gleichstrom der Medien
Erstrahlen keine Helden
Wir sehen den Auftrag
In der Opposition
Denn Geartete Künste hatten wir schon

[Strophe 2]
Von wegen Protest Kultur
À la „London calling“ Operation
Roter Teppich, Vorsicht Rampenlicht
Lähmen jede Revolution
Wo bleiben die echt harten Eisen
Die „Sorgen des Volkes“ heißen?
An denen sich tausende Tausende, die Zähne ausbeißen
Ihr bleibt die Duckmäuser- Künstler, System- Marionetten
Die Menschen-Leben-Tanzen-Welt-Musikerdeppen

[Refrain]
Alles im Gleichton
Ihr Regierungs- Kapellen
Sehe höchstens Soldaten
Keine wahren Rebellen
Wo bleiben eure Fäuste?
Eure Schreie und Fahnen?
Gegen die, die unsere Freiheit
In die Luft gejagt haben
Alles im Gleichton
Ihr Regierungs- Kapellen
Im Gleichstrom der Medien
Erstrahlen keine Helden
Wir sehen den Auftrag
In der Opposition
Denn Geartete Künste hatten wir schon

[Bridge]
Anti, anti, anti, einen Scheiß wogegen seid ihr?
Anti, anti, anti, einen Scheiß hört jetzt mal her
Je suis am Arsch lasst stecken
Sagt mal merkt ihr es denn nicht?
Es gibt noch mehr als rechtsaußen
Den bösen Kapitalist
Es gibt Polit- Steineschmeißer
Die „andere Meinungshasser“
Die Flüchtlingsmafia, die Kreuz- und Kriegeentfacher";https://genius.com/Freiwild-geartete-kunste-hatten-wir-schon-lyrics;"Released March 16, 2018
Phonographic Copyright ℗

    
      Rookies & Kings
Copyright ©

    
      Rookies & Kings
Management

    
      Stefan Harder
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Patrick Schneiderwind & Holger Fichtner
Distribution

    
      Soulfood Music
Label

    
      Harder Entertainment & Rookies & Kings
Producers

    
      Alex Lysjakow, Chris Kaufmann, Daniel Barbosa & 3 more
Writers

    
      Philipp Burger
Actors

    
      Joannes de Vincenzo & Kenzie Rose Moore
Bass

    
      Jochen Gargitter
Color Grading

    
      Michael Della Giustina"
Frei.Wild;Herz schlägt Herz;Rivalen und rebellen;"[Strophe 1]
Von keinem geliebt
Von keinem vermisst
Dann dieses Scheiß-Gefühl
Dass das alles noch nicht durchgestanden ist
Auf verlorenem Posten
Getroffen und verletzt
Dein Mitleid an dich selber
Hat das Pechkind im Spiegel
Noch tiefer verletzt

[Refrain]
Herz schlägt Herz
Mit jedem Schlag
Ein bisschen heller
Herz schlägt Herz
Und der Stein des Anstoßes
Dreht sich im Keller
Herz schlägt Herz
Lass es Tränen regnen
Meines schlägt heute nur für dich
Herz schlägt Herz

[Strophe 2]
Deine Stärke lässt Federn
Wie vom Winde verweht
Dein Kummerkasten ist voll
Aber sieh doch, trotz allem, wie er immer noch steht
Reiß ihn auf, wirf sie weg
Tue es nicht morgen, tue es jetzt
Wirst sie nie wieder brauchen
Diese Fetzen der Sorgen, sie haben nur verletzt

[Refrain]
Herz schlägt Herz
Mit jedem Schlag
Ein bisschen heller
Herz schlägt Herz
Und der Stein des Anstoßes
Dreht sich im Keller
Herz schlägt Herz
Lass es Tränen regnen
Meines schlägt heute nur für dich
Herz schlägt Herz

[Outro]
Es gilt vom Anfang bis zum Ende
Das Prinzip vom inneren Feind


";https://genius.com/Freiwild-herz-schlagt-herz-lyrics;"Released March 16, 2018
Phonographic Copyright ℗

    
      Rookies & Kings
Copyright ©

    
      Rookies & Kings
Management

    
      Stefan Harder
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Patrick Schneiderwind & Holger Fichtner
Distribution

    
      Soulfood Music
Label

    
      Harder Entertainment & Rookies & Kings
Producers

    
      Alex Lysjakow, Chris Kaufmann, Daniel Barbosa & 3 more
Writers

    
      Philipp Burger
Actors

    
      Joannes de Vincenzo & Kenzie Rose Moore
Bass

    
      Jochen Gargitter
Color Grading

    
      Michael Della Giustina"
Frei.Wild;Rivalen und Rebellen;Rivalen und rebellen;"[Strophe 1]
Unser Wort, als spitzes scharfes Schwert
Biegt sich nicht, bricht nicht, nein, es wehrt
Sich voll Aggression
Die Bissigkeit ist nicht kaschiert
Ist wirklich echt, ihr habt's gespürt
Und so bleib'n auch Narben

[Pre-Refrain]
Die Evolution hat nach uns verlangt
Wollte keine Speichellecker, sie wollte Rock-'n'-Roll-Vollstrecker
Die Evolution
Und so kämpfen wir uns nach vorn

[Refrain]
Wir sind Rivalen (Rivalen, Rivalen)
Rivalen und Rebellen
Wir sind Freunde, wir sind Brüder
Ja, wir sind
Wir sind Rivalen (Rivalen, Rivalen)
Rivalen und Rebellen
Wir sind Flanke, sind Geschütze
Ja, wir sind
Rivalen und Rebellen

[Strophe 2]
Wir sind wie Gift, gemieden, gebraucht
Immer da, wo's blitzt und grollt und raucht
Und wo's hart zur Sache geht
Eine Band, gehasst und doch geliebt
Die mit euch durch das Leben zieht
Und sich eben nicht verbiegt

[Pre-Refrain]
Die Evolution hat nach uns verlangt
Wollte keine Speichellecker, sie wollte Rock-'n'-Roll-Vollstrecker
Die Evolution
Und so kämpfen wir uns nach vorn

[Refrain]
Wir sind Rivalen (Rivalen, Rivalen)
Rivalen und Rebellen
Wir sind Freunde, wir sind Brüder
Ja, wir sind
Wir sind Rivalen (Rivalen, Rivalen)
Rivalen und Rebellen
Wir sind Flanke, sind Geschütze
Ja, wir sind
Rivalen und Rebellen
Wir sind Rivalen (Rivalen, Rivalen)
Rivalen und Rebellen
Wir sind Freunde, wir sind Brüder
Ja, wir sind
Wir sind Rivalen (Rivalen, Rivalen)
Rivalen und Rebellen
Wir sind Flanke, sind Geschütze
Ja, wir sind
Rivalen und Rebellen

";https://genius.com/Freiwild-rivalen-und-rebellen-lyrics;"Released March 16, 2018
Phonographic Copyright ℗

    
      Rookies & Kings
Copyright ©

    
      Rookies & Kings
Management

    
      Stefan Harder
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Patrick Schneiderwind & Holger Fichtner
Distribution

    
      Soulfood Music
Label

    
      Harder Entertainment & Rookies & Kings
Producers

    
      Alex Lysjakow, Chris Kaufmann, Daniel Barbosa & 3 more
Writers

    
      Philipp Burger
Actors

    
      Joannes de Vincenzo & Kenzie Rose Moore
Bass

    
      Jochen Gargitter
Color Grading

    
      Michael Della Giustina"
