artist;title;album;text;url;metadata
Frei.Wild;Für immer Anker und Flügel;Still;"Wenn Augen leuchten
Und die Schlacht beginnt
Wenn eure Stimme uns den Atem nimmt
Dann schallen Schreie durch die Nacht
Und unser Feier ist entfacht
Wenn Grenzen fallen und wir den Sturm bezwingen
Unangepasst gehasste Lieder singen
Dann fällt der letzte Widerstand
Und wir überrollen jedes Land

Und jeder schreit, so laut er kann
Auf los geht es los, wir fangen an
Wieder vereint und laut im Chor
Stärker als die Anderen
Fuck the fucking rest
Frei.Wild sind wir alle
We are the best

Für immer Wild, für immer Frei
Vereint für immer und für ewig
Dieses Gefühl geht nie vorbei
Für immer Wild, für immer Frei
Anker und Flügel unseres Lebens
Frei von Ketten und mit vollem Stolz dabei

Sturm, brich los und traf uns laut voran
Erhobenen Hauptes gegen den Untergang
Jeder für jeden, für uns alle hier
Unser aller Leben, unser aller Revier
Mit Leidenschaft und Herz dabei
Lieder fürs Leben, zweifelsfrei
Nicht Oi, nicht Punk, einfach deutsch gerockt
Wir fragen uns: Echo zu weich?
Haben wir zu hart gerockt?

Und jeder schreit, so laut er kann
Auf los geht es los, wir fangen an
Wieder vereint und laut im Chor
Stärker als die Anderen
Fuck the fucking rest
Frei.Wild sind wir alle
We are the best

Für immer Wild, für immer Frei
Vereint für immer und für ewig
Dieses Gefühl geht nie vorbei
Für immer Wild, für immer Frei
Anker und Flügel unseres Lebens
Frei von Ketten und mit vollem Stolz dabei";https://genius.com/Freiwild-fur-immer-anker-und-flugel-lyrics;"Released February 4, 2013
Copyright ©

    
      Rookies & Kings
Phonographic Copyright ℗

    
      Rookies & Kings
Distribution

    
      Soulfood Music
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Holger Fichtner
Label

    
      Rookies & Kings
Producers

    
      Alex Lysjakow, Jörg Wartmann & Philipp Burger
Writers

    
      Philipp Burger
Bass

    
      Jochen Gargitter
Copyright ©

    
      Rookies & Kings
Distribution

    
      Soulfood Music & SPV GmbH"
Frei.Wild;Allein nach Vorne!;Still;"Nur das Schlechteste im Menschen zu sehen
Das Grauenvollste soll im Vordergrund stehen
Dies als Maß aller Dinge zu nehmen
Ist der Verfall der Gesellschaft
Ein Brett vorm Kopf und die Unwissenheit
Es läuft wie früher, die Idioten sind vereint
Ich kann sie hören, sie werden nie Ruhe geben

Sie stellen Hass vor Liebe, es zerreißt mir mein Herz
Sie gießen Öl ins Feuer, höllenwärts
Liebe macht blind, Zorn der macht dumm
Doch dieser Angriff haut uns nicht um
Härtet uns ab und ihr werdet es sehen

Allein nach vorne, immer Richtung Freiheit
Ist der Ruf erst ruiniert, lebt es sich recht ungeniert
Allein nach vorne, der Schatten eurer kranken Welt
Doch wer uns ewig nur bedroht, macht uns nicht tot

Dieselbe Hetze schon seit etlichen Jahren
Wir müssen die Menschen vor Frei.Wild bewahren
Und es hat nichts gebracht, uns nur bekannter gemacht
Verdammt, was haben wir uns nur dabei gedacht
Wir haben die Schweine bis aufs Wacken gebracht
Da muss doch noch was sein
Die kriegen wir auch noch klein

Und wenn die ganze Welt mit euch den Weg begeht
Wir machen weiter Lärm, bis nichts mehr geht
Unsere Lieder in eure Ohren
Das Gegengift ist nicht geboren
Fickt euch ins Knie, denn ihr habt schon verloren

Und wenn der letzte Mensch auf Erden unsere Lieder hasst
Wir wollen und werden uns niemals ändern, scheißegal, ob euch das passt
Unsere Lieder sind unser Leben, unser Schaffen, unser Stolz
Wir sind geschnitzt aus einem anderen Holz";https://genius.com/Freiwild-allein-nach-vorne-lyrics;"Released February 4, 2013
Copyright ©

    
      Rookies & Kings
Phonographic Copyright ℗

    
      Rookies & Kings
Distribution

    
      Soulfood Music
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Holger Fichtner
Label

    
      Rookies & Kings
Producers

    
      Alex Lysjakow, Jörg Wartmann & Philipp Burger
Writers

    
      Philipp Burger
Bass

    
      Jochen Gargitter
Copyright ©

    
      Rookies & Kings
Distribution

    
      Soulfood Music & SPV GmbH"
Frei.Wild;Wir reiten in den Untergang;Still;"So, und gar nicht anders fing alles an
Wir reiten wieder in den Untergang
Und wir werden die Welt wieder in Tränen sehen
So, und gar nicht anders fing alles an
Wir reiten wieder in den Untergang
Wir reiten in den Untergang

Nichts als Richter
Nichts als Henker
Keine Gnade und im Zweifel nicht für dich
Heut gibt es den Stempel, keinen Stern mehr
Und schon wieder lernten sie es nicht
Und sagst du mal nicht Ja und Amen
Oder schämst dich nicht für dich
Stehst du im Pranger der Gesellschaft
Und man spuckt dir ins Gesicht
Und ganz vorne stehen die Ärsche
Unterm großen Heiligenschein
Liebevoll und Solidarisch
Treten sie lustvoll in dich rein

So, so, so
So fing alles an
Und wir reiten wieder
In den Untergang
So, so, so
So fing alles an
Weil wir es nicht verstehen
Werden wir die Welt in Tränen sehen
Die Welt in Tränen sehen

Die, die jagen sind die, die klagen
Die, die hassen bleiben die Prediger der Massen
Im Gleichschritt blind verdummtes Schreien
Stereotyp Kopien bis in die letzten Reihen
Und schreit dann einer Feuer frei
Wird durch geladen und geschossen
Und erst gar nicht hinterfragt
Was hat der überhaupt verbrochen
Wenn die Masse das so meint
Dann sind wir alle schnell dabei
Dann ist das Frei.Wild, und von vorne herein
Immer vogelfrei

So, so, so
So fing alles an
Und wir reiten wieder
In den Untergang
So, so, so
So fing alles an
Weil wir es nicht verstehen
Werden wir die Welt in Tränen sehen

Hätte ich das gewusst
Hätte ich reagiert
Dass da was falsch läuft bei denen
Hätte ich sehr schnell kapiert
Wie kann man nur?
Und weshalb ist das alles passiert?
Keine Ahnung, die liefen doch so koordiniert
Dabei war es ganz anders
Die waren gerne dabei
Manche führten, manche folgten
So rief man Kriege herbei
Blindes Handeln und Verurteilen
Nichts bezweifeln, hinterfragen
Ist des Lemmings Gebot
Zusammen ab in den Tod

So, so, so
So fing alles an
Und wir reiten wieder
In den Untergang
So, so, so
So fing alles an
Weil wir es nicht verstehen
Werden wir die Welt in Tränen sehen";https://genius.com/Freiwild-wir-reiten-in-den-untergang-lyrics;"Released February 4, 2013
Copyright ©

    
      Rookies & Kings
Phonographic Copyright ℗

    
      Rookies & Kings
Distribution

    
      Soulfood Music
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Holger Fichtner
Label

    
      Rookies & Kings
Producers

    
      Alex Lysjakow, Jörg Wartmann & Philipp Burger
Writers

    
      Philipp Burger
Bass

    
      Jochen Gargitter
Copyright ©

    
      Rookies & Kings
Distribution

    
      Soulfood Music & SPV GmbH"
Frei.Wild;Feuer, Erde, Wasser, Luft;Still;"Die 4 Elemente Feuer, Erde, Wasser, Luft
Bringen Körper und Seele ins Gleichgewicht
Diese 4 sind unter uns und sind die Elemente des Lebens
Das Wasser verkocht, wenn unser Feuer entfacht
Die Erde erbebt wenn es im Proberaum kracht
Die Luft ist weg, wenn unsere Stimmen erklingen
Also ist es doch logisch, dass wir von Elementen singen
Ihr könnt uns nicht verdrehen, aber uns sehen
Wollt ihr mit uns gehen, und ihr werdet es verstehen

Das wir immer weiter rocken
Deshalb immer lauter zocken
Dass wir den Pogo so lieben und Konzerte geben
Denn diese Band sie ist unser Leben
Von klein auf geil, und voll Starallüren
Die uns eigentlich gar nicht gebühren
Es ist wirklich fein
Ein Teil, von Frei.Wild zu sein

Unser Feuer ist die Freundschaft, das uns jahrelang erwärmt
Auf dieser wunderschönen Erde haben wir uns kennengelernt
Wasser auf der Stirn beim Live Konzert
Durch eure Anwesenheit fühlen wir uns geehrt
Die Luft ist weg beim Südtirol Lied
Weil es für uns auf Erden nichts schöneres gibt
Eine Band zu haben, die man wirklich liebt
Ist der Grund dafür, das man alles gibt
Ihr könnt uns nicht verdrehen, aber uns sehen
Wollt ihr mit uns gehen, und ihr werdet verstehen

Und nun ein Dank von uns zusammen
Dass ihr uns so fest zur Seite steht
Wir sind stolz auf diese Gemeinde
Frei.Wild wird für Euch gelebt
Als wir vor Jahren angefangen haben
Waren wir noch allein
Ich kann nur für uns zusammen sprechen
Wir werden auch weiter auf dem Boden bleiben";https://genius.com/Freiwild-feuer-erde-wasser-luft-lyrics;"Released February 4, 2013
Copyright ©

    
      Rookies & Kings
Phonographic Copyright ℗

    
      Rookies & Kings
Distribution

    
      Soulfood Music
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Holger Fichtner
Label

    
      Rookies & Kings
Producers

    
      Alex Lysjakow, Jörg Wartmann & Philipp Burger
Writers

    
      Philipp Burger
Bass

    
      Jochen Gargitter
Copyright ©

    
      Rookies & Kings
Distribution

    
      Soulfood Music & SPV GmbH"
Frei.Wild;Verdammte Welt;Still;"Verdammt ich kann die Steine spüren
Und doch den Rosenhimmel berühren
Wollte niemals im Abseits stehen
Wo Menschen lachen, da tanzen Seelen
Schweißperlen glitzern nur auf ihrem Gesicht
Und diese Bilder, ich hasse sie nicht
Nehmt mich mit, lasst mich nicht
Lasst mich nicht hier liegen
Lasst mich noch noch einmal die Welt verführen

Bei jedem Tanz, bei jedem Lied spüre ich
Was für mich wirklich wichtig ist
Bei jedem Zug, der um die Häuser zieht
Merke ich, dass du mich nie vergisst

Verdammte Welt bleib wie du bist
Ich umarme, ich küsse dich
Verdammte Welt alles ist gut so wie es ist
Verdammte Welt bleib wie du bist
Ich umarme, ich küsse dich
Verdammte Welt dreh dich ein letztes mal nur für mich

Nicht ganz selten mit schwachen Beinen stand ich
Mit müden Augen und starrem Blick
Vor der Pfütze am Rathausplatz, dem Spiegel
Aus hellem Mond und meinem Dreck
Große Augen im schmalen Kessel
Starrten dennoch nicht nach Rom
Mein Leben war überall wo Lichter schienen
Die scheinen auch in Südtirol

Verdammte Welt bleib wie du bist
Ich umarme, ich küsse dich
Verdammte Welt alles ist gut so wie es ist
Verdammte Welt bleib wie du bist
Ich umarme, ich küsse dich
Verdammte Welt dreh dich ein letztes mal nur für mich

Tanz im Kreis, tanz im Kreis und um die eigene Achse
Dreh dich bitte noch mal nur für mich
Sing und lach, zieh mit mir noch einmal um die Sonne
Wer gewinnt? Ich bin es nicht
Tanz im Kreis, tanz im Kreis und um die eigene Achse
Dreh dich bitte noch mal nur für mich
Keine Ahnung, keinen Plan, wer zuletzt noch steht
Scheißegal, was kümmert es mich?

Verdammte Welt bleib wie du bist
Ich umarme, ich küsse dich
Verdammte Welt alles ist gut so wie es ist
Verdammte Welt bleib wie du bist
Ich umarme, ich küsse dich
Verdammte Welt dreh dich ein letztes mal nur für mich

Ach weißt du, bleib doch einfach wie du bist
Ich umarme, ich küsse dich
Gehasst, geliebt, verdammte Welt
Alles ist gut so wie es ist
Ach bitte, bitte bleibe so wie du bist
Ich umarme, ich küsse dich
Verdammte Welt
Dreh dich ein letztes mal nur für mich";https://genius.com/Freiwild-verdammte-welt-lyrics;"Released February 4, 2013
Copyright ©

    
      Rookies & Kings
Phonographic Copyright ℗

    
      Rookies & Kings
Distribution

    
      Soulfood Music
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Holger Fichtner
Label

    
      Rookies & Kings
Producers

    
      Alex Lysjakow, Jörg Wartmann & Philipp Burger
Writers

    
      Philipp Burger
Bass

    
      Jochen Gargitter
Copyright ©

    
      Rookies & Kings
Distribution

    
      Soulfood Music & SPV GmbH"
Frei.Wild;Irgendwer steht dir zur Seite;Still;"[Strophe 1]
Geplatzte Freude
Dein Hoch hat sich verzogen
Eifrig versucht, deinen Traum zu retten
Aber irgendwie lief alles schief
Von nichts kommt nichts, Träumen gut, aber fein
Ohne Fleiß, kein Preis, denn der Preis ist zu heiß
Keiner der Dir was schenkt
Fühlst dich ziemlich allein
Fragst dich: wird dieser Sprung alleine denn machbar sein?

[Refrain]
Irgendwo um dich herum
Dreh dich mal um, du wirst sie sehen
Irgendwer steht Dir zur Seite
Und trägt mit Dir Dein Kreuz nach vorne
Verzweifle nicht, öffne deine Augen
Öffne dein Herz, schrei' ihn raus, diesen Schmerz
Manchmal, ja, kommt man alleine nicht an
Wir halten zusammen - Mann für Mann!

[Strophe 2]
Verkackte Prüfung
Dein Schatz hat dich betrogen
Immer versucht, gar alles recht zu machen
Aber trotzdem lief alles schief
Von nun an, nein, fällt dir nichts mehr ein
Dein verficktes Latein, lag wohl mit Fieber daheim
Keiner, der dir was schenkt, fühlst dich ziemlich allein
Fragst dich: wird dieser Sprung alleine denn machbar sein?

[Refrain]
Irgendwo um dich herum
Dreh dich mal um, du wirst sie sehen
Irgendwer steht Dir zur Seite
Und trägt mit Dir Dein Kreuz nach vorne
Verzweifle nicht, öffne deine Augen
Öffne dein Herz, schrei' ihn raus, diesen Schmerz
Manchmal, ja, kommt man alleine nicht an
Wir halten zusammen - Mann für Mann!

[Instrumental]

[Refrain]
Irgendwo um dich herum
Dreh dich mal um, du wirst sie sehen
Irgendwer steht Dir zur Seite
Und trägt mit Dir Dein Kreuz nach vorne
Verzweifle nicht, öffne deine Augen
Öffne dein Herz, schrei' ihn raus, diesen Schmerz
Manchmal, ja, kommt man alleine nicht an
Wir halten zusammen

[Outro]
Irgendwo
Dreh dich mal um, du wirst sie sehen
Irgendwer
Trägt mit Dir Dein Kreuz nach vorne
Verzweifle nicht, öffne deine Augen
Öffne dein Herz, schrei' ihn raus, diesen Schmerz
Manchmal, ja, kommt man alleine nicht an
Wir halten zusammen - Mann für Mann!";https://genius.com/Freiwild-irgendwer-steht-dir-zur-seite-lyrics;"Released February 4, 2013
Copyright ©

    
      Rookies & Kings
Phonographic Copyright ℗

    
      Rookies & Kings
Distribution

    
      Soulfood Music
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Holger Fichtner
Label

    
      Rookies & Kings
Producers

    
      Alex Lysjakow, Jörg Wartmann & Philipp Burger
Writers

    
      Philipp Burger
Bass

    
      Jochen Gargitter
Copyright ©

    
      Rookies & Kings
Distribution

    
      Soulfood Music & SPV GmbH"
Frei.Wild;Niemand;Still;"Hey Hey Hey Hey
Hey Hey Hey Hey
Hey Hey Hey Hey
Hey Hey Hey Hey

Ein falscher Blick, kein gebügelter Anzug
Ein bunter Kopf oder das Aussehn selbst
Eine Liebe die nicht erwidert wird
Diese Eifersucht und auch die führt wieder zum Frust
Alkohol zeigt den Lohn der Frustration
Und die Landschaft auch nicht Zufriedenheit
Sich profilierende Gangmitglieder
Schlagen wutentbrannt Unschuldige nieder

Ich bin nicht heilig, bin weiß Gott nicht perfekt
Hab meine Weste schon als Kind mit Schuld verdreckt
Ich sprech mich schuldig, will das Ziel am Pranger sein
Und wer frei von Schuld ist werf den ersten Stein

Niemand, niemand wirft Steine auf dieser scheinheiligen Welt
Niemand, niemand trägt den Heiligenschein, der das dunkle des Bösen erhellt!
Er ist voll Zorn und Hass, da kriegt jeder was und du gehörst dazu!
Heiliger Gewinner, aus Fehlern lernt man, du arroganter kleiner Spinner!

Die Welt da draußen sie ist scheinbar perfekt
Hat deine Fehler sofort entdeckt
Lass sie reden, lass sie reden und ihr Image pflegen
Früher oder später stehen sie damit im Regen
Wer dich kennt weiss wie du bist
Dass das alles nur ne Lüge ist, deshalb gibst du einen Scheiß auf sie
Und belächelst sie, zwingst sie dadurch in die Knie

Ich bin nicht heilig, bin weiß Gott nicht perfekt
Hab meine Weste schon als Kind mit Schuld verdreckt
Ich sprech mich schuldig, will das Ziel am Pranger sein
Und wer frei von Schuld ist werf den ersten Stein

Niemand, niemand wirft Steine auf dieser scheinheiligen Welt
Niemand, niemand trägt den Heiligenschein, der das dunkle des Bösen erhellt!
Er ist voll Zorn und Hass, da kriegt jeder was und du gehörst dazu
Heiliger Gewinner, aus Fehlern lernt man, du arroganter kleiner Spinner!

Geh nach vorn und wirf du den ersten Stein!

Niemand, niemand wirft Steine auf dieser scheinheiligen Welt
Niemand, niemand trägt den Heiligenschein, der das dunkle des Bösen erhellt!
Er ist voll Zorn und Hass, da kriegt jeder was und du gehörst dazu
Heiliger Gewinner, aus Fehlern lernt man, du arroganter kleiner Spinner!";https://genius.com/Freiwild-niemand-lyrics;"Released February 4, 2013
Copyright ©

    
      Rookies & Kings
Phonographic Copyright ℗

    
      Rookies & Kings
Distribution

    
      Soulfood Music
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Holger Fichtner
Label

    
      Rookies & Kings
Producers

    
      Alex Lysjakow, Jörg Wartmann & Philipp Burger
Writers

    
      Philipp Burger
Bass

    
      Jochen Gargitter
Copyright ©

    
      Rookies & Kings
Distribution

    
      Soulfood Music & SPV GmbH"
Frei.Wild;Das Land der Vollidioten;Still;"Das ist das Land der Vollidioten
Die denken, Heimatliebe ist gleich Staatsverrat
Wir sind keine Neonazis und keine Anarchisten
Wir sind einfach gleich wie Ihr, von hier

Wir haben immer gesagt
Dass wir das Land hier furchtbar lieben
Balsam für die Seele
Wie wir Euch damit provozieren
Ihr seid dumm, dumm und naiv
Wenn Ihr denkt, Heimatliebe ist gleich Politik

Schaut Euch doch um:
Das Paradies auf Erden liegt hier mitten in den Bergen
Jeder Volksmusikant
Tritt live im Fernsehen auf
Singt über das gleiche Thema
Doch da fällt's keinem auf

Das ist das Land der Vollidioten
Die denken, Heimatliebe ist gleich Staatsverrat
Wir sind keine Neonazis und keine Anarchisten
Wir sind einfach gleich wie Ihr, von hier

Sind wir doch mal ehrlich:
Der Rest in Italien schämt sich nicht zu sagen
Woher er kommt
Wir sind Opfer einer Resozialisierungspolitik
Und viele Leute bei uns bemerken das nicht

Die höchsten Leute im Staat
Beleidigen Völker ganzer Nationen
Und ihr Trottel wählt sie wieder
Kreuze werden aus Schulen entfernt, aus Respekt
Vor den anders gläubigen Kindern

Das ist das Land der Vollidioten
Die denken, Heimatliebe ist gleich Staatsverrat
Wir sind keine Neonazis und keine Anarchisten
Wir sind einfach gleich wie Ihr, von hier

Wir tanzen keinen Adolf Hitler
Tanzen keinen Mussolini
Wir mögen keinen Berlusconi und schon gar nicht diesen Fini
Wir mögen keinen Marx und Engels
Auf Bush und Hussein wird geschissen
Also redet jemand anderem ins Gewissen

Das ist das Land der Vollidioten
Die denken, Heimatliebe ist gleich Staatsverrat
Wir sind keine Neonazis und keine Anarchisten
Wir sind einfach gleich wie Ihr, von hier

Das ist das Land der Vollidioten
Die denken, Heimatliebe ist gleich Staatsverrat
Wir sind keine Neonazis und keine Anarchisten
Wir sind einfach gleich wie Ihr, von hier

Das land der Vollidioten, ....";https://genius.com/Freiwild-das-land-der-vollidioten-lyrics;"Released February 4, 2013
Copyright ©

    
      Rookies & Kings
Phonographic Copyright ℗

    
      Rookies & Kings
Distribution

    
      Soulfood Music
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Holger Fichtner
Label

    
      Rookies & Kings
Producers

    
      Alex Lysjakow, Jörg Wartmann & Philipp Burger
Writers

    
      Philipp Burger
Bass

    
      Jochen Gargitter
Copyright ©

    
      Rookies & Kings
Distribution

    
      Soulfood Music & SPV GmbH"
Frei.Wild;Was du liebst lass frei;Still;"Wollte stets derselbe bleiben
Doch hab mich verändert
Wollte mein ganzes Leben so leben
Wie es mir gerade passt
Von Jahr zu Jahr aber musste ich mir eingestehen
Nicht mal über mich, habe ich genügend Macht

Nichts, aber nichts, zieht ohne Spuren an uns vorbei
Finger verbrannt, ein Licht geht auf, muss nicht alles haben, scheißt man halt drauf
Nichts, aber nichts, zieht ohne Spuren an uns vorbei
Alles weg, was Leiden schafft, alles behalten was glücklich macht

Was du liebst lass frei doch halt es sicher
Lass es einfach fliegen, lass es ziehen
Die Wahrheit tut oft weh doch sie ist besser
Als am Abgrund der 1000 Lügen zu stehen
Was du liebst lass frei doch führ es sicher
Jede falsche Richtung führt auch zurück
Machmal führt ein Umweg auch zur Sicherheit
An das Ziel unseres Weges unseres Lebens unserer Richtung ins Glück

Ein Ruf in mir erwachte und ich schaffte neuen Raum
Ich fand mein Tor zur Welt und dieses führte ins Vertrauen
Ich sah meine Welt mit anderen Augen als bisher
Seit dem ich weiß, was ich brauche, brauche ich soviel gar nicht mehr

Vieles aber vieles war das Gift für Körper, Geist und Zeit
Und zwischen Wüste und dem Garten Eden, versteckt sich noch die Wirklichkeit
Vieles aber vieles ist in mir aber auf Fels gebaut
Freunde sind wie Schild und Schwert, heiliges Gut, und einfach so viel Wert

Will euch erzählen was ich mich fragte
Weißt du wirklich wer du bist?
Nein so dachte ich mir irgendwann
Greif ruhig nach den Sternen, aber alle kriegst du nicht
Nimm nur die dir was wert sind
Die dich führen und für dich zählen";https://genius.com/Freiwild-was-du-liebst-lass-frei-lyrics;"Released February 4, 2013
Copyright ©

    
      Rookies & Kings
Phonographic Copyright ℗

    
      Rookies & Kings
Distribution

    
      Soulfood Music
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Holger Fichtner
Label

    
      Rookies & Kings
Producers

    
      Alex Lysjakow, Jörg Wartmann & Philipp Burger
Writers

    
      Philipp Burger
Bass

    
      Jochen Gargitter
Copyright ©

    
      Rookies & Kings
Distribution

    
      Soulfood Music & SPV GmbH"
Frei.Wild;Mehr als 1000 Worte;Still;"Alles und nichts ist zuviel, lässt mich heute im Stich
Und der Traum von uns beiden, der ist gestern gestorben
Ich konnte die Zukunft sehen, sie muss doch weitergehen
Kann deine Worte hören, wir werden zusammenleben
Warst dir auch irgendwann mal sicher
Unsere Liebe sollte niemals, sollte niemals vergehen

Doch deine Augen sagen mehr als tausend Worte
Schau mir bitte ins Gesicht, sie sagen mir
Dass dein Herz noch zu mir steht
Sag mir die Wahrheit, sag mir den Grund
Und wir gehen getrennte Wege
Ich will die Wahrheit kennen, ich muss alles wissen
Nach der Wahrheit schreit auch dein Gewissen

Sagst, es ist aus zwischen uns, ich muss dir gar nichts mehr sagen
Bist mir gar nichts mehr schuldig, Fragen über Fragen
Komm, lass uns Freunde bleiben, das wird das Beste sein
Ich verfolge deinen Blick, du meidest meine Richtung
Was versuchst du mit mir, schenkst mir null Überzeugung
Jedoch musst du verstehen, ich lass dich sicher nicht gehen

Doch deine Augen sagen mehr als tausend Worte
Schau mir bitte ins Gesicht, sie sagen mir
Dass dein Herz noch zu mir steht
Sag mir die Wahrheit, sag mir den Grund
Und wir gehen getrennte Wege
Ich will die Wahrheit kennen, ich muss alles wissen
Nach der Wahrheit schreit auch dein Gewissen
Schreit auch dein Gewissen

Doch deine Augen sagen mehr als tausend Worte
Schau mir bitte ins Gesicht, sie sagen mir
Dass dein Herz noch zu mir steht
Sag mir die Wahrheit, sag mir den Grund
Und wir gehen getrennte Wege
Ich will die Wahrheit kennen, ich muss alles wissen
Nach der Wahrheit schreit auch dein Gewissen

Weil ich dich liebe, weil du mich liebst
Und es sonst keine Zukunft gibt
Sag mir die Wahrheit, sag mir den Grund
Und wir gehen getrennte Wege
Ich will die Wahrheit kennen, ich muss alles wissen
Nach der Wahrheit schreit auch dein Gewissen
Schreit auch dein Gewissen, dein Gewissen
Schreit auch dein Gewissen, dein Gewissen
Schreit auch dein Gewissen";https://genius.com/Freiwild-mehr-als-1000-worte-lyrics;"Released February 4, 2013
Copyright ©

    
      Rookies & Kings
Phonographic Copyright ℗

    
      Rookies & Kings
Distribution

    
      Soulfood Music
Photography

    
      Patrick Schneiderwind & Holger Fichtner
Artwork

    
      Holger Fichtner
Label

    
      Rookies & Kings
Producers

    
      Alex Lysjakow, Jörg Wartmann & Philipp Burger
Writers

    
      Philipp Burger
Bass

    
      Jochen Gargitter
Copyright ©

    
      Rookies & Kings
Distribution

    
      Soulfood Music & SPV GmbH"
