"","artist","title","album","text","url","metadata"
"1","Die Ärzte","Punkbabies","5 6 7 8 bullenstaat","Punkbabies, Punkbabies, Punkbabies, PunkbabiesJede Punkermutti wird bald schwanger seinWir ficken uns unsere ArmeeDann machen wir euch einFicken, ficken, ficken - gegen das SystemFicken, ficken, ficken - ihr könnt nicht überlebenPunkbabies (mit Schleppscheiße geboren)Punkbabies (eure Zukunft ist schnorren)Punkbabies (scheiß auf Eltern, scheiß auf Staat)Punkbabies (unsere unheilige Saat)Punkbabies!","https://genius.com/Die-arzte-punkbabies-lyrics","Released 2001
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Ernst-August Wehmer & 4 more"
"2","Die Ärzte","West Berlin","5 6 7 8 bullenstaat","Wir kommen aus dem SchwabenlandUnd wollen nicht zum BundDer Dienst an der Waffe ist einfach nicht gesundWir wollen doch in Ruhe Soziologie studierenUnd nicht bei der Bundeswehr den ganzen Tag marschierenDoch es gibt eine LösungIch weiß auch schon wohin wir ziehen - West BerlinDenn wenn man hier wohnt, muß man nicht dienenIch will keine Uniform, ich lieg' nicht gern im DreckIch mag keine Panzer, Panzer müssen wegIch hasse schwarze Stiefel und auch KartoffelschalenIch gehe jetzt nach Kreuzberg und Papa darf bezahlenJa, ich freu mich auf morgenIch freu mich auch schon tierisch auf die Scene - West BerlinDie Stadt mit der Mauer, ja da gehen wir hinWir gehen nach West Berlin (weißt Du, Kerl)","https://genius.com/Die-arzte-west-berlin-lyrics","Released 2001
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Ernst-August Wehmer & 4 more"
"3","Die Ärzte","Mc Donalds","5 6 7 8 bullenstaat","Mc Donalds!Mampf, mampf - Bauch voll!Mampf, mampf - Kopf leer!Mampf, mampf - Bauch voll!Mampf, mampf - Kopf leer!Mc Donalds!","https://genius.com/Die-arzte-mc-donalds-lyrics","Released 2001
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Ernst-August Wehmer & 4 more"
"4","Die Ärzte","Bravopunks","5 6 7 8 bullenstaat","Ihr wollt echte Punker sein, da lacht doch jedermannIhr abgefuckten Bravopunks ihr kotzt uns total anDie Punkbewegung braucht so Penner wie euch wirklich nichtKommt her mit eurem Plastikmüll, wir spucken euch ins GesichtÄrzte - Kings of PunkkommerzÄrzte - Punkrock ohne HerzPunkverräter!Farin, Bela, ihr seid Schwule:Sahnie ist der einzig CooleScheiß auf Farin und die BandePunkrock ist der Herr I'm Lande","https://genius.com/Die-arzte-bravopunks-lyrics","Released 2001
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Ernst-August Wehmer & 4 more"
"5","Die Ärzte","A-Moll","5 6 7 8 bullenstaat","A-moll a-moll g g f fA-moll a-moll c c dA-moll a-moll g g f fA-moll a-moll c c dA-moll cA-moll cA-mollA-moll a-mollC c d","https://genius.com/Die-arzte-a-moll-lyrics","Released 2001
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Ernst-August Wehmer & 4 more"
"6","Die Ärzte","Chile 3","5 6 7 8 bullenstaat","Zerfetztes Fleisch an der TodeswandPinochet schüttelt der un die HandCNI geht auf MenschenjagdErschossen wird, der Widerstand wagtLa resistencia venceráLa junta cairá!La resistencia venceráLa junta cairá!Zerfetztes Fleisch an der Hinrichtungswand!Pinochet schüttelt der un die HandCNI geht auf MenschenjagdErschossen wird, der Widerstand wagtLa resistencia venceráLa junta cairá!La resistencia venceráLa junta cairá!","https://genius.com/Die-arzte-chile-3-lyrics","Released 2001
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Ernst-August Wehmer & 4 more"
"7","Die Ärzte","Elektrobier","5 6 7 8 bullenstaat","Computerbulle naschst den TransistordoghnutWomit spülst Du ihn runter?Womit spülst Du ihn runter?Mit 'nem Elektrobier (Elektrobier)!Elektrobier (Elektrobier), Elektrobier (Elektrobier), Elektrobier (Elektrobier)Roboterpunker, womit trinkst Du Dir Mut anFür Deinen Widerstand gegen Computerbullen?Mit 'nem Elektrobier (Elektrobier)!Elektrobier (Elektrobier), Elektrobier (Elektrobier), Elektrobier (Elektrobier)","https://genius.com/Die-arzte-elektrobier-lyrics","Released 2001
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Ernst-August Wehmer & 4 more"
"8","Die Ärzte","Deutschland Verdrecke","5 6 7 8 bullenstaat","Ich will mich nicht waschenDas ist schlecht für meine FlechtenMeine Läuse sind allergisch gegen ReinigungAuf 'ne Dusche oder Schaumbad kann ich gut und gern verzichtenDeutschland verdrecke!","https://genius.com/Die-arzte-deutschland-verdrecke-lyrics","Released 2001
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Ernst-August Wehmer & 4 more"
"9","Die Ärzte","That’s Punkrock","5 6 7 8 bullenstaat","Yeah, that's Punkrock!Yeah, that's Punkrock!Ich trete meinen Hund, ich trete gegen Lampen (yeah, that's Punkrock!)Ich trete gegen Eier, ich trete gegen Pampen (yeah, that's Punkrock!)Ich trete mir die Füße ab bevor ich Mutti trete (yeah, that's Punkrock!)Ich trete wenn ich kacke, ich trete wenn ich bete (yeah, that's Punkrock!)Yeah, that's Punkrock!Ich trete gegen Bänke, ich trete gegen Latrinen (yeah, that's Punkrock!)Ich trete gegen Schränke, ich trete auch auf Minen (yeah, that's Punkrock!)","https://genius.com/Die-arzte-thats-punkrock-lyrics","Released 2001
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Ernst-August Wehmer & 4 more"
"10","Die Ärzte","Hass Auf Bier","5 6 7 8 bullenstaat","[Intro]Hass auf BierHass auf Bier[Strophe 1]Alle haben 'nen Waschbrettbauch (Hass auf Bier)So einen will ich auch (Hass auf Bier)Ich hab' nicht mal Kraft (Hass auf Bier)Elender Gerstensaft (Hass auf Bier)Hass auf Bier! (Hass auf Bier)Hass auf Bier! (Hass auf Bier)[Strophe 2]Du bist schuld, dass ich so bin (Hass auf Bier)Fette Pocke, Doppelkinn (Hass auf Bier)Mein Zahnfleisch geht zurück (Hass auf Bier)Bier bringt mir kein Glück (Hass auf Bier)Ich muss immer pissen gehen (Hass auf Bier)Machst auch Punkermuttis schön (Hass auf Bier)Gesegnet ist, wer dich nicht kennt (Hass auf Bier)Du schmeckst leider exzellent (Hass auf Bier)Hass auf Bier!","https://genius.com/Die-arzte-hass-auf-bier-lyrics","Released 2001
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Die Ärzte, Ernst-August Wehmer & 4 more"
