"","artist","title","album","text","url","metadata"
"1","Die Ärzte","Ist das noch Punkrock?","Auch","[Gesprochenes Intro]""Läufts?""""Herrlich""""Hahahaha""[Strophe 1: Farin Urlaub]""Fick dich und deine Schwestern""Hast du dir tätowiertNo Future - das war gesternSeitdem ist viel passiert:Sie heißt Andrea, ihre Haare sind blauIhr habt Verkehr und du gibst es zwar nicht zuAber sie ist deine Traumfrau[Refrain: Farin Urlaub]Aber ist das noch Punkrock -Wie dein Herz schlägt, wenn sie dich küsst?Ist das noch Punkrock -Wenn euer Lieblingslied in den Charts ist?Das hat so den Coolnessfaktor von einem Gartentraktor -Ist das noch Punkrock?Ich glaube nicht[Strophe 2: Farin Urlaub]Früher warst du dabei, wenn eine Wanne brannteDieses Jahr am ersten Mai besuchst du ihre TanteSeit es Andrea gibt, kommst du nicht mehr saufenIhr geht zu Ikea, um euch für die neue BudeEine Küche zu kaufen[Refrain: Farin Urlaub]Aber ist das noch Punkrock -Wie dein Herz schlägt, wenn sie dich küsst?Ist das noch Punkrock -Dass euer Lieblingslied in den Charts ist?Ich will euch nicht den Spaß verderbenAber musste Sid dafür sterben?Ist das noch Punkrock?Mh-mh[Bridge: Farin Urlaub]Du machst nichts mehr ohne sieIhr seid so ein bisschen wieTom Cruise und ScientologyGefährlich, gefährlichGut geht das auf Dauer nichtDu verstehst meine Trauer nichtDas ist wirklich bedauerlichGanz ehrlich, denn –
[Refrain: Farin Urlaub]Ist das noch Punkrock -Wie dein Herz schlägt, wenn sie dich küsst?Ist das noch Punkrock -Wenn euer Lieblingslied in den Charts ist?Ihr solltet euch immer fragen:Was würde Stiv Bators sagen?Ist das noch PunkrockIch glaube nicht","https://genius.com/Die-arzte-ist-das-noch-punkrock-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"2","Die Ärzte","Bettmagnet","auch","[Strophe 1]Der Fernseher vorm Bett war keine gute IdeeDenn er is daran schuld, dass wir kaum noch rausgehenNur noch einen Film und schon ist es zu spätSchon ist er wieder an, der verdammte BettmagnetDrück doch mal auf Stopp, ich hol mir mal ein EisDer Kühlschrank, der ist leer - was soll der Scheiß?[Refrain]Wer holt uns hier raus?Wer hört unser Schreien?Denn aus eigener Kraft können wir uns nicht befreien, ohWer holt uns hier raus?Oder kann uns schnell noch eine Pizza mitbestellen?[Strophe 2]Da drückst du auf Stopp, wir fallen übereinander herDas Einzige, was hilft gegen üble CliffhangerNachspiel fällt heut aus, die Serie ist noch drinUnd ich weiß, dass ich verliebt in dich bin[Refrain]Wer holt uns hier raus?Wer hört unser Schreien?Denn aus eigener Kraft können wir uns nicht befreien, ohWer holt uns hier raus?Oder kann uns schnell noch eine Pizza mitbestellen?[Strophe 3]Durch die Jalousie fällt das SonnenlichtDoch unsere Lethargie stört das grad mal nichtFür jede Gegenwehr ist es längst zu spätWir können fast nicht mehr, du gottverdammter BettmagnetSchade um die Zeit, die uns so verrinntUnser Problem ist, dass wir magnetisch sind[Refrain]Wer holt uns hier raus?Wer hört unser Schreien?Denn aus eigener Kraft können wir uns nicht befreien, ohWer holt uns hier raus?Oder kann uns schnell noch zwei FalafelEine Portion Waffeln, Eis und Pommes FritosUnd ein paar Burritos und die neuesten VideosGerne auch anspruchslos mitbestellen?","https://genius.com/Die-arzte-bettmagnet-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"3","Die Ärzte","Sohn Der Leere","Auch","Da ist nicht so vielRegeln ohne Spiel. (Oh yeah, uhuhu)Bis zum HorizontIst niemand, der hier wohntEs braucht ja auch kein WortEs ist niemand an diesem Ort (Oh yeah, uhuhu)Nord, Süd, Ost und WestNicht mal ein kleiner Rest!Das große UngenieDer Meister der Amnesie. (Oh yeah)Habe die EhreIch bin der Sohn der absoluten Leere[x2]Früher waren hier noch WiesenElfen, Einhörner und Riesen. (Oh yeah, uhuhu)Dann kam der große KnallUnd alles verschwand im AllDas große UngenieDer Meister der Amnesie. (Oh yeah)Habe die EhreIch bin der Sohn der absoluten Leere[x4]","https://genius.com/Die-arzte-sohn-der-leere-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"4","Die Ärzte","TCR","auch","[Strophe 1]Hey du siehst wirklich gut aus heute, du hast StilUnd das nicht nur von vorne, auch im ProfilDeine Frisur gefällt mir, ziemlich subtilErinnert mich ein bisschen, an Kim Jong Il.Und viel von dem, was du sagst ist richtigViel von dem, was du sagst ist schlauViel von dem, was du tust ist wichtigUnd das weißt du auch genauDu sagst 1000 neue Bücher, hast du dir grad gekauftDu stellst immer wieder Fragen und kriegst keine Antwort draufAbends liegst du manchmal wach, fragst was mach ich hier?Beginnst ein neues Leben, und was machen wir?[Refrain 1]Wir kümmern uns um den RockWir sorgen für die musikalische BegleitungUnd niveautechnische GrenzwertunterschreitungAb und zuWir kümmern uns um den RockWir sorgen für ganzen schönen MelodienWir ham' uns oft die Kehlen wund geschrienJetzt kommst du[Strophe 2]Ihr seid sympathisch Leute, ihr habt GeschmackUnd das ist echt mal n schicker Pick up TruckUnd viel von dem was ihr macht ist lustigViel von dem was ihr was ihr denkt genialViel von was ihr wisst, das wusst' ichAnderes hör ich zum ersten MalIhr lernt 60 neue Sprachen, fahrt ständig um die WeltIhr lagt schon vor Madagaskar, was habt ihr da wohl bestelltIhr habt zu allem eine Meinung, und die bringt ihr zu PapierIhr habt nur eine Frage: Was bitteschön tun wir?[Refrain 2]Wir kümmern uns um den RockWir sorgen für die ganzen lächerlichen PosenPflegen unsere RückprofilneurosenUnd mehrWir kümmern uns um den RockWir sorgen dafür, dass ihr alle auf und ab springt,Und dabei auch genau das selbe Lied singtUngefährWir kümmern uns um das Hey HeyWir sorgen immer wieder gern für EndorphineWir sind ne gottverdammte Rock maschineYeah yeah
[Outro]Wir kümmern uns um das ...Wir sind auch zuständig für ...Natürlich können wir auch ...Oder wie wärs mit etwas ...","https://genius.com/Die-arzte-tcr-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"5","Die Ärzte","Das Darfst Du","auch","Du willst nicht mehr dazugehören, in der Masse niemand störenEin Leben, dass nicht deines ist sondern ihresStell dir vor es ist vorbei, plötzlich fühlst du dich freiEs ist an der Zeit, dass du kapierst:Nur weil die Angst regiert, heißt das nicht das du auch welche hastDu weißt doch detailliert was dir nicht passtKomm setz dich zur wehr, stell dich einmal querDer nette Typ nicht mehr, denn das darfst duMachs doch einfach nicht und verweiger dichDenn das darfst du, ja das musst duJa das musst duNur weil die Angst regiertDu frisst nicht mehr was alle fressen, lässt dich nicht am Mittelmaß messenDir wird endlich bewusst, was du alles nicht musstWeil alle ihren Kopf ausruhen, musst du es nicht genauso tunWeil du selbständig denkst und dich nicht ständig verschränkstNur weil die Angst regiert, heißt das nicht das du auch welche hastDu weißt doch detailliert was dir nicht passtKomm setz dich zur wehr, stell dich einmal querDer nette Typ nicht mehr, denn das darfst duMachs doch einfach nicht und verweiger dichDenn das darfst du, ja das musst duJa das musst duDu setzt dich zur wehr, denn das darfst duUnd du stellst dich quer, der nette Typ nicht mehrDenn das darfst du, ja das musst duJa das musst du","https://genius.com/Die-arzte-das-darfst-du-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"6","Die Ärzte","Tamagotchi","auch","Ich fand dich irgendwo im Müll und hatte sofort das GefühlDass das so viel mehr als nur ein Zufall warIch sah dich an, wie du da lagst, mir war so, als ob du mir sagst:„Bitte nimm mich mit und sei immer für mich da""Ich muss es kaum erwähnen - es war um mich geschehenTamagotchi, TamagotchiIch hab dich großgezogenDoch unsere Zeit ist schnell verflogenTamagotchi, TamagotchiMein Kind aus einer anderen ZeitWo bist du denn, wie gehts dir heut?Es kam der Tag, ich ließ dich gehen - wolltest auf eigenen Füßen stehenIn dieser schlechten Welt so voller Hass und FurchtBist du jetzt auf der schiefen Bahn, irrst durch Berlin im Drogenwahn?Oder ziehst du doch ein Jurastudium durch?Die Ungewissheit bringt mich um, bleib doch nicht stummTamagotchi, TamagotchiIch fühl mich desolaterMeld dich doch bei deinem VaterTamagotchi, TamagotchiWir müssen echt mal wieder speakenDu bist doch mein kleines KükenTamagotchi, TamagotchiDenkst du an mich noch ab und zu?Ich bin hier, nur wo bist du?Wo bist du hin?Ich bin hier, nur wo bist du?Ich bin hier, nur wo bist du?","https://genius.com/Die-arzte-tamagotchi-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"7","Die Ärzte","M&F","Auch","[Verse 1]Man sieht sie gern am WochenendeSportlich, moderne Herren mit heißem BlickSie zerren frisch gestrichene DamenAuf die Tanzflächen der Republik[Verse 2]Das Balzverhalten erwachsener MenschenIst interessanter als so mancher glaubtVon Brusthaartoupet bis BotoxmaskeIn Krieg und der Liebe ist alles erlaubt[Chorus 1]Männer und Frauen sind das nackte GrauenWie sie sich stundenlang tief in die Augen schauenUnd die Frauen anderen Frauen ihre Männer klauenUnd die Männer an den Frauen ihren Frust abbauenDenn Männern und Frauen ist zuzutrauenDas sie sich gegenseitig gerne die Nacht versauenWenn sie schmachten bis zum MorgengrauenUnd dann doch wieder allein nach Haus abhauen[Verse 3]Sie liegen schon mittags in den BüschenNachts kann man kaum noch durch den Stadtpark gehenRomantische Schwärmer nennen es „Liebe“Ich würde sagen: „Hier kann man Hormone bei der Arbeit sehen.“[Bridge]Und wenn sie die Beleuchtung dimmenEine Nation im StangenfieberIm Frühling ist's besonders schlimmDarum ist mir der Winter einfach lieber[Chorus 2]Denn Männer und Frauen sind das nackte GrauenWie sie sich stundenlang tief in die Augen schauenUnd die Frauen anderen Frauen ihre Männer klauenUnd die Männer sowieso nur Häuser bauenManche Männer lieben Männer, Manche Frauen eben FrauenDa gibt's nichts zu bedauern und nichts zu staunenDas ist genau so normal wie Kaugummi kauenUnd die meisten werden sich das niemals trauen","https://genius.com/Die-arzte-m-f-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"8","Die Ärzte","Freundschaft Ist Kunst","auch","[Strophe 1]Punk ist der Mainstream jetzt, mach du mal schön dein DingVerzeih, wenn ich jetzt keine Parolen mehr mit dir singDein Zorn ficht mich nicht an, hab mich verändert, MannUnd da kommst du mir dumm, hau ab, ich häng mit Künstlern rum[Refrain 1]Ich häng mit Künstlern rum, häng jetzt mit Künstlern rumDein Lebenskompromiss war mit schon lange viel zu krummIch häng mit Künstlern ab, da weiß ich, was ich habMach mit oder bleib stumm, denn ich häng jetzt mit Künstlern rum[Strophe 2]Und ihre Andersartigkeit, die nehm ich gern in KaufIch war gelangweilt, hatte Zeit - sie hielten mir die Türe aufSie leben exzessiv, nur in der Enge freiSie sind stets depressiv und haben ihren Spaß dabei[Refrain 1][Refrain 2]Ich häng mit Künstlern rumMal sehen wohin das führtIch weiß genau warumIch habe es gleich gespürtDass ich dazu gehörDas macht mich interessantIch fühl mich elitär und du, du nennst mich arrogant[Refrain 1][Outro]Ich häng mit Künstlern rumHäng jetzt mit Künstlern rumIch häng mit Künstlern abMach mit, oder bleib stumm, denn ich häng jetzt mit Künstlern rum(Art!)","https://genius.com/Die-arzte-freundschaft-ist-kunst-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"9","Die Ärzte","Angekumpelt","auch","Ich kenn dich nicht, weil ich dich nicht kennen willDu interessierst mich nicht, in meinem Schacht ist heute SchichtWas heißt hier heute, es ist eigentlich immer soIch bin gern allein - was könnte denn noch schöner sein?Als hier zu sitzen, so wie gesternÜber Typen wie dich lästernIch kann dir jetzt schon Ärger prophezeienIch will nicht blöd angekumpelt seinMan sieht dir wirklich sofort an, dass du Anschluss suchstDu willst Freunde adden, ich bin heut dein ArmageddonIch brauch keine Nacktschnecken, die nur Müll erzählenLass mich dir erklären, ich möchte nicht mit dir verkehrenWenn du dich auf dem Mond befändestUnd mir von dort Signale sendestWär mir der Abstand immer noch zu kleinIch will nicht blöd angekumpelt seinWären du und ich die Letzten hier auf ErdenDann steht festWir würden keine Freunde werdenHätt ichs endlich rausgeschafftNach zwanzig Jahren IsohaftUnd müsste deine Fresse sehenIch würd freiwillig zurückgehenWär lieber noch mal zehn Jahre alleinAls von dir blöd angekumpelt seinIch will nicht blöd angekumpelt seinWill nicht blöd angekumpelt sein","https://genius.com/Die-arzte-angekumpelt-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
"10","Die Ärzte","Waldspaziergang mit Folgen","auch","[Strophe 1]Ich ging spazieren im Wald, ich musste einfach hinausDas sah ich ein Stück Holz, das sah heilig ausAlso steckte ich es ein, nahm es mit nach HausUnd da schnitzte ich mir einen Gott daraus[Refrain 1]Dann hab ich meinen Gott ins Regal gestelltDa hat er einen schönen Ausblick über die WeltUnd solang er nichts verspricht, was er später nicht hältMuss ich sagen, dass mir Gott ziemlich gut gefälltWenn auch andere behaupten, das wäre nicht normalIch habe einen Gott bei mir im Regal[Strophe 2]Und schon bald darauf begannen ein paar Wunder zu geschehen:Ich wurde unglaublich reich und noch unglaublicher schönIch brachte Lahme zum Rennen und die Blinden zum SehenUnd natürlich konnte ich auch über Wasser gehen[Refrain 2]Ich hab mir einen Gott ins Regal gestelltUnd ich hoffe, dass er dort nicht hinunterfälltUnd solang er nichts versprichtWas er später nicht hältIst er doch eine Bereicherung für diese WeltAuch wenn andere behaupten, ich wäre nicht normalIch habe einen Gott (einen Gott, einen Gott) bei mir im Regal[Strophe 3]Jetzt hatte ich alles: Ruhm, Reichtum und MachtDoch man weiß, wie sowas ausgeht, hab ich mir gedachtUnd so hab ich ihn genommen, irgendwann in der NachtUnd hab ihn wieder zurück in den Wald gebracht[Refrain 3]Ich hab mir einen Gott ins Regal gestelltIch hätte vorher nie gedacht, dass er mir so gut gefälltUnd solange er da stand, war er wirklich mein HeldIch hielt ihn für den besten Gott der WeltAndere Leute haben Bücher, das wär mir zu banalIch hatte einen Gott (ja, ja einen Gott) bei mir im Regal","https://genius.com/Die-arzte-waldspaziergang-mit-folgen-lyrics","Released April 13, 2012
Producers

    
      Die Ärzte
Writers

    
      Bela B, Farin Urlaub & Rodrigo González
Composed by

    
      Farin Urlaub"
