"","artist","title","album","text","url","metadata"
"1","Die Ärzte","Ohne Dich","Das ist nicht die ganze wahrheit","Wollt ihr die Wahrheit hör'n? - NEIN![Verse 1]Wenn ich dich sehe, wird mir schlecht (wird mir so schlecht)Bei dem Gedanken an dich bekomm ich AusschlagBitte spring doch aus dem Fenster (los spring schon)Ich steh dann unten und ich freu mich auf den Aufschlag[Pre-Chorus]Was haben deine Eltern der Menschheit angetan?Warum legst du dich nicht unter eine Straßenbahn?Du bist nicht zu ertragen, du bist so widerlichDie Welt könnte so schön sein[Hook]Ohne dichOhne dich[Verse 2]Wenn du irgendwann Geburtstag hast (Geburtstag hast)Bitte ich dich sehr, mich einzuladenIch schenk dir ein paar Schuhe aus Beton (Salamander)Die ziehst du an, hahaUnd dann geh'n wir baden![Pre-Chorus]Eine tote Qualle hat in etwa dein NiveauMit der Visage wirst du Star in jeder MonstershowFahr zur Hölle, fall tot um, begreifst du es denn nicht?Die Welt könnte so schön sein[Hook]Ohne dichOhne dich","https://genius.com/Die-arzte-ohne-dich-lyrics","Released 1988
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B & Farin Urlaub"
"2","Die Ärzte","Baby Ich Tu’s","Das ist nicht die ganze wahrheit","[Strophe 1]Wer deckt dich mit Rosen zu?Wer kämpft für dich mit Kängurus?Wer wird verrückt, von deinem Blick?Wer baut Kathedralen für dich?Wer leidet gern Qualen für dich?[Pre-Chorus 1]Sag welcher MannTut was er kannBaby welcher Mann tut das für dich?[Chorus]Baby ich tu's, Baby ich tu's, Baby ich tu'sBaby ich tu's, Baby ich tu's, Baby ich tu'sBaby ich tu's, Baby ich tu'sBaby ich tu's, Baby ich tu'sBaby ich tu's, Baby ich tu es für dich[Strophe 2]Wer legt wenn's sein muss dir ein Ei?Wer schmilzt für dich den Nordpol frei?Wer will sein Leben nur für dich geben?Wer wird für dich zum Tier?Wer findet das ""G"" in dir?[Pre-Chorus 2]Sag welcher MannBetet dich anBetet dich an genau wie ich?[Chorus]Baby ich tu's, Baby ich tu's, Baby ich tu'sBaby ich tu's, Baby ich tu's, Baby ich tu'sBaby ich tu's, Baby ich tu'sBaby ich tu's, Baby ich tu'sBaby ich tu's, Baby ich tu es für dich[Outro]Baby ich tu's, Baby ich gebe deinen Träumen StoffBaby ich tu's mit der Wucht einer KalaschnikoffBaby ich tu's.... Baby ich möchte dich für mich alleinMöchte immer in dir sein","https://genius.com/Die-arzte-baby-ich-tus-lyrics","Released 1988
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B & Farin Urlaub"
"3","Die Ärzte","Komm Zurück","Das ist nicht die ganze Wahrheit…","[Strophe 1]Ich bin allein. Du bist nicht hierIch bin allein und die Zeit steht stillWarum bist Du nicht bei mir?Du weißt, daß ich nichts anderes willIch bin allein und Du rufst nicht anDu bist weit weg und suchst Dein GlückObwohl Du mich nicht hören kannst[Refrain]Sag ich Dir: ""Bitte, komm zurück!""Komm zurück, komm zurück, komm zurück[Strophe 2]Du kannst nicht wissen wie das istVielleicht wirst Du es nie verstehen?Ich will nur, daß Du bei mir bistIch will Dich endlich wiedersehenIch sitze hier und ich bin alleinUnd langsam werde ich verrücktIch kann nicht mehr alleine sein[Refrain]Bitte, oh bitte komm zurück!Komm zurück, oh bitte komm zurück, komm zurückIch bin allein. Was soll ich hier?Bitte, komm zurück zu mir!Ich liege wach bis nachts um vierBitte, komm zurück, zurück zu mirKomm zurück","https://genius.com/Die-arzte-komm-zuruck-lyrics","Released 1988
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B & Farin Urlaub"
"4","Die Ärzte","Wilde Welt","Das ist nicht die ganze wahrheit","[Strophe 1]Es ist früh am Morgen - 15 UhrMein Wecker klingelt - ich bleib' sturGestern zuviel Freunde, zuviel BierWer ist denn das Mädchen neben mir?Oohooo, ich schneid mir 'ne TonsurUnd dann geh' ich auf Tour[Refrain](Meine wilde Welt)Ich hab' kein Chef und kein Büro (meine wilde Welt)Was will ein wildes Tier im Zoo (meine wilde Welt)?Ich hab' das Spiele spielen satt (meine wilde Welt)Ich bin am Zug, ihr seid schachmatt[Strophe 2]Neben mir ein Porsche - ein DuellEin Porsche, der ist teuer - ich bin schnellMeine Lederjacke riecht nach TierEy, Du Schnecke kommst Du mit zu mir?Oohooo, ich streich' erst meinen FlurUnd dann gibt's Rambo pur[Refrain](Meine wilde Welt)Ich hab' kein Chef und kein Büro (meine wilde Welt)Was will ein wildes Tier im Zoo (meine wilde Welt)?Ich hab' das Spiele spielen satt (meine wilde Welt)Ich bin am Zug, ihr seid schachmatt[Bridge]Fahrt ihr mal schön in Kur. Ich geh derweil auf TourLaut Musik - eine wilde WeltDisco-Krieg - eine wilde WeltNiemals nein - eine wilde WeltAlles meins - meine wilde Welt[Refrain]Ich hab' kein Chef und kein Büro (meine wilde Welt)Was will ein wildes Tier im Zoo (meine wilde Welt)?Ich hab' das Spiele spielen satt (meine wilde Welt)Ich bin am Zug, ihr seid schachmatt","https://genius.com/Die-arzte-wilde-welt-lyrics","Released 1988
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B & Farin Urlaub"
"5","Die Ärzte","Westerland","Das ist nicht die ganze wahrheit","[Strophe 1]Jeden Tag sitz ich am WannseeUnd ich hör den Wellen zuIch lieg hier auf meinem HandtuchDoch ich finde keine Ruh![Pre-Chorus]Diese eine Liebe wird nie zuende geh'n!Wann werd' ich sie wiedersehen?[Strophe 2]Manchmal schließe ich die AugenStell' mir vor ich sitz' am MeerDann denk' ich an diese InselUnd mein Herz das wird so schwer![Pre-Chorus]Diese eine Liebe wird nie zu Ende geh'n!Wann werd' ich sie wiedersehen?[Refrain]Oh, ich hab' solche SehnsuchtIch verliere den Verstand!Ich will wieder an die Nordsee, ohohoIch will zurück nach Westerland![Strophe 3]Wie oft stand ich schon am UferWie oft sprang ich in die Spree?Wie oft mussten sie mich rettenDamit ich nicht untergeh'?[Pre-Chorus]Diese eine Liebe wird nie zu Ende geh'n!Wann werd' ich sie wiedersehen?[Refrain]Oh, ich hab' solche SehnsuchtIch verliere den Verstand!Ich will wieder an die NordseeIch will zurück nach Westerland!
[Bridge]Es ist zwar etwas teurerDafür ist man unter sichUnd ich weiß jeder Zweite hierIst genauso blöd wie ich[Refrain 2]Oh, ich hab' solche SehnsuchtIch verliere den Verstand!Ich will wieder an die Nordsee, ohohoIch will zurück nach WesterlandOh, ich hab' solche SehnsuchtIch verliere den VerstandIch will wieder an die NordseeIch will zurück, ich will zurückIch will zurück, ich will zurück nach Westerland!","https://genius.com/Die-arzte-westerland-lyrics","Released 1988
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B & Farin Urlaub"
"6","Die Ärzte","Ich Will Dich","Das ist nicht die ganze wahrheit","[Strophe 1]Ständig die Situation, ein hübsches Mädchen neben mirMan kennt sich schonIch tue sehr gebildet, bin ja nicht plattDoch was ich wirklich will steht auf 'nem anderen Blatt[Refrain]Mädchen, ich will DichBaby, das ist kein ScherzMädchen, ich will DichBaby, hier spricht mein HerzMädchen, mach mich nicht so anMach das nie mit einem Mann[Strophe 2]Sie sagt ich sei intelligent und dass ich zum GlückNicht nur an das eine denkeIch nicke viel und bin ganz OhrUnd stell' sie mir dabei schon im Nachthemd vohohor[Refrain]Mädchen, ich will DichBaby, das ist kein ScherzMädchen, ich will DichBaby, hier spricht mein HerzMädchen, mach mich nicht so anMach das nie mit einem MannMädchen, ich will DichBaby, das ist kein ScherzMädchen, ich will DichBaby, hier spricht mein HerzMädchen, mach mich nicht so anMach das nie mit einem Mann","https://genius.com/Die-arzte-ich-will-dich-lyrics","Released 1988
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B & Farin Urlaub"
"7","Die Ärzte","Elke","Das ist nicht die ganze Wahrheit…","[Strophe 1]Es fing an, als sie mich anrief, da war ich schon verlor'nIhre Stimme klang so zärtlich und so sanft in meinen OhrenSie schickte mir ein Foto, mein Herz blieb beinah steh'nSie sah aus wie eine Pizza, sie war wunder-wunderschönIch schrieb ihr einen Liebesbrief mit Rosenduft sogarUnd zwei Wochen später waren wir ein Liebespaar[Refrain]Elke, die fette Elke[Strophe 2]Wir haben uns getroffen, allein bei ihr zuhausSie sah noch viel-viel dicker als auf dem Foto ausIch schloss sie in die Arme, das heißt ich hab's versuchtIch stürzte in ihr Fettgewebe wie in eine SchluchtSie ist ein echter Brocken, drei Meter in Kubik, wah!Sie sieht so aus wie Putenbrust mit Gurke in Aspik[Refrain]Elke, die fette Elke (Uhahaha...)[Strophe 3]Ich war mit Elke essen, ganz schick mit KerzenscheinIch aß ein bisschen Tofu, sie aß ein ganzes SchweinElke ist so niedlich, Elke ist mein SchwarmIm Sommer gibt sie Schatten, im Winter hält sie warmSie hat zentnerschwere Schenkel, sie ist unendlich fettNeulich hab ich sie bestiegen, ohne Sauerstoffgerät[Refrain]Elke, die fette Elke (Wooaah!)Elke (Nie wieder die fette Elke!)[Strophe 4]Ich nannte sie mal Nilpferd, natürlich nur im ScherzDoch ich brach damit ihr dickes fettes HerzSie ist daran gestorben, mein süßer kleiner SchatzIch konnt' sie nicht begraben: auf dem Friedhof war kein Platz![Refrain]Elke, die fette ElkeElke, die fette Elke","https://genius.com/Die-arzte-elke-lyrics","Released 1988
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B & Farin Urlaub"
"8","Die Ärzte","Blumen","Das ist nicht die ganze wahrheit","[Strophe 1]Ich fuhr das Fleisch vom Schwein mir zentnerweise einUnd auch so manche Kuh hab ich schon verschlungenDoch mit dem Fleischgenuß ist für mich endlich SchlußMein Gewissen hat mich dazu gezwungen[PreChorus]Ich werd' niemals dick und rund weil ich mich gut ernähr'Von jetzt an leb' ich gesund und bin zu Tieren fairDenn für mich macht niemand Tiere tot ich leg' mirLöwenzahn aufs Brot - Halleluja ...(denn ich ess'...)[Refrain]Ich ess' Blumen, denn Tiere tun mir leidLieber Akazien statt 'nen dicken, fetten SchinkenIch ess' Blumen Fleisch bringt mir ÜbelkeitUnd die Fäkalien tun dann auch nicht mehr so stinken[Strophe 2]Wenn ich auch neidisch werd' wenn jemand Steak einzerrtIch esse Schnittlauch und ein Omelett mit RosenWenn's Würstchen noch so lacht es ist aus Tier gemachtNur meine Katzen fressen Kuh-Ragout aus Dosen[PreChorus]Ich werd' niemals dick und rund weil ich mich gut ernähr'Von jetzt an leb' ich gesund und bin zu Tieren fairDenn für mich macht niemand Tiere tot ich leg' mirLöwenzahn aufs Brot - Halleluja ...(denn ich ess'...)[Refrain]Ich ess' Blumen, denn Tiere tun mir leidLieber Akazien statt 'nen dicken, fetten SchinkenIch ess' Blumen Fleisch bringt mir ÜbelkeitUnd die Fäkalien tun dann auch nicht mehr so stinken","https://genius.com/Die-arzte-blumen-lyrics","Released 1988
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B & Farin Urlaub"
"9","Die Ärzte","Ausserirdische","Das ist nicht die ganze wahrheit","[Strophe 1]Ich ging nachts mit ihr durch den WaldIch hielt sie fest im Arm, denn es war sehr kaltAuf einer Lichtung blieben wir stehenSie gab mir einen Kuss und alles war schönNeben uns landete ein Ufo im GrasIch dachte ""Vorsicht Kamera"", ""Verstehen sie Spaß?""Doch dann ging eine Klappe auf und sie sprangen raus -Kleine, grüne Männchen und sie sahen böse aus[Refrain]Mein ganzes Leben hab' ich nicht an sie geglaubt -Ausserirdische haben mein Mädchen geraubt[Strophe 2]Als ich wieder zu mir kam war ich ganz alleinIch suchte meine Freundin. Wo konnte sie nur sein?Ich rief bei ihren Eltern an, doch sie war nicht zuhaus'Das ganze sah verteufelt nach Entführung ausJetzt sitz' ich jeden Abend an der Stelle, wo es geschahIch warte auf mein Mädchen, doch sie ist nicht mehr daNeulich kam ein Brief. Ich glaube er war von ihr""Schönen Gruß, mir geht's gut und ich glaub', ich bleibe hier.""[Refrain]Mein ganzes Leben hab' ich nicht an sie geglaubt -Ausserirdische haben mein Mädchen geraubtMein Sexualleben ist völlig ruiniert -Ausserirdische haben mein Mädchen entführt","https://genius.com/Die-arzte-ausserirdische-lyrics","Released 1988
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B & Farin Urlaub"
"10","Die Ärzte","Siegerin","Das ist nicht die ganze wahrheit","[Strophe 1]Was hast du für ein GlückDass du mich hier triffstEinstein und Superman in einemKrokodil auf dem HemdDie Swatch mit DiamantGlaub' mir, ich bin vom allerfeinstenDeine Glücksfee hat wirklichEinen guten GeschmackDeine Glücksfee hatte heute ihren guten Tag[Refrain]Du bist die SiegerinUnd ich bin dein HauptgewinnIch bin der Herr der HerrlichkeitDu bist die SiegerinWeil ich wirklich super bin[Strophe 2]Alle Mädchen kommen um vor NeidEins weißt du genauIch krieg hier jede FrauDoch ich will dich, du hast CharakterAber erst gib noch ein GlasChampagner ausMein Geld ließ ich versehentlichZuhausWas bist du doch für eineSüße Maus[Refrain 2]Du bist die SiegerinSieh wie gut gebaut ich binUnd doch auch kultiviertDu bist die SiegerinIm Reich der Sinne mitten drinBefriedigung ist garantiertDu bist die SiegerinDu bist ganz weg und hinIch bin ein echtes Monster im BettDu bist die SiegerinCome on Baby let me inI know I make your Panties wetDu bist die Siegerin","https://genius.com/Die-arzte-siegerin-lyrics","Released 1988
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B & Farin Urlaub"
