"";"artist";"title";"album";"text";"url";"metadata"
"1";"Die Ärzte";"Als ich den Punk erfand";"Geräusch";"[Strophe 1]Als ich den Punk erfandDa war das alles unerschlossenes LandAm Feuer saßen die Leute und brieten ihre BeuteUnd wuschen sich mit Sand, bis ich den Punk erfandUnd ohne Punk gäb's auch kein DosenpfandDenn Bier in freier Natur, das ist Punkrock purUnd auch höchst extravagant, weil ich den Punk erfandMann, was bin ich für eine crazy CuntUnd neben dem Bier ist auch als WertpapierDer Punk höchst interessantAm neuen Markt entwickelt er sich rasantUnd eins, das muss man ihm gönnenWas drei Akkorde so könnenIst wirklich exorbitant (Ein Glück)Dass ich den Punk erfand![Strophe 2]Als ich den Punk erfand (Punk erfand)Da hab ich eines leider nicht erkannt (Nicht erkannt)Skrupellose Exporteure verkaufen für ein paar OreDen Punk auch ans FeindeslandUnd die Gefahr ist wirklich eklatantUm nicht zu sagen hochbrisantAm besten, ich schaffe eine AbwehrwaffeGewaltig und imposantIn mühsamen ForschungsstundenZum Schutz der Gemeinde und gegen alle FeindeHab' ich den Jazz erfunden[Outro]Jazz, lebe JazzLebe!";"https://genius.com/Die-arzte-als-ich-den-punk-erfand-lyrics";"Released 2003
Featuring

    
      Celina Bostic, Gunter Gabriel & Martin Klempnow
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Donna Blitz, Farin Urlaub & 1 more"
"2";"Die Ärzte";"System";"Geräusch";"[Instrumental][Strophe 1]Ich stehe an der Ecke und warte auf den BusDu stehst auf Schokolade ohne HaselnussEr steht vor ihrer Tür und freut sich auf den ersten KussUnd sie steht kurz vor ihrem Schulabschluss[Refrain]Doch das SystemSteht noch immer für Unterdrückung und für UngerechtigkeitEs wird Zeit, es wird Zeit, dass wir was dagegen tun[Strophe 2]Der Bus kommt an und ich setze mich hineinDu setzt ein bisschen zu, ich schätze, das muss so seinEr setzt alles auf eine Karte, denn er ist nicht gern alleinUnd sie setzt sich für Flüchtlinge ein[Refrain]Nur das SystemSetzt noch immer auf Unterdrückung und GewissenlosigkeitEs wird Zeit, es wird Zeit, dass wir was dagegen tunDass wir was dagegen tunWir müssen was dagegen tun";"https://genius.com/Die-arzte-system-lyrics";"Released 2003
Featuring

    
      Celina Bostic, Gunter Gabriel & Martin Klempnow
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Donna Blitz, Farin Urlaub & 1 more"
"3";"Die Ärzte";"T-Error";"Geräusch";"[Strophe 1: Rod]Ich ruf dich an, du bist mein Gott der Rock 'n' Roll-MusikWie es dir geht, will wissen wie es in deinem Kopf aussiehtDu bist bestimm alleine und hast gerade voll viel ZeitDu brauchst mich doch - Du willst michGib mit mehr AufmerksamkeitIch ruf dich an, wähle die Zahlen[Refrain: Rod, Bela B.]Ich ruf dich an, ich ruf dich anDoch du gehst nicht ran/ doch du gehst nicht ranIch ruf dich an, ich ruf dich anDoch du gehst nicht ran/ doch du gehst nicht ranDu gehst nicht ran, du gehst nicht ranDu gehst nicht ran, du gehst nicht ran[Strophe 2: Rod]Ich hab schon tausendmal, Tag und Nacht, bei dir probiertVersucht dich anzurufen, doch du hast nicht reagiert(Geh doch ma' ran)Ich geb dir alles, was ich hab, du bist so undankbarBist arrogant und ignorant, spiel hier doch nicht den Star!Du wirst schon sehen, das Lachen wird dir vergehen[Refrain: Rod, Bela B.]Ich ruf dich an, ich ruf dich anDoch du gehst nicht ran/ doch du gehst nicht ranIch ruf dich an, ich ruf dich anDoch du gehst nicht ran/ doch du gehst nicht ranDu gehst nicht ran, du gehst nicht ranDu gehst nicht ran, du gehst nicht ran[Outro: Rod]Du gehst nicht ran! Ich weiss, wo du wohnstWo dein Auto steht, was du heute trägstWo du shoppen gehst, ich komm gleich mal rüberDann kriegst du eine drüber, ich will mein Geld zurückDu arrogantes Stück, ihr räudigen SteineIhr Rockstarschweine";"https://genius.com/Die-arzte-t-error-lyrics";"Released 2003
Featuring

    
      Celina Bostic, Gunter Gabriel & Martin Klempnow
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Donna Blitz, Farin Urlaub & 1 more"
"4";"Die Ärzte";"Nicht allein";"Geräusch";"[Strophe 1]Möchtest du dich ändern? Fehlt dir dazu der Mut?Weil es dir nicht wirklich schlecht geht, nur leider auch nicht gutWartest du schon lange auf den großen Augenblick?Fühlst du dich betrogen? Willst du dein Geld zurück?Du hast so viele Träume, doch du denkst, es wär zu spätUnd du glaubst, du bist der Einzige, dem es so geht[Refrain]Du bist nicht allein, du bist nicht alleinWir sind Legionen und wir werden bei dir seinDu bist nicht allein, du bist nicht alleinWir sind Millionen und wir werden noch mehr sein[Strophe 2]Fragst du dich nicht manchmal: Was wär gewesen, wenn?Möchtest du dein Leben noch mal von vorn beginnen?Du denkst, die ander'n wären glücklichWeil du sie nie weinen siehstUnd du glaubst du wärst der einzigeDen sie jemals vertrieben haben aus dem Paradies[Refrain]Du bist nicht allein, du bist nicht alleinWir sind Legionen und wir werden bei dir seinDu bist nicht allein, du bist nicht alleinWir sind Millionen und wir werden noch mehr sein[Bridge]- Oder nicht sein ist die Frage die sich stelltUnd die Angst zu versagen ist der AlptraumDer uns alle seit 2000 Jahren quält![Strophe 3]Wärst du gern erfolgreich? Wärst du gerne schön?Würd' es dir gefallen, im Mittelpunkt zu steh'n?Wärst du gerne glücklich, wärst du gern perfekt?Wir wol'ln nicht länger warten, wir haben es so sattWo sind all die schönen Dinge, die die WerbungJedem einzelnen von uns versprochen hat?[Refrain]Du bist nicht allein, du bist nicht alleinWir sind Legionen und wir werden bei dir seinDu bist nicht allein, du bist nicht alleinWir sind Millionen und wir werden noch mehr seinDu bist nicht allein, nicht alleinWir sind Legionen und wir werden bei dir seinDu bist nicht allein, nicht allein!Wir sind Millionen und wir werden noch mehr sein (sein...)";"https://genius.com/Die-arzte-nicht-allein-lyrics";"Released 2003
Featuring

    
      Celina Bostic, Gunter Gabriel & Martin Klempnow
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Donna Blitz, Farin Urlaub & 1 more"
"5";"Die Ärzte";"Dinge von denen";"Geräusch";"[Strophe 1]Neulich kam sie und redete zu vielÜber die Frau von einem besten Freund und ihr falsches SpielSie will nur sein Geld, Glamour und die große WeltDoch immer hält sie ihn fern und quält ihn gernMein Hals hat sich gewellt[Refrain]Das sind Dinge, von denen ich gar nichts wissen willLass mich doch in Ruh'Und texte mich nicht zuDas sind Dinge, von denen ich keine Ahnung haben willBehalt' den Kram für dichEs interessiert mich nicht![Strophe 2]Neulich kam er grad frisch von der OPKünstlicher DarmausgangNa schönen Dank - mein Hunger war passé!Er hörte nicht auf und ging mehr ins DetailIhm ist es wohl egal, ob ich's hören willIch wünschte mir ein Beil(Hack! Hack! Hack! Hack!)[Refrain]Das sind Dinge, von denen ich gar nichts wissen willLass mich doch in Ruh'Und texte mich nicht zuDas sind Dinge, von denen ich keine Ahnung haben willBehalt' den Kram für dichEs interessiert mich nicht![Bridge]Ich hör dir nicht zuLass mich in ruhMein Haus, mein Boot, mein PferdWie viel ist die Villa wert?Was ziehst du dir da in deine Nase?Marius-Müller OsterhaseMacht sie es mit dem MundOder mit Claudia Schiffers Hund?[Refrain]Das sind Dinge, von denen ich gar nichts wissen willLass mich doch in Ruh'Und texte mich nicht zuDas sind Dinge, von denen ich keine Ahnung haben willBehalt' den Kram für dichEs interessiert mich nicht!
[Refrain 2]Das sind Dinge, von denen ich gar nichts wissen willHol nochmal tief LuftIch schick dich in die GruftDas sind Dinge, von denen ich keine Ahnung haben willBehalt' den Kram für dichEs interessiert mich nicht!";"https://genius.com/Die-arzte-dinge-von-denen-lyrics";"Released 2003
Featuring

    
      Celina Bostic, Gunter Gabriel & Martin Klempnow
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Donna Blitz, Farin Urlaub & 1 more"
"6";"Die Ärzte";"Der Grund";"Geräusch";"[Strophe 1: Bela B.]Heute mach ich's wahrIch werd mich engagierenMit einer PlakataktionZivilcourage demonstrierenMan kann viel erreichenDazu braucht man kein GeldWir stellen die Weichen für eine besser WeltDoch etwas lenkt mich abHält meinen Kopf besetztOh nein - nicht schon wiederWarum gerade jetzt?[Refrain]DER GRUND![Strophe 2: Bela B.]Will ein guter Arbeitgeber seinKeine Entlassungen mehrGehaltserhöhung, Co-BeteiligungAb heute spiel ich fairAbrüstung jetzt - Ich mach den ersten SchrittWill euch ein guter Präsident seinNa, Leute, wer macht mit?Moment, hier breche ich abMein Kopf ist plötzlich leerDa ist etwas, das lässt keinen Platz für andere Gedanken mehr(Refrain)[Strophe 3: Bela B.]Die Führer dieser WeltSind alle gut und edelUnd wenn sie böses tun, liegt es daranSie haben nur ein im Schädel(Refrain)";"https://genius.com/Die-arzte-der-grund-lyrics";"Released 2003
Featuring

    
      Celina Bostic, Gunter Gabriel & Martin Klempnow
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Donna Blitz, Farin Urlaub & 1 more"
"7";"Die Ärzte";"Geisterhaus";"Geräusch";"[Strophe 1: Rod]Keiner sieht michBin einfach nur da, einfach nur daHab nix zu sagenHab viele Fragen, so viele FragenKrieg keine AntwortKeiner denkt nach, keiner denkt nachViel zu extremFragen zu unbequem[Refrain: Rod]Und ihr werdet meine Stimme noch mal in euren Ohren hörenSollte ich mich beim Versuch, mich vor euch zu wehren, selber zerstörenIch schrei es einfach herausMeine Welt ist gnadenlosIch komm nicht rausEin Geisterhaus[Strophe 2: Rod]Macht euch nur zuKopuliert, stagniert und sauft euch voll, konsumiert!Los, kauft die Sachen, die keiner brauchtFühl dich schönNach der zehnten LiposuctionRedet euch einAlles muss so sinnlos sein(Refrain) x2[Outro: Rod] x4Und was ich tuIch lass euch keine ruh!";"https://genius.com/Die-arzte-geisterhaus-lyrics";"Released 2003
Featuring

    
      Celina Bostic, Gunter Gabriel & Martin Klempnow
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Donna Blitz, Farin Urlaub & 1 more"
"8";"Die Ärzte";"Ein Mann";"Geräusch";"[Strophe 1: Farin U.]Streicheln ist nicht so mein Ding -Sind wir denn hier im Streichelzoo?Im Rohrverlegen bin ich King -Und überall und sowiesoIch bin ein Mann, mein Socken wasch ich irgendwannMache mir die Erde Untertan -Weil ich es kann: Ich bin ein Mann[Strophe 2: Farin U.]Charismatisch, kultiviert und an der Hüfte tätowiertIch zeigs dir, wenn du vor mir kniest -Da flippst du aus, wenn du das siehst:Ich bin ein Mann, ich geb dir eine Überdosis FunAn mir hängt jede Menge unten dran, guck es dir: Ich bin ein Mann[Strophe 3: Farin U.]So subtil wie ein Panzer, so einfühlsam wie die AutobahnIch bin ein Mann, noch gefährlicher als Jackie ChanAlso bitte, fass mich vorsichtig an - Du bist in meinem BannIch habe dich in Hand, denn ich bin so interessantObwohl ich nichts dafür kann, ich hab mehr Glück als Verstand:Ich bin ein Mann!";"https://genius.com/Die-arzte-ein-mann-lyrics";"Released 2003
Featuring

    
      Celina Bostic, Gunter Gabriel & Martin Klempnow
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Donna Blitz, Farin Urlaub & 1 more"
"9";"Die Ärzte";"Anders Als Beim Letzten Mal";"Geräusch";"[Strophe 1]Eins war immer für mich klar: dass wir zusammengehörenIch war sicher, nichts kann unsere Beziehung zerstörenVielleicht wollte ich einfach nur zu vielDenn jetzt steht plötzlich alles auf dem SpielIch weiß nicht genau, was los ist, Ich hab so ein Gefühl[Refrain 1]Irgendetwas schmeckt schal, irgendetwas läuft schiefIrgendetwas ist anders als beim letzten Mal, als ich mit Dir schliefIrgendetwas ist fatal, irgendwie bin ich gehemmtUnd im Gegensatz zum letzten Mal bist Du mir fremdDu siehst mir nicht mehr in die Augen[Strophe 2]Jetzt liegst Du neben mir im Bett, aber ich fühl mich alleinUnd wer weiß? Vielleicht bild' ich mir das auch alles auch nur einIch suche noch nach Worten, doch zu spätDenn Du hast Dich schon von mir weggedrehtIch will nicht, dass es so beschissen zu Ende geht[Refrain 2]Irgendetwas schmeckt schal, irgendetwas läuft schiefIrgendetwas ist anders als beim letzten Mal, dass ich mir Dir schliefIrgendetwas ist fatal, irgendwie bin ich gehemmtUnd im Gegensatz zum letzten Mal bist Du mir fremdBitte sieh mir in die Augen[Post-Refrain]Ich weiß, Du denkst, ich w<U+0434>r verr<U+044C>cktIch will, dass es wie früher istIch dreh die Zeit ein Stück zurückIch will, dass es wie früher ist[Refrain 3]Vielleicht ist es ganz normal, vielleicht bin ich zu naivDoch irgendetwas ist anders als beim letzten Mal, als ich mit Dir schliefIrgendetwas schmeckt schal, irgendetwas läuft schiefWar das tatsächlich das letzte Mal, dass ich mit Dir schlief?Du hast Tränen in den Augen[Post-Refrain]Ich weiß, Du denkst, ich w<U+0434>r verr<U+044C>ckt. Ich will, dass es wie früher istIch dreh die Zeit ein St<U+044C>ck zur<U+044C>ck, ich will, dass es wie früher istWeil ich Dich heute schon vermiss - ich will, dass es wie früher istIch halt kaum aus, wie sch<U+0446>n Du bist - ich will, dass es wie früher ist";"https://genius.com/Die-arzte-anders-als-beim-letzten-mal-lyrics";"Released 2003
Featuring

    
      Celina Bostic, Gunter Gabriel & Martin Klempnow
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Donna Blitz, Farin Urlaub & 1 more"
"10";"Die Ärzte";"Ruhig angehn";"Geräusch";"[Strophe 1: Bela B.]Ab auf die Karriereleiter - Geld muss sich vermehrnNur nach oben geht es weiter - wer nichts fühlt, muss hörnFamilie und ein Eigenheim - Und CabrioletHier hatte ich leider keinen Reim - Typisch Bela B[Bridge 1: Bela B.]Hektik - Und Stress total - Mir kommen die TränenHektik - Lass es doch mal...[Refrain: Bela B.]Ruhig angehn - Erst mal schönLage peilen -Und dann mal sehnStress is schlecht - Jetzt mal in echtDie Welt wird sich trotzdem noch drehn[Strophe 2: Bela B.]Was du heute kannst besorgen - Das ist gut gemeintErledigst du dann übermorgen - Merk dir das mein FreundDer Stress ist schuld an all den Kriegen - Wird man ja verstehn?Ich krieg bloss Thrombosen vom Liegen - Kann mich mal einer drehn?[Bridge 2 - Bela B.]Hektik - Und Stress total - Was muss geschehn?Auszeit - Lass es doch mal...(Refrain) x2[Bridge 3 - Bela B.]Hektik - Und Nerverei - Lass mal alles stehn!Nimm dir - Mal frei und lass es...(Refrain) x2[Outro: Bela B.]Ruhig angehn - So glaub es mirDann kriegt dein Magen kein GeschwürStress macht fett - Und schlecht im BettStatt ackern geh dich amüsiern!(Ruhig angehn) x6";"https://genius.com/Die-arzte-ruhig-angehn-lyrics";"Released 2003
Featuring

    
      Celina Bostic, Gunter Gabriel & Martin Klempnow
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Donna Blitz, Farin Urlaub & 1 more"
