"";"artist";"title";"album";"text";"url";"metadata"
"1";"Die Ärzte";"Du willst mich küssen";"Im Schatten der Ärzte";"[Songtext zu „Du willst mich küssen“][Strophe 1]Ich war gerade auf dem Weg in die StadtbibliothekDa habe ich mein Herz verlorenIch sah dich stehn am Wegesrand mit einem Buch in deiner HandIch war sofort verknallt bis über beide Ohren!„Wann darf ich dich wiedersehen?“, hab ich gefragtDeine Antwort war: „Am besten heute Nacht“ (heut Nacht)Bei klassischer Musik und bei KerzenscheinWolltest du mich dann verführen, aber ich, ich sagte „Nein!“[Refrain]Du willst mich küssen, doch das geht mir zu schnellDu solltest wissen, ich bin intellektuellDu willst mich küssen, mitten ins Gesicht, doch ob du mich lieb hastDas weiß ich nicht, das weiß ich nicht (das weiß ich nicht)Das weiß ich nicht, das weiß ich nicht, das weiß ich nicht[Strophe 2]Ein Jahr war schnell vorbei, dann traf ich dich in der BüchereiDu sagst, du würdest jetzt studierenAbends bist du zu mir gekommen, ich hatte extra ein Bad genommenUm dir mit meinem Wohlgeruch zu imponierenKaum warst du daBegannen wir schon mit einer platonischen Diskussion (Diskussion)Doch später in der Nacht hab ich dann entdecktWas hinter der Studentinnenfassade steckt[Refrain]Du willst mich küssen, doch das geht mir zu schnellDu solltest wissen, ich bin intellektuellDu willst mich küssen, mitten ins Gesicht, doch ob du mich lieb hastDas weiß ich nicht, das weiß ich nicht (das weiß ich nicht)Das weiß ich nicht, das weiß ich nicht, das weiß ich nichtDu willst mich küssen, doch das geht mir zu schnellDu solltest wissen, ich bin intellektuellDu willst mich küssen, mitten ins Gesicht, doch ob du mich lieb hastDoch ob du mich lieb hast, das weiß ich nicht, das weiß ich nicht";"https://genius.com/Die-arzte-du-willst-mich-kussen-lyrics";"Released 1985
Producers

    
      Micky Meuser
Writers

    
      Bela B, Farin Urlaub & Sahnie"
"2";"Die Ärzte";"Dein Vampyr";"Im Schatten der Ärzte";"[Strophe 1]Auf dem alten Friedhof nachtsBei Vollmond, wenn der Werwolf lachtSetz ich mich ganz nah zu dir und küsse dich wie ein VampyrDu fragst mich, warum wir hier sitzen, da siehst du meine Zähne blitzenBlut, Blut, so viel Blut[Refrain]Du weißt, ich liebe dich, doch das bedeutet für dich nichtsWie soll ich leben ohne Kuss von dir?Du weißt, ich brauche dich, von deinem Blut ernähr ich michDu bist die Jungfrau und ich dein Vampyr, Vampyr[Strophe 2]Der Mond scheint böse durch den WaldDoch dich, dich, dich lässt das nur kaltDie Fledermaus singt LiebesliederUnd du gibst mir immer wieder dichIch trinke, deine Haut wird bleichJetzt hältst du Einzug in mein ReichDein Hochzeitskleid verfärbt sich rotWir lieben uns bis in den TodTod, Tod, bis in den Tod[Refrain]Du weißt, ich liebe dich, doch das bedeutet für dich nichtsWie soll ich leben ohne Kuss von dir?Du weißt, ich brauche dich, von deinem Blut ernähr ich michDu bist die Jungfrau und ich dein Vampyr, Vampyr";"https://genius.com/Die-arzte-dein-vampyr-lyrics";"Released 1985
Producers

    
      Micky Meuser
Writers

    
      Bela B, Farin Urlaub & Sahnie"
"3";"Die Ärzte";"... und es regnet";"Im Schatten der Ärzte";"[Strophe 1]Ich warte auf dich und es regnet. Was ist mit unserem Rendezvous?Gestern bist du mir begegnet, das Wasser läuft mir in den Schuh[Refrain]Ich will bei dir sein, ich bin so alleinIch will bei dir sein, ich will bei dir seinIch will bei dir sein, ich bin so alleinIch will bei dir sein, ich will bei dir sein[Strophe 2]Jetzt fängt es auch noch an zu schneienIn ein paar Stunden ist es NachtDoch wenn du kommst, wirst du dich freuenIch hab dir Rosen mitgebracht[Refrain]Ich will bei dir sein, ich bin so alleinIch will bei dir sein, ich will bei dir seinIch will bei dir sein, ich bin so alleinIch will bei dir sein, ich will bei dir sein[Strophe 3]Vertrocknet ist die rote Rose, ich huste rote Brocken ausIch glaub, ich hab TuberkuloseDoch ich will nicht ins Krankenhaus[Refrain]Ich will bei dir sein, ich bin so alleinIch will bei dir sein, immer bei dir seinIch will bei dir sein, ich bin so alleinIch will bei dir sein, ich will bei dir seinIch will bei dir sein, ich bin so alleinIch will bei dir sein, ich will bei dir seinIch will bei dir sein, ich bin so alleinIch will bei dir sein, ich will bei dir sein";"https://genius.com/Die-arzte-und-es-regnet-lyrics";"Released 1985
Producers

    
      Micky Meuser
Writers

    
      Bela B, Farin Urlaub & Sahnie"
"4";"Die Ärzte";"Alles";"Im Schatten der Ärzte";"[Strophe 1]Es war eine kalte NachtIch wollte nicht alleine seinIch traf dich, es ging dir wie mirUnd ich lud dich zu mir ein[Pre-Chorus 1]Du bist alles, was jetzt zähltDu hast alles, was mir fehlt[Chorus]Ich will allesDu hast mich verrückt gemachtIch will allesUnd ich will es heute NachtIch will allesIch will alles von dirIch will allesGib es mir[Strophe 2]Du bist schön, das weißt du auchUnd was du entfachst in mirDoch dich ansehn reicht mir nichtHeute will ich mehr von dir[Pre-Chorus 2]Du siehst mich an, wir sind schon lange stillUnd du weißt, was ich jetzt will:[Chorus]Ich will allesDu hast mich verrückt gemachtIch will allesUnd ich will es heute NachtIch will allesIch will alles von dirIch will allesGib es mir[Bridge]Was du denkst, ist mir egalIch stell dich jetzt vor die WahlDu bist alles, was jetzt zähltDu bist alles, was mir fehlt
[Chorus]Ich will allesDu hast mich verrückt gemachtIch will allesUnd ich will es heute NachtIch will allesIch will alles von dirIch will allesGib es mir[Outro]Ich will alles, gib mir allesIch will alles, gib mir allesIch will alles, gib mir allesIch will alles, gib mir allesIch will alles";"https://genius.com/Die-arzte-alles-lyrics";"Released 1985
Producers

    
      Micky Meuser
Writers

    
      Bela B, Farin Urlaub & Sahnie"
"5";"Die Ärzte";"Rennen, nicht laufen!";"Im Schatten der Ärzte";"[Strophe 1]In einer großen StadtDie keine Helden hatDa kämpfst du einsam um dein GlückUnd keiner steht dir beiHält dir den Rücken freiDenn für dich gibt es kein Zurück[Pre-Chorus 1]Ihre Schläge haben nur dein Feuer geschürtDenn es war dir klar, dass sich nichts ändern wirdDu warst zu stolz zum Weinen, du lachtest nur vor ZornUnd du wolltest eines nur: Du wolltest nach vorn[Chorus]RennenRennenRennenRennen – nicht laufen!RennenRennenRennenRennen – nicht laufen![Strophe 2]Sie sagten nein zu dirSie warn gemein zu dirDoch nie verlorst du deinen MutJetzt schmeicheln sie sich einWolln deine Freunde seinDoch dein Gedächtnis ist zu gut[Pre-Chorus 2]Vor den Feuern der Hölle hast du keine AngstDu wirst alles bekommen, wenn du alles verlangstDu bist nicht verbittert, fährst nie KarussellSie fürchten sich vor dir, denn du rennst zu schnell[Chorus]RennenRennenRennenRennen – nicht laufen!";"https://genius.com/Die-arzte-rennen-nicht-laufen-lyrics";"Released 1985
Producers

    
      Micky Meuser
Writers

    
      Bela B, Farin Urlaub & Sahnie"
"6";"Die Ärzte";"Wie ein Kind";"Im Schatten der Ärzte";"[Strophe 1]Den ganzen Tag rennst du der Kohle hinterherDen ganzen Tag arbeitest du von früh bis spätNur damit du mal 'nen eigenen Mercedes hastUnd ein eignes großes Haus mit großem Garten[Pre-Chorus]Nur du gehst dabei vor die HundeNur du gehst dabei zugrunde[Chorus]Steh ich vor dem Spiegel, schau ich in Alltagssorgen reinUnd dann denk ich, ich wär so gern noch mal ein KindIch wär so gern noch mal ein Kind[Strophe 2]Früher warst du der, der du wirklich warstMit deinen Fragen, deinen Popeln, deiner Liebe, deiner AngstHeute heißt es, so was macht man nicht, dazu bist du viel zu altDu bist jetzt erwachsen[Pre-Chorus]Nur du gehst dabei vor die HundeNur du gehst dabei zugrunde[Chorus]Steh ich vor dem Spiegel, schau ich in Alltagssorgen reinUnd dann denk ich, ich wär so gern noch mal ein KindIch wär so gern noch mal ein Kind";"https://genius.com/Die-arzte-wie-ein-kind-lyrics";"Released 1985
Producers

    
      Micky Meuser
Writers

    
      Bela B, Farin Urlaub & Sahnie"
"7";"Die Ärzte";"Wie ein Kind (Reprise)";"Im Schatten der Ärzte";"Was hat der Junge doch für Nerven!";"https://genius.com/Die-arzte-wie-ein-kind-reprise-lyrics";"Released 1985
Producers

    
      Micky Meuser
Writers

    
      Bela B, Farin Urlaub & Sahnie"
"8";"Die Ärzte";"Wegen dir";"Im schatten der arzte";"[Refrain]Uuuh, ich kann dich nicht vergessenWas ist nur los mit mir?Uuuh, ich will nichts mehr essenIch werde noch verhungern wegen dir[Strophe 1]Wegen dir ist mir hundert Mal das Herz gebrochenWegen dir musst ich jeden Abend Essen kochenIch war dies Jahr keinmal baden wegen dirHab ich keine andere angeschautWegen dir habe ich beim Juwelier geklautUnd trotzdem machst du einfach Schluss mit mir!?Uuuuhuuuuhuuu – und was nunWas soll ich denn nur tun?[Refrain]Uuuh, ich kann dich nicht vergessenObwohl du so gemein bist zu mirUuuuh, ich will nichts mehr essenIch werde noch verhungern wegen dir[Strophe 2]Wegen dir habe ich mich lächerlich gemachtWegen dir lag ich wach fast jede NachtIrgendwann werd ich verrücktNur wegen dir hab ich mir die Arme tätowiertWegen dir hab ich mir die Beine glatt rasiertUnd trotzdem machst du einfach Schluss mit mir[Bridge]Uuuuhuuu, was soll ich tun?Ich denke nur an dichUuuuhuuu, was soll ich tun?Ich denke nur an dichSeit du mir gesagt hast, dass es vorbei istMuss ich ständig daran denkenWie schön es war, du und ich allein am StrandUnd dann kann ich es alles kaum fassenHast du mich nie geliebt?Hast du mich nie geliebt?
[Refrain]Uuuh, ich kann dich nicht vergessenObwohl du so gemein bist zu mirUuuuh ich will nichts mehr essenIch werde noch verhungern wegen dir[Outro]Aaahaaahaa, weil ich dich nicht vergessen kannWeil ich dich nicht vergessen kannWeil ich dich nicht vergessen kannWeil ich dich nicht vergessen kann";"https://genius.com/Die-arzte-wegen-dir-lyrics";"Released 1985
Producers

    
      Micky Meuser
Writers

    
      Bela B, Farin Urlaub & Sahnie"
"9";"Die Ärzte";"Die Antwort bist du";"Im Schatten der Ärzte";"[Strophe 1]Wer macht, dass ich nicht mehr alleine bin?Wer gibt der größten Unordnung den Sinn?Wo ist der Engel, der mein Leben verschöntDas Mädchen, das ich schon so lang ersehnt?Wer hat genau die gleichen Hobbys wie ich?Wer findet Zwergewerfen königlich?Wer ist genau wie ich in mich verliebt?Ich hab geglaubt, dass es so was nicht gibt[Pre-Chorus]All diese Fragen (uhoho)Machten mich verrückt (machten ihn verrückt)Ich hab durch Zufall (uhoho)Die Antwort gekriegt:[Chorus]Die Antwort bist du (die Antwort)Die Antwort bist du (die Antwort)Die Antwort bist du (die Antwort)Die Antwort bist du (die Antwort)Die Antwort bist du (die Antwort)Die Antwort bist du (die Antwort)[Strophe 2]Wer braucht Stunden, um sich anzumaln?Für wen muss ich jetzt immer mitbezahln?Wer bestimmt das kulturelle Programm?Wer ist mal 'ne Schlange und mal ein zahmes Lamm?[Pre-Chorus]Mir zu befehlen (uhoho)Hat niemand geschafft (hat niemand geschafft)Wer würde es wagen? (uhoho)Wer hat die Kraft?[Chorus]Die Antwort bist du (die Antwort)Die Antwort bist du (die Antwort)Die Antwort bist du (die Antwort)Die Antwort bist du
[Strpühe 3]Wer stützt mich, wenn ich mal betrunken bin? (Wer?)Und seh ich schlecht aus, wer sieht nicht genau hin? (Wer?)Und wenn ich singe, wer behält die Ruh? (Wer?)Ich geb die Antwort und die Antwort bist du[Chorus]DuDie Antwort bist duDie Antwort bist duDie Antwort bist duDu (Die Antwort)Die Antwort bist du (die Antwort)Die Antwort bist du (die Antwort)Die Antwort bist du (die Antwort)Die Antwort bist du (die Antwort)(Jawoll)";"https://genius.com/Die-arzte-die-antwort-bist-du-lyrics";"Released 1985
Producers

    
      Micky Meuser
Writers

    
      Bela B, Farin Urlaub & Sahnie"
"10";"Die Ärzte";"Buddy Hollys Brille";"Im Schatten der Ärzte";"Er hatte braune Augen und auch braune HaareEr hatte eine Brille und eine GitarreAuf der Gitarre spielte er bis zur EkstaseUnd die Brille trug er immer auf seiner NaseEr sang wie ein Engel und war überall bekanntZum schlafengehen hing er die Gitarre an die WandDoch seine Brille hat er niemals abgesetztWo ist Buddy Holly's Brille jetzt?Er war schlank und hatte Glück bei den FrauenEr brauchte ihnen nur in die Augen zu schauenWenn ihn die Brille dabei einmal störteDann sang er solange, bis sie ihn erhörteEr stieg in ein Flugzeug und grinste hinausVon oben sah die Erde überwältigend ausDas Flugzeug stürzte ab, und die Welt war entsetztWo ist Buddy Holly's Brille jetzt?(aaaah aaaah)Um die verschwundene Brille entstand eine SageEs hies, man könne singen, wenn man sie trageViele Schurken waren deshalb hinter ihr herDoch von denen trägt die Brille garantiert keiner mehrEs stand in seinem Testament, es war sein letzter WilleWenn ihr mich einst begraben müßt, dann nur mit meiner BrilleDamit ist auch dieses Rätsel endlich gelöstBuddy Holly ist mit seiner Brille verwest!Die ganze Welt (außer Russland) hat Buddy Holly geliebt:Als er so jung gestorben ist waren viele Menschen betrübtUnd das ist ein guter Grund, sich selber umzubringenDenn im Himmel wird Buddy wieder für uns singen ...";"https://genius.com/Die-arzte-buddy-hollys-brille-lyrics";"Released 1985
Producers

    
      Micky Meuser
Writers

    
      Bela B, Farin Urlaub & Sahnie"
"11";"Die Ärzte";"Käfer";"Im Schatten der Ärzte";"[Intro]Ich hatte heute nacht einen TraumUnd dieser Traum war sonderbarIch saß auf einem ErbsenbaumWeil ich im Traum ein Käfer war[Strophe 1]Ich will kein Käfer seinDa müsst ich um mein Leben betenEin Käfer, der ist winzig kleinDu würdest ihn bestimmt zertreten[Chorus]Ich will kein Käfer seinOh nein, nein, neinIch will kein Käfer sein[Strophe 2]Ein Käfer kriegt nie einen KussEr hat auch ziemlich kleine OhrenUnd wenn ich schon ein Tier sein mussDann wär ich gern als Pferd geborenEin Pferd ist größer noch als DuUnd man zertritt es nur mit MüheEs gibt auch Pferde, die machen muhDoch diese Pferde heißen Kühe[Chorus]Ich will kein Käfer seinOh nein, nein, neinIch will kein Käfer sein[Strophe 3]Kühe fressen Gras wie SchafeNur sind die Kühe noch viel dooferDenn aus der Kuh macht man die VollmilchUnd aus den Schafen die PulloverDoch Schaf zu sein, wär mir <U+0491>ne QualDenn Schafe brauchen einen SchäferIch glaub ich werd ein WalHauptsache ist, ich werd´ kein Käfer[Chorus]Ich will kein Käfer seinOh nein, nein, neinIch will kein Käfer sein";"https://genius.com/Die-arzte-kafer-lyrics";"Released 1985
Producers

    
      Micky Meuser
Writers

    
      Bela B, Farin Urlaub & Sahnie"
"12";"Die Ärzte";"Ich Weiss Nicht (Ob Es Liebe Ist)...";"Im Schatten der Ärzte";"[Strophe 1]Vor zwei Wochen hab' ich Dich zum ersten Mal gesehenDu warst so betrunken, du konntest kaum noch stehenAus Mitleid hab' ich Dich nach Haus gebrachtDu sagtest zärtlich: ""Mein Schatz, gute Nacht""Mein Schatz hast Du gesagt. Vielleicht war es nur ein Scherz?Amors Pfeil durchbohrte mein HerzJetzt weiß ich nicht, was ich denken sollIst es wirklich Liebe oder finde ich Dich nur toll?[Chorus 1]Ich weiß nicht, ob es Liebe istWenn man nicht mehr trinkt und isstWenn man an Eine denkt und eine andere küßtIch weiß nicht ob das Liebe ist[Strophe 2]Am nächsten Tag habe ich Dich besuchtAls das Bier alle war hast Du laut gefluchtDu lagst auf dem Bett und warst ziemlich breitAber immerhin waren wir allein zu zweitIch wollte mit Dir reden über Deine FrisurUnd über Liebe, aber Du lachtest nurJetzt weiß ich nicht, was ich denken sollIst es wirklich Liebe oder finde ich Dich nur toll?[Chorus 2]Ich weiß nicht, ob es Liebe istWenn man alle Frauen an einer misstWenn man etwas hört und es sofort vergisstIch weiß nicht ob das Liebe istIch weiß nicht, ob es Liebe istIch weiß nicht, ob es Liebe istWenn man beim Pinkeln ständig neben's Becken pisst";"https://genius.com/Die-arzte-ich-weiss-nicht-ob-es-liebe-ist-lyrics";"Released 1985
Producers

    
      Micky Meuser
Writers

    
      Bela B, Farin Urlaub & Sahnie"
"13";"Die Ärzte";"Was Hat Der Junge Doch Für Nerven";"Im Schatten der Ärzte";"[Strophe 1: Bela; Bela, Farin & Sahnie]Er lauert mir morgens an der Schule aufDenn er ist stärker als ichEr hält mich fest, damit ich nicht weglauf'Denn er ist stärker als ichManchmal ist er extrem gemeinEr ist stärker als ichDann zertrümmert er mir mein NasenbeinEr ist stärker als ich[Chorus 1: Bela]Er weiß genau, er ist stärker als ichAber trotzdem liebst Du michDenn keiner hier spielt Schlagzeug so wie ich[Strophe 2: Farin; Bela, Farin & Sahnie]Er braucht keinen Spickzettel in MathematikDenn er ist klüger als ichEr spricht fließend Latein und hat 'ne Eins in PhysikDenn er ist klüger als ichEr lässt mich niemals im Diktat abschreibenEr ist klüger als ichIm Gegensatz zu mir wird er nie sitzen bleibenEr ist klüger als ich[Chorus 2: Farin]Er weiß genau, er ist klüger als ichAber trotzdem liebst Du michDenn keiner spielt Gitarre so wie ichHey, hey, hey, hey[Strophe 3: Sahnie; Bela, Farin & Sahnie]Nach ihm drehen sich alle Mädchen umDenn er ist schöner als ichEr ist braungebrannt und geht niemals krummEr ist schöner als ichEr küsst die Mädchen völlig ungehemmtEr ist schöner als ichUnd meine Akneprobleme sind ihm fremdEr ist schöner als ich[Chorus 3: Sahnie]Er weiß genau, er ist schöner als ichAber trotzdem liebst Du michDenn keiner hier spielt Bass so gut wie ich[Outro: Bela, Farin & Sahnie]Mit uns kommt sowieso keiner mitDenn wir sind die Ärzte und wir sind zu dritt";"https://genius.com/Die-arzte-was-hat-der-junge-doch-fur-nerven-lyrics";"Released 1985
Producers

    
      Micky Meuser
Writers

    
      Bela B, Farin Urlaub & Sahnie"
