"","artist","title","album","text","url","metadata"
"1","Die Ärzte","Wie es geht","Runter mit den Spendierhosen, Unsichtbarer!","[Verse 1]Ich schau dich an und du bist unbeschreiblich schönIch könnte ewig hier sitzen und dich einfach nur ansehenDoch plötzlich stehst du auf und du willst gehen[Refrain 1]Bitte geh noch nicht, ich weiß es ist schon spätIch will dir noch was sagen, ich weiß nur nicht wie es gehtBleib noch ein bisschen hier, und schau mich nicht so anWeil ich sonst ganz bestimmt überhaupt gar nichts sagen kann[Verse 2]Ich weiß selber nicht was los ist, meine Knie werden weichIm Film sieht es so einfach aus, jetzt bin ich kreidebleichIch weiß nicht was ich sagen soll, mein Gott jetzt gehst du gleich[Refrain 2]Bitte geh noch nicht, bleib noch ein bisschen hierIch muss dir nochwas sagen, nur die Worte fehlen mirBitte geh noch nicht, ich weiß, es ist schon spätIch will dir nochwas sagen, ich weiß nur nicht wie es gehtWie es geht (x5)[Verse 3]Ich dachte immer, das es leicht wär', ich dachte immer, das ist doch kein ProblemJetzt sitz ich hier, wie ein Kaninchen vor der Schlange und ich fühle mich, wie gelähmtIch muss es sagen, ich weiß nur noch nicht wie, ich muss es dir sagen, jetzt oder nie[Refrain 3]Bitte geh noch nicht, am besten gehst du nieIch hab's dir schon so oft gesagt - in meiner PhantasieBleib noch ein bisschen hier, bitte geh noch nichtWas ich versuche dir zu sagen ist:""Ich liebe dich!""Ich weiß nichtWie es geht (x4)","https://genius.com/Die-arzte-wie-es-geht-lyrics","Released October 20, 2000
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Farin Urlaub & Rodrigo González"
"2","Die Ärzte","Geld","Runter mit den Spendierhosen, Unsichtbarer!","[Strophe 1]Ich traf eine Frau in einer DiscoWir kifften zu dem Sound von Sven FranziskoUnsre Blicke gingen tief, es war klar, dass hier was liefIch wusste, heute Nacht geht garantiert nichts schiefNach einigem Geplänkel gingen wir zu ihrIch wollte nur noch eins und war bereit dafürSie war jung und wunderschönDoch sie gab mir zu verstehn:Sie wollte erst einmal meine Brieftasche sehn[Refrain]Sie wollte Geld, Geld, GeldDas hat sie in meinen Augen entstelltIch war geprellt, will denn auf dieser Welt jeder nur Geld?[Strophe 2]Ein Freund von mir, der spielte in ´ner GruppeDem spuckte so leicht keiner in die SuppeDoch die Plattenfirma kam, die ihm die Bedenken nahmJetzt macht er nur noch Schrott, dafür ist er nicht armJetzt kann er seinen Reichtum kaum verhehlenUnd seine Freunde sind kaum noch zu zählenDoch vielleicht in einem JahrIst sein Geld schon nicht mehr daDann dezimiert sich automatisch seine Freundesschar[Refrain]Und das wegen Geld, Geld, GeldImmer nur Geld, Geld, GeldAuch wenn euch das nicht so gefälltDas Wichtigste auf dieser Welt ist nun mal Geld[Strophe 3]Da fällt mir plötzlich doch noch eine Lösung einDenn ein Geheimnis gibt es schon zum GlücklichseinBringt euch neue Zuversicht, doch ich sags euch ins GesichtSo richtig billig wird der Tipp dann leider nicht[Refrain]Denn ich will Geld, Geld, GeldNur ein wenig Geld, Geld, GeldAuch wenn euch das nicht so gefälltDas Wichtigste auf dieser Welt ist nun mal Geld
[Outro 2x]Geld, Geld, Geld(Ich kniee und bete um einen Haufen Knete)Geld, Geld, Geld(Penunzen und Kohle forder ich unverhohlen)Auch wenn euch das nicht so gefällt(Zaster, Kies und Moos wären jetzt grandios)Das Wichtigste auf dieser Welt ist nun mal Geld(Sechs Richtige im Lotto, das ist mein Lebensmotto)","https://genius.com/Die-arzte-geld-lyrics","Released October 20, 2000
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Farin Urlaub & Rodrigo González"
"3","Die Ärzte","Gib Mir Zeit","Runter mit den Spendierhosen, Unsichtbarer!","[Strophe 1]Baby, ich will heut Nacht nicht mit dir schlafenIch will heut nicht mit dir ins BettNicht, dass du denkst, du wärst unattraktiv, nein:Ich find dich immer noch sehr nettAber ich muss dir doch gestehnIch hab da jemanden gesehn und ich muss dauernd an sie denkenIch weiß noch nicht mal, wie sie heißtDas Einzige, was ich wirklich weiß, ist, dass ich hetzt besser nach Hause fahrDenn nichts ist klar:[Refrain]Vielleicht bin ich verliebt, vielleicht ist's nur so ein Gef<U+044C>hlVielleicht ist's morgen schon vorbeiVielleicht bin ich verliebt, mein Kopf ist jedenfalls nicht hier -Gib mir bitte etwas Zeit[Strophe 2]Baby du weißt, dass es mit dir sehr schön istAuch wenn ich jetzt gehen mussNicht, dass du denkst, dass da etwas geschehn ist:Ich mach bestimmt nicht mit dir SchlussAber ich bin ziemlich verwirrt, und bevor etwas passiertMuss ich zum Nachdenken allein seinMein Gefühl sagt mir konkretEs ist für uns noch nicht zu spätDrum gib mir Zeit, Baby, ich bitte dich - ich weiß es nicht...[Refrain]Vielleicht bin ich verliebt, vielleicht ist's nur so ein GefühlVielleicht ist's morgen schon vorbeiVielleicht bin ich verliebt, mein Kopf ist jedenfalls nicht hier -Gib mir bitte etwas Zeit","https://genius.com/Die-arzte-gib-mir-zeit-lyrics","Released October 20, 2000
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Farin Urlaub & Rodrigo González"
"4","Die Ärzte","Dir","Runter mit den Spendierhosen, Unsichtbarer!","[Strophe 1]Ich weiß, wo ich mich am wohlsten fühlIch weiß, was ich am allerliebsten spielIch weiß, wann ich mich total verlierDas machst du mit mirIch weiß, wann Schönheit animalisch istAls wenn ein Engel einen Teufel küsstWo das Dunkel strahlt im hellsten LichtUnd das weiß ich durch dich[Refrain]Es ist jetzt und hier, wenn ich vor Hitze frierWenn ich zitter vor Gier und doch triumphierDas machst du mit mir, und ich liebe dich dafür[Strophe 2]Es ist die Lauer vor dem ÜberfallEs ist das Kribbeln wirklich überallEine bessere Droge gibt es nichtUnd das weiß ich durch dich[Refrain]Es ist jetzt und hier, wenn ich vor Hitze frierWenn ich zitter vor Gier und doch triumphierDas machst du mit mir, ich danke dir[Strophe 3]Nachts, wenn unsere Liebe salzig schmecktDas Raubtier seine Krallen ausstrecktAlle Wege nur in eine Richtung führnWill ich dich für immer spürn[Refrain]Es ist jetzt und hier, wenn ich vor Hitze frierWenn ich zitter vor Gier und doch triumphierDas machst du mit mir, denn ick liebe dir","https://genius.com/Die-arzte-dir-lyrics","Released October 20, 2000
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Farin Urlaub & Rodrigo González"
"5","Die Ärzte","Mondo Bondage","Runter mit den Spendierhosen, Unsichtbarer!","[Intro]Latexvinyl, Gummijacket, Ringe aus Stahl - TalkumpuderWonne in Schwarz, Kerzenwachs, Stöckelschuh - Zofenluder[Strophe 1]Mädchen, Deine schönen Augen machen mich schwachDeine Haut so weiß wie Alabaster und noch zarter tausendfachWenn Du mich einfach so ansiehst bin ich Butter in der SonneDoch die Reinheit Deiner Seele ist die größte WonneUnsere Liebe ist so rein wie ein SilberbachBitte Baby, sag nicht nein. Baby, mach mich jetzt nicht schwach[Refrain]Latexvinyl, Gummijacket, Ringe aus Stahl - Wie weit darf ich gehen?Wonne in Schwarz, Kerzenwachs, St<U+0446>ckelschuh - Ich will Dir zusehen!Wehrlose Lust, glänzender Lack, Stahlkorsett - Hilflos wunderschön!Latexvinyl, Gummijacket, Ringe aus Stahl - Mondo BondageWonne in Schwarz, Kerzenwachs, Stöckelschuh - Mondo BondageWehrlose Lust, glänzender Lack, Stahlkorsett - Mondo Bondage[Strophe 2]Mädchen, Du bist mir so nah. Ich will Deine Tiefe spürenIch will mehr als jeder andere. Lass' mich Dich verschnürenBitte, sei mir meine Betty oder GwendolineDie Stricke werden wirklich fest, doch nicht schmerzhaft seinDeine Wonne wird zur Frage. Kannst Du mir vetrauen?Meine Wonne wird es sein, Dir dabei zuzuschauen[Refrain]Latexvinyl, Gummijacket, Ringe aus Stahl - Wie weit darf ich gehen?Wonne in Schwarz, Kerzenwachs, Stöckelschuh - Ich will Dir zusehen!Wehrlose Lust, glänzender Lack, Stahlkorsett - Hilflos wunderschön!Latexvinyl, Gummijacket, Ringe aus Stahl - Mondo BondageLatexvinyl, Gummijacket, Ringe aus Stahl - Wie weit darf ich gehen?Wonne in Schwarz, Kerzenwachs, Stöckelschuh - Ich will Dir zusehen!Wehrlose Lust, glänzender Lack, Stahlkorsett - Hilflos wunderschön!Latexvinyl, Gummijacket, Ringe aus Stahl - Mondo BondageLatexvinyl, Gummijacket, Ringe aus Stahl - Mondo BondageWonne in Schwarz, Kerzenwachs, Stöckelschuh - Mondo BondageWehrlose Lust, glänzender Lack, Stahlkorsett - Mondo BondageTalkumpuder, Zofenluder - Mondo Bondage","https://genius.com/Die-arzte-mondo-bondage-lyrics","Released October 20, 2000
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Farin Urlaub & Rodrigo González"
"6","Die Ärzte","Onprangering","Runter mit den Spendierhosen, Unsichtbarer!","[Strophe 1]Mein Genital tut fruchtbar weh, immer dann, wenn ich pisseDas kommt wohl vom Geschlechtsverkehr - ich schätze mal, ich hab Tripper[Refrain 1]Und das prangere ich an, das stelle ich zur DiskussionIrgendwer ist schuld daran, dass ich nicht mehr pinkeln kannUnd das prangere ich an[Strophe 2]Ich hab mich schrecklich aufgeregt, weil mir das Essen nicht mehr schmecktD. H. Ich bin total kaputt und mindestens hab ich Skorbut[Refrain 2]Und das prangere ich an, das verurteile ich scharfEs darf nicht sein, was leider ist - ich glaub, ich werde FatalistUnd das prangere ich an[Strophe 3]Meine Finger fallen aus, ich muss sofort ins KrankenhausBevor mein Lebenslicht erlischt: die Lepra hat mich schwer erwischt[Refrain 3]Und das prangere ich an, das find ich wirklich unerhörtIch bin entsetzt, ich bin empört, weil irgendjemand mich zerstörtUnd das prangere ich anUnd das prangere ich an, das find ich überhaupt nicht gutLepra, Tripper und Skorbut - ich bin dagegen, absolutUnd das prangere ich an","https://genius.com/Die-arzte-onprangering-lyrics","Released October 20, 2000
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Farin Urlaub & Rodrigo González"
"7","Die Ärzte","Leichenhalle","Runter mit den Spendierhosen, Unsichtbarer!","[Strophe 1]Der letzte Schlaf, er war sehr tiefEtwas geschah, während ich schliefKalte Fliesen, Modergeruch -Auf meinem Körper ein LeichentuchEtwas Schlimmes ist geschehenWeil meine Haare nicht mehr stehenDie Füße schmerzen vom SchattentanzUnd wo zum Henker ist mein Rosenkranz[Refrain]Sie haben mich vergessenWo seid ihr alle? Wo seid ihr alle?Hier gibt es nichts zu essenIn der Leichenhalle, in der Leichenhalle. (2x)[Strophe 2]Meine Lage ist fatalKeine Schminke, kein KajalDer Todesengel kam, gab mir einen KussJetzt drückt der spitze Schuh an meinem Drudenfuß[Refrain]Sie haben mich vergessenWo seid ihr alle? Wo seid ihr alle?Hier gibt es nichts zu essenIn der Leichenhalle, in der Leichenhalle. (2x)[Strophe 3]Wir saßen beisammen und rückten den TischDie Leichen um mich herum, sie sind nicht mehr frischSagt, ihr Toten, wo kommt ihr denn her?Aus Schlumpfhausen, bitte sehr!Ach so![Outro]Lalalalalalalalalalalalala...","https://genius.com/Die-arzte-leichenhalle-lyrics","Released October 20, 2000
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Farin Urlaub & Rodrigo González"
"8","Die Ärzte","Der Optimist","Runter mit den Spendierhosen, Unsichtbarer!","[Strophe 1]Da geht mein Baby und sie ist nicht mehr alleinDoch wenn sie glaubt, dass sie einfach so 'nen ander lieben kann ist sie im IrrtumWas fällt ihr eigentlich ein?Das werd'ich unterbinden, werd'ein Mittel findenDamit sie zurückkommt, und dann werd'ich sie verwöhn'Sie wird nur noch an mich denkenWird mir ihre Liebe schenken[Refrain](2x)Das ist schönDas ist schönDas ist schönDas ist schön[2. Strophe]Herr Bundeskanzler, ich weiß, sie haben es schwerUnd nur wegen etwas Schmiergeld schreit schon wieder die ganze WeltDass sie korrupt sind - das ist ganz und gar nicht fairDenn dass Sie niemals entgleisen, werden sie der Welt beweisenUnd ihre Pflicht tun - es gibt kein Grund, hier argzuwöhn'Politik ist was Handfestes und sie woll'n nur unser Bestes[Refrain](2x)Das ist schönDas ist schönDas ist schönDas ist schön[Strophe 3]Und das Ozonloch - betrübt uns wirklich sehrDoch man wird es wieder schließen oder es einfach zuschießenMit Atombomben - die zieht man dann aus dem VerkehrDenn Kriege wird es nicht mehr geben, wir werden alle überlebenUmweltverschmutzung, die wird sich nicht mehr erhöhnWeil wir alle den Müll trennen, und Motoren nur bleifrei brennen[Refrain](2x)Das ist schönDas ist schönDas ist schönDas ist schön","https://genius.com/Die-arzte-der-optimist-lyrics","Released October 20, 2000
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Farin Urlaub & Rodrigo González"
"9","Die Ärzte","Alles So Einfach","Runter mit den Spendierhosen, Unsichtbarer!","[Strophe 1]Du sagst, du willst Frieden und nie wieder KriegNie mehr schlechtes Wetter, nur noch gute MusikDu sagst, dass die Menschen sich liebhaben sollenUnd du willst Arbeit für alle- für alle, die arbeiten wollen[Refrain 1]Wenn das mal alles so einfach wäreDann gäb es keine Probleme mehrDie Polizei wäre arbeitslos, das wäre wirklich grandiosWenn das mal alles so einfach wäreDann hätt ich drei Sorgen wenigerDann wäre die Welt voller ZuversichtJa, aber so einfach ist es leider nicht...[Strophe 2]Du bist gegen Armut und gegen GewaltUnd gegen Rassismus in jeder GestaltDu willst Liebe für alle und Brot für die WeltUnd einen Politiker, der das, was er verspricht, auch wirklich hält[Refrain 2]Wenn das mal alles so einfach wäreDann gäb es keine Probleme mehrDie Polizei könnt nach Hause gehenDann muss man die nicht mehr anzündenWenn das mal alles so einfach wäreDann hät ich drei Sorgen wenigerDann wäre die Welt voller ZuversichtJa, aber so einfach ist es leider nicht...","https://genius.com/Die-arzte-alles-so-einfach-lyrics","Released October 20, 2000
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Farin Urlaub & Rodrigo González"
"10","Die Ärzte","N 48.3","Runter mit den Spendierhosen, Unsichtbarer!","[Strophe 1]Freitagabend und ich war unterwegsAuf der Suche nach Amusement und zügellosem SexIn der Discothek war eine auf der Balz:90-60-90 und Beine bis zum HalsKeiner traute sich so richtig an sie ranIch sagte: ""Baby, bist Du vielleicht auf der Suche nach 'nem Mann?Die Suche ist zu Ende. Baby, ich bin hierUnd jetzt beeil Dich, unser Taxi steht schon draußen vor der Tür. ""Doch erst als sie bei mir zu Hause warWurde mir das Ausmaß der Tragödie wirklich klarSie kam aus meiner Dusche und ich sah -Angeschissen: Wonderbra! Push-up-Bh![Strophe 2]Ich fuhr in die Disco zurückBeim zweiten Versuch hat man immer mehr GlückDa sah ich auf der Tanzfläche ein TeilLange Haare, große Augen, die war genau mein FallEs war ziemlich voll und dichtgedrängtAber ich zeigte ihr trotzdem wo der Tanzhammer so hängtIch fl<U+044C>sterte ihr Schweinereien ins OhrUnd sie schmolz dahin wie Schnee auf 'nem Ford-V8-MotorDa zog ich sie auf's Klo, was immer ziehtSie drehte total auf, ich wusste kaum, wie mir geschiehtDoch manchmal ist da mehr, als man erst sieht -Reingefallen: Transvestit! Mädchen mit Glied![Strophe 3]Ich hatte wirklich alle Tricks probiertIch war nicht mehr verzweifelt. Ich hatte resigniertDa lächelte ein Engel mich anUnd fragte, ob sie sich vielleicht zu mir setzen kannIch sah sofort, ihr Busen, der war echtSie sah aus, als lief sie Werbung für das schönere GeschlechtDa fragte sie mich: ""Kommst Du mit zu mir?""Ist der Papst katholisch? Und schon waren wir bei ihrSie zog sich aus und fragte: ""Hast Du Lust?""Da wurde mir das Ausmaß ihrer Schönheit erst bewusstIch schloss sie in die Arme, dann war Schluss:Es darf nicht wahr sein - vorzeitiger SamenergußVor dem ersten Kuss. Ich geb' mir den Schuss!","https://genius.com/Die-arzte-n-483-lyrics","Released October 20, 2000
Producers

    
      Die Ärzte & Uwe Hoffmann
Writers

    
      Bela B, Farin Urlaub & Rodrigo González"
